1'好的，比赛开始了！                   1'第1分钟河南建业借助主场之利主动出击
34'舜天一个任意球配合，吉翔打门被韩锋拿到。                   33'第33分钟舜天前场任意球，三人之间小配合后吉翔突然大力低射，皮球穿过人墙被韩峰倒地扑出
35'马科斯又一次拿到球，但是纠缠之中手球了。                   33'第33分钟舜天前场任意球，三人之间小配合后吉翔突然大力低射，皮球穿过人墙被韩峰倒地扑出
35'舜天这段时间也是攻了上来，想利用上半场最后10分钟有所作为。                   33'第33分钟舜天前场任意球，三人之间小配合后吉翔突然大力低射，皮球穿过人墙被韩峰倒地扑出
36'建业现在控球率52%，稍占上风。                   33'第33分钟舜天前场任意球，三人之间小配合后吉翔突然大力低射，皮球穿过人墙被韩峰倒地扑出
39'建业又获得一个好机会！埃雷尔森解围打在队友身上，弹回来马科斯打门被关震神勇扑出，再打还是被扑出。                   39'第39分钟建业再失良机，埃雷尔森禁区内的解围打在队友身上，弹回之后马科斯打门被关震神勇扑出，再打还是被扑出
39'关震刚才的表现实在是太精彩了。                   39'第39分钟建业再失良机，埃雷尔森禁区内的解围打在队友身上，弹回之后马科斯打门被关震神勇扑出，再打还是被扑出
40'上半场比赛进行了40分钟了，比分还是1比0                   39'第39分钟建业再失良机，埃雷尔森禁区内的解围打在队友身上，弹回之后马科斯打门被关震神勇扑出，再打还是被扑出
41'建业前场的任意球机会，祝一帆来处理。                   39'第39分钟建业再失良机，埃雷尔森禁区内的解围打在队友身上，弹回之后马科斯打门被关震神勇扑出，再打还是被扑出
42'没开起来，被后卫直接破坏了。                   39'第39分钟建业再失良机，埃雷尔森禁区内的解围打在队友身上，弹回之后马科斯打门被关震神勇扑出，再打还是被扑出
48'舜天下半场看样子是要主攻了，打的很主动。                   48'第48分钟，拉斐尔后场抢断后送出直传，马科斯禁区外大力施射，关震注意力集中将球奋力扑出
48'拉斐尔似乎被马科斯打到了手臂，有点疼啊。                   48'第48分钟，拉斐尔后场抢断后送出直传，马科斯禁区外大力施射，关震注意力集中将球奋力扑出
49'邓卓翔的进攻能力非常强，建业后防要小心了。                   48'第48分钟，拉斐尔后场抢断后送出直传，马科斯禁区外大力施射，关震注意力集中将球奋力扑出
50'拉斐尔在后场抢断给马科斯，马科斯直接打门，力量十足！但是太正了，被关震托了出去。                   48'第48分钟，拉斐尔后场抢断后送出直传，马科斯禁区外大力施射，关震注意力集中将球奋力扑出
51'建业前场的任意球，祝一帆开出来没人碰到直接出了底线。                   48'第48分钟，拉斐尔后场抢断后送出直传，马科斯禁区外大力施射，关震注意力集中将球奋力扑出
51'舜天的角球开出来也没什么威胁，球太飘了，很慢。                   48'第48分钟，拉斐尔后场抢断后送出直传，马科斯禁区外大力施射，关震注意力集中将球奋力扑出
58'舜天再度起球，还是被后定顶了出去。                   58'江苏舜天在第58分钟扳平比分――吴曦接埃雷尔森的中场直传，一个精彩的人球分过过掉李志楠，随后依靠超快的速度追到球脚尖一捅又甩过一名防守后抹入禁区，面对出击封堵的门将，吴曦冷静横传，跟进的埃利亚斯捅射空门入网，1-1
59'舜天进球了！！                   58'江苏舜天在第58分钟扳平比分――吴曦接埃雷尔森的中场直传，一个精彩的人球分过过掉李志楠，随后依靠超快的速度追到球脚尖一捅又甩过一名防守后抹入禁区，面对出击封堵的门将，吴曦冷静横传，跟进的埃利亚斯捅射空门入网，1-1
59'这个球是建业后防线的问题啊                   58'江苏舜天在第58分钟扳平比分――吴曦接埃雷尔森的中场直传，一个精彩的人球分过过掉李志楠，随后依靠超快的速度追到球脚尖一捅又甩过一名防守后抹入禁区，面对出击封堵的门将，吴曦冷静横传，跟进的埃利亚斯捅射空门入网，1-1
60'吴曦人球分过过掉李志南，之后张可冒失的铲球没有铲到，吴曦传给艾利亚斯打空门得手。                   58'江苏舜天在第58分钟扳平比分――吴曦接埃雷尔森的中场直传，一个精彩的人球分过过掉李志楠，随后依靠超快的速度追到球脚尖一捅又甩过一名防守后抹入禁区，面对出击封堵的门将，吴曦冷静横传，跟进的埃利亚斯捅射空门入网，1-1
60'现在比分1比1了。                   58'江苏舜天在第58分钟扳平比分――吴曦接埃雷尔森的中场直传，一个精彩的人球分过过掉李志楠，随后依靠超快的速度追到球脚尖一捅又甩过一名防守后抹入禁区，面对出击封堵的门将，吴曦冷静横传，跟进的埃利亚斯捅射空门入网，1-1
61'张璐在前场拿球直接打门，偏出了球门。                   58'江苏舜天在第58分钟扳平比分――吴曦接埃雷尔森的中场直传，一个精彩的人球分过过掉李志楠，随后依靠超快的速度追到球脚尖一捅又甩过一名防守后抹入禁区，面对出击封堵的门将，吴曦冷静横传，跟进的埃利亚斯捅射空门入网，1-1
70'建业现在后场拿球太多了，都是无谓的倒脚。                   70'第70分钟，张璐沿左路内切后远射打偏
70'张璐在前场也找不到队友，直接打门偏了球门。                   70'第70分钟，张璐沿左路内切后远射打偏
71'比赛已经70分钟了，比分还是1比1。                   70'第70分钟，张璐沿左路内切后远射打偏
71'建业前场的进攻被舜天断了下来，但是舜天也没能组织有效的反击。                   70'第70分钟，张璐沿左路内切后远射打偏
73'舜天换下了吴曦，换上了刘建业。                   70'第70分钟，张璐沿左路内切后远射打偏
75'舜天现在并不着急，就是防守反击，打一个成功率。                   75'第75分钟贾秀全也做出调整，约翰逊换下拉斐尔，与马科斯组成双高锋线冲锋
75'张可又是一脚长传，还是没有威胁。                   75'第75分钟贾秀全也做出调整，约翰逊换下拉斐尔，与马科斯组成双高锋线冲锋
76'徐洋突入到对方禁区，好像是越位了。                   75'第75分钟贾秀全也做出调整，约翰逊换下拉斐尔，与马科斯组成双高锋线冲锋
76'建业换下了拉斐尔，换上了约翰逊。                   75'第75分钟贾秀全也做出调整，约翰逊换下拉斐尔，与马科斯组成双高锋线冲锋
77'徐洋又一次突到禁区回做，祝一帆打门打高了。                   75'第75分钟贾秀全也做出调整，约翰逊换下拉斐尔，与马科斯组成双高锋线冲锋
78'建业有点急啊，没有什么好的出球点还是强行传中。                   75'第75分钟贾秀全也做出调整，约翰逊换下拉斐尔，与马科斯组成双高锋线冲锋
78'约翰逊上场以后队友多次想找他，拼出来一个角球。                   75'第75分钟贾秀全也做出调整，约翰逊换下拉斐尔，与马科斯组成双高锋线冲锋
84'现在比赛大概还有10分钟，看看双方谁能再进一球！                   84'第84分钟，孙可在禁区右侧起左脚旋远角滑门而出
85'孙可在建业禁区拿球没人上抢，一脚搓射稍稍偏了出去。                   84'第84分钟，孙可在禁区右侧起左脚旋远角滑门而出
86'张可打门没有发上力，被守门员关震直接拿到。                   84'第84分钟，孙可在禁区右侧起左脚旋远角滑门而出
86'今天张可的表现不是很好，传球感觉一般。                   84'第84分钟，孙可在禁区右侧起左脚旋远角滑门而出
87'马科斯拿球被孙可铲倒了，今天舜天的犯规也是不少。                   84'第84分钟，孙可在禁区右侧起左脚旋远角滑门而出
90'球场的球迷也在卖力的为建业加油啊。                   90'90分钟战罢，河南建业在主场1-1被江苏舜天战平
90'但是双方应该是体能消耗比较大，没有更多的机会出来了。                   90'90分钟战罢，河南建业在主场1-1被江苏舜天战平
91'下半场比赛补时3分钟。                   90'90分钟战罢，河南建业在主场1-1被江苏舜天战平
93'建业最后的机会啊，但是头球还是偏了出去。                   90'90分钟战罢，河南建业在主场1-1被江苏舜天战平
