4'刘若钒后场拼抢犯规了！                   3'第3分钟刘若钒拦截姜至鹏时犯规吃到黄牌
63'裁判给了点球！                   61'第61分钟上半场已经有伤的登巴巴又倒在地上，吴金贵做出换人手势
64'姜至鹏捂着脸倒地是怎么回事！                   61'第61分钟上半场已经有伤的登巴巴又倒在地上，吴金贵做出换人手势
64'都没打中脸啊！                   61'第61分钟上半场已经有伤的登巴巴又倒在地上，吴金贵做出换人手势
64'裁判没给牌！                   61'第61分钟上半场已经有伤的登巴巴又倒在地上，吴金贵做出换人手势
64'杨程过去点球点挖了个坑！                   61'第61分钟上半场已经有伤的登巴巴又倒在地上，吴金贵做出换人手势
64'莫雷诺来主罚点球！                   61'第61分钟上半场已经有伤的登巴巴又倒在地上，吴金贵做出换人手势
64'助跑！打飞了！！                   61'第61分钟上半场已经有伤的登巴巴又倒在地上，吴金贵做出换人手势
62'登巴-巴被受伤了！                   62'第62分钟申花收获意外机会，申花大范围转移，荣昊右路传中，结果皮球打在姜至鹏手上，点球
62'准备换下！                   62'第62分钟申花收获意外机会，申花大范围转移，荣昊右路传中，结果皮球打在姜至鹏手上，点球
63'高迪换下登巴-巴！                   62'第62分钟申花收获意外机会，申花大范围转移，荣昊右路传中，结果皮球打在姜至鹏手上，点球
63'罗梅罗中场长传前场右侧！                   62'第62分钟申花收获意外机会，申花大范围转移，荣昊右路传中，结果皮球打在姜至鹏手上，点球
63'荣昊挑球打中姜至鹏手臂！                   62'第62分钟申花收获意外机会，申花大范围转移，荣昊右路传中，结果皮球打在姜至鹏手上，点球
63'裁判给了点球！                   62'第62分钟申花收获意外机会，申花大范围转移，荣昊右路传中，结果皮球打在姜至鹏手上，点球
64'姜至鹏捂着脸倒地是怎么回事！                   62'第62分钟申花收获意外机会，申花大范围转移，荣昊右路传中，结果皮球打在姜至鹏手上，点球
64'都没打中脸啊！                   62'第62分钟申花收获意外机会，申花大范围转移，荣昊右路传中，结果皮球打在姜至鹏手上，点球
64'裁判没给牌！                   62'第62分钟申花收获意外机会，申花大范围转移，荣昊右路传中，结果皮球打在姜至鹏手上，点球
64'杨程过去点球点挖了个坑！                   62'第62分钟申花收获意外机会，申花大范围转移，荣昊右路传中，结果皮球打在姜至鹏手上，点球
64'莫雷诺来主罚点球！                   62'第62分钟申花收获意外机会，申花大范围转移，荣昊右路传中，结果皮球打在姜至鹏手上，点球
64'助跑！打飞了！！                   62'第62分钟申花收获意外机会，申花大范围转移，荣昊右路传中，结果皮球打在姜至鹏手上，点球
65'杨程得逞了！                   62'第62分钟申花收获意外机会，申花大范围转移，荣昊右路传中，结果皮球打在姜至鹏手上，点球
64'姜至鹏捂着脸倒地是怎么回事！                   64'第64分钟申花旧将董学升换下卡埃比
64'都没打中脸啊！                   64'第64分钟申花旧将董学升换下卡埃比
64'裁判没给牌！                   64'第64分钟申花旧将董学升换下卡埃比
64'杨程过去点球点挖了个坑！                   64'第64分钟申花旧将董学升换下卡埃比
64'莫雷诺来主罚点球！                   64'第64分钟申花旧将董学升换下卡埃比
64'助跑！打飞了！！                   64'第64分钟申花旧将董学升换下卡埃比
65'杨程得逞了！                   64'第64分钟申花旧将董学升换下卡埃比
71'马斯切拉诺短传赵明剑！                   71'第71分钟曹赟定左前场送出好球，莫雷诺在任航身后接应到皮球，连人带球突破了杨程防守，接着推射破门，3比1，申花扳回一城
71'大脚解围到中场！                   71'第71分钟曹赟定左前场送出好球，莫雷诺在任航身后接应到皮球，连人带球突破了杨程防守，接着推射破门，3比1，申花扳回一城
71'马斯切拉诺中圈长传前场左侧！                   71'第71分钟曹赟定左前场送出好球，莫雷诺在任航身后接应到皮球，连人带球突破了杨程防守，接着推射破门，3比1，申花扳回一城
71'拉维奇得球推进！                   71'第71分钟曹赟定左前场送出好球，莫雷诺在任航身后接应到皮球，连人带球突破了杨程防守，接着推射破门，3比1，申花扳回一城
71'斜传中路！董学升得球分禁区左侧！                   71'第71分钟曹赟定左前场送出好球，莫雷诺在任航身后接应到皮球，连人带球突破了杨程防守，接着推射破门，3比1，申花扳回一城
71'李帅出击拿到球！                   71'第71分钟曹赟定左前场送出好球，莫雷诺在任航身后接应到皮球，连人带球突破了杨程防守，接着推射破门，3比1，申花扳回一城
72'李帅长传前场右侧！                   71'第71分钟曹赟定左前场送出好球，莫雷诺在任航身后接应到皮球，连人带球突破了杨程防守，接着推射破门，3比1，申花扳回一城
72'莫雷诺回传罗梅罗！                   71'第71分钟曹赟定左前场送出好球，莫雷诺在任航身后接应到皮球，连人带球突破了杨程防守，接着推射破门，3比1，申花扳回一城
72'交给中场荣昊！                   71'第71分钟曹赟定左前场送出好球，莫雷诺在任航身后接应到皮球，连人带球突破了杨程防守，接着推射破门，3比1，申花扳回一城
72'回传给朱辰杰！                   71'第71分钟曹赟定左前场送出好球，莫雷诺在任航身后接应到皮球，连人带球突破了杨程防守，接着推射破门，3比1，申花扳回一城
72'分左侧柏佳骏！                   71'第71分钟曹赟定左前场送出好球，莫雷诺在任航身后接应到皮球，连人带球突破了杨程防守，接着推射破门，3比1，申花扳回一城
72'长传禁区中路！                   71'第71分钟曹赟定左前场送出好球，莫雷诺在任航身后接应到皮球，连人带球突破了杨程防守，接着推射破门，3比1，申花扳回一城
72'莫雷诺胸部停球！                   71'第71分钟曹赟定左前场送出好球，莫雷诺在任航身后接应到皮球，连人带球突破了杨程防守，接着推射破门，3比1，申花扳回一城
72'左脚顺势推射！！                   71'第71分钟曹赟定左前场送出好球，莫雷诺在任航身后接应到皮球，连人带球突破了杨程防守，接着推射破门，3比1，申花扳回一城
72'GOOOOOOOOOOOOOAL！！                   71'第71分钟曹赟定左前场送出好球，莫雷诺在任航身后接应到皮球，连人带球突破了杨程防守，接着推射破门，3比1，申花扳回一城
74'荣昊得球分右侧曹赟定！                   71'第71分钟曹赟定左前场送出好球，莫雷诺在任航身后接应到皮球，连人带球突破了杨程防守，接着推射破门，3比1，申花扳回一城
74'直接吊禁区！                   71'第71分钟曹赟定左前场送出好球，莫雷诺在任航身后接应到皮球，连人带球突破了杨程防守，接着推射破门，3比1，申花扳回一城
74'赵明剑得球大脚解围了！                   71'第71分钟曹赟定左前场送出好球，莫雷诺在任航身后接应到皮球，连人带球突破了杨程防守，接着推射破门，3比1，申花扳回一城
83'申花换人了！                   82'第82分钟申花用周俊辰换下罗梅罗
83'周俊辰换下罗梅罗！                   82'第82分钟申花用周俊辰换下罗梅罗
84'姜至鹏左侧短传董学升！                   82'第82分钟申花用周俊辰换下罗梅罗
84'回传马斯切拉诺！回传给罗森文！                   82'第82分钟申花用周俊辰换下罗梅罗
84'交给马斯切拉诺！慢慢带一下！                   82'第82分钟申花用周俊辰换下罗梅罗
85'分右侧赵明剑！                   82'第82分钟申花用周俊辰换下罗梅罗
85'挑传球出了边线！                   82'第82分钟申花用周俊辰换下罗梅罗
85'华夏换人了！桂宏换下拉维奇！                   82'第82分钟申花用周俊辰换下罗梅罗
93'周俊辰左侧二过一配合！                   93'大比分领先、而且还多一人的河北队打得也不着急，第93分钟河北队快速反击，董学升漂亮人球分过朱辰杰，接着带球到禁区，推射球门右下角得分，4比1
93'下底传中出了底线！                   93'大比分领先、而且还多一人的河北队打得也不着急，第93分钟河北队快速反击，董学升漂亮人球分过朱辰杰，接着带球到禁区，推射球门右下角得分，4比1
94'马斯切拉诺后场得球！交给桂宏！                   93'大比分领先、而且还多一人的河北队打得也不着急，第93分钟河北队快速反击，董学升漂亮人球分过朱辰杰，接着带球到禁区，推射球门右下角得分，4比1
94'直塞前场中路董学升！                   93'大比分领先、而且还多一人的河北队打得也不着急，第93分钟河北队快速反击，董学升漂亮人球分过朱辰杰，接着带球到禁区，推射球门右下角得分，4比1
94'人球分过朱辰杰！                   93'大比分领先、而且还多一人的河北队打得也不着急，第93分钟河北队快速反击，董学升漂亮人球分过朱辰杰，接着带球到禁区，推射球门右下角得分，4比1
94'单刀低射！！                   93'大比分领先、而且还多一人的河北队打得也不着急，第93分钟河北队快速反击，董学升漂亮人球分过朱辰杰，接着带球到禁区，推射球门右下角得分，4比1
94'GOOOOOOOOOOOAL！！                   93'大比分领先、而且还多一人的河北队打得也不着急，第93分钟河北队快速反击，董学升漂亮人球分过朱辰杰，接着带球到禁区，推射球门右下角得分，4比1
94'董学升也有这种小技术啊！                   93'大比分领先、而且还多一人的河北队打得也不着急，第93分钟河北队快速反击，董学升漂亮人球分过朱辰杰，接着带球到禁区，推射球门右下角得分，4比1
