1'上半场比赛开始！！                   1'第1分钟国安率先展开冲击，李磊在任意球攻势中前插头球被判越位
25'奥古斯托中场拿球，分球右侧给拉尔夫                   25'比赛25分钟后国安控球传递增多，阵型也有所前提；权健的快攻机会相对增多，但连续出现越位
25'拉尔夫直塞找前插的索里亚诺，球被张鹭出击控制                   25'比赛25分钟后国安控球传递增多，阵型也有所前提；权健的快攻机会相对增多，但连续出现越位
26'维特塞尔中场拿球，斜传右路找李星灿                   25'比赛25分钟后国安控球传递增多，阵型也有所前提；权健的快攻机会相对增多，但连续出现越位
26'李星灿停球没停好，球出边线！！                   25'比赛25分钟后国安控球传递增多，阵型也有所前提；权健的快攻机会相对增多，但连续出现越位
27'奥古斯托中场的斜传球到小禁区附近                   25'比赛25分钟后国安控球传递增多，阵型也有所前提；权健的快攻机会相对增多，但连续出现越位
28'张鹭出击，抢在索里亚诺之前，将球拿到                   25'比赛25分钟后国安控球传递增多，阵型也有所前提；权健的快攻机会相对增多，但连续出现越位
28'赵旭日中场抢断，分球左侧给到郑达伦                   25'比赛25分钟后国安控球传递增多，阵型也有所前提；权健的快攻机会相对增多，但连续出现越位
28'郑达伦面对逼抢，回传给糜昊伦                   25'比赛25分钟后国安控球传递增多，阵型也有所前提；权健的快攻机会相对增多，但连续出现越位
28'糜昊伦的分球，出了边线！！                   25'比赛25分钟后国安控球传递增多，阵型也有所前提；权健的快攻机会相对增多，但连续出现越位
34'权健的前场进攻，帕托左侧拿球                   34'第34分钟，帕托再次于快攻中进入国安禁区，他趟球摆脱时腿部与于洋接触倒地，裁判李海新判定点球，帕托亲自操刀破门，权健2-0领先
34'内切到禁区，一个变向想过于洋，被放倒在地                   34'第34分钟，帕托再次于快攻中进入国安禁区，他趟球摆脱时腿部与于洋接触倒地，裁判李海新判定点球，帕托亲自操刀破门，权健2-0领先
34'权健获得了点球！！                   34'第34分钟，帕托再次于快攻中进入国安禁区，他趟球摆脱时腿部与于洋接触倒地，裁判李海新判定点球，帕托亲自操刀破门，权健2-0领先
34'帕托主罚，一蹴而就！！2-0！！！！                   34'第34分钟，帕托再次于快攻中进入国安禁区，他趟球摆脱时腿部与于洋接触倒地，裁判李海新判定点球，帕托亲自操刀破门，权健2-0领先
35'帕托助跑，右脚抽射球门左上角，杨智判断对了方向，但是鞭长莫及，球进网！                   34'第34分钟，帕托再次于快攻中进入国安禁区，他趟球摆脱时腿部与于洋接触倒地，裁判李海新判定点球，帕托亲自操刀破门，权健2-0领先
37'索里亚诺前场拿球，强突后起脚远射，打偏！！                   34'第34分钟，帕托再次于快攻中进入国安禁区，他趟球摆脱时腿部与于洋接触倒地，裁判李海新判定点球，帕托亲自操刀破门，权健2-0领先
37'索里亚诺前场拿球，强突后起脚远射，打偏！！                   36'第36分钟，索里亚诺突然远射制造威胁，皮球弹地后稍稍偏出立柱
39'李磊左路拿球，分球给到巴顿                   36'第36分钟，索里亚诺突然远射制造威胁，皮球弹地后稍稍偏出立柱
39'巴顿左路强突，内切时球被解围出边线                   36'第36分钟，索里亚诺突然远射制造威胁，皮球弹地后稍稍偏出立柱
39'奥古斯托中场拿球，直塞找姜涛                   36'第36分钟，索里亚诺突然远射制造威胁，皮球弹地后稍稍偏出立柱
42'帕托前场右路拿球，强突内切，打门打偏                   41'第41分钟，权健快攻中李星灿助帕托前插，边裁判定帕托越位，慢镜头显示判罚值得商榷
43'奥古斯托前场拿球，禁区弧顶一个变向                   41'第41分钟，权健快攻中李星灿助帕托前插，边裁判定帕托越位，慢镜头显示判罚值得商榷
43'突施冷箭，太正了，球被张鹭拿到！！                   41'第41分钟，权健快攻中李星灿助帕托前插，边裁判定帕托越位，慢镜头显示判罚值得商榷
44'国安前场再攻，巴顿禁区左侧背身拿球                   41'第41分钟，权健快攻中李星灿助帕托前插，边裁判定帕托越位，慢镜头显示判罚值得商榷
44'脚后跟分球给上来的李磊                   41'第41分钟，权健快攻中李星灿助帕托前插，边裁判定帕托越位，慢镜头显示判罚值得商榷
44'李磊强突下底，传中球，姜涛的附身冲顶，顶偏！                   41'第41分钟，权健快攻中李星灿助帕托前插，边裁判定帕托越位，慢镜头显示判罚值得商榷
50'赵旭日抢点一蹭到后点！！                   50'加强右路攻势的国安连续形成冲击，并在下半场开局阶段即扳回一球：第50分钟，国安中路渗透将球打入禁区，姜涛回做禁区左侧，张稀哲推射打入个人本赛季首粒联赛入球
50'国安球员将球解围出来！！！                   50'加强右路攻势的国安连续形成冲击，并在下半场开局阶段即扳回一球：第50分钟，国安中路渗透将球打入禁区，姜涛回做禁区左侧，张稀哲推射打入个人本赛季首粒联赛入球
50'巴顿右路拿球，内切传中，刘奕鸣将球解围！！                   50'加强右路攻势的国安连续形成冲击，并在下半场开局阶段即扳回一球：第50分钟，国安中路渗透将球打入禁区，姜涛回做禁区左侧，张稀哲推射打入个人本赛季首粒联赛入球
51'国安扳回一城！！！                   50'加强右路攻势的国安连续形成冲击，并在下半场开局阶段即扳回一球：第50分钟，国安中路渗透将球打入禁区，姜涛回做禁区左侧，张稀哲推射打入个人本赛季首粒联赛入球
51'张稀哲的推射进球！！                   50'加强右路攻势的国安连续形成冲击，并在下半场开局阶段即扳回一球：第50分钟，国安中路渗透将球打入禁区，姜涛回做禁区左侧，张稀哲推射打入个人本赛季首粒联赛入球
51'这是张稀哲本赛季打进的第一个球！！                   50'加强右路攻势的国安连续形成冲击，并在下半场开局阶段即扳回一球：第50分钟，国安中路渗透将球打入禁区，姜涛回做禁区左侧，张稀哲推射打入个人本赛季首粒联赛入球
53'奥古斯托外围拿球，挑传禁区，姜涛停球回敲，张稀哲插上推射打进球门右下角！！                   50'加强右路攻势的国安连续形成冲击，并在下半场开局阶段即扳回一球：第50分钟，国安中路渗透将球打入禁区，姜涛回做禁区左侧，张稀哲推射打入个人本赛季首粒联赛入球
56'国安的前场进攻，赢得左侧角球机会！！                   56'第56分钟，国安扳平比分：奥古斯托将左侧角球传至前点，于洋头球破门
56'奥古斯托主罚，开出到前点！！                   56'第56分钟，国安扳平比分：奥古斯托将左侧角球传至前点，于洋头球破门
56'于洋，球进了！！                   56'第56分钟，国安扳平比分：奥古斯托将左侧角球传至前点，于洋头球破门
56'双方回到了同一起跑线！！                   56'第56分钟，国安扳平比分：奥古斯托将左侧角球传至前点，于洋头球破门
57'奥古斯托左侧角球开出到前点，于洋的头球，顶出一个反弹，弹地后钻进球门右下角！！                   56'第56分钟，国安扳平比分：奥古斯托将左侧角球传至前点，于洋头球破门
58'郑达伦右路拿球，强突被李磊破坏出边线！！                   56'第56分钟，国安扳平比分：奥古斯托将左侧角球传至前点，于洋头球破门
58'赵旭日前场中路拿球，分球右侧给郑达伦                   56'第56分钟，国安扳平比分：奥古斯托将左侧角球传至前点，于洋头球破门
58'郑达伦再给维特塞尔，失误了！！                   56'第56分钟，国安扳平比分：奥古斯托将左侧角球传至前点，于洋头球破门
58'张稀哲的抢断，维特塞尔反抢犯规！！                   56'第56分钟，国安扳平比分：奥古斯托将左侧角球传至前点，于洋头球破门
59'维特塞尔对裁判很不满，抗议领到一张黄牌！！                   56'第56分钟，国安扳平比分：奥古斯托将左侧角球传至前点，于洋头球破门
68'权健的前场进攻，孙可禁区内的打门                   68'第68分钟，权健任意球攻势在国安门前制造混乱，孙可小角度攻门被雷腾龙封堵，多位权健球员都在举手示意雷腾龙手球，裁判与边裁对望中没有表示，慢镜头显示雷腾龙倒地封堵过程中手臂触球
69'被倒地后的雷腾龙用身体挡了出来！！                   68'第68分钟，权健任意球攻势在国安门前制造混乱，孙可小角度攻门被雷腾龙封堵，多位权健球员都在举手示意雷腾龙手球，裁判与边裁对望中没有表示，慢镜头显示雷腾龙倒地封堵过程中手臂触球
69'权健球员示意对方手球，裁判没理会！！                   68'第68分钟，权健任意球攻势在国安门前制造混乱，孙可小角度攻门被雷腾龙封堵，多位权健球员都在举手示意雷腾龙手球，裁判与边裁对望中没有表示，慢镜头显示雷腾龙倒地封堵过程中手臂触球
70'权健前场进攻，雷腾龙防守犯规！！                   68'第68分钟，权健任意球攻势在国安门前制造混乱，孙可小角度攻门被雷腾龙封堵，多位权健球员都在举手示意雷腾龙手球，裁判与边裁对望中没有表示，慢镜头显示雷腾龙倒地封堵过程中手臂触球
70'雷腾龙被主裁判出示了黄牌警告！！                   68'第68分钟，权健任意球攻势在国安门前制造混乱，孙可小角度攻门被雷腾龙封堵，多位权健球员都在举手示意雷腾龙手球，裁判与边裁对望中没有表示，慢镜头显示雷腾龙倒地封堵过程中手臂触球
70'权健获得前场中路的任意球机会！！                   68'第68分钟，权健任意球攻势在国安门前制造混乱，孙可小角度攻门被雷腾龙封堵，多位权健球员都在举手示意雷腾龙手球，裁判与边裁对望中没有表示，慢镜头显示雷腾龙倒地封堵过程中手臂触球
70'帕托的任意球轰门，打在人墙上弹出！！                   68'第68分钟，权健任意球攻势在国安门前制造混乱，孙可小角度攻门被雷腾龙封堵，多位权健球员都在举手示意雷腾龙手球，裁判与边裁对望中没有表示，慢镜头显示雷腾龙倒地封堵过程中手臂触球
71'权健换人：39号王永珀上，换下29号李星灿                   68'第68分钟，权健任意球攻势在国安门前制造混乱，孙可小角度攻门被雷腾龙封堵，多位权健球员都在举手示意雷腾龙手球，裁判与边裁对望中没有表示，慢镜头显示雷腾龙倒地封堵过程中手臂触球
80'索里亚诺停球一拨，起脚打门，被张鹭拿到！                   80'第80分钟，国安中路渗透中索里亚诺攻门打高
80'奥古斯托中场拿球，赵旭日放铲犯规！                   80'第80分钟，国安中路渗透中索里亚诺攻门打高
81'帕托前场左路拿球，强突下底                   80'第80分钟，国安中路渗透中索里亚诺攻门打高
81'左脚传中到后点，孙可再拿，没拿到                   80'第80分钟，国安中路渗透中索里亚诺攻门打高
81'国安换人：8号朴成换下了29号巴顿                   80'第80分钟，国安中路渗透中索里亚诺攻门打高
82'权健换人：6号裴帅换下了7号赵旭日                   80'第80分钟，国安中路渗透中索里亚诺攻门打高
82'权健的前场进攻，赢得任意球机会！！                   80'第80分钟，国安中路渗透中索里亚诺攻门打高
83'帕托的任意球斜传禁区！！                   80'第80分钟，国安中路渗透中索里亚诺攻门打高
83'第一点被解围出来，张修维抢点再打                   80'第80分钟，国安中路渗透中索里亚诺攻门打高
83'奥古斯托回防，将球解围出底线                   80'第80分钟，国安中路渗透中索里亚诺攻门打高
83'权健获得左侧角球机会！！                   80'第80分钟，国安中路渗透中索里亚诺攻门打高
87'朴成前场右路拿球，强行内切                   87'第87分钟，权健错失绝杀良机：维特塞尔前插形成单刀球，但他面对门将施射被杨智挡出
87'遭遇夹击，被断了！！                   87'第87分钟，权健错失绝杀良机：维特塞尔前插形成单刀球，但他面对门将施射被杨智挡出
87'权健的反击，过顶球找前插的维特塞尔                   87'第87分钟，权健错失绝杀良机：维特塞尔前插形成单刀球，但他面对门将施射被杨智挡出
87'维特塞尔几乎是个单刀了，进了禁区                   87'第87分钟，权健错失绝杀良机：维特塞尔前插形成单刀球，但他面对门将施射被杨智挡出
87'面对出来的杨智，起脚打门，被杨智用脚挡了出来                   87'第87分钟，权健错失绝杀良机：维特塞尔前插形成单刀球，但他面对门将施射被杨智挡出
89'国安换人：15号朱朝庆上，换下了28号姜涛！！                   87'第87分钟，权健错失绝杀良机：维特塞尔前插形成单刀球，但他面对门将施射被杨智挡出
90'奥古斯托中场拿球，强突到前场                   87'第87分钟，权健错失绝杀良机：维特塞尔前插形成单刀球，但他面对门将施射被杨智挡出
90'分球朴成，朴成再找索里亚诺                   87'第87分钟，权健错失绝杀良机：维特塞尔前插形成单刀球，但他面对门将施射被杨智挡出
90'可惜力量有点大，球被张鹭出击拿到！！                   87'第87分钟，权健错失绝杀良机：维特塞尔前插形成单刀球，但他面对门将施射被杨智挡出
48'巴顿变向内切，撞翻了上抢的张修维，犯规！                   48'3分钟补时最后时刻，李磊拼抢犯规领到黄牌
48'张诚的前场右路抢断，反击了！！                   48'3分钟补时最后时刻，李磊拼抢犯规领到黄牌
49'强突内切横传门前，回防的于洋将球解围出底线！！                   48'3分钟补时最后时刻，李磊拼抢犯规领到黄牌
49'权健获得左侧角球机会！！！                   48'3分钟补时最后时刻，李磊拼抢犯规领到黄牌
49'下半场国安用赵和靖换下了晋鹏翔！！                   48'3分钟补时最后时刻，李磊拼抢犯规领到黄牌
49'李星灿的角球开出到前点！！                   48'3分钟补时最后时刻，李磊拼抢犯规领到黄牌
50'赵旭日抢点一蹭到后点！！                   48'3分钟补时最后时刻，李磊拼抢犯规领到黄牌
50'国安球员将球解围出来！！！                   48'3分钟补时最后时刻，李磊拼抢犯规领到黄牌
50'巴顿右路拿球，内切传中，刘奕鸣将球解围！！                   48'3分钟补时最后时刻，李磊拼抢犯规领到黄牌
51'国安扳回一城！！！                   48'3分钟补时最后时刻，李磊拼抢犯规领到黄牌
51'张稀哲的推射进球！！                   48'3分钟补时最后时刻，李磊拼抢犯规领到黄牌
51'这是张稀哲本赛季打进的第一个球！！                   48'3分钟补时最后时刻，李磊拼抢犯规领到黄牌
