1'上半场比赛开始！！                   1'沃特福德第1分钟占据主动
43'慢镜头回放，德乌洛费乌禁区内先碰到皮球，库尔图瓦的扑救似乎没有碰到人啊                   42'沃特福德第42分钟打破僵局，德乌洛费乌禁区右侧被库尔图瓦出击扑倒，迪尼主罚点球命中
44'即便是碰到了也是很轻微的                   42'沃特福德第42分钟打破僵局，德乌洛费乌禁区右侧被库尔图瓦出击扑倒，迪尼主罚点球命中
44'沃特福德中场拿球                   42'沃特福德第42分钟打破僵局，德乌洛费乌禁区右侧被库尔图瓦出击扑倒，迪尼主罚点球命中
44'横向将球转移                   42'沃特福德第42分钟打破僵局，德乌洛费乌禁区右侧被库尔图瓦出击扑倒，迪尼主罚点球命中
44'坎特这边断球下来                   42'沃特福德第42分钟打破僵局，德乌洛费乌禁区右侧被库尔图瓦出击扑倒，迪尼主罚点球命中
45'沃特福德这边反抢                   42'沃特福德第42分钟打破僵局，德乌洛费乌禁区右侧被库尔图瓦出击扑倒，迪尼主罚点球命中
45'里查利松出脚犯规                   42'沃特福德第42分钟打破僵局，德乌洛费乌禁区右侧被库尔图瓦出击扑倒，迪尼主罚点球命中
45'里查利松得到一张黄牌！                   42'沃特福德第42分钟打破僵局，德乌洛费乌禁区右侧被库尔图瓦出击扑倒，迪尼主罚点球命中
46'沃特福德禁区外围远射                   46'切尔西的进攻状况在下半场第1分钟并未有所改善，德乌洛费乌、理查利森和扬马特连续外围射门均偏出
46'阿斯皮利奎塔将球挡出底线                   46'切尔西的进攻状况在下半场第1分钟并未有所改善，德乌洛费乌、理查利森和扬马特连续外围射门均偏出
46'沃特福德的角球                   46'切尔西的进攻状况在下半场第1分钟并未有所改善，德乌洛费乌、理查利森和扬马特连续外围射门均偏出
46'上半场补时2分钟！！                   46'切尔西的进攻状况在下半场第1分钟并未有所改善，德乌洛费乌、理查利森和扬马特连续外围射门均偏出
46'角球直接平扫门前                   46'切尔西的进攻状况在下半场第1分钟并未有所改善，德乌洛费乌、理查利森和扬马特连续外围射门均偏出
46'球先出了底线                   46'切尔西的进攻状况在下半场第1分钟并未有所改善，德乌洛费乌、理查利森和扬马特连续外围射门均偏出
47'沃特福德的点球从另外一个角度看，库尔图瓦似乎是有带到对方的脚                   46'切尔西的进攻状况在下半场第1分钟并未有所改善，德乌洛费乌、理查利森和扬马特连续外围射门均偏出
46'下半场比赛开始！！                   46'切尔西的进攻状况在下半场第1分钟并未有所改善，德乌洛费乌、理查利森和扬马特连续外围射门均偏出
46'下半场比赛由切尔西开球                   46'切尔西的进攻状况在下半场第1分钟并未有所改善，德乌洛费乌、理查利森和扬马特连续外围射门均偏出
47'沃特福德中场拿球给到边路                   46'切尔西的进攻状况在下半场第1分钟并未有所改善，德乌洛费乌、理查利森和扬马特连续外围射门均偏出
47'左路倒三角传回来                   46'切尔西的进攻状况在下半场第1分钟并未有所改善，德乌洛费乌、理查利森和扬马特连续外围射门均偏出
47'禁区弧顶没有拿到啊                   46'切尔西的进攻状况在下半场第1分钟并未有所改善，德乌洛费乌、理查利森和扬马特连续外围射门均偏出
47'切尔西这边将球分出来                   46'切尔西的进攻状况在下半场第1分钟并未有所改善，德乌洛费乌、理查利森和扬马特连续外围射门均偏出
47'反击的速度也是不够快                   46'切尔西的进攻状况在下半场第1分钟并未有所改善，德乌洛费乌、理查利森和扬马特连续外围射门均偏出
48'沃特福德中场拿球送直塞                   46'切尔西的进攻状况在下半场第1分钟并未有所改善，德乌洛费乌、理查利森和扬马特连续外围射门均偏出
48'没有给过去                   46'切尔西的进攻状况在下半场第1分钟并未有所改善，德乌洛费乌、理查利森和扬马特连续外围射门均偏出
48'迪尼这边前场拿球                   46'切尔西的进攻状况在下半场第1分钟并未有所改善，德乌洛费乌、理查利森和扬马特连续外围射门均偏出
48'前面没有队友                   46'切尔西的进攻状况在下半场第1分钟并未有所改善，德乌洛费乌、理查利森和扬马特连续外围射门均偏出
49'也是先将球控制住                   46'切尔西的进攻状况在下半场第1分钟并未有所改善，德乌洛费乌、理查利森和扬马特连续外围射门均偏出
49'沃特福德这边横向转移                   46'切尔西的进攻状况在下半场第1分钟并未有所改善，德乌洛费乌、理查利森和扬马特连续外围射门均偏出
49'切尔西这边全部球员在本方半场                   46'切尔西的进攻状况在下半场第1分钟并未有所改善，德乌洛费乌、理查利森和扬马特连续外围射门均偏出
49'沃特福德中场送直塞                   46'切尔西的进攻状况在下半场第1分钟并未有所改善，德乌洛费乌、理查利森和扬马特连续外围射门均偏出
49'里查利松接球捅了一下                   46'切尔西的进攻状况在下半场第1分钟并未有所改善，德乌洛费乌、理查利森和扬马特连续外围射门均偏出
49'库尔图瓦这边禁区内将球拿到                   46'切尔西的进攻状况在下半场第1分钟并未有所改善，德乌洛费乌、理查利森和扬马特连续外围射门均偏出
82'切尔西前场拿球给到阿扎尔脚下，阿扎尔这边摆脱防守禁区外围兜射一脚，球直窜球门下脚而去！！！                   82'切尔西第82分钟扳平，阿扎尔前场连续闪转躲过防守后射入右下角，1-1
83'看看比赛有没有绝杀                   82'切尔西第82分钟扳平，阿扎尔前场连续闪转躲过防守后射入右下角，1-1
83'德乌洛费乌前场拿球拿球                   82'切尔西第82分钟扳平，阿扎尔前场连续闪转躲过防守后射入右下角，1-1
83'面对门将                   82'切尔西第82分钟扳平，阿扎尔前场连续闪转躲过防守后射入右下角，1-1
83'禁区内挑射打偏了                   82'切尔西第82分钟扳平，阿扎尔前场连续闪转躲过防守后射入右下角，1-1
83'这球差了一点点啊                   82'切尔西第82分钟扳平，阿扎尔前场连续闪转躲过防守后射入右下角，1-1
84'2-1！！！                   82'切尔西第82分钟扳平，阿扎尔前场连续闪转躲过防守后射入右下角，1-1
84'扬马特!!                   82'切尔西第82分钟扳平，阿扎尔前场连续闪转躲过防守后射入右下角，1-1
88'德乌洛费乌前场拿球自己内切到了禁区，低射远角破门！！！                   88'第88分钟，杜库雷传球，德乌洛费乌突入禁区边缘内低射左下角入网，3-1
89'之前的一个进球，扬马特小禁区前沿推射破门                   88'第88分钟，杜库雷传球，德乌洛费乌突入禁区边缘内低射左下角入网，3-1
90'下半场补时6分钟！！                   88'第88分钟，杜库雷传球，德乌洛费乌突入禁区边缘内低射左下角入网，3-1
90'切尔西这边扳平的希望不大啊                   88'第88分钟，杜库雷传球，德乌洛费乌突入禁区边缘内低射左下角入网，3-1
90'沃特福德右路拿球被断                   88'第88分钟，杜库雷传球，德乌洛费乌突入禁区边缘内低射左下角入网，3-1
90'切尔西这边反击                   88'第88分钟，杜库雷传球，德乌洛费乌突入禁区边缘内低射左下角入网，3-1
90'刚过中场就被断                   88'第88分钟，杜库雷传球，德乌洛费乌突入禁区边缘内低射左下角入网，3-1
90'4-1！！！                   88'第88分钟，杜库雷传球，德乌洛费乌突入禁区边缘内低射左下角入网，3-1
91'佩雷拉！！！                   88'第88分钟，杜库雷传球，德乌洛费乌突入禁区边缘内低射左下角入网，3-1
91'沃特福德前场断球下来走中路送直塞，佩雷拉斜插进来，禁区内推射远角破门！！                   88'第88分钟，杜库雷传球，德乌洛费乌突入禁区边缘内低射左下角入网，3-1
91'库尔图瓦没有反应啊                   88'第88分钟，杜库雷传球，德乌洛费乌突入禁区边缘内低射左下角入网，3-1
