3'库蒂尼奥左路带球直传，苏亚雷斯得球小角度打门被后卫挡出                   3'开场仅3分钟，库蒂尼奥传球，苏亚雷斯禁区左侧射近角被里科扑出
51'球却落在穆尼尔脚下，穆尼尔再打低射，特尔施特根倒地扑了一下但球还是弹立柱内侧入网！                   50'塞维利亚第50分钟扩大比分，埃斯库德罗禁区左侧劲射被扑出，穆里尔12码处射门打在乌姆蒂蒂腿上偏转后击中左侧立柱内侧入网，2-0
52'想不到塞尔维亚2球领先                   50'塞维利亚第50分钟扩大比分，埃斯库德罗禁区左侧劲射被扑出，穆里尔12码处射门打在乌姆蒂蒂腿上偏转后击中左侧立柱内侧入网，2-0
52'看梅西什么时候上了                   50'塞维利亚第50分钟扩大比分，埃斯库德罗禁区左侧劲射被扑出，穆里尔12码处射门打在乌姆蒂蒂腿上偏转后击中左侧立柱内侧入网，2-0
52'拉基蒂奇要球，分左侧的阿尔巴                   50'塞维利亚第50分钟扩大比分，埃斯库德罗禁区左侧劲射被扑出，穆里尔12码处射门打在乌姆蒂蒂腿上偏转后击中左侧立柱内侧入网，2-0
53'横传，伊涅斯塔得球，急停，被巴内加绊倒                   50'塞维利亚第50分钟扩大比分，埃斯库德罗禁区左侧劲射被扑出，穆里尔12码处射门打在乌姆蒂蒂腿上偏转后击中左侧立柱内侧入网，2-0
53'巴塞罗那获得禁区前沿的任意球机会                   50'塞维利亚第50分钟扩大比分，埃斯库德罗禁区左侧劲射被扑出，穆里尔12码处射门打在乌姆蒂蒂腿上偏转后击中左侧立柱内侧入网，2-0
59'梅西拿球转身，直传，                   58'梅西第58分钟替换登贝莱出场
59'罗贝托插上横扫门前，朗格莱门线前将球解围                   58'梅西第58分钟替换登贝莱出场
59'梅西上来节奏立马上了两档                   58'梅西第58分钟替换登贝莱出场
59'拉基蒂奇吊球禁区，皮克头球摆渡下来                   58'梅西第58分钟替换登贝莱出场
59'朗格莱大脚解围                   58'梅西第58分钟替换登贝莱出场
60'梅西中路分边，阿尔巴连停带过，再横扫门前                   58'梅西第58分钟替换登贝莱出场
60'苏亚雷斯后点铲射，击中了立柱外侧出底线                   58'梅西第58分钟替换登贝莱出场
61'克亚尔分右侧的梅尔卡多                   58'梅西第58分钟替换登贝莱出场
61'一顺，伊涅斯塔断球                   58'梅西第58分钟替换登贝莱出场
48'库蒂尼奥左路的传中，给大了一点                   47'巴萨2分钟连入2球扳平，第88分钟，苏亚雷斯角球混战中小禁区左侧腾空扫射入网
49'梅西正在场下做热身                   47'巴萨2分钟连入2球扳平，第88分钟，苏亚雷斯角球混战中小禁区左侧腾空扫射入网
49'相信很快就会上场了                   47'巴萨2分钟连入2球扳平，第88分钟，苏亚雷斯角球混战中小禁区左侧腾空扫射入网
49'恩宗齐交给巴内加                   47'巴萨2分钟连入2球扳平，第88分钟，苏亚雷斯角球混战中小禁区左侧腾空扫射入网
49'科雷阿中路带球，没有突过去                   47'巴萨2分钟连入2球扳平，第88分钟，苏亚雷斯角球混战中小禁区左侧腾空扫射入网
49'特尔施特根长传右侧，被断了                   47'巴萨2分钟连入2球扳平，第88分钟，苏亚雷斯角球混战中小禁区左侧腾空扫射入网
50'塞尔维亚再进一球！                   47'巴萨2分钟连入2球扳平，第88分钟，苏亚雷斯角球混战中小禁区左侧腾空扫射入网
50'穆尼尔的进球！                   47'巴萨2分钟连入2球扳平，第88分钟，苏亚雷斯角球混战中小禁区左侧腾空扫射入网
50'穆尼尔禁区边缘分给巴内加，巴内加劲射被特尔施特根挡出！                   47'巴萨2分钟连入2球扳平，第88分钟，苏亚雷斯角球混战中小禁区左侧腾空扫射入网
89'说话间，梅西将比分扳平了！                   89'第89分钟，库蒂尼奥传球，梅西25码处劲射被里科扑挡后入左下角，2-2
89'阿尔巴左侧横传，梅尔卡多板顶处左脚顺势推射，球打进球门左下角！                   89'第89分钟，库蒂尼奥传球，梅西25码处劲射被里科扑挡后入左下角，2-2
90'赛前有网友估比分是2：2，高人！                   89'第89分钟，库蒂尼奥传球，梅西25码处劲射被里科扑挡后入左下角，2-2
90'进球的是梅西，不是梅尔卡多！                   89'第89分钟，库蒂尼奥传球，梅西25码处劲射被里科扑挡后入左下角，2-2
90'下半场补时2分钟                   89'第89分钟，库蒂尼奥传球，梅西25码处劲射被里科扑挡后入左下角，2-2
91'塞维利亚也不是没有机会                   89'第89分钟，库蒂尼奥传球，梅西25码处劲射被里科扑挡后入左下角，2-2
91'塞维利亚有球员越位                   89'第89分钟，库蒂尼奥传球，梅西25码处劲射被里科扑挡后入左下角，2-2
91'巴塞罗那最后机会                   89'第89分钟，库蒂尼奥传球，梅西25码处劲射被里科扑挡后入左下角，2-2
92'小苏亚雷斯左路内切，横传被巴内加铲走                   89'第89分钟，库蒂尼奥传球，梅西25码处劲射被里科扑挡后入左下角，2-2
92'小苏亚雷斯就地反抢                   89'第89分钟，库蒂尼奥传球，梅西25码处劲射被里科扑挡后入左下角，2-2
92'库蒂尼奥强行打门击中了后卫                   89'第89分钟，库蒂尼奥传球，梅西25码处劲射被里科扑挡后入左下角，2-2
