4'伊波比拿到！往前送！禁区前沿右侧！胡特滑铲！                   4'开场仅4分钟，萨拉比亚传球，纳斯里禁区右侧的射门被舒梅切尔扑出
53'再分边玛利亚若！                   52'塞维利亚第52分钟险些扳平，埃斯库德罗30码外抽射憾中横梁弹回
53'胡特上抢踢出边线！                   52'塞维利亚第52分钟险些扳平，埃斯库德罗30码外抽射憾中横梁弹回
53'横敲中路埃斯库德罗！                   52'塞维利亚第52分钟险些扳平，埃斯库德罗30码外抽射憾中横梁弹回
53'外围打一脚！横梁啊！！！                   52'塞维利亚第52分钟险些扳平，埃斯库德罗30码外抽射憾中横梁弹回
54'禁区左侧本耶德尔再来一脚！飞机了啊！                   52'塞维利亚第52分钟险些扳平，埃斯库德罗30码外抽射憾中横梁弹回
54'门球！                   52'塞维利亚第52分钟险些扳平，埃斯库德罗30码外抽射憾中横梁弹回
54'大脚给到中路瓦尔迪！                   52'塞维利亚第52分钟险些扳平，埃斯库德罗30码外抽射憾中横梁弹回
54'往前走！被断了！                   52'塞维利亚第52分钟险些扳平，埃斯库德罗30码外抽射憾中横梁弹回
55'冈崎慎司边路反抢下来！大禁区前沿直接抽射！                   52'塞维利亚第52分钟险些扳平，埃斯库德罗30码外抽射憾中横梁弹回
55'帕雷哈拦截下来！外围奥布雷恩拿到抽射！！！                   52'塞维利亚第52分钟险些扳平，埃斯库德罗30码外抽射憾中横梁弹回
55'进了进了进了！！！                   52'塞维利亚第52分钟险些扳平，埃斯库德罗30码外抽射憾中横梁弹回
74'外围右侧科雷亚继续拿到！再给禁区前沿玛利亚若！                   74'塞维利亚第74分钟遭遇打击，瓦尔迪推搡纳斯里，后者用头顶撞对方，两人均被黄牌警告，纳斯里累计2张黄牌被罚下
75'这边裁判又给纳斯里一张黄牌！                   74'塞维利亚第74分钟遭遇打击，瓦尔迪推搡纳斯里，后者用头顶撞对方，两人均被黄牌警告，纳斯里累计2张黄牌被罚下
75'两黄变一红罚下了啊！                   74'塞维利亚第74分钟遭遇打击，瓦尔迪推搡纳斯里，后者用头顶撞对方，两人均被黄牌警告，纳斯里累计2张黄牌被罚下
75'纳斯里火气很大啊！不服气！                   74'塞维利亚第74分钟遭遇打击，瓦尔迪推搡纳斯里，后者用头顶撞对方，两人均被黄牌警告，纳斯里累计2张黄牌被罚下
75'现在塞维利亚少打一人了啊！                   74'塞维利亚第74分钟遭遇打击，瓦尔迪推搡纳斯里，后者用头顶撞对方，两人均被黄牌警告，纳斯里累计2张黄牌被罚下
76'中圈位置恩宗齐回敲帕雷哈！                   74'塞维利亚第74分钟遭遇打击，瓦尔迪推搡纳斯里，后者用头顶撞对方，两人均被黄牌警告，纳斯里累计2张黄牌被罚下
76'斜传左路拉米！摆渡到右路！                   74'塞维利亚第74分钟遭遇打击，瓦尔迪推搡纳斯里，后者用头顶撞对方，两人均被黄牌警告，纳斯里累计2张黄牌被罚下
76'右路玛利亚若直接传中！禁区前沿摩根解围！                   74'塞维利亚第74分钟遭遇打击，瓦尔迪推搡纳斯里，后者用头顶撞对方，两人均被黄牌警告，纳斯里累计2张黄牌被罚下
77'给到中圈！马赫雷斯拿到！                   74'塞维利亚第74分钟遭遇打击，瓦尔迪推搡纳斯里，后者用头顶撞对方，两人均被黄牌警告，纳斯里累计2张黄牌被罚下
77'恩宗齐上抢断下！                   74'塞维利亚第74分钟遭遇打击，瓦尔迪推搡纳斯里，后者用头顶撞对方，两人均被黄牌警告，纳斯里累计2张黄牌被罚下
77'低平给右路约维蒂奇！瓦尔迪上来防守犯规！                   74'塞维利亚第74分钟遭遇打击，瓦尔迪推搡纳斯里，后者用头顶撞对方，两人均被黄牌警告，纳斯里累计2张黄牌被罚下
