2'登贝莱边路接球                   2'开场仅2分钟，莱尔马角球混战中禁区左侧小角度射门偏出近角
13'巴萨禁区中路挑传进来，队友头球摆渡回来，梅西中路跟进弹射远端，球击中立柱内侧弹入球门！！                   12'巴萨第12分钟取得领先，梅西挑传禁区左侧，阿尔巴头球回摆，梅西12码处半凌空扫射，皮球两次弹地后击中右侧立柱内侧入网
14'巴萨这边开场不到15分钟便取得领先                   12'巴萨第12分钟取得领先，梅西挑传禁区左侧，阿尔巴头球回摆，梅西12码处半凌空扫射，皮球两次弹地后击中右侧立柱内侧入网
14'巴萨左路做撞墙                   12'巴萨第12分钟取得领先，梅西挑传禁区左侧，阿尔巴头球回摆，梅西12码处半凌空扫射，皮球两次弹地后击中右侧立柱内侧入网
14'底线将球传回来                   12'巴萨第12分钟取得领先，梅西挑传禁区左侧，阿尔巴头球回摆，梅西12码处半凌空扫射，皮球两次弹地后击中右侧立柱内侧入网
14'中路！！                   12'巴萨第12分钟取得领先，梅西挑传禁区左侧，阿尔巴头球回摆，梅西12码处半凌空扫射，皮球两次弹地后击中右侧立柱内侧入网
15'苏亚雷斯停球后打门                   12'巴萨第12分钟取得领先，梅西挑传禁区左侧，阿尔巴头球回摆，梅西12码处半凌空扫射，皮球两次弹地后击中右侧立柱内侧入网
15'奥耶尔这边将球挡了出去                   12'巴萨第12分钟取得领先，梅西挑传禁区左侧，阿尔巴头球回摆，梅西12码处半凌空扫射，皮球两次弹地后击中右侧立柱内侧入网
15'巴萨这段时间攻势很盛                   12'巴萨第12分钟取得领先，梅西挑传禁区左侧，阿尔巴头球回摆，梅西12码处半凌空扫射，皮球两次弹地后击中右侧立柱内侧入网
38'2-0！！！！                   38'巴萨第38分钟扩大比分，罗伯托凌空垫传，苏亚雷斯12码处凌空扫射偏转后吊入上角，2-0
38'这次是苏亚雷斯！！                   38'巴萨第38分钟扩大比分，罗伯托凌空垫传，苏亚雷斯12码处凌空扫射偏转后吊入上角，2-0
39'巴萨前场挑传送底线，队友不停球直接回到禁区，苏亚雷斯停球后稍作调整直接抽射得分！！                   38'巴萨第38分钟扩大比分，罗伯托凌空垫传，苏亚雷斯12码处凌空扫射偏转后吊入上角，2-0
39'这球进的实在漂亮                   38'巴萨第38分钟扩大比分，罗伯托凌空垫传，苏亚雷斯12码处凌空扫射偏转后吊入上角，2-0
39'巴萨中场拿球给到阿尔巴脚下                   38'巴萨第38分钟扩大比分，罗伯托凌空垫传，苏亚雷斯12码处凌空扫射偏转后吊入上角，2-0
39'阿尔巴停球没机会                   38'巴萨第38分钟扩大比分，罗伯托凌空垫传，苏亚雷斯12码处凌空扫射偏转后吊入上角，2-0
39'梅西中路拿球造了卢季奇手球                   38'巴萨第38分钟扩大比分，罗伯托凌空垫传，苏亚雷斯12码处凌空扫射偏转后吊入上角，2-0
40'巴萨这边获得一个位置还算不错的任意球                   38'巴萨第38分钟扩大比分，罗伯托凌空垫传，苏亚雷斯12码处凌空扫射偏转后吊入上角，2-0
40'梅西看样子要自己打了                   38'巴萨第38分钟扩大比分，罗伯托凌空垫传，苏亚雷斯12码处凌空扫射偏转后吊入上角，2-0
40'裁判示意人墙往后                   38'巴萨第38分钟扩大比分，罗伯托凌空垫传，苏亚雷斯12码处凌空扫射偏转后吊入上角，2-0
40'梅西任意球直接打门                   38'巴萨第38分钟扩大比分，罗伯托凌空垫传，苏亚雷斯12码处凌空扫射偏转后吊入上角，2-0
40'球打在人墙上出了底线                   38'巴萨第38分钟扩大比分，罗伯托凌空垫传，苏亚雷斯12码处凌空扫射偏转后吊入上角，2-0
40'角球                   38'巴萨第38分钟扩大比分，罗伯托凌空垫传，苏亚雷斯12码处凌空扫射偏转后吊入上角，2-0
41'打了一个战术                   38'巴萨第38分钟扩大比分，罗伯托凌空垫传，苏亚雷斯12码处凌空扫射偏转后吊入上角，2-0
41'伊涅斯塔拿球回敲                   38'巴萨第38分钟扩大比分，罗伯托凌空垫传，苏亚雷斯12码处凌空扫射偏转后吊入上角，2-0
41'巴萨左路再下底                   38'巴萨第38分钟扩大比分，罗伯托凌空垫传，苏亚雷斯12码处凌空扫射偏转后吊入上角，2-0
41'后点维尔马伦头球攻门                   38'巴萨第38分钟扩大比分，罗伯托凌空垫传，苏亚雷斯12码处凌空扫射偏转后吊入上角，2-0
41'顶得比较正                   38'巴萨第38分钟扩大比分，罗伯托凌空垫传，苏亚雷斯12码处凌空扫射偏转后吊入上角，2-0
93'梅西左路拿球到了禁区，底线横敲到门前，前点苏亚雷斯故意一漏，保利尼奥跟进捅射破门                   93'第93分钟，梅西突入禁区左侧传中，保利尼奥小禁区边缘捅射入网，3-0
93'莱万特前场左路拿球被破坏                   93'第93分钟，梅西突入禁区左侧传中，保利尼奥小禁区边缘捅射入网，3-0
94'时间上到了                   93'第93分钟，梅西突入禁区左侧传中，保利尼奥小禁区边缘捅射入网，3-0
