1'尤文图斯在自己后场控球                   1'第1分钟节奏很快
33'进球很快，很多啊！！刺激的比赛。                   31'第31分钟，蒙塔里禁区玩火没有直接解围，马尔基西奥在门前13米处左脚低射左下角，迭戈-洛佩斯指尖托出底线，皮尔洛左侧角球被迭戈-洛佩斯击出，特维斯头球摆渡，博努奇在门前5米处外脚背凌空撩射入网，2比1
33'米兰刚刚把比方扳平不到4分钟尤文图斯就把比方再次超出                   31'第31分钟，蒙塔里禁区玩火没有直接解围，马尔基西奥在门前13米处左脚低射左下角，迭戈-洛佩斯指尖托出底线，皮尔洛左侧角球被迭戈-洛佩斯击出，特维斯头球摆渡，博努奇在门前5米处外脚背凌空撩射入网，2比1
34'博格巴中场带球突破被埃辛铲倒，黄牌！                   31'第31分钟，蒙塔里禁区玩火没有直接解围，马尔基西奥在门前13米处左脚低射左下角，迭戈-洛佩斯指尖托出底线，皮尔洛左侧角球被迭戈-洛佩斯击出，特维斯头球摆渡，博努奇在门前5米处外脚背凌空撩射入网，2比1
34'埃辛铲抢时还收了动作，吃到黄牌确实有些重                   31'第31分钟，蒙塔里禁区玩火没有直接解围，马尔基西奥在门前13米处左脚低射左下角，迭戈-洛佩斯指尖托出底线，皮尔洛左侧角球被迭戈-洛佩斯击出，特维斯头球摆渡，博努奇在门前5米处外脚背凌空撩射入网，2比1
41'博格巴一个在左边路带球突破，戏耍了米兰3个后卫，突入禁区，米兰后卫解围打在自己队友身上弹出底线，角球                   41'第41分钟，皮尔洛左侧开出角球，博努奇头球争顶被挡出，尤文队员投诉埃辛手球，主裁判达马托没有中断比赛
41'皮尔洛把球传到前点，基耶利尼头球后蹭，球被门将没收                   41'第41分钟，皮尔洛左侧开出角球，博努奇头球争顶被挡出，尤文队员投诉埃辛手球，主裁判达马托没有中断比赛
42'米兰中路波利的一脚远射打在后卫身上弹出底线，角球                   41'第41分钟，皮尔洛左侧开出角球，博努奇头球争顶被挡出，尤文队员投诉埃辛手球，主裁判达马托没有中断比赛
43'低平球传到门前，混战中后卫把球解围出来                   41'第41分钟，皮尔洛左侧开出角球，博努奇头球争顶被挡出，尤文队员投诉埃辛手球，主裁判达马托没有中断比赛
43'本田圭佑的直传边路，接应队友越位了                   41'第41分钟，皮尔洛左侧开出角球，博努奇头球争顶被挡出，尤文队员投诉埃辛手球，主裁判达马托没有中断比赛
44'米兰在中场倒脚，把球转移到两个边路拉扯对方的防守阵型                   41'第41分钟，皮尔洛左侧开出角球，博努奇头球争顶被挡出，尤文队员投诉埃辛手球，主裁判达马托没有中断比赛
44'尤文图斯中场抢断，长传找左边路的比达尔，落点不够准确                   41'第41分钟，皮尔洛左侧开出角球，博努奇头球争顶被挡出，尤文队员投诉埃辛手球，主裁判达马托没有中断比赛
54'帕齐尼前场回撤接应，被基耶利尼推倒，犯规                   54'第54分钟，安东内利直传禁区左侧，帕齐尼在门前12米处左脚扫射，布冯倒地封出近角
54'切尔奇右边路带球高速突破，被帕多因铲断把球留下                   54'第54分钟，安东内利直传禁区左侧，帕齐尼在门前12米处左脚扫射，布冯倒地封出近角
54'米兰中场抢断，长传到禁区里给帕齐尼                   54'第54分钟，安东内利直传禁区左侧，帕齐尼在门前12米处左脚扫射，布冯倒地封出近角
55'帕齐尼停球后转身就打，被布冯单掌挡出底线，角球                   54'第54分钟，安东内利直传禁区左侧，帕齐尼在门前12米处左脚扫射，布冯倒地封出近角
55'角球传到后点，接应队友头球摆渡到门前，球出了底线                   54'第54分钟，安东内利直传禁区左侧，帕齐尼在门前12米处左脚扫射，布冯倒地封出近角
55'特维斯中路带球突破，被对方3人围抢，球丢了                   54'第54分钟，安东内利直传禁区左侧，帕齐尼在门前12米处左脚扫射，布冯倒地封出近角
56'博格巴中路带球突破被埃辛绊倒，任意球                   54'第54分钟，安东内利直传禁区左侧，帕齐尼在门前12米处左脚扫射，布冯倒地封出近角
57'任意球位置就在禁区弧顶外几米处                   54'第54分钟，安东内利直传禁区左侧，帕齐尼在门前12米处左脚扫射，布冯倒地封出近角
57'皮尔洛任意球射门，地平球被人墙挡住                   54'第54分钟，安东内利直传禁区左侧，帕齐尼在门前12米处左脚扫射，布冯倒地封出近角
65'莫拉塔进球！                   65'尤文第65分钟再下一城，特维斯做球，马尔基西奥在门前24米处左脚低射击中左门柱，莫拉塔左脚轻松推进空门，3比1，他在近386分钟比赛中参与6球，在西甲和意甲首次单场进球并助攻
66'尤文图斯禁区外特维斯拿球，横敲给禁区中路的马尔基西奥，远射打在立柱上，门前跟进的莫拉塔补射把球打进！3-1                   65'尤文第65分钟再下一城，特维斯做球，马尔基西奥在门前24米处左脚低射击中左门柱，莫拉塔左脚轻松推进空门，3比1，他在近386分钟比赛中参与6球，在西甲和意甲首次单场进球并助攻
68'埃弗拉在左边路传中，球被后卫挡出禁区！                   65'尤文第65分钟再下一城，特维斯做球，马尔基西奥在门前24米处左脚低射击中左门柱，莫拉塔左脚轻松推进空门，3比1，他在近386分钟比赛中参与6球，在西甲和意甲首次单场进球并助攻
68'尤文图斯中路博格巴直传，特维斯稍稍越位了一些                   65'尤文第65分钟再下一城，特维斯做球，马尔基西奥在门前24米处左脚低射击中左门柱，莫拉塔左脚轻松推进空门，3比1，他在近386分钟比赛中参与6球，在西甲和意甲首次单场进球并助攻
87'帕齐尼在禁区线上和基耶利尼拼抢时受伤倒地                   87'第87分钟，帕齐尼被基耶利尼肘部触及面部倒地，到场边接受检查
90'特维斯中场拼抢从身后踢倒了埃辛，黄牌                   87'第87分钟，帕齐尼被基耶利尼肘部触及面部倒地，到场边接受检查
90'米兰中场起球斜传到禁区里，布冯出击把球没收                   87'第87分钟，帕齐尼被基耶利尼肘部触及面部倒地，到场边接受检查
