5'力帆的进攻，左路上来，吴庆背身护球，敲给徐洋                   5'第5分钟，广州富力前场组织进攻，边路横传禁区前，扎哈维得球直接远射将球打高
16'力帆主场作战，很快扳平了比分。这个球很及时                   14'第14分钟，重庆力帆前场一脚传球配合，吴庆禁区前拿球晃开防守队员后大力远射将球打高
17'力帆右侧反击推进到禁区前沿，王栋挑传到点球点附近，给的时机恰到好处，吴庆和小摩托同时插上都不越位，吴庆倚住于洋，禁区中路推射得手                   14'第14分钟，重庆力帆前场一脚传球配合，吴庆禁区前拿球晃开防守队员后大力远射将球打高
17'刚刚说，王栋的直塞，小摩托的突破，果然，王栋的直塞富力没有防住啊                   14'第14分钟，重庆力帆前场一脚传球配合，吴庆禁区前拿球晃开防守队员后大力远射将球打高
17'比赛进行不到20分钟，双方就各入一球，很好看的一场球，双方现在又趋于冷静下来了                   14'第14分钟，重庆力帆前场一脚传球配合，吴庆禁区前拿球晃开防守队员后大力远射将球打高
18'吴庆又是一次单刀的机会，这次未能把握啊                   18'第18分钟，费尔南多中路拿球再次反调斜线打后卫身后，吴庆快速插上形成单刀，但是他的挑射高度不够，球被门将韩锋没收
19'富力30米区域的防守并不紧密，小摩托得球，搓入禁区，吴庆插上，禁区右侧得到机会，汪嵩奋力回铲，吴庆挑远角，没有踢上力量被韩锋没收                   18'第18分钟，费尔南多中路拿球再次反调斜线打后卫身后，吴庆快速插上形成单刀，但是他的挑射高度不够，球被门将韩锋没收
19'这个球吴庆脚软了，如果改成爆射，那韩锋就不好办了                   18'第18分钟，费尔南多中路拿球再次反调斜线打后卫身后，吴庆快速插上形成单刀，但是他的挑射高度不够，球被门将韩锋没收
19'谭望嵩后场防守，把球破坏出边线                   18'第18分钟，费尔南多中路拿球再次反调斜线打后卫身后，吴庆快速插上形成单刀，但是他的挑射高度不够，球被门将韩锋没收
19'左侧姜至鹏得球，内切突破，在给到弧顶处                   18'第18分钟，费尔南多中路拿球再次反调斜线打后卫身后，吴庆快速插上形成单刀，但是他的挑射高度不够，球被门将韩锋没收
20'姜至鹏自己再往禁区内插，姜至鹏今天进攻欲望好强                   18'第18分钟，费尔南多中路拿球再次反调斜线打后卫身后，吴庆快速插上形成单刀，但是他的挑射高度不够，球被门将韩锋没收
20'禁区前汪嵩的挑传，被米洛维奇抢先挡出                   18'第18分钟，费尔南多中路拿球再次反调斜线打后卫身后，吴庆快速插上形成单刀，但是他的挑射高度不够，球被门将韩锋没收
20'郑又荣中路得球，给到右侧小摩托，又是直塞                   18'第18分钟，费尔南多中路拿球再次反调斜线打后卫身后，吴庆快速插上形成单刀，但是他的挑射高度不够，球被门将韩锋没收
20'这次找卡尔德克，力量给的有点大，球是滚出了底线                   18'第18分钟，费尔南多中路拿球再次反调斜线打后卫身后，吴庆快速插上形成单刀，但是他的挑射高度不够，球被门将韩锋没收
21'富力的防线有些问题啊，力帆多次直塞得球，这个球如果不是给大了，恐怕又是个好机会                   18'第18分钟，费尔南多中路拿球再次反调斜线打后卫身后，吴庆快速插上形成单刀，但是他的挑射高度不够，球被门将韩锋没收
21'王晓龙右侧得球，横拨中间汪嵩，在给斯文森                   18'第18分钟，费尔南多中路拿球再次反调斜线打后卫身后，吴庆快速插上形成单刀，但是他的挑射高度不够，球被门将韩锋没收
42'又是反击，又是小摩托的神来之笔，很经典的摩托式进球                   42'第42分钟，王栋中场断球反击，卡尔德克回做，郑佑荣中路送出直塞，费尔南多快速插上拿球将张耀坤晃倒在地，之后面对门将韩锋轻松推射远角得手，重庆力帆2-1反超比分
42'王栋中场从斯文森脚下抢断，直塞给到前面卡尔德克，在横敲右侧插上的小摩托，小摩托面对张耀坤，强行趟过，禁区内单刀面对韩锋，冷静推射远角得手                   42'第42分钟，王栋中场断球反击，卡尔德克回做，郑佑荣中路送出直塞，费尔南多快速插上拿球将张耀坤晃倒在地，之后面对门将韩锋轻松推射远角得手，重庆力帆2-1反超比分
43'这个球很摩托，很费尔南多，让人想起他之前的各种千里走单骑，而老迈的张耀坤成为了背景帝                   42'第42分钟，王栋中场断球反击，卡尔德克回做，郑佑荣中路送出直塞，费尔南多快速插上拿球将张耀坤晃倒在地，之后面对门将韩锋轻松推射远角得手，重庆力帆2-1反超比分
43'王晓龙禁区前沿的突破造成郑又荣的阻挡犯规                   42'第42分钟，王栋中场断球反击，卡尔德克回做，郑佑荣中路送出直塞，费尔南多快速插上拿球将张耀坤晃倒在地，之后面对门将韩锋轻松推射远角得手，重庆力帆2-1反超比分
43'位置非常霸道的定位球机会，扎哈维来主罚                   42'第42分钟，王栋中场断球反击，卡尔德克回做，郑佑荣中路送出直塞，费尔南多快速插上拿球将张耀坤晃倒在地，之后面对门将韩锋轻松推射远角得手，重庆力帆2-1反超比分
44'扎哈维右脚内脚背兜射弧线打近角，绕过人墙之后，稍稍偏了一些                   42'第42分钟，王栋中场断球反击，卡尔德克回做，郑佑荣中路送出直塞，费尔南多快速插上拿球将张耀坤晃倒在地，之后面对门将韩锋轻松推射远角得手，重庆力帆2-1反超比分
44'扎哈维的定位球还是威胁很大的啊，这个人踢球很聪明，而且脚法特别好                   42'第42分钟，王栋中场断球反击，卡尔德克回做，郑佑荣中路送出直塞，费尔南多快速插上拿球将张耀坤晃倒在地，之后面对门将韩锋轻松推射远角得手，重庆力帆2-1反超比分
44'上半场补时2分钟                   42'第42分钟，王栋中场断球反击，卡尔德克回做，郑佑荣中路送出直塞，费尔南多快速插上拿球将张耀坤晃倒在地，之后面对门将韩锋轻松推射远角得手，重庆力帆2-1反超比分
45'富力中路渗透受阻                   42'第42分钟，王栋中场断球反击，卡尔德克回做，郑佑荣中路送出直塞，费尔南多快速插上拿球将张耀坤晃倒在地，之后面对门将韩锋轻松推射远角得手，重庆力帆2-1反超比分
45'力帆反击，卡尔德克前场做墙，在做给小摩托，没有选择强突，稳一下节奏                   42'第42分钟，王栋中场断球反击，卡尔德克回做，郑佑荣中路送出直塞，费尔南多快速插上拿球将张耀坤晃倒在地，之后面对门将韩锋轻松推射远角得手，重庆力帆2-1反超比分
45'转移过去到左路，徐洋                   42'第42分钟，王栋中场断球反击，卡尔德克回做，郑佑荣中路送出直塞，费尔南多快速插上拿球将张耀坤晃倒在地，之后面对门将韩锋轻松推射远角得手，重庆力帆2-1反超比分
44'扎哈维右脚内脚背兜射弧线打近角，绕过人墙之后，稍稍偏了一些                   44'第44分钟，广州富力获得禁区前任意球，扎哈维直接弧线球射近角稍稍偏出
44'扎哈维的定位球还是威胁很大的啊，这个人踢球很聪明，而且脚法特别好                   44'第44分钟，广州富力获得禁区前任意球，扎哈维直接弧线球射近角稍稍偏出
44'上半场补时2分钟                   44'第44分钟，广州富力获得禁区前任意球，扎哈维直接弧线球射近角稍稍偏出
45'富力中路渗透受阻                   44'第44分钟，广州富力获得禁区前任意球，扎哈维直接弧线球射近角稍稍偏出
45'力帆反击，卡尔德克前场做墙，在做给小摩托，没有选择强突，稳一下节奏                   44'第44分钟，广州富力获得禁区前任意球，扎哈维直接弧线球射近角稍稍偏出
45'转移过去到左路，徐洋                   44'第44分钟，广州富力获得禁区前任意球，扎哈维直接弧线球射近角稍稍偏出
46'徐洋斜吊禁区，卡尔德克插上头球后蹭，韩锋出来了，球是打在韩锋身上弹出                   44'第44分钟，广州富力获得禁区前任意球，扎哈维直接弧线球射近角稍稍偏出
46'吴庆中路再补一脚，在对方的逼迫下射歪了                   44'第44分钟，广州富力获得禁区前任意球，扎哈维直接弧线球射近角稍稍偏出
47'韩锋开出门球，给到唐淼，右侧推进                   44'第44分钟，广州富力获得禁区前任意球，扎哈维直接弧线球射近角稍稍偏出
47'在给汪嵩，汪嵩组织一下，回给唐淼，唐淼传中被挡出                   44'第44分钟，广州富力获得禁区前任意球，扎哈维直接弧线球射近角稍稍偏出
47'外围扎哈维得球在突被挡                   44'第44分钟，广州富力获得禁区前任意球，扎哈维直接弧线球射近角稍稍偏出
46'下半场开始，扎哈维和肖智为富力开球                   44'第44分钟，广州富力获得禁区前任意球，扎哈维直接弧线球射近角稍稍偏出
46'富力这边，陈志钊替下张耀坤                   44'第44分钟，广州富力获得禁区前任意球，扎哈维直接弧线球射近角稍稍偏出
46'很显然，富力要加强进攻了                   44'第44分钟，广州富力获得禁区前任意球，扎哈维直接弧线球射近角稍稍偏出
47'唐淼右侧得球，回给斯文森，中路在给汪嵩                   44'第44分钟，广州富力获得禁区前任意球，扎哈维直接弧线球射近角稍稍偏出
47'汪嵩大范围给到左侧的姜至鹏                   44'第44分钟，广州富力获得禁区前任意球，扎哈维直接弧线球射近角稍稍偏出
47'姜至鹏快速下底，传中到门前， 米洛维奇头球解围                   44'第44分钟，广州富力获得禁区前任意球，扎哈维直接弧线球射近角稍稍偏出
47'吴庆后场护球，转身被于洋撂倒                   44'第44分钟，广州富力获得禁区前任意球，扎哈维直接弧线球射近角稍稍偏出
48'这时候王哲哨响，上半场结束了                   48'第48分钟，扎哈维中路拿球转身摆脱后将球转移到左路空当，姜至鹏边路插上直接小角度斜射，邓小飞扑球稍稍脱手，肖智及时赶到倒地铲射破门，比分变为2-2平
48'富力前场积极的拼抢，赢得一个定位球                   48'第48分钟，扎哈维中路拿球转身摆脱后将球转移到左路空当，姜至鹏边路插上直接小角度斜射，邓小飞扑球稍稍脱手，肖智及时赶到倒地铲射破门，比分变为2-2平
48'快开，迅速的直塞到禁区前，被挡出                   48'第48分钟，扎哈维中路拿球转身摆脱后将球转移到左路空当，姜至鹏边路插上直接小角度斜射，邓小飞扑球稍稍脱手，肖智及时赶到倒地铲射破门，比分变为2-2平
48'富力扳平了比分，肖智                   48'第48分钟，扎哈维中路拿球转身摆脱后将球转移到左路空当，姜至鹏边路插上直接小角度斜射，邓小飞扑球稍稍脱手，肖智及时赶到倒地铲射破门，比分变为2-2平
48'富力下半场一上来就扳平了                   48'第48分钟，扎哈维中路拿球转身摆脱后将球转移到左路空当，姜至鹏边路插上直接小角度斜射，邓小飞扑球稍稍脱手，肖智及时赶到倒地铲射破门，比分变为2-2平
49'外围姜至鹏远射左侧远射，虽然角度比较正，但力量很大，肖智门前嗅觉灵敏，迅速包抄插上补射得手                   48'第48分钟，扎哈维中路拿球转身摆脱后将球转移到左路空当，姜至鹏边路插上直接小角度斜射，邓小飞扑球稍稍脱手，肖智及时赶到倒地铲射破门，比分变为2-2平
49'肖智上半场并没有什么发挥，正当小播想吐槽他的时候，他就堵住了小播的嘴                   48'第48分钟，扎哈维中路拿球转身摆脱后将球转移到左路空当，姜至鹏边路插上直接小角度斜射，邓小飞扑球稍稍脱手，肖智及时赶到倒地铲射破门，比分变为2-2平
50'上轮邓小飞对阵国安的时候发挥十分神勇，这个球脱手失误给了肖智机会，确实有点郁闷这个球                   48'第48分钟，扎哈维中路拿球转身摆脱后将球转移到左路空当，姜至鹏边路插上直接小角度斜射，邓小飞扑球稍稍脱手，肖智及时赶到倒地铲射破门，比分变为2-2平
51'看来这场势必是进球大战了                   48'第48分钟，扎哈维中路拿球转身摆脱后将球转移到左路空当，姜至鹏边路插上直接小角度斜射，邓小飞扑球稍稍脱手，肖智及时赶到倒地铲射破门，比分变为2-2平
51'右路小摩托起飞，汪嵩回追有点跟不上了，放铲犯规                   48'第48分钟，扎哈维中路拿球转身摆脱后将球转移到左路空当，姜至鹏边路插上直接小角度斜射，邓小飞扑球稍稍脱手，肖智及时赶到倒地铲射破门，比分变为2-2平
51'力帆右侧前场定位球的机会                   48'第48分钟，扎哈维中路拿球转身摆脱后将球转移到左路空当，姜至鹏边路插上直接小角度斜射，邓小飞扑球稍稍脱手，肖智及时赶到倒地铲射破门，比分变为2-2平
51'卡尔德克和米洛维奇，是力帆的两个高点                   48'第48分钟，扎哈维中路拿球转身摆脱后将球转移到左路空当，姜至鹏边路插上直接小角度斜射，邓小飞扑球稍稍脱手，肖智及时赶到倒地铲射破门，比分变为2-2平
58'卡尔德克回撤，背身拿球被斯文森推翻在地                   58'第58分钟，重庆力帆获得任意球，王栋直接攻门被门将挡出底线
58'前场定位球，位置距离球门比较远，但对王栋来说，也是够射程的                   58'第58分钟，重庆力帆获得任意球，王栋直接攻门被门将挡出底线
58'韩锋也是不敢大意，布置着人墙                   58'第58分钟，重庆力帆获得任意球，王栋直接攻门被门将挡出底线
59'果然，王栋是直接射了，距虽远啊，但还是质量颇高                   58'第58分钟，重庆力帆获得任意球，王栋直接攻门被门将挡出底线
59'韩锋不敢怠慢，把球扑出底线，这个球还是正了一些                   58'第58分钟，重庆力帆获得任意球，王栋直接攻门被门将挡出底线
59'力帆扳平了比分，3-3，，这次是丁捷                   58'第58分钟，重庆力帆获得任意球，王栋直接攻门被门将挡出底线
60'力帆左侧战术角球，郑又荣再回给王栋，王栋搓入到禁区后点，丁捷埋伏，对方盯人漏个干净。丁捷俯身冲顶，顶出一个反弹直入死角                   58'第58分钟，重庆力帆获得任意球，王栋直接攻门被门将挡出底线
61'这场太精彩了，进球如麻啊，都不设防                   58'第58分钟，重庆力帆获得任意球，王栋直接攻门被门将挡出底线
61'老将王栋送出两个助攻了                   58'第58分钟，重庆力帆获得任意球，王栋直接攻门被门将挡出底线
61'这场太精彩了，进球如麻啊，都不设防                   61'第61分钟，郑佑荣中场直接挑传后卫身后，费尔南多快速插上形成单刀，但是面对门将韩锋，他的射门被挡出
61'老将王栋送出两个助攻了                   61'第61分钟，郑佑荣中场直接挑传后卫身后，费尔南多快速插上形成单刀，但是面对门将韩锋，他的射门被挡出
62'力帆后场推进，左侧这边徐洋给到前面，中场又是王栋的长传                   61'第61分钟，郑佑荣中场直接挑传后卫身后，费尔南多快速插上形成单刀，但是面对门将韩锋，他的射门被挡出
62'富力造越位失误了，小摩托中路插上，非常好的单刀机会                   61'第61分钟，郑佑荣中场直接挑传后卫身后，费尔南多快速插上形成单刀，但是面对门将韩锋，他的射门被挡出
62'面对韩锋，，后面的后卫距离他十万八千里，非常从容的单刀，，居然射在韩锋的胸口上                   61'第61分钟，郑佑荣中场直接挑传后卫身后，费尔南多快速插上形成单刀，但是面对门将韩锋，他的射门被挡出
63'这个球，幸福来的太突然，小摩托错过了梅开二度的机会                   61'第61分钟，郑佑荣中场直接挑传后卫身后，费尔南多快速插上形成单刀，但是面对门将韩锋，他的射门被挡出
63'富力的坑爹防线继续，，这次又是差点，，王栋的进球被吹越位了                   61'第61分钟，郑佑荣中场直接挑传后卫身后，费尔南多快速插上形成单刀，但是面对门将韩锋，他的射门被挡出
63'小摩托右侧拿球，直插弧顶，如入无人之境，禁区内直塞给左肋的王栋                   61'第61分钟，郑佑荣中场直接挑传后卫身后，费尔南多快速插上形成单刀，但是面对门将韩锋，他的射门被挡出
64'王栋单刀推射上角得手，但边裁举旗在先。慢镜头来看，是个误判，绝对是误判啊                   61'第61分钟，郑佑荣中场直接挑传后卫身后，费尔南多快速插上形成单刀，但是面对门将韩锋，他的射门被挡出
70'汪嵩右路角球开出，，中路头球，，肖智                   70'第70分钟，扎哈维任意球直接攻门，球被邓小飞双拳挡出底线
70'进球了！！肖智梅开二度。富力再度领先                   70'第70分钟，扎哈维任意球直接攻门，球被邓小飞双拳挡出底线
71'汪嵩短平快的角球质量很高，肖智在中路人丛中高高跃起，蜻蜓点水，甩头破门                   70'第70分钟，扎哈维任意球直接攻门，球被邓小飞双拳挡出底线
71'力帆右路进攻，丁捷上来，面对姜至鹏，回敲一下给谭望嵩                   70'第70分钟，扎哈维任意球直接攻门，球被邓小飞双拳挡出底线
72'谭望嵩斜45度吊向禁区，卡尔德克，，有了                   70'第70分钟，扎哈维任意球直接攻门，球被邓小飞双拳挡出底线
72'卡尔德克的进球                   70'第70分钟，扎哈维任意球直接攻门，球被邓小飞双拳挡出底线
73'富力禁区内又是盯人不紧，卡尔德克中路头球砸入远角，于洋和张贤秀是被卡尔德克甩在了身后啊                   70'第70分钟，扎哈维任意球直接攻门，球被邓小飞双拳挡出底线
73'双方这是什么情况，打篮球呢吗这是                   70'第70分钟，扎哈维任意球直接攻门，球被邓小飞双拳挡出底线
47'韩锋开出门球，给到唐淼，右侧推进                   47'仅仅2分钟后，广州富力便扳平比分，打入乌龙的卡尔德克将功补过
47'在给汪嵩，汪嵩组织一下，回给唐淼，唐淼传中被挡出                   47'仅仅2分钟后，广州富力便扳平比分，打入乌龙的卡尔德克将功补过
47'外围扎哈维得球在突被挡                   47'仅仅2分钟后，广州富力便扳平比分，打入乌龙的卡尔德克将功补过
48'这时候王哲哨响，上半场结束了                   47'仅仅2分钟后，广州富力便扳平比分，打入乌龙的卡尔德克将功补过
47'唐淼右侧得球，回给斯文森，中路在给汪嵩                   47'仅仅2分钟后，广州富力便扳平比分，打入乌龙的卡尔德克将功补过
47'汪嵩大范围给到左侧的姜至鹏                   47'仅仅2分钟后，广州富力便扳平比分，打入乌龙的卡尔德克将功补过
47'姜至鹏快速下底，传中到门前， 米洛维奇头球解围                   47'仅仅2分钟后，广州富力便扳平比分，打入乌龙的卡尔德克将功补过
47'吴庆后场护球，转身被于洋撂倒                   47'仅仅2分钟后，广州富力便扳平比分，打入乌龙的卡尔德克将功补过
48'富力前场积极的拼抢，赢得一个定位球                   47'仅仅2分钟后，广州富力便扳平比分，打入乌龙的卡尔德克将功补过
48'快开，迅速的直塞到禁区前，被挡出                   47'仅仅2分钟后，广州富力便扳平比分，打入乌龙的卡尔德克将功补过
48'富力扳平了比分，肖智                   47'仅仅2分钟后，广州富力便扳平比分，打入乌龙的卡尔德克将功补过
48'富力下半场一上来就扳平了                   47'仅仅2分钟后，广州富力便扳平比分，打入乌龙的卡尔德克将功补过
49'外围姜至鹏远射左侧远射，虽然角度比较正，但力量很大，肖智门前嗅觉灵敏，迅速包抄插上补射得手                   47'仅仅2分钟后，广州富力便扳平比分，打入乌龙的卡尔德克将功补过
49'肖智上半场并没有什么发挥，正当小播想吐槽他的时候，他就堵住了小播的嘴                   47'仅仅2分钟后，广州富力便扳平比分，打入乌龙的卡尔德克将功补过
50'上轮邓小飞对阵国安的时候发挥十分神勇，这个球脱手失误给了肖智机会，确实有点郁闷这个球                   47'仅仅2分钟后，广州富力便扳平比分，打入乌龙的卡尔德克将功补过
85'打到85分钟，比赛已经是白热化阶段                   85'第85分钟，费尔南多带球反击中分球，刚刚替补登场的刘卫东小角度斜射被挡出
85'左侧姜至鹏突破，在给陈志钊，回给中路，汪嵩射门被后卫挡出                   85'第85分钟，费尔南多带球反击中分球，刚刚替补登场的刘卫东小角度斜射被挡出
85'.球进了，，陈志钊。。。                   85'第85分钟，费尔南多带球反击中分球，刚刚替补登场的刘卫东小角度斜射被挡出
86'姜至鹏左路和陈志钊连续配合，姜至鹏禁区前沿拨给汪嵩，汪嵩一扣，闪开角度，抽射被后卫挡下，但球落在陈志钊面前，陈志钊再射，大半个空门机会，轻松打进                   85'第85分钟，费尔南多带球反击中分球，刚刚替补登场的刘卫东小角度斜射被挡出
87'单场比赛9粒进球啊，算上王栋被误判的那个，已经是10个进球了                   85'第85分钟，费尔南多带球反击中分球，刚刚替补登场的刘卫东小角度斜射被挡出
87'5-4，不知道的还以为点球大战了呢                   85'第85分钟，费尔南多带球反击中分球，刚刚替补登场的刘卫东小角度斜射被挡出
88'力帆中路的进攻，王栋25米左右，身旁没有逼抢，自己直接来远射，爆杆偏了一些                   85'第85分钟，费尔南多带球反击中分球，刚刚替补登场的刘卫东小角度斜射被挡出
88'韩锋门球开出，丁捷后场把球拦下                   85'第85分钟，费尔南多带球反击中分球，刚刚替补登场的刘卫东小角度斜射被挡出
88'力帆中路的进攻，王栋25米左右，身旁没有逼抢，自己直接来远射，爆杆偏了一些                   88'第88分钟，王栋禁区外大力远射，球擦着横梁稍稍高出
88'韩锋门球开出，丁捷后场把球拦下                   88'第88分钟，王栋禁区外大力远射，球擦着横梁稍稍高出
89'丁捷往前长传给小摩托，越位了                   88'第88分钟，王栋禁区外大力远射，球擦着横梁稍稍高出
89'富力中路的进攻，雷纳尔迪尼奥，扎哈维和汪嵩三角进攻                   88'第88分钟，王栋禁区外大力远射，球擦着横梁稍稍高出
89'扎哈维禁区右侧斜射，贴地箭打偏                   88'第88分钟，王栋禁区外大力远射，球擦着横梁稍稍高出
89'力帆要换人了，最后全力一搏，必须要拼了，没时间了，卡尔德克被吉利奥蒂换下                   88'第88分钟，王栋禁区外大力远射，球擦着横梁稍稍高出
89'下半场补时4分钟                   88'第88分钟，王栋禁区外大力远射，球擦着横梁稍稍高出
90'邓小飞大脚开出                   88'第88分钟，王栋禁区外大力远射，球擦着横梁稍稍高出
90'前面富力后场把球控制住，回给韩锋                   88'第88分钟，王栋禁区外大力远射，球擦着横梁稍稍高出
90'力帆大举的进攻，王栋长传打身后，没有过去                   88'第88分钟，王栋禁区外大力远射，球擦着横梁稍稍高出
91'富力这边张贤秀抽筋了，富力球员直接把球踢出边线                   88'第88分钟，王栋禁区外大力远射，球擦着横梁稍稍高出
91'丁捷下，隋东陆被换上。力帆换人名额也用完了                   88'第88分钟，王栋禁区外大力远射，球擦着横梁稍稍高出
