7'曼城断球打反击                   7'第7分钟，纳斯里左路内切后横传，特维斯20码处劲射正入雅斯克莱宁下怀
24'而维维安福同样也效力过西汉姆                   23'第23分钟，双方球迷为10年前因心脏病突发在赛场上去世的维维安-福鼓掌哀悼，他曾效力于曼城和西汉姆
25'西汉姆的角球，传中到禁区外！迪亚姆的摆腿凌空抽射被哈特抱住                   23'第23分钟，双方球迷为10年前因心脏病突发在赛场上去世的维维安-福鼓掌哀悼，他曾效力于曼城和西汉姆
25'最大不过委员长: 想当年哥才大2啊---时间过得真快啊                   23'第23分钟，双方球迷为10年前因心脏病突发在赛场上去世的维维安-福鼓掌哀悼，他曾效力于曼城和西汉姆
28'在身后对诺兰下脚                   28'曼城第28分钟取得领先，亚亚-图雷传球，纳斯里禁区左侧同席尔瓦踢墙配合后传中，无人防守的阿圭罗小禁区边缘推射破门
28'拼抢积极，奈何比赛不够精彩啊                   28'曼城第28分钟取得领先，亚亚-图雷传球，纳斯里禁区左侧同席尔瓦踢墙配合后传中，无人防守的阿圭罗小禁区边缘推射破门
28'阿奎罗！！！                   28'曼城第28分钟取得领先，亚亚-图雷传球，纳斯里禁区左侧同席尔瓦踢墙配合后传中，无人防守的阿圭罗小禁区边缘推射破门
28'才说不够精彩，马上打脸了                   28'曼城第28分钟取得领先，亚亚-图雷传球，纳斯里禁区左侧同席尔瓦踢墙配合后传中，无人防守的阿圭罗小禁区边缘推射破门
29'这次配合太漂亮了！                   28'曼城第28分钟取得领先，亚亚-图雷传球，纳斯里禁区左侧同席尔瓦踢墙配合后传中，无人防守的阿圭罗小禁区边缘推射破门
29'纳斯里跟席尔瓦禁区左侧的撞墙配合，撕破防线！纳斯里横敲门前！阿奎罗左脚迎球推射破门！                   28'曼城第28分钟取得领先，亚亚-图雷传球，纳斯里禁区左侧同席尔瓦踢墙配合后传中，无人防守的阿圭罗小禁区边缘推射破门
30'随着这个进球，比赛也会好看起来吧                   28'曼城第28分钟取得领先，亚亚-图雷传球，纳斯里禁区左侧同席尔瓦踢墙配合后传中，无人防守的阿圭罗小禁区边缘推射破门
30'特维斯卷土重来                   28'曼城第28分钟取得领先，亚亚-图雷传球，纳斯里禁区左侧同席尔瓦踢墙配合后传中，无人防守的阿圭罗小禁区边缘推射破门
30'纳斯里！接球怒射！                   28'曼城第28分钟取得领先，亚亚-图雷传球，纳斯里禁区左侧同席尔瓦踢墙配合后传中，无人防守的阿圭罗小禁区边缘推射破门
30'门将脱手了                   28'曼城第28分钟取得领先，亚亚-图雷传球，纳斯里禁区左侧同席尔瓦踢墙配合后传中，无人防守的阿圭罗小禁区边缘推射破门
30'萨巴莱塔居然抢点补射！还是被挡出了底线                   28'曼城第28分钟取得领先，亚亚-图雷传球，纳斯里禁区左侧同席尔瓦踢墙配合后传中，无人防守的阿圭罗小禁区边缘推射破门
30'曼城掀起了进攻狂潮                   28'曼城第28分钟取得领先，亚亚-图雷传球，纳斯里禁区左侧同席尔瓦踢墙配合后传中，无人防守的阿圭罗小禁区边缘推射破门
30'角球开出来，图雷停球出现了失误                   28'曼城第28分钟取得领先，亚亚-图雷传球，纳斯里禁区左侧同席尔瓦踢墙配合后传中，无人防守的阿圭罗小禁区边缘推射破门
31'巴里也来一脚打门！把球踢上了看台                   28'曼城第28分钟取得领先，亚亚-图雷传球，纳斯里禁区左侧同席尔瓦踢墙配合后传中，无人防守的阿圭罗小禁区边缘推射破门
31'巴里这是在解围呢？还是在解围呢？                   28'曼城第28分钟取得领先，亚亚-图雷传球，纳斯里禁区左侧同席尔瓦踢墙配合后传中，无人防守的阿圭罗小禁区边缘推射破门
30'随着这个进球，比赛也会好看起来吧                   30'第30分钟，特维斯传球，纳斯里20码处劲射令雅斯克莱宁脱手，萨巴莱塔近距离补射又被雅斯克莱宁挡出底线
30'特维斯卷土重来                   30'第30分钟，特维斯传球，纳斯里20码处劲射令雅斯克莱宁脱手，萨巴莱塔近距离补射又被雅斯克莱宁挡出底线
30'纳斯里！接球怒射！                   30'第30分钟，特维斯传球，纳斯里20码处劲射令雅斯克莱宁脱手，萨巴莱塔近距离补射又被雅斯克莱宁挡出底线
30'门将脱手了                   30'第30分钟，特维斯传球，纳斯里20码处劲射令雅斯克莱宁脱手，萨巴莱塔近距离补射又被雅斯克莱宁挡出底线
30'萨巴莱塔居然抢点补射！还是被挡出了底线                   30'第30分钟，特维斯传球，纳斯里20码处劲射令雅斯克莱宁脱手，萨巴莱塔近距离补射又被雅斯克莱宁挡出底线
30'曼城掀起了进攻狂潮                   30'第30分钟，特维斯传球，纳斯里20码处劲射令雅斯克莱宁脱手，萨巴莱塔近距离补射又被雅斯克莱宁挡出底线
30'角球开出来，图雷停球出现了失误                   30'第30分钟，特维斯传球，纳斯里20码处劲射令雅斯克莱宁脱手，萨巴莱塔近距离补射又被雅斯克莱宁挡出底线
31'巴里也来一脚打门！把球踢上了看台                   30'第30分钟，特维斯传球，纳斯里20码处劲射令雅斯克莱宁脱手，萨巴莱塔近距离补射又被雅斯克莱宁挡出底线
31'巴里这是在解围呢？还是在解围呢？                   30'第30分钟，特维斯传球，纳斯里20码处劲射令雅斯克莱宁脱手，萨巴莱塔近距离补射又被雅斯克莱宁挡出底线
32'西汉姆这边可就几乎没攻势了                   30'第30分钟，特维斯传球，纳斯里20码处劲射令雅斯克莱宁脱手，萨巴莱塔近距离补射又被雅斯克莱宁挡出底线
32'克里希在中场踢倒了瓦斯特                   30'第30分钟，特维斯传球，纳斯里20码处劲射令雅斯克莱宁脱手，萨巴莱塔近距离补射又被雅斯克莱宁挡出底线
33'西汉姆获得了个右边路的前场定位球                   30'第30分钟，特维斯传球，纳斯里20码处劲射令雅斯克莱宁脱手，萨巴莱塔近距离补射又被雅斯克莱宁挡出底线
33'诺兰把球送入禁区，里德跳起来抢点，没顶上                   30'第30分钟，特维斯传球，纳斯里20码处劲射令雅斯克莱宁脱手，萨巴莱塔近距离补射又被雅斯克莱宁挡出底线
33'丢球之后阿勒代斯不躺改坐了                   30'第30分钟，特维斯传球，纳斯里20码处劲射令雅斯克莱宁脱手，萨巴莱塔近距离补射又被雅斯克莱宁挡出底线
47'阿奎罗半转身的倒勾解围                   47'第47分钟，贾维斯开出角球，但瓦兹特挡射偏出
47'贾维斯把球再挑入禁区！                   47'第47分钟，贾维斯开出角球，但瓦兹特挡射偏出
47'瓦斯特抢点的时候撞倒了莱斯科特                   47'第47分钟，贾维斯开出角球，但瓦兹特挡射偏出
47'韦伯吹了西汉姆球员的犯规                   47'第47分钟，贾维斯开出角球，但瓦兹特挡射偏出
49'比赛打到现在西汉姆一共才两次射门                   47'第47分钟，贾维斯开出角球，但瓦兹特挡射偏出
49'贾维斯趟过萨巴莱塔，传中被孔帕尼倒地解围                   47'第47分钟，贾维斯开出角球，但瓦兹特挡射偏出
49'曼城的反击又来了                   47'第47分钟，贾维斯开出角球，但瓦兹特挡射偏出
49'特维斯没能及时传出来                   47'第47分钟，贾维斯开出角球，但瓦兹特挡射偏出
50'西汉姆的中场回撤也很及时                   47'第47分钟，贾维斯开出角球，但瓦兹特挡射偏出
50'诺兰交给卡罗尔，脚下一滑！球丢了                   47'第47分钟，贾维斯开出角球，但瓦兹特挡射偏出
50'席尔瓦不错的反击机会                   47'第47分钟，贾维斯开出角球，但瓦兹特挡射偏出
50'席尔瓦犹豫了一下！最后只得到了一个角球                   47'第47分钟，贾维斯开出角球，但瓦兹特挡射偏出
54'图雷球交给了孔帕尼，曼城中卫过了半场                   52'第52分钟，贾维斯左路传中，卡罗尔胸部停球后小禁区前射门仍然偏出目标
54'西汉姆在中路的防守很密集                   52'第52分钟，贾维斯左路传中，卡罗尔胸部停球后小禁区前射门仍然偏出目标
54'挑传！                   52'第52分钟，贾维斯左路传中，卡罗尔胸部停球后小禁区前射门仍然偏出目标
54'纳斯里把球挑给了特维斯！凌空打门！被后卫堵了枪眼                   52'第52分钟，贾维斯左路传中，卡罗尔胸部停球后小禁区前射门仍然偏出目标
54'曼城的角球，战术配合                   52'第52分钟，贾维斯左路传中，卡罗尔胸部停球后小禁区前射门仍然偏出目标
55'席尔瓦杀到底线传中，被后卫挡了一下                   52'第52分钟，贾维斯左路传中，卡罗尔胸部停球后小禁区前射门仍然偏出目标
55'雅斯科莱宁赶紧把球接住                   52'第52分钟，贾维斯左路传中，卡罗尔胸部停球后小禁区前射门仍然偏出目标
55'瓦斯特为西汉姆制造了一个角球                   52'第52分钟，贾维斯左路传中，卡罗尔胸部停球后小禁区前射门仍然偏出目标
56'卡罗尔，后点抢头球！                   56'第56分钟，奥尼尔开出角球，卡罗尔远点10码处头球攻门偏出
56'在莱斯科特的贴身干扰下，球被顶出了底线                   56'第56分钟，奥尼尔开出角球，卡罗尔远点10码处头球攻门偏出
59'巴里在中场抢球撞倒了迪亚姆                   56'第56分钟，奥尼尔开出角球，卡罗尔远点10码处头球攻门偏出
59'现在的比赛节奏比上半场快了很多                   56'第56分钟，奥尼尔开出角球，卡罗尔远点10码处头球攻门偏出
59'卡罗尔！门前抢头球！                   56'第56分钟，奥尼尔开出角球，卡罗尔远点10码处头球攻门偏出
67'稍微偏一点必进无疑                   67'第67分钟，阿圭罗禁区左侧晃过詹姆斯-科林斯后传中，无人防守的特维斯10码处推射被奥布莱恩封铲挡出
68'纳斯里面对对方4人围抢                   67'第67分钟，阿圭罗禁区左侧晃过詹姆斯-科林斯后传中，无人防守的特维斯10码处推射被奥布莱恩封铲挡出
68'还敢带                   67'第67分钟，阿圭罗禁区左侧晃过詹姆斯-科林斯后传中，无人防守的特维斯10码处推射被奥布莱恩封铲挡出
69'真会玩啊                   67'第67分钟，阿圭罗禁区左侧晃过詹姆斯-科林斯后传中，无人防守的特维斯10码处推射被奥布莱恩封铲挡出
69'但是纳斯里不比伊涅斯塔，球还是被带丢了                   67'第67分钟，阿圭罗禁区左侧晃过詹姆斯-科林斯后传中，无人防守的特维斯10码处推射被奥布莱恩封铲挡出
70'韦伯又吹哨了                   67'第67分钟，阿圭罗禁区左侧晃过詹姆斯-科林斯后传中，无人防守的特维斯10码处推射被奥布莱恩封铲挡出
70'科里森阻挡阿奎罗发边线球                   67'第67分钟，阿圭罗禁区左侧晃过詹姆斯-科林斯后传中，无人防守的特维斯10码处推射被奥布莱恩封铲挡出
70'用手去阻挡                   67'第67分钟，阿圭罗禁区左侧晃过詹姆斯-科林斯后传中，无人防守的特维斯10码处推射被奥布莱恩封铲挡出
70'结果领到了黄牌                   67'第67分钟，阿圭罗禁区左侧晃过詹姆斯-科林斯后传中，无人防守的特维斯10码处推射被奥布莱恩封铲挡出
77'黄牌是跑不掉的                   77'第77分钟，奥布莱恩背后铲倒萨巴莱塔，后者起身后推搡对方，两人均被黄牌警告
77'给红牌恐怕都不过分的                   77'第77分钟，奥布莱恩背后铲倒萨巴莱塔，后者起身后推搡对方，两人均被黄牌警告
77'原来刚才是被纳斯里踢中了一脚之后，奥布莱恩的报复动作                   77'第77分钟，奥布莱恩背后铲倒萨巴莱塔，后者起身后推搡对方，两人均被黄牌警告
77'曼城换下席尔瓦                   77'第77分钟，奥布莱恩背后铲倒萨巴莱塔，后者起身后推搡对方，两人均被黄牌警告
77'换上的是米尔纳                   77'第77分钟，奥布莱恩背后铲倒萨巴莱塔，后者起身后推搡对方，两人均被黄牌警告
79'最大不过委员长: 纽卡不都是法国人?---门将荷兰的，后卫还有阿根廷                   77'第77分钟，奥布莱恩背后铲倒萨巴莱塔，后者起身后推搡对方，两人均被黄牌警告
79'巴里踢倒了迪亚姆，曼城送给对方一个定位球机会                   77'第77分钟，奥布莱恩背后铲倒萨巴莱塔，后者起身后推搡对方，两人均被黄牌警告
79'这个位置比较危险了                   77'第77分钟，奥布莱恩背后铲倒萨巴莱塔，后者起身后推搡对方，两人均被黄牌警告
80'西汉姆连换两人                   77'第77分钟，奥布莱恩背后铲倒萨巴莱塔，后者起身后推搡对方，两人均被黄牌警告
80'科尔、泰勒，换下了诺兰跟奥布莱恩                   77'第77分钟，奥布莱恩背后铲倒萨巴莱塔，后者起身后推搡对方，两人均被黄牌警告
80'泰勒传中，被后卫挡出                   77'第77分钟，奥布莱恩背后铲倒萨巴莱塔，后者起身后推搡对方，两人均被黄牌警告
81'再打！后卫堵了枪眼                   81'西汉姆第81分钟险些扳平比分，贾维斯任意球混战中14码处劲射被萨巴莱塔封堵，詹姆斯-科林斯12码处低射偏出右侧立柱
81'柯林斯左脚打门！后卫脚法体现无遗                   81'西汉姆第81分钟险些扳平比分，贾维斯任意球混战中14码处劲射被萨巴莱塔封堵，詹姆斯-科林斯12码处低射偏出右侧立柱
81'这球打偏了                   81'西汉姆第81分钟险些扳平比分，贾维斯任意球混战中14码处劲射被萨巴莱塔封堵，詹姆斯-科林斯12码处低射偏出右侧立柱
82'图雷！！！                   81'西汉姆第81分钟险些扳平比分，贾维斯任意球混战中14码处劲射被萨巴莱塔封堵，詹姆斯-科林斯12码处低射偏出右侧立柱
82'这球打得漂亮！                   81'西汉姆第81分钟险些扳平比分，贾维斯任意球混战中14码处劲射被萨巴莱塔封堵，詹姆斯-科林斯12码处低射偏出右侧立柱
82'左脚世界波！                   81'西汉姆第81分钟险些扳平比分，贾维斯任意球混战中14码处劲射被萨巴莱塔封堵，詹姆斯-科林斯12码处低射偏出右侧立柱
82'萨巴莱塔横敲，图雷顺势领过来！左脚突然打门！球直挂死角！                   81'西汉姆第81分钟险些扳平比分，贾维斯任意球混战中14码处劲射被萨巴莱塔封堵，詹姆斯-科林斯12码处低射偏出右侧立柱
82'雅斯科莱宁居然没有做出反应                   81'西汉姆第81分钟险些扳平比分，贾维斯任意球混战中14码处劲射被萨巴莱塔封堵，詹姆斯-科林斯12码处低射偏出右侧立柱
83'2球在握，曼城再次换人                   81'西汉姆第81分钟险些扳平比分，贾维斯任意球混战中14码处劲射被萨巴莱塔封堵，詹姆斯-科林斯12码处低射偏出右侧立柱
83'换上加西亚，换下特维斯                   81'西汉姆第81分钟险些扳平比分，贾维斯任意球混战中14码处劲射被萨巴莱塔封堵，詹姆斯-科林斯12码处低射偏出右侧立柱
83'曼奇尼保守惯了                   81'西汉姆第81分钟险些扳平比分，贾维斯任意球混战中14码处劲射被萨巴莱塔封堵，詹姆斯-科林斯12码处低射偏出右侧立柱
83'这个换人只早就做了准备了吧                   81'西汉姆第81分钟险些扳平比分，贾维斯任意球混战中14码处劲射被萨巴莱塔封堵，詹姆斯-科林斯12码处低射偏出右侧立柱
84'科尔在边路遭到孔帕尼的逼抢，球没能拿住                   81'西汉姆第81分钟险些扳平比分，贾维斯任意球混战中14码处劲射被萨巴莱塔封堵，詹姆斯-科林斯12码处低射偏出右侧立柱
87'曼奇尼换下了纳斯里，换上科洛图雷                   87'第87分钟，萨巴莱塔禁区右侧下底传中，阿圭罗推射打在德梅尔身上弹出
87'西汉姆的右路传中                   87'第87分钟，萨巴莱塔禁区右侧下底传中，阿圭罗推射打在德梅尔身上弹出
87'卡罗尔力压孔帕尼，头球攻门！                   87'第87分钟，萨巴莱塔禁区右侧下底传中，阿圭罗推射打在德梅尔身上弹出
88'哈特在门线上将球扑出                   87'第87分钟，萨巴莱塔禁区右侧下底传中，阿圭罗推射打在德梅尔身上弹出
88'比赛临近结束，两队的机会真是越来越多                   87'第87分钟，萨巴莱塔禁区右侧下底传中，阿圭罗推射打在德梅尔身上弹出
88'看起来比分还会被改写                   87'第87分钟，萨巴莱塔禁区右侧下底传中，阿圭罗推射打在德梅尔身上弹出
89'哈特突然倒在了地上                   87'第87分钟，萨巴莱塔禁区右侧下底传中，阿圭罗推射打在德梅尔身上弹出
89'什么时候受伤的？                   87'第87分钟，萨巴莱塔禁区右侧下底传中，阿圭罗推射打在德梅尔身上弹出
89'哈特压了压左腿                   87'第87分钟，萨巴莱塔禁区右侧下底传中，阿圭罗推射打在德梅尔身上弹出
89'看起来是刚才扑救的时候扭到了吧                   87'第87分钟，萨巴莱塔禁区右侧下底传中，阿圭罗推射打在德梅尔身上弹出
90'雅斯科莱宁扑救脱手了！                   87'第87分钟，萨巴莱塔禁区右侧下底传中，阿圭罗推射打在德梅尔身上弹出
90'阿奎罗补射！推偏了一些                   87'第87分钟，萨巴莱塔禁区右侧下底传中，阿圭罗推射打在德梅尔身上弹出
90'曼城下半场机会太多了                   87'第87分钟，萨巴莱塔禁区右侧下底传中，阿圭罗推射打在德梅尔身上弹出
91'运气好一点点的话，早就3比0，4比0                   91'第91分钟，萨巴莱塔禁区弧内射门偏转后被雅斯克莱宁勉强扑出，阿圭罗小禁区前挑射偏出右侧立柱
91'下半场补时4分钟                   91'第91分钟，萨巴莱塔禁区弧内射门偏转后被雅斯克莱宁勉强扑出，阿圭罗小禁区前挑射偏出右侧立柱
91'贾维斯突破下底传中，加西亚的解围险些往自家球门飞去                   91'第91分钟，萨巴莱塔禁区弧内射门偏转后被雅斯克莱宁勉强扑出，阿圭罗小禁区前挑射偏出右侧立柱
91'阿奎罗反击的机会来了                   91'第91分钟，萨巴莱塔禁区弧内射门偏转后被雅斯克莱宁勉强扑出，阿圭罗小禁区前挑射偏出右侧立柱
92'带多了啊，阿奎罗被后卫抢断                   91'第91分钟，萨巴莱塔禁区弧内射门偏转后被雅斯克莱宁勉强扑出，阿圭罗小禁区前挑射偏出右侧立柱
92'贾维斯下底传中，哈特接球的时候脱手了！                   91'第91分钟，萨巴莱塔禁区弧内射门偏转后被雅斯克莱宁勉强扑出，阿圭罗小禁区前挑射偏出右侧立柱
92'还好门前没有对方球员                   91'第91分钟，萨巴莱塔禁区弧内射门偏转后被雅斯克莱宁勉强扑出，阿圭罗小禁区前挑射偏出右侧立柱
93'卡罗尔！！！                   91'第91分钟，萨巴莱塔禁区弧内射门偏转后被雅斯克莱宁勉强扑出，阿圭罗小禁区前挑射偏出右侧立柱
93'爆射！哈特居然脱手了                   91'第91分钟，萨巴莱塔禁区弧内射门偏转后被雅斯克莱宁勉强扑出，阿圭罗小禁区前挑射偏出右侧立柱
93'哈特看起来受到伤势的影响                   91'第91分钟，萨巴莱塔禁区弧内射门偏转后被雅斯克莱宁勉强扑出，阿圭罗小禁区前挑射偏出右侧立柱
94'西汉姆右路传中，卡罗尔胸部停下来，右脚大力轰门！                   91'第91分钟，萨巴莱塔禁区弧内射门偏转后被雅斯克莱宁勉强扑出，阿圭罗小禁区前挑射偏出右侧立柱
94'哈特脱手之后，球从他挡下滚入球门                   91'第91分钟，萨巴莱塔禁区弧内射门偏转后被雅斯克莱宁勉强扑出，阿圭罗小禁区前挑射偏出右侧立柱
