28'曼联队控球走左路发动进攻                   28'第28分钟，马塔右路任意球传中远点，斯马林小禁区左侧头球攻门偏出近角
74'面对德赫亚抽射，偏了？？？？？！                   74'第74分钟，汤森德连过数人突入禁区右肋，但最后10码处的单刀射门偏出
75'这么好的机会，竟然还打偏！                   74'第74分钟，汤森德连过数人突入禁区右肋，但最后10码处的单刀射门偏出
75'曼联队又逃过一劫！                   74'第74分钟，汤森德连过数人突入禁区右肋，但最后10码处的单刀射门偏出
77'扎哈禁区外围的远射，被马蒂奇给挡出了底线                   74'第74分钟，汤森德连过数人突入禁区右肋，但最后10码处的单刀射门偏出
77'水晶宫队获得角球机会                   74'第74分钟，汤森德连过数人突入禁区右肋，但最后10码处的单刀射门偏出
77'角球由米利沃耶维奇来主罚                   74'第74分钟，汤森德连过数人突入禁区右肋，但最后10码处的单刀射门偏出
77'开到禁区内第一点被防守队员抢到顶出来                   74'第74分钟，汤森德连过数人突入禁区右肋，但最后10码处的单刀射门偏出
77'麦克阿瑟外围打门，弹地之后，扎哈在垫射，球偏了一点点                   74'第74分钟，汤森德连过数人突入禁区右肋，但最后10码处的单刀射门偏出
89'桑切斯挑传球到禁区内                   89'第89分钟，桑切斯直传，拉什福德10码处射门被范安霍尔特挡出底线
90'拉什福德的垫射，球被门将扑出了底线                   89'第89分钟，桑切斯直传，拉什福德10码处射门被范安霍尔特挡出底线
90'角球开到禁区内，第一点被防守队员抢到顶出来                   89'第89分钟，桑切斯直传，拉什福德10码处射门被范安霍尔特挡出底线
90'马蒂奇控球，转移到右侧，再传球到禁区内                   89'第89分钟，桑切斯直传，拉什福德10码处射门被范安霍尔特挡出底线
90'库亚特头球顶出来                   89'第89分钟，桑切斯直传，拉什福德10码处射门被范安霍尔特挡出底线
90'扎哈控球，转移要施鲁普，再分球回到扎哈的脚下                   89'第89分钟，桑切斯直传，拉什福德10码处射门被范安霍尔特挡出底线
90'库亚特禁区前沿接球远射，偏出                   89'第89分钟，桑切斯直传，拉什福德10码处射门被范安霍尔特挡出底线
90'水晶宫队换人：阿尤上场换下了扎哈                   89'第89分钟，桑切斯直传，拉什福德10码处射门被范安霍尔特挡出底线
91'比赛进入补时阶段                   89'第89分钟，桑切斯直传，拉什福德10码处射门被范安霍尔特挡出底线
92'下半场比赛补时4分钟                   89'第89分钟，桑切斯直传，拉什福德10码处射门被范安霍尔特挡出底线
