2'马塔前场拿球，没机会，回敲给到米克尔                   2'开场仅2分钟，马塔传球，阿扎尔禁区左侧12码处斜射偏出远角
47'切尔西右边路的进攻，皮尔斯将球解围出边线                   46'1分钟后，前利物浦青训中场古斯里传球，波格列布尼亚克禁区左侧边缘内劲射偏出近角
47'雷丁后场抢断，哈特大脚将球开到前场，可惜直接出了边线                   46'1分钟后，前利物浦青训中场古斯里传球，波格列布尼亚克禁区左侧边缘内劲射偏出近角
47'切尔西前场反击，拉米雷斯将球给到托雷斯                   46'1分钟后，前利物浦青训中场古斯里传球，波格列布尼亚克禁区左侧边缘内劲射偏出近角
48'托雷斯拿球进入禁区，然后回敲给到插上的伊万诺维奇                   46'1分钟后，前利物浦青训中场古斯里传球，波格列布尼亚克禁区左侧边缘内劲射偏出近角
48'伊万诺维奇禁区线上，迎球一脚怒射，球打高了                   46'1分钟后，前利物浦青训中场古斯里传球，波格列布尼亚克禁区左侧边缘内劲射偏出近角
49'米克尔左路面对加斯里的封堵，过顶球给到插上的科尔                   46'1分钟后，前利物浦青训中场古斯里传球，波格列布尼亚克禁区左侧边缘内劲射偏出近角
49'可惜球先出了边线，科尔抢回也是无用啦                   46'1分钟后，前利物浦青训中场古斯里传球，波格列布尼亚克禁区左侧边缘内劲射偏出近角
49'阿扎尔左边路拿球内切，禁区内的小角度抽射，打飞啦                   46'1分钟后，前利物浦青训中场古斯里传球，波格列布尼亚克禁区左侧边缘内劲射偏出近角
18'点球                   18'切尔西第18分钟取得领先，阿扎尔禁区左侧被甘特绊倒，兰帕德冷静射入点球
18'阿扎尔为切尔西再次赢得点球机会                   18'切尔西第18分钟取得领先，阿扎尔禁区左侧被甘特绊倒，兰帕德冷静射入点球
18'兰帕德主罚点球，命中                   18'切尔西第18分钟取得领先，阿扎尔禁区左侧被甘特绊倒，兰帕德冷静射入点球
20'阿扎尔禁区内拿球连续的假动作，戈克斯伸腿将其踢倒在地，阿扎尔连续两场为切尔西赢得了点球                   18'切尔西第18分钟取得领先，阿扎尔禁区左侧被甘特绊倒，兰帕德冷静射入点球
21'回防：兰帕德主罚点球，右脚的怒射，球贴着草皮滚进球门右下角                   18'切尔西第18分钟取得领先，阿扎尔禁区左侧被甘特绊倒，兰帕德冷静射入点球
21'雷丁右路进攻赢得角球机会                   18'切尔西第18分钟取得领先，阿扎尔禁区左侧被甘特绊倒，兰帕德冷静射入点球
21'角球开出到后点，切赫出击将球没收                   18'切尔西第18分钟取得领先，阿扎尔禁区左侧被甘特绊倒，兰帕德冷静射入点球
21'切赫大脚将球开到前场给到马塔                   18'切尔西第18分钟取得领先，阿扎尔禁区左侧被甘特绊倒，兰帕德冷静射入点球
25'卡希尔的斜传球到右路找马塔，可惜失误啦                   25'雷丁第25分钟扳平比分，麦克莱里右路传中，波格列布尼亚克12码处力压卡希尔头球破门
25'雷丁进球啦                   25'雷丁第25分钟扳平比分，麦克莱里右路传中，波格列布尼亚克12码处力压卡希尔头球破门
26'雷丁右路进攻，麦卡努夫的边路传中到中路，伯格雷布尼亚力压特里，狮子甩头攻门顶进                   25'雷丁第25分钟扳平比分，麦克莱里右路传中，波格列布尼亚克12码处力压卡希尔头球破门
27'麦克莱利的中场防守被吹罚犯规                   25'雷丁第25分钟扳平比分，麦克莱里右路传中，波格列布尼亚克12码处力压卡希尔头球破门
27'米克尔中场直传球给到阿扎尔                   25'雷丁第25分钟扳平比分，麦克莱里右路传中，波格列布尼亚克12码处力压卡希尔头球破门
27'阿扎尔再将球分给到右边路的马塔                   25'雷丁第25分钟扳平比分，麦克莱里右路传中，波格列布尼亚克12码处力压卡希尔头球破门
28'马塔拿球禁区右侧传中，被雷丁球员抢断                   25'雷丁第25分钟扳平比分，麦克莱里右路传中，波格列布尼亚克12码处力压卡希尔头球破门
28'雷丁的反击，拉米雷斯战术犯规，将卡拉坎放倒                   25'雷丁第25分钟扳平比分，麦克莱里右路传中，波格列布尼亚克12码处力压卡希尔头球破门
34'雷丁刚刚的第二个进球算在了罚任意球的加斯里身上                   34'第34分钟，卡拉坎边路对阿扎尔犯规，马塔左路任意球传中，特里8码处头球攻门高出
34'切尔西边路传中，托雷斯的头球攻门被挡                   34'第34分钟，卡拉坎边路对阿扎尔犯规，马塔左路任意球传中，特里8码处头球攻门高出
35'阿扎尔和兰帕德禁区内争抢第二落点时抢到了一起，不过都没形成攻门                   34'第34分钟，卡拉坎边路对阿扎尔犯规，马塔左路任意球传中，特里8码处头球攻门高出
35'阿扎尔左路的拿球内切，皮尔斯将球铲出底线                   34'第34分钟，卡拉坎边路对阿扎尔犯规，马塔左路任意球传中，特里8码处头球攻门高出
35'切尔西获得左侧的角球机会                   34'第34分钟，卡拉坎边路对阿扎尔犯规，马塔左路任意球传中，特里8码处头球攻门高出
36'马塔角球开出到门前，特里高高跃起头球攻门顶高                   34'第34分钟，卡拉坎边路对阿扎尔犯规，马塔左路任意球传中，特里8码处头球攻门高出
36'切赫现在一脸的郁闷，第二个失球让这位老将有点不好意思啊                   34'第34分钟，卡拉坎边路对阿扎尔犯规，马塔左路任意球传中，特里8码处头球攻门高出
37'伯格雷布尼亚前场拿球被伊万诺维奇踢倒在地                   34'第34分钟，卡拉坎边路对阿扎尔犯规，马塔左路任意球传中，特里8码处头球攻门高出
44'雷丁获得前场任意球机会                   44'第44分钟，哈特右路任意球传入禁区，皮尔斯远点错过第一落点，皮球弹地后擦左侧立柱偏出
44'哈特左脚任意球吊到门前，皮尔斯的头球蹭射，顶偏了                   44'第44分钟，哈特右路任意球传入禁区，皮尔斯远点错过第一落点，皮球弹地后擦左侧立柱偏出
45'这球皮尔斯没能顶到，只是头皮蹭了一点点而已，否则真不好说                   44'第44分钟，哈特右路任意球传入禁区，皮尔斯远点错过第一落点，皮球弹地后擦左侧立柱偏出
46'米尔克禁区右侧的传中，被卡拉坎倒地解围出边线                   44'第44分钟，哈特右路任意球传入禁区，皮尔斯远点错过第一落点，皮球弹地后擦左侧立柱偏出
46'上半场补时2分钟                   44'第44分钟，哈特右路任意球传入禁区，皮尔斯远点错过第一落点，皮球弹地后擦左侧立柱偏出
47'游客4629:怎么踢第三轮的了？（为切尔西的欧洲超级杯让道）                   44'第44分钟，哈特右路任意球传入禁区，皮尔斯远点错过第一落点，皮球弹地后擦左侧立柱偏出
47'阿扎尔禁区右上角的原地起球到门前                   44'第44分钟，哈特右路任意球传入禁区，皮尔斯远点错过第一落点，皮球弹地后擦左侧立柱偏出
47'托雷斯在两名中卫之间抢到落点，可惜头球攻门顶偏啦                   44'第44分钟，哈特右路任意球传入禁区，皮尔斯远点错过第一落点，皮球弹地后擦左侧立柱偏出
46'下半场开始，雷丁开球                   44'第44分钟，哈特右路任意球传入禁区，皮尔斯远点错过第一落点，皮球弹地后擦左侧立柱偏出
46'切赫上半场的低级失误，下半场需要给力才行                   44'第44分钟，哈特右路任意球传入禁区，皮尔斯远点错过第一落点，皮球弹地后擦左侧立柱偏出
47'切尔西右边路的进攻，皮尔斯将球解围出边线                   44'第44分钟，哈特右路任意球传入禁区，皮尔斯远点错过第一落点，皮球弹地后擦左侧立柱偏出
47'雷丁后场抢断，哈特大脚将球开到前场，可惜直接出了边线                   44'第44分钟，哈特右路任意球传入禁区，皮尔斯远点错过第一落点，皮球弹地后擦左侧立柱偏出
47'切尔西前场反击，拉米雷斯将球给到托雷斯                   44'第44分钟，哈特右路任意球传入禁区，皮尔斯远点错过第一落点，皮球弹地后擦左侧立柱偏出
47'游客4629:怎么踢第三轮的了？（为切尔西的欧洲超级杯让道）                   47'第47分钟，托雷斯禁区右侧回传，伊万诺维奇禁区边缘劲射打高
47'阿扎尔禁区右上角的原地起球到门前                   47'第47分钟，托雷斯禁区右侧回传，伊万诺维奇禁区边缘劲射打高
47'托雷斯在两名中卫之间抢到落点，可惜头球攻门顶偏啦                   47'第47分钟，托雷斯禁区右侧回传，伊万诺维奇禁区边缘劲射打高
48'切尔西后场抢断，大脚传到前场给到托雷斯                   47'第47分钟，托雷斯禁区右侧回传，伊万诺维奇禁区边缘劲射打高
48'托雷斯头球回顶给到左边路跟进的阿扎尔                   47'第47分钟，托雷斯禁区右侧回传，伊万诺维奇禁区边缘劲射打高
47'切尔西右边路的进攻，皮尔斯将球解围出边线                   47'第47分钟，托雷斯禁区右侧回传，伊万诺维奇禁区边缘劲射打高
47'雷丁后场抢断，哈特大脚将球开到前场，可惜直接出了边线                   47'第47分钟，托雷斯禁区右侧回传，伊万诺维奇禁区边缘劲射打高
47'切尔西前场反击，拉米雷斯将球给到托雷斯                   47'第47分钟，托雷斯禁区右侧回传，伊万诺维奇禁区边缘劲射打高
48'托雷斯拿球进入禁区，然后回敲给到插上的伊万诺维奇                   47'第47分钟，托雷斯禁区右侧回传，伊万诺维奇禁区边缘劲射打高
48'伊万诺维奇禁区线上，迎球一脚怒射，球打高了                   47'第47分钟，托雷斯禁区右侧回传，伊万诺维奇禁区边缘劲射打高
49'米克尔左路面对加斯里的封堵，过顶球给到插上的科尔                   47'第47分钟，托雷斯禁区右侧回传，伊万诺维奇禁区边缘劲射打高
49'可惜球先出了边线，科尔抢回也是无用啦                   47'第47分钟，托雷斯禁区右侧回传，伊万诺维奇禁区边缘劲射打高
49'阿扎尔左边路拿球内切，禁区内的小角度抽射，打飞啦                   47'第47分钟，托雷斯禁区右侧回传，伊万诺维奇禁区边缘劲射打高
50'切尔西的板凳上还有奥斯卡和斯图里奇、梅莱雷斯等人待命中                   47'第47分钟，托雷斯禁区右侧回传，伊万诺维奇禁区边缘劲射打高
57'切尔西要做出人员调整啦                   57'第57分钟，奥斯卡换下同胞拉米雷斯，这是他首次在斯坦福桥亮相
57'11号奥斯卡换下拉米雷斯                   57'第57分钟，奥斯卡换下同胞拉米雷斯，这是他首次在斯坦福桥亮相
58'马塔中场拿球，卡拉坎跟上的防守从身后踢倒了马塔                   57'第57分钟，奥斯卡换下同胞拉米雷斯，这是他首次在斯坦福桥亮相
58'卡拉坎被裁判出示黄牌警告                   57'第57分钟，奥斯卡换下同胞拉米雷斯，这是他首次在斯坦福桥亮相
59'切尔西右边路起球到后点，被雷丁球员解围                   57'第57分钟，奥斯卡换下同胞拉米雷斯，这是他首次在斯坦福桥亮相
59'雷丁目前的防守动作很大，抢的很凶悍                   57'第57分钟，奥斯卡换下同胞拉米雷斯，这是他首次在斯坦福桥亮相
59'阿扎尔右边路拿球，哈特上抢又将阿扎尔踢倒啦                   57'第57分钟，奥斯卡换下同胞拉米雷斯，这是他首次在斯坦福桥亮相
60'切尔西任意球开到禁区，第一点被雷丁球员解围                   57'第57分钟，奥斯卡换下同胞拉米雷斯，这是他首次在斯坦福桥亮相
60'特里和皮尔斯在争抢第二落点时，特里被撞翻在地                   57'第57分钟，奥斯卡换下同胞拉米雷斯，这是他首次在斯坦福桥亮相
62'雷丁右边路界外球进场，科尔在麦克莱利之前将球捅出边线                   62'第62分钟，阿扎尔传球，奥斯卡25码处劲射被费德里希没收
62'奥斯卡禁区弧顶的一脚低射，球打偏啦                   62'第62分钟，阿扎尔传球，奥斯卡25码处劲射被费德里希没收
63'雷丁右路起球，特里的解围打在科尔身上弹出底线                   62'第62分钟，阿扎尔传球，奥斯卡25码处劲射被费德里希没收
63'雷丁获得角球机会                   62'第62分钟，阿扎尔传球，奥斯卡25码处劲射被费德里希没收
63'角球开出，第一点被切尔西球员解围                   62'第62分钟，阿扎尔传球，奥斯卡25码处劲射被费德里希没收
63'兰帕德左脚长传球给到阿扎尔                   62'第62分钟，阿扎尔传球，奥斯卡25码处劲射被费德里希没收
64'阿扎尔停球回传给到马塔                   62'第62分钟，阿扎尔传球，奥斯卡25码处劲射被费德里希没收
64'马塔拿球想突破，结果再次失误啦                   62'第62分钟，阿扎尔传球，奥斯卡25码处劲射被费德里希没收
65'科尔左路停球转身，伯格雷布尼亚上抢将科尔拉倒在地                   62'第62分钟，阿扎尔传球，奥斯卡25码处劲射被费德里希没收
65'伯格雷布尼亚被裁判出示黄牌警告                   62'第62分钟，阿扎尔传球，奥斯卡25码处劲射被费德里希没收
65'下半场比赛也已经进行了20分钟，比分还是1-2，切尔西落后                   62'第62分钟，阿扎尔传球，奥斯卡25码处劲射被费德里希没收
67'托雷斯禁区内背身拿球回敲给到伊万诺维奇                   67'第67分钟，伊万诺维奇传中，阿扎尔的射门又被皮尔斯封堵
67'伊万诺维奇禁区右侧横传球到门前，中路包抄的阿扎尔打门被挡出                   67'第67分钟，伊万诺维奇传中，阿扎尔的射门又被皮尔斯封堵
68'接着的补射再次打在后卫身上弹出                   67'第67分钟，伊万诺维奇传中，阿扎尔的射门又被皮尔斯封堵
68'斯图里奇站了起来，准备登场啦                   67'第67分钟，伊万诺维奇传中，阿扎尔的射门又被皮尔斯封堵
68'阿扎尔左路的进攻，卡拉坎的防守将阿扎尔带倒啦                   67'第67分钟，伊万诺维奇传中，阿扎尔的射门又被皮尔斯封堵
69'切尔西换人，斯图里奇换下米克尔                   67'第67分钟，伊万诺维奇传中，阿扎尔的射门又被皮尔斯封堵
69'进球啦                   67'第67分钟，伊万诺维奇传中，阿扎尔的射门又被皮尔斯封堵
69'卡希尔禁区外的远射得手                   67'第67分钟，伊万诺维奇传中，阿扎尔的射门又被皮尔斯封堵
70'切尔西前场组织进攻，兰帕德横传球到中路，卡希尔跟进，禁区外的一脚怒射，球弹地后滚进球门                   67'第67分钟，伊万诺维奇传中，阿扎尔的射门又被皮尔斯封堵
70'卡希尔为自己的第一次防守失误丢球做出了回应                   67'第67分钟，伊万诺维奇传中，阿扎尔的射门又被皮尔斯封堵
69'切尔西换人，斯图里奇换下米克尔                   69'切尔西第69分钟扳平比分，阿扎尔传球，卡希尔30码处射出反弹球，费德里希扑救失误让皮球偏转入网，2-2
69'进球啦                   69'切尔西第69分钟扳平比分，阿扎尔传球，卡希尔30码处射出反弹球，费德里希扑救失误让皮球偏转入网，2-2
69'卡希尔禁区外的远射得手                   69'切尔西第69分钟扳平比分，阿扎尔传球，卡希尔30码处射出反弹球，费德里希扑救失误让皮球偏转入网，2-2
70'切尔西前场组织进攻，兰帕德横传球到中路，卡希尔跟进，禁区外的一脚怒射，球弹地后滚进球门                   69'切尔西第69分钟扳平比分，阿扎尔传球，卡希尔30码处射出反弹球，费德里希扑救失误让皮球偏转入网，2-2
70'卡希尔为自己的第一次防守失误丢球做出了回应                   69'切尔西第69分钟扳平比分，阿扎尔传球，卡希尔30码处射出反弹球，费德里希扑救失误让皮球偏转入网，2-2
71'马塔禁区左上角的左脚弧线球打远角，可惜偏了                   69'切尔西第69分钟扳平比分，阿扎尔传球，卡希尔30码处射出反弹球，费德里希扑救失误让皮球偏转入网，2-2
72'雷丁换人，福恩德换下卡拉坎                   69'切尔西第69分钟扳平比分，阿扎尔传球，卡希尔30码处射出反弹球，费德里希扑救失误让皮球偏转入网，2-2
72'切尔西左路进攻，科尔将球过度给到兰帕德                   69'切尔西第69分钟扳平比分，阿扎尔传球，卡希尔30码处射出反弹球，费德里希扑救失误让皮球偏转入网，2-2
72'兰帕德禁区外横拨给到马塔，马塔的左脚打门再次踢飞                   69'切尔西第69分钟扳平比分，阿扎尔传球，卡希尔30码处射出反弹球，费德里希扑救失误让皮球偏转入网，2-2
72'雷丁换人，福恩德换下卡拉坎                   72'第72分钟，阿扎尔传球，马塔禁区前左脚射门偏出
72'切尔西左路进攻，科尔将球过度给到兰帕德                   72'第72分钟，阿扎尔传球，马塔禁区前左脚射门偏出
72'兰帕德禁区外横拨给到马塔，马塔的左脚打门再次踢飞                   72'第72分钟，阿扎尔传球，马塔禁区前左脚射门偏出
73'斯图里奇前场抢断，利用速度强吃对手                   72'第72分钟，阿扎尔传球，马塔禁区前左脚射门偏出
73'斯图里奇禁区右侧拿球内切，接着的一脚打门踢偏了                   72'第72分钟，阿扎尔传球，马塔禁区前左脚射门偏出
74'随着比分的扳平，切尔西踢得越来越得心应手啦                   72'第72分钟，阿扎尔传球，马塔禁区前左脚射门偏出
75'费德里奇大脚将球开到前场右路，伯格雷布尼亚头球后蹭，可惜直接蹭出了边线                   72'第72分钟，阿扎尔传球，马塔禁区前左脚射门偏出
75'兰帕德的直传球找马塔失误啦                   72'第72分钟，阿扎尔传球，马塔禁区前左脚射门偏出
80'马塔分球到阿扎尔脚下，阿扎尔禁区外的打门被后卫的挡出                   80'切尔西第80分钟错失良机，伊万诺维奇右路传中偏转，马塔10码处射门偏出左侧立柱
80'马塔得到第二落点，过度给到伊万诺维奇，自己前插                   80'切尔西第80分钟错失良机，伊万诺维奇右路传中偏转，马塔10码处射门偏出左侧立柱
80'马塔禁区内得球，左脚的打门，球擦着立柱出了底线                   80'切尔西第80分钟错失良机，伊万诺维奇右路传中偏转，马塔10码处射门偏出左侧立柱
81'下半场，切尔西射门次数10-0完爆雷丁                   80'切尔西第80分钟错失良机，伊万诺维奇右路传中偏转，马塔10码处射门偏出左侧立柱
81'进球啦                   80'切尔西第80分钟错失良机，伊万诺维奇右路传中偏转，马塔10码处射门偏出左侧立柱
81'托雷斯~~~~~~~~~                   80'切尔西第80分钟错失良机，伊万诺维奇右路传中偏转，马塔10码处射门偏出左侧立柱
82'托雷斯禁区线上和马塔的撞墙配合，马塔将球过度给到科尔，科尔禁区左侧横传球到门前，托雷斯包抄推射得手                   80'切尔西第80分钟错失良机，伊万诺维奇右路传中偏转，马塔10码处射门偏出左侧立柱
83'全场比赛来到了83分钟，切尔西反超比分                   80'切尔西第80分钟错失良机，伊万诺维奇右路传中偏转，马塔10码处射门偏出左侧立柱
83'卡希尔后场抢断，将球过度给到科尔                   80'切尔西第80分钟错失良机，伊万诺维奇右路传中偏转，马塔10码处射门偏出左侧立柱
84'切尔西没有进攻机会，后场控球寻求机会                   84'第84分钟，阿什利-科尔传球，马塔禁区前射门再度偏出
84'切尔西后场长传球到前场，马塔拿球禁区外的远射再次踢飞                   84'第84分钟，阿什利-科尔传球，马塔禁区前射门再度偏出
85'切尔西第三次换人，梅莱雷斯换下马塔                   84'第84分钟，阿什利-科尔传球，马塔禁区前射门再度偏出
85'斯图里奇前场右路拿球内切                   84'第84分钟，阿什利-科尔传球，马塔禁区前射门再度偏出
85'禁区弧顶横推给到禁区左上角的阿扎尔                   84'第84分钟，阿什利-科尔传球，马塔禁区前射门再度偏出
86'阿扎尔拿球过顶球到禁区，被雷丁球员解围                   84'第84分钟，阿什利-科尔传球，马塔禁区前射门再度偏出
86'雷丁换人，罗宾-卡努换下麦克莱利                   84'第84分钟，阿什利-科尔传球，马塔禁区前射门再度偏出
87'梅莱雷斯中场拿球，洪特上抢拉人犯规                   84'第84分钟，阿什利-科尔传球，马塔禁区前射门再度偏出
95'雷丁的角球机会                   95'切尔西第95分钟锁定胜局，费德里希上前争顶角球，切尔西解围后打出快出反击，托雷斯传球，阿扎尔突入禁区无私横传，跟进的伊万诺维奇轻松破门，4-2
95'费德里奇也来到了禁区了                   95'切尔西第95分钟锁定胜局，费德里希上前争顶角球，切尔西解围后打出快出反击，托雷斯传球，阿扎尔突入禁区无私横传，跟进的伊万诺维奇轻松破门，4-2
95'雷丁角球开出，切尔西解围，反击                   95'切尔西第95分钟锁定胜局，费德里希上前争顶角球，切尔西解围后打出快出反击，托雷斯传球，阿扎尔突入禁区无私横传，跟进的伊万诺维奇轻松破门，4-2
95'进球啦                   95'切尔西第95分钟锁定胜局，费德里希上前争顶角球，切尔西解围后打出快出反击，托雷斯传球，阿扎尔突入禁区无私横传，跟进的伊万诺维奇轻松破门，4-2
95'托雷斯                   95'切尔西第95分钟锁定胜局，费德里希上前争顶角球，切尔西解围后打出快出反击，托雷斯传球，阿扎尔突入禁区无私横传，跟进的伊万诺维奇轻松破门，4-2
96'切尔西后场得球反击，阿扎尔拿球进入禁区，横传门前，托雷斯包抄推射建功                   95'切尔西第95分钟锁定胜局，费德里希上前争顶角球，切尔西解围后打出快出反击，托雷斯传球，阿扎尔突入禁区无私横传，跟进的伊万诺维奇轻松破门，4-2
96'这球费德里奇参与角球进攻还没回去，切尔西的反击空门                   95'切尔西第95分钟锁定胜局，费德里希上前争顶角球，切尔西解围后打出快出反击，托雷斯传球，阿扎尔突入禁区无私横传，跟进的伊万诺维奇轻松破门，4-2
96'门将在身后追对方前锋也成为一道风景                   95'切尔西第95分钟锁定胜局，费德里希上前争顶角球，切尔西解围后打出快出反击，托雷斯传球，阿扎尔突入禁区无私横传，跟进的伊万诺维奇轻松破门，4-2
