1'上半场比赛开始！！                   1'双方第1分钟拼抢激烈，巴萨的进攻遭遇瓦伦西亚的顽强阻击
50'传大了，特尔施特根将球控制                   50'巴萨第50分钟错过机会，苏亚雷斯传球，内马尔禁区前劲射被巴尔德斯扑出，拉基蒂奇禁区右侧小角度补射打中近角立柱弹出
50'梅西前场拿球，强突遭遇夹击，分球左侧给内马尔                   50'巴萨第50分钟错过机会，苏亚雷斯传球，内马尔禁区前劲射被巴尔德斯扑出，拉基蒂奇禁区右侧小角度补射打中近角立柱弹出
51'内马尔拿球横切，起脚远射，被迭戈-阿尔维斯封堵                   50'巴萨第50分钟错过机会，苏亚雷斯传球，内马尔禁区前劲射被巴尔德斯扑出，拉基蒂奇禁区右侧小角度补射打中近角立柱弹出
51'拉基蒂奇跟进，一脚补射，击中立柱出底线                   50'巴萨第50分钟错过机会，苏亚雷斯传球，内马尔禁区前劲射被巴尔德斯扑出，拉基蒂奇禁区右侧小角度补射打中近角立柱弹出
52'天咫酷： 一个越位，一个点球没判，赛后可有的说了（裁判两边不受待见啊）                   50'巴萨第50分钟错过机会，苏亚雷斯传球，内马尔禁区前劲射被巴尔德斯扑出，拉基蒂奇禁区右侧小角度补射打中近角立柱弹出
52'1-1！！！穆尼尔！！！                   50'巴萨第50分钟错过机会，苏亚雷斯传球，内马尔禁区前劲射被巴尔德斯扑出，拉基蒂奇禁区右侧小角度补射打中近角立柱弹出
53'面对旧主，穆尼尔进球并未庆祝！！                   50'巴萨第50分钟错过机会，苏亚雷斯传球，内马尔禁区前劲射被巴尔德斯扑出，拉基蒂奇禁区右侧小角度补射打中近角立柱弹出
56'瓦伦西亚前场进攻，赢得左侧角球机会！！                   56'瓦伦西亚第56分钟反超比分，纳尼角球混战中外围挑传，反越位传中的罗德里戈10码处半凌空扫射入网，2-1
56'帕雷霍角球开出到禁区，第一点被乌姆蒂蒂头球解围                   56'瓦伦西亚第56分钟反超比分，纳尼角球混战中外围挑传，反越位传中的罗德里戈10码处半凌空扫射入网，2-1
56'2-1！！！瓦伦西亚反超！！！                   56'瓦伦西亚第56分钟反超比分，纳尼角球混战中外围挑传，反越位传中的罗德里戈10码处半凌空扫射入网，2-1
57'罗德里戈的破门！！！                   56'瓦伦西亚第56分钟反超比分，纳尼角球混战中外围挑传，反越位传中的罗德里戈10码处半凌空扫射入网，2-1
57'纳尼前场左路拿球，挑传禁区打身后，罗德里戈插上，凌空抽射，打进球门右下角！！                   56'瓦伦西亚第56分钟反超比分，纳尼角球混战中外围挑传，反越位传中的罗德里戈10码处半凌空扫射入网，2-1
58'下半场开始11分钟，瓦伦西亚已经反超比分                   56'瓦伦西亚第56分钟反超比分，纳尼角球混战中外围挑传，反越位传中的罗德里戈10码处半凌空扫射入网，2-1
58'巴萨这边需要有人站出来啦！！！                   56'瓦伦西亚第56分钟反超比分，纳尼角球混战中外围挑传，反越位传中的罗德里戈10码处半凌空扫射入网，2-1
59'布斯克茨中场争抢，拉倒了马里奥-苏亚雷斯，犯规！                   56'瓦伦西亚第56分钟反超比分，纳尼角球混战中外围挑传，反越位传中的罗德里戈10码处半凌空扫射入网，2-1
59'恩里克在坐在场边开始思考了，看看怎么调整                   56'瓦伦西亚第56分钟反超比分，纳尼角球混战中外围挑传，反越位传中的罗德里戈10码处半凌空扫射入网，2-1
82'瓦伦西亚中场抢断，帕雷霍右路拿球                   82'瓦伦西亚第82分钟浪费机会，帕雷霍右路斜传，纳尼摆脱防守后12码处单刀劲射，但皮球擦近角立柱偏出
82'帕雷霍一记弧线球送到禁区弧顶                   82'瓦伦西亚第82分钟浪费机会，帕雷霍右路斜传，纳尼摆脱防守后12码处单刀劲射，但皮球擦近角立柱偏出
82'罗贝托回防放铲，没能碰到                   82'瓦伦西亚第82分钟浪费机会，帕雷霍右路斜传，纳尼摆脱防守后12码处单刀劲射，但皮球擦近角立柱偏出
83'纳尼停球，单刀了，面对特尔施特根，起脚怒射，擦柱而出，打在边网上                   82'瓦伦西亚第82分钟浪费机会，帕雷霍右路斜传，纳尼摆脱防守后12码处单刀劲射，但皮球擦近角立柱偏出
83'罗贝托前场右路拿球，内切后挑传到门前                   82'瓦伦西亚第82分钟浪费机会，帕雷霍右路斜传，纳尼摆脱防守后12码处单刀劲射，但皮球擦近角立柱偏出
83'苏亚雷斯无人防守下的头球轰门，顶高！！                   82'瓦伦西亚第82分钟浪费机会，帕雷霍右路斜传，纳尼摆脱防守后12码处单刀劲射，但皮球擦近角立柱偏出
85'米纳前场左路拿球，强突下底，横传被罗贝托挡出底线                   82'瓦伦西亚第82分钟浪费机会，帕雷霍右路斜传，纳尼摆脱防守后12码处单刀劲射，但皮球擦近角立柱偏出
85'瓦伦西亚获得左侧角球机会！！                   82'瓦伦西亚第82分钟浪费机会，帕雷霍右路斜传，纳尼摆脱防守后12码处单刀劲射，但皮球擦近角立柱偏出
85'帕雷霍角球开出到禁区，混战中，曼加拉的打门，被挡出                   82'瓦伦西亚第82分钟浪费机会，帕雷霍右路斜传，纳尼摆脱防守后12码处单刀劲射，但皮球擦近角立柱偏出
94'迭戈-阿尔维斯判断对了方向，但梅西的打门角度太刁钻，鞭长莫及啊！！                   94'巴萨第94分钟绝杀，阿布登努尔禁区内背后绊倒苏亚雷斯，普兰德利怒砸水瓶，梅西点球射入左下角，3-2
95'巴萨球员在庆祝时 ，看台上球迷扔下来的异物砸在了内马尔的头上                   94'巴萨第94分钟绝杀，阿布登努尔禁区内背后绊倒苏亚雷斯，普兰德利怒砸水瓶，梅西点球射入左下角，3-2
96'瓦伦西亚中圈开球，裁判鸣哨！！                   94'巴萨第94分钟绝杀，阿布登努尔禁区内背后绊倒苏亚雷斯，普兰德利怒砸水瓶，梅西点球射入左下角，3-2
