7'双方争抢犯规                   6'第6分钟，顾操后场传球失误，热尔维尼奥摆脱之后直塞，拉维奇启动时越位
21'柯钊表情非常痛苦，正在接受治疗                   21'第21分钟，双方中场拼抢，柯钊铲抢赵明剑倒地，赵明剑一脚踢在柯钊的小腿上，主裁判先是向赵明剑出示了黄牌，经过视频助理裁判提醒，主裁判经过在场边看视频回放后判定赵明剑属于恶意踩踏，将黄牌改判为红牌，赵明剑被直接罚下，华夏幸福队比分落后只能以10人应战
22'裁判改判了                   21'第21分钟，双方中场拼抢，柯钊铲抢赵明剑倒地，赵明剑一脚踢在柯钊的小腿上，主裁判先是向赵明剑出示了黄牌，经过视频助理裁判提醒，主裁判经过在场边看视频回放后判定赵明剑属于恶意踩踏，将黄牌改判为红牌，赵明剑被直接罚下，华夏幸福队比分落后只能以10人应战
23'赵明剑吃了红牌，阿偶                   21'第21分钟，双方中场拼抢，柯钊铲抢赵明剑倒地，赵明剑一脚踢在柯钊的小腿上，主裁判先是向赵明剑出示了黄牌，经过视频助理裁判提醒，主裁判经过在场边看视频回放后判定赵明剑属于恶意踩踏，将黄牌改判为红牌，赵明剑被直接罚下，华夏幸福队比分落后只能以10人应战
23'华夏球员非常不满                   21'第21分钟，双方中场拼抢，柯钊铲抢赵明剑倒地，赵明剑一脚踢在柯钊的小腿上，主裁判先是向赵明剑出示了黄牌，经过视频助理裁判提醒，主裁判经过在场边看视频回放后判定赵明剑属于恶意踩踏，将黄牌改判为红牌，赵明剑被直接罚下，华夏幸福队比分落后只能以10人应战
23'华夏球员围住了裁判                   21'第21分钟，双方中场拼抢，柯钊铲抢赵明剑倒地，赵明剑一脚踢在柯钊的小腿上，主裁判先是向赵明剑出示了黄牌，经过视频助理裁判提醒，主裁判经过在场边看视频回放后判定赵明剑属于恶意踩踏，将黄牌改判为红牌，赵明剑被直接罚下，华夏幸福队比分落后只能以10人应战
23'赵明剑踩踏了柯钊右脚后侧                   21'第21分钟，双方中场拼抢，柯钊铲抢赵明剑倒地，赵明剑一脚踢在柯钊的小腿上，主裁判先是向赵明剑出示了黄牌，经过视频助理裁判提醒，主裁判经过在场边看视频回放后判定赵明剑属于恶意踩踏，将黄牌改判为红牌，赵明剑被直接罚下，华夏幸福队比分落后只能以10人应战
24'裁判通过VAR后判定红牌                   21'第21分钟，双方中场拼抢，柯钊铲抢赵明剑倒地，赵明剑一脚踢在柯钊的小腿上，主裁判先是向赵明剑出示了黄牌，经过视频助理裁判提醒，主裁判经过在场边看视频回放后判定赵明剑属于恶意踩踏，将黄牌改判为红牌，赵明剑被直接罚下，华夏幸福队比分落后只能以10人应战
24'华夏被罚下一人                   21'第21分钟，双方中场拼抢，柯钊铲抢赵明剑倒地，赵明剑一脚踢在柯钊的小腿上，主裁判先是向赵明剑出示了黄牌，经过视频助理裁判提醒，主裁判经过在场边看视频回放后判定赵明剑属于恶意踩踏，将黄牌改判为红牌，赵明剑被直接罚下，华夏幸福队比分落后只能以10人应战
24'比赛回来                   21'第21分钟，双方中场拼抢，柯钊铲抢赵明剑倒地，赵明剑一脚踢在柯钊的小腿上，主裁判先是向赵明剑出示了黄牌，经过视频助理裁判提醒，主裁判经过在场边看视频回放后判定赵明剑属于恶意踩踏，将黄牌改判为红牌，赵明剑被直接罚下，华夏幸福队比分落后只能以10人应战
24'热鸟得球，顾操将球破坏出界                   21'第21分钟，双方中场拼抢，柯钊铲抢赵明剑倒地，赵明剑一脚踢在柯钊的小腿上，主裁判先是向赵明剑出示了黄牌，经过视频助理裁判提醒，主裁判经过在场边看视频回放后判定赵明剑属于恶意踩踏，将黄牌改判为红牌，赵明剑被直接罚下，华夏幸福队比分落后只能以10人应战
24'华夏球，张呈栋给高准翼                   21'第21分钟，双方中场拼抢，柯钊铲抢赵明剑倒地，赵明剑一脚踢在柯钊的小腿上，主裁判先是向赵明剑出示了黄牌，经过视频助理裁判提醒，主裁判经过在场边看视频回放后判定赵明剑属于恶意踩踏，将黄牌改判为红牌，赵明剑被直接罚下，华夏幸福队比分落后只能以10人应战
33'巴索戈把任航放倒在地                   33'第33分钟，里卡多侵犯马斯切拉诺吃到黄牌
33'吹罚犯规                   33'第33分钟，里卡多侵犯马斯切拉诺吃到黄牌
33'华夏中场定位球                   33'第33分钟，里卡多侵犯马斯切拉诺吃到黄牌
33'姜至鹏给左路，顾操破坏出界                   33'第33分钟，里卡多侵犯马斯切拉诺吃到黄牌
34'姜至鹏给到姜宁                   33'第33分钟，里卡多侵犯马斯切拉诺吃到黄牌
34'马斯切拉诺被里卡多放倒                   33'第33分钟，里卡多侵犯马斯切拉诺吃到黄牌
34'里卡多吃了黄牌                   33'第33分钟，里卡多侵犯马斯切拉诺吃到黄牌
34'拉维奇开球，兜出来                   33'第33分钟，里卡多侵犯马斯切拉诺吃到黄牌
34'禁区左侧争顶                   33'第33分钟，里卡多侵犯马斯切拉诺吃到黄牌
35'巴索戈破坏出界                   33'第33分钟，里卡多侵犯马斯切拉诺吃到黄牌
35'华夏边线球，顾操拦截后长传                   33'第33分钟，里卡多侵犯马斯切拉诺吃到黄牌
35'球直接给到了对方门将杨程                   33'第33分钟，里卡多侵犯马斯切拉诺吃到黄牌
35'高准翼被龙成抢断                   33'第33分钟，里卡多侵犯马斯切拉诺吃到黄牌
36'卡拉被罗森文一记滑铲铲到，痛苦倒地                   33'第33分钟，里卡多侵犯马斯切拉诺吃到黄牌
36'罗森文争抢犯规                   33'第33分钟，里卡多侵犯马斯切拉诺吃到黄牌
36'看似卡拉伤情并不严重                   33'第33分钟，里卡多侵犯马斯切拉诺吃到黄牌
36'建业定位球，争顶后球到拉维奇脚下                   33'第33分钟，里卡多侵犯马斯切拉诺吃到黄牌
48'巴索戈接受治疗 ，比赛继续                   48'上半场补时3分钟，巴索戈在停球时大腿根部拉伤，随后担架进场将其抬至场外接受治疗，随后无法坚持比赛被换下
48'看起来情况尚可                   48'上半场补时3分钟，巴索戈在停球时大腿根部拉伤，随后担架进场将其抬至场外接受治疗，随后无法坚持比赛被换下
48'高准翼大范围转移                   48'上半场补时3分钟，巴索戈在停球时大腿根部拉伤，随后担架进场将其抬至场外接受治疗，随后无法坚持比赛被换下
48'姜至鹏传中                   48'上半场补时3分钟，巴索戈在停球时大腿根部拉伤，随后担架进场将其抬至场外接受治疗，随后无法坚持比赛被换下
49'卡拉回防将球拦截                   48'上半场补时3分钟，巴索戈在停球时大腿根部拉伤，随后担架进场将其抬至场外接受治疗，随后无法坚持比赛被换下
49'张呈栋直塞罗森文                   48'上半场补时3分钟，巴索戈在停球时大腿根部拉伤，随后担架进场将其抬至场外接受治疗，随后无法坚持比赛被换下
49'马斯切拉诺右脚长传                   48'上半场补时3分钟，巴索戈在停球时大腿根部拉伤，随后担架进场将其抬至场外接受治疗，随后无法坚持比赛被换下
49'球被柯钊破坏出边线                   48'上半场补时3分钟，巴索戈在停球时大腿根部拉伤，随后担架进场将其抬至场外接受治疗，随后无法坚持比赛被换下
49'裁判一声哨响                   48'上半场补时3分钟，巴索戈在停球时大腿根部拉伤，随后担架进场将其抬至场外接受治疗，随后无法坚持比赛被换下
49'上半时结束                   48'上半场补时3分钟，巴索戈在停球时大腿根部拉伤，随后担架进场将其抬至场外接受治疗，随后无法坚持比赛被换下
49'在上半场比赛中，客队河南建业队凭借着第10分钟巴索戈 在禁区中路扛开防守人后的进球，在客场1:0领先主队                   48'上半场补时3分钟，巴索戈在停球时大腿根部拉伤，随后担架进场将其抬至场外接受治疗，随后无法坚持比赛被换下
49'杜长杰换下了巴索戈                   48'上半场补时3分钟，巴索戈在停球时大腿根部拉伤，随后担架进场将其抬至场外接受治疗，随后无法坚持比赛被换下
49'看来确实无法坚持比赛，这是建业的一大坏消息                   48'上半场补时3分钟，巴索戈在停球时大腿根部拉伤，随后担架进场将其抬至场外接受治疗，随后无法坚持比赛被换下
49'华夏这边王秋明换下姜宁                   48'上半场补时3分钟，巴索戈在停球时大腿根部拉伤，随后担架进场将其抬至场外接受治疗，随后无法坚持比赛被换下
48'不过王飞滑铲后似乎受伤了                   48'上半场补时3分钟，巴索戈在停球时大腿根部拉伤，随后担架进场将其抬至场外接受治疗，随后无法坚持比赛被换下
48'队医上场进行治疗                   48'上半场补时3分钟，巴索戈在停球时大腿根部拉伤，随后担架进场将其抬至场外接受治疗，随后无法坚持比赛被换下
48'顾操也捂着膝盖倒地了                   48'上半场补时3分钟，巴索戈在停球时大腿根部拉伤，随后担架进场将其抬至场外接受治疗，随后无法坚持比赛被换下
48'比赛继续，马斯切拉诺得球                   48'上半场补时3分钟，巴索戈在停球时大腿根部拉伤，随后担架进场将其抬至场外接受治疗，随后无法坚持比赛被换下
49'姜至鹏球被王飞捅出底线                   48'上半场补时3分钟，巴索戈在停球时大腿根部拉伤，随后担架进场将其抬至场外接受治疗，随后无法坚持比赛被换下
49'拉维奇长传至中路                   48'上半场补时3分钟，巴索戈在停球时大腿根部拉伤，随后担架进场将其抬至场外接受治疗，随后无法坚持比赛被换下
49'罗森文起脚抽射                   48'上半场补时3分钟，巴索戈在停球时大腿根部拉伤，随后担架进场将其抬至场外接受治疗，随后无法坚持比赛被换下
49'吴龚将球扑出                   48'上半场补时3分钟，巴索戈在停球时大腿根部拉伤，随后担架进场将其抬至场外接受治疗，随后无法坚持比赛被换下
50'中场张呈栋得球                   48'上半场补时3分钟，巴索戈在停球时大腿根部拉伤，随后担架进场将其抬至场外接受治疗，随后无法坚持比赛被换下
50'柯钊破坏出边线                   48'上半场补时3分钟，巴索戈在停球时大腿根部拉伤，随后担架进场将其抬至场外接受治疗，随后无法坚持比赛被换下
50'张呈栋掷界外球                   48'上半场补时3分钟，巴索戈在停球时大腿根部拉伤，随后担架进场将其抬至场外接受治疗，随后无法坚持比赛被换下
50'马斯切拉诺被钟晋宝拦截                   48'上半场补时3分钟，巴索戈在停球时大腿根部拉伤，随后担架进场将其抬至场外接受治疗，随后无法坚持比赛被换下
50'直塞出了边线，建业边线球                   48'上半场补时3分钟，巴索戈在停球时大腿根部拉伤，随后担架进场将其抬至场外接受治疗，随后无法坚持比赛被换下
51'王飞给到杜长杰                   48'上半场补时3分钟，巴索戈在停球时大腿根部拉伤，随后担架进场将其抬至场外接受治疗，随后无法坚持比赛被换下
51'给到中路跟进的里卡多，直接打门，偏了                   48'上半场补时3分钟，巴索戈在停球时大腿根部拉伤，随后担架进场将其抬至场外接受治疗，随后无法坚持比赛被换下
51'里卡多越位在先，建业定位球                   48'上半场补时3分钟，巴索戈在停球时大腿根部拉伤，随后担架进场将其抬至场外接受治疗，随后无法坚持比赛被换下
48'巴索戈接受治疗 ，比赛继续                   48'第48分钟，华夏幸福进攻，罗森文跟进右脚直接抽射被门将侧身扑出
48'看起来情况尚可                   48'第48分钟，华夏幸福进攻，罗森文跟进右脚直接抽射被门将侧身扑出
48'高准翼大范围转移                   48'第48分钟，华夏幸福进攻，罗森文跟进右脚直接抽射被门将侧身扑出
48'姜至鹏传中                   48'第48分钟，华夏幸福进攻，罗森文跟进右脚直接抽射被门将侧身扑出
49'卡拉回防将球拦截                   48'第48分钟，华夏幸福进攻，罗森文跟进右脚直接抽射被门将侧身扑出
49'张呈栋直塞罗森文                   48'第48分钟，华夏幸福进攻，罗森文跟进右脚直接抽射被门将侧身扑出
49'马斯切拉诺右脚长传                   48'第48分钟，华夏幸福进攻，罗森文跟进右脚直接抽射被门将侧身扑出
49'球被柯钊破坏出边线                   48'第48分钟，华夏幸福进攻，罗森文跟进右脚直接抽射被门将侧身扑出
49'裁判一声哨响                   48'第48分钟，华夏幸福进攻，罗森文跟进右脚直接抽射被门将侧身扑出
49'上半时结束                   48'第48分钟，华夏幸福进攻，罗森文跟进右脚直接抽射被门将侧身扑出
49'在上半场比赛中，客队河南建业队凭借着第10分钟巴索戈 在禁区中路扛开防守人后的进球，在客场1:0领先主队                   48'第48分钟，华夏幸福进攻，罗森文跟进右脚直接抽射被门将侧身扑出
49'杜长杰换下了巴索戈                   48'第48分钟，华夏幸福进攻，罗森文跟进右脚直接抽射被门将侧身扑出
49'看来确实无法坚持比赛，这是建业的一大坏消息                   48'第48分钟，华夏幸福进攻，罗森文跟进右脚直接抽射被门将侧身扑出
49'华夏这边王秋明换下姜宁                   48'第48分钟，华夏幸福进攻，罗森文跟进右脚直接抽射被门将侧身扑出
48'不过王飞滑铲后似乎受伤了                   48'第48分钟，华夏幸福进攻，罗森文跟进右脚直接抽射被门将侧身扑出
48'队医上场进行治疗                   48'第48分钟，华夏幸福进攻，罗森文跟进右脚直接抽射被门将侧身扑出
48'顾操也捂着膝盖倒地了                   48'第48分钟，华夏幸福进攻，罗森文跟进右脚直接抽射被门将侧身扑出
48'比赛继续，马斯切拉诺得球                   48'第48分钟，华夏幸福进攻，罗森文跟进右脚直接抽射被门将侧身扑出
49'姜至鹏球被王飞捅出底线                   48'第48分钟，华夏幸福进攻，罗森文跟进右脚直接抽射被门将侧身扑出
49'拉维奇长传至中路                   48'第48分钟，华夏幸福进攻，罗森文跟进右脚直接抽射被门将侧身扑出
49'罗森文起脚抽射                   48'第48分钟，华夏幸福进攻，罗森文跟进右脚直接抽射被门将侧身扑出
49'吴龚将球扑出                   48'第48分钟，华夏幸福进攻，罗森文跟进右脚直接抽射被门将侧身扑出
50'中场张呈栋得球                   48'第48分钟，华夏幸福进攻，罗森文跟进右脚直接抽射被门将侧身扑出
50'柯钊破坏出边线                   48'第48分钟，华夏幸福进攻，罗森文跟进右脚直接抽射被门将侧身扑出
50'张呈栋掷界外球                   48'第48分钟，华夏幸福进攻，罗森文跟进右脚直接抽射被门将侧身扑出
50'马斯切拉诺被钟晋宝拦截                   48'第48分钟，华夏幸福进攻，罗森文跟进右脚直接抽射被门将侧身扑出
50'直塞出了边线，建业边线球                   48'第48分钟，华夏幸福进攻，罗森文跟进右脚直接抽射被门将侧身扑出
51'王飞给到杜长杰                   48'第48分钟，华夏幸福进攻，罗森文跟进右脚直接抽射被门将侧身扑出
51'给到中路跟进的里卡多，直接打门，偏了                   48'第48分钟，华夏幸福进攻，罗森文跟进右脚直接抽射被门将侧身扑出
51'里卡多越位在先，建业定位球                   48'第48分钟，华夏幸福进攻，罗森文跟进右脚直接抽射被门将侧身扑出
58'华夏边线球                   58'第58分钟，华夏幸福左路发动进攻，拉维奇得球后一个停球，随后将球扫向门前，可惜没有队友跟进
58'拉维奇姜志鹏撞墙                   58'第58分钟，华夏幸福左路发动进攻，拉维奇得球后一个停球，随后将球扫向门前，可惜没有队友跟进
58'拉维奇被犯规，倒在地上                   58'第58分钟，华夏幸福左路发动进攻，拉维奇得球后一个停球，随后将球扫向门前，可惜没有队友跟进
58'华夏前场任意球                   58'第58分钟，华夏幸福左路发动进攻，拉维奇得球后一个停球，随后将球扫向门前，可惜没有队友跟进
58'拉维奇处理，顾操将球顶出                   58'第58分钟，华夏幸福左路发动进攻，拉维奇得球后一个停球，随后将球扫向门前，可惜没有队友跟进
59'王飞争抢犯规                   58'第58分钟，华夏幸福左路发动进攻，拉维奇得球后一个停球，随后将球扫向门前，可惜没有队友跟进
59'姜志鹏边线球给到王秋明                   58'第58分钟，华夏幸福左路发动进攻，拉维奇得球后一个停球，随后将球扫向门前，可惜没有队友跟进
59'低平球推传                   58'第58分钟，华夏幸福左路发动进攻，拉维奇得球后一个停球，随后将球扫向门前，可惜没有队友跟进
59'罗森文得球打门                   58'第58分钟，华夏幸福左路发动进攻，拉维奇得球后一个停球，随后将球扫向门前，可惜没有队友跟进
60'打偏了，门球                   58'第58分钟，华夏幸福左路发动进攻，拉维奇得球后一个停球，随后将球扫向门前，可惜没有队友跟进
60'吴龚发球门球                   58'第58分钟，华夏幸福左路发动进攻，拉维奇得球后一个停球，随后将球扫向门前，可惜没有队友跟进
60'双方争顶，钟晋宝争顶犯规                   58'第58分钟，华夏幸福左路发动进攻，拉维奇得球后一个停球，随后将球扫向门前，可惜没有队友跟进
60'拉维奇分热鸟                   58'第58分钟，华夏幸福左路发动进攻，拉维奇得球后一个停球，随后将球扫向门前，可惜没有队友跟进
60'回敲姜至鹏，直塞球                   58'第58分钟，华夏幸福左路发动进攻，拉维奇得球后一个停球，随后将球扫向门前，可惜没有队友跟进
61'点球点附近争抢                   58'第58分钟，华夏幸福左路发动进攻，拉维奇得球后一个停球，随后将球扫向门前，可惜没有队友跟进
61'王秋明争抢时犯规                   58'第58分钟，华夏幸福左路发动进攻，拉维奇得球后一个停球，随后将球扫向门前，可惜没有队友跟进
61'比赛继续                   58'第58分钟，华夏幸福左路发动进攻，拉维奇得球后一个停球，随后将球扫向门前，可惜没有队友跟进
61'华夏定位球，左路热鸟得球                   58'第58分钟，华夏幸福左路发动进攻，拉维奇得球后一个停球，随后将球扫向门前，可惜没有队友跟进
68'直传，球到马斯切拉诺脚下                   68'第68分钟，华夏幸福继续进攻，中路拉维奇得球一脚直塞，王秋明前插得球推射被吴龑扑出
68'高准翼给热鸟                   68'第68分钟，华夏幸福继续进攻，中路拉维奇得球一脚直塞，王秋明前插得球推射被吴龑扑出
68'姜至鹏得球                   68'第68分钟，华夏幸福继续进攻，中路拉维奇得球一脚直塞，王秋明前插得球推射被吴龑扑出
69'半高球传中，热鸟没接好，被顾操破坏                   68'第68分钟，华夏幸福继续进攻，中路拉维奇得球一脚直塞，王秋明前插得球推射被吴龑扑出
69'热鸟再次得球，被龙成破坏                   68'第68分钟，华夏幸福继续进攻，中路拉维奇得球一脚直塞，王秋明前插得球推射被吴龑扑出
69'杜长杰被任航拦截                   68'第68分钟，华夏幸福继续进攻，中路拉维奇得球一脚直塞，王秋明前插得球推射被吴龑扑出
70'吹了杜长杰争抢犯规                   68'第68分钟，华夏幸福继续进攻，中路拉维奇得球一脚直塞，王秋明前插得球推射被吴龑扑出
70'华夏左路定位球                   68'第68分钟，华夏幸福继续进攻，中路拉维奇得球一脚直塞，王秋明前插得球推射被吴龑扑出
70'张呈栋直塞出了边线                   68'第68分钟，华夏幸福继续进攻，中路拉维奇得球一脚直塞，王秋明前插得球推射被吴龑扑出
70'柯钊边线球，双方争抢                   68'第68分钟，华夏幸福继续进攻，中路拉维奇得球一脚直塞，王秋明前插得球推射被吴龑扑出
70'马兴煜犯规                   68'第68分钟，华夏幸福继续进攻，中路拉维奇得球一脚直塞，王秋明前插得球推射被吴龑扑出
71'华夏定位球，给姜志鹏                   68'第68分钟，华夏幸福继续进攻，中路拉维奇得球一脚直塞，王秋明前插得球推射被吴龑扑出
71'柯钊将球破坏出界                   68'第68分钟，华夏幸福继续进攻，中路拉维奇得球一脚直塞，王秋明前插得球推射被吴龑扑出
71'华夏边线球，被顾操破坏                   68'第68分钟，华夏幸福继续进攻，中路拉维奇得球一脚直塞，王秋明前插得球推射被吴龑扑出
71'马斯切拉诺分拉维奇，球被王飞破坏出界                   68'第68分钟，华夏幸福继续进攻，中路拉维奇得球一脚直塞，王秋明前插得球推射被吴龑扑出
76'三人逼抢，杜长杰犯规                   76'第76分钟，徐天沅换下罗森文
76'华夏定位球给到张呈栋                   76'第76分钟，徐天沅换下罗森文
76'热鸟得球，回敲马斯切拉诺                   76'第76分钟，徐天沅换下罗森文
76'马兴煜成功反抢                   76'第76分钟，徐天沅换下罗森文
77'直塞，球到姜至鹏脚下                   76'第76分钟，徐天沅换下罗森文
77'罗森文送出过顶直塞                   76'第76分钟，徐天沅换下罗森文
77'建业球员争抢犯规                   76'第76分钟，徐天沅换下罗森文
78'徐天沅换下罗森文                   76'第76分钟，徐天沅换下罗森文
78'华夏定位球                   76'第76分钟，徐天沅换下罗森文
78'距禁区不远                   76'第76分钟，徐天沅换下罗森文
78'拉维奇处理，这球在禁区外中路                   76'第76分钟，徐天沅换下罗森文
78'拉维奇想来个弧线球                   76'第76分钟，徐天沅换下罗森文
79'球被人墙挡出                   76'第76分钟，徐天沅换下罗森文
79'拉维奇把球护住，长传，争顶中建业球员犯规                   76'第76分钟，徐天沅换下罗森文
79'陈灏黄牌                   76'第76分钟，徐天沅换下罗森文
83'给中路拉维奇，被卡拉放倒在地                   83'第83分钟，华夏幸福的定位球机会，拉维奇给到小禁区被解围出来
83'卡拉争抢犯规，双方均倒地                   83'第83分钟，华夏幸福的定位球机会，拉维奇给到小禁区被解围出来
83'卡拉被抬上担架                   83'第83分钟，华夏幸福的定位球机会，拉维奇给到小禁区被解围出来
84'前场华夏左路定位球                   83'第83分钟，华夏幸福的定位球机会，拉维奇给到小禁区被解围出来
84'拉维奇处理，龙成解围                   83'第83分钟，华夏幸福的定位球机会，拉维奇给到小禁区被解围出来
84'禁区内任航争顶犯规                   83'第83分钟，华夏幸福的定位球机会，拉维奇给到小禁区被解围出来
84'后场建业任意球                   83'第83分钟，华夏幸福的定位球机会，拉维奇给到小禁区被解围出来
85'长距离给到姜志鹏                   83'第83分钟，华夏幸福的定位球机会，拉维奇给到小禁区被解围出来
85'姜至鹏衔枚疾走，顾操将球破坏出界                   83'第83分钟，华夏幸福的定位球机会，拉维奇给到小禁区被解围出来
85'姜汁鹏掷边线球                   83'第83分钟，华夏幸福的定位球机会，拉维奇给到小禁区被解围出来
86'拉维奇推进，被龙成破坏                   83'第83分钟，华夏幸福的定位球机会，拉维奇给到小禁区被解围出来
86'球到华夏半场                   83'第83分钟，华夏幸福的定位球机会，拉维奇给到小禁区被解围出来
86'马斯切拉诺长传给到中场右侧                   83'第83分钟，华夏幸福的定位球机会，拉维奇给到小禁区被解围出来
86'争抢犯规                   83'第83分钟，华夏幸福的定位球机会，拉维奇给到小禁区被解围出来
86'建业换人，卡拉下场                   83'第83分钟，华夏幸福的定位球机会，拉维奇给到小禁区被解围出来
49'卡拉回防将球拦截                   49'全场补时4分钟，补时阶段拉维奇定位球再度创造机会，被吴龑高高跃起没收
