14'皇家马德里球员加雷斯-贝尔大禁区外左脚射门,命中门柱横梁.                   14'第14分钟，贝尔右路禁区前任意球直接射门憾中横梁
40'皇家马德里球员埃尔南德斯大禁区中央右脚射门,命中门柱左侧立柱.给他传球的是加雷斯-贝尔.                   40'第40分钟，埃尔南德斯同贝尔踢墙配合后12码处推射，皮球再次憾中左侧立柱
41'奥塔门迪将球处理出底线,皇家马德里获得角球.                   40'第40分钟，埃尔南德斯同贝尔踢墙配合后12码处推射，皮球再次憾中左侧立柱
42'皇家马德里球员拉莫斯大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是罗德里格斯.                   40'第40分钟，埃尔南德斯同贝尔踢墙配合后12码处推射，皮球再次憾中左侧立柱
56'射门!!!皇家马德里球员埃尔南德斯大禁区中央头球,被对方守门员横身扑出.给他传球的是罗德里格斯.                   56'皇马第56分钟扳回一城，哈梅斯-罗德里格斯开出角球，佩佩小禁区边缘头球破门，1-2
56'迭戈-阿尔维斯将球处理出底线,皇家马德里获得角球.                   56'皇马第56分钟扳回一城，哈梅斯-罗德里格斯开出角球，佩佩小禁区边缘头球破门，1-2
56'进球啦！！！皇家马德里球员佩佩大禁区中央头球,球从中路飞进球门,球进了!助攻的是罗德里格斯. 皇家马德里 1-2 瓦伦西亚.                   56'皇马第56分钟扳回一城，哈梅斯-罗德里格斯开出角球，佩佩小禁区边缘头球破门，1-2
57'瓦伦西亚球员奥塔门迪拼抢犯规,对手获得控球权.                   56'皇马第56分钟扳回一城，哈梅斯-罗德里格斯开出角球，佩佩小禁区边缘头球破门，1-2
57'伊斯科为皇家马德里在对方半场,赢得一个任意球.                   56'皇马第56分钟扳回一城，哈梅斯-罗德里格斯开出角球，佩佩小禁区边缘头球破门，1-2
58'皇家马德里球员拉莫斯被主裁判出示了一张黄牌.                   56'皇马第56分钟扳回一城，哈梅斯-罗德里格斯开出角球，佩佩小禁区边缘头球破门，1-2
58'黄牌！瓦伦西亚球员奥塔门迪因为恶意犯规,被主裁判出示黄牌.                   56'皇马第56分钟扳回一城，哈梅斯-罗德里格斯开出角球，佩佩小禁区边缘头球破门，1-2
59'皇家马德里球员罗德里格斯一脚直塞球给卡尔瓦哈尔,但是边裁举旗显示后者已经越位.                   56'皇马第56分钟扳回一城，哈梅斯-罗德里格斯开出角球，佩佩小禁区边缘头球破门，1-2
84'进球啦！！！皇家马德里球员伊斯科大禁区外右脚射门,球从左上角飞进球门,球进了!助攻的是加雷斯-贝尔. 皇家马德里 2-2 瓦伦西亚.                   84'皇马第84分钟扳平比分，贝尔传球，伊斯科晃开富埃戈后25码处劲射紧贴左侧立柱入网，2-2
85'瓦伦西亚球员帕雷霍大禁区中央尝试左脚射门,可惜皮球偏出球门.给他传球的是皮亚蒂.                   84'皇马第84分钟扳平比分，贝尔传球，伊斯科晃开富埃戈后25码处劲射紧贴左侧立柱入网，2-2
86'瓦伦西亚球员巴拉甘拼抢犯规,对手获得控球权.                   84'皇马第84分钟扳平比分，贝尔传球，伊斯科晃开富埃戈后25码处劲射紧贴左侧立柱入网，2-2
86'C罗为皇家马德里在对方半场,赢得一个任意球.                   84'皇马第84分钟扳平比分，贝尔传球，伊斯科晃开富埃戈后25码处劲射紧贴左侧立柱入网，2-2
87'皇家马德里球员C罗大禁区外右脚射门,被防守球员封堵.                   84'皇马第84分钟扳平比分，贝尔传球，伊斯科晃开富埃戈后25码处劲射紧贴左侧立柱入网，2-2
87'奥塔门迪将球处理出底线,皇家马德里获得角球.                   84'皇马第84分钟扳平比分，贝尔传球，伊斯科晃开富埃戈后25码处劲射紧贴左侧立柱入网，2-2
87'皇家马德里球员加雷斯-贝尔大禁区外左脚射门,被防守球员封堵.给他传球的是佩佩.                   84'皇马第84分钟扳平比分，贝尔传球，伊斯科晃开富埃戈后25码处劲射紧贴左侧立柱入网，2-2
