1' 吉鲁开球给身后的法布雷加斯！                   1'切尔西第1分钟积极施压，扎帕科斯塔右路传中，吉鲁小禁区前头球攻门偏出
27'萨帕科斯塔把球给中圈内的克里斯滕森！                   25'切尔西第25分钟取得领先，坎特传球，威廉禁区边缘外劲射打中左侧立柱内侧入网
27'低平球给前场左侧！                   25'切尔西第25分钟取得领先，坎特传球，威廉禁区边缘外劲射打中左侧立柱内侧入网
28'阿扎尔快速插上！皮球先出了底线！                   25'切尔西第25分钟取得领先，坎特传球，威廉禁区边缘外劲射打中左侧立柱内侧入网
28'亨内西大脚开球给前场中路索罗斯！                   25'切尔西第25分钟取得领先，坎特传球，威廉禁区边缘外劲射打中左侧立柱内侧入网
28'分给右路汤森德！                   25'切尔西第25分钟取得领先，坎特传球，威廉禁区边缘外劲射打中左侧立柱内侧入网
28'横敲分球麦克阿瑟！                   25'切尔西第25分钟取得领先，坎特传球，威廉禁区边缘外劲射打中左侧立柱内侧入网
28'一脚直塞球给禁区内中路本特克！                   25'切尔西第25分钟取得领先，坎特传球，威廉禁区边缘外劲射打中左侧立柱内侧入网
32'卡希尔头球顶出来！                   32'切尔西第32分钟扩大比分，阿扎尔传球，扎帕科斯塔禁区右侧射门被亨尼西勉强扑挡，皮球打在凯利膝盖上偏转入网，2-0
32'汤姆金斯把球得到！                   32'切尔西第32分钟扩大比分，阿扎尔传球，扎帕科斯塔禁区右侧射门被亨尼西勉强扑挡，皮球打在凯利膝盖上偏转入网，2-0
32'长传吊向禁区内被库尔图瓦模式！                   32'切尔西第32分钟扩大比分，阿扎尔传球，扎帕科斯塔禁区右侧射门被亨尼西勉强扑挡，皮球打在凯利膝盖上偏转入网，2-0
32'库尔图瓦没收！开球给中场卡希尔！                   32'切尔西第32分钟扩大比分，阿扎尔传球，扎帕科斯塔禁区右侧射门被亨尼西勉强扑挡，皮球打在凯利膝盖上偏转入网，2-0
32'分球给到前场左侧吉鲁！                   32'切尔西第32分钟扩大比分，阿扎尔传球，扎帕科斯塔禁区右侧射门被亨尼西勉强扑挡，皮球打在凯利膝盖上偏转入网，2-0
32'吉鲁的球被万比萨卡抢断了！                   32'切尔西第32分钟扩大比分，阿扎尔传球，扎帕科斯塔禁区右侧射门被亨尼西勉强扑挡，皮球打在凯利膝盖上偏转入网，2-0
32'万比萨卡长传给前场左侧！                   32'切尔西第32分钟扩大比分，阿扎尔传球，扎帕科斯塔禁区右侧射门被亨尼西勉强扑挡，皮球打在凯利膝盖上偏转入网，2-0
32'皮球被威廉抢断下来！                   32'切尔西第32分钟扩大比分，阿扎尔传球，扎帕科斯塔禁区右侧射门被亨尼西勉强扑挡，皮球打在凯利膝盖上偏转入网，2-0
33'威廉直传球给底线附近萨帕科斯塔！                   32'切尔西第32分钟扩大比分，阿扎尔传球，扎帕科斯塔禁区右侧射门被亨尼西勉强扑挡，皮球打在凯利膝盖上偏转入网，2-0
33'萨帕科斯塔右边路传中进来！                   32'切尔西第32分钟扩大比分，阿扎尔传球，扎帕科斯塔禁区右侧射门被亨尼西勉强扑挡，皮球打在凯利膝盖上偏转入网，2-0
33' 吉鲁插上头球攻门！                   32'切尔西第32分钟扩大比分，阿扎尔传球，扎帕科斯塔禁区右侧射门被亨尼西勉强扑挡，皮球打在凯利膝盖上偏转入网，2-0
33'皮球被门将亨内西拿到没收！                   32'切尔西第32分钟扩大比分，阿扎尔传球，扎帕科斯塔禁区右侧射门被亨尼西勉强扑挡，皮球打在凯利膝盖上偏转入网，2-0
33'大脚开球给前场中路！                   32'切尔西第32分钟扩大比分，阿扎尔传球，扎帕科斯塔禁区右侧射门被亨尼西勉强扑挡，皮球打在凯利膝盖上偏转入网，2-0
33'阿兹皮利奎塔把球抢到！                   32'切尔西第32分钟扩大比分，阿扎尔传球，扎帕科斯塔禁区右侧射门被亨尼西勉强扑挡，皮球打在凯利膝盖上偏转入网，2-0
34'向前挑传给到前场左路的阿隆索！                   32'切尔西第32分钟扩大比分，阿扎尔传球，扎帕科斯塔禁区右侧射门被亨尼西勉强扑挡，皮球打在凯利膝盖上偏转入网，2-0
34'阿隆索挑传给禁区内前点！                   32'切尔西第32分钟扩大比分，阿扎尔传球，扎帕科斯塔禁区右侧射门被亨尼西勉强扑挡，皮球打在凯利膝盖上偏转入网，2-0
34'阿扎尔得球横移右侧！                   32'切尔西第32分钟扩大比分，阿扎尔传球，扎帕科斯塔禁区右侧射门被亨尼西勉强扑挡，皮球打在凯利膝盖上偏转入网，2-0
34'给身边右侧萨帕科斯塔！                   32'切尔西第32分钟扩大比分，阿扎尔传球，扎帕科斯塔禁区右侧射门被亨尼西勉强扑挡，皮球打在凯利膝盖上偏转入网，2-0
34'萨帕科斯塔跟上抽射！                   32'切尔西第32分钟扩大比分，阿扎尔传球，扎帕科斯塔禁区右侧射门被亨尼西勉强扑挡，皮球打在凯利膝盖上偏转入网，2-0
34'亨内西与后卫凯利防守两人撞上了！                   32'切尔西第32分钟扩大比分，阿扎尔传球，扎帕科斯塔禁区右侧射门被亨尼西勉强扑挡，皮球打在凯利膝盖上偏转入网，2-0
35'凯利的解围球击中门将亨内西头部！                   32'切尔西第32分钟扩大比分，阿扎尔传球，扎帕科斯塔禁区右侧射门被亨尼西勉强扑挡，皮球打在凯利膝盖上偏转入网，2-0
35'反弹回来！直接进入球门！！                   32'切尔西第32分钟扩大比分，阿扎尔传球，扎帕科斯塔禁区右侧射门被亨尼西勉强扑挡，皮球打在凯利膝盖上偏转入网，2-0
35'乌龙球啊！                   32'切尔西第32分钟扩大比分，阿扎尔传球，扎帕科斯塔禁区右侧射门被亨尼西勉强扑挡，皮球打在凯利膝盖上偏转入网，2-0
35'切尔西主场2-0水晶宫！                   32'切尔西第32分钟扩大比分，阿扎尔传球，扎帕科斯塔禁区右侧射门被亨尼西勉强扑挡，皮球打在凯利膝盖上偏转入网，2-0
67'阿兹皮利奎塔长传给前场插上的威廉！                   67'第67分钟，阿隆索禁区左侧低传，吉鲁10码处推射憾中右侧立柱弹回
67'威廉分球给身边跟上的萨帕科斯塔！                   67'第67分钟，阿隆索禁区左侧低传，吉鲁10码处推射憾中右侧立柱弹回
67'萨帕科斯塔挑向前场左路找阿隆索！                   67'第67分钟，阿隆索禁区左侧低传，吉鲁10码处推射憾中右侧立柱弹回
67'阿隆索低平球传中！                   67'第67分钟，阿隆索禁区左侧低传，吉鲁10码处推射憾中右侧立柱弹回
67'皮球被防守球员解围出来！                   67'第67分钟，阿隆索禁区左侧低传，吉鲁10码处推射憾中右侧立柱弹回
67'外围左侧还是阿隆索的球！                   67'第67分钟，阿隆索禁区左侧低传，吉鲁10码处推射憾中右侧立柱弹回
67'阿隆索直传球给禁区内阿扎尔！                   67'第67分钟，阿隆索禁区左侧低传，吉鲁10码处推射憾中右侧立柱弹回
68'皮球先被凯利解围到中场！                   67'第67分钟，阿隆索禁区左侧低传，吉鲁10码处推射憾中右侧立柱弹回
68'麦克阿瑟还有球权！                   67'第67分钟，阿隆索禁区左侧低传，吉鲁10码处推射憾中右侧立柱弹回
68'给到前场左路给施鲁普！                   67'第67分钟，阿隆索禁区左侧低传，吉鲁10码处推射憾中右侧立柱弹回
68'施鲁普回敲身后范安霍特！                   67'第67分钟，阿隆索禁区左侧低传，吉鲁10码处推射憾中右侧立柱弹回
70'范安霍特给到中圈内给米利沃耶维奇！                   67'第67分钟，阿隆索禁区左侧低传，吉鲁10码处推射憾中右侧立柱弹回
70'米利沃耶维奇给到前场中路！                   67'第67分钟，阿隆索禁区左侧低传，吉鲁10码处推射憾中右侧立柱弹回
70' 坎特把球抢断下来！                   67'第67分钟，阿隆索禁区左侧低传，吉鲁10码处推射憾中右侧立柱弹回
70'分到右侧给阿兹皮利奎塔！                   67'第67分钟，阿隆索禁区左侧低传，吉鲁10码处推射憾中右侧立柱弹回
70'扎哈上抢把球踢出边线！                   67'第67分钟，阿隆索禁区左侧低传，吉鲁10码处推射憾中右侧立柱弹回
85'汤姆金斯分到右路给万比萨卡！                   85'第85分钟，索尔洛特混战中11码处劲射破门，但因里德瓦尔德犯规在先，进球被判无效
85'万比萨卡直传球给到禁区内！                   85'第85分钟，索尔洛特混战中11码处劲射破门，但因里德瓦尔德犯规在先，进球被判无效
85'皮球被库尔图瓦大脚解围出来！                   85'第85分钟，索尔洛特混战中11码处劲射破门，但因里德瓦尔德犯规在先，进球被判无效
85'皮球来到水晶宫后场！                   85'第85分钟，索尔洛特混战中11码处劲射破门，但因里德瓦尔德犯规在先，进球被判无效
85'汤姆金斯把球得到！给左路的范安霍特！                   85'第85分钟，索尔洛特混战中11码处劲射破门，但因里德瓦尔德犯规在先，进球被判无效
85'范安霍特横传给到中圈麦克阿瑟！                   85'第85分钟，索尔洛特混战中11码处劲射破门，但因里德瓦尔德犯规在先，进球被判无效
86'麦克阿瑟分球给身边的米利沃耶维奇！                   85'第85分钟，索尔洛特混战中11码处劲射破门，但因里德瓦尔德犯规在先，进球被判无效
86'再给左路的范安霍特！                   85'第85分钟，索尔洛特混战中11码处劲射破门，但因里德瓦尔德犯规在先，进球被判无效
86'回传给后场中路汤姆金斯！                   85'第85分钟，索尔洛特混战中11码处劲射破门，但因里德瓦尔德犯规在先，进球被判无效
86'长传找前场右侧万比萨卡！                   85'第85分钟，索尔洛特混战中11码处劲射破门，但因里德瓦尔德犯规在先，进球被判无效
86'万比萨卡回给身后汤森德！                   85'第85分钟，索尔洛特混战中11码处劲射破门，但因里德瓦尔德犯规在先，进球被判无效
86'再横传给中路米利沃耶维奇！                   85'第85分钟，索尔洛特混战中11码处劲射破门，但因里德瓦尔德犯规在先，进球被判无效
86'斜传给左路范安霍特！                   85'第85分钟，索尔洛特混战中11码处劲射破门，但因里德瓦尔德犯规在先，进球被判无效
86'阿兹皮利奎塔把球解围！                   85'第85分钟，索尔洛特混战中11码处劲射破门，但因里德瓦尔德犯规在先，进球被判无效
87'威廉后场把球控制！带球过来！                   85'第85分钟，索尔洛特混战中11码处劲射破门，但因里德瓦尔德犯规在先，进球被判无效
87'给前场左侧阿扎尔！                   85'第85分钟，索尔洛特混战中11码处劲射破门，但因里德瓦尔德犯规在先，进球被判无效
87'阿扎尔把球给禁区内左侧莫拉塔！                   85'第85分钟，索尔洛特混战中11码处劲射破门，但因里德瓦尔德犯规在先，进球被判无效
87'起脚打门！被凯利挡出底线！                   85'第85分钟，索尔洛特混战中11码处劲射破门，但因里德瓦尔德犯规在先，进球被判无效
88'切尔西的右侧角球！                   85'第85分钟，索尔洛特混战中11码处劲射破门，但因里德瓦尔德犯规在先，进球被判无效
88'角球开到禁区内后点！                   85'第85分钟，索尔洛特混战中11码处劲射破门，但因里德瓦尔德犯规在先，进球被判无效
88'皮球被解围出来！                   85'第85分钟，索尔洛特混战中11码处劲射破门，但因里德瓦尔德犯规在先，进球被判无效
88'阿扎尔外围把球得到！左侧起脚远射！                   85'第85分钟，索尔洛特混战中11码处劲射破门，但因里德瓦尔德犯规在先，进球被判无效
90'范安霍特把球给中路李青龙！                   90'水晶宫第90分钟扳回一城，扎哈传球，范安霍尔特突入禁区左侧10码处低射，皮球从库尔图瓦双腿间穿过入网，1-2
90'李青龙横敲给右路的万比萨卡！                   90'水晶宫第90分钟扳回一城，扎哈传球，范安霍尔特突入禁区左侧10码处低射，皮球从库尔图瓦双腿间穿过入网，1-2
90'万比萨卡传中到禁区后点！                   90'水晶宫第90分钟扳回一城，扎哈传球，范安霍尔特突入禁区左侧10码处低射，皮球从库尔图瓦双腿间穿过入网，1-2
90'皮球被库尔图瓦没收！                   90'水晶宫第90分钟扳回一城，扎哈传球，范安霍尔特突入禁区左侧10码处低射，皮球从库尔图瓦双腿间穿过入网，1-2
91'库尔图瓦开球给身边的阿兹皮利奎塔！                   90'水晶宫第90分钟扳回一城，扎哈传球，范安霍尔特突入禁区左侧10码处低射，皮球从库尔图瓦双腿间穿过入网，1-2
91'索罗斯把球抢断下来！                   90'水晶宫第90分钟扳回一城，扎哈传球，范安霍尔特突入禁区左侧10码处低射，皮球从库尔图瓦双腿间穿过入网，1-2
91'索罗斯分给前场中路扎哈！                   90'水晶宫第90分钟扳回一城，扎哈传球，范安霍尔特突入禁区左侧10码处低射，皮球从库尔图瓦双腿间穿过入网，1-2
91'扎哈直传球给禁区内左侧！                   90'水晶宫第90分钟扳回一城，扎哈传球，范安霍尔特突入禁区左侧10码处低射，皮球从库尔图瓦双腿间穿过入网，1-2
91'范安霍特插上形成单刀！！                   90'水晶宫第90分钟扳回一城，扎哈传球，范安霍尔特突入禁区左侧10码处低射，皮球从库尔图瓦双腿间穿过入网，1-2
91'冷静推射！！                   90'水晶宫第90分钟扳回一城，扎哈传球，范安霍尔特突入禁区左侧10码处低射，皮球从库尔图瓦双腿间穿过入网，1-2
91'GOOOOOOOOOOOOOOOAL！！！                   90'水晶宫第90分钟扳回一城，扎哈传球，范安霍尔特突入禁区左侧10码处低射，皮球从库尔图瓦双腿间穿过入网，1-2
91'水晶宫扳回一城！1-2切尔西！                   90'水晶宫第90分钟扳回一城，扎哈传球，范安霍尔特突入禁区左侧10码处低射，皮球从库尔图瓦双腿间穿过入网，1-2
91'下半场补时3分钟！                   90'水晶宫第90分钟扳回一城，扎哈传球，范安霍尔特突入禁区左侧10码处低射，皮球从库尔图瓦双腿间穿过入网，1-2
92'切尔西的右侧角球！                   90'水晶宫第90分钟扳回一城，扎哈传球，范安霍尔特突入禁区左侧10码处低射，皮球从库尔图瓦双腿间穿过入网，1-2
92'萨帕科斯塔开角球给威廉！                   90'水晶宫第90分钟扳回一城，扎哈传球，范安霍尔特突入禁区左侧10码处低射，皮球从库尔图瓦双腿间穿过入网，1-2
92'范安霍特上前把球解围出边线！                   90'水晶宫第90分钟扳回一城，扎哈传球，范安霍尔特突入禁区左侧10码处低射，皮球从库尔图瓦双腿间穿过入网，1-2
93'萨帕科斯塔发球找底线附近莫拉塔！                   90'水晶宫第90分钟扳回一城，扎哈传球，范安霍尔特突入禁区左侧10码处低射，皮球从库尔图瓦双腿间穿过入网，1-2
93'这球被莫拉塔停出底线了！球门球！                   90'水晶宫第90分钟扳回一城，扎哈传球，范安霍尔特突入禁区左侧10码处低射，皮球从库尔图瓦双腿间穿过入网，1-2
