3'郜林接应，饶伟辉缠着郜林                   3'第3分钟，广州恒大队中路策动进攻，郑智摆脱防守起脚远射，球偏出了立柱许多
23'饶伟辉左路横传，陈杰上前停球后顺势大力远射球打在刘健身上折射入网！                   23'第23分钟，贵州人和快速反击，左路于海横敲中路空挡，陈杰高速插上稍作调整起右脚远射，球打在飞身封堵的刘健脚上折射入网，曾诚已经判断了没有办法扑救
24'上半场23分钟，形势比较落后的贵州人和却率先破门                   23'第23分钟，贵州人和快速反击，左路于海横敲中路空挡，陈杰高速插上稍作调整起右脚远射，球打在飞身封堵的刘健脚上折射入网，曾诚已经判断了没有办法扑救
25'尤里中场犯规，投诉过激吃到了黄牌                   23'第23分钟，贵州人和快速反击，左路于海横敲中路空挡，陈杰高速插上稍作调整起右脚远射，球打在飞身封堵的刘健脚上折射入网，曾诚已经判断了没有办法扑救
26'米西莫维奇中场趟球被雷内踢倒                   23'第23分钟，贵州人和快速反击，左路于海横敲中路空挡，陈杰高速插上稍作调整起右脚远射，球打在飞身封堵的刘健脚上折射入网，曾诚已经判断了没有办法扑救
26'雷内也被黄牌警告                   23'第23分钟，贵州人和快速反击，左路于海横敲中路空挡，陈杰高速插上稍作调整起右脚远射，球打在飞身封堵的刘健脚上折射入网，曾诚已经判断了没有办法扑救
27'于海左路的强行下底传中打在张琳芃身上出了底线                   27'第27分钟，雷内中场一次凶悍侧身拦截踢倒了米西莫维奇，主裁判出示了一张黄牌
27'饶伟辉传后点，冯潇霆头球解围                   27'第27分钟，雷内中场一次凶悍侧身拦截踢倒了米西莫维奇，主裁判出示了一张黄牌
27'外围陈昌源过顶传到禁区，于海先越位了                   27'第27分钟，雷内中场一次凶悍侧身拦截踢倒了米西莫维奇，主裁判出示了一张黄牌
30'孙继海长传到禁区前沿                   27'第27分钟，雷内中场一次凶悍侧身拦截踢倒了米西莫维奇，主裁判出示了一张黄牌
30'孙继海长传到禁区前沿                   30'第30分钟，广州恒大队后场长传到前场，陈昌源解围失误手球了，广州恒大前场任意球机会，埃尔克森主罚任意球直接射门，可惜稍稍高出了横梁
31'尤里头球回摆，米西莫维奇凌空抽射打高了                   30'第30分钟，广州恒大队后场长传到前场，陈昌源解围失误手球了，广州恒大前场任意球机会，埃尔克森主罚任意球直接射门，可惜稍稍高出了横梁
31'陈昌源内收的防守手球了                   30'第30分钟，广州恒大队后场长传到前场，陈昌源解围失误手球了，广州恒大前场任意球机会，埃尔克森主罚任意球直接射门，可惜稍稍高出了横梁
31'恒大获得一个中路偏左的任意球机会，距离稍稍有点远                   30'第30分钟，广州恒大队后场长传到前场，陈昌源解围失误手球了，广州恒大前场任意球机会，埃尔克森主罚任意球直接射门，可惜稍稍高出了横梁
31'埃尔克森任意球打门，力量很大，但球稍稍高出横梁                   30'第30分钟，广州恒大队后场长传到前场，陈昌源解围失误手球了，广州恒大前场任意球机会，埃尔克森主罚任意球直接射门，可惜稍稍高出了横梁
33'黄博文中路的直塞，雷内越位                   30'第30分钟，广州恒大队后场长传到前场，陈昌源解围失误手球了，广州恒大前场任意球机会，埃尔克森主罚任意球直接射门，可惜稍稍高出了横梁
38'黄博文禁区外一脚冷射，张烈扑球脱手，球出了底线                   38'第38分钟，广州恒大前场中路耐心策动进攻，黄博文得球摆脱防守起右脚劲射，张烈飞身将球破坏出底线
38'孙祥角球送到门前，张烈将球摘下                   38'第38分钟，广州恒大前场中路耐心策动进攻，黄博文得球摆脱防守起右脚劲射，张烈飞身将球破坏出底线
40'冯潇霆上抢分给郜林                   38'第38分钟，广州恒大前场中路耐心策动进攻，黄博文得球摆脱防守起右脚劲射，张烈飞身将球破坏出底线
40'孙继海滑铲将球铲出边线                   38'第38分钟，广州恒大前场中路耐心策动进攻，黄博文得球摆脱防守起右脚劲射，张烈飞身将球破坏出底线
40'郜林左脚斜传后点，张烈出击虚晃一下，球飞出底线                   38'第38分钟，广州恒大前场中路耐心策动进攻，黄博文得球摆脱防守起右脚劲射，张烈飞身将球破坏出底线
41'米西莫维奇左路得球直传，尤里得球没办法转身                   38'第38分钟，广州恒大前场中路耐心策动进攻，黄博文得球摆脱防守起右脚劲射，张烈飞身将球破坏出底线
41'冯潇霆跟防出来，尤里传中被冯潇霆封堵                   38'第38分钟，广州恒大前场中路耐心策动进攻，黄博文得球摆脱防守起右脚劲射，张烈飞身将球破坏出底线
41'埃尔克森左路的推进，杨一虎背后铲倒了埃尔克森                   38'第38分钟，广州恒大前场中路耐心策动进攻，黄博文得球摆脱防守起右脚劲射，张烈飞身将球破坏出底线
41'恒大前场左路的任意球机会                   38'第38分钟，广州恒大前场中路耐心策动进攻，黄博文得球摆脱防守起右脚劲射，张烈飞身将球破坏出底线
42'张琳芃将比分扳平！                   42'第42分钟，埃尔克森左路突破赢得任意球机会，孙祥主罚任意球到禁区内，张烈出击失误球没有打远，禁区内张琳M机警右脚挑射破门，场上比分改写为1比1
43'孙祥左边路的任意球弧线球传门前，张烈出击接球脱手，张琳芃在点球点前侧身将球勾进了空门！                   42'第42分钟，埃尔克森左路突破赢得任意球机会，孙祥主罚任意球到禁区内，张烈出击失误球没有打远，禁区内张琳M机警右脚挑射破门，场上比分改写为1比1
43'在上半场结束前将比分扳平，对于恒大来说非常重要                   42'第42分钟，埃尔克森左路突破赢得任意球机会，孙祥主罚任意球到禁区内，张烈出击失误球没有打远，禁区内张琳M机警右脚挑射破门，场上比分改写为1比1
45'李春郁长传前场右路，孙祥差一点被草地绊倒                   42'第42分钟，埃尔克森左路突破赢得任意球机会，孙祥主罚任意球到禁区内，张烈出击失误球没有打远，禁区内张琳M机警右脚挑射破门，场上比分改写为1比1
45'杨一虎右路用左脚旋向球门，尤里头球没有顶着                   42'第42分钟，埃尔克森左路突破赢得任意球机会，孙祥主罚任意球到禁区内，张烈出击失误球没有打远，禁区内张琳M机警右脚挑射破门，场上比分改写为1比1
47'上半场比赛结束！                   47'第47分钟，广州恒大右路策动进攻，郜林高速下底传中，吉拉迪诺门前抢点推射球打在横梁上
49'郜林斜塞禁区左侧，插上的冯潇霆横传，传得稍稍靠前了                   47'第47分钟，广州恒大右路策动进攻，郜林高速下底传中，吉拉迪诺门前抢点推射球打在横梁上
49'冯潇霆的突然插上时机把握得不错                   47'第47分钟，广州恒大右路策动进攻，郜林高速下底传中，吉拉迪诺门前抢点推射球打在横梁上
50'埃尔克森左路起速连续的传递，陈杰拦截犯规                   47'第47分钟，广州恒大右路策动进攻，郜林高速下底传中，吉拉迪诺门前抢点推射球打在横梁上
55'埃尔克森后场开始带球，陈杰马上用犯规阻止他的推进                   55'第55分钟，广州恒大前场右路任意球，黄博文主罚到禁区内人和后卫解围不远，雷内左路禁区前沿得球摆脱起左脚劲射，张烈飞身将球解围不远，恒大再次将球传到禁区内，吉拉迪诺无人盯防转身打门可惜没有发生力量守门员轻松没收
56'埃尔克森拉到右路护球，再度被饶伟辉拉倒                   55'第55分钟，广州恒大前场右路任意球，黄博文主罚到禁区内人和后卫解围不远，雷内左路禁区前沿得球摆脱起左脚劲射，张烈飞身将球解围不远，恒大再次将球传到禁区内，吉拉迪诺无人盯防转身打门可惜没有发生力量守门员轻松没收
56'黄博文任意球传中，于海头球解围                   55'第55分钟，广州恒大前场右路任意球，黄博文主罚到禁区内人和后卫解围不远，雷内左路禁区前沿得球摆脱起左脚劲射，张烈飞身将球解围不远，恒大再次将球传到禁区内，吉拉迪诺无人盯防转身打门可惜没有发生力量守门员轻松没收
57'雷内左脚远射被张烈横身扑出                   55'第55分钟，广州恒大前场右路任意球，黄博文主罚到禁区内人和后卫解围不远，雷内左路禁区前沿得球摆脱起左脚劲射，张烈飞身将球解围不远，恒大再次将球传到禁区内，吉拉迪诺无人盯防转身打门可惜没有发生力量守门员轻松没收
57'后点郜林拿球横传中，吉拉迪诺停球转身打门没有的相力量，张烈再度将球扑住                   55'第55分钟，广州恒大前场右路任意球，黄博文主罚到禁区内人和后卫解围不远，雷内左路禁区前沿得球摆脱起左脚劲射，张烈飞身将球解围不远，恒大再次将球传到禁区内，吉拉迪诺无人盯防转身打门可惜没有发生力量守门员轻松没收
58'孙祥左路的传中，球速太慢了，张烈将球摘下                   55'第55分钟，广州恒大前场右路任意球，黄博文主罚到禁区内人和后卫解围不远，雷内左路禁区前沿得球摆脱起左脚劲射，张烈飞身将球解围不远，恒大再次将球传到禁区内，吉拉迪诺无人盯防转身打门可惜没有发生力量守门员轻松没收
60'恒大左路的组织，打得太小了，陈昌源将球断下                   60'第60分钟，贵州人和右路策动进攻，杨一虎右路传中到门前，尤里高速插上垫射，曾诚做出精彩扑救，于海跟进补射张琳M第一时间将球破坏出禁区
60'贵州人和准备换上汉克                   60'第60分钟，贵州人和右路策动进攻，杨一虎右路传中到门前，尤里高速插上垫射，曾诚做出精彩扑救，于海跟进补射张琳M第一时间将球破坏出禁区
60'孙继海长传对方禁区冯潇霆顶到第一点，                   60'第60分钟，贵州人和右路策动进攻，杨一虎右路传中到门前，尤里高速插上垫射，曾诚做出精彩扑救，于海跟进补射张琳M第一时间将球破坏出禁区
61'杨一虎右路的传中，尤里垫射被曾诚扑出                   60'第60分钟，贵州人和右路策动进攻，杨一虎右路传中到门前，尤里高速插上垫射，曾诚做出精彩扑救，于海跟进补射张琳M第一时间将球破坏出禁区
62'于海准备补射被张琳芃飞身将球勾出禁区                   60'第60分钟，贵州人和右路策动进攻，杨一虎右路传中到门前，尤里高速插上垫射，曾诚做出精彩扑救，于海跟进补射张琳M第一时间将球破坏出禁区
62'赵旭日跑动中的传中，吉拉迪诺没有顶到第一点                   60'第60分钟，贵州人和右路策动进攻，杨一虎右路传中到门前，尤里高速插上垫射，曾诚做出精彩扑救，于海跟进补射张琳M第一时间将球破坏出禁区
62'刚才于海与张琳芃对脚后好像小腿被踢到后很痛苦                   60'第60分钟，贵州人和右路策动进攻，杨一虎右路传中到门前，尤里高速插上垫射，曾诚做出精彩扑救，于海跟进补射张琳M第一时间将球破坏出禁区
63'黄博文后场斜长传，落点不好，张烈将球没收                   60'第60分钟，贵州人和右路策动进攻，杨一虎右路传中到门前，尤里高速插上垫射，曾诚做出精彩扑救，于海跟进补射张琳M第一时间将球破坏出禁区
70'冯潇霆上抢成功，自己带到前场，传球力量很大                   70'第70分钟，里皮用完最后一个换人名额，用于汉超换下黄博文全力出击在客场拿下三分
70'于汉超拿得比较别扭，最后将球碰出边线                   70'第70分钟，里皮用完最后一个换人名额，用于汉超换下黄博文全力出击在客场拿下三分
71'现在恒大有倾向变阵为3后卫                   70'第70分钟，里皮用完最后一个换人名额，用于汉超换下黄博文全力出击在客场拿下三分
71'迪亚曼蒂传中路，郜林护球球丢了                   70'第70分钟，里皮用完最后一个换人名额，用于汉超换下黄博文全力出击在客场拿下三分
71'汉克回接回传给陈昌源再回传给萨利                   70'第70分钟，里皮用完最后一个换人名额，用于汉超换下黄博文全力出击在客场拿下三分
72'米西莫维奇要球，护球很漂亮，最后被心急如焚的迪亚曼蒂拉倒                   70'第70分钟，里皮用完最后一个换人名额，用于汉超换下黄博文全力出击在客场拿下三分
72'贵州人和获得一个前场右路的任意球机会                   70'第70分钟，里皮用完最后一个换人名额，用于汉超换下黄博文全力出击在客场拿下三分
72'孙继海的长传，第一点汉克没有顶到                   70'第70分钟，里皮用完最后一个换人名额，用于汉超换下黄博文全力出击在客场拿下三分
73'后点萨利得球自己盘带但没有队友接应，最后自己带球出了边线                   70'第70分钟，里皮用完最后一个换人名额，用于汉超换下黄博文全力出击在客场拿下三分
73'雷内后场开始带球，米西莫维奇马上犯规                   70'第70分钟，里皮用完最后一个换人名额，用于汉超换下黄博文全力出击在客场拿下三分
73'贵州人和的硬朗打法对恒大有不错的效果                   70'第70分钟，里皮用完最后一个换人名额，用于汉超换下黄博文全力出击在客场拿下三分
77'埃尔克森任意球打门打在人墙上弹出来                   77'第77分钟，埃尔克森主罚任意球直接射门，球穿过人群直奔球门张烈再次做出精彩扑救
77'埃尔克森马上去追这球被人墙中冲出来的汉克绊倒                   77'第77分钟，埃尔克森主罚任意球直接射门，球穿过人群直奔球门张烈再次做出精彩扑救
78'恒大再度获得任意球机会，比刚才的那个位置更正中，距离也只有25米左右                   77'第77分钟，埃尔克森主罚任意球直接射门，球穿过人群直奔球门张烈再次做出精彩扑救
78'埃尔克森任意球劲射打穿了人墙，张烈将球托出横梁！                   77'第77分钟，埃尔克森主罚任意球直接射门，球穿过人群直奔球门张烈再次做出精彩扑救
79'于汉超角球发到后点，冯潇霆顶到球但见高不见远                   77'第77分钟，埃尔克森主罚任意球直接射门，球穿过人群直奔球门张烈再次做出精彩扑救
79'杨一虎上抢将球断下，迪亚曼蒂绊倒了陈杰                   77'第77分钟，埃尔克森主罚任意球直接射门，球穿过人群直奔球门张烈再次做出精彩扑救
79'迪亚曼蒂也是被黄牌警告                   77'第77分钟，埃尔克森主罚任意球直接射门，球穿过人群直奔球门张烈再次做出精彩扑救
79'贵州人和换人，7号马辛斯基换下了8号李春郁                   77'第77分钟，埃尔克森主罚任意球直接射门，球穿过人群直奔球门张烈再次做出精彩扑救
80'杨一虎左路护球，于汉超回来断球                   77'第77分钟，埃尔克森主罚任意球直接射门，球穿过人群直奔球门张烈再次做出精彩扑救
80'迪亚曼蒂左路得球，传中                   77'第77分钟，埃尔克森主罚任意球直接射门，球穿过人群直奔球门张烈再次做出精彩扑救
80'埃尔克森打进了本赛季第27个进球！                   77'第77分钟，埃尔克森主罚任意球直接射门，球穿过人群直奔球门张烈再次做出精彩扑救
49'郜林斜塞禁区左侧，插上的冯潇霆横传，传得稍稍靠前了                   48'下半场补时3分钟后结束，广州恒大队在客场以2比1战胜贵州人和队
49'冯潇霆的突然插上时机把握得不错                   48'下半场补时3分钟后结束，广州恒大队在客场以2比1战胜贵州人和队
50'埃尔克森左路起速连续的传递，陈杰拦截犯规                   48'下半场补时3分钟后结束，广州恒大队在客场以2比1战胜贵州人和队
51'下半场开始时，恒大用赵旭日换下了刘健                   48'下半场补时3分钟后结束，广州恒大队在客场以2比1战胜贵州人和队
51'万金油郑智回到中后卫位置                   48'下半场补时3分钟后结束，广州恒大队在客场以2比1战胜贵州人和队
