1'上半场比赛开始                   1'第1分钟仅7分钟，金敬道回防时拉人犯规，吃到本场比赛第一张黄牌
14'任意球发出来，对方抢球放倒了洛维，鲁能泰山队得到更前一点位置的任意球机会                   12'第12分钟，张文钊边路突破杀到禁区线附近，孙凯将其拉倒，山东鲁能获得边路任意球，蒙蒂略横传门前，洛维拿球稍作调整后突然抽射，球打在防守队员身上后转入近角，山东鲁能1-0领先
15'哇！！蒙蒂略发任意球直接打门，又击中横梁！！！！！！                   12'第12分钟，张文钊边路突破杀到禁区线附近，孙凯将其拉倒，山东鲁能获得边路任意球，蒙蒂略横传门前，洛维拿球稍作调整后突然抽射，球打在防守队员身上后转入近角，山东鲁能1-0领先
15'哇！！蒙蒂略发任意球直接打门，又击中横梁！！！！！！                   15'第15分钟，山东鲁能又错失机会
16'鲁能泰山队左路进攻，乌索横传球给了洛维                   15'第15分钟，山东鲁能又错失机会
17'王彤右路传球，张文钊突破被乔尼把球破坏                   15'第15分钟，山东鲁能又错失机会
18'张文钊右路突破，被对方破坏出边线                   15'第15分钟，山东鲁能又错失机会
21'鲁能泰山队进球啦！！乌索！2-0                   20'第20分钟，山东鲁能再次取得进球，山东鲁能断球反击，洛维中场挑传禁区，乌索后插上停球挤开一名防守球员后，推射远角得手，山东鲁能2-0领先
22'洛维得球直传身后，乌索抢点劲射破门得分！！                   20'第20分钟，山东鲁能再次取得进球，山东鲁能断球反击，洛维中场挑传禁区，乌索后插上停球挤开一名防守球员后，推射远角得手，山东鲁能2-0领先
22'场上的比分变成了2-0！！鲁能泰山队今天打得非常有气势！                   20'第20分钟，山东鲁能再次取得进球，山东鲁能断球反击，洛维中场挑传禁区，乌索后插上停球挤开一名防守球员后，推射远角得手，山东鲁能2-0领先
22'鲁能泰山队扩大了比分！您猜对了吗？                   20'第20分钟，山东鲁能再次取得进球，山东鲁能断球反击，洛维中场挑传禁区，乌索后插上停球挤开一名防守球员后，推射远角得手，山东鲁能2-0领先
23'雨夜黎雪：金敬道几脚传球明显不行！！！[回复]金敬道在中场的表现还是不错的啊！                   20'第20分钟，山东鲁能再次取得进球，山东鲁能断球反击，洛维中场挑传禁区，乌索后插上停球挤开一名防守球员后，推射远角得手，山东鲁能2-0领先
23'镜头找到了于涛和乌塔卡！                   20'第20分钟，山东鲁能再次取得进球，山东鲁能断球反击，洛维中场挑传禁区，乌索后插上停球挤开一名防守球员后，推射远角得手，山东鲁能2-0领先
35'洛维在前场得球横向突破打门，角度有些正！！被刘殿座没收！                   35'第35分钟，洛维禁区前沿得球后突施冷箭，刘殿座倒地将球扑住
36'上海申鑫队攻到前场，刘峻楠传球被破坏出底线                   35'第35分钟，洛维禁区前沿得球后突施冷箭，刘殿座倒地将球扑住
36'上海申鑫队得到角球机会                   35'第35分钟，洛维禁区前沿得球后突施冷箭，刘殿座倒地将球扑住
36'角球发到禁区内，乔尼顶到球，王大雷把球打出来                   35'第35分钟，洛维禁区前沿得球后突施冷箭，刘殿座倒地将球扑住
37'前场上海申鑫队断球挑传禁区，埃弗顿突破被对方卡住了位置！球出底线！                   35'第35分钟，洛维禁区前沿得球后突施冷箭，刘殿座倒地将球扑住
37'角球发出来，埃弗顿插上打门高啦                   35'第35分钟，洛维禁区前沿得球后突施冷箭，刘殿座倒地将球扑住
40'张文钊突破到禁区内一脚劲射，被刘殿座扑出                   40'第40分钟，山东鲁能反击，中场直塞，张文钊带球杀入禁区后小角度劲射，刘殿座快速下扑用脚将球挡出
40'中场鲁能泰山队得球，直传球到了乔尼脚下                   40'第40分钟，山东鲁能反击，中场直塞，张文钊带球杀入禁区后小角度劲射，刘殿座快速下扑用脚将球挡出
41'上海申鑫队前场直传禁区，应该是个越位！！但助理裁判没有吹                   40'第40分钟，山东鲁能反击，中场直塞，张文钊带球杀入禁区后小角度劲射，刘殿座快速下扑用脚将球挡出
41'王大雷显得非常不满意！                   40'第40分钟，山东鲁能反击，中场直塞，张文钊带球杀入禁区后小角度劲射，刘殿座快速下扑用脚将球挡出
41'上半场比赛临近尾声，上海申鑫队进攻强了起来！                   40'第40分钟，山东鲁能反击，中场直塞，张文钊带球杀入禁区后小角度劲射，刘殿座快速下扑用脚将球挡出
42'现在鲁能泰山队2-0领先！                   40'第40分钟，山东鲁能反击，中场直塞，张文钊带球杀入禁区后小角度劲射，刘殿座快速下扑用脚将球挡出
42'鲁能泰山队攻到前场！！机会                   40'第40分钟，山东鲁能反击，中场直塞，张文钊带球杀入禁区后小角度劲射，刘殿座快速下扑用脚将球挡出
42'郑铮突破到禁区内一脚劲射！！被刘殿座扑了一下出底线！！！                   40'第40分钟，山东鲁能反击，中场直塞，张文钊带球杀入禁区后小角度劲射，刘殿座快速下扑用脚将球挡出
42'鲁能泰山队得到角球机会！                   40'第40分钟，山东鲁能反击，中场直塞，张文钊带球杀入禁区后小角度劲射，刘殿座快速下扑用脚将球挡出
43'：怜天孤苦好奇葩，竟然山东要赢球，吓[回复]鲁能泰山队2-0啦！！如果不出意外应该能拿三分吧！！                   40'第40分钟，山东鲁能反击，中场直塞，张文钊带球杀入禁区后小角度劲射，刘殿座快速下扑用脚将球挡出
43'后场上海申鑫队断球！                   40'第40分钟，山东鲁能反击，中场直塞，张文钊带球杀入禁区后小角度劲射，刘殿座快速下扑用脚将球挡出
48'张文钊有点挑衅！！在对方禁区内把球传中就完了啊！                   48'第48分钟，蒙蒂略任意球传中被挡，戴琳拿球抢射，刘殿座扑球脱手，张文钊补射得手，但边裁示意越位在先，进球无效
48'上半场比赛结束！鲁能泰山队2-0领先上海申鑫队！                   48'第48分钟，蒙蒂略任意球传中被挡，戴琳拿球抢射，刘殿座扑球脱手，张文钊补射得手，但边裁示意越位在先，进球无效
48'山队进球啦！！张文钊，可惜啊！！张文钊越位                   48'第48分钟，蒙蒂略任意球传中被挡，戴琳拿球抢射，刘殿座扑球脱手，张文钊补射得手，但边裁示意越位在先，进球无效
49'鲁能泰山队传禁区内，接应队员打门被刘殿座挡出来，张文钊抢点打门球进，但在打门时已经越位                   48'第48分钟，蒙蒂略任意球传中被挡，戴琳拿球抢射，刘殿座扑球脱手，张文钊补射得手，但边裁示意越位在先，进球无效
49'多尔戈多：戴林不是停赛了吗？？？[回复]戴琳是足协杯犯规的吧！                   48'第48分钟，蒙蒂略任意球传中被挡，戴琳拿球抢射，刘殿座扑球脱手，张文钊补射得手，但边裁示意越位在先，进球无效
50'现场的雨越下越大，后防线应该多加注意！                   48'第48分钟，蒙蒂略任意球传中被挡，戴琳拿球抢射，刘殿座扑球脱手，张文钊补射得手，但边裁示意越位在先，进球无效
50'鲁能泰山队左路长传，洛维被放倒，但球权在鲁能泰山队脚下                   48'第48分钟，蒙蒂略任意球传中被挡，戴琳拿球抢射，刘殿座扑球脱手，张文钊补射得手，但边裁示意越位在先，进球无效
50'鲁能泰山队左路横传禁区，对方把球破坏出来                   48'第48分钟，蒙蒂略任意球传中被挡，戴琳拿球抢射，刘殿座扑球脱手，张文钊补射得手，但边裁示意越位在先，进球无效
50'郑铮是球，回传经他王大雷                   48'第48分钟，蒙蒂略任意球传中被挡，戴琳拿球抢射，刘殿座扑球脱手，张文钊补射得手，但边裁示意越位在先，进球无效
51'郑铮回传球给王大雷                   48'第48分钟，蒙蒂略任意球传中被挡，戴琳拿球抢射，刘殿座扑球脱手，张文钊补射得手，但边裁示意越位在先，进球无效
51'后场鲁能泰山队得球长传，刘彬彬和洛维都越位啦                   48'第48分钟，蒙蒂略任意球传中被挡，戴琳拿球抢射，刘殿座扑球脱手，张文钊补射得手，但边裁示意越位在先，进球无效
52'上海申鑫队中路长传球，越位球                   52'第52分钟，蒙蒂略、洛维连续配合，刘彬彬内切弧线球打门被门将没收
52'鲁能泰山队得球大脚长传，刘彬彬追不上啦，被刘殿座没收                   52'第52分钟，蒙蒂略、洛维连续配合，刘彬彬内切弧线球打门被门将没收
52'中场鲁能泰山队断球，戴琳被放倒在地                   52'第52分钟，蒙蒂略、洛维连续配合，刘彬彬内切弧线球打门被门将没收
53'左路突破横传，交给了洛维，再分到左路，刘彬彬突破劲射，被刘殿座没收！                   52'第52分钟，蒙蒂略、洛维连续配合，刘彬彬内切弧线球打门被门将没收
54'上海申鑫队直传禁区，王大雷出击没能拿到球，乌塔卡得球转身打门被挡出                   52'第52分钟，蒙蒂略、洛维连续配合，刘彬彬内切弧线球打门被门将没收
55'杨家威带球突破一脚劲射，被王大雷扑了一下出底线，角球机会                   52'第52分钟，蒙蒂略、洛维连续配合，刘彬彬内切弧线球打门被门将没收
55'角球发到前点，对方头球顶出来                   52'第52分钟，蒙蒂略、洛维连续配合，刘彬彬内切弧线球打门被门将没收
55'王彤右路争抢推人犯规                   52'第52分钟，蒙蒂略、洛维连续配合，刘彬彬内切弧线球打门被门将没收
55'上海申鑫队得到前场左路任意球机会                   52'第52分钟，蒙蒂略、洛维连续配合，刘彬彬内切弧线球打门被门将没收
57'中场上海申鑫队得球大脚长传，被断                   57'第57分钟，刘彬彬边路弧线球打门，刘殿座勉强将球扑出，洛维跟进头球顶空门，球擦着立柱偏出底线
58'外围劲射被刘殿座挡出来，洛维抢点头球顶门，可惜顶偏！！                   57'第57分钟，刘彬彬边路弧线球打门，刘殿座勉强将球扑出，洛维跟进头球顶空门，球擦着立柱偏出底线
58'鲁能泰山队换人：吴兴涵上场换下刘彬彬！                   57'第57分钟，刘彬彬边路弧线球打门，刘殿座勉强将球扑出，洛维跟进头球顶空门，球擦着立柱偏出底线
58'乌塔卡中路带球突破，被挡了一下，王大雷控制！                   57'第57分钟，刘彬彬边路弧线球打门，刘殿座勉强将球扑出，洛维跟进头球顶空门，球擦着立柱偏出底线
59'乌索把球回传，鲁能泰山队横传球到右路进攻                   57'第57分钟，刘彬彬边路弧线球打门，刘殿座勉强将球扑出，洛维跟进头球顶空门，球擦着立柱偏出底线
59'蒙蒂略右路突破被断，上海申鑫队左路反击                   57'第57分钟，刘彬彬边路弧线球打门，刘殿座勉强将球扑出，洛维跟进头球顶空门，球擦着立柱偏出底线
59'金敬道在中场拉人犯规！                   57'第57分钟，刘彬彬边路弧线球打门，刘殿座勉强将球扑出，洛维跟进头球顶空门，球擦着立柱偏出底线
60'用户3035201895：阿洛伊西奥，我一直知道，你不是水货！！！！！！！！上牛哥[回复]感觉野牛会上！                   57'第57分钟，刘彬彬边路弧线球打门，刘殿座勉强将球扑出，洛维跟进头球顶空门，球擦着立柱偏出底线
60'路突破传球，张煜东犯规！吃到了第二张黄牌，被罚下！！                   57'第57分钟，刘彬彬边路弧线球打门，刘殿座勉强将球扑出，洛维跟进头球顶空门，球擦着立柱偏出底线
67'乌索后场拿球，交给蒙蒂略，转移到左路进攻                   67'第67分钟，吴兴涵边路拿球内切，突然一脚远射，球稍稍偏出
67'左路拿球，横带突然一脚远射！！皮球从远端偏出！                   67'第67分钟，吴兴涵边路拿球内切，突然一脚远射，球稍稍偏出
68'刚才打门的是吴兴涵！可惜扩展了                   67'第67分钟，吴兴涵边路拿球内切，突然一脚远射，球稍稍偏出
68'上海申鑫队长传球，王大雷没收！对方上抢，王大雷发门球出边线                   67'第67分钟，吴兴涵边路拿球内切，突然一脚远射，球稍稍偏出
69'上海申鑫队左路挑传禁区，越位啦啊！裁判没有吹，王大雷出击把球打出                   67'第67分钟，吴兴涵边路拿球内切，突然一脚远射，球稍稍偏出
70'鲁能泰山队右路横传球，送给了对方                   67'第67分钟，吴兴涵边路拿球内切，突然一脚远射，球稍稍偏出
70'上海申鑫队右路进攻，对方两人把球抢断下来                   67'第67分钟，吴兴涵边路拿球内切，突然一脚远射，球稍稍偏出
71'洛维在前场突破，一脚远射！质量很高，被刘殿座挡出！                   71'第71分钟，洛维带球杀到禁区前又是一脚远射，刘殿座扑球脱手，蒙蒂略跟进稍慢，球被后卫解围
71'吴兴涵左路强突，被对方抗了一下把球抢断                   71'第71分钟，洛维带球杀到禁区前又是一脚远射，刘殿座扑球脱手，蒙蒂略跟进稍慢，球被后卫解围
71'鲁能泰山队在前场断球，转移到右路进攻                   71'第71分钟，洛维带球杀到禁区前又是一脚远射，刘殿座扑球脱手，蒙蒂略跟进稍慢，球被后卫解围
72'洛维右路横传，与队友没能配合好                   71'第71分钟，洛维带球杀到禁区前又是一脚远射，刘殿座扑球脱手，蒙蒂略跟进稍慢，球被后卫解围
72'王赟左路带球突破横传禁区，乌塔卡杀到，对方护球交经他王大雷                   71'第71分钟，洛维带球杀到禁区前又是一脚远射，刘殿座扑球脱手，蒙蒂略跟进稍慢，球被后卫解围
73'鲁能泰山队在路横传禁区，吴兴涵回顶，洛维抢点打门，被对方抢点破坏出底线                   71'第71分钟，洛维带球杀到禁区前又是一脚远射，刘殿座扑球脱手，蒙蒂略跟进稍慢，球被后卫解围
73'鲁能泰山队换人：王永珀上场换下金敬道                   71'第71分钟，洛维带球杀到禁区前又是一脚远射，刘殿座扑球脱手，蒙蒂略跟进稍慢，球被后卫解围
73'蒙蒂略要来主罚点球！                   71'第71分钟，洛维带球杀到禁区前又是一脚远射，刘殿座扑球脱手，蒙蒂略跟进稍慢，球被后卫解围
74'鲁能泰山队进球啦！洛维，3-0                   71'第71分钟，洛维带球杀到禁区前又是一脚远射，刘殿座扑球脱手，蒙蒂略跟进稍慢，球被后卫解围
74'蒙蒂略发角球到禁区内！！洛维头球顶门，皮球尖声入网！                   71'第71分钟，洛维带球杀到禁区前又是一脚远射，刘殿座扑球脱手，蒙蒂略跟进稍慢，球被后卫解围
74'皮球弹地后进入网内！                   71'第71分钟，洛维带球杀到禁区前又是一脚远射，刘殿座扑球脱手，蒙蒂略跟进稍慢，球被后卫解围
77'更正一下：刚才蒙蒂略发角球到禁区内，洛维抢点顶门，皮球弹地进入网朵！                   77'第77分钟，吴兴涵边路弧线球低传，蒙蒂略跟进扫射，球擦着立柱偏出
77'墨氏庄园墨小乖：蒙蒂略两助，洛维两球[回复]嗯！两人本场表现不错！                   77'第77分钟，吴兴涵边路弧线球低传，蒙蒂略跟进扫射，球擦着立柱偏出
78'吴兴涵左路突破横传禁区，蒙蒂略抢点打门！！打偏啦！                   77'第77分钟，吴兴涵边路弧线球低传，蒙蒂略跟进扫射，球擦着立柱偏出
78'前场鲁能泰山队断球，张文钊突破横传，被挡出                   77'第77分钟，吴兴涵边路弧线球低传，蒙蒂略跟进扫射，球擦着立柱偏出
79'上海申鑫队换上了吴毅臻                   77'第77分钟，吴兴涵边路弧线球低传，蒙蒂略跟进扫射，球擦着立柱偏出
79'洛维发角球到禁区内，乌索抢点顶门，皮球高出！                   77'第77分钟，吴兴涵边路弧线球低传，蒙蒂略跟进扫射，球擦着立柱偏出
80'用户2654124330：能不能进四个[回复]鲁能泰山队如果积极去拼得话，可能会四个或者更多！                   77'第77分钟，吴兴涵边路弧线球低传，蒙蒂略跟进扫射，球擦着立柱偏出
80'但三分最重要！                   77'第77分钟，吴兴涵边路弧线球低传，蒙蒂略跟进扫射，球擦着立柱偏出
80'刚才上海申鑫队换下的是杨家威                   77'第77分钟，吴兴涵边路弧线球低传，蒙蒂略跟进扫射，球擦着立柱偏出
80'王赟突破，对方犯规，得到前场任意球机会！                   77'第77分钟，吴兴涵边路弧线球低传，蒙蒂略跟进扫射，球擦着立柱偏出
84'蒙蒂略在底线附近把球停回来，对方破坏                   84'第84分钟，山东鲁能挑传禁区，刘殿座出击将球打出，球落到洛维脚下，巴西人直接挑射空门稍稍偏出
84'鲁能泰山队右路传球，刘殿座出击把球打出来，形成空门，洛维的吊射偏出！                   84'第84分钟，山东鲁能挑传禁区，刘殿座出击将球打出，球落到洛维脚下，巴西人直接挑射空门稍稍偏出
85'南充小郑：終于要贏下一场了…[回复]可以说三分到手了！                   84'第84分钟，山东鲁能挑传禁区，刘殿座出击将球打出，球落到洛维脚下，巴西人直接挑射空门稍稍偏出
85'鲁能泰山队右路横传球，王永珀接球打门被刘殿座挡出来，吴兴涵补射没能停好，被刘殿座扑出！                   84'第84分钟，山东鲁能挑传禁区，刘殿座出击将球打出，球落到洛维脚下，巴西人直接挑射空门稍稍偏出
86'洛维发出战术角球，鲁能泰山队把球横传中路                   84'第84分钟，山东鲁能挑传禁区，刘殿座出击将球打出，球落到洛维脚下，巴西人直接挑射空门稍稍偏出
86'现在鲁能泰山队完全占到了主动，围攻对方大门！                   84'第84分钟，山东鲁能挑传禁区，刘殿座出击将球打出，球落到洛维脚下，巴西人直接挑射空门稍稍偏出
86'上海申鑫队左路攻到前场，横传球被麦克格文断下来                   84'第84分钟，山东鲁能挑传禁区，刘殿座出击将球打出，球落到洛维脚下，巴西人直接挑射空门稍稍偏出
86'吴兴涵在前场抢球推人犯规！                   84'第84分钟，山东鲁能挑传禁区，刘殿座出击将球打出，球落到洛维脚下，巴西人直接挑射空门稍稍偏出
87'王赟右路带球攻到中场，蒙蒂略上抢犯规                   84'第84分钟，山东鲁能挑传禁区，刘殿座出击将球打出，球落到洛维脚下，巴西人直接挑射空门稍稍偏出
88'戒骄戒躁2012：说好的5比0呢[回复]时间不怎么够了，三分就好！                   88'第88分钟，上海申鑫直塞撕开防线，但吴毅臻的单刀挑射被王大雷扑出
88'乌塔卡中场拿球，乌索抢球犯规                   88'第88分钟，上海申鑫直塞撕开防线，但吴毅臻的单刀挑射被王大雷扑出
88'上海申鑫队直传球，吴毅臻前插抢点打门！王大雷把球挡出！                   88'第88分钟，上海申鑫直塞撕开防线，但吴毅臻的单刀挑射被王大雷扑出
89'洛维左路横传门前，王永珀抢点打门，偏出！                   88'第88分钟，上海申鑫直塞撕开防线，但吴毅臻的单刀挑射被王大雷扑出
89'乌索带球到大禁区线，横传交蒙蒂略                   88'第88分钟，上海申鑫直塞撕开防线，但吴毅臻的单刀挑射被王大雷扑出
89'鲁能泰山队进球啦！！张文钊，4-0                   88'第88分钟，上海申鑫直塞撕开防线，但吴毅臻的单刀挑射被王大雷扑出
90'乌索前场横传，蒙蒂略斜传禁区，张文钊抢点突破小角度打门球进！                   88'第88分钟，上海申鑫直塞撕开防线，但吴毅臻的单刀挑射被王大雷扑出
91'下半场比赛要补时 3 分钟                   88'第88分钟，上海申鑫直塞撕开防线，但吴毅臻的单刀挑射被王大雷扑出
91'蒙蒂略中路突破直传想给洛维，对方把球破坏出边线                   88'第88分钟，上海申鑫直塞撕开防线，但吴毅臻的单刀挑射被王大雷扑出
