9'王赟给了右翼刘俊楠传中，禁区内后卫解围，然后马上加多一脚！                   9'第9分钟，于汉超在申鑫禁区内倒地，主裁判谭海示意比赛继续
39'纠正一下是杨博宇，应该问题不大！                   39'频频制造威胁的上海申鑫在第39分钟攻破阿尔滨球门，王S脚后跟妙传凯撒，后者禁区弧顶闪开空档低射破网
39'王赟主动踢回球给上海申鑫！                   39'频频制造威胁的上海申鑫在第39分钟攻破阿尔滨球门，王S脚后跟妙传凯撒，后者禁区弧顶闪开空档低射破网
39'李学鹏给了中坚的赵和靖，凯塔的失误                   39'频频制造威胁的上海申鑫在第39分钟攻破阿尔滨球门，王S脚后跟妙传凯撒，后者禁区弧顶闪开空档低射破网
40'王赟给了右翼的刘俊楠，回敲王赟，拖慢一下节奏                   39'频频制造威胁的上海申鑫在第39分钟攻破阿尔滨球门，王S脚后跟妙传凯撒，后者禁区弧顶闪开空档低射破网
40'李学鹏转移乌塔卡，凯塔过渡给了晋鹏翔。                    39'频频制造威胁的上海申鑫在第39分钟攻破阿尔滨球门，王S脚后跟妙传凯撒，后者禁区弧顶闪开空档低射破网
40'凯塔头锤摆渡，李学鹏的犯规。                   39'频频制造威胁的上海申鑫在第39分钟攻破阿尔滨球门，王S脚后跟妙传凯撒，后者禁区弧顶闪开空档低射破网
40'入球拉！！凯撒入球拉！                   39'频频制造威胁的上海申鑫在第39分钟攻破阿尔滨球门，王S脚后跟妙传凯撒，后者禁区弧顶闪开空档低射破网
40'上海申鑫的配合太犀利了！！                   39'频频制造威胁的上海申鑫在第39分钟攻破阿尔滨球门，王S脚后跟妙传凯撒，后者禁区弧顶闪开空档低射破网
41'刘俊楠给了王赟，后者卡住身位，然后后脚跟一磕给了凯撒，中路的推射破网。                   39'频频制造威胁的上海申鑫在第39分钟攻破阿尔滨球门，王S脚后跟妙传凯撒，后者禁区弧顶闪开空档低射破网
41'乌塔卡边路一扣，然后分球给了后上的对手传中，博到了角球了！                   39'频频制造威胁的上海申鑫在第39分钟攻破阿尔滨球门，王S脚后跟妙传凯撒，后者禁区弧顶闪开空档低射破网
42'比赛进行到了41分钟，阿尔滨打得比较急，进入对手的腹地就可以终结进攻了。                   39'频频制造威胁的上海申鑫在第39分钟攻破阿尔滨球门，王S脚后跟妙传凯撒，后者禁区弧顶闪开空档低射破网
42'回应20:19] 游客4763: 这可真是一副好牌扣了六张主（是玩拖拉机还是什么啊？                   39'频频制造威胁的上海申鑫在第39分钟攻破阿尔滨球门，王S脚后跟妙传凯撒，后者禁区弧顶闪开空档低射破网
45'目前阿尔滨的前锋线连球都摸不到啊！！打得反而不如对手积极！！                   45'第45分钟，阿尔滨前场右路组织进攻，于汉超的传中球被于大宝争顶到，形成了一次头球射门，但无奈角度太正被刘殿座轻松没收 
45'这里周通拦截犯规了                   45'第45分钟，阿尔滨前场右路组织进攻，于汉超的传中球被于大宝争顶到，形成了一次头球射门，但无奈角度太正被刘殿座轻松没收 
45'李学鹏给了后面的晋鹏翔，罗申巴克拉边！                   45'第45分钟，阿尔滨前场右路组织进攻，于汉超的传中球被于大宝争顶到，形成了一次头球射门，但无奈角度太正被刘殿座轻松没收 
46'乌塔卡给了后上的于大宝传中，于汉超抢点软弱无力，刘殿座没收。                   45'第45分钟，阿尔滨前场右路组织进攻，于汉超的传中球被于大宝争顶到，形成了一次头球射门，但无奈角度太正被刘殿座轻松没收 
46'上半场补时1分钟！                   45'第45分钟，阿尔滨前场右路组织进攻，于汉超的传中球被于大宝争顶到，形成了一次头球射门，但无奈角度太正被刘殿座轻松没收 
46'罗申巴克主罚后场任意球！                   45'第45分钟，阿尔滨前场右路组织进攻，于汉超的传中球被于大宝争顶到，形成了一次头球射门，但无奈角度太正被刘殿座轻松没收 
47'于汉超给了于大宝，给了周通再给凯塔                   45'第45分钟，阿尔滨前场右路组织进攻，于汉超的传中球被于大宝争顶到，形成了一次头球射门，但无奈角度太正被刘殿座轻松没收 
46'下半场开始了！                   45'第45分钟，阿尔滨前场右路组织进攻，于汉超的传中球被于大宝争顶到，形成了一次头球射门，但无奈角度太正被刘殿座轻松没收 
46'罗申巴克拉边失误了                   45'第45分钟，阿尔滨前场右路组织进攻，于汉超的传中球被于大宝争顶到，形成了一次头球射门，但无奈角度太正被刘殿座轻松没收 
46'王佳玉顶替了朱家伟！！                   45'第45分钟，阿尔滨前场右路组织进攻，于汉超的传中球被于大宝争顶到，形成了一次头球射门，但无奈角度太正被刘殿座轻松没收 
47'姜至鹏头锤解围，转移给了左翼朱宝杰，王赟拖慢节奏。                   45'第45分钟，阿尔滨前场右路组织进攻，于汉超的传中球被于大宝争顶到，形成了一次头球射门，但无奈角度太正被刘殿座轻松没收 
47'于大宝精彩的1个过了2个，连续2过1配合后，落底传中，但后卫葛振解围了                   45'第45分钟，阿尔滨前场右路组织进攻，于汉超的传中球被于大宝争顶到，形成了一次头球射门，但无奈角度太正被刘殿座轻松没收 
47'刚刚那几下完全是个人能力的体现啊！！                   45'第45分钟，阿尔滨前场右路组织进攻，于汉超的传中球被于大宝争顶到，形成了一次头球射门，但无奈角度太正被刘殿座轻松没收 
48'于大宝这里越位了                   45'第45分钟，阿尔滨前场右路组织进攻，于汉超的传中球被于大宝争顶到，形成了一次头球射门，但无奈角度太正被刘殿座轻松没收 
48'乔尼直接开大脚，送给了门将刘伟国                   45'第45分钟，阿尔滨前场右路组织进攻，于汉超的传中球被于大宝争顶到，形成了一次头球射门，但无奈角度太正被刘殿座轻松没收 
48'李学鹏给了左翼的杨博宇，赵和靖转移边路失误了                   45'第45分钟，阿尔滨前场右路组织进攻，于汉超的传中球被于大宝争顶到，形成了一次头球射门，但无奈角度太正被刘殿座轻松没收 
55'姜至鹏转移中路，王赟过渡葛振。                    55'第55分钟，前场积极拼抢的于汉超险些依靠努力创造机会，乔尼的大脚破坏没有让于汉超获得直接面对门将的机会
55'于汉超边路差点断球，不过乔尼幸亏马上补救！！                   55'第55分钟，前场积极拼抢的于汉超险些依靠努力创造机会，乔尼的大脚破坏没有让于汉超获得直接面对门将的机会
55'不然于汉超就发达了！！                   55'第55分钟，前场积极拼抢的于汉超险些依靠努力创造机会，乔尼的大脚破坏没有让于汉超获得直接面对门将的机会
56'刘俊楠转移王赟，回传给朱宝杰，拉边给了姜至鹏。                    55'第55分钟，前场积极拼抢的于汉超险些依靠努力创造机会，乔尼的大脚破坏没有让于汉超获得直接面对门将的机会
56'朱宝杰控球，交给了王赟，让于汉超拦截了。                    55'第55分钟，前场积极拼抢的于汉超险些依靠努力创造机会，乔尼的大脚破坏没有让于汉超获得直接面对门将的机会
57'李学鹏掷出边界球转移左翼，浪费了。                   55'第55分钟，前场积极拼抢的于汉超险些依靠努力创造机会，乔尼的大脚破坏没有让于汉超获得直接面对门将的机会
57'比赛进行到了55分钟，大连明显增强了前场的攻击力，但小心上海申鑫的反击啊！                   55'第55分钟，前场积极拼抢的于汉超险些依靠努力创造机会，乔尼的大脚破坏没有让于汉超获得直接面对门将的机会
58'刘伟国踢出门球，陈涛传中，邹仲霆的头锤解围。                     55'第55分钟，前场积极拼抢的于汉超险些依靠努力创造机会，乔尼的大脚破坏没有让于汉超获得直接面对门将的机会
58'晋鹏翔解围，于汉超头锤摆渡给了左翼，葛振过顶，浪费了                   55'第55分钟，前场积极拼抢的于汉超险些依靠努力创造机会，乔尼的大脚破坏没有让于汉超获得直接面对门将的机会
47'于汉超给了于大宝，给了周通再给凯塔                   47'2分钟后，申鑫用赵作峻换下了受伤的王S
47'姜至鹏头锤解围，转移给了左翼朱宝杰，王赟拖慢节奏。                   47'2分钟后，申鑫用赵作峻换下了受伤的王S
47'于大宝精彩的1个过了2个，连续2过1配合后，落底传中，但后卫葛振解围了                   47'2分钟后，申鑫用赵作峻换下了受伤的王S
47'刚刚那几下完全是个人能力的体现啊！！                   47'2分钟后，申鑫用赵作峻换下了受伤的王S
48'于大宝这里越位了                   47'2分钟后，申鑫用赵作峻换下了受伤的王S
48'乔尼直接开大脚，送给了门将刘伟国                   47'2分钟后，申鑫用赵作峻换下了受伤的王S
48'李学鹏给了左翼的杨博宇，赵和靖转移边路失误了                   47'2分钟后，申鑫用赵作峻换下了受伤的王S
49'王赟给了凯撒，连续的倒脚配合，过顶球失误                   47'2分钟后，申鑫用赵作峻换下了受伤的王S
49'回应0:42] 疯才寒冰: 大连好多人突破过人很牛   就是战术配合差了点（是啊！个人能力没得说，但整体捏不在一起）                   47'2分钟后，申鑫用赵作峻换下了受伤的王S
50'于大宝给了罗申巴克，直塞给了左翼，于汉超的传中，陈涛后上凌空抽射打中了葛振身体出界了。                   47'2分钟后，申鑫用赵作峻换下了受伤的王S
50'原来周通半场让陈涛顶替了。                   47'2分钟后，申鑫用赵作峻换下了受伤的王S
50'王赟交给了朱宝杰，安东尼奥传中，让刘伟国没收了。                    47'2分钟后，申鑫用赵作峻换下了受伤的王S
70'凯撒给了王佳玉，横带一下，后者抽射让门将没收                   70'第70分钟，于汉超边路带球斜线内切后突施冷箭，可惜球没有打正部位，高出球门横梁
70'乌塔卡给了边路失误了                   70'第70分钟，于汉超边路带球斜线内切后突施冷箭，可惜球没有打正部位，高出球门横梁
71'于汉超接应分球，禁区边的抽射，直接高出了！                   70'第70分钟，于汉超边路带球斜线内切后突施冷箭，可惜球没有打正部位，高出球门横梁
75'孙铂上之后，可以打三后卫，不过阿尔滨的后卫都打过中坚，所以无所谓！                   75'阿尔滨在第75分钟用完了本场比赛的所有换人名额，赵和靖被孙铂换下
75'比赛进行到了75分钟了！！                   75'阿尔滨在第75分钟用完了本场比赛的所有换人名额，赵和靖被孙铂换下
76'阿尔滨打了整场，就感觉浪费了于汉超和于大宝边路的威胁，打得很慢！都是后场起球！！                   75'阿尔滨在第75分钟用完了本场比赛的所有换人名额，赵和靖被孙铂换下
76'凯撒转移给了安东尼奥，没有空间！！                   75'阿尔滨在第75分钟用完了本场比赛的所有换人名额，赵和靖被孙铂换下
76'乌塔卡边路突破，只能博到了边界球！                   75'阿尔滨在第75分钟用完了本场比赛的所有换人名额，赵和靖被孙铂换下
76'王佳玉斜塞给了中路，失误了！！                   75'阿尔滨在第75分钟用完了本场比赛的所有换人名额，赵和靖被孙铂换下
76'陈涛在前腰也没有太大威胁！                   75'阿尔滨在第75分钟用完了本场比赛的所有换人名额，赵和靖被孙铂换下
77'王佳玉给了凯撒，直塞没有力气追了！！                   75'阿尔滨在第75分钟用完了本场比赛的所有换人名额，赵和靖被孙铂换下
78'瓦罗接应分球，然后传中给中路，于大宝一控一射破网。                   75'阿尔滨在第75分钟用完了本场比赛的所有换人名额，赵和靖被孙铂换下
78'于大宝其实第一个动作很慢，但第二动作很快倒地破网。                   75'阿尔滨在第75分钟用完了本场比赛的所有换人名额，赵和靖被孙铂换下
84'安东尼奥给了后面的姜至鹏，然后直接过顶球，越位了                   84'第84分钟，晋鹏翔在防守时动作过大被主裁判谭海出示黄牌警告，而替补上阵的王佳玉在主裁判鸣哨后依然起脚射门为自己申请了一张黄牌
84'王佳玉故意继续踢球拖延时间，吃到一面黄牌！                   84'第84分钟，晋鹏翔在防守时动作过大被主裁判谭海出示黄牌警告，而替补上阵的王佳玉在主裁判鸣哨后依然起脚射门为自己申请了一张黄牌
84'瓦罗的头锤摆渡失误了                   84'第84分钟，晋鹏翔在防守时动作过大被主裁判谭海出示黄牌警告，而替补上阵的王佳玉在主裁判鸣哨后依然起脚射门为自己申请了一张黄牌
85'入球拉！！凯撒入球拉！！                   84'第84分钟，晋鹏翔在防守时动作过大被主裁判谭海出示黄牌警告，而替补上阵的王佳玉在主裁判鸣哨后依然起脚射门为自己申请了一张黄牌
86'安东尼奥接应分球，然后传中给了后点的凯撒，凯撒卧射破网。                   84'第84分钟，晋鹏翔在防守时动作过大被主裁判谭海出示黄牌警告，而替补上阵的王佳玉在主裁判鸣哨后依然起脚射门为自己申请了一张黄牌
86'比赛进行到了87分钟拉！！                   84'第84分钟，晋鹏翔在防守时动作过大被主裁判谭海出示黄牌警告，而替补上阵的王佳玉在主裁判鸣哨后依然起脚射门为自己申请了一张黄牌
87'阿尔滨前场的攻力虽然不错，但三后卫就是双刃剑！！这些吃不了兜着走！                   84'第84分钟，晋鹏翔在防守时动作过大被主裁判谭海出示黄牌警告，而替补上阵的王佳玉在主裁判鸣哨后依然起脚射门为自己申请了一张黄牌
87'凯撒接应直塞，然后落底传中，劲射式传中，但安东尼奥包抄不到！                   84'第84分钟，晋鹏翔在防守时动作过大被主裁判谭海出示黄牌警告，而替补上阵的王佳玉在主裁判鸣哨后依然起脚射门为自己申请了一张黄牌
87'孙铂连续过人后横拨中路，但让后卫解围了                   84'第84分钟，晋鹏翔在防守时动作过大被主裁判谭海出示黄牌警告，而替补上阵的王佳玉在主裁判鸣哨后依然起脚射门为自己申请了一张黄牌
87'乌塔卡博到了任意球机会！                   84'第84分钟，晋鹏翔在防守时动作过大被主裁判谭海出示黄牌警告，而替补上阵的王佳玉在主裁判鸣哨后依然起脚射门为自己申请了一张黄牌
90'王佳玉接应快攻，禁区内的抽射差点就入球啊！                   90'第90分钟，阿尔滨获得禁区弧顶的任意球，陈涛的射门击中了申鑫人墙，申鑫利用阿尔滨角球战术未成功之际策动快速反击，王佳玉的射门擦球门立柱偏出
90'法定时间够了！！补时4分钟！                   90'第90分钟，阿尔滨获得禁区弧顶的任意球，陈涛的射门击中了申鑫人墙，申鑫利用阿尔滨角球战术未成功之际策动快速反击，王佳玉的射门擦球门立柱偏出
90'王佳玉边路控球，给了后面！！                   90'第90分钟，阿尔滨获得禁区弧顶的任意球，陈涛的射门击中了申鑫人墙，申鑫利用阿尔滨角球战术未成功之际策动快速反击，王佳玉的射门擦球门立柱偏出
91'乔尼大脚解围，差点失误啊！                   90'第90分钟，阿尔滨获得禁区弧顶的任意球，陈涛的射门击中了申鑫人墙，申鑫利用阿尔滨角球战术未成功之际策动快速反击，王佳玉的射门擦球门立柱偏出
91'凯撒控球，禁区内的推射让门将没收！                   90'第90分钟，阿尔滨获得禁区弧顶的任意球，陈涛的射门击中了申鑫人墙，申鑫利用阿尔滨角球战术未成功之际策动快速反击，王佳玉的射门擦球门立柱偏出
91'李学鹏转移给了后面的瓦罗，头锤摆渡给了刘殿座没收！                   90'第90分钟，阿尔滨获得禁区弧顶的任意球，陈涛的射门击中了申鑫人墙，申鑫利用阿尔滨角球战术未成功之际策动快速反击，王佳玉的射门擦球门立柱偏出
92'瓦罗的头锤摆渡给了于大宝，让对手放倒了，但没有点球！！                   90'第90分钟，阿尔滨获得禁区弧顶的任意球，陈涛的射门击中了申鑫人墙，申鑫利用阿尔滨角球战术未成功之际策动快速反击，王佳玉的射门擦球门立柱偏出
92'查尔顿顶替了凯撒了！！                   90'第90分钟，阿尔滨获得禁区弧顶的任意球，陈涛的射门击中了申鑫人墙，申鑫利用阿尔滨角球战术未成功之际策动快速反击，王佳玉的射门擦球门立柱偏出
93'瓦罗的给了乌塔卡，但失误了！！                   90'第90分钟，阿尔滨获得禁区弧顶的任意球，陈涛的射门击中了申鑫人墙，申鑫利用阿尔滨角球战术未成功之际策动快速反击，王佳玉的射门擦球门立柱偏出
49'王赟给了凯撒，连续的倒脚配合，过顶球失误                   49'经过4分钟的伤停补时，大连阿尔滨主场1-2不敌上海申鑫
49'回应0:42] 疯才寒冰: 大连好多人突破过人很牛   就是战术配合差了点（是啊！个人能力没得说，但整体捏不在一起）                   49'经过4分钟的伤停补时，大连阿尔滨主场1-2不敌上海申鑫
50'于大宝给了罗申巴克，直塞给了左翼，于汉超的传中，陈涛后上凌空抽射打中了葛振身体出界了。                   49'经过4分钟的伤停补时，大连阿尔滨主场1-2不敌上海申鑫
50'原来周通半场让陈涛顶替了。                   49'经过4分钟的伤停补时，大连阿尔滨主场1-2不敌上海申鑫
50'王赟交给了朱宝杰，安东尼奥传中，让刘伟国没收了。                    49'经过4分钟的伤停补时，大连阿尔滨主场1-2不敌上海申鑫
51'赵和靖主罚后场任意球，转移杨博宇，拉边给了晋鹏翔。                   49'经过4分钟的伤停补时，大连阿尔滨主场1-2不敌上海申鑫
51'朱宝杰只能回传后面安东尼奥，葛振的直塞，让乌塔卡拦截了。                   49'经过4分钟的伤停补时，大连阿尔滨主场1-2不敌上海申鑫
51'陈涛的突破，邹仲霆立功了。                    49'经过4分钟的伤停补时，大连阿尔滨主场1-2不敌上海申鑫
52'李学鹏交给了赵和靖，罗申巴克让凯撒拦截犯规了。                   49'经过4分钟的伤停补时，大连阿尔滨主场1-2不敌上海申鑫
52'凯塔前场断球，直塞给了乌塔卡，乌塔卡禁区内一扣，回做凯塔推射，让后卫门线前解围了。                   49'经过4分钟的伤停补时，大连阿尔滨主场1-2不敌上海申鑫
52'大连错失了扳平比分的好机会，角球开出没有威胁。                   49'经过4分钟的伤停补时，大连阿尔滨主场1-2不敌上海申鑫
