1'上半场比赛开始了！                   1'曼城第1分钟占据主动，前10分钟阿圭罗两度错过了巴里和克里希的直传
36'又给热刺定位球                   34'第34分钟，萨巴莱塔突入禁区右侧在哈德斯通防守下摔倒，裁判未予理会
36'要知道热刺的球员身高跟曼城比更占优一些                   34'第34分钟，萨巴莱塔突入禁区右侧在哈德斯通防守下摔倒，裁判未予理会
36'列侬也被科拉罗夫踢倒了                   34'第34分钟，萨巴莱塔突入禁区右侧在哈德斯通防守下摔倒，裁判未予理会
37'热刺再次获得了右边路的定位球                   34'第34分钟，萨巴莱塔突入禁区右侧在哈德斯通防守下摔倒，裁判未予理会
37'刚才图雷还被阿德巴约踢中了左腿受伤了                   34'第34分钟，萨巴莱塔突入禁区右侧在哈德斯通防守下摔倒，裁判未予理会
37'热刺定位球传中被后卫解围了                   34'第34分钟，萨巴莱塔突入禁区右侧在哈德斯通防守下摔倒，裁判未予理会
41'科拉罗夫抢球犯规了，直接撞倒了考尔克                   41'第41分钟，加拉斯防守失位，考克尔勉强解围，阿圭罗禁区右侧18码处抽射偏出
41'赛特9011:嘲讽技能是什么？---哈哈，嘲讽都不知道么                   41'第41分钟，加拉斯防守失位，考克尔勉强解围，阿圭罗禁区右侧18码处抽射偏出
42'阿奎罗禁区内打门！球偏出了右侧立柱                   41'第41分钟，加拉斯防守失位，考克尔勉强解围，阿圭罗禁区右侧18码处抽射偏出
42'热刺这一次也是后卫玩火让曼城有机会打门                   41'第41分钟，加拉斯防守失位，考克尔勉强解围，阿圭罗禁区右侧18码处抽射偏出
42'沃克尔的解围踢疵了，不过阿奎罗太着急了，打门也没有打正                   41'第41分钟，加拉斯防守失位，考克尔勉强解围，阿圭罗禁区右侧18码处抽射偏出
42'曼城绝好的机会！                   41'第41分钟，加拉斯防守失位，考克尔勉强解围，阿圭罗禁区右侧18码处抽射偏出
42'席尔瓦给特维斯送出了单刀机会                   41'第41分钟，加拉斯防守失位，考克尔勉强解围，阿圭罗禁区右侧18码处抽射偏出
43'不过特维斯禁区线上的打门推得太正，而且也没什么力量                   41'第41分钟，加拉斯防守失位，考克尔勉强解围，阿圭罗禁区右侧18码处抽射偏出
43'弗里德尔算是活动了一下身体                   41'第41分钟，加拉斯防守失位，考克尔勉强解围，阿圭罗禁区右侧18码处抽射偏出
43'曼城终于有一次打正了                   41'第41分钟，加拉斯防守失位，考克尔勉强解围，阿圭罗禁区右侧18码处抽射偏出
43'之前的两次攻门全部偏出                   41'第41分钟，加拉斯防守失位，考克尔勉强解围，阿圭罗禁区右侧18码处抽射偏出
43'图雷也有些沉不住气了                   41'第41分钟，加拉斯防守失位，考克尔勉强解围，阿圭罗禁区右侧18码处抽射偏出
44'中场的抢断犯规，裁判叫过来孔帕尼给曼城的球员提出了警告                   41'第41分钟，加拉斯防守失位，考克尔勉强解围，阿圭罗禁区右侧18码处抽射偏出
44'霍德斯通定位球传中，科拉罗夫头球顶了出去                   41'第41分钟，加拉斯防守失位，考克尔勉强解围，阿圭罗禁区右侧18码处抽射偏出
44'列侬拿球脚后跟被巴里绊了一下，裁判吹了犯规                   41'第41分钟，加拉斯防守失位，考克尔勉强解围，阿圭罗禁区右侧18码处抽射偏出
54'曼城继续加强进攻                   54'第54分钟，科拉罗夫开出角球，孔帕尼前点10码处头球攻门高出
54'阿奎罗逼得了一个角球                   54'第54分钟，科拉罗夫开出角球，孔帕尼前点10码处头球攻门高出
55'科拉罗夫传前点，被维尔通亨踢出了界外                   54'第54分钟，科拉罗夫开出角球，孔帕尼前点10码处头球攻门高出
55'还是角球，传中找到孔帕尼，头球顶高了                   54'第54分钟，科拉罗夫开出角球，孔帕尼前点10码处头球攻门高出
55'阿奎罗好机会                   54'第54分钟，科拉罗夫开出角球，孔帕尼前点10码处头球攻门高出
56'停球失误了啊，自己还摔了一跤                   54'第54分钟，科拉罗夫开出角球，孔帕尼前点10码处头球攻门高出
56'队友给他的挑传球，阿奎罗停好了就是一单刀了                   54'第54分钟，科拉罗夫开出角球，孔帕尼前点10码处头球攻门高出
57'麦孔换下纳斯塔西奇                   54'第54分钟，科拉罗夫开出角球，孔帕尼前点10码处头球攻门高出
57'曼奇尼要玩命？                   54'第54分钟，科拉罗夫开出角球，孔帕尼前点10码处头球攻门高出
57'三后卫还是？                   54'第54分钟，科拉罗夫开出角球，孔帕尼前点10码处头球攻门高出
57'麦孔上来之后打左前卫                   54'第54分钟，科拉罗夫开出角球，孔帕尼前点10码处头球攻门高出
60'邓普西把球交给了左路阿德巴约                   60'第60分钟，麦孔传球，亚亚-图雷禁区右侧小角度射门打在边网
60'传中球被麦孔挡出了界外                   60'第60分钟，麦孔传球，亚亚-图雷禁区右侧小角度射门打在边网
60'阿德巴约和萨巴莱塔又纠缠在一起，这一次裁判吹了阿德巴约的犯规                   60'第60分钟，麦孔传球，亚亚-图雷禁区右侧小角度射门打在边网
61'图雷突然插上，传中球打在了边网上                   60'第60分钟，麦孔传球，亚亚-图雷禁区右侧小角度射门打在边网
62'孔帕尼上抢被过掉 了                   60'第60分钟，麦孔传球，亚亚-图雷禁区右侧小角度射门打在边网
62'不过热刺的传球也出现了失误                   60'第60分钟，麦孔传球，亚亚-图雷禁区右侧小角度射门打在边网
63'博阿斯走到场边要亲自指挥了                   60'第60分钟，麦孔传球，亚亚-图雷禁区右侧小角度射门打在边网
63'曼奇尼看样子还是稳坐钓鱼台                   60'第60分钟，麦孔传球，亚亚-图雷禁区右侧小角度射门打在边网
63'贝尔禁区外打门，角度打得太刁钻了，偏出了右侧立柱                   60'第60分钟，麦孔传球，亚亚-图雷禁区右侧小角度射门打在边网
67'列侬的速度，贝尔这一侧空了                   67'第67分钟，列农传球，贝尔左路25码处劲射再度偏出
67'贝尔有些独了，角度不大的情况下自己打门！球打高了                   67'第67分钟，列农传球，贝尔左路25码处劲射再度偏出
68'麦孔似传似射的传中划过门前，可惜没有队友的包抄                   67'第67分钟，列农传球，贝尔左路25码处劲射再度偏出
70'图雷受伤了                   67'第67分钟，列农传球，贝尔左路25码处劲射再度偏出
70'而维尔通亨的右膝关节处貌似都被撞出了血                   67'第67分钟，列农传球，贝尔左路25码处劲射再度偏出
70'刚才桑德罗在空中撞得图雷满地打滚                   67'第67分钟，列农传球，贝尔左路25码处劲射再度偏出
70'图雷恐怕是被撞到了腰部                   67'第67分钟，列农传球，贝尔左路25码处劲射再度偏出
72'萨巴莱塔又一次和阿德巴约抢到一起，两人手上都有小动作                   72'第72分钟，席尔瓦传球，特维斯禁区右侧小角度低射偏出远角
72'图雷没有问题，比赛继续                   72'第72分钟，席尔瓦传球，特维斯禁区右侧小角度低射偏出远角
72'特维斯横传门前，更像是打门了                   72'第72分钟，席尔瓦传球，特维斯禁区右侧小角度低射偏出远角
73'这球擦着远端立柱飞出底线                   72'第72分钟，席尔瓦传球，特维斯禁区右侧小角度低射偏出远角
73'换下特维斯，换上哲科                   72'第72分钟，席尔瓦传球，特维斯禁区右侧小角度低射偏出远角
73'特维斯今天光顾着越位了                   72'第72分钟，席尔瓦传球，特维斯禁区右侧小角度低射偏出远角
73'哲科口里还吹着泡泡糖                   72'第72分钟，席尔瓦传球，特维斯禁区右侧小角度低射偏出远角
73'贝尔！真猛                   72'第72分钟，席尔瓦传球，特维斯禁区右侧小角度低射偏出远角
74'连续的断球，跌跌撞撞的到了禁区！                   72'第72分钟，席尔瓦传球，特维斯禁区右侧小角度低射偏出远角
74'左脚怒射被哈特扑了一下，门前的克里希大脚解围                   72'第72分钟，席尔瓦传球，特维斯禁区右侧小角度低射偏出远角
75'科拉罗夫的远射被解围，曼城的反击                   72'第72分钟，席尔瓦传球，特维斯禁区右侧小角度低射偏出远角
75'一声大吼，又有人受伤了？                   72'第72分钟，席尔瓦传球，特维斯禁区右侧小角度低射偏出远角
75'萨巴莱塔吃了哑巴亏了                   72'第72分钟，席尔瓦传球，特维斯禁区右侧小角度低射偏出远角
75'这一次被阿德巴约撞脸上了                   72'第72分钟，席尔瓦传球，特维斯禁区右侧小角度低射偏出远角
73'这球擦着远端立柱飞出底线                   73'第73分钟，贝尔前场抢断亚亚-图雷后禁区左侧18码处劲射被乔-哈特勉强挡出，克里希解围
73'换下特维斯，换上哲科                   73'第73分钟，贝尔前场抢断亚亚-图雷后禁区左侧18码处劲射被乔-哈特勉强挡出，克里希解围
73'特维斯今天光顾着越位了                   73'第73分钟，贝尔前场抢断亚亚-图雷后禁区左侧18码处劲射被乔-哈特勉强挡出，克里希解围
73'哲科口里还吹着泡泡糖                   73'第73分钟，贝尔前场抢断亚亚-图雷后禁区左侧18码处劲射被乔-哈特勉强挡出，克里希解围
73'贝尔！真猛                   73'第73分钟，贝尔前场抢断亚亚-图雷后禁区左侧18码处劲射被乔-哈特勉强挡出，克里希解围
74'连续的断球，跌跌撞撞的到了禁区！                   73'第73分钟，贝尔前场抢断亚亚-图雷后禁区左侧18码处劲射被乔-哈特勉强挡出，克里希解围
74'左脚怒射被哈特扑了一下，门前的克里希大脚解围                   73'第73分钟，贝尔前场抢断亚亚-图雷后禁区左侧18码处劲射被乔-哈特勉强挡出，克里希解围
75'科拉罗夫的远射被解围，曼城的反击                   73'第73分钟，贝尔前场抢断亚亚-图雷后禁区左侧18码处劲射被乔-哈特勉强挡出，克里希解围
75'一声大吼，又有人受伤了？                   73'第73分钟，贝尔前场抢断亚亚-图雷后禁区左侧18码处劲射被乔-哈特勉强挡出，克里希解围
75'萨巴莱塔吃了哑巴亏了                   73'第73分钟，贝尔前场抢断亚亚-图雷后禁区左侧18码处劲射被乔-哈特勉强挡出，克里希解围
75'这一次被阿德巴约撞脸上了                   73'第73分钟，贝尔前场抢断亚亚-图雷后禁区左侧18码处劲射被乔-哈特勉强挡出，克里希解围
76'裁判还没吹犯规                   73'第73分钟，贝尔前场抢断亚亚-图雷后禁区左侧18码处劲射被乔-哈特勉强挡出，克里希解围
76'不过阿德巴约也没讨到好，被补了一张黄牌                   73'第73分钟，贝尔前场抢断亚亚-图雷后禁区左侧18码处劲射被乔-哈特勉强挡出，克里希解围
79'道森是从诺丁汉森林队出道的中后卫                   79'第79分钟，席尔瓦开出角球，哲科10码处头球攻门偏出
79'麦孔边路传中，席尔瓦没停住，否则又是单刀了                   79'第79分钟，席尔瓦开出角球，哲科10码处头球攻门偏出
79'曼城的角球，席尔瓦传中哲科头球攻门！擦着立柱而出                   79'第79分钟，席尔瓦开出角球，哲科10码处头球攻门偏出
80'迪福也要出场                   79'第79分钟，席尔瓦开出角球，哲科10码处头球攻门偏出
80'换下阿德巴约                   79'第79分钟，席尔瓦开出角球，哲科10码处头球攻门偏出
80'下场之前还接受了球迷的嘘声                   79'第79分钟，席尔瓦开出角球，哲科10码处头球攻门偏出
81'阿奎罗中路突破被哲科挡住了射门角度！                   79'第79分钟，席尔瓦开出角球，哲科10码处头球攻门偏出
81'哲科无间了一回，曼城获得了一个角球                   79'第79分钟，席尔瓦开出角球，哲科10码处头球攻门偏出
82'前点的孔帕尼头球后蹭，图雷把球拿住了                   79'第79分钟，席尔瓦开出角球，哲科10码处头球攻门偏出
82'席尔瓦！                   79'第79分钟，席尔瓦开出角球，哲科10码处头球攻门偏出
82'又是滑门而出                   79'第79分钟，席尔瓦开出角球，哲科10码处头球攻门偏出
82'阿奎罗的控球太牛了，轻易三五个人抢不下来                   79'第79分钟，席尔瓦开出角球，哲科10码处头球攻门偏出
81'阿奎罗中路突破被哲科挡住了射门角度！                   81'第81分钟，科拉罗夫禁区左侧的射门被加拉斯封堵后打在边网，科拉罗夫开出角球，麦孔12码处头球攻门同样偏出
81'哲科无间了一回，曼城获得了一个角球                   81'第81分钟，科拉罗夫禁区左侧的射门被加拉斯封堵后打在边网，科拉罗夫开出角球，麦孔12码处头球攻门同样偏出
82'前点的孔帕尼头球后蹭，图雷把球拿住了                   81'第81分钟，科拉罗夫禁区左侧的射门被加拉斯封堵后打在边网，科拉罗夫开出角球，麦孔12码处头球攻门同样偏出
82'席尔瓦！                   81'第81分钟，科拉罗夫禁区左侧的射门被加拉斯封堵后打在边网，科拉罗夫开出角球，麦孔12码处头球攻门同样偏出
82'又是滑门而出                   81'第81分钟，科拉罗夫禁区左侧的射门被加拉斯封堵后打在边网，科拉罗夫开出角球，麦孔12码处头球攻门同样偏出
82'阿奎罗的控球太牛了，轻易三五个人抢不下来                   81'第81分钟，科拉罗夫禁区左侧的射门被加拉斯封堵后打在边网，科拉罗夫开出角球，麦孔12码处头球攻门同样偏出
83'捅给了后排插上的席尔瓦，扣过后卫左脚推射，可惜打偏了                   81'第81分钟，科拉罗夫禁区左侧的射门被加拉斯封堵后打在边网，科拉罗夫开出角球，麦孔12码处头球攻门同样偏出
83'热刺现在在前场全是速度型选手                   81'第81分钟，科拉罗夫禁区左侧的射门被加拉斯封堵后打在边网，科拉罗夫开出角球，麦孔12码处头球攻门同样偏出
83'列侬、贝尔、迪福都很快，曼城也要小心了                   81'第81分钟，科拉罗夫禁区左侧的射门被加拉斯封堵后打在边网，科拉罗夫开出角球，麦孔12码处头球攻门同样偏出
83'弗里德尔！世界级的扑救                   81'第81分钟，科拉罗夫禁区左侧的射门被加拉斯封堵后打在边网，科拉罗夫开出角球，麦孔12码处头球攻门同样偏出
84'哲科在禁区内接球脚后跟妙传，阿奎罗跟进的弹射被弗里德尔神勇的扑出                   81'第81分钟，科拉罗夫禁区左侧的射门被加拉斯封堵后打在边网，科拉罗夫开出角球，麦孔12码处头球攻门同样偏出
84'还连着扑了两次                   81'第81分钟，科拉罗夫禁区左侧的射门被加拉斯封堵后打在边网，科拉罗夫开出角球，麦孔12码处头球攻门同样偏出
83'捅给了后排插上的席尔瓦，扣过后卫左脚推射，可惜打偏了                   83'第83分钟，哲科接界外球回敲，阿圭罗禁区内连续的射门均被弗里德尔用腿挡出
83'热刺现在在前场全是速度型选手                   83'第83分钟，哲科接界外球回敲，阿圭罗禁区内连续的射门均被弗里德尔用腿挡出
83'列侬、贝尔、迪福都很快，曼城也要小心了                   83'第83分钟，哲科接界外球回敲，阿圭罗禁区内连续的射门均被弗里德尔用腿挡出
83'弗里德尔！世界级的扑救                   83'第83分钟，哲科接界外球回敲，阿圭罗禁区内连续的射门均被弗里德尔用腿挡出
84'哲科在禁区内接球脚后跟妙传，阿奎罗跟进的弹射被弗里德尔神勇的扑出                   83'第83分钟，哲科接界外球回敲，阿圭罗禁区内连续的射门均被弗里德尔用腿挡出
84'还连着扑了两次                   83'第83分钟，哲科接界外球回敲，阿圭罗禁区内连续的射门均被弗里德尔用腿挡出
86'两队球员的体能都有些吃不消了                   83'第83分钟，哲科接界外球回敲，阿圭罗禁区内连续的射门均被弗里德尔用腿挡出
86'特别是热刺这一边                   83'第83分钟，哲科接界外球回敲，阿圭罗禁区内连续的射门均被弗里德尔用腿挡出
86'曼城现在围攻越来越强势                   83'第83分钟，哲科接界外球回敲，阿圭罗禁区内连续的射门均被弗里德尔用腿挡出
86'巴神都看得打瞌睡了                   83'第83分钟，哲科接界外球回敲，阿圭罗禁区内连续的射门均被弗里德尔用腿挡出
