31'维迪奥顿右侧传中！                   30'切尔西第30分钟取得领先，威廉25码处任意球直接破门
58'中路回传中圈阿姆帕杜！                   56'维迪奥顿第56分钟反超比分，米拉诺夫左路传中远点，无人防守的内戈禁区右肋10码处第一时间凌空抽射近角入网，2-1
58'交给左侧奥多伊！                   56'维迪奥顿第56分钟反超比分，米拉诺夫左路传中远点，无人防守的内戈禁区右肋10码处第一时间凌空抽射近角入网，2-1
58'分球失误了！                   56'维迪奥顿第56分钟反超比分，米拉诺夫左路传中远点，无人防守的内戈禁区右肋10码处第一时间凌空抽射近角入网，2-1
58'维迪奥顿反击直传！                   56'维迪奥顿第56分钟反超比分，米拉诺夫左路传中远点，无人防守的内戈禁区右肋10码处第一时间凌空抽射近角入网，2-1
59'球被克里斯滕森断下！                   56'维迪奥顿第56分钟反超比分，米拉诺夫左路传中远点，无人防守的内戈禁区右肋10码处第一时间凌空抽射近角入网，2-1
59'巴克利分禁区左侧！                   56'维迪奥顿第56分钟反超比分，米拉诺夫左路传中远点，无人防守的内戈禁区右肋10码处第一时间凌空抽射近角入网，2-1
59'奥多伊得球推射！                   56'维迪奥顿第56分钟反超比分，米拉诺夫左路传中远点，无人防守的内戈禁区右肋10码处第一时间凌空抽射近角入网，2-1
59'球被门将没收了！                   56'维迪奥顿第56分钟反超比分，米拉诺夫左路传中远点，无人防守的内戈禁区右肋10码处第一时间凌空抽射近角入网，2-1
75'吉鲁助跑！                   75'切尔西第75分钟扳平，吉鲁禁区弧顶外任意球直接射门，皮球直奔左上角入网，2-2
75'左脚打门！！                   75'切尔西第75分钟扳平，吉鲁禁区弧顶外任意球直接射门，皮球直奔左上角入网，2-2
75'GOOOOOOOOOOOOAL！                   75'切尔西第75分钟扳平，吉鲁禁区弧顶外任意球直接射门，皮球直奔左上角入网，2-2
77'切尔西终于扳平了比分！                   75'切尔西第75分钟扳平，吉鲁禁区弧顶外任意球直接射门，皮球直奔左上角入网，2-2
76'埃莫森左侧突破！                   75'切尔西第75分钟扳平，吉鲁禁区弧顶外任意球直接射门，皮球直奔左上角入网，2-2
76'被内戈犯规！                   75'切尔西第75分钟扳平，吉鲁禁区弧顶外任意球直接射门，皮球直奔左上角入网，2-2
76'切尔西前场左侧任意球1                   75'切尔西第75分钟扳平，吉鲁禁区弧顶外任意球直接射门，皮球直奔左上角入网，2-2
76'任意球给禁区左侧1                   75'切尔西第75分钟扳平，吉鲁禁区弧顶外任意球直接射门，皮球直奔左上角入网，2-2
76'传中到右侧！                   75'切尔西第75分钟扳平，吉鲁禁区弧顶外任意球直接射门，皮球直奔左上角入网，2-2
76'阿姆帕杜得球！                   75'切尔西第75分钟扳平，吉鲁禁区弧顶外任意球直接射门，皮球直奔左上角入网，2-2
76'回传给解围了！                   75'切尔西第75分钟扳平，吉鲁禁区弧顶外任意球直接射门，皮球直奔左上角入网，2-2
77'埃莫森传中偏出了底线！                   75'切尔西第75分钟扳平，吉鲁禁区弧顶外任意球直接射门，皮球直奔左上角入网，2-2
77'是打中了防守球员的！                   75'切尔西第75分钟扳平，吉鲁禁区弧顶外任意球直接射门，皮球直奔左上角入网，2-2
78'角球给后点被解围了！                   75'切尔西第75分钟扳平，吉鲁禁区弧顶外任意球直接射门，皮球直奔左上角入网，2-2
