3'冯仁亮左路拿球回敲                   3'第3分钟，冯仁亮左路拿球回敲，米西莫维奇禁区左侧小角度打门被封堵出底线
60'人和换人，尤里上场替下桑托斯                   60'第60分钟糜昊伦左路突破后横敲，穆伦加打门踢偏
61'另一场比赛中，泰达进球了                   60'第60分钟糜昊伦左路突破后横敲，穆伦加打门踢偏
62'人和反击，尤里带球稍大，关震扑住                   60'第60分钟糜昊伦左路突破后横敲，穆伦加打门踢偏
62'穆伦加右路拿球犯规                   60'第60分钟糜昊伦左路突破后横敲，穆伦加打门踢偏
62'裁判吹了穆伦加犯规                   60'第60分钟糜昊伦左路突破后横敲，穆伦加打门踢偏
63'隆东右路拿球倒地，裁判依然没吹                   60'第60分钟糜昊伦左路突破后横敲，穆伦加打门踢偏
63'现场球迷相当不满                   60'第60分钟糜昊伦左路突破后横敲，穆伦加打门踢偏
65'萨利霍维奇被踢倒在地                   65'第65分钟冯仁亮突破后传中被挡出底线，米西角球送到禁区被顶出，随后他再横扫禁区，皮球滑门而过
65'人和右路斜传禁区，球来到左路                   65'第65分钟冯仁亮突破后传中被挡出底线，米西角球送到禁区被顶出，随后他再横扫禁区，皮球滑门而过
65'冯仁亮突破传中被挡出底线                   65'第65分钟冯仁亮突破后传中被挡出底线，米西角球送到禁区被顶出，随后他再横扫禁区，皮球滑门而过
65'米西角球送到禁区被顶出                   65'第65分钟冯仁亮突破后传中被挡出底线，米西角球送到禁区被顶出，随后他再横扫禁区，皮球滑门而过
66'米西左路拿球再往禁区送，皮球滑门而过                   65'第65分钟冯仁亮突破后传中被挡出底线，米西角球送到禁区被顶出，随后他再横扫禁区，皮球滑门而过
66'尤里拿球给到右路                   65'第65分钟冯仁亮突破后传中被挡出底线，米西角球送到禁区被顶出，随后他再横扫禁区，皮球滑门而过
66'张成林右路横扫门前被挡住                   65'第65分钟冯仁亮突破后传中被挡出底线，米西角球送到禁区被顶出，随后他再横扫禁区，皮球滑门而过
67'萨利霍维奇右路直接往禁区吊，球飞出底线                   65'第65分钟冯仁亮突破后传中被挡出底线，米西角球送到禁区被顶出，随后他再横扫禁区，皮球滑门而过
67'永昌后场直塞球给了人和                   65'第65分钟冯仁亮突破后传中被挡出底线，米西角球送到禁区被顶出，随后他再横扫禁区，皮球滑门而过
68'米西莫维奇右路传球出了底线                   65'第65分钟冯仁亮突破后传中被挡出底线，米西角球送到禁区被顶出，随后他再横扫禁区，皮球滑门而过
68'人和中场断球                   65'第65分钟冯仁亮突破后传中被挡出底线，米西角球送到禁区被顶出，随后他再横扫禁区，皮球滑门而过
75'永昌继续换人，孙昊晟上场替下冯绍顺                   75'第75分钟米西莫维奇外围远射被关震扑出
76'人和反击                   75'第75分钟米西莫维奇外围远射被关震扑出
76'米西莫维奇斜塞右侧                   75'第75分钟米西莫维奇外围远射被关震扑出
76'尤里拿球到禁区倒地了，裁判给了尤里一张黄牌                   75'第75分钟米西莫维奇外围远射被关震扑出
77'穆伦加左路拿球直塞，被人和断掉                   75'第75分钟米西莫维奇外围远射被关震扑出
77'人和只能放手一搏了                   75'第75分钟米西莫维奇外围远射被关震扑出
78'萨利霍维奇转移左侧                   75'第75分钟米西莫维奇外围远射被关震扑出
78'米西莫维奇外围远射被关震抱住                   75'第75分钟米西莫维奇外围远射被关震扑出
90'穆伦加禁区内打门没踢准，张烈抱住                   90'最终经过90分钟激战，贵州人和客场2-1逆转石家庄永昌
90'冯仁亮抽筋了                   90'最终经过90分钟激战，贵州人和客场2-1逆转石家庄永昌
91'下半场补时3分钟                   90'最终经过90分钟激战，贵州人和客场2-1逆转石家庄永昌
91'尤里左路拿球                   90'最终经过90分钟激战，贵州人和客场2-1逆转石家庄永昌
91'左路突破被赵荣亨踢出边线                   90'最终经过90分钟激战，贵州人和客场2-1逆转石家庄永昌
91'人和用于睿替下冯仁亮                   90'最终经过90分钟激战，贵州人和客场2-1逆转石家庄永昌
92'边线球，人和前场就剩两个人了                   90'最终经过90分钟激战，贵州人和客场2-1逆转石家庄永昌
92'永昌后场踢出边线                   90'最终经过90分钟激战，贵州人和客场2-1逆转石家庄永昌
93'人和中场犯规                   90'最终经过90分钟激战，贵州人和客场2-1逆转石家庄永昌
93'永昌并不放弃啊                   90'最终经过90分钟激战，贵州人和客场2-1逆转石家庄永昌
93'关震都冲入禁区                   90'最终经过90分钟激战，贵州人和客场2-1逆转石家庄永昌
