3'邹正外围一记远射，高出，敲山震虎先来一下。                   3'第3分钟，保利尼奥组织进攻将球交给右路，邹正外围一记远射，敲山震虎先来一脚
11'荣昊左路带球，往内线走，给到罗比尼奥                   9'第9分钟，罗比尼奥左路斜传，禁区中路高拉特头球后蹭，皮球擦着远端门柱出底线
11'罗比尼奥强行转身，一脚重炮，高了                   9'第9分钟，罗比尼奥左路斜传，禁区中路高拉特头球后蹭，皮球擦着远端门柱出底线
12'今天双方的状态还是都比较兴奋的，联赛歇了半个月，队员都憋了一股劲                   9'第9分钟，罗比尼奥左路斜传，禁区中路高拉特头球后蹭，皮球擦着远端门柱出底线
11'荣昊左路带球，往内线走，给到罗比尼奥                   11'第11分钟，荣昊左路带球往内线走，将球给到罗比尼奥脚下，后者强行转身一脚重炮轰门打高
11'罗比尼奥强行转身，一脚重炮，高了                   11'第11分钟，荣昊左路带球往内线走，将球给到罗比尼奥脚下，后者强行转身一脚重炮轰门打高
12'今天双方的状态还是都比较兴奋的，联赛歇了半个月，队员都憋了一股劲                   11'第11分钟，荣昊左路带球往内线走，将球给到罗比尼奥脚下，后者强行转身一脚重炮轰门打高
13'罗比尼奥禁区前沿回做，保利尼奥远射被后卫挡下                   11'第11分钟，荣昊左路带球往内线走，将球给到罗比尼奥脚下，后者强行转身一脚重炮轰门打高
13'恒大重新组织，金英权上来也是一记远射尝试，邓小飞稳稳把球扑住                   11'第11分钟，荣昊左路带球往内线走，将球给到罗比尼奥脚下，后者强行转身一脚重炮轰门打高
13'舜天进攻到右路，吉翔回敲给周云                   11'第11分钟，荣昊左路带球往内线走，将球给到罗比尼奥脚下，后者强行转身一脚重炮轰门打高
14'周云45度斜吊禁区，冯潇霆头球解围                   11'第11分钟，荣昊左路带球往内线走，将球给到罗比尼奥脚下，后者强行转身一脚重炮轰门打高
14'恒大反击，李昂左路防守犯规，给了对手一个前场定位球                   11'第11分钟，荣昊左路带球往内线走，将球给到罗比尼奥脚下，后者强行转身一脚重炮轰门打高
14'罗比尼奥主罚，给了一个前点，康斯坦丁把球解围                   11'第11分钟，荣昊左路带球往内线走，将球给到罗比尼奥脚下，后者强行转身一脚重炮轰门打高
24'高拉特甩开了防守，舒服的拿球，周围没有人，来一脚凌空                   24'第24分钟郑智中场突然送出一记精妙直塞，直接找到禁区内的高拉特，高拉特操之过急将球打飞
24'高拉特这个球操之过急了，打飞了                   24'第24分钟郑智中场突然送出一记精妙直塞，直接找到禁区内的高拉特，高拉特操之过急将球打飞
25'20多分钟来看，中场中路的区域，萨米尔想拿球很困难，所以舜天承上启下没有好的过渡                   24'第24分钟郑智中场突然送出一记精妙直塞，直接找到禁区内的高拉特，高拉特操之过急将球打飞
25'舜天组织不起进攻就要被动挨打，恒大的防守也是很有一套                   24'第24分钟郑智中场突然送出一记精妙直塞，直接找到禁区内的高拉特，高拉特操之过急将球打飞
25'右路郑龙交给中间，保利尼奥在给左侧的邹正                   24'第24分钟郑智中场突然送出一记精妙直塞，直接找到禁区内的高拉特，高拉特操之过急将球打飞
26'恒大连续传递到荣昊脚下                   24'第24分钟郑智中场突然送出一记精妙直塞，直接找到禁区内的高拉特，高拉特操之过急将球打飞
26'荣昊左侧下底，传中被康斯坦丁顶出底线                   24'第24分钟郑智中场突然送出一记精妙直塞，直接找到禁区内的高拉特，高拉特操之过急将球打飞
26'罗比尼奥角球开前点，给的太低了                   24'第24分钟郑智中场突然送出一记精妙直塞，直接找到禁区内的高拉特，高拉特操之过急将球打飞
26'高拉特前点一挡，把球碰出底线                   24'第24分钟郑智中场突然送出一记精妙直塞，直接找到禁区内的高拉特，高拉特操之过急将球打飞
27'镜头给到替补席的埃神，埃神也是久违了，即将伤愈复出                   24'第24分钟郑智中场突然送出一记精妙直塞，直接找到禁区内的高拉特，高拉特操之过急将球打飞
27'保利尼奥左侧强劲的防守把舜天的进攻封堵出边线                   24'第24分钟郑智中场突然送出一记精妙直塞，直接找到禁区内的高拉特，高拉特操之过急将球打飞
40'张琳芃把球交给保利尼奥，恒大把球打到左边                   40'第40分钟，舜天禁区内混战中保利尼奥将球回做，罗比尼奥跟进大力抽射击中边网
40'邹正传中被封堵                   40'第40分钟，舜天禁区内混战中保利尼奥将球回做，罗比尼奥跟进大力抽射击中边网
40'罗比尼奥中路分边给到右路                   40'第40分钟，舜天禁区内混战中保利尼奥将球回做，罗比尼奥跟进大力抽射击中边网
41'右侧起球传中，后点舜天解围不利，罗比尼奥打门，被邓小飞挡出底线                   40'第40分钟，舜天禁区内混战中保利尼奥将球回做，罗比尼奥跟进大力抽射击中边网
41'恒大左侧角球开出来                   40'第40分钟，舜天禁区内混战中保利尼奥将球回做，罗比尼奥跟进大力抽射击中边网
41'禁区内乱战，不知道被谁顶了一下，见高不见远，邓小飞出击没收第二点                   40'第40分钟，舜天禁区内混战中保利尼奥将球回做，罗比尼奥跟进大力抽射击中边网
42'李昂后场解围，冯潇霆前场得球                   40'第40分钟，舜天禁区内混战中保利尼奥将球回做，罗比尼奥跟进大力抽射击中边网
42'恒大沿着中路渗透                   40'第40分钟，舜天禁区内混战中保利尼奥将球回做，罗比尼奥跟进大力抽射击中边网
42'张琳芃外围一脚远射，打了一个低球                   40'第40分钟，舜天禁区内混战中保利尼奥将球回做，罗比尼奥跟进大力抽射击中边网
43'门前保利尼奥脚后跟一磕改变了线路，不过没有吃上力量，被邓小飞倒地保住                   40'第40分钟，舜天禁区内混战中保利尼奥将球回做，罗比尼奥跟进大力抽射击中边网
43'保利尼奥这个球打的很巧，只是力量不足                   40'第40分钟，舜天禁区内混战中保利尼奥将球回做，罗比尼奥跟进大力抽射击中边网
43'舜天的进攻也制造威胁，中路萨米尔一路突，恒大中间3，4个人，前仆后继把球挡下                   40'第40分钟，舜天禁区内混战中保利尼奥将球回做，罗比尼奥跟进大力抽射击中边网
50'在高拉特的紧逼之下，周云大脚解围出底线                   50'第50分钟，舜天任意球埃斯库德罗一拨杨笑天一踩，埃斯库德罗直接传中，禁区内曾诚鱼跃飞扑双龙出海，将球打出禁区
50'恒大角球开出，第一点还是舜天把球解围                   50'第50分钟，舜天任意球埃斯库德罗一拨杨笑天一踩，埃斯库德罗直接传中，禁区内曾诚鱼跃飞扑双龙出海，将球打出禁区
50'恒大外围在吊进去，冯潇霆越位了                   50'第50分钟，舜天任意球埃斯库德罗一拨杨笑天一踩，埃斯库德罗直接传中，禁区内曾诚鱼跃飞扑双龙出海，将球打出禁区
50'舜天长传进攻，张琳芃盯防卡尔坦森，争顶犯规                   50'第50分钟，舜天任意球埃斯库德罗一拨杨笑天一踩，埃斯库德罗直接传中，禁区内曾诚鱼跃飞扑双龙出海，将球打出禁区
51'埃斯库德罗和杨笑天站在球前                   50'第50分钟，舜天任意球埃斯库德罗一拨杨笑天一踩，埃斯库德罗直接传中，禁区内曾诚鱼跃飞扑双龙出海，将球打出禁区
51'舜天在被动的情况下要尽量把握这种前场任意球的机会                   50'第50分钟，舜天任意球埃斯库德罗一拨杨笑天一踩，埃斯库德罗直接传中，禁区内曾诚鱼跃飞扑双龙出海，将球打出禁区
52'埃斯库德罗一拨，杨笑天一踩，埃斯库德罗直接传中                   50'第50分钟，舜天任意球埃斯库德罗一拨杨笑天一踩，埃斯库德罗直接传中，禁区内曾诚鱼跃飞扑双龙出海，将球打出禁区
52'禁区内曾诚鱼跃飞扑，双龙出海，把球打出禁区                   50'第50分钟，舜天任意球埃斯库德罗一拨杨笑天一踩，埃斯库德罗直接传中，禁区内曾诚鱼跃飞扑双龙出海，将球打出禁区
52'高拉特右侧直传被对方挡出边线                   50'第50分钟，舜天任意球埃斯库德罗一拨杨笑天一踩，埃斯库德罗直接传中，禁区内曾诚鱼跃飞扑双龙出海，将球打出禁区
52'张琳芃视野开阔，大范围转移到左侧                   50'第50分钟，舜天任意球埃斯库德罗一拨杨笑天一踩，埃斯库德罗直接传中，禁区内曾诚鱼跃飞扑双龙出海，将球打出禁区
53'邹正拿球向前推进，给到接应的罗比尼奥                   50'第50分钟，舜天任意球埃斯库德罗一拨杨笑天一踩，埃斯库德罗直接传中，禁区内曾诚鱼跃飞扑双龙出海，将球打出禁区
53'罗比尼奥左侧传中，给到前点                   50'第50分钟，舜天任意球埃斯库德罗一拨杨笑天一踩，埃斯库德罗直接传中，禁区内曾诚鱼跃飞扑双龙出海，将球打出禁区
53'埃神插上，没能得到这个球                   50'第50分钟，舜天任意球埃斯库德罗一拨杨笑天一踩，埃斯库德罗直接传中，禁区内曾诚鱼跃飞扑双龙出海，将球打出禁区
53'郑智后场拿球，横拨冯潇霆                   50'第50分钟，舜天任意球埃斯库德罗一拨杨笑天一踩，埃斯库德罗直接传中，禁区内曾诚鱼跃飞扑双龙出海，将球打出禁区
56'东亚杯归来的吉翔体能也是出现问题                   56'第56分钟高拉特突破到禁区前沿，舜天逼抢不紧，高拉特外围突施冷箭偏出
56'高拉特突破到禁区前沿，舜天逼抢不紧，高拉特外围突施冷箭，偏出                   56'第56分钟高拉特突破到禁区前沿，舜天逼抢不紧，高拉特外围突施冷箭偏出
57'罗比尼奥回撤接应，横向转移给张琳芃                   56'第56分钟高拉特突破到禁区前沿，舜天逼抢不紧，高拉特外围突施冷箭偏出
57'恒大推进到40米区域，利用宽度来回的调动                   56'第56分钟高拉特突破到禁区前沿，舜天逼抢不紧，高拉特外围突施冷箭偏出
57'恒大把球渗透到禁区内，还是被舜天破坏出来                   56'第56分钟高拉特突破到禁区前沿，舜天逼抢不紧，高拉特外围突施冷箭偏出
58'恒大下半场虽然调兵遣将，但还是没有大的改观                   56'第56分钟高拉特突破到禁区前沿，舜天逼抢不紧，高拉特外围突施冷箭偏出
58'吴曦外围尝试一记远射，放了高射炮                   56'第56分钟高拉特突破到禁区前沿，舜天逼抢不紧，高拉特外围突施冷箭偏出
59'高拉特前场和埃神寻求配合                   56'第56分钟高拉特突破到禁区前沿，舜天逼抢不紧，高拉特外围突施冷箭偏出
59'埃神右侧拿球被康斯坦丁撞翻                   56'第56分钟高拉特突破到禁区前沿，舜天逼抢不紧，高拉特外围突施冷箭偏出
60'目前其他场次纷纷都有进球，就剩这场还没打破僵局了                   60'第60分钟，恒大右侧任意球开到禁区被解围，外围二次进攻再次传中，埃尔克森头球攻门被邓小飞没收
60'恒大右侧任意球开出来，禁区内防守队员后蹭解围                   60'第60分钟，恒大右侧任意球开到禁区被解围，外围二次进攻再次传中，埃尔克森头球攻门被邓小飞没收
61'恒大外围再送进去，埃神中路抢点一蹭，没有改变方向，被邓小飞没收                   60'第60分钟，恒大右侧任意球开到禁区被解围，外围二次进攻再次传中，埃尔克森头球攻门被邓小飞没收
61'这算是一次机会，但埃神这个球蹭的小了一些                   60'第60分钟，恒大右侧任意球开到禁区被解围，外围二次进攻再次传中，埃尔克森头球攻门被邓小飞没收
61'恒大出机会了，邓小飞立功                   60'第60分钟，恒大右侧任意球开到禁区被解围，外围二次进攻再次传中，埃尔克森头球攻门被邓小飞没收
62'罗比尼奥左侧斜传后点，准确找到包抄的郑龙，郑龙小禁区角面对出击的邓小飞，小角度打门被邓小飞挡出                   60'第60分钟，恒大右侧任意球开到禁区被解围，外围二次进攻再次传中，埃尔克森头球攻门被邓小飞没收
62'恒大左路连续的传递，邹正一记传中                   60'第60分钟，恒大右侧任意球开到禁区被解围，外围二次进攻再次传中，埃尔克森头球攻门被邓小飞没收
63'邓小飞出击没有拿住，球被埃神控制下来                   60'第60分钟，恒大右侧任意球开到禁区被解围，外围二次进攻再次传中，埃尔克森头球攻门被邓小飞没收
63'埃神在邓小飞的逼迫下无法转身，把球传给高拉特                   60'第60分钟，恒大右侧任意球开到禁区被解围，外围二次进攻再次传中，埃尔克森头球攻门被邓小飞没收
64'高拉特后蹭一下，郑龙停球之后的大力射门，踢在边网上                   64'第64分钟，高拉特禁区内后蹭，郑龙停球之后大力抽射踢在边网上
64'郑龙这个球应该直接打啊，停球之后直接把角度弄小了                   64'第64分钟，高拉特禁区内后蹭，郑龙停球之后大力抽射踢在边网上
64'恒大连续的组合拳打出了小高潮                   64'第64分钟，高拉特禁区内后蹭，郑龙停球之后大力抽射踢在边网上
64'舜天下半场只能疲于防守，进攻还没有上半场来的多                   64'第64分钟，高拉特禁区内后蹭，郑龙停球之后大力抽射踢在边网上
65'郑龙右侧直塞高拉特，高拉特盘过杨笑天                   64'第64分钟，高拉特禁区内后蹭，郑龙停球之后大力抽射踢在边网上
65'许友志过来补防，高拉特提前把球分到弧顶处                   64'第64分钟，高拉特禁区内后蹭，郑龙停球之后大力抽射踢在边网上
65'郑龙跟进，一记抽射，打偏了                   64'第64分钟，高拉特禁区内后蹭，郑龙停球之后大力抽射踢在边网上
66'埃斯库德罗左路拿球，无法转身，回敲给同伴                   64'第64分钟，高拉特禁区内后蹭，郑龙停球之后大力抽射踢在边网上
66'舜天长传找卡尔坦森，有些盲目了                   64'第64分钟，高拉特禁区内后蹭，郑龙停球之后大力抽射踢在边网上
67'恒大左路进攻， 邹正传中，后点康斯坦丁头球解围                   64'第64分钟，高拉特禁区内后蹭，郑龙停球之后大力抽射踢在边网上
67'舜天的反击，张琳芃战术犯规，从身后铲翻埃斯库德罗                   64'第64分钟，高拉特禁区内后蹭，郑龙停球之后大力抽射踢在边网上
69'舜天前场的进攻有些找不到主心骨                   69'第69分钟，高拉特一路冲击到对手禁区内，右侧一记低射，擦着远端门柱飞出底线
69'恒大后场抢断，发动快速进攻                   69'第69分钟，高拉特一路冲击到对手禁区内，右侧一记低射，擦着远端门柱飞出底线
69'高拉特一路冲击到对手禁区内，右侧一记低射，擦着远端门柱飞出底线                   69'第69分钟，高拉特一路冲击到对手禁区内，右侧一记低射，擦着远端门柱飞出底线
70'埃斯库德罗左侧发动进攻， 利用个人能力杀到前场                   69'第69分钟，高拉特一路冲击到对手禁区内，右侧一记低射，擦着远端门柱飞出底线
70'传球被邹正破坏出边线                   69'第69分钟，高拉特一路冲击到对手禁区内，右侧一记低射，擦着远端门柱飞出底线
70'舜天右侧吴曦，传中线路不错，但包抄点实在太少                   69'第69分钟，高拉特一路冲击到对手禁区内，右侧一记低射，擦着远端门柱飞出底线
71'恒大长传反击，康斯坦丁把球顶出边线                   69'第69分钟，高拉特一路冲击到对手禁区内，右侧一记低射，擦着远端门柱飞出底线
72'恒大细腻的配合打到禁区边缘，还是交到罗比尼奥脚下                   69'第69分钟，高拉特一路冲击到对手禁区内，右侧一记低射，擦着远端门柱飞出底线
72'罗比尼奥外脚背杂耍般的一搓，传给禁区内插上的黄博文                   69'第69分钟，高拉特一路冲击到对手禁区内，右侧一记低射，擦着远端门柱飞出底线
72'可惜边裁举旗，黄博文越位了                   69'第69分钟，高拉特一路冲击到对手禁区内，右侧一记低射，擦着远端门柱飞出底线
78'萨米尔闪开角度传中被冯潇霆解围                   78'第78分钟恒大长传给埃神，舜天两名后卫配合失误险些造成大祸，在埃神即将形成单刀之际，邓小飞出击飞身一记弹腿，把球大脚开了出来
78'恒大长传给埃神，舜天两名后卫配合失误，险些造成大祸                   78'第78分钟恒大长传给埃神，舜天两名后卫配合失误险些造成大祸，在埃神即将形成单刀之际，邓小飞出击飞身一记弹腿，把球大脚开了出来
79'在埃神即将形成单刀之际，邓小飞出击，飞身一记弹腿，把球大脚开了出来                   78'第78分钟恒大长传给埃神，舜天两名后卫配合失误险些造成大祸，在埃神即将形成单刀之际，邓小飞出击飞身一记弹腿，把球大脚开了出来
79'舜天左路直塞到埃斯库德罗，传中没有把握好，前点就被挡出来                   78'第78分钟恒大长传给埃神，舜天两名后卫配合失误险些造成大祸，在埃神即将形成单刀之际，邓小飞出击飞身一记弹腿，把球大脚开了出来
80'舜天还是猛攻左路，这一次的长传越位了                   78'第78分钟恒大长传给埃神，舜天两名后卫配合失误险些造成大祸，在埃神即将形成单刀之际，邓小飞出击飞身一记弹腿，把球大脚开了出来
80'舜天换人，萨米尔下场，刘建业上来                   78'第78分钟恒大长传给埃神，舜天两名后卫配合失误险些造成大祸，在埃神即将形成单刀之际，邓小飞出击飞身一记弹腿，把球大脚开了出来
80'佩特莱斯库还是更注重防守，这次换人加强防守的意图也比较明显                   78'第78分钟恒大长传给埃神，舜天两名后卫配合失误险些造成大祸，在埃神即将形成单刀之际，邓小飞出击飞身一记弹腿，把球大脚开了出来
81'恒大获得一个右侧的角球                   78'第78分钟恒大长传给埃神，舜天两名后卫配合失误险些造成大祸，在埃神即将形成单刀之际，邓小飞出击飞身一记弹腿，把球大脚开了出来
81'郑龙角球直接往门里旋，邓小飞把球托出底线                   78'第78分钟恒大长传给埃神，舜天两名后卫配合失误险些造成大祸，在埃神即将形成单刀之际，邓小飞出击飞身一记弹腿，把球大脚开了出来
81'郑龙再次开出角球，选择战术角球                   78'第78分钟恒大长传给埃神，舜天两名后卫配合失误险些造成大祸，在埃神即将形成单刀之际，邓小飞出击飞身一记弹腿，把球大脚开了出来
83'埃尔克森禁区内面对周云，走外线                   83'第83分钟埃尔克森禁区内面对周云，强突后一记爆杆打在边网上
83'埃神小角度一记爆杆，打在边网                   83'第83分钟埃尔克森禁区内面对周云，强突后一记爆杆打在边网上
84'时间在一分一秒的流逝，恒大的球迷有些焦急起来                   83'第83分钟埃尔克森禁区内面对周云，强突后一记爆杆打在边网上
84'卡尔坦森和李学鹏在边路的争夺发生了一点小摩擦                   83'第83分钟埃尔克森禁区内面对周云，强突后一记爆杆打在边网上
85'舜天右路交给张晓彬，边路没能把球交出来                   83'第83分钟埃尔克森禁区内面对周云，强突后一记爆杆打在边网上
85'张琳芃右路推进，横敲到冯潇霆，在给金英权                   83'第83分钟埃尔克森禁区内面对周云，强突后一记爆杆打在边网上
85'恒大连续的横向调动                   83'第83分钟埃尔克森禁区内面对周云，强突后一记爆杆打在边网上
85'在交回给右路这边，张琳芃的传中被埃斯库德罗挡出边线                   83'第83分钟埃尔克森禁区内面对周云，强突后一记爆杆打在边网上
86'郑龙右路的下底，传中落点不好                   83'第83分钟埃尔克森禁区内面对周云，强突后一记爆杆打在边网上
86'高拉特外围又是一记爆射，打偏了                   83'第83分钟埃尔克森禁区内面对周云，强突后一记爆杆打在边网上
90'卡尔坦森在金英权的贴身防守下没有碰到球                   90'第90分钟高拉特突入禁区小角度射门再次造成邓小飞脱手，罗比尼奥跟进面对空门却将球打飞
91'罗比尼奥送出传递，高拉特又是一记远射，打了一个地滚球，邓小飞倒地把球得到                   90'第90分钟高拉特突入禁区小角度射门再次造成邓小飞脱手，罗比尼奥跟进面对空门却将球打飞
92'埃神禁区内突破，到了底线附近，超小的角度射门，被邓小飞挡出                   90'第90分钟高拉特突入禁区小角度射门再次造成邓小飞脱手，罗比尼奥跟进面对空门却将球打飞
92'球落到禁区中央，罗比尼奥跟进，凌空补射，打高了                   90'第90分钟高拉特突入禁区小角度射门再次造成邓小飞脱手，罗比尼奥跟进面对空门却将球打飞
92'这个球也是一次很好的机会啊，恒大还是没有把握                   90'第90分钟高拉特突入禁区小角度射门再次造成邓小飞脱手，罗比尼奥跟进面对空门却将球打飞
92'下半场补时3分钟                   90'第90分钟高拉特突入禁区小角度射门再次造成邓小飞脱手，罗比尼奥跟进面对空门却将球打飞
92'舜天用戈伟替下了卡尔坦森                   90'第90分钟高拉特突入禁区小角度射门再次造成邓小飞脱手，罗比尼奥跟进面对空门却将球打飞
93'邓小飞大脚开出门球                   90'第90分钟高拉特突入禁区小角度射门再次造成邓小飞脱手，罗比尼奥跟进面对空门却将球打飞
93'恒大把球拿好，利用最后时间继续组织进攻                   90'第90分钟高拉特突入禁区小角度射门再次造成邓小飞脱手，罗比尼奥跟进面对空门却将球打飞
93'恒大进球了，绝杀                   90'第90分钟高拉特突入禁区小角度射门再次造成邓小飞脱手，罗比尼奥跟进面对空门却将球打飞
93'补时最后一分钟，高拉特绝杀                   90'第90分钟高拉特突入禁区小角度射门再次造成邓小飞脱手，罗比尼奥跟进面对空门却将球打飞
