2'队友底线准备传到禁区                   2'开场仅2分钟，埃姆雷-詹传球，本特克禁区左侧的射门偏出近角
8'只是横扫的时候没有打上力量                   5'阿森纳第5分钟还以颜色，蒙雷亚尔左路传中，桑切斯小禁区边缘头球攻门高出
8'阿森纳这边攻势渐渐上来                   5'阿森纳第5分钟还以颜色，蒙雷亚尔左路传中，桑切斯小禁区边缘头球攻门高出
8'阿森纳这边进球了！！                   5'阿森纳第5分钟还以颜色，蒙雷亚尔左路传中，桑切斯小禁区边缘头球攻门高出
8'厄齐尔这边拿球被干扰                   8'第8分钟，卡索拉直传，拉姆塞小禁区左上角外单刀推射破门，但却因越位被判无效，回放显示这次判罚具有争议
8'但利物浦这边也是忙中出错                   8'第8分钟，卡索拉直传，拉姆塞小禁区左上角外单刀推射破门，但却因越位被判无效，回放显示这次判罚具有争议
8'桑切斯禁区内也是险些抓住机会                   8'第8分钟，卡索拉直传，拉姆塞小禁区左上角外单刀推射破门，但却因越位被判无效，回放显示这次判罚具有争议
8'只是横扫的时候没有打上力量                   8'第8分钟，卡索拉直传，拉姆塞小禁区左上角外单刀推射破门，但却因越位被判无效，回放显示这次判罚具有争议
8'阿森纳这边攻势渐渐上来                   8'第8分钟，卡索拉直传，拉姆塞小禁区左上角外单刀推射破门，但却因越位被判无效，回放显示这次判罚具有争议
8'阿森纳这边进球了！！                   8'第8分钟，卡索拉直传，拉姆塞小禁区左上角外单刀推射破门，但却因越位被判无效，回放显示这次判罚具有争议
9'边裁这边举旗了，越位！！                   8'第8分钟，卡索拉直传，拉姆塞小禁区左上角外单刀推射破门，但却因越位被判无效，回放显示这次判罚具有争议
9'慢镜头显示，这球没有越位！                   8'第8分钟，卡索拉直传，拉姆塞小禁区左上角外单刀推射破门，但却因越位被判无效，回放显示这次判罚具有争议
9'阿森纳禁区前沿送直塞，拉姆塞前插形成单刀，禁区内低射近角破门，但边裁这边误判了                   8'第8分钟，卡索拉直传，拉姆塞小禁区左上角外单刀推射破门，但却因越位被判无效，回放显示这次判罚具有争议
9'本特克这边也有机会                   8'第8分钟，卡索拉直传，拉姆塞小禁区左上角外单刀推射破门，但却因越位被判无效，回放显示这次判罚具有争议
10'禁区内外线低射远角被切赫得到                   8'第8分钟，卡索拉直传，拉姆塞小禁区左上角外单刀推射破门，但却因越位被判无效，回放显示这次判罚具有争议
10'贝莱林右路低平球送禁区                   8'第8分钟，卡索拉直传，拉姆塞小禁区左上角外单刀推射破门，但却因越位被判无效，回放显示这次判罚具有争议
10'球被利物浦解围出来                   8'第8分钟，卡索拉直传，拉姆塞小禁区左上角外单刀推射破门，但却因越位被判无效，回放显示这次判罚具有争议
11'上半场打了10分钟，两队都有机会                   8'第8分钟，卡索拉直传，拉姆塞小禁区左上角外单刀推射破门，但却因越位被判无效，回放显示这次判罚具有争议
11'卡拉索禁区弧顶拿球给到左路                   8'第8分钟，卡索拉直传，拉姆塞小禁区左上角外单刀推射破门，但却因越位被判无效，回放显示这次判罚具有争议
11'桑切斯禁区内停球后一扣摆脱防守                   8'第8分钟，卡索拉直传，拉姆塞小禁区左上角外单刀推射破门，但却因越位被判无效，回放显示这次判罚具有争议
11'再打门的时候被后卫又挡了一下                   8'第8分钟，卡索拉直传，拉姆塞小禁区左上角外单刀推射破门，但却因越位被判无效，回放显示这次判罚具有争议
14'吉鲁这边并没有抢到                   14'利物浦第14分钟错过机会，钱伯斯传球失误被库迪尼奥拦截，幸亏科奎林及时回追在禁区内抢断，随后卡索拉禁区前再度丢球，米尔纳禁区右侧的射门被蒙雷亚尔挡出
14'阿森纳后场失误了                   14'利物浦第14分钟错过机会，钱伯斯传球失误被库迪尼奥拦截，幸亏科奎林及时回追在禁区内抢断，随后卡索拉禁区前再度丢球，米尔纳禁区右侧的射门被蒙雷亚尔挡出
14'米尔纳禁区内抽射将球打偏                   14'利物浦第14分钟错过机会，钱伯斯传球失误被库迪尼奥拦截，幸亏科奎林及时回追在禁区内抢断，随后卡索拉禁区前再度丢球，米尔纳禁区右侧的射门被蒙雷亚尔挡出
15'阿森纳的后防也是让人不放心                   14'利物浦第14分钟错过机会，钱伯斯传球失误被库迪尼奥拦截，幸亏科奎林及时回追在禁区内抢断，随后卡索拉禁区前再度丢球，米尔纳禁区右侧的射门被蒙雷亚尔挡出
15'科奎林刚刚的防守也是受伤了                   14'利物浦第14分钟错过机会，钱伯斯传球失误被库迪尼奥拦截，幸亏科奎林及时回追在禁区内抢断，随后卡索拉禁区前再度丢球，米尔纳禁区右侧的射门被蒙雷亚尔挡出
15'经过队医的检查，问题并不大                   14'利物浦第14分钟错过机会，钱伯斯传球失误被库迪尼奥拦截，幸亏科奎林及时回追在禁区内抢断，随后卡索拉禁区前再度丢球，米尔纳禁区右侧的射门被蒙雷亚尔挡出
15'利物浦这边角球机会                   14'利物浦第14分钟错过机会，钱伯斯传球失误被库迪尼奥拦截，幸亏科奎林及时回追在禁区内抢断，随后卡索拉禁区前再度丢球，米尔纳禁区右侧的射门被蒙雷亚尔挡出
15'角球送中路，队友头球攻门顶正了                   14'利物浦第14分钟错过机会，钱伯斯传球失误被库迪尼奥拦截，幸亏科奎林及时回追在禁区内抢断，随后卡索拉禁区前再度丢球，米尔纳禁区右侧的射门被蒙雷亚尔挡出
16'但球的运行轨迹上有阿森纳的球员                   14'利物浦第14分钟错过机会，钱伯斯传球失误被库迪尼奥拦截，幸亏科奎林及时回追在禁区内抢断，随后卡索拉禁区前再度丢球，米尔纳禁区右侧的射门被蒙雷亚尔挡出
17'阿森纳左路进攻给到厄齐尔                   14'利物浦第14分钟错过机会，钱伯斯传球失误被库迪尼奥拦截，幸亏科奎林及时回追在禁区内抢断，随后卡索拉禁区前再度丢球，米尔纳禁区右侧的射门被蒙雷亚尔挡出
17'厄齐尔底线一扣被对方带出底线                   14'利物浦第14分钟错过机会，钱伯斯传球失误被库迪尼奥拦截，幸亏科奎林及时回追在禁区内抢断，随后卡索拉禁区前再度丢球，米尔纳禁区右侧的射门被蒙雷亚尔挡出
39'阿森纳后场传球太随意被拦截                   39'利物浦第39分钟险些破门，菲尔米诺禁区左侧边缘传中，本特克近距离推射被切赫神勇扑出
39'库迪尼奥左路低平球横扫门前                   39'利物浦第39分钟险些破门，菲尔米诺禁区左侧边缘传中，本特克近距离推射被切赫神勇扑出
39'后点，本特克推射被切赫用指尖将球挡出底线！！                   39'利物浦第39分钟险些破门，菲尔米诺禁区左侧边缘传中，本特克近距离推射被切赫神勇扑出
39'利物浦的角球机会                   39'利物浦第39分钟险些破门，菲尔米诺禁区左侧边缘传中，本特克近距离推射被切赫神勇扑出
40'角球给到了前点，队友的低射被切赫再次用脚挡出底线                   39'利物浦第39分钟险些破门，菲尔米诺禁区左侧边缘传中，本特克近距离推射被切赫神勇扑出
40'这段时间，阿森纳太被动了                   39'利物浦第39分钟险些破门，菲尔米诺禁区左侧边缘传中，本特克近距离推射被切赫神勇扑出
41'卢卡斯后场防守厄齐尔的时候犯规                   39'利物浦第39分钟险些破门，菲尔米诺禁区左侧边缘传中，本特克近距离推射被切赫神勇扑出
41'阿森纳右路任意球送禁区后点                   39'利物浦第39分钟险些破门，菲尔米诺禁区左侧边缘传中，本特克近距离推射被切赫神勇扑出
41'这球送的太深被米尼奥莱得到                   39'利物浦第39分钟险些破门，菲尔米诺禁区左侧边缘传中，本特克近距离推射被切赫神勇扑出
42'本特克禁区前沿接球时候先越位                   39'利物浦第39分钟险些破门，菲尔米诺禁区左侧边缘传中，本特克近距离推射被切赫神勇扑出
60'卡拉索前场拿球分边                   60'阿森纳第60分钟也险些破门，卡索拉传球，吉鲁背身横敲，桑切斯禁区左肋劲射击中近角立柱外侧弹出
60'卡拉索左路拿球给到禁区中路                   60'阿森纳第60分钟也险些破门，卡索拉传球，吉鲁背身横敲，桑切斯禁区左肋劲射击中近角立柱外侧弹出
61'吉鲁倒地传球给到插上的桑切斯                   60'阿森纳第60分钟也险些破门，卡索拉传球，吉鲁背身横敲，桑切斯禁区左肋劲射击中近角立柱外侧弹出
61'桑切斯禁区内劲射打在门柱的外侧！                   60'阿森纳第60分钟也险些破门，卡索拉传球，吉鲁背身横敲，桑切斯禁区左肋劲射击中近角立柱外侧弹出
61'今天的门框跟两队都过不去啊                   60'阿森纳第60分钟也险些破门，卡索拉传球，吉鲁背身横敲，桑切斯禁区左肋劲射击中近角立柱外侧弹出
61'桑切斯拿球被斯科特尔放倒                   60'阿森纳第60分钟也险些破门，卡索拉传球，吉鲁背身横敲，桑切斯禁区左肋劲射击中近角立柱外侧弹出
61'斯科特尔得到一张黄牌！                   60'阿森纳第60分钟也险些破门，卡索拉传球，吉鲁背身横敲，桑切斯禁区左肋劲射击中近角立柱外侧弹出
62'本场比赛的第一张黄牌                   60'阿森纳第60分钟也险些破门，卡索拉传球，吉鲁背身横敲，桑切斯禁区左肋劲射击中近角立柱外侧弹出
62'卡拉索任意球送前点                   60'阿森纳第60分钟也险些破门，卡索拉传球，吉鲁背身横敲，桑切斯禁区左肋劲射击中近角立柱外侧弹出
62'阿森纳这边没有拿到第一点                   60'阿森纳第60分钟也险些破门，卡索拉传球，吉鲁背身横敲，桑切斯禁区左肋劲射击中近角立柱外侧弹出
63'利物浦换人，菲尔米诺下，艾比上！                   60'阿森纳第60分钟也险些破门，卡索拉传球，吉鲁背身横敲，桑切斯禁区左肋劲射击中近角立柱外侧弹出
70'吉鲁停球后倒地滑铲被米尼奥莱飞身扑出！！                   70'阿森纳第70分钟再次错过机会，拉姆塞传球，吉鲁小禁区边缘的近距离捅射也被米尼奥莱神勇扑出
70'近在咫尺的攻门啊                   70'阿森纳第70分钟再次错过机会，拉姆塞传球，吉鲁小禁区边缘的近距离捅射也被米尼奥莱神勇扑出
70'两队的门将今天的表现都是非常出色                   70'阿森纳第70分钟再次错过机会，拉姆塞传球，吉鲁小禁区边缘的近距离捅射也被米尼奥莱神勇扑出
70'桑切斯这边想玩花活失误了                   70'阿森纳第70分钟再次错过机会，拉姆塞传球，吉鲁小禁区边缘的近距离捅射也被米尼奥莱神勇扑出
71'米尔纳禁区外围打远射                   70'阿森纳第70分钟再次错过机会，拉姆塞传球，吉鲁小禁区边缘的近距离捅射也被米尼奥莱神勇扑出
71'切赫稳稳的将球抱在怀里                   70'阿森纳第70分钟再次错过机会，拉姆塞传球，吉鲁小禁区边缘的近距离捅射也被米尼奥莱神勇扑出
72'拉姆塞禁区外围搓远角弧线                   70'阿森纳第70分钟再次错过机会，拉姆塞传球，吉鲁小禁区边缘的近距离捅射也被米尼奥莱神勇扑出
72'这球米尼奥莱飞身将球摘得                   70'阿森纳第70分钟再次错过机会，拉姆塞传球，吉鲁小禁区边缘的近距离捅射也被米尼奥莱神勇扑出
73'阿森纳换人，吉鲁下，沃尔科特上！                   70'阿森纳第70分钟再次错过机会，拉姆塞传球，吉鲁小禁区边缘的近距离捅射也被米尼奥莱神勇扑出
