2'开场后，皇马在中前场的逼抢很积极啊                   2'开场仅2分钟，C-罗纳尔多左路内切后低射偏出
27'马蒂厄后场拿球，伊瓜因逼抢时将球碰出边线                   25'第25分钟，瓦伦西亚解围角球，拉斯-迪亚拉传球，阿隆索大禁区左上角外弧线球射远角稍稍偏出
28'西瓜今天在前场的活动范围很大，拼的也很积极                   25'第25分钟，瓦伦西亚解围角球，拉斯-迪亚拉传球，阿隆索大禁区左上角外弧线球射远角稍稍偏出
28'瓦伦西亚过顶球打身后，瓜尔达多左边路拿球传中                   25'第25分钟，瓦伦西亚解围角球，拉斯-迪亚拉传球，阿隆索大禁区左上角外弧线球射远角稍稍偏出
35'马蒂厄后场直接大脚将球踢到前场右路，可惜瓜尔达多没能拿到                   35'第35分钟，C-罗纳尔多直传，科恩特朗突入禁区左侧小角度射门打在边网
35'皇马后场起球，伊瓜因头球摆渡给到C罗                   35'第35分钟，C-罗纳尔多直传，科恩特朗突入禁区左侧小角度射门打在边网
35'C罗拿球斜传给到插上的科恩特朗                   35'第35分钟，C-罗纳尔多直传，科恩特朗突入禁区左侧小角度射门打在边网
36'科恩特朗拿球进入禁区，在很对方的比拼中，没能形成打门，球被对方捅出底线                   35'第35分钟，C-罗纳尔多直传，科恩特朗突入禁区左侧小角度射门打在边网
36'皇马获得左侧角球机会                   35'第35分钟，C-罗纳尔多直传，科恩特朗突入禁区左侧小角度射门打在边网
36'角球开出，被瓦伦西亚球员解围                   35'第35分钟，C-罗纳尔多直传，科恩特朗突入禁区左侧小角度射门打在边网
36'瓦伦西亚中场传球失误，迪亚拉抢断给到迪马利亚                   35'第35分钟，C-罗纳尔多直传，科恩特朗突入禁区左侧小角度射门打在边网
37'迪马利亚拿球斜传给到C罗                   35'第35分钟，C-罗纳尔多直传，科恩特朗突入禁区左侧小角度射门打在边网
37'C罗禁区内拿球回敲给到禁区线上的厄齐尔                   35'第35分钟，C-罗纳尔多直传，科恩特朗突入禁区左侧小角度射门打在边网
38'厄齐尔右脚打门，只能是个高射炮啊                   35'第35分钟，C-罗纳尔多直传，科恩特朗突入禁区左侧小角度射门打在边网
38'随着比赛的深入，瓦伦西亚越来越没办法了                   35'第35分钟，C-罗纳尔多直传，科恩特朗突入禁区左侧小角度射门打在边网
50'索尔达多禁区外的拿球，在出球一瞬间倒地啦                   50'第50分钟，索尔达多受伤倒地，皇马球员仍拿球继续比赛，鲁伊斯铲倒伊瓜因被罚黄牌
50'球也是进了禁区，被卡西利亚斯没收                   50'第50分钟，索尔达多受伤倒地，皇马球员仍拿球继续比赛，鲁伊斯铲倒伊瓜因被罚黄牌
51'裁判没有表示，皇马反击                   50'第50分钟，索尔达多受伤倒地，皇马球员仍拿球继续比赛，鲁伊斯铲倒伊瓜因被罚黄牌
51'鲁伊斯防守伊瓜因时的放铲，犯规                   50'第50分钟，索尔达多受伤倒地，皇马球员仍拿球继续比赛，鲁伊斯铲倒伊瓜因被罚黄牌
51'鲁伊斯被裁判出示黄牌警告                   50'第50分钟，索尔达多受伤倒地，皇马球员仍拿球继续比赛，鲁伊斯铲倒伊瓜因被罚黄牌
51'索尔达多还倒在皇马禁区外，队医进场查看                   50'第50分钟，索尔达多受伤倒地，皇马球员仍拿球继续比赛，鲁伊斯铲倒伊瓜因被罚黄牌
52'索尔达多下场接受治疗，比赛继续                   50'第50分钟，索尔达多受伤倒地，皇马球员仍拿球继续比赛，鲁伊斯铲倒伊瓜因被罚黄牌
52'皇马获得禁区右上角的任意球机会                   50'第50分钟，索尔达多受伤倒地，皇马球员仍拿球继续比赛，鲁伊斯铲倒伊瓜因被罚黄牌
52'阿隆索任意球开到后点，可惜队友越位在先                   50'第50分钟，索尔达多受伤倒地，皇马球员仍拿球继续比赛，鲁伊斯铲倒伊瓜因被罚黄牌
52'索尔达多也是重新回到了场上                   50'第50分钟，索尔达多受伤倒地，皇马球员仍拿球继续比赛，鲁伊斯铲倒伊瓜因被罚黄牌
53'瓦伦西亚左路的低平球到禁区，卡西利亚斯倒地将球没收                   50'第50分钟，索尔达多受伤倒地，皇马球员仍拿球继续比赛，鲁伊斯铲倒伊瓜因被罚黄牌
53'瓦伦西亚左路的直传球，阿韦罗亚上抢将球解围出边线                   50'第50分钟，索尔达多受伤倒地，皇马球员仍拿球继续比赛，鲁伊斯铲倒伊瓜因被罚黄牌
56'在抢第二落点时，倒在了禁区里                   56'争议镜头出现在第56分钟，蒂诺-科斯塔直传，索尔达多晃过卡西利亚斯破门，但却因越位在先被判无效
56'皇马球员认为佩雷拉有拉人动作，可是裁判继续无动于衷                   56'争议镜头出现在第56分钟，蒂诺-科斯塔直传，索尔达多晃过卡西利亚斯破门，但却因越位在先被判无效
56'阿隆索的防守，身后踢倒了加戈                   56'争议镜头出现在第56分钟，蒂诺-科斯塔直传，索尔达多晃过卡西利亚斯破门，但却因越位在先被判无效
57'瓦伦西亚前场直塞球打后卫身后，索尔达多拿球单刀啦                   56'争议镜头出现在第56分钟，蒂诺-科斯塔直传，索尔达多晃过卡西利亚斯破门，但却因越位在先被判无效
57'可惜此时裁判哨响了，判罚索尔达多越位啦                   56'争议镜头出现在第56分钟，蒂诺-科斯塔直传，索尔达多晃过卡西利亚斯破门，但却因越位在先被判无效
58'瓦伦西亚主教练站起来抗议，主裁判给其最后的口头警告                   56'争议镜头出现在第56分钟，蒂诺-科斯塔直传，索尔达多晃过卡西利亚斯破门，但却因越位在先被判无效
58'瓦伦西亚刚刚的这球，慢镜回放好像不越位哦                   56'争议镜头出现在第56分钟，蒂诺-科斯塔直传，索尔达多晃过卡西利亚斯破门，但却因越位在先被判无效
59'迪亚拉后场抢断，将球分给右路的阿韦罗亚                   56'争议镜头出现在第56分钟，蒂诺-科斯塔直传，索尔达多晃过卡西利亚斯破门，但却因越位在先被判无效
59'阿韦罗亚拿球到了前场传后点，可惜力量过大                   56'争议镜头出现在第56分钟，蒂诺-科斯塔直传，索尔达多晃过卡西利亚斯破门，但却因越位在先被判无效
61'皇马前场传球失误，瓦伦西亚的反击                   61'第61分钟，本泽马替换拉斯-迪亚拉出场
61'瓦伦西亚后场直传球找霍纳斯，可惜后者再被吹越位                   61'第61分钟，本泽马替换拉斯-迪亚拉出场
62'皇马再次换人，迪亚拉被本泽马换下                   61'第61分钟，本泽马替换拉斯-迪亚拉出场
62'皇马换下一名防守型后腰，换上前锋，加强进攻啦                   61'第61分钟，本泽马替换拉斯-迪亚拉出场
62'C罗禁区左路拿球，连续的摆脱后横传中路                   61'第61分钟，本泽马替换拉斯-迪亚拉出场
63'科斯塔在厄齐尔之前将球解围                   61'第61分钟，本泽马替换拉斯-迪亚拉出场
63'阿隆索中场抢断，斜传球给到C罗                   61'第61分钟，本泽马替换拉斯-迪亚拉出场
64'C罗拿球1队1，面对佩雷拉的防守强突                   61'第61分钟，本泽马替换拉斯-迪亚拉出场
64'C罗陪佩雷拉放倒，阻挡犯规                   61'第61分钟，本泽马替换拉斯-迪亚拉出场
64'皇马获得禁区左侧任意球机会                   61'第61分钟，本泽马替换拉斯-迪亚拉出场
64'阿隆索任意球直接拨给禁区弧顶的C罗                   61'第61分钟，本泽马替换拉斯-迪亚拉出场
65'C罗得球禁区线上的打门，被瓦伦西亚上抢球员挡出                   65'皇马第65分钟险些破门，迪马利亚挑传，伊瓜因10码处冲顶憾中横梁
65'阿尔比奥尔前场传球到禁区，阿尔维斯将球扑出                   65'皇马第65分钟险些破门，迪马利亚挑传，伊瓜因10码处冲顶憾中横梁
65'费古利前场拿球，斜传后卫身后再次失误                   65'皇马第65分钟险些破门，迪马利亚挑传，伊瓜因10码处冲顶憾中横梁
66'迪马利亚的传中，伊瓜因头球攻门击中横梁弹出                   65'皇马第65分钟险些破门，迪马利亚挑传，伊瓜因10码处冲顶憾中横梁
66'非常好的机会，可惜啦                   65'皇马第65分钟险些破门，迪马利亚挑传，伊瓜因10码处冲顶憾中横梁
66'瓦伦西亚做出人员调整，皮亚蒂换下瓜尔达多                   65'皇马第65分钟险些破门，迪马利亚挑传，伊瓜因10码处冲顶憾中横梁
67'双方的射门次数目前皇马13-4遥遥领先                   65'皇马第65分钟险些破门，迪马利亚挑传，伊瓜因10码处冲顶憾中横梁
68'皇马前场抢断，迪马利亚直传球给到厄齐尔                   65'皇马第65分钟险些破门，迪马利亚挑传，伊瓜因10码处冲顶憾中横梁
68'厄齐尔拿球进入禁区，面对阿尔维斯的封堵，直接一脚怒射，被阿尔维斯奋力扑出                   65'皇马第65分钟险些破门，迪马利亚挑传，伊瓜因10码处冲顶憾中横梁
68'厄齐尔得到第二落点，回敲给到迪马利亚                   65'皇马第65分钟险些破门，迪马利亚挑传，伊瓜因10码处冲顶憾中横梁
67'双方的射门次数目前皇马13-4遥遥领先                   67'第67分钟，迪马利亚传球，厄齐尔禁区左侧16码处劲射被迭戈-阿尔维斯扑出
68'皇马前场抢断，迪马利亚直传球给到厄齐尔                   67'第67分钟，迪马利亚传球，厄齐尔禁区左侧16码处劲射被迭戈-阿尔维斯扑出
68'厄齐尔拿球进入禁区，面对阿尔维斯的封堵，直接一脚怒射，被阿尔维斯奋力扑出                   67'第67分钟，迪马利亚传球，厄齐尔禁区左侧16码处劲射被迭戈-阿尔维斯扑出
68'厄齐尔得到第二落点，回敲给到迪马利亚                   67'第67分钟，迪马利亚传球，厄齐尔禁区左侧16码处劲射被迭戈-阿尔维斯扑出
69'迪马利亚拿球进入禁区，佩雷拉将球解围出底线                   67'第67分钟，迪马利亚传球，厄齐尔禁区左侧16码处劲射被迭戈-阿尔维斯扑出
69'皇马获得左侧角球机会                   67'第67分钟，迪马利亚传球，厄齐尔禁区左侧16码处劲射被迭戈-阿尔维斯扑出
69'角球开到后点，第一点被瓦伦西亚球员解围                   67'第67分钟，迪马利亚传球，厄齐尔禁区左侧16码处劲射被迭戈-阿尔维斯扑出
69'不过第二落点还在皇马球员脚下，伊瓜因禁区左侧拿球内切，赢得角球机会                   67'第67分钟，迪马利亚传球，厄齐尔禁区左侧16码处劲射被迭戈-阿尔维斯扑出
70'皇马右侧角球开出，没能形成威胁                   67'第67分钟，迪马利亚传球，厄齐尔禁区左侧16码处劲射被迭戈-阿尔维斯扑出
70'阿韦罗亚禁区右侧传中到后点，伊瓜因用头将球一点                   67'第67分钟，迪马利亚传球，厄齐尔禁区左侧16码处劲射被迭戈-阿尔维斯扑出
46'佩雷拉后场拿球，面对C罗的逼抢，佩雷拉自己脚下打滑                   46'1分钟后，科恩特朗左路突破受阻，本泽马禁区左侧12码处劲射被迭戈-阿尔维斯扑出
46'佩雷拉将球直接踢出了边线，可怜的心理啊                   46'1分钟后，科恩特朗左路突破受阻，本泽马禁区左侧12码处劲射被迭戈-阿尔维斯扑出
46'上半场补时3分钟                   46'1分钟后，科恩特朗左路突破受阻，本泽马禁区左侧12码处劲射被迭戈-阿尔维斯扑出
47'佩雷拉后场起球到前场找费古利，可惜力量过大，直接出边线                   46'1分钟后，科恩特朗左路突破受阻，本泽马禁区左侧12码处劲射被迭戈-阿尔维斯扑出
48'瓦伦西亚之前几次出征伯纳乌还没有取得进球，今天已经进步啦                   46'1分钟后，科恩特朗左路突破受阻，本泽马禁区左侧12码处劲射被迭戈-阿尔维斯扑出
48'皇马前场连续的传递没机会，将球回传到后场                   46'1分钟后，科恩特朗左路突破受阻，本泽马禁区左侧12码处劲射被迭戈-阿尔维斯扑出
49'佩佩大脚开到前场，被瓦伦西亚球员抢断                   46'1分钟后，科恩特朗左路突破受阻，本泽马禁区左侧12码处劲射被迭戈-阿尔维斯扑出
49'后场起球到前场给到费古利                   46'1分钟后，科恩特朗左路突破受阻，本泽马禁区左侧12码处劲射被迭戈-阿尔维斯扑出
49'费古利拿球下底传中，被拉莫斯将球挡出底线                   46'1分钟后，科恩特朗左路突破受阻，本泽马禁区左侧12码处劲射被迭戈-阿尔维斯扑出
49'瓦伦西亚右侧角球机会，不过没能形成威胁                   46'1分钟后，科恩特朗左路突破受阻，本泽马禁区左侧12码处劲射被迭戈-阿尔维斯扑出
46'下半场比赛开始，皇马开球                   46'1分钟后，科恩特朗左路突破受阻，本泽马禁区左侧12码处劲射被迭戈-阿尔维斯扑出
47'游客1619:卡西没事吧？（没大事，不过看起来有点萌的感觉）                   46'1分钟后，科恩特朗左路突破受阻，本泽马禁区左侧12码处劲射被迭戈-阿尔维斯扑出
48'科恩特朗前场右路拿球下底                   46'1分钟后，科恩特朗左路突破受阻，本泽马禁区左侧12码处劲射被迭戈-阿尔维斯扑出
48'可惜自己趟球过大，直接出了底线                   46'1分钟后，科恩特朗左路突破受阻，本泽马禁区左侧12码处劲射被迭戈-阿尔维斯扑出
48'瓦伦西亚后场直塞球打后卫身后，费古利越位在先                   46'1分钟后，科恩特朗左路突破受阻，本泽马禁区左侧12码处劲射被迭戈-阿尔维斯扑出
49'皇马左路的进攻，瓦伦西亚球员将球解围出边线                   46'1分钟后，科恩特朗左路突破受阻，本泽马禁区左侧12码处劲射被迭戈-阿尔维斯扑出
49'C罗出来发边线球了，很少见哦                   46'1分钟后，科恩特朗左路突破受阻，本泽马禁区左侧12码处劲射被迭戈-阿尔维斯扑出
49'魔力鸟也是站在了场边来指挥比赛了，看来很紧张啊，毕竟是新赛季首演                   46'1分钟后，科恩特朗左路突破受阻，本泽马禁区左侧12码处劲射被迭戈-阿尔维斯扑出
73'皇马前场进攻，本泽马禁区外的突施冷箭，直接放了飞机                   73'第73分钟，C-罗纳尔多传球，本泽马远射偏出
73'皇马球员有点着急了                   73'第73分钟，C-罗纳尔多传球，本泽马远射偏出
74'魔力鸟站到场边，来提醒队员要稳住                   73'第73分钟，C-罗纳尔多传球，本泽马远射偏出
74'阿隆索中场拼抢时身后拉倒了帕雷霍                   73'第73分钟，C-罗纳尔多传球，本泽马远射偏出
75'阿隆索被裁判出示黄牌警告                   73'第73分钟，C-罗纳尔多传球，本泽马远射偏出
75'瓦伦西亚任意球吊到禁区弧顶，皮亚蒂的打门踢飞了                   73'第73分钟，C-罗纳尔多传球，本泽马远射偏出
76'下半场比赛也已经来到了30分钟，比分还是1-1                   73'第73分钟，C-罗纳尔多传球，本泽马远射偏出
76'皇马现在是形成了围攻之势，但是只开花不结果啊                   73'第73分钟，C-罗纳尔多传球，本泽马远射偏出
46'佩雷拉后场拿球，面对C罗的逼抢，佩雷拉自己脚下打滑                   46'1分钟后，C-罗纳尔多禁区左侧传中，本泽马16码处劲射再被迭戈-阿尔维斯扑出
46'佩雷拉将球直接踢出了边线，可怜的心理啊                   46'1分钟后，C-罗纳尔多禁区左侧传中，本泽马16码处劲射再被迭戈-阿尔维斯扑出
46'上半场补时3分钟                   46'1分钟后，C-罗纳尔多禁区左侧传中，本泽马16码处劲射再被迭戈-阿尔维斯扑出
47'佩雷拉后场起球到前场找费古利，可惜力量过大，直接出边线                   46'1分钟后，C-罗纳尔多禁区左侧传中，本泽马16码处劲射再被迭戈-阿尔维斯扑出
48'瓦伦西亚之前几次出征伯纳乌还没有取得进球，今天已经进步啦                   46'1分钟后，C-罗纳尔多禁区左侧传中，本泽马16码处劲射再被迭戈-阿尔维斯扑出
48'皇马前场连续的传递没机会，将球回传到后场                   46'1分钟后，C-罗纳尔多禁区左侧传中，本泽马16码处劲射再被迭戈-阿尔维斯扑出
49'佩佩大脚开到前场，被瓦伦西亚球员抢断                   46'1分钟后，C-罗纳尔多禁区左侧传中，本泽马16码处劲射再被迭戈-阿尔维斯扑出
49'后场起球到前场给到费古利                   46'1分钟后，C-罗纳尔多禁区左侧传中，本泽马16码处劲射再被迭戈-阿尔维斯扑出
49'费古利拿球下底传中，被拉莫斯将球挡出底线                   46'1分钟后，C-罗纳尔多禁区左侧传中，本泽马16码处劲射再被迭戈-阿尔维斯扑出
49'瓦伦西亚右侧角球机会，不过没能形成威胁                   46'1分钟后，C-罗纳尔多禁区左侧传中，本泽马16码处劲射再被迭戈-阿尔维斯扑出
46'下半场比赛开始，皇马开球                   46'1分钟后，C-罗纳尔多禁区左侧传中，本泽马16码处劲射再被迭戈-阿尔维斯扑出
47'游客1619:卡西没事吧？（没大事，不过看起来有点萌的感觉）                   46'1分钟后，C-罗纳尔多禁区左侧传中，本泽马16码处劲射再被迭戈-阿尔维斯扑出
48'科恩特朗前场右路拿球下底                   46'1分钟后，C-罗纳尔多禁区左侧传中，本泽马16码处劲射再被迭戈-阿尔维斯扑出
48'可惜自己趟球过大，直接出了底线                   46'1分钟后，C-罗纳尔多禁区左侧传中，本泽马16码处劲射再被迭戈-阿尔维斯扑出
48'瓦伦西亚后场直塞球打后卫身后，费古利越位在先                   46'1分钟后，C-罗纳尔多禁区左侧传中，本泽马16码处劲射再被迭戈-阿尔维斯扑出
49'皇马左路的进攻，瓦伦西亚球员将球解围出边线                   46'1分钟后，C-罗纳尔多禁区左侧传中，本泽马16码处劲射再被迭戈-阿尔维斯扑出
49'C罗出来发边线球了，很少见哦                   46'1分钟后，C-罗纳尔多禁区左侧传中，本泽马16码处劲射再被迭戈-阿尔维斯扑出
49'魔力鸟也是站在了场边来指挥比赛了，看来很紧张啊，毕竟是新赛季首演                   46'1分钟后，C-罗纳尔多禁区左侧传中，本泽马16码处劲射再被迭戈-阿尔维斯扑出
