7'界外球扔出来！迪涅控制下来！传中球被奥里吉解围                   7'沃尔科特开场7分钟的战术犯规被罚黄牌
59'西古德森分边路插上迪涅！大脚开出去！                   57'第57分钟，马蒂普长传，萨拉赫带球突进至小禁区右上角外，基恩抢先捅出皮球解围
59'这个球被利物浦球员碰出了边线                   57'第57分钟，马蒂普长传，萨拉赫带球突进至小禁区右上角外，基恩抢先捅出皮球解围
60'埃弗顿这边换人，换下沃尔科特，换上理查利森                   57'第57分钟，马蒂普长传，萨拉赫带球突进至小禁区右上角外，基恩抢先捅出皮球解围
60'看回比赛吧！！利物浦后场球                   57'第57分钟，马蒂普长传，萨拉赫带球突进至小禁区右上角外，基恩抢先捅出皮球解围
69'再给中路跟进米尔纳！！一脚兜射！！                   69'第69分钟，范戴克任意球混战中头球摆渡，法比尼奥大腿停球稍大，迪涅小禁区右侧抢先解围
69'打在防守球员身上出了底线，角球！                   69'第69分钟，范戴克任意球混战中头球摆渡，法比尼奥大腿停球稍大，迪涅小禁区右侧抢先解围
69'战术角球开出来！罗伯逊传中球到禁区                   69'第69分钟，范戴克任意球混战中头球摆渡，法比尼奥大腿停球稍大，迪涅小禁区右侧抢先解围
70'法比尼奥乱战中一脚打门！竟然被迪涅挡出去了                   69'第69分钟，范戴克任意球混战中头球摆渡，法比尼奥大腿停球稍大，迪涅小禁区右侧抢先解围
70'米尔纳前场低平球传中。被解围出去                   69'第69分钟，范戴克任意球混战中头球摆渡，法比尼奥大腿停球稍大，迪涅小禁区右侧抢先解围
71'利物浦带球反击！被拦截下来，伯纳德自己带球向前                   69'第69分钟，范戴克任意球混战中头球摆渡，法比尼奥大腿停球稍大，迪涅小禁区右侧抢先解围
71'利物浦很快反抢下来！找前场右侧萨拉赫                   69'第69分钟，范戴克任意球混战中头球摆渡，法比尼奥大腿停球稍大，迪涅小禁区右侧抢先解围
72'大禁区线一脚兜射！！被没收了！                   69'第69分钟，范戴克任意球混战中头球摆渡，法比尼奥大腿停球稍大，迪涅小禁区右侧抢先解围
