2'陆博飞前场禁区前沿的转移送大了                   2'第2分钟刘建业禁区外左路胸部卸球后起脚凌空抽射打高
17'孙可右路传球质量很高                   17'第17分钟耶夫蒂奇左路带球内切后横拨，陆博飞怒射打高
17'但第一点被申花队解围                   17'第17分钟耶夫蒂奇左路带球内切后横拨，陆博飞怒射打高
18'哈蒂布禁区外围远射被埃雷尔森挡下                   17'第17分钟耶夫蒂奇左路带球内切后横拨，陆博飞怒射打高
18'舜天这边快速反击打到禁区前沿                   17'第17分钟耶夫蒂奇左路带球内切后横拨，陆博飞怒射打高
18'陆博飞禁区弧顶的远射将球打高                   17'第17分钟耶夫蒂奇左路带球内切后横拨，陆博飞怒射打高
19'耶夫蒂奇前场突破被防守球员碰了一下                   17'第17分钟耶夫蒂奇左路带球内切后横拨，陆博飞怒射打高
19'达迪前场拿球分到边路                   17'第17分钟耶夫蒂奇左路带球内切后横拨，陆博飞怒射打高
20'柏佳骏左路传球被舜天顶了出来                   17'第17分钟耶夫蒂奇左路带球内切后横拨，陆博飞怒射打高
26'申花队大范围转移送到了前场                   26'比赛僵持到第26分钟，局面被动的申花队突然打进一个精彩进球，徐亮左路直塞，助攻上前的柏佳骏左路下底传中，达迪在埃雷尔森干扰下，非常漂亮的使出“剪刀脚”，用脚后跟磕球入门，1比1，申花队扳平比分
26'上半场比赛进行了25分钟，场上的比分是舜天1-0领先申花                   26'比赛僵持到第26分钟，局面被动的申花队突然打进一个精彩进球，徐亮左路直塞，助攻上前的柏佳骏左路下底传中，达迪在埃雷尔森干扰下，非常漂亮的使出“剪刀脚”，用脚后跟磕球入门，1比1，申花队扳平比分
27'申花队进球了！！                   26'比赛僵持到第26分钟，局面被动的申花队突然打进一个精彩进球，徐亮左路直塞，助攻上前的柏佳骏左路下底传中，达迪在埃雷尔森干扰下，非常漂亮的使出“剪刀脚”，用脚后跟磕球入门，1比1，申花队扳平比分
27'达迪！！                   26'比赛僵持到第26分钟，局面被动的申花队突然打进一个精彩进球，徐亮左路直塞，助攻上前的柏佳骏左路下底传中，达迪在埃雷尔森干扰下，非常漂亮的使出“剪刀脚”，用脚后跟磕球入门，1比1，申花队扳平比分
29'徐亮前场送斜线给到舜天身后，柏佳骏左路禁区内得球后直接将球低平球送到中路，达迪插上后打门攻入邓小飞把守的球门                   26'比赛僵持到第26分钟，局面被动的申花队突然打进一个精彩进球，徐亮左路直塞，助攻上前的柏佳骏左路下底传中，达迪在埃雷尔森干扰下，非常漂亮的使出“剪刀脚”，用脚后跟磕球入门，1比1，申花队扳平比分
29'达迪前场拿球分到了边路                   26'比赛僵持到第26分钟，局面被动的申花队突然打进一个精彩进球，徐亮左路直塞，助攻上前的柏佳骏左路下底传中，达迪在埃雷尔森干扰下，非常漂亮的使出“剪刀脚”，用脚后跟磕球入门，1比1，申花队扳平比分
31'申花后场的回传险些让王大雷犯难                   31'第31分钟，江苏队通过边路两侧连续进攻，先是刘建业左侧禁区外抽射被王大雷扑出，江苏队右路再次起球到禁区，戴琳防守中用手拽倒耶夫蒂奇，又一个点球
31'好在王大雷机智将球解围出了禁区                   31'第31分钟，江苏队通过边路两侧连续进攻，先是刘建业左侧禁区外抽射被王大雷扑出，江苏队右路再次起球到禁区，戴琳防守中用手拽倒耶夫蒂奇，又一个点球
31'任航带球突破被莫雷诺铲断                   31'第31分钟，江苏队通过边路两侧连续进攻，先是刘建业左侧禁区外抽射被王大雷扑出，江苏队右路再次起球到禁区，戴琳防守中用手拽倒耶夫蒂奇，又一个点球
32'紧接着戴琳的滑铲将球解围出禁区                   31'第31分钟，江苏队通过边路两侧连续进攻，先是刘建业左侧禁区外抽射被王大雷扑出，江苏队右路再次起球到禁区，戴琳防守中用手拽倒耶夫蒂奇，又一个点球
32'舜天队禁区外围的远射被王大雷扑出                   31'第31分钟，江苏队通过边路两侧连续进攻，先是刘建业左侧禁区外抽射被王大雷扑出，江苏队右路再次起球到禁区，戴琳防守中用手拽倒耶夫蒂奇，又一个点球
32'舜天右路传球送到禁区内                   31'第31分钟，江苏队通过边路两侧连续进攻，先是刘建业左侧禁区外抽射被王大雷扑出，江苏队右路再次起球到禁区，戴琳防守中用手拽倒耶夫蒂奇，又一个点球
32'舜天又获得点球！！                   31'第31分钟，江苏队通过边路两侧连续进攻，先是刘建业左侧禁区外抽射被王大雷扑出，江苏队右路再次起球到禁区，戴琳防守中用手拽倒耶夫蒂奇，又一个点球
32'戴琳禁区内抢位置的时候手上有动作！！                   31'第31分钟，江苏队通过边路两侧连续进攻，先是刘建业左侧禁区外抽射被王大雷扑出，江苏队右路再次起球到禁区，戴琳防守中用手拽倒耶夫蒂奇，又一个点球
33'陆博飞再次站在了球前                   31'第31分钟，江苏队通过边路两侧连续进攻，先是刘建业左侧禁区外抽射被王大雷扑出，江苏队右路再次起球到禁区，戴琳防守中用手拽倒耶夫蒂奇，又一个点球
34'主裁判刚刚也是掏出了黄牌，不知道这是给谁的                   31'第31分钟，江苏队通过边路两侧连续进攻，先是刘建业左侧禁区外抽射被王大雷扑出，江苏队右路再次起球到禁区，戴琳防守中用手拽倒耶夫蒂奇，又一个点球
34'刚刚裁判吹了点球后也是有多名申花球员上前交涉                   31'第31分钟，江苏队通过边路两侧连续进攻，先是刘建业左侧禁区外抽射被王大雷扑出，江苏队右路再次起球到禁区，戴琳防守中用手拽倒耶夫蒂奇，又一个点球
36'申花队右路横敲被断抢                   36'落后的申花只能积极进攻，第36分钟莫雷诺精彩穿档过人后射门，但被江苏后卫合力挡出
36'中场，申花队从陆博飞脚下断球                   36'落后的申花只能积极进攻，第36分钟莫雷诺精彩穿档过人后射门，但被江苏后卫合力挡出
37'哈蒂布右路底线突破不成功                   36'落后的申花只能积极进攻，第36分钟莫雷诺精彩穿档过人后射门，但被江苏后卫合力挡出
37'申花队将球转移到了左路                   36'落后的申花只能积极进攻，第36分钟莫雷诺精彩穿档过人后射门，但被江苏后卫合力挡出
38'申花右路禁区内拿球越位了                   36'落后的申花只能积极进攻，第36分钟莫雷诺精彩穿档过人后射门，但被江苏后卫合力挡出
38'孙可右路传球送到禁区内                   36'落后的申花只能积极进攻，第36分钟莫雷诺精彩穿档过人后射门，但被江苏后卫合力挡出
39'李建滨解围的时候打在了手臂上                   36'落后的申花只能积极进攻，第36分钟莫雷诺精彩穿档过人后射门，但被江苏后卫合力挡出
39'主裁判也是没有给点球                   36'落后的申花只能积极进攻，第36分钟莫雷诺精彩穿档过人后射门，但被江苏后卫合力挡出
39'应该是个无意的手球                   36'落后的申花只能积极进攻，第36分钟莫雷诺精彩穿档过人后射门，但被江苏后卫合力挡出
42'斯基亚维也是得到一张黄牌                   42'第42分钟申花队快速反击，曹S定带球狂冲大半场，但最后一脚射门前被一路跟随的耶夫蒂奇推倒，江苏队立刻反攻，徐亮中场放铲吃到黄牌
43'李建滨抢球对萨利赫犯规                   42'第42分钟申花队快速反击，曹S定带球狂冲大半场，但最后一脚射门前被一路跟随的耶夫蒂奇推倒，江苏队立刻反攻，徐亮中场放铲吃到黄牌
43'陆博飞任意球送到禁区内，申花队大脚将球解围                   42'第42分钟申花队快速反击，曹S定带球狂冲大半场，但最后一脚射门前被一路跟随的耶夫蒂奇推倒，江苏队立刻反攻，徐亮中场放铲吃到黄牌
43'曹赟定前场带球后射门，结果在射门的瞬间被拉倒了                   42'第42分钟申花队快速反击，曹S定带球狂冲大半场，但最后一脚射门前被一路跟随的耶夫蒂奇推倒，江苏队立刻反攻，徐亮中场放铲吃到黄牌
43'裁判并没有犯规                   42'第42分钟申花队快速反击，曹S定带球狂冲大半场，但最后一脚射门前被一路跟随的耶夫蒂奇推倒，江苏队立刻反攻，徐亮中场放铲吃到黄牌
44'徐亮中场滑铲亮鞋底得到一张黄牌！                   42'第42分钟申花队快速反击，曹S定带球狂冲大半场，但最后一脚射门前被一路跟随的耶夫蒂奇推倒，江苏队立刻反攻，徐亮中场放铲吃到黄牌
44'莫雷诺受伤倒地                   42'第42分钟申花队快速反击，曹S定带球狂冲大半场，但最后一脚射门前被一路跟随的耶夫蒂奇推倒，江苏队立刻反攻，徐亮中场放铲吃到黄牌
45'申花任意球送到禁区内，球砸在埃雷尔森腿上出了底线                   42'第42分钟申花队快速反击，曹S定带球狂冲大半场，但最后一脚射门前被一路跟随的耶夫蒂奇推倒，江苏队立刻反攻，徐亮中场放铲吃到黄牌
51'李建滨后场防守压人犯规                   51'第51分钟刘建业禁区外右脚发跑直接打高
52'任意球送到禁区前沿被挡了下来                   51'第51分钟刘建业禁区外右脚发跑直接打高
52'禁区外围刘建业的远射威胁不大                   51'第51分钟刘建业禁区外右脚发跑直接打高
53'任航后场接球的时候有手球嫌疑                   51'第51分钟刘建业禁区外右脚发跑直接打高
54'但裁判没有判罚                   51'第51分钟刘建业禁区外右脚发跑直接打高
54'申花队教练组也是给主裁判进行施压                   51'第51分钟刘建业禁区外右脚发跑直接打高
53'任航后场接球的时候有手球嫌疑                   53'第53分钟柏佳骏右路拿球，直接侧转身凌空扫射低平球，邓小飞把球扑出底线
54'但裁判没有判罚                   53'第53分钟柏佳骏右路拿球，直接侧转身凌空扫射低平球，邓小飞把球扑出底线
54'申花队教练组也是给主裁判进行施压                   53'第53分钟柏佳骏右路拿球，直接侧转身凌空扫射低平球，邓小飞把球扑出底线
55'柏佳骏禁区前沿转身抽射被邓小飞扑出底线                   53'第53分钟柏佳骏右路拿球，直接侧转身凌空扫射低平球，邓小飞把球扑出底线
55'申花角球给到中路                   53'第53分钟柏佳骏右路拿球，直接侧转身凌空扫射低平球，邓小飞把球扑出底线
55'斯基亚维头球攻门将球顶偏                   53'第53分钟柏佳骏右路拿球，直接侧转身凌空扫射低平球，邓小飞把球扑出底线
56'舜天队中场拿球打到边路                   53'第53分钟柏佳骏右路拿球，直接侧转身凌空扫射低平球，邓小飞把球扑出底线
56'舜天右路起球送到禁区内                   53'第53分钟柏佳骏右路拿球，直接侧转身凌空扫射低平球，邓小飞把球扑出底线
56'舜天队中场拿球打到边路                   56'第56分钟刘建业右路起球，耶夫蒂奇倚靠戴琳，拼命跃起头球被王大雷得到
56'舜天右路起球送到禁区内                   56'第56分钟刘建业右路起球，耶夫蒂奇倚靠戴琳，拼命跃起头球被王大雷得到
57'耶夫蒂奇头球攻门顶得太正被王大雷得到                   56'第56分钟刘建业右路起球，耶夫蒂奇倚靠戴琳，拼命跃起头球被王大雷得到
57'王寿挺争抢头球的时候自己摔了一下                   56'第56分钟刘建业右路起球，耶夫蒂奇倚靠戴琳，拼命跃起头球被王大雷得到
58'王寿挺起身后也是示意对方手上有动作                   56'第56分钟刘建业右路起球，耶夫蒂奇倚靠戴琳，拼命跃起头球被王大雷得到
58'刘建业中场挑传送到前场                   56'第56分钟刘建业右路起球，耶夫蒂奇倚靠戴琳，拼命跃起头球被王大雷得到
58'斯基亚维先出一脚将球解围出底线                   56'第56分钟刘建业右路起球，耶夫蒂奇倚靠戴琳，拼命跃起头球被王大雷得到
58'舜天战术角球开出                   56'第56分钟刘建业右路起球，耶夫蒂奇倚靠戴琳，拼命跃起头球被王大雷得到
59'再往后点送，这球没有威胁                   56'第56分钟刘建业右路起球，耶夫蒂奇倚靠戴琳，拼命跃起头球被王大雷得到
59'陆博飞左路拿球突破到禁区后分球                   56'第56分钟刘建业右路起球，耶夫蒂奇倚靠戴琳，拼命跃起头球被王大雷得到
59'任航左路兜了一脚远射，球是打高了                   56'第56分钟刘建业右路起球，耶夫蒂奇倚靠戴琳，拼命跃起头球被王大雷得到
59'再往后点送，这球没有威胁                   59'59分钟李建滨处理球失误，萨利赫一路带球到底线零角度似传似射被王大雷得到
59'陆博飞左路拿球突破到禁区后分球                   59'59分钟李建滨处理球失误，萨利赫一路带球到底线零角度似传似射被王大雷得到
59'任航左路兜了一脚远射，球是打高了                   59'59分钟李建滨处理球失误，萨利赫一路带球到底线零角度似传似射被王大雷得到
60'李建滨处理球有些失误                   59'59分钟李建滨处理球失误，萨利赫一路带球到底线零角度似传似射被王大雷得到
60'萨利赫前场得球后被逼到外线                   59'59分钟李建滨处理球失误，萨利赫一路带球到底线零角度似传似射被王大雷得到
60'最后的传球被王大雷得到                   59'59分钟李建滨处理球失误，萨利赫一路带球到底线零角度似传似射被王大雷得到
60'耶夫蒂奇前场直塞送到禁区内                   59'59分钟李建滨处理球失误，萨利赫一路带球到底线零角度似传似射被王大雷得到
61'任航得球后传球送到中路                   59'59分钟李建滨处理球失误，萨利赫一路带球到底线零角度似传似射被王大雷得到
61'可惜中路没有队友的接应                   59'59分钟李建滨处理球失误，萨利赫一路带球到底线零角度似传似射被王大雷得到
61'申花队中场拿球将球回敲                   59'59分钟李建滨处理球失误，萨利赫一路带球到底线零角度似传似射被王大雷得到
62'申花队前场右路拿球被侵犯                   59'59分钟李建滨处理球失误，萨利赫一路带球到底线零角度似传似射被王大雷得到
62'徐亮来主罚                   59'59分钟李建滨处理球失误，萨利赫一路带球到底线零角度似传似射被王大雷得到
61'任航得球后传球送到中路                   61'第61分钟申花获得35米开外的任意球，徐亮还是起左脚强行开打，皮球稍稍偏出门外
61'可惜中路没有队友的接应                   61'第61分钟申花获得35米开外的任意球，徐亮还是起左脚强行开打，皮球稍稍偏出门外
61'申花队中场拿球将球回敲                   61'第61分钟申花获得35米开外的任意球，徐亮还是起左脚强行开打，皮球稍稍偏出门外
62'申花队前场右路拿球被侵犯                   61'第61分钟申花获得35米开外的任意球，徐亮还是起左脚强行开打，皮球稍稍偏出门外
62'徐亮来主罚                   61'第61分钟申花获得35米开外的任意球，徐亮还是起左脚强行开打，皮球稍稍偏出门外
63'徐亮任意球直接打门，这球又差一点将球打进！                   61'第61分钟申花获得35米开外的任意球，徐亮还是起左脚强行开打，皮球稍稍偏出门外
64'孙可右路禁区内拿球后摆脱到了底线                   61'第61分钟申花获得35米开外的任意球，徐亮还是起左脚强行开打，皮球稍稍偏出门外
64'底线的传球送到后点                   61'第61分钟申花获得35米开外的任意球，徐亮还是起左脚强行开打，皮球稍稍偏出门外
64'这球给的有点大，两点都没有拿到                   61'第61分钟申花获得35米开外的任意球，徐亮还是起左脚强行开打，皮球稍稍偏出门外
71'王寿挺右路带球突破被埃雷尔森撞倒                   71'徐亮今天的任意球落点把握相当精确，第71分钟徐亮开出左路任意球，莫雷诺头球中柱弹出
71'申花队前场右路获得定位球机会                   71'徐亮今天的任意球落点把握相当精确，第71分钟徐亮开出左路任意球，莫雷诺头球中柱弹出
71'徐亮任意球给到前点                   71'徐亮今天的任意球落点把握相当精确，第71分钟徐亮开出左路任意球，莫雷诺头球中柱弹出
72'莫雷诺头球攻门顶在了横梁上！！                   71'徐亮今天的任意球落点把握相当精确，第71分钟徐亮开出左路任意球，莫雷诺头球中柱弹出
72'申花队还有角球机会                   71'徐亮今天的任意球落点把握相当精确，第71分钟徐亮开出左路任意球，莫雷诺头球中柱弹出
72'角球给到禁区内，威胁不是很大                   71'徐亮今天的任意球落点把握相当精确，第71分钟徐亮开出左路任意球，莫雷诺头球中柱弹出
73'斯基亚维底线想要角球没有成功                   71'徐亮今天的任意球落点把握相当精确，第71分钟徐亮开出左路任意球，莫雷诺头球中柱弹出
73'申花队中场断球下来                   71'徐亮今天的任意球落点把握相当精确，第71分钟徐亮开出左路任意球，莫雷诺头球中柱弹出
74'申花队在下半场比赛牢牢控制着场上的节奏                   71'徐亮今天的任意球落点把握相当精确，第71分钟徐亮开出左路任意球，莫雷诺头球中柱弹出
74'戴琳助攻上来                   71'徐亮今天的任意球落点把握相当精确，第71分钟徐亮开出左路任意球，莫雷诺头球中柱弹出
74'申花队将球回敲到后场                   71'徐亮今天的任意球落点把握相当精确，第71分钟徐亮开出左路任意球，莫雷诺头球中柱弹出
76'申花队换人，曹赟定下，王长庆上！                   76'第76分钟哈蒂布跑动中直接远射高出
77'申花队禁区外围远射高出横梁                   76'第76分钟哈蒂布跑动中直接远射高出
77'这球申花队打得有点着急                   76'第76分钟哈蒂布跑动中直接远射高出
77'申花队中场送直塞                   76'第76分钟哈蒂布跑动中直接远射高出
77'这球送的太深，达迪虽然已经跑了                   76'第76分钟哈蒂布跑动中直接远射高出
78'但还是没有赶在邓小飞出击前将球拿到                   76'第76分钟哈蒂布跑动中直接远射高出
79'孙可边路带球突破被柏佳骏放倒                   76'第76分钟哈蒂布跑动中直接远射高出
79'舜天右路任意球打到禁区内                   76'第76分钟哈蒂布跑动中直接远射高出
80'第一点被申花队头球顶出                   80'第80分钟莫雷诺铲球时膝盖受伤倒地不起，比赛暂停一小会
80'禁区外围孙可的远射将球打高                   80'第80分钟莫雷诺铲球时膝盖受伤倒地不起，比赛暂停一小会
80'舜天换人，巴力上！                   80'第80分钟莫雷诺铲球时膝盖受伤倒地不起，比赛暂停一小会
81'任航左路上来进攻，结果莫雷诺上来防守铲球后受伤                   80'第80分钟莫雷诺铲球时膝盖受伤倒地不起，比赛暂停一小会
81'应该是任航脚底刮了一下莫雷诺                   80'第80分钟莫雷诺铲球时膝盖受伤倒地不起，比赛暂停一小会
81'莫雷诺到场边接受治疗                   80'第80分钟莫雷诺铲球时膝盖受伤倒地不起，比赛暂停一小会
82'申花换人，达迪下，托兰佐上！                   80'第80分钟莫雷诺铲球时膝盖受伤倒地不起，比赛暂停一小会
87'申花换人，莫雷诺下，姜坤上！                   85'第85分钟姜坤换下莫雷诺，姜坤担任场上队长
91'吉翔左路传球送的后点                   90'第90分钟萨利赫后点强行头球顶偏，此时柏佳骏和戴琳同时倒地抽筋，所幸情况不是太严重
91'萨利赫头球顶出底线                   90'第90分钟萨利赫后点强行头球顶偏，此时柏佳骏和戴琳同时倒地抽筋，所幸情况不是太严重
91'这个时候申花队两名防守球员出现了抽筋显现                   90'第90分钟萨利赫后点强行头球顶偏，此时柏佳骏和戴琳同时倒地抽筋，所幸情况不是太严重
92'耶夫蒂奇右路一对一没有摆脱出来                   90'第90分钟萨利赫后点强行头球顶偏，此时柏佳骏和戴琳同时倒地抽筋，所幸情况不是太严重
