1'上半场比赛开始！！                   1'皇马第1分钟展开积极攻势
69'这个进球非常精彩，巴斯克斯前边的强突，速度优势很明显啊                   69'皇马第69分钟扩大比分，卢卡斯-巴斯克斯同本泽马踢墙配合后突入禁区右侧18码处劲射近角破门，2-0
70'这个进球，可以让皇马、稳定一下了！！                   69'皇马第69分钟扩大比分，卢卡斯-巴斯克斯同本泽马踢墙配合后突入禁区右侧18码处劲射近角破门，2-0
71'巴斯克斯进球后，拉莫斯上来庆祝，两人拉勾了。。                   69'皇马第69分钟扩大比分，卢卡斯-巴斯克斯同本泽马踢墙配合后突入禁区右侧18码处劲射近角破门，2-0
71'巴斯克斯前场右路强突，传中被后卫挡出底线！！                   69'皇马第69分钟扩大比分，卢卡斯-巴斯克斯同本泽马踢墙配合后突入禁区右侧18码处劲射近角破门，2-0
71'皇马右侧角球机会，开出并未形成威胁！！                   69'皇马第69分钟扩大比分，卢卡斯-巴斯克斯同本泽马踢墙配合后突入禁区右侧18码处劲射近角破门，2-0
72'潜水艇之前完成了第二个换人：10号莱奥上，换下了20号亚德里安！                   69'皇马第69分钟扩大比分，卢卡斯-巴斯克斯同本泽马踢墙配合后突入禁区右侧18码处劲射近角破门，2-0
72'皇马第一次换人：22号伊斯科上，换下了8号克罗斯！                   69'皇马第69分钟扩大比分，卢卡斯-巴斯克斯同本泽马踢墙配合后突入禁区右侧18码处劲射近角破门，2-0
72'潜水艇第三次换人：29号罗德里戈上，换下14号特里格罗斯！                   69'皇马第69分钟扩大比分，卢卡斯-巴斯克斯同本泽马踢墙配合后突入禁区右侧18码处劲射近角破门，2-0
78'本泽马前场右路背身拿球，转身分给套边上来的达尼洛，达尼洛下底传中到禁区中路，莫德里奇跟进，左脚铲射打进球门右下角！                   76'皇马第76分钟锁定胜局，本泽马直传，达尼洛右路传中，摩德里奇12码处铲射破门，3-0
79'苏亚雷斯前场左路强突，横传禁区，被回防的达尼洛拦截！                   76'皇马第76分钟锁定胜局，本泽马直传，达尼洛右路传中，摩德里奇12码处铲射破门，3-0
79'C罗之前，离场更换球衣，给助教晒晒肌肉，很欢乐啊！                   76'皇马第76分钟锁定胜局，本泽马直传，达尼洛右路传中，摩德里奇12码处铲射破门，3-0
79'皇马第二个换人：10号J罗上，换下19号莫德里奇！！                   76'皇马第76分钟锁定胜局，本泽马直传，达尼洛右路传中，摩德里奇12码处铲射破门，3-0
