1'上半场比赛开始！！                   1'曼联第1分钟展开积极攻势
71'阿尔弗雷德禁区弧顶抽射打偏                   68'曼联第68分钟遭遇打击，埃雷拉防守马尔尼时滑倒，他累计两张黄牌被罚下
71'曼联这边准备换人                   68'曼联第68分钟遭遇打击，埃雷拉防守马尔尼时滑倒，他累计两张黄牌被罚下
71'鲁尼在准备了                   68'曼联第68分钟遭遇打击，埃雷拉防守马尔尼时滑倒，他累计两张黄牌被罚下
90'博格巴左路起球送后点                   89'第89分钟，博格巴左路斜传，伊布小禁区右侧近距离捅射高出
90'伊布门前垫射居然是打高了                   89'第89分钟，博格巴左路斜传，伊布小禁区右侧近距离捅射高出
90'曼联现在已经有36脚射门了！！！                   89'第89分钟，博格巴左路斜传，伊布小禁区右侧近距离捅射高出
91'但是没有收获一粒进球                   89'第89分钟，博格巴左路斜传，伊布小禁区右侧近距离捅射高出
91'下半场补时5分钟！！                   89'第89分钟，博格巴左路斜传，伊布小禁区右侧近距离捅射高出
91'罗霍禁区外围远射，打高了                   89'第89分钟，博格巴左路斜传，伊布小禁区右侧近距离捅射高出
92'费莱尼底线背身拿球被铲倒                   89'第89分钟，博格巴左路斜传，伊布小禁区右侧近距离捅射高出
92'马尔尼得到一张黄牌！                   89'第89分钟，博格巴左路斜传，伊布小禁区右侧近距离捅射高出
92'曼联角球区附近的任意球                   89'第89分钟，博格巴左路斜传，伊布小禁区右侧近距离捅射高出
92'看看这次机会能不能把握住                   89'第89分钟，博格巴左路斜传，伊布小禁区右侧近距离捅射高出
