2'国安把球反断回来                   1'第1分钟斯威迅速展开快节奏冲击
10'斯威中场拦截球                   8'第8分钟，斯威将比分扩大：斯威前场展开快速逼抢，国安中卫张瑀向前传球时失误，彭欣力断球后直插禁区左侧，面对门将斜射破门，斯威2-0领先
10'彭欣力带球突破，内切，突然来一脚打门，将球打进                   8'第8分钟，斯威将比分扩大：斯威前场展开快速逼抢，国安中卫张瑀向前传球时失误，彭欣力断球后直插禁区左侧，面对门将斜射破门，斯威2-0领先
10'这个比赛就非常的有意思了                   8'第8分钟，斯威将比分扩大：斯威前场展开快速逼抢，国安中卫张瑀向前传球时失误，彭欣力断球后直插禁区左侧，面对门将斜射破门，斯威2-0领先
10'国安开局的失误过多让他们付出了代价                   8'第8分钟，斯威将比分扩大：斯威前场展开快速逼抢，国安中卫张瑀向前传球时失误，彭欣力断球后直插禁区左侧，面对门将斜射破门，斯威2-0领先
11'这边镜头给到，国安也进球了！！！！                   8'第8分钟，斯威将比分扩大：斯威前场展开快速逼抢，国安中卫张瑀向前传球时失误，彭欣力断球后直插禁区左侧，面对门将斜射破门，斯威2-0领先
11'神马情况                   8'第8分钟，斯威将比分扩大：斯威前场展开快速逼抢，国安中卫张瑀向前传球时失误，彭欣力断球后直插禁区左侧，面对门将斜射破门，斯威2-0领先
11'感觉有点来不及了                   8'第8分钟，斯威将比分扩大：斯威前场展开快速逼抢，国安中卫张瑀向前传球时失误，彭欣力断球后直插禁区左侧，面对门将斜射破门，斯威2-0领先
9'OK，继续看比赛把                   9'第9分钟，国安凭借快速配合扳回一球：奥古斯托将球分向中路后迅速前插，比埃拉将球塞入禁区，奥古斯托快节奏停球调整后面对门将挑射破门，他打入本赛季首粒入球
9'斯威的进攻                   9'第9分钟，国安凭借快速配合扳回一球：奥古斯托将球分向中路后迅速前插，比埃拉将球塞入禁区，奥古斯托快节奏停球调整后面对门将挑射破门，他打入本赛季首粒入球
9'啊，又进球了！！！！！！！！                   9'第9分钟，国安凭借快速配合扳回一球：奥古斯托将球分向中路后迅速前插，比埃拉将球塞入禁区，奥古斯托快节奏停球调整后面对门将挑射破门，他打入本赛季首粒入球
10'斯威中场拦截球                   9'第9分钟，国安凭借快速配合扳回一球：奥古斯托将球分向中路后迅速前插，比埃拉将球塞入禁区，奥古斯托快节奏停球调整后面对门将挑射破门，他打入本赛季首粒入球
10'彭欣力带球突破，内切，突然来一脚打门，将球打进                   9'第9分钟，国安凭借快速配合扳回一球：奥古斯托将球分向中路后迅速前插，比埃拉将球塞入禁区，奥古斯托快节奏停球调整后面对门将挑射破门，他打入本赛季首粒入球
10'这个比赛就非常的有意思了                   9'第9分钟，国安凭借快速配合扳回一球：奥古斯托将球分向中路后迅速前插，比埃拉将球塞入禁区，奥古斯托快节奏停球调整后面对门将挑射破门，他打入本赛季首粒入球
10'国安开局的失误过多让他们付出了代价                   9'第9分钟，国安凭借快速配合扳回一球：奥古斯托将球分向中路后迅速前插，比埃拉将球塞入禁区，奥古斯托快节奏停球调整后面对门将挑射破门，他打入本赛季首粒入球
11'这边镜头给到，国安也进球了！！！！                   9'第9分钟，国安凭借快速配合扳回一球：奥古斯托将球分向中路后迅速前插，比埃拉将球塞入禁区，奥古斯托快节奏停球调整后面对门将挑射破门，他打入本赛季首粒入球
11'神马情况                   9'第9分钟，国安凭借快速配合扳回一球：奥古斯托将球分向中路后迅速前插，比埃拉将球塞入禁区，奥古斯托快节奏停球调整后面对门将挑射破门，他打入本赛季首粒入球
11'感觉有点来不及了                   9'第9分钟，国安凭借快速配合扳回一球：奥古斯托将球分向中路后迅速前插，比埃拉将球塞入禁区，奥古斯托快节奏停球调整后面对门将挑射破门，他打入本赛季首粒入球
12'前场奥古斯托的进球，他和比埃拉的配合，随后奥古斯托直接将球打进                   9'第9分钟，国安凭借快速配合扳回一球：奥古斯托将球分向中路后迅速前插，比埃拉将球塞入禁区，奥古斯托快节奏停球调整后面对门将挑射破门，他打入本赛季首粒入球
12'这比赛真是十分的精彩呀                   9'第9分钟，国安凭借快速配合扳回一球：奥古斯托将球分向中路后迅速前插，比埃拉将球塞入禁区，奥古斯托快节奏停球调整后面对门将挑射破门，他打入本赛季首粒入球
12'可以，不亏不亏                   9'第9分钟，国安凭借快速配合扳回一球：奥古斯托将球分向中路后迅速前插，比埃拉将球塞入禁区，奥古斯托快节奏停球调整后面对门将挑射破门，他打入本赛季首粒入球
12'开场11分钟就3个进球                   9'第9分钟，国安凭借快速配合扳回一球：奥古斯托将球分向中路后迅速前插，比埃拉将球塞入禁区，奥古斯托快节奏停球调整后面对门将挑射破门，他打入本赛季首粒入球
12'可以说看的非常爽了                   9'第9分钟，国安凭借快速配合扳回一球：奥古斯托将球分向中路后迅速前插，比埃拉将球塞入禁区，奥古斯托快节奏停球调整后面对门将挑射破门，他打入本赛季首粒入球
12'OK，OK，我们继续看比赛把                   9'第9分钟，国安凭借快速配合扳回一球：奥古斯托将球分向中路后迅速前插，比埃拉将球塞入禁区，奥古斯托快节奏停球调整后面对门将挑射破门，他打入本赛季首粒入球
12'国安的进攻                   9'第9分钟，国安凭借快速配合扳回一球：奥古斯托将球分向中路后迅速前插，比埃拉将球塞入禁区，奥古斯托快节奏停球调整后面对门将挑射破门，他打入本赛季首粒入球
12'前场奥古斯托的进球，他和比埃拉的配合，随后奥古斯托直接将球打进                   12'第12分钟，巴坎布接应左路传中在门前包抄破门，边裁判定越位，裁判根据慢镜头回放确认越位判罚，入球无效
12'这比赛真是十分的精彩呀                   12'第12分钟，巴坎布接应左路传中在门前包抄破门，边裁判定越位，裁判根据慢镜头回放确认越位判罚，入球无效
12'可以，不亏不亏                   12'第12分钟，巴坎布接应左路传中在门前包抄破门，边裁判定越位，裁判根据慢镜头回放确认越位判罚，入球无效
12'开场11分钟就3个进球                   12'第12分钟，巴坎布接应左路传中在门前包抄破门，边裁判定越位，裁判根据慢镜头回放确认越位判罚，入球无效
12'可以说看的非常爽了                   12'第12分钟，巴坎布接应左路传中在门前包抄破门，边裁判定越位，裁判根据慢镜头回放确认越位判罚，入球无效
12'OK，OK，我们继续看比赛把                   12'第12分钟，巴坎布接应左路传中在门前包抄破门，边裁判定越位，裁判根据慢镜头回放确认越位判罚，入球无效
12'国安的进攻                   12'第12分钟，巴坎布接应左路传中在门前包抄破门，边裁判定越位，裁判根据慢镜头回放确认越位判罚，入球无效
13'奥古斯托拿球                   12'第12分钟，巴坎布接应左路传中在门前包抄破门，边裁判定越位，裁判根据慢镜头回放确认越位判罚，入球无效
14'这边国安又进球了！！！！！！！                   12'第12分钟，巴坎布接应左路传中在门前包抄破门，边裁判定越位，裁判根据慢镜头回放确认越位判罚，入球无效
14'巴坎布的射门将球打入球网                   12'第12分钟，巴坎布接应左路传中在门前包抄破门，边裁判定越位，裁判根据慢镜头回放确认越位判罚，入球无效
14'但是裁判哨响，越位了                   12'第12分钟，巴坎布接应左路传中在门前包抄破门，边裁判定越位，裁判根据慢镜头回放确认越位判罚，入球无效
14'这很可惜呀                   12'第12分钟，巴坎布接应左路传中在门前包抄破门，边裁判定越位，裁判根据慢镜头回放确认越位判罚，入球无效
15'进球无效                   12'第12分钟，巴坎布接应左路传中在门前包抄破门，边裁判定越位，裁判根据慢镜头回放确认越位判罚，入球无效
15'慢镜头回放，看的不是很清楚，应该是手臂有越位把                   12'第12分钟，巴坎布接应左路传中在门前包抄破门，边裁判定越位，裁判根据慢镜头回放确认越位判罚，入球无效
15'看的不是太清楚                   12'第12分钟，巴坎布接应左路传中在门前包抄破门，边裁判定越位，裁判根据慢镜头回放确认越位判罚，入球无效
15'OK，还是看比赛把                   12'第12分钟，巴坎布接应左路传中在门前包抄破门，边裁判定越位，裁判根据慢镜头回放确认越位判罚，入球无效
15'这边国安有人倒地了                   12'第12分钟，巴坎布接应左路传中在门前包抄破门，边裁判定越位，裁判根据慢镜头回放确认越位判罚，入球无效
16'队医进来出来一下                   16'第16分钟，冯劲左路传中，卡尔德克前点头球顶偏
16'处理一下                   16'第16分钟，冯劲左路传中，卡尔德克前点头球顶偏
17'OK继续看比赛                   16'第16分钟，冯劲左路传中，卡尔德克前点头球顶偏
17'现在斯威的进攻                   16'第16分钟，冯劲左路传中，卡尔德克前点头球顶偏
17'卡尔德克前场的停球直接出界了                   16'第16分钟，冯劲左路传中，卡尔德克前点头球顶偏
17'大脚将球开出来                   16'第16分钟，冯劲左路传中，卡尔德克前点头球顶偏
17'小摩托拿球                   16'第16分钟，冯劲左路传中，卡尔德克前点头球顶偏
18'突破，球被挡出了底线                   16'第16分钟，冯劲左路传中，卡尔德克前点头球顶偏
18'角球机会                   16'第16分钟，冯劲左路传中，卡尔德克前点头球顶偏
19'战术角球                   16'第16分钟，冯劲左路传中，卡尔德克前点头球顶偏
19'角球开到禁区，球被解围出来                   16'第16分钟，冯劲左路传中，卡尔德克前点头球顶偏
19'外围还是斯威控制球                   16'第16分钟，冯劲左路传中，卡尔德克前点头球顶偏
19'被犯规了                   16'第16分钟，冯劲左路传中，卡尔德克前点头球顶偏
19'任意球机会                   16'第16分钟，冯劲左路传中，卡尔德克前点头球顶偏
19'战术角球                   19'第19分钟，斯威再次入球：崔永哲左路前插赢得任意球，费尔南迪尼奥将球传入禁区，卡尔德克前点争顶头球破门，将比分扩大为3-1
19'角球开到禁区，球被解围出来                   19'第19分钟，斯威再次入球：崔永哲左路前插赢得任意球，费尔南迪尼奥将球传入禁区，卡尔德克前点争顶头球破门，将比分扩大为3-1
19'外围还是斯威控制球                   19'第19分钟，斯威再次入球：崔永哲左路前插赢得任意球，费尔南迪尼奥将球传入禁区，卡尔德克前点争顶头球破门，将比分扩大为3-1
19'被犯规了                   19'第19分钟，斯威再次入球：崔永哲左路前插赢得任意球，费尔南迪尼奥将球传入禁区，卡尔德克前点争顶头球破门，将比分扩大为3-1
19'任意球机会                   19'第19分钟，斯威再次入球：崔永哲左路前插赢得任意球，费尔南迪尼奥将球传入禁区，卡尔德克前点争顶头球破门，将比分扩大为3-1
20'进球了！！！！！！！！！！！！                   19'第19分钟，斯威再次入球：崔永哲左路前插赢得任意球，费尔南迪尼奥将球传入禁区，卡尔德克前点争顶头球破门，将比分扩大为3-1
20'费尔南迪尼奥任意球直接开到禁区，卡尔德克的打门把球打进                   19'第19分钟，斯威再次入球：崔永哲左路前插赢得任意球，费尔南迪尼奥将球传入禁区，卡尔德克前点争顶头球破门，将比分扩大为3-1
20'重庆进攻今天很顺呀                   19'第19分钟，斯威再次入球：崔永哲左路前插赢得任意球，费尔南迪尼奥将球传入禁区，卡尔德克前点争顶头球破门，将比分扩大为3-1
21'OK，继续看比赛把                   19'第19分钟，斯威再次入球：崔永哲左路前插赢得任意球，费尔南迪尼奥将球传入禁区，卡尔德克前点争顶头球破门，将比分扩大为3-1
21'王国安的进攻                   19'第19分钟，斯威再次入球：崔永哲左路前插赢得任意球，费尔南迪尼奥将球传入禁区，卡尔德克前点争顶头球破门，将比分扩大为3-1
21'韦世豪带球突破，球被切了                   19'第19分钟，斯威再次入球：崔永哲左路前插赢得任意球，费尔南迪尼奥将球传入禁区，卡尔德克前点争顶头球破门，将比分扩大为3-1
22'反抢直接犯规了                   19'第19分钟，斯威再次入球：崔永哲左路前插赢得任意球，费尔南迪尼奥将球传入禁区，卡尔德克前点争顶头球破门，将比分扩大为3-1
22'反抢直接犯规了                   22'第22分钟，刘乐带球进入前场，韦世豪再次于侧后位置放铲犯规，领到黄牌同时韦世豪腿部还出现伤情，一时非常痛苦
24'韦世豪还吃到了黄牌，没跑，破坏了转换进攻                   22'第22分钟，刘乐带球进入前场，韦世豪再次于侧后位置放铲犯规，领到黄牌同时韦世豪腿部还出现伤情，一时非常痛苦
24'中场争球                   22'第22分钟，刘乐带球进入前场，韦世豪再次于侧后位置放铲犯规，领到黄牌同时韦世豪腿部还出现伤情，一时非常痛苦
24'球出界了                   22'第22分钟，刘乐带球进入前场，韦世豪再次于侧后位置放铲犯规，领到黄牌同时韦世豪腿部还出现伤情，一时非常痛苦
24'国安这边有人倒地了                   22'第22分钟，刘乐带球进入前场，韦世豪再次于侧后位置放铲犯规，领到黄牌同时韦世豪腿部还出现伤情，一时非常痛苦
25'韦世豪呀                   22'第22分钟，刘乐带球进入前场，韦世豪再次于侧后位置放铲犯规，领到黄牌同时韦世豪腿部还出现伤情，一时非常痛苦
25'队医稍微处理下                   22'第22分钟，刘乐带球进入前场，韦世豪再次于侧后位置放铲犯规，领到黄牌同时韦世豪腿部还出现伤情，一时非常痛苦
25'斯威进攻                   22'第22分钟，刘乐带球进入前场，韦世豪再次于侧后位置放铲犯规，领到黄牌同时韦世豪腿部还出现伤情，一时非常痛苦
29'中场争抢球                   29'第29分钟，国安将比分扳为2-3：李磊左路传中被唐家庶挡起，皮球折线来到门前，刘宇与巴坎布抢点中均将球漏过，朴成包抄到位将皮球挡入球门
29'国安拿球                   29'第29分钟，国安将比分扳为2-3：李磊左路传中被唐家庶挡起，皮球折线来到门前，刘宇与巴坎布抢点中均将球漏过，朴成包抄到位将皮球挡入球门
30'奥古斯托前场拿球                   29'第29分钟，国安将比分扳为2-3：李磊左路传中被唐家庶挡起，皮球折线来到门前，刘宇与巴坎布抢点中均将球漏过，朴成包抄到位将皮球挡入球门
31'进球了！！！                   29'第29分钟，国安将比分扳为2-3：李磊左路传中被唐家庶挡起，皮球折线来到门前，刘宇与巴坎布抢点中均将球漏过，朴成包抄到位将皮球挡入球门
32'奥古斯托分球插上的李磊，李磊往禁区里传，朴成冲进来将球打进                   29'第29分钟，国安将比分扳为2-3：李磊左路传中被唐家庶挡起，皮球折线来到门前，刘宇与巴坎布抢点中均将球漏过，朴成包抄到位将皮球挡入球门
32'OK，我们继续看比赛                   29'第29分钟，国安将比分扳为2-3：李磊左路传中被唐家庶挡起，皮球折线来到门前，刘宇与巴坎布抢点中均将球漏过，朴成包抄到位将皮球挡入球门
32'国安进攻                   29'第29分钟，国安将比分扳为2-3：李磊左路传中被唐家庶挡起，皮球折线来到门前，刘宇与巴坎布抢点中均将球漏过，朴成包抄到位将皮球挡入球门
42'网络卡了不好意思                   42'第42分钟，费尔南迪尼奥任意球打高
42'现在是斯威进攻                   42'第42分钟，费尔南迪尼奥任意球打高
42'费尔南多和冯劲之间的配合                   42'第42分钟，费尔南迪尼奥任意球打高
42'被犯规了                   42'第42分钟，费尔南迪尼奥任意球打高
43'斯威的任意球机会                   42'第42分钟，费尔南迪尼奥任意球打高
43'费尔南迪尼奥直接选择了打门呀                   42'第42分钟，费尔南迪尼奥任意球打高
43'稍稍打高了                   42'第42分钟，费尔南迪尼奥任意球打高
44'国安的进攻                   42'第42分钟，费尔南迪尼奥任意球打高
44'李磊继续把球往禁区里传，球被顶出来了                   42'第42分钟，费尔南迪尼奥任意球打高
44'外围国安继续将球传禁区                   42'第42分钟，费尔南迪尼奥任意球打高
45'球被解围出来                   42'第42分钟，费尔南迪尼奥任意球打高
45'解围出了底线                   42'第42分钟，费尔南迪尼奥任意球打高
45'国安角球机会                   42'第42分钟，费尔南迪尼奥任意球打高
45'角球开出来                   42'第42分钟，费尔南迪尼奥任意球打高
45'后点，球被解围出来                   42'第42分钟，费尔南迪尼奥任意球打高
45'斯威立马转换进攻                   42'第42分钟，费尔南迪尼奥任意球打高
45'费尔南迪尼奥被犯规了                   42'第42分钟，费尔南迪尼奥任意球打高
50'国安角球机会                   50'就在刘乐于场下治疗时，国安在第50分钟将比分扳平：国安角球传中被斯威防线顶出，姜涛将球重新吊入禁区，张瑀反越位得球摆渡向中路，巴坎布肩部停球后将皮球送入球门
51'角球开出来                   50'就在刘乐于场下治疗时，国安在第50分钟将比分扳平：国安角球传中被斯威防线顶出，姜涛将球重新吊入禁区，张瑀反越位得球摆渡向中路，巴坎布肩部停球后将皮球送入球门
51'球被解围出来                   50'就在刘乐于场下治疗时，国安在第50分钟将比分扳平：国安角球传中被斯威防线顶出，姜涛将球重新吊入禁区，张瑀反越位得球摆渡向中路，巴坎布肩部停球后将皮球送入球门
51'奥古斯托拿球                   50'就在刘乐于场下治疗时，国安在第50分钟将比分扳平：国安角球传中被斯威防线顶出，姜涛将球重新吊入禁区，张瑀反越位得球摆渡向中路，巴坎布肩部停球后将皮球送入球门
51'进球了！！！！！！！！！                   50'就在刘乐于场下治疗时，国安在第50分钟将比分扳平：国安角球传中被斯威防线顶出，姜涛将球重新吊入禁区，张瑀反越位得球摆渡向中路，巴坎布肩部停球后将皮球送入球门
52'奥古斯托分球李磊，传球禁区，巴坎布把球打进                   50'就在刘乐于场下治疗时，国安在第50分钟将比分扳平：国安角球传中被斯威防线顶出，姜涛将球重新吊入禁区，张瑀反越位得球摆渡向中路，巴坎布肩部停球后将皮球送入球门
52'国安扳平了比分                   50'就在刘乐于场下治疗时，国安在第50分钟将比分扳平：国安角球传中被斯威防线顶出，姜涛将球重新吊入禁区，张瑀反越位得球摆渡向中路，巴坎布肩部停球后将皮球送入球门
53'OK，继续看比赛                   50'就在刘乐于场下治疗时，国安在第50分钟将比分扳平：国安角球传中被斯威防线顶出，姜涛将球重新吊入禁区，张瑀反越位得球摆渡向中路，巴坎布肩部停球后将皮球送入球门
57'朴成拿球传球禁区                   57'国安继续主动冲击，第57分钟，比埃拉禁区内凌空弹射被隋维杰托出横梁
57'比埃拉拿球，来一脚打门                   57'国安继续主动冲击，第57分钟，比埃拉禁区内凌空弹射被隋维杰托出横梁
58'球被挡出了底线                   57'国安继续主动冲击，第57分钟，比埃拉禁区内凌空弹射被隋维杰托出横梁
58'角球机会                   57'国安继续主动冲击，第57分钟，比埃拉禁区内凌空弹射被隋维杰托出横梁
58'角球开出来                   57'国安继续主动冲击，第57分钟，比埃拉禁区内凌空弹射被隋维杰托出横梁
58'球被解围出来                   57'国安继续主动冲击，第57分钟，比埃拉禁区内凌空弹射被隋维杰托出横梁
58'转换进攻走起来                   57'国安继续主动冲击，第57分钟，比埃拉禁区内凌空弹射被隋维杰托出横梁
58'费尔南多分冯劲，来一脚打门                   57'国安继续主动冲击，第57分钟，比埃拉禁区内凌空弹射被隋维杰托出横梁
58'打高了呀                   57'国安继续主动冲击，第57分钟，比埃拉禁区内凌空弹射被隋维杰托出横梁
59'奥古斯托前场拿球                   57'国安继续主动冲击，第57分钟，比埃拉禁区内凌空弹射被隋维杰托出横梁
59'送出直塞球，被拦截了呀                   57'国安继续主动冲击，第57分钟，比埃拉禁区内凌空弹射被隋维杰托出横梁
60'斯威的长传球，也是被拦截了                   57'国安继续主动冲击，第57分钟，比埃拉禁区内凌空弹射被隋维杰托出横梁
62'中场奥古斯托将球控制下来                   62'第62分钟，彭欣力中场抢断后形成反击，他在禁区线附近攻门稍稍打偏
63'朴成前场的传球，失误了                   62'第62分钟，彭欣力中场抢断后形成反击，他在禁区线附近攻门稍稍打偏
63'转换进攻                   62'第62分钟，彭欣力中场抢断后形成反击，他在禁区线附近攻门稍稍打偏
63'彭欣力带球突破，外围突施冷箭呀                   62'第62分钟，彭欣力中场抢断后形成反击，他在禁区线附近攻门稍稍打偏
63'打偏了                   62'第62分钟，彭欣力中场抢断后形成反击，他在禁区线附近攻门稍稍打偏
63'这边国安换人                   62'第62分钟，彭欣力中场抢断后形成反击，他在禁区线附近攻门稍稍打偏
63'于大宝上了，换下了韦世豪                   62'第62分钟，彭欣力中场抢断后形成反击，他在禁区线附近攻门稍稍打偏
63'奥古斯托前场拿球                   62'第62分钟，彭欣力中场抢断后形成反击，他在禁区线附近攻门稍稍打偏
64'往禁区里传球，球被解围出了底线                   62'第62分钟，彭欣力中场抢断后形成反击，他在禁区线附近攻门稍稍打偏
64'角球机会                   62'第62分钟，彭欣力中场抢断后形成反击，他在禁区线附近攻门稍稍打偏
64'战术角球，球还是直接传禁区呀                   62'第62分钟，彭欣力中场抢断后形成反击，他在禁区线附近攻门稍稍打偏
64'球被顶出来                   62'第62分钟，彭欣力中场抢断后形成反击，他在禁区线附近攻门稍稍打偏
63'朴成前场的传球，失误了                   63'第63分钟，比埃拉左路摆脱进入禁区，底线前扫传门前被隋维杰挡出
63'转换进攻                   63'第63分钟，比埃拉左路摆脱进入禁区，底线前扫传门前被隋维杰挡出
63'彭欣力带球突破，外围突施冷箭呀                   63'第63分钟，比埃拉左路摆脱进入禁区，底线前扫传门前被隋维杰挡出
63'打偏了                   63'第63分钟，比埃拉左路摆脱进入禁区，底线前扫传门前被隋维杰挡出
63'这边国安换人                   63'第63分钟，比埃拉左路摆脱进入禁区，底线前扫传门前被隋维杰挡出
63'于大宝上了，换下了韦世豪                   63'第63分钟，比埃拉左路摆脱进入禁区，底线前扫传门前被隋维杰挡出
63'奥古斯托前场拿球                   63'第63分钟，比埃拉左路摆脱进入禁区，底线前扫传门前被隋维杰挡出
64'往禁区里传球，球被解围出了底线                   63'第63分钟，比埃拉左路摆脱进入禁区，底线前扫传门前被隋维杰挡出
64'角球机会                   63'第63分钟，比埃拉左路摆脱进入禁区，底线前扫传门前被隋维杰挡出
64'战术角球，球还是直接传禁区呀                   63'第63分钟，比埃拉左路摆脱进入禁区，底线前扫传门前被隋维杰挡出
64'球被顶出来                   63'第63分钟，比埃拉左路摆脱进入禁区，底线前扫传门前被隋维杰挡出
66'网络卡了不好意思                   63'第63分钟，比埃拉左路摆脱进入禁区，底线前扫传门前被隋维杰挡出
69'比埃拉拿球，给奥古斯托，分球插上的巴坎布，来一脚打门                   69'第69分钟，奥古斯托禁区右侧得球后顺势横敲，巴坎布近距离面对门将攻门被挡出，国安错失反超良机
69'球被扑出来了                   69'第69分钟，奥古斯托禁区右侧得球后顺势横敲，巴坎布近距离面对门将攻门被挡出，国安错失反超良机
70'前场费尔南多的传球也是被挡出来                   69'第69分钟，奥古斯托禁区右侧得球后顺势横敲，巴坎布近距离面对门将攻门被挡出，国安错失反超良机
71'奥古斯托拿球传球禁区，球被解围出来                   69'第69分钟，奥古斯托禁区右侧得球后顺势横敲，巴坎布近距离面对门将攻门被挡出，国安错失反超良机
79'国安控制球权                   79'第79分钟，比埃拉任意球攻门被隋维杰扑出底线；国安角球攻势又对禁区形成连续冲吊，巴坎布倒钩未踢正部位，慢镜头显示皮球在快速反弹中似乎打在了费尔南迪尼奥手臂上
79'前场朴成带球突破，被犯规了                   79'第79分钟，比埃拉任意球攻门被隋维杰扑出底线；国安角球攻势又对禁区形成连续冲吊，巴坎布倒钩未踢正部位，慢镜头显示皮球在快速反弹中似乎打在了费尔南迪尼奥手臂上
79'任意球机会                   79'第79分钟，比埃拉任意球攻门被隋维杰扑出底线；国安角球攻势又对禁区形成连续冲吊，巴坎布倒钩未踢正部位，慢镜头显示皮球在快速反弹中似乎打在了费尔南迪尼奥手臂上
80'朴成直接选择了打门                   79'第79分钟，比埃拉任意球攻门被隋维杰扑出底线；国安角球攻势又对禁区形成连续冲吊，巴坎布倒钩未踢正部位，慢镜头显示皮球在快速反弹中似乎打在了费尔南迪尼奥手臂上
80'球被挡出了底线                   79'第79分钟，比埃拉任意球攻门被隋维杰扑出底线；国安角球攻势又对禁区形成连续冲吊，巴坎布倒钩未踢正部位，慢镜头显示皮球在快速反弹中似乎打在了费尔南迪尼奥手臂上
81'国安角球机会                   79'第79分钟，比埃拉任意球攻门被隋维杰扑出底线；国安角球攻势又对禁区形成连续冲吊，巴坎布倒钩未踢正部位，慢镜头显示皮球在快速反弹中似乎打在了费尔南迪尼奥手臂上
81'角球开出来                   79'第79分钟，比埃拉任意球攻门被隋维杰扑出底线；国安角球攻势又对禁区形成连续冲吊，巴坎布倒钩未踢正部位，慢镜头显示皮球在快速反弹中似乎打在了费尔南迪尼奥手臂上
81'巴坎布的打门                   79'第79分钟，比埃拉任意球攻门被隋维杰扑出底线；国安角球攻势又对禁区形成连续冲吊，巴坎布倒钩未踢正部位，慢镜头显示皮球在快速反弹中似乎打在了费尔南迪尼奥手臂上
81'打偏了                   79'第79分钟，比埃拉任意球攻门被隋维杰扑出底线；国安角球攻势又对禁区形成连续冲吊，巴坎布倒钩未踢正部位，慢镜头显示皮球在快速反弹中似乎打在了费尔南迪尼奥手臂上
82'彭欣力分球卡尔德克，带球突破，没有办法了，只有来一脚，打偏了                   79'第79分钟，比埃拉任意球攻门被隋维杰扑出底线；国安角球攻势又对禁区形成连续冲吊，巴坎布倒钩未踢正部位，慢镜头显示皮球在快速反弹中似乎打在了费尔南迪尼奥手臂上
