3'卡卡面对逼抢回敲埃辛                   3'第3分钟，蒙塔内斯禁区右侧传中，但罗德里射门打歪错过机会
8'马塞洛中线位置拿球，斜长传到前场                   6'萨拉戈萨第6分钟取得领先，摩德里奇中场丢球，阿波尼奥断球直传，反越位成功的罗德里禁区边缘单刀推射破门
9'C罗插上包抄，凌空的一脚抽射，打高啦                   6'萨拉戈萨第6分钟取得领先，摩德里奇中场丢球，阿波尼奥断球直传，反越位成功的罗德里禁区边缘单刀推射破门
9'萨拉戈萨右路的进攻，瑟普纳鲁直传被迭戈-洛佩斯没收                   6'萨拉戈萨第6分钟取得领先，摩德里奇中场丢球，阿波尼奥断球直传，反越位成功的罗德里禁区边缘单刀推射破门
13'C罗前场拿球，洛文斯的上抢，直接将C罗铲翻在地                   13'第13分钟，洛文斯对C-罗纳尔多犯规被罚黄牌，葡萄牙人任意球远射偏出
13'洛文斯被裁判出示黄牌警告                   13'第13分钟，洛文斯对C-罗纳尔多犯规被罚黄牌，葡萄牙人任意球远射偏出
13'皇马获得前场的任意球机会，在C罗的射门范围内哦                   13'第13分钟，洛文斯对C-罗纳尔多犯规被罚黄牌，葡萄牙人任意球远射偏出
13'C罗的任意球低射，打偏啦                   13'第13分钟，洛文斯对C-罗纳尔多犯规被罚黄牌，葡萄牙人任意球远射偏出
14'萨拉戈萨左边路的传中，拉莫斯头球解围                   13'第13分钟，洛文斯对C-罗纳尔多犯规被罚黄牌，葡萄牙人任意球远射偏出
15'阿波诺跟上的打门，放了高射炮                   13'第13分钟，洛文斯对C-罗纳尔多犯规被罚黄牌，葡萄牙人任意球远射偏出
15'拉莫斯后场直传给到卡卡                   13'第13分钟，洛文斯对C-罗纳尔多犯规被罚黄牌，葡萄牙人任意球远射偏出
16'卡卡拿球转身，斜塞找左路插上的马塞洛，萨拉戈萨球员将球抢先挡出边线                   13'第13分钟，洛文斯对C-罗纳尔多犯规被罚黄牌，葡萄牙人任意球远射偏出
16'卡列洪中场的过顶长传，伊瓜因前插被吹越位在先                   13'第13分钟，洛文斯对C-罗纳尔多犯规被罚黄牌，葡萄牙人任意球远射偏出
27'莫德里奇任意球斜传禁区，形成混战                   27'第27分钟，摩德里奇左路任意球传中，拉莫斯小禁区前头球攻门被出击的罗贝托勉强挡出，佩佩小禁区内混战中头球攻门又被洛文斯在门线前解围
27'混战中佩佩的头球攻门，被洛文斯在球门线上解围出底线                   27'第27分钟，摩德里奇左路任意球传中，拉莫斯小禁区前头球攻门被出击的罗贝托勉强挡出，佩佩小禁区内混战中头球攻门又被洛文斯在门线前解围
28'之前拉莫斯和出击的罗伯托相撞，受伤倒地，在队医的陪伴下出场接受治疗                   27'第27分钟，摩德里奇左路任意球传中，拉莫斯小禁区前头球攻门被出击的罗贝托勉强挡出，佩佩小禁区内混战中头球攻门又被洛文斯在门线前解围
28'皇马左侧角球机会，莫德里奇主罚                   27'第27分钟，摩德里奇左路任意球传中，拉莫斯小禁区前头球攻门被出击的罗贝托勉强挡出，佩佩小禁区内混战中头球攻门又被洛文斯在门线前解围
28'开到禁区中路，罗伯托出击，双拳打出禁区                   27'第27分钟，摩德里奇左路任意球传中，拉莫斯小禁区前头球攻门被出击的罗贝托勉强挡出，佩佩小禁区内混战中头球攻门又被洛文斯在门线前解围
29'蒙塔内斯左路拿球，面对阿韦罗亚的防守强行下底                   27'第27分钟，摩德里奇左路任意球传中，拉莫斯小禁区前头球攻门被出击的罗贝托勉强挡出，佩佩小禁区内混战中头球攻门又被洛文斯在门线前解围
29'可惜最后的一脚传中，被皇马后卫轻松化解                   27'第27分钟，摩德里奇左路任意球传中，拉莫斯小禁区前头球攻门被出击的罗贝托勉强挡出，佩佩小禁区内混战中头球攻门又被洛文斯在门线前解围
30'皇马的中场直塞，冈萨雷斯倒地放铲将球解围出边线                   27'第27分钟，摩德里奇左路任意球传中，拉莫斯小禁区前头球攻门被出击的罗贝托勉强挡出，佩佩小禁区内混战中头球攻门又被洛文斯在门线前解围
30'上半场比赛30分钟，比分还是1-0，萨拉戈萨领先                   27'第27分钟，摩德里奇左路任意球传中，拉莫斯小禁区前头球攻门被出击的罗贝托勉强挡出，佩佩小禁区内混战中头球攻门又被洛文斯在门线前解围
30'伊瓜因禁区内背身拿球，接着的转身打门，被后卫挡出边线                   27'第27分钟，摩德里奇左路任意球传中，拉莫斯小禁区前头球攻门被出击的罗贝托勉强挡出，佩佩小禁区内混战中头球攻门又被洛文斯在门线前解围
38'莫德里奇前场逼抢瑟普纳鲁，迫使对手将球带出了底线                   38'皇马第38分钟扳平比分，佩佩长传令萨拉戈萨两名后卫解围失误，伊瓜因跟进传球，C-罗纳尔多面对2人强突禁区左侧12码处左脚抽射近角入网
38'进球了，C罗~~~                   38'皇马第38分钟扳平比分，佩佩长传令萨拉戈萨两名后卫解围失误，伊瓜因跟进传球，C-罗纳尔多面对2人强突禁区左侧12码处左脚抽射近角入网
39'C罗禁区内的左脚抽射进球破网，这是C罗本赛季联赛的第28粒进球                   38'皇马第38分钟扳平比分，佩佩长传令萨拉戈萨两名后卫解围失误，伊瓜因跟进传球，C-罗纳尔多面对2人强突禁区左侧12码处左脚抽射近角入网
39'送出妙传的是伊瓜因                   38'皇马第38分钟扳平比分，佩佩长传令萨拉戈萨两名后卫解围失误，伊瓜因跟进传球，C-罗纳尔多面对2人强突禁区左侧12码处左脚抽射近角入网
39'皇马的进攻再来，卡列洪的直塞                   38'皇马第38分钟扳平比分，佩佩长传令萨拉戈萨两名后卫解围失误，伊瓜因跟进传球，C-罗纳尔多面对2人强突禁区左侧12码处左脚抽射近角入网
39'裁判哨响，示意前插的卡卡越位在先                   38'皇马第38分钟扳平比分，佩佩长传令萨拉戈萨两名后卫解围失误，伊瓜因跟进传球，C-罗纳尔多面对2人强突禁区左侧12码处左脚抽射近角入网
40'马塞洛前场逼抢，瑟普纳鲁反抢将球碰出边线                   38'皇马第38分钟扳平比分，佩佩长传令萨拉戈萨两名后卫解围失误，伊瓜因跟进传球，C-罗纳尔多面对2人强突禁区左侧12码处左脚抽射近角入网
41'埃辛的头球，罗伯托的世界级扑救将球扑出                   38'皇马第38分钟扳平比分，佩佩长传令萨拉戈萨两名后卫解围失误，伊瓜因跟进传球，C-罗纳尔多面对2人强突禁区左侧12码处左脚抽射近角入网
41'精彩回放：皇马左路的斜传球到禁区，埃辛中路插上的头顶冲顶，太正，被罗伯托奋力扑出                   38'皇马第38分钟扳平比分，佩佩长传令萨拉戈萨两名后卫解围失误，伊瓜因跟进传球，C-罗纳尔多面对2人强突禁区左侧12码处左脚抽射近角入网
41'埃辛的头球，罗伯托的世界级扑救将球扑出                   41'第41分钟，马塞洛左路传中，埃辛12码处头球攻门被罗贝托飞身救出
41'精彩回放：皇马左路的斜传球到禁区，埃辛中路插上的头顶冲顶，太正，被罗伯托奋力扑出                   41'第41分钟，马塞洛左路传中，埃辛12码处头球攻门被罗贝托飞身救出
42'拉莫斯禁区外拉弓射箭，伊瓜因做了后卫，用后背将拉莫斯的射门挡出                   41'第41分钟，马塞洛左路传中，埃辛12码处头球攻门被罗贝托飞身救出
42'一家人不认一家人，下场需要好好沟通哦                   41'第41分钟，马塞洛左路传中，埃辛12码处头球攻门被罗贝托飞身救出
43'马塞洛后场拿球，波斯蒂加的上抢，身后推倒了马塞洛，犯规                   41'第41分钟，马塞洛左路传中，埃辛12码处头球攻门被罗贝托飞身救出
43'目前控球率：皇马63%对上萨拉戈萨的37%                   41'第41分钟，马塞洛左路传中，埃辛12码处头球攻门被罗贝托飞身救出
44'不知不觉上半场进入尾声，比分1-1                   41'第41分钟，马塞洛左路传中，埃辛12码处头球攻门被罗贝托飞身救出
44'波斯蒂加中路争顶，身后推倒了拉莫斯，犯规                   41'第41分钟，马塞洛左路传中，埃辛12码处头球攻门被罗贝托飞身救出
44'皇马中场失误，萨拉戈萨的反击                   41'第41分钟，马塞洛左路传中，埃辛12码处头球攻门被罗贝托飞身救出
49'伊瓜因右边路拿球内切，被莫维拉将球挡出边线                   49'皇马第49分钟错失良机，卡列洪直传，C-罗纳尔多12码处单刀射门被罗贝托用腿挡出，马塞洛小禁区边缘补射空门憾中左侧立柱弹回，埃辛禁区边缘再射偏出
49'马塞洛，立柱啊~~~                   49'皇马第49分钟错失良机，卡列洪直传，C-罗纳尔多12码处单刀射门被罗贝托用腿挡出，马塞洛小禁区边缘补射空门憾中左侧立柱弹回，埃辛禁区边缘再射偏出
50'卡列洪斜塞给到C罗，C罗得球打门被罗伯托扑出                   49'皇马第49分钟错失良机，卡列洪直传，C-罗纳尔多12码处单刀射门被罗贝托用腿挡出，马塞洛小禁区边缘补射空门憾中左侧立柱弹回，埃辛禁区边缘再射偏出
50'马塞洛跟上的补射空门，击中左侧立柱弹出                   49'皇马第49分钟错失良机，卡列洪直传，C-罗纳尔多12码处单刀射门被罗贝托用腿挡出，马塞洛小禁区边缘补射空门憾中左侧立柱弹回，埃辛禁区边缘再射偏出
50'接着埃辛的远射，又是放了高射炮                   49'皇马第49分钟错失良机，卡列洪直传，C-罗纳尔多12码处单刀射门被罗贝托用腿挡出，马塞洛小禁区边缘补射空门憾中左侧立柱弹回，埃辛禁区边缘再射偏出
50'皇马连续的三次打门，极有可能改写比分，可惜了啊                   49'皇马第49分钟错失良机，卡列洪直传，C-罗纳尔多12码处单刀射门被罗贝托用腿挡出，马塞洛小禁区边缘补射空门憾中左侧立柱弹回，埃辛禁区边缘再射偏出
51'皇马后场的过顶长传，边裁举旗，卡卡越位                   49'皇马第49分钟错失良机，卡列洪直传，C-罗纳尔多12码处单刀射门被罗贝托用腿挡出，马塞洛小禁区边缘补射空门憾中左侧立柱弹回，埃辛禁区边缘再射偏出
51'阿韦罗亚后场争顶时撞翻了罗德里，犯规                   49'皇马第49分钟错失良机，卡列洪直传，C-罗纳尔多12码处单刀射门被罗贝托用腿挡出，马塞洛小禁区边缘补射空门憾中左侧立柱弹回，埃辛禁区边缘再射偏出
51'萨拉戈萨获得前场左路的任意球机会                   49'皇马第49分钟错失良机，卡列洪直传，C-罗纳尔多12码处单刀射门被罗贝托用腿挡出，马塞洛小禁区边缘补射空门憾中左侧立柱弹回，埃辛禁区边缘再射偏出
52'阿波诺任意球传到前点，冈萨雷斯包抄打门踢偏                   49'皇马第49分钟错失良机，卡列洪直传，C-罗纳尔多12码处单刀射门被罗贝托用腿挡出，马塞洛小禁区边缘补射空门憾中左侧立柱弹回，埃辛禁区边缘再射偏出
58'莫维拉的挑传找波斯蒂加                   58'第58分钟，波斯蒂加禁区右侧追击皮球被埃辛拉倒，裁判未予理会
58'波斯蒂加头球摆渡给到罗德里                   58'第58分钟，波斯蒂加禁区右侧追击皮球被埃辛拉倒，裁判未予理会
58'罗德里背身拿球，阿韦罗亚身后上抢踢倒了罗德里，犯规                   58'第58分钟，波斯蒂加禁区右侧追击皮球被埃辛拉倒，裁判未予理会
59'萨拉戈萨再次获得前场左侧任意球                   58'第58分钟，波斯蒂加禁区右侧追击皮球被埃辛拉倒，裁判未予理会
59'任意球斜传禁区，C罗的解围                   58'第58分钟，波斯蒂加禁区右侧追击皮球被埃辛拉倒，裁判未予理会
59'不过没能解远，球还在萨拉戈萨球员脚下                   58'第58分钟，波斯蒂加禁区右侧追击皮球被埃辛拉倒，裁判未予理会
60'再次传球禁区，禁区内混战中，波斯蒂加在和埃辛的争抢中倒地                   58'第58分钟，波斯蒂加禁区右侧追击皮球被埃辛拉倒，裁判未予理会
60'不过主裁判没有表示，比赛继续                   58'第58分钟，波斯蒂加禁区右侧追击皮球被埃辛拉倒，裁判未予理会
60'罗德里中场的防守被吹犯规                   58'第58分钟，波斯蒂加禁区右侧追击皮球被埃辛拉倒，裁判未予理会
60'罗德里也是被裁判出示黄牌警告                   58'第58分钟，波斯蒂加禁区右侧追击皮球被埃辛拉倒，裁判未予理会
61'皇马换人：厄齐尔换下卡卡，迪马利亚换下卡列洪，赫迪拉换下阿韦罗亚                   58'第58分钟，波斯蒂加禁区右侧追击皮球被埃辛拉倒，裁判未予理会
61'魔力鸟一下吧三张牌全部打出来啦                   58'第58分钟，波斯蒂加禁区右侧追击皮球被埃辛拉倒，裁判未予理会
61'全场比赛61分钟了，比分还是1-1                   58'第58分钟，波斯蒂加禁区右侧追击皮球被埃辛拉倒，裁判未予理会
60'再次传球禁区，禁区内混战中，波斯蒂加在和埃辛的争抢中倒地                   60'第60分钟，厄齐尔换下阿韦罗亚，迪马利亚和赫迪拉也分别换下卡列洪和卡卡
60'不过主裁判没有表示，比赛继续                   60'第60分钟，厄齐尔换下阿韦罗亚，迪马利亚和赫迪拉也分别换下卡列洪和卡卡
60'罗德里中场的防守被吹犯规                   60'第60分钟，厄齐尔换下阿韦罗亚，迪马利亚和赫迪拉也分别换下卡列洪和卡卡
60'罗德里也是被裁判出示黄牌警告                   60'第60分钟，厄齐尔换下阿韦罗亚，迪马利亚和赫迪拉也分别换下卡列洪和卡卡
61'皇马换人：厄齐尔换下卡卡，迪马利亚换下卡列洪，赫迪拉换下阿韦罗亚                   60'第60分钟，厄齐尔换下阿韦罗亚，迪马利亚和赫迪拉也分别换下卡列洪和卡卡
61'魔力鸟一下吧三张牌全部打出来啦                   60'第60分钟，厄齐尔换下阿韦罗亚，迪马利亚和赫迪拉也分别换下卡列洪和卡卡
61'全场比赛61分钟了，比分还是1-1                   60'第60分钟，厄齐尔换下阿韦罗亚，迪马利亚和赫迪拉也分别换下卡列洪和卡卡
62'皇马的中场过顶球找C罗，边裁举旗，C罗越位在先                   60'第60分钟，厄齐尔换下阿韦罗亚，迪马利亚和赫迪拉也分别换下卡列洪和卡卡
62'目前越位对比：皇马7-0遥遥领先                   60'第60分钟，厄齐尔换下阿韦罗亚，迪马利亚和赫迪拉也分别换下卡列洪和卡卡
63'萨拉戈萨再次换人：罗德里被换下，32号维克多-罗德里格斯上                   60'第60分钟，厄齐尔换下阿韦罗亚，迪马利亚和赫迪拉也分别换下卡列洪和卡卡
63'萨拉戈萨右路的进攻赢得角球机会                   60'第60分钟，厄齐尔换下阿韦罗亚，迪马利亚和赫迪拉也分别换下卡列洪和卡卡
63'蒙塔内斯主罚，战术角球                   60'第60分钟，厄齐尔换下阿韦罗亚，迪马利亚和赫迪拉也分别换下卡列洪和卡卡
63'瑟普纳鲁的斜传球到禁区，赫迪拉头球解围                   60'第60分钟，厄齐尔换下阿韦罗亚，迪马利亚和赫迪拉也分别换下卡列洪和卡卡
79'奥里尔拿球下底传中，佩佩将球解围出边线                   79'第79分钟，蒙塔内斯左路底线附近传中，波斯蒂加小禁区右侧小角度头球攻门被迭戈-洛佩斯用身体挡出近角
79'萨拉戈萨的界外球进场，蒙塔内斯拿球                   79'第79分钟，蒙塔内斯左路底线附近传中，波斯蒂加小禁区右侧小角度头球攻门被迭戈-洛佩斯用身体挡出近角
79'蒙塔内斯拿球转身，左脚的传中到后点，波斯蒂加的头球冲顶，打在迭戈-洛佩斯身上出底线                   79'第79分钟，蒙塔内斯左路底线附近传中，波斯蒂加小禁区右侧小角度头球攻门被迭戈-洛佩斯用身体挡出近角
80'萨拉戈萨的角球机会，没能形成威胁                   79'第79分钟，蒙塔内斯左路底线附近传中，波斯蒂加小禁区右侧小角度头球攻门被迭戈-洛佩斯用身体挡出近角
81'皇马的后场抢断，再次长传球到前场                   79'第79分钟，蒙塔内斯左路底线附近传中，波斯蒂加小禁区右侧小角度头球攻门被迭戈-洛佩斯用身体挡出近角
81'C罗前插在被吹越位在先，慢镜头显示C罗至少超出后卫一个身位                   79'第79分钟，蒙塔内斯左路底线附近传中，波斯蒂加小禁区右侧小角度头球攻门被迭戈-洛佩斯用身体挡出近角
81'目前越位皇马已达9次，而萨拉戈萨还一次都没有                   79'第79分钟，蒙塔内斯左路底线附近传中，波斯蒂加小禁区右侧小角度头球攻门被迭戈-洛佩斯用身体挡出近角
84'萨拉戈萨的最后一次换人：奥里尔被换下                   84'第84分钟，萨普纳努传中，波斯蒂加头球攻门又被迭戈-洛佩斯扑出
84'换上的是18号谢尔维次                   84'第84分钟，萨普纳努传中，波斯蒂加头球攻门又被迭戈-洛佩斯扑出
85'萨拉戈萨的进攻，波斯蒂加禁区内的狮子甩头，迭戈-洛佩斯将球托出横梁                   84'第84分钟，萨普纳努传中，波斯蒂加头球攻门又被迭戈-洛佩斯扑出
85'萨拉戈萨的角球机会，可惜没能形成威胁                   84'第84分钟，萨普纳努传中，波斯蒂加头球攻门又被迭戈-洛佩斯扑出
85'全场比赛85分钟了，比分还是1-1                   84'第84分钟，萨普纳努传中，波斯蒂加头球攻门又被迭戈-洛佩斯扑出
86'迪马利亚右路拿球，强突，被冈萨雷斯放倒在地                   84'第84分钟，萨普纳努传中，波斯蒂加头球攻门又被迭戈-洛佩斯扑出
86'冈萨雷斯也是被裁判出示了黄牌警告                   84'第84分钟，萨普纳努传中，波斯蒂加头球攻门又被迭戈-洛佩斯扑出
86'皇马获得大禁区右侧端线上的任意球机会                   84'第84分钟，萨普纳努传中，波斯蒂加头球攻门又被迭戈-洛佩斯扑出
87'厄齐尔的任意球，左脚攻门，绕过人墙，同时也高出了横梁                   84'第84分钟，萨普纳努传中，波斯蒂加头球攻门又被迭戈-洛佩斯扑出
90'迪马利亚中场拿球，斜传球到前场找C罗                   90'第90分钟，迪马利亚传球，C-罗纳尔多禁区左侧的射门被罗贝托救下
90'C罗拿球，横拨，摆脱，接着右脚的抽射，罗伯托将球压在身下                   90'第90分钟，迪马利亚传球，C-罗纳尔多禁区左侧的射门被罗贝托救下
90'下半场补时4分钟                   90'第90分钟，迪马利亚传球，C-罗纳尔多禁区左侧的射门被罗贝托救下
91'莫维拉在中场争抢中被撞翻在地                   90'第90分钟，迪马利亚传球，C-罗纳尔多禁区左侧的射门被罗贝托救下
91'不过主裁判并没理睬，现场再次响起嘘声                   90'第90分钟，迪马利亚传球，C-罗纳尔多禁区左侧的射门被罗贝托救下
92'波斯蒂加中线位置接应，佩佩上抢，身后推倒了波斯蒂加，犯规                   90'第90分钟，迪马利亚传球，C-罗纳尔多禁区左侧的射门被罗贝托救下
92'波斯蒂加前场拿球，横传给到维克多-罗德里格斯                   90'第90分钟，迪马利亚传球，C-罗纳尔多禁区左侧的射门被罗贝托救下
92'维克多-罗德里格斯拿球原地摆脱，失误啦                   90'第90分钟，迪马利亚传球，C-罗纳尔多禁区左侧的射门被罗贝托救下
93'皇马的反击，C罗被放倒在地                   90'第90分钟，迪马利亚传球，C-罗纳尔多禁区左侧的射门被罗贝托救下
93'皇马前场的传接，伊瓜因又被吹了越位，全场皇马第十次越位啊                   90'第90分钟，迪马利亚传球，C-罗纳尔多禁区左侧的射门被罗贝托救下
