21'亚特兰大球员博纳文图拉大禁区中央尝试头球,可惜皮球高出球门.给他传球的是莫拉雷斯.                   20'第20分钟，米利亚乔回传失误，梅尔滕斯突入禁区斜射偏出
48'那不勒斯球员因勒拼抢犯规,对手获得控球权.                   46'1分钟后，莫拉莱斯禁区左侧下底挑传，丹尼斯射门被阿尔比奥尔挡出，但因勒鬼使神差地选择倒钩解围，又将球送入禁区，丹尼斯停球凌空抽射入网，2比0
48'莫拉雷斯为亚特兰大赢得一个任意球.                   46'1分钟后，莫拉莱斯禁区左侧下底挑传，丹尼斯射门被阿尔比奥尔挡出，但因勒鬼使神差地选择倒钩解围，又将球送入禁区，丹尼斯停球凌空抽射入网，2比0
49'Duván Zapata为那不勒斯在对方半场,赢得一个任意球.                   46'1分钟后，莫拉莱斯禁区左侧下底挑传，丹尼斯射门被阿尔比奥尔挡出，但因勒鬼使神差地选择倒钩解围，又将球送入禁区，丹尼斯停球凌空抽射入网，2比0
49'亚特兰大球员斯滕达尔多拼抢犯规,对手获得控球权.                   46'1分钟后，莫拉莱斯禁区左侧下底挑传，丹尼斯射门被阿尔比奥尔挡出，但因勒鬼使神差地选择倒钩解围，又将球送入禁区，丹尼斯停球凌空抽射入网，2比0
49'那不勒斯球员泽马伊利拼抢犯规,对手获得控球权.                   46'1分钟后，莫拉莱斯禁区左侧下底挑传，丹尼斯射门被阿尔比奥尔挡出，但因勒鬼使神差地选择倒钩解围，又将球送入禁区，丹尼斯停球凌空抽射入网，2比0
49'巴塞利为亚特兰大赢得一个任意球.                   46'1分钟后，莫拉莱斯禁区左侧下底挑传，丹尼斯射门被阿尔比奥尔挡出，但因勒鬼使神差地选择倒钩解围，又将球送入禁区，丹尼斯停球凌空抽射入网，2比0
70'斯滕达尔多为亚特兰大赢得一个任意球.                   70'第70分钟，丹尼斯头球顶入禁区右侧，费德里科-费尔南德斯意外滑倒，莫拉莱斯斜射入远角，3比0
70'那不勒斯球员因勒拼抢犯规,对手获得控球权.                   70'第70分钟，丹尼斯头球顶入禁区右侧，费德里科-费尔南德斯意外滑倒，莫拉莱斯斜射入远角，3比0
70'进球啦！！！亚特兰大球员莫拉雷斯大禁区中央右脚射门,球从左上角飞进球门,球进了!助攻的是丹尼斯. 亚特兰大 3-0 那不勒斯.                   70'第70分钟，丹尼斯头球顶入禁区右侧，费德里科-费尔南德斯意外滑倒，莫拉莱斯斜射入远角，3比0
72'亚特兰大球员莫拉雷斯拼抢犯规,对手获得控球权.                   70'第70分钟，丹尼斯头球顶入禁区右侧，费德里科-费尔南德斯意外滑倒，莫拉莱斯斜射入远角，3比0
72'弗雷罗为那不勒斯赢得一个任意球.                   70'第70分钟，丹尼斯头球顶入禁区右侧，费德里科-费尔南德斯意外滑倒，莫拉莱斯斜射入远角，3比0
72'那不勒斯球员马乔大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是卡列洪.                   70'第70分钟，丹尼斯头球顶入禁区右侧，费德里科-费尔南德斯意外滑倒，莫拉莱斯斜射入远角，3比0
73'亚特兰大球员拉伊蒙迪拼抢犯规,对手获得控球权.                   70'第70分钟，丹尼斯头球顶入禁区右侧，费德里科-费尔南德斯意外滑倒，莫拉莱斯斜射入远角，3比0
73'梅尔滕斯为那不勒斯在左路,赢得一个任意球.                   70'第70分钟，丹尼斯头球顶入禁区右侧，费德里科-费尔南德斯意外滑倒，莫拉莱斯斜射入远角，3比0
76'那不勒斯换人,古拉姆换下雷维耶                   76'第76分钟，若日尼奥禁区前沿大力抽射稍稍偏出
76'那不勒斯球员弗雷罗大禁区外尝试右脚射门,可惜皮球偏出球门.给他传球的是梅尔滕斯.                   76'第76分钟，若日尼奥禁区前沿大力抽射稍稍偏出
77'亚特兰大球员拉伊蒙迪拼抢犯规,对手获得控球权.                   76'第76分钟，若日尼奥禁区前沿大力抽射稍稍偏出
77'梅尔滕斯为那不勒斯在左路,赢得一个任意球.                   76'第76分钟，若日尼奥禁区前沿大力抽射稍稍偏出
78'西加里尼为亚特兰大赢得一个任意球.                   76'第76分钟，若日尼奥禁区前沿大力抽射稍稍偏出
78'那不勒斯球员潘德夫拼抢犯规,对手获得控球权.                   76'第76分钟，若日尼奥禁区前沿大力抽射稍稍偏出
