1'上半场由斯托克城中圈开球！                   1'切尔西第1分钟逐渐占据主动
36'长传上来，乔阿伦顶一下                   33'第33分钟，路易斯长传，科斯塔禁区内挑球过人被格兰特扑出，阿扎尔禁区左侧补射空门被格兰特神勇扑出
36'法布雷加斯铲给科斯塔                   33'第33分钟，路易斯长传，科斯塔禁区内挑球过人被格兰特扑出，阿扎尔禁区左侧补射空门被格兰特神勇扑出
36'回给威廉                   33'第33分钟，路易斯长传，科斯塔禁区内挑球过人被格兰特扑出，阿扎尔禁区左侧补射空门被格兰特神勇扑出
36'威廉的斜传给太前了，阿扎尔没有追上                   33'第33分钟，路易斯长传，科斯塔禁区内挑球过人被格兰特扑出，阿扎尔禁区左侧补射空门被格兰特神勇扑出
57'阿隆索分左路的阿扎尔                   57'切尔西第57分钟再次超出，摩西禁区右侧扣过皮特斯防守后传中，阿扎尔回敲，威廉12码处抢在3人封堵前左脚抽射入网，2-1
57'阿扎尔回给法布雷加斯                   57'切尔西第57分钟再次超出，摩西禁区右侧扣过皮特斯防守后传中，阿扎尔回敲，威廉12码处抢在3人封堵前左脚抽射入网，2-1
58'转移给摩西                   57'切尔西第57分钟再次超出，摩西禁区右侧扣过皮特斯防守后传中，阿扎尔回敲，威廉12码处抢在3人封堵前左脚抽射入网，2-1
58'摩西横传禁区，科斯塔回做，威廉左脚劲射打进球门左上角！                   57'切尔西第57分钟再次超出，摩西禁区右侧扣过皮特斯防守后传中，阿扎尔回敲，威廉12码处抢在3人封堵前左脚抽射入网，2-1
58'切尔西再度取得领先！                   57'切尔西第57分钟再次超出，摩西禁区右侧扣过皮特斯防守后传中，阿扎尔回敲，威廉12码处抢在3人封堵前左脚抽射入网，2-1
59'更正一下，做炮台的是阿扎尔不是科斯塔                   57'切尔西第57分钟再次超出，摩西禁区右侧扣过皮特斯防守后传中，阿扎尔回敲，威廉12码处抢在3人封堵前左脚抽射入网，2-1
59'不过无论如何，切尔西都是再度取得领先                   57'切尔西第57分钟再次超出，摩西禁区右侧扣过皮特斯防守后传中，阿扎尔回敲，威廉12码处抢在3人封堵前左脚抽射入网，2-1
59'阿扎尔前场断球，横扫门前，科斯塔来迟半拍                   57'切尔西第57分钟再次超出，摩西禁区右侧扣过皮特斯防守后传中，阿扎尔回敲，威廉12码处抢在3人封堵前左脚抽射入网，2-1
60'外围还是切尔西的控球                   57'切尔西第57分钟再次超出，摩西禁区右侧扣过皮特斯防守后传中，阿扎尔回敲，威廉12码处抢在3人封堵前左脚抽射入网，2-1
60'阿斯皮利奎塔传中路的科斯塔，回做一点小了                   57'切尔西第57分钟再次超出，摩西禁区右侧扣过皮特斯防守后传中，阿扎尔回敲，威廉12码处抢在3人封堵前左脚抽射入网，2-1
60'二分之一球，法布雷加斯蹬踏乔阿伦犯规                   57'切尔西第57分钟再次超出，摩西禁区右侧扣过皮特斯防守后传中，阿扎尔回敲，威廉12码处抢在3人封堵前左脚抽射入网，2-1
60'主裁判黄牌警告法布雷加斯                   57'切尔西第57分钟再次超出，摩西禁区右侧扣过皮特斯防守后传中，阿扎尔回敲，威廉12码处抢在3人封堵前左脚抽射入网，2-1
60'肖克罗斯的长传被卡希尔顶出                   57'切尔西第57分钟再次超出，摩西禁区右侧扣过皮特斯防守后传中，阿扎尔回敲，威廉12码处抢在3人封堵前左脚抽射入网，2-1
64'科斯塔左脚打门打高了                   64'斯托克城第64分钟再度追平，博扬分球，迪乌夫禁区右侧传中，库尔图瓦前点拦截未果，克劳奇小禁区边缘抢在阿斯皮利奎塔之前推射入网，2-2
65'博扬得球，交给因布拉                   64'斯托克城第64分钟再度追平，博扬分球，迪乌夫禁区右侧传中，库尔图瓦前点拦截未果，克劳奇小禁区边缘抢在阿斯皮利奎塔之前推射入网，2-2
65'博扬得球分右路，因布拉传门前，克劳奇门前将球打进！                   64'斯托克城第64分钟再度追平，博扬分球，迪乌夫禁区右侧传中，库尔图瓦前点拦截未果，克劳奇小禁区边缘抢在阿斯皮利奎塔之前推射入网，2-2
65'斯托克城是两次落后两次扳平比分                   64'斯托克城第64分钟再度追平，博扬分球，迪乌夫禁区右侧传中，库尔图瓦前点拦截未果，克劳奇小禁区边缘抢在阿斯皮利奎塔之前推射入网，2-2
66'克劳奇是宝刀未老，今天一传一射                   64'斯托克城第64分钟再度追平，博扬分球，迪乌夫禁区右侧传中，库尔图瓦前点拦截未果，克劳奇小禁区边缘抢在阿斯皮利奎塔之前推射入网，2-2
66'双方回到同一起跑线                   64'斯托克城第64分钟再度追平，博扬分球，迪乌夫禁区右侧传中，库尔图瓦前点拦截未果，克劳奇小禁区边缘抢在阿斯皮利奎塔之前推射入网，2-2
66'不过，形势变得太快了                   64'斯托克城第64分钟再度追平，博扬分球，迪乌夫禁区右侧传中，库尔图瓦前点拦截未果，克劳奇小禁区边缘抢在阿斯皮利奎塔之前推射入网，2-2
67'切尔西中路断球，阿扎尔中路斜塞，威廉快速跟上，抢在格兰特之前小角度打门，又进了！                   64'斯托克城第64分钟再度追平，博扬分球，迪乌夫禁区右侧传中，库尔图瓦前点拦截未果，克劳奇小禁区边缘抢在阿斯皮利奎塔之前推射入网，2-2
67'威廉这球是劲射打网顶                   64'斯托克城第64分钟再度追平，博扬分球，迪乌夫禁区右侧传中，库尔图瓦前点拦截未果，克劳奇小禁区边缘抢在阿斯皮利奎塔之前推射入网，2-2
67'孔蒂也是在场边忘情庆祝                   64'斯托克城第64分钟再度追平，博扬分球，迪乌夫禁区右侧传中，库尔图瓦前点拦截未果，克劳奇小禁区边缘抢在阿斯皮利奎塔之前推射入网，2-2
85'阿扎尔的角球发太低了                   85'第85分钟，查理-亚当头球解围不力，科斯塔拿球摆脱因迪防守后小禁区左上角斜射破门，4-2
85'切尔西再换人                   85'第85分钟，查理-亚当头球解围不力，科斯塔拿球摆脱因迪防守后小禁区左上角斜射破门，4-2
85'查洛巴换下了威廉！                   85'第85分钟，查理-亚当头球解围不力，科斯塔拿球摆脱因迪防守后小禁区左上角斜射破门，4-2
87'切尔西发界外球，查理亚当头球后中间到本方禁区，科斯塔过来先拿位置然后转身左脚小角度劲射破门！                   85'第85分钟，查理-亚当头球解围不力，科斯塔拿球摆脱因迪防守后小禁区左上角斜射破门，4-2
87'科斯塔这球是锁定胜局了！                   85'第85分钟，查理-亚当头球解围不力，科斯塔拿球摆脱因迪防守后小禁区左上角斜射破门，4-2
87'亚洲铲倒了阿斯皮利奎塔                   85'第85分钟，查理-亚当头球解围不力，科斯塔拿球摆脱因迪防守后小禁区左上角斜射破门，4-2
87'查理亚当铲倒了阿斯皮利奎塔，吃到黄牌                   85'第85分钟，查理-亚当头球解围不力，科斯塔拿球摆脱因迪防守后小禁区左上角斜射破门，4-2
87'阿斯皮利奎塔的传中，科斯塔胸部停球下来被解围                   85'第85分钟，查理-亚当头球解围不力，科斯塔拿球摆脱因迪防守后小禁区左上角斜射破门，4-2
88'乔阿伦带球横传，因布拉送到左肋部                   85'第85分钟，查理-亚当头球解围不力，科斯塔拿球摆脱因迪防守后小禁区左上角斜射破门，4-2
88'给得稍大了一点                   85'第85分钟，查理-亚当头球解围不力，科斯塔拿球摆脱因迪防守后小禁区左上角斜射破门，4-2
88'皮特斯没有追上                   85'第85分钟，查理-亚当头球解围不力，科斯塔拿球摆脱因迪防守后小禁区左上角斜射破门，4-2
