5'拦截成功后造成了阿图尔的犯规                   5'开场仅5分钟，阿达伊开出角球，埃斯皮诺萨头球攻门被特尔施特根没收
30'位置并不理想                   29'赫罗纳第29分钟险些破门，格拉内尔送出直传，波图禁区右侧趟过特尔施特根后射空门被皮克在近角挡出底线
31'之前是皮克在门线上将球解围出来                   29'赫罗纳第29分钟险些破门，格拉内尔送出直传，波图禁区右侧趟过特尔施特根后射空门被皮克在近角挡出底线
31'登贝莱禁区前沿送直塞                   29'赫罗纳第29分钟险些破门，格拉内尔送出直传，波图禁区右侧趟过特尔施特根后射空门被皮克在近角挡出底线
31'没有给过去                   29'赫罗纳第29分钟险些破门，格拉内尔送出直传，波图禁区右侧趟过特尔施特根后射空门被皮克在近角挡出底线
31'比达尔拦截的时候将球破坏                   29'赫罗纳第29分钟险些破门，格拉内尔送出直传，波图禁区右侧趟过特尔施特根后射空门被皮克在近角挡出底线
32'梅西禁区前沿拿球                   29'赫罗纳第29分钟险些破门，格拉内尔送出直传，波图禁区右侧趟过特尔施特根后射空门被皮克在近角挡出底线
32'赫罗纳防守球员是围堵啊                   29'赫罗纳第29分钟险些破门，格拉内尔送出直传，波图禁区右侧趟过特尔施特根后射空门被皮克在近角挡出底线
32'最后先捅了一脚将球先破坏                   29'赫罗纳第29分钟险些破门，格拉内尔送出直传，波图禁区右侧趟过特尔施特根后射空门被皮克在近角挡出底线
32'赫罗纳反击的机会                   29'赫罗纳第29分钟险些破门，格拉内尔送出直传，波图禁区右侧趟过特尔施特根后射空门被皮克在近角挡出底线
32'右路的推进被后卫拦截下来                   29'赫罗纳第29分钟险些破门，格拉内尔送出直传，波图禁区右侧趟过特尔施特根后射空门被皮克在近角挡出底线
32'巴萨的反击                   29'赫罗纳第29分钟险些破门，格拉内尔送出直传，波图禁区右侧趟过特尔施特根后射空门被皮克在近角挡出底线
45'1-1！！！                   45'赫罗纳第45分钟扳平，阿达伊右路传中，斯图亚尼从皮克背后超出拿球又摆脱布斯克茨，最后在小禁区边缘捅射入网，1-1
45'斯图亚尼！！！                   45'赫罗纳第45分钟扳平，阿达伊右路传中，斯图亚尼从皮克背后超出拿球又摆脱布斯克茨，最后在小禁区边缘捅射入网，1-1
46'赫罗纳右路起球送禁区，斯图亚尼禁区内从两人夹缝中停球后摆渡，小禁区附近面对门将推射破门得分！！                   45'赫罗纳第45分钟扳平，阿达伊右路传中，斯图亚尼从皮克背后超出拿球又摆脱布斯克茨，最后在小禁区边缘捅射入网，1-1
46'皮克的防守有些漏                   45'赫罗纳第45分钟扳平，阿达伊右路传中，斯图亚尼从皮克背后超出拿球又摆脱布斯克茨，最后在小禁区边缘捅射入网，1-1
46'上半场补时3分钟！！                   45'赫罗纳第45分钟扳平，阿达伊右路传中，斯图亚尼从皮克背后超出拿球又摆脱布斯克茨，最后在小禁区边缘捅射入网，1-1
47'朗格莱的罚下确实给巴萨带来了一些困难                   45'赫罗纳第45分钟扳平，阿达伊右路传中，斯图亚尼从皮克背后超出拿球又摆脱布斯克茨，最后在小禁区边缘捅射入网，1-1
47'巴萨左路拿球给到禁区                   45'赫罗纳第45分钟扳平，阿达伊右路传中，斯图亚尼从皮克背后超出拿球又摆脱布斯克茨，最后在小禁区边缘捅射入网，1-1
47'梅西中路推射将球打高                   45'赫罗纳第45分钟扳平，阿达伊右路传中，斯图亚尼从皮克背后超出拿球又摆脱布斯克茨，最后在小禁区边缘捅射入网，1-1
46'下半场比赛开始！！                   45'赫罗纳第45分钟扳平，阿达伊右路传中，斯图亚尼从皮克背后超出拿球又摆脱布斯克茨，最后在小禁区边缘捅射入网，1-1
46'中场休息的时候双方都有人员调整                   45'赫罗纳第45分钟扳平，阿达伊右路传中，斯图亚尼从皮克背后超出拿球又摆脱布斯克茨，最后在小禁区边缘捅射入网，1-1
46'巴萨这边将登贝莱被换下                   45'赫罗纳第45分钟扳平，阿达伊右路传中，斯图亚尼从皮克背后超出拿球又摆脱布斯克茨，最后在小禁区边缘捅射入网，1-1
47'乌姆蒂蒂被换了上来                   45'赫罗纳第45分钟扳平，阿达伊右路传中，斯图亚尼从皮克背后超出拿球又摆脱布斯克茨，最后在小禁区边缘捅射入网，1-1
47'赫罗纳这边是将加西亚换下                   45'赫罗纳第45分钟扳平，阿达伊右路传中，斯图亚尼从皮克背后超出拿球又摆脱布斯克茨，最后在小禁区边缘捅射入网，1-1
47'下半场比赛也是由赫罗纳开球                   45'赫罗纳第45分钟扳平，阿达伊右路传中，斯图亚尼从皮克背后超出拿球又摆脱布斯克茨，最后在小禁区边缘捅射入网，1-1
47'对巴萨不利的就是下半场要少一人作战                   45'赫罗纳第45分钟扳平，阿达伊右路传中，斯图亚尼从皮克背后超出拿球又摆脱布斯克茨，最后在小禁区边缘捅射入网，1-1
48'巴萨左路起球送禁区                   45'赫罗纳第45分钟扳平，阿达伊右路传中，斯图亚尼从皮克背后超出拿球又摆脱布斯克茨，最后在小禁区边缘捅射入网，1-1
48'队友的 头球攻门顶得太正                   45'赫罗纳第45分钟扳平，阿达伊右路传中，斯图亚尼从皮克背后超出拿球又摆脱布斯克茨，最后在小禁区边缘捅射入网，1-1
51'1-2！！！                   51'赫罗纳第51分钟反超，博尔哈传球，皮克禁区边缘内铲倒波图，后者起身10码处单刀射门被特尔施特根挡出，斯图亚尼禁区边缘内补射右上角入网，2-1
53'还是斯图亚尼！！                   51'赫罗纳第51分钟反超，博尔哈传球，皮克禁区边缘内铲倒波图，后者起身10码处单刀射门被特尔施特根挡出，斯图亚尼禁区边缘内补射右上角入网，2-1
53'赫罗纳左路送直塞给到禁区                   51'赫罗纳第51分钟反超，博尔哈传球，皮克禁区边缘内铲倒波图，后者起身10码处单刀射门被特尔施特根挡出，斯图亚尼禁区边缘内补射右上角入网，2-1
53'皮克在跟波图拼速度时候处于下风                   51'赫罗纳第51分钟反超，博尔哈传球，皮克禁区边缘内铲倒波图，后者起身10码处单刀射门被特尔施特根挡出，斯图亚尼禁区边缘内补射右上角入网，2-1
54'禁区内只能放铲                   51'赫罗纳第51分钟反超，博尔哈传球，皮克禁区边缘内铲倒波图，后者起身10码处单刀射门被特尔施特根挡出，斯图亚尼禁区边缘内补射右上角入网，2-1
54'波图虽然被铲倒但马上起身后完成打门                   51'赫罗纳第51分钟反超，博尔哈传球，皮克禁区边缘内铲倒波图，后者起身10码处单刀射门被特尔施特根挡出，斯图亚尼禁区边缘内补射右上角入网，2-1
54'特尔施特根用胸口挡出来后被斯图亚尼在大禁区线上补射得分                   51'赫罗纳第51分钟反超，博尔哈传球，皮克禁区边缘内铲倒波图，后者起身10码处单刀射门被特尔施特根挡出，斯图亚尼禁区边缘内补射右上角入网，2-1
54'巴萨的这两次丢球都跟皮克有关系啊                   51'赫罗纳第51分钟反超，博尔哈传球，皮克禁区边缘内铲倒波图，后者起身10码处单刀射门被特尔施特根挡出，斯图亚尼禁区边缘内补射右上角入网，2-1
60'巴萨前场获得一个定位球机会                   60'第60分钟，梅西30码处任意球直接射门打中左上角横梁上沿弹出
60'梅西将球摆好                   60'第60分钟，梅西30码处任意球直接射门打中左上角横梁上沿弹出
60'距离稍微有一些远                   60'第60分钟，梅西30码处任意球直接射门打中左上角横梁上沿弹出
60'梅西任意球直接打门                   60'第60分钟，梅西30码处任意球直接射门打中左上角横梁上沿弹出
60'球击中了横梁上沿！！                   60'第60分钟，梅西30码处任意球直接射门打中左上角横梁上沿弹出
60'可惜啊                   60'第60分钟，梅西30码处任意球直接射门打中左上角横梁上沿弹出
61'射门上巴萨还是要比对方多的                   60'第60分钟，梅西30码处任意球直接射门打中左上角横梁上沿弹出
61'但是现在巴萨罗湖                   60'第60分钟，梅西30码处任意球直接射门打中左上角横梁上沿弹出
61'裁判又出牌                   60'第60分钟，梅西30码处任意球直接射门打中左上角横梁上沿弹出
61'胡安佩禁区前沿拦截苏亚雷斯犯规                   60'第60分钟，梅西30码处任意球直接射门打中左上角横梁上沿弹出
61'胡安佩得到一张黄牌！                   60'第60分钟，梅西30码处任意球直接射门打中左上角横梁上沿弹出
61'看看这次的任意球                   60'第60分钟，梅西30码处任意球直接射门打中左上角横梁上沿弹出
62'梅西再次站在球前                   60'第60分钟，梅西30码处任意球直接射门打中左上角横梁上沿弹出
62'比之前的近一点                   60'第60分钟，梅西30码处任意球直接射门打中左上角横梁上沿弹出
62'但是靠近边路                   60'第60分钟，梅西30码处任意球直接射门打中左上角横梁上沿弹出
62'梅西直接打门！！！                   60'第60分钟，梅西30码处任意球直接射门打中左上角横梁上沿弹出
62'博诺近门柱将球扑了出去                   60'第60分钟，梅西30码处任意球直接射门打中左上角横梁上沿弹出
62'巴萨战术角球开出                   60'第60分钟，梅西30码处任意球直接射门打中左上角横梁上沿弹出
62'还是打渗透                   60'第60分钟，梅西30码处任意球直接射门打中左上角横梁上沿弹出
62'梅西挑传到禁区                   60'第60分钟，梅西30码处任意球直接射门打中左上角横梁上沿弹出
62'2-2！！！                   60'第60分钟，梅西30码处任意球直接射门打中左上角横梁上沿弹出
63'皮克！！！                   60'第60分钟，梅西30码处任意球直接射门打中左上角横梁上沿弹出
