3'巴拉多利德~中场的转移，被断掉了                   3'第3分钟，法布雷加斯传球，比利亚禁区左侧18码处弧线球射门偏出远角
23'在西班牙国家队能上演帽子戏法                   21'巴萨第21分钟取得领先，哈维前场拦截后直传，佩德罗禁区右肋10码处铲射，皮球从杰米身下入网
23'但是在巴萨却表现一般                   21'巴萨第21分钟取得领先，哈维前场拦截后直传，佩德罗禁区右肋10码处铲射，皮球从杰米身下入网
23'这个进球但愿能够让他恢复信心                   21'巴萨第21分钟取得领先，哈维前场拦截后直传，佩德罗禁区右肋10码处铲射，皮球从杰米身下入网
23'继续谈谈转会的问题                   21'巴萨第21分钟取得领先，哈维前场拦截后直传，佩德罗禁区右肋10码处铲射，皮球从杰米身下入网
24'巴萨一些租借在外的球员                   21'巴萨第21分钟取得领先，哈维前场拦截后直传，佩德罗禁区右肋10码处铲射，皮球从杰米身下入网
24'丰塔斯、阿费莱、博杨、昆卡等等下个赛季或许依旧无法留在队中                   21'巴萨第21分钟取得领先，哈维前场拦截后直传，佩德罗禁区右肋10码处铲射，皮球从杰米身下入网
24'如果能够买个好价钱~那么巴萨还能够多出一些转会费来引进两名实力强劲的球员                   21'巴萨第21分钟取得领先，哈维前场拦截后直传，佩德罗禁区右肋10码处铲射，皮球从杰米身下入网
33'伊涅斯塔回敲小法~意图太明显了                   33'第33分钟，马斯切拉诺任意球远射偏出
33'巴拉多利德的球员中场犯规~                   33'第33分钟，马斯切拉诺任意球远射偏出
33'勾倒了布教授，裁判给了巴萨前场定位球                   33'第33分钟，马斯切拉诺任意球远射偏出
33'直接吊门了吗？马斯切拉诺~射门打偏了                   33'第33分钟，马斯切拉诺任意球远射偏出
34'红与蓝的情调:柠檬 你自己说的挺开心的---哈哈，今天看球的人不多                   33'第33分钟，马斯切拉诺任意球远射偏出
34'伊涅斯塔~连续的摆脱！                   33'第33分钟，马斯切拉诺任意球远射偏出
34'禁区内小白的打门被后卫伸腿挡了一下                   33'第33分钟，马斯切拉诺任意球远射偏出
34'球稍稍高出了横梁                   33'第33分钟，马斯切拉诺任意球远射偏出
34'巴萨继续罚角球                   33'第33分钟，马斯切拉诺任意球远射偏出
34'哈维传中~对方后卫抢到头球                   33'第33分钟，马斯切拉诺任意球远射偏出
35'奔奔2649036642:柠 檬 比利亚人喃？---在场上呢，球到他脚下的机会不多                   33'第33分钟，马斯切拉诺任意球远射偏出
36'阿尔巴在左路~没有选择传中                   33'第33分钟，马斯切拉诺任意球远射偏出
36'回给了哈维~                   33'第33分钟，马斯切拉诺任意球远射偏出
42'乌龙？                   42'巴萨第42分钟扩大比分，哈维开出角球，法布雷加斯前点争顶落空，瓦里恩特前点用大腿将皮球挡入自家大门
42'这球进的~太意外了                   42'巴萨第42分钟扩大比分，哈维开出角球，法布雷加斯前点争顶落空，瓦里恩特前点用大腿将皮球挡入自家大门
42'确实是后卫的乌龙球！                   42'巴萨第42分钟扩大比分，哈维开出角球，法布雷加斯前点争顶落空，瓦里恩特前点用大腿将皮球挡入自家大门
43'哈维角球传出，对方的4号瓦利恩特~不慎把球挡入了自家大门                   42'巴萨第42分钟扩大比分，哈维开出角球，法布雷加斯前点争顶落空，瓦里恩特前点用大腿将皮球挡入自家大门
43'还是个外脚背的弹射                   42'巴萨第42分钟扩大比分，哈维开出角球，法布雷加斯前点争顶落空，瓦里恩特前点用大腿将皮球挡入自家大门
43'他心里想的究竟是解围呢还是射门呢？                   42'巴萨第42分钟扩大比分，哈维开出角球，法布雷加斯前点争顶落空，瓦里恩特前点用大腿将皮球挡入自家大门
44'巴萨的反击又来了                   42'巴萨第42分钟扩大比分，哈维开出角球，法布雷加斯前点争顶落空，瓦里恩特前点用大腿将皮球挡入自家大门
44'比利亚内切~回敲哈维                   42'巴萨第42分钟扩大比分，哈维开出角球，法布雷加斯前点争顶落空，瓦里恩特前点用大腿将皮球挡入自家大门
44'哈维看了一下，还是自己打门了！结果射偏了                   42'巴萨第42分钟扩大比分，哈维开出角球，法布雷加斯前点争顶落空，瓦里恩特前点用大腿将皮球挡入自家大门
44'今天比利亚还是打的边路                   42'巴萨第42分钟扩大比分，哈维开出角球，法布雷加斯前点争顶落空，瓦里恩特前点用大腿将皮球挡入自家大门
44'本以为没有梅西他还能回到中锋位置上来呢                   42'巴萨第42分钟扩大比分，哈维开出角球，法布雷加斯前点争顶落空，瓦里恩特前点用大腿将皮球挡入自家大门
44'巴萨的反击又来了                   44'第44分钟，比利亚回传，哈维25码处射门偏出
44'比利亚内切~回敲哈维                   44'第44分钟，比利亚回传，哈维25码处射门偏出
44'哈维看了一下，还是自己打门了！结果射偏了                   44'第44分钟，比利亚回传，哈维25码处射门偏出
44'今天比利亚还是打的边路                   44'第44分钟，比利亚回传，哈维25码处射门偏出
44'本以为没有梅西他还能回到中锋位置上来呢                   44'第44分钟，比利亚回传，哈维25码处射门偏出
46'上半场比赛快结束了                   44'第44分钟，比利亚回传，哈维25码处射门偏出
46'好了，下半场比赛开始                   44'第44分钟，比利亚回传，哈维25码处射门偏出
47'两队的上半场比赛，巴萨得较为轻松                   44'第44分钟，比利亚回传，哈维25码处射门偏出
47'下半场还会如此吗？                   44'第44分钟，比利亚回传，哈维25码处射门偏出
47'看起来两队在下半场都没有换人                   44'第44分钟，比利亚回传，哈维25码处射门偏出
47'今天巴萨的替补席上还有桑切斯、蒂亚戈、特略、宋等人                   44'第44分钟，比利亚回传，哈维25码处射门偏出
52'球迷们唱起了歌                   52'第52分钟，哈维禁区弧边缘劲射被杰米飞身扑出
52'歌声中哈维来了一脚远射~~~                   52'第52分钟，哈维禁区弧边缘劲射被杰米飞身扑出
52'想推个球门右侧~被门将飞身扑出底线                   52'第52分钟，哈维禁区弧边缘劲射被杰米飞身扑出
52'哈维角球传前点，后卫顶到了                   52'第52分钟，哈维禁区弧边缘劲射被杰米飞身扑出
52'巴拉多利德反击~阿尔巴迫使拉尔森停球失误                   52'第52分钟，哈维禁区弧边缘劲射被杰米飞身扑出
53'伊涅斯塔挑给比利亚~可惜比利亚停球没处理好                   52'第52分钟，哈维禁区弧边缘劲射被杰米飞身扑出
53'雨还越下越大了                   52'第52分钟，哈维禁区弧边缘劲射被杰米飞身扑出
54'布教授停球转身~一板一眼挺像哈维的绝技                   52'第52分钟，哈维禁区弧边缘劲射被杰米飞身扑出
54'哈维的外号叫做耻毛                   52'第52分钟，哈维禁区弧边缘劲射被杰米飞身扑出
54'就是因为他喜欢转身转身再转身                   52'第52分钟，哈维禁区弧边缘劲射被杰米飞身扑出
55'而耻毛就是肚脐上的卷毛...                   52'第52分钟，哈维禁区弧边缘劲射被杰米飞身扑出
55'这是巴萨的队友给他起的外号，是不是挺形象啊                   52'第52分钟，哈维禁区弧边缘劲射被杰米飞身扑出
55'佩刀边路突破~对方的防守太密集了                   52'第52分钟，哈维禁区弧边缘劲射被杰米飞身扑出
55'伊涅斯塔穿裆过人之后交给比利亚，球还是丢了                   52'第52分钟，哈维禁区弧边缘劲射被杰米飞身扑出
63'差一点啊~~~                   63'第63分钟，法布雷加斯禁区左侧边缘传中，佩德罗闪过一人后14码处劲射打中横梁
63'小法杀向底线之后回敲~                   63'第63分钟，法布雷加斯禁区左侧边缘传中，佩德罗闪过一人后14码处劲射打中横梁
63'佩刀闪开后卫的上抢~一脚劲射打在了门框上                   63'第63分钟，法布雷加斯禁区左侧边缘传中，佩德罗闪过一人后14码处劲射打中横梁
64'巴萨换人了，蒂亚戈换下了布教授                   63'第63分钟，法布雷加斯禁区左侧边缘传中，佩德罗闪过一人后14码处劲射打中横梁
64'蒂亚戈之前也是在转会传闻中                   63'第63分钟，法布雷加斯禁区左侧边缘传中，佩德罗闪过一人后14码处劲射打中横梁
64'这个赛季他在比拉诺瓦手下过的并不愉快                   63'第63分钟，法布雷加斯禁区左侧边缘传中，佩德罗闪过一人后14码处劲射打中横梁
65'他的父亲也是他的经纪人马津霍表示他儿子要转会~                   63'第63分钟，法布雷加斯禁区左侧边缘传中，佩德罗闪过一人后14码处劲射打中横梁
65'然后就有新闻跳出来说弗格森看上了他                   63'第63分钟，法布雷加斯禁区左侧边缘传中，佩德罗闪过一人后14码处劲射打中横梁
65'但是弗格森已经退休了                   63'第63分钟，法布雷加斯禁区左侧边缘传中，佩德罗闪过一人后14码处劲射打中横梁
65'那么蒂亚戈也将会留在巴萨了？                   63'第63分钟，法布雷加斯禁区左侧边缘传中，佩德罗闪过一人后14码处劲射打中横梁
80'蒙托亚~~~禁区右上角突然打门！门将做出了漂亮的扑救                   80'第80分钟，蒙托亚禁区右侧左脚射门被杰米扑出
80'小法~~~连过带射！可惜球还是打偏了                   80'第80分钟，蒙托亚禁区右侧左脚射门被杰米扑出
82'空门了...居然没进！                   80'第80分钟，蒙托亚禁区右侧左脚射门被杰米扑出
82'比利亚接到了小法的直塞~反越位之后推射被门将扑了一下                   80'第80分钟，蒙托亚禁区右侧左脚射门被杰米扑出
82'面对空门佩刀补射打在了广告牌上                   80'第80分钟，蒙托亚禁区右侧左脚射门被杰米扑出
82'好了小法下去了，换上来的是特球王                   80'第80分钟，蒙托亚禁区右侧左脚射门被杰米扑出
82'空门了...居然没进！                   82'第82分钟，法布雷加斯直传，比利亚14码处扫射被杰米勉强扑出，佩德罗禁区右侧补射偏出近角
82'比利亚接到了小法的直塞~反越位之后推射被门将扑了一下                   82'第82分钟，法布雷加斯直传，比利亚14码处扫射被杰米勉强扑出，佩德罗禁区右侧补射偏出近角
82'面对空门佩刀补射打在了广告牌上                   82'第82分钟，法布雷加斯直传，比利亚14码处扫射被杰米勉强扑出，佩德罗禁区右侧补射偏出近角
82'好了小法下去了，换上来的是特球王                   82'第82分钟，法布雷加斯直传，比利亚14码处扫射被杰米勉强扑出，佩德罗禁区右侧补射偏出近角
84'特球王上来之后比利亚可以打中锋了                   82'第82分钟，法布雷加斯直传，比利亚14码处扫射被杰米勉强扑出，佩德罗禁区右侧补射偏出近角
84'这也是葫芦娃最熟悉的位置                   82'第82分钟，法布雷加斯直传，比利亚14码处扫射被杰米勉强扑出，佩德罗禁区右侧补射偏出近角
85'特略~下底传中                   82'第82分钟，法布雷加斯直传，比利亚14码处扫射被杰米勉强扑出，佩德罗禁区右侧补射偏出近角
85'球划过门前~                   82'第82分钟，法布雷加斯直传，比利亚14码处扫射被杰米勉强扑出，佩德罗禁区右侧补射偏出近角
89'进球的是22号佩雷斯                   89'巴拉多利德第89分钟扳回一城，替补出场的前曼联中锋马努乔突入禁区左侧被蒙托亚绊倒，维克托-佩雷斯主罚点球命中
89'他骗过了巴尔德斯，把球送入了球门右上角                   89'巴拉多利德第89分钟扳回一城，替补出场的前曼联中锋马努乔突入禁区左侧被蒙托亚绊倒，维克托-佩雷斯主罚点球命中
89'许诺6265:柠檬很看好特球王呢。---特球王是个特点很鲜明的球员，当然缺点也很鲜明                   89'巴拉多利德第89分钟扳回一城，替补出场的前曼联中锋马努乔突入禁区左侧被蒙托亚绊倒，维克托-佩雷斯主罚点球命中
90'下半场补时2分钟                   89'巴拉多利德第89分钟扳回一城，替补出场的前曼联中锋马努乔突入禁区左侧被蒙托亚绊倒，维克托-佩雷斯主罚点球命中
91'巴拉多利德反击传球出现了失误                   89'巴拉多利德第89分钟扳回一城，替补出场的前曼联中锋马努乔突入禁区左侧被蒙托亚绊倒，维克托-佩雷斯主罚点球命中
91'补时马上就要结束了                   89'巴拉多利德第89分钟扳回一城，替补出场的前曼联中锋马努乔突入禁区左侧被蒙托亚绊倒，维克托-佩雷斯主罚点球命中
91'巴萨即将拿下这场比赛                   89'巴拉多利德第89分钟扳回一城，替补出场的前曼联中锋马努乔突入禁区左侧被蒙托亚绊倒，维克托-佩雷斯主罚点球命中
91'也不进攻了，还有10多秒                   89'巴拉多利德第89分钟扳回一城，替补出场的前曼联中锋马努乔突入禁区左侧被蒙托亚绊倒，维克托-佩雷斯主罚点球命中
