2'我们看到老朋友罗宾逊拿球                   2'开场仅2分钟，费尔南迪尼奥头球摆渡，亚亚-图雷禁区右侧的射门偏出近角
17'沃德空中被顶翻                   14'伯恩利第14分钟取得领先，罗宾逊后场任意球大脚开球，奥塔门迪勉强头球解围，马尔尼25码处第一时间半凌空抽射，皮球穿过人丛入左下角
37'斯特林传前点，诺利托一扫，门前一片混战，阿奎罗混战中将球打进                   37'曼城第37分钟扳平，奥塔门迪角球混战中捅传，阿圭罗近距离破门，1-1
37'阿奎罗填补了对伯恩利没有进球的空白                   37'曼城第37分钟扳平，奥塔门迪角球混战中捅传，阿圭罗近距离破门，1-1
38'曼城热气起来了                   37'曼城第37分钟扳平，奥塔门迪角球混战中捅传，阿圭罗近距离破门，1-1
38'阿奎罗带球被本梅铲出边线                   37'曼城第37分钟扳平，奥塔门迪角球混战中捅传，阿圭罗近距离破门，1-1
38'亚亚图雷转移到左路的克里希                   37'曼城第37分钟扳平，奥塔门迪角球混战中捅传，阿圭罗近距离破门，1-1
39'费尔南多直传被马尔尼拦截一下                   37'曼城第37分钟扳平，奥塔门迪角球混战中捅传，阿圭罗近距离破门，1-1
39'沃克斯回中场接应，手上有拉人动作                   37'曼城第37分钟扳平，奥塔门迪角球混战中捅传，阿圭罗近距离破门，1-1
39'亚亚图雷直传，阿奎罗停球远射，罗宾逊倒地将球扑出底线                   37'曼城第37分钟扳平，奥塔门迪角球混战中捅传，阿圭罗近距离破门，1-1
39'马尔尼再次坐在草坪上                   37'曼城第37分钟扳平，奥塔门迪角球混战中捅传，阿圭罗近距离破门，1-1
40'马尔尼应该是坚持不了                   37'曼城第37分钟扳平，奥塔门迪角球混战中捅传，阿圭罗近距离破门，1-1
40'伯恩利换人，37号阿菲尔行下了8号马尔尼                   37'曼城第37分钟扳平，奥塔门迪角球混战中捅传，阿圭罗近距离破门，1-1
60'阿奎罗梅开二度！                   60'曼城第60分钟反超比分，亚亚-图雷突入禁区受阻，但本-米和沃德解围失误，费尔南迪尼奥拿球突入小禁区右侧边缘传中，罗宾逊出击封堵前点未果，阿圭罗将皮球挡入空门
62'诺利托中场断球分右路的萨内                   60'曼城第60分钟反超比分，亚亚-图雷突入禁区受阻，但本-米和沃德解围失误，费尔南迪尼奥拿球突入小禁区右侧边缘传中，罗宾逊出击封堵前点未果，阿圭罗将皮球挡入空门
62'萨内传中，费尔南迪尼奥禁区内倒地，裁判没有吹                   60'曼城第60分钟反超比分，亚亚-图雷突入禁区受阻，但本-米和沃德解围失误，费尔南迪尼奥拿球突入小禁区右侧边缘传中，罗宾逊出击封堵前点未果，阿圭罗将皮球挡入空门
62'应该是亚亚图雷倒地裁判没有吹                   60'曼城第60分钟反超比分，亚亚-图雷突入禁区受阻，但本-米和沃德解围失误，费尔南迪尼奥拿球突入小禁区右侧边缘传中，罗宾逊出击封堵前点未果，阿圭罗将皮球挡入空门
63'费尔南迪尼奥得球下底倒三角传中，阿奎罗中路将球近距离打进                   60'曼城第60分钟反超比分，亚亚-图雷突入禁区受阻，但本-米和沃德解围失误，费尔南迪尼奥拿球突入小禁区右侧边缘传中，罗宾逊出击封堵前点未果，阿圭罗将皮球挡入空门
63'阿奎罗要不不进，一进就是俩                   60'曼城第60分钟反超比分，亚亚-图雷突入禁区受阻，但本-米和沃德解围失误，费尔南迪尼奥拿球突入小禁区右侧边缘传中，罗宾逊出击封堵前点未果，阿圭罗将皮球挡入空门
63'伯恩利成为第29支被阿奎罗破门的英超球队                   60'曼城第60分钟反超比分，亚亚-图雷突入禁区受阻，但本-米和沃德解围失误，费尔南迪尼奥拿球突入小禁区右侧边缘传中，罗宾逊出击封堵前点未果，阿圭罗将皮球挡入空门
74'诺利托停球后撞了本梅一下                   74'第74分钟，塔科夫斯基远点头球顶回门前，迈克尔-基恩近距离头球攻门被科拉罗夫封堵解围
74'诺利托可能是有过激的投诉，吃到黄牌                   74'第74分钟，塔科夫斯基远点头球顶回门前，迈克尔-基恩近距离头球攻门被科拉罗夫封堵解围
75'洛顿右路传中，沃克斯争下来，科拉罗夫抢先解围                   74'第74分钟，塔科夫斯基远点头球顶回门前，迈克尔-基恩近距离头球攻门被科拉罗夫封堵解围
75'镜头给到了客串中后卫的科拉罗夫                   74'第74分钟，塔科夫斯基远点头球顶回门前，迈克尔-基恩近距离头球攻门被科拉罗夫封堵解围
75'到目前为止表现不错                   74'第74分钟，塔科夫斯基远点头球顶回门前，迈克尔-基恩近距离头球攻门被科拉罗夫封堵解围
75'阿菲尔德右路分给德福尔                   74'第74分钟，塔科夫斯基远点头球顶回门前，迈克尔-基恩近距离头球攻门被科拉罗夫封堵解围
76'传中打在克里希身上出底线                   74'第74分钟，塔科夫斯基远点头球顶回门前，迈克尔-基恩近距离头球攻门被科拉罗夫封堵解围
76'萨尼亚受伤坐在草坪上                   74'第74分钟，塔科夫斯基远点头球顶回门前，迈克尔-基恩近距离头球攻门被科拉罗夫封堵解围
76'这是刚才他后场停球解围时被亨德里克蹬了一下                   74'第74分钟，塔科夫斯基远点头球顶回门前，迈克尔-基恩近距离头球攻门被科拉罗夫封堵解围
76'萨尼亚先走下场                   74'第74分钟，塔科夫斯基远点头球顶回门前，迈克尔-基恩近距离头球攻门被科拉罗夫封堵解围
76'比赛继续                   74'第74分钟，塔科夫斯基远点头球顶回门前，迈克尔-基恩近距离头球攻门被科拉罗夫封堵解围
77'伯恩利右路的角球                   74'第74分钟，塔科夫斯基远点头球顶回门前，迈克尔-基恩近距离头球攻门被科拉罗夫封堵解围
77'德福尔传中，前点争到，亨德里克第二点已经越位                   74'第74分钟，塔科夫斯基远点头球顶回门前，迈克尔-基恩近距离头球攻门被科拉罗夫封堵解围
94'基恩门前头球却顶在了本梅后背，布拉沃第二反应拿到球                   94'第94分钟，迈克尔-基恩混战中近距离头球攻门打在队友本-米的后背上
95'洛顿右路再起球，塔科夫斯基头球后甩，巴恩斯倒钩打门被布拉沃拿住                   94'第94分钟，迈克尔-基恩混战中近距离头球攻门打在队友本-米的后背上
95'全场比赛结束！                   94'第94分钟，迈克尔-基恩混战中近距离头球攻门打在队友本-米的后背上
95'曼城凭借阿奎罗的梅开二度击败了伯恩利！                   94'第94分钟，迈克尔-基恩混战中近距离头球攻门打在队友本-米的后背上
