1'上半场比赛开始！！                   1'比赛第1分钟双方互有攻防，但都没有太好的机会
13'富力获得左侧角球机会，开出到禁区，没威胁！！                   12'第12分钟，赵宇豪右边路45度传中到后点，阿洛伊西奥抢点头球攻门，门将将球挡出
14'张利峰中场背身拿球，张晨龙身后上抢犯规！                   12'第12分钟，赵宇豪右边路45度传中到后点，阿洛伊西奥抢点头球攻门，门将将球挡出
15'拉维奇左路拿球，面对唐淼的防守                   12'第12分钟，赵宇豪右边路45度传中到后点，阿洛伊西奥抢点头球攻门，门将将球挡出
15'人球分过，可惜分球先出了边线！！                   12'第12分钟，赵宇豪右边路45度传中到后点，阿洛伊西奥抢点头球攻门，门将将球挡出
15'弋腾后场拿球，分球给到李提香                   12'第12分钟，赵宇豪右边路45度传中到后点，阿洛伊西奥抢点头球攻门，门将将球挡出
15'李提香横切，再给中间的陈志钊                   12'第12分钟，赵宇豪右边路45度传中到后点，阿洛伊西奥抢点头球攻门，门将将球挡出
20'唐淼受伤离场后，场边还没进场！！                   20'第20分钟，拉维奇前场反抢成功，随后扣过富力防守队员，禁区弧顶直接打门，可惜皮球高出横梁
20'华夏幸福前场再攻，尹鸿博的打门，打偏！1                   20'第20分钟，拉维奇前场反抢成功，随后扣过富力防守队员，禁区弧顶直接打门，可惜皮球高出横梁
21'上半场比赛进行了20分钟，比分依旧是0-0！！！                   20'第20分钟，拉维奇前场反抢成功，随后扣过富力防守队员，禁区弧顶直接打门，可惜皮球高出横梁
21'阿洛伊西奥前场左路拿球，强突内切                   20'第20分钟，拉维奇前场反抢成功，随后扣过富力防守队员，禁区弧顶直接打门，可惜皮球高出横梁
21'斜塞找禁区内的拉维奇，被断了                   20'第20分钟，拉维奇前场反抢成功，随后扣过富力防守队员，禁区弧顶直接打门，可惜皮球高出横梁
22'富力的反击，雷纳蒂尼奥带球推进                   20'第20分钟，拉维奇前场反抢成功，随后扣过富力防守队员，禁区弧顶直接打门，可惜皮球高出横梁
22'姆比亚身后回防，上抢踢翻了雷纳蒂尼奥！！                   20'第20分钟，拉维奇前场反抢成功，随后扣过富力防守队员，禁区弧顶直接打门，可惜皮球高出横梁
22'姆比亚被主裁判出示了黄牌警告！！                   20'第20分钟，拉维奇前场反抢成功，随后扣过富力防守队员，禁区弧顶直接打门，可惜皮球高出横梁
22'这也是本场比赛的第一张黄牌！！                   20'第20分钟，拉维奇前场反抢成功，随后扣过富力防守队员，禁区弧顶直接打门，可惜皮球高出横梁
23'雷纳蒂尼奥受伤倒地，半天还没起来，队医紧急处理中                   20'第20分钟，拉维奇前场反抢成功，随后扣过富力防守队员，禁区弧顶直接打门，可惜皮球高出横梁
23'担架也进来了！！                   20'第20分钟，拉维奇前场反抢成功，随后扣过富力防守队员，禁区弧顶直接打门，可惜皮球高出横梁
21'上半场比赛进行了20分钟，比分依旧是0-0！！！                   21'第21分钟，姆比亚被主裁判出示了黄牌警告
21'阿洛伊西奥前场左路拿球，强突内切                   21'第21分钟，姆比亚被主裁判出示了黄牌警告
21'斜塞找禁区内的拉维奇，被断了                   21'第21分钟，姆比亚被主裁判出示了黄牌警告
22'富力的反击，雷纳蒂尼奥带球推进                   21'第21分钟，姆比亚被主裁判出示了黄牌警告
22'姆比亚身后回防，上抢踢翻了雷纳蒂尼奥！！                   21'第21分钟，姆比亚被主裁判出示了黄牌警告
22'姆比亚被主裁判出示了黄牌警告！！                   21'第21分钟，姆比亚被主裁判出示了黄牌警告
22'这也是本场比赛的第一张黄牌！！                   21'第21分钟，姆比亚被主裁判出示了黄牌警告
23'雷纳蒂尼奥受伤倒地，半天还没起来，队医紧急处理中                   21'第21分钟，姆比亚被主裁判出示了黄牌警告
23'担架也进来了！！                   21'第21分钟，姆比亚被主裁判出示了黄牌警告
24'雷纳蒂尼奥被担架抬出场外，看着很痛苦啊，不知道能否坚持了？                   21'第21分钟，姆比亚被主裁判出示了黄牌警告
24'斯托伊科维奇也是来到担架旁边，关注着雷纳蒂尼奥的情况！1                   21'第21分钟，姆比亚被主裁判出示了黄牌警告
32'唐淼右路拿球，强突横传，被丁海峰挡出边线                   32'第32分钟，唐淼右边路无人盯防下直接传中，扎哈维头球攻门打在了立柱上
33'富力前场再攻，陈志钊中路拿球                   32'第32分钟，唐淼右边路无人盯防下直接传中，扎哈维头球攻门打在了立柱上
33'分球右路给唐淼                   32'第32分钟，唐淼右边路无人盯防下直接传中，扎哈维头球攻门打在了立柱上
33'唐淼的传中到门前！1                   32'第32分钟，唐淼右边路无人盯防下直接传中，扎哈维头球攻门打在了立柱上
33'扎哈维高高跃起，头球轰门                   32'第32分钟，唐淼右边路无人盯防下直接传中，扎哈维头球攻门打在了立柱上
34'击中左侧立柱弹出，跟进的卢琳再想补，没能碰到                   32'第32分钟，唐淼右边路无人盯防下直接传中，扎哈维头球攻门打在了立柱上
34'富力错失进球绝佳良机啊！！                   32'第32分钟，唐淼右边路无人盯防下直接传中，扎哈维头球攻门打在了立柱上
34'拉维奇前场左路拿球，内切后再送直塞给前插的丁海峰                   32'第32分钟，唐淼右边路无人盯防下直接传中，扎哈维头球攻门打在了立柱上
34'丁海峰强突下底，姜积弘回防卡位                   32'第32分钟，唐淼右边路无人盯防下直接传中，扎哈维头球攻门打在了立柱上
35'丁海峰趟球趟大，先出了底线！！                   32'第32分钟，唐淼右边路无人盯防下直接传中，扎哈维头球攻门打在了立柱上
35'张晨龙左路拿球，张利峰上抢被吹犯规！！                   32'第32分钟，唐淼右边路无人盯防下直接传中，扎哈维头球攻门打在了立柱上
39'华夏幸福前场再攻，赢得右侧角球！！                   39'第39分钟，华夏幸福再下一城
39'角球开出，第一点被解围出来！！                   39'第39分钟，华夏幸福再下一城
40'华夏幸福再进一个！                   39'第39分钟，华夏幸福再下一城
40'张利峰的爆射！！                   39'第39分钟，华夏幸福再下一城
40'华夏幸福右路传中到前点，尹鸿博脚后跟一垫，球到了禁区左侧空挡，张利峰过来，直接一脚爆射，打进球门远角！                   39'第39分钟，华夏幸福再下一城
41'叶楚贵中场抢断赵宇豪                   39'第39分钟，华夏幸福再下一城
41'叶楚贵拿球反击，带至左路                   39'第39分钟，华夏幸福再下一城
41'横传禁区弧顶给扎哈维                   39'第39分钟，华夏幸福再下一城
41'扎哈维停球稍作调整，起脚打门                   39'第39分钟，华夏幸福再下一城
41'打在华夏幸福球员身上，弹出了底线，角球！                   39'第39分钟，华夏幸福再下一城
42'富力右侧角球，开出到前点，被解围！！                   39'第39分钟，华夏幸福再下一城
42'张晨龙左路拿球，回传李提香                   39'第39分钟，华夏幸福再下一城
42'李提香带回后场，转身解围，被断了！！                   39'第39分钟，华夏幸福再下一城
42'富力右侧角球，开出到前点，被解围！！                   42'第42分钟，华夏幸福的反击，阿洛伊西奥和姆比亚的踢墙配合，姆比亚单刀赴会，面对程月磊，推射被扑出
42'张晨龙左路拿球，回传李提香                   42'第42分钟，华夏幸福的反击，阿洛伊西奥和姆比亚的踢墙配合，姆比亚单刀赴会，面对程月磊，推射被扑出
42'李提香带回后场，转身解围，被断了！！                   42'第42分钟，华夏幸福的反击，阿洛伊西奥和姆比亚的踢墙配合，姆比亚单刀赴会，面对程月磊，推射被扑出
43'华夏幸福的反击，阿洛伊西奥和姆比亚的踢墙配合                   42'第42分钟，华夏幸福的反击，阿洛伊西奥和姆比亚的踢墙配合，姆比亚单刀赴会，面对程月磊，推射被扑出
43'姆比亚单刀赴会，面对程月磊，推射被扑出！！                   42'第42分钟，华夏幸福的反击，阿洛伊西奥和姆比亚的踢墙配合，姆比亚单刀赴会，面对程月磊，推射被扑出
43'姆比亚也是摸摸脑袋，显得很遗憾！1                   42'第42分钟，华夏幸福的反击，阿洛伊西奥和姆比亚的踢墙配合，姆比亚单刀赴会，面对程月磊，推射被扑出
43'程月磊这次扑救很关键，有些受伤，队医进场治疗！                   42'第42分钟，华夏幸福的反击，阿洛伊西奥和姆比亚的踢墙配合，姆比亚单刀赴会，面对程月磊，推射被扑出
44'尹鸿博左路拿球，强突下底                   42'第42分钟，华夏幸福的反击，阿洛伊西奥和姆比亚的踢墙配合，姆比亚单刀赴会，面对程月磊，推射被扑出
44'倒三角回传中路！！                   42'第42分钟，华夏幸福的反击，阿洛伊西奥和姆比亚的踢墙配合，姆比亚单刀赴会，面对程月磊，推射被扑出
44'姆比亚跟进，禁区线上再射，被防守球员挡出                   42'第42分钟，华夏幸福的反击，阿洛伊西奥和姆比亚的踢墙配合，姆比亚单刀赴会，面对程月磊，推射被扑出
45'姆比亚连续的好机会，射不进，都快气哭了，哈哈！！                   42'第42分钟，华夏幸福的反击，阿洛伊西奥和姆比亚的踢墙配合，姆比亚单刀赴会，面对程月磊，推射被扑出
45'张晨龙左路拿球，强突被张利峰放铲铲翻在地！！                   42'第42分钟，华夏幸福的反击，阿洛伊西奥和姆比亚的踢墙配合，姆比亚单刀赴会，面对程月磊，推射被扑出
45'富力获得前场左路的任意球机会！！                   42'第42分钟，华夏幸福的反击，阿洛伊西奥和姆比亚的踢墙配合，姆比亚单刀赴会，面对程月磊，推射被扑出
48'华夏幸福前场抢断，右路进攻，赢得角球！！                   48'第48分钟，富力右侧界外球进场，叶楚贵传中到门前，杨程出击，稳稳将球拿到
48'角球开出到后点，被解围出底线！                   48'第48分钟，富力右侧界外球进场，叶楚贵传中到门前，杨程出击，稳稳将球拿到
48'华夏幸福左侧角球，没能形成威胁！！                   48'第48分钟，富力右侧界外球进场，叶楚贵传中到门前，杨程出击，稳稳将球拿到
48'陈志钊再给扎哈维，扎哈维转移球到右路找唐淼                   48'第48分钟，富力右侧界外球进场，叶楚贵传中到门前，杨程出击，稳稳将球拿到
48'唐淼的传中球，被丁海峰挡出了边线！                   48'第48分钟，富力右侧界外球进场，叶楚贵传中到门前，杨程出击，稳稳将球拿到
48'富力右侧界外球进场，叶楚贵传中到门前                   48'第48分钟，富力右侧界外球进场，叶楚贵传中到门前，杨程出击，稳稳将球拿到
48'杨程出击，稳稳将球拿到！！                   48'第48分钟，富力右侧界外球进场，叶楚贵传中到门前，杨程出击，稳稳将球拿到
49'唐淼右路拿球，强突内切                   48'第48分钟，富力右侧界外球进场，叶楚贵传中到门前，杨程出击，稳稳将球拿到
49'倒三角回传到中路！                   48'第48分钟，富力右侧界外球进场，叶楚贵传中到门前，杨程出击，稳稳将球拿到
49'陈志钊插上，迎球怒射，被任航解围                   48'第48分钟，富力右侧界外球进场，叶楚贵传中到门前，杨程出击，稳稳将球拿到
50'不过解围球见高不见远，陈志钊跟进再抢                   48'第48分钟，富力右侧界外球进场，叶楚贵传中到门前，杨程出击，稳稳将球拿到
50'凌空的抽射，直接放了高射炮！！                   48'第48分钟，富力右侧界外球进场，叶楚贵传中到门前，杨程出击，稳稳将球拿到
50'张利峰右路拿球，强突到禁区                   48'第48分钟，富力右侧界外球进场，叶楚贵传中到门前，杨程出击，稳稳将球拿到
51'自己趟球趟大，再次争抢时和弋腾相撞，双双倒地                   48'第48分钟，富力右侧界外球进场，叶楚贵传中到门前，杨程出击，稳稳将球拿到
51'裁判吹罚了张利峰的进攻犯规！！                   48'第48分钟，富力右侧界外球进场，叶楚贵传中到门前，杨程出击，稳稳将球拿到
51'赵明剑右路拿球，强突下底                   48'第48分钟，富力右侧界外球进场，叶楚贵传中到门前，杨程出击，稳稳将球拿到
58'张功前场中路拿球，起球到禁区                   58'第58分钟，张功前场中路拿球，起球到禁区，肖智的头球轰门，被杨程单掌托出横梁
58'肖智的头球轰门，被杨程单掌托出横梁！！                   58'第58分钟，张功前场中路拿球，起球到禁区，肖智的头球轰门，被杨程单掌托出横梁
58'富力获得左侧角球机会！！                   58'第58分钟，张功前场中路拿球，起球到禁区，肖智的头球轰门，被杨程单掌托出横梁
58'富力扳回一城！！！                   58'第58分钟，张功前场中路拿球，起球到禁区，肖智的头球轰门，被杨程单掌托出横梁
59'弋腾的门前垫射！！！                   58'第58分钟，张功前场中路拿球，起球到禁区，肖智的头球轰门，被杨程单掌托出横梁
60'陈志钊左侧角球开出到前点，华夏幸福球员的解围球蹭到后点，弋腾跟进门前抢点垫射打进！！                   58'第58分钟，张功前场中路拿球，起球到禁区，肖智的头球轰门，被杨程单掌托出横梁
60'华夏幸福前场进攻，赢得右侧任意球机会！                   58'第58分钟，张功前场中路拿球，起球到禁区，肖智的头球轰门，被杨程单掌托出横梁
61'张功的防守犯规，被裁判出示了黄牌警告！！                   58'第58分钟，张功前场中路拿球，起球到禁区，肖智的头球轰门，被杨程单掌托出横梁
61'拉维奇的任意球搓传到后点                   58'第58分钟，张功前场中路拿球，起球到禁区，肖智的头球轰门，被杨程单掌托出横梁
61'任航甩头轰门，球擦着立柱出了底线！！                   58'第58分钟，张功前场中路拿球，起球到禁区，肖智的头球轰门，被杨程单掌托出横梁
80'被杨程侧扑封堵出底线！！！                   80'第80分钟，华夏幸福反击时拉维奇面对门将没有贪功横传给尹鸿博，球力气太小被回追的卢琳抢断
80'富力的左侧角球，没能形成威胁！！                   80'第80分钟，华夏幸福反击时拉维奇面对门将没有贪功横传给尹鸿博，球力气太小被回追的卢琳抢断
80'华夏幸福的反击，中场分球给右路拉维奇                   80'第80分钟，华夏幸福反击时拉维奇面对门将没有贪功横传给尹鸿博，球力气太小被回追的卢琳抢断
80'拉维奇加速到禁区，面对出击的程月磊                   80'第80分钟，华夏幸福反击时拉维奇面对门将没有贪功横传给尹鸿博，球力气太小被回追的卢琳抢断
81'横传球到中路                   80'第80分钟，华夏幸福反击时拉维奇面对门将没有贪功横传给尹鸿博，球力气太小被回追的卢琳抢断
81'尹鸿博插上，空门。。                   80'第80分钟，华夏幸福反击时拉维奇面对门将没有贪功横传给尹鸿博，球力气太小被回追的卢琳抢断
81'卢琳身后回来一个滑铲，抢先将球解围出底线                   80'第80分钟，华夏幸福反击时拉维奇面对门将没有贪功横传给尹鸿博，球力气太小被回追的卢琳抢断
81'尹鸿博错失良机，拉维奇很愤怒，狠狠的踢了一脚立柱，发泄下                   80'第80分钟，华夏幸福反击时拉维奇面对门将没有贪功横传给尹鸿博，球力气太小被回追的卢琳抢断
82'华夏幸福换人：30号李行上，换下15号尹鸿博                   80'第80分钟，华夏幸福反击时拉维奇面对门将没有贪功横传给尹鸿博，球力气太小被回追的卢琳抢断
82'华夏幸福左侧角球机会，没能形成威胁！                   80'第80分钟，华夏幸福反击时拉维奇面对门将没有贪功横传给尹鸿博，球力气太小被回追的卢琳抢断
82'张功前场中路拿球，面对逼抢，回传弋腾                   80'第80分钟，华夏幸福反击时拉维奇面对门将没有贪功横传给尹鸿博，球力气太小被回追的卢琳抢断
83'弋腾再给曾超，曾超的直塞找前插的张晨龙                   80'第80分钟，华夏幸福反击时拉维奇面对门将没有贪功横传给尹鸿博，球力气太小被回追的卢琳抢断
