4'范云龙走右路被逼抢，球自己带出界外                   4'第4分钟，贵州恒丰获得前场任意球机会，范云龙开出的任意球被人和后卫抢先解围
8'角球打个低平球，球被贵州拦截                   6'第6分钟，王刚前场倒三角传至门前，凯文·博利贴身干扰迪奥普将球解围
8'陈杰中场附近拼抢被干翻了                   6'第6分钟，王刚前场倒三角传至门前，凯文·博利贴身干扰迪奥普将球解围
9'斯蒂夫右路强突，被饶伟辉破坏                   6'第6分钟，王刚前场倒三角传至门前，凯文·博利贴身干扰迪奥普将球解围
9'唐鑫发出右侧边线球                   6'第6分钟，王刚前场倒三角传至门前，凯文·博利贴身干扰迪奥普将球解围
9'禁区内一点被顶出来                   6'第6分钟，王刚前场倒三角传至门前，凯文·博利贴身干扰迪奥普将球解围
25'饶伟辉后场被逼抢                   25'本场比赛贵州恒丰对人和外援马西卡做了针对性的部署，比赛前25分钟马西卡很难形成有效的威胁
25'慌忙之中踢出了边线                   25'本场比赛贵州恒丰对人和外援马西卡做了针对性的部署，比赛前25分钟马西卡很难形成有效的威胁
25'依力哈木江右路的单车，球被捅出底线                   25'本场比赛贵州恒丰对人和外援马西卡做了针对性的部署，比赛前25分钟马西卡很难形成有效的威胁
26'贵州恒丰右侧角球机会                   25'本场比赛贵州恒丰对人和外援马西卡做了针对性的部署，比赛前25分钟马西卡很难形成有效的威胁
26'范云龙右侧角球开出，直接绕出了界外啊                   25'本场比赛贵州恒丰对人和外援马西卡做了针对性的部署，比赛前25分钟马西卡很难形成有效的威胁
27'依力哈木江会抢，踢倒了朱宝杰                   25'本场比赛贵州恒丰对人和外援马西卡做了针对性的部署，比赛前25分钟马西卡很难形成有效的威胁
27'人和任意球给到左路                   25'本场比赛贵州恒丰对人和外援马西卡做了针对性的部署，比赛前25分钟马西卡很难形成有效的威胁
27'迪奥普禁区前做球被双人包夹，球被解围                   25'本场比赛贵州恒丰对人和外援马西卡做了针对性的部署，比赛前25分钟马西卡很难形成有效的威胁
27'苏渤洋后场开出皮球                   25'本场比赛贵州恒丰对人和外援马西卡做了针对性的部署，比赛前25分钟马西卡很难形成有效的威胁
28'斯蒂夫争抢后，被马西卡拿到                   25'本场比赛贵州恒丰对人和外援马西卡做了针对性的部署，比赛前25分钟马西卡很难形成有效的威胁
28'人和右路推进，刘博洋带出了边线                   25'本场比赛贵州恒丰对人和外援马西卡做了针对性的部署，比赛前25分钟马西卡很难形成有效的威胁
31'朱宝杰前场中路分球到右侧                   31'第31分钟，耶拉维奇头球后蹭，斯蒂夫高速前插在面对人和三名球员的包夹防守下丧失球权
31'刘博洋右路直接起球传中，马西卡的射门没能吃准部位                   31'第31分钟，耶拉维奇头球后蹭，斯蒂夫高速前插在面对人和三名球员的包夹防守下丧失球权
32'人和外围的吊球，被苏渤洋没收                   31'第31分钟，耶拉维奇头球后蹭，斯蒂夫高速前插在面对人和三名球员的包夹防守下丧失球权
32'贵州后场长传球，斯蒂夫停球稍大                   31'第31分钟，耶拉维奇头球后蹭，斯蒂夫高速前插在面对人和三名球员的包夹防守下丧失球权
32'自己去反抢，抬脚过高又手球                   31'第31分钟，耶拉维奇头球后蹭，斯蒂夫高速前插在面对人和三名球员的包夹防守下丧失球权
33'斯蒂夫右路反击推进                   31'第31分钟，耶拉维奇头球后蹭，斯蒂夫高速前插在面对人和三名球员的包夹防守下丧失球权
33'禁区前身体对抗后倒地                   31'第31分钟，耶拉维奇头球后蹭，斯蒂夫高速前插在面对人和三名球员的包夹防守下丧失球权
33'裁判没有吹罚                   31'第31分钟，耶拉维奇头球后蹭，斯蒂夫高速前插在面对人和三名球员的包夹防守下丧失球权
33'马西卡禁区外围突破，范云龙和博利双双飞铲                   31'第31分钟，耶拉维奇头球后蹭，斯蒂夫高速前插在面对人和三名球员的包夹防守下丧失球权
33'将马西卡放倒                   31'第31分钟，耶拉维奇头球后蹭，斯蒂夫高速前插在面对人和三名球员的包夹防守下丧失球权
33'范云龙吃到了黄牌                   31'第31分钟，耶拉维奇头球后蹭，斯蒂夫高速前插在面对人和三名球员的包夹防守下丧失球权
34'陈杰任意球直接攻门，皮球打到人墙身上弹出                   31'第31分钟，耶拉维奇头球后蹭，斯蒂夫高速前插在面对人和三名球员的包夹防守下丧失球权
34'陈杰任意球直接攻门，皮球打到人墙身上弹出                   34'第34分钟，斯蒂夫前场右路横传门前，刘博洋抢先将球踢出底线
35'斯蒂夫禁区右侧横传球                   34'第34分钟，斯蒂夫前场右路横传门前，刘博洋抢先将球踢出底线
35'中路刘博洋先出一脚，踢出底线                   34'第34分钟，斯蒂夫前场右路横传门前，刘博洋抢先将球踢出底线
36'范云龙角球开出来，前点被头球顶出                   34'第34分钟，斯蒂夫前场右路横传门前，刘博洋抢先将球踢出底线
36'边路继续传中，传出了界外                   34'第34分钟，斯蒂夫前场右路横传门前，刘博洋抢先将球踢出底线
37'赵和靖左路套边上来，一脚低平球到禁区                   34'第34分钟，斯蒂夫前场右路横传门前，刘博洋抢先将球踢出底线
37'万厚良解围出底线，这个解围球像奔球门去的啊                   34'第34分钟，斯蒂夫前场右路横传门前，刘博洋抢先将球踢出底线
37'范云龙角球开到中路，先被人和球员破坏                   34'第34分钟，斯蒂夫前场右路横传门前，刘博洋抢先将球踢出底线
47'队医进场治疗一下                   47'2分钟后，朱宝杰连续摆脱恒丰防守被侵犯后倒地，人和球员围住裁判施加压力
47'贵州恒丰中场的任意球开出来                   47'2分钟后，朱宝杰连续摆脱恒丰防守被侵犯后倒地，人和球员围住裁判施加压力
47'被对方球员先破坏掉                   47'2分钟后，朱宝杰连续摆脱恒丰防守被侵犯后倒地，人和球员围住裁判施加压力
47'赵和靖左路得球脚腕一抖                   47'2分钟后，朱宝杰连续摆脱恒丰防守被侵犯后倒地，人和球员围住裁判施加压力
47'分球到弧顶前，给的有点偏啊                   47'2分钟后，朱宝杰连续摆脱恒丰防守被侵犯后倒地，人和球员围住裁判施加压力
47'博利后场护球，迪奥普不依不饶                   47'2分钟后，朱宝杰连续摆脱恒丰防守被侵犯后倒地，人和球员围住裁判施加压力
48'边裁举旗了，迪奥普已经越位                   47'2分钟后，朱宝杰连续摆脱恒丰防守被侵犯后倒地，人和球员围住裁判施加压力
48'饶伟辉低平球直传左路                   47'2分钟后，朱宝杰连续摆脱恒丰防守被侵犯后倒地，人和球员围住裁判施加压力
48'马西卡让球转身，加速到了禁区内                   47'2分钟后，朱宝杰连续摆脱恒丰防守被侵犯后倒地，人和球员围住裁判施加压力
48'一脚低射偏出                   47'2分钟后，朱宝杰连续摆脱恒丰防守被侵犯后倒地，人和球员围住裁判施加压力
49'依力哈木江右路起高球了                   47'2分钟后，朱宝杰连续摆脱恒丰防守被侵犯后倒地，人和球员围住裁判施加压力
49'球被禁区内的张烈没收                   47'2分钟后，朱宝杰连续摆脱恒丰防守被侵犯后倒地，人和球员围住裁判施加压力
50'范云龙中圈给到禁区前，斯蒂夫分左路                   47'2分钟后，朱宝杰连续摆脱恒丰防守被侵犯后倒地，人和球员围住裁判施加压力
50'陈吉左路下底横传，禁区内解围不远                   47'2分钟后，朱宝杰连续摆脱恒丰防守被侵犯后倒地，人和球员围住裁判施加压力
50'依力哈木江禁区左侧回做，范云龙跟进抽射打飞                   47'2分钟后，朱宝杰连续摆脱恒丰防守被侵犯后倒地，人和球员围住裁判施加压力
45'博利中场任意球开到左路                   45'第45分钟，斯蒂夫被罗歆从背后踢倒，队医上场为斯蒂夫进行简单治疗
45'先被王刚顶出来                   45'第45分钟，斯蒂夫被罗歆从背后踢倒，队医上场为斯蒂夫进行简单治疗
45'奥古斯托中圈得球，给到左侧朱宝杰                   45'第45分钟，斯蒂夫被罗歆从背后踢倒，队医上场为斯蒂夫进行简单治疗
45'人和在中场控制                   45'第45分钟，斯蒂夫被罗歆从背后踢倒，队医上场为斯蒂夫进行简单治疗
45'罗歆拿球横敲，奥古斯托分左路                   45'第45分钟，斯蒂夫被罗歆从背后踢倒，队医上场为斯蒂夫进行简单治疗
46'马西卡左路拿球被断                   45'第45分钟，斯蒂夫被罗歆从背后踢倒，队医上场为斯蒂夫进行简单治疗
46'唐鑫将球解围出去                   45'第45分钟，斯蒂夫被罗歆从背后踢倒，队医上场为斯蒂夫进行简单治疗
46'上半场补时1分钟                   45'第45分钟，斯蒂夫被罗歆从背后踢倒，队医上场为斯蒂夫进行简单治疗
46'斯蒂夫右路出球后倒地                   45'第45分钟，斯蒂夫被罗歆从背后踢倒，队医上场为斯蒂夫进行简单治疗
46'裁判吹停了比赛                   45'第45分钟，斯蒂夫被罗歆从背后踢倒，队医上场为斯蒂夫进行简单治疗
47'队医进场治疗一下                   45'第45分钟，斯蒂夫被罗歆从背后踢倒，队医上场为斯蒂夫进行简单治疗
47'贵州恒丰中场的任意球开出来                   45'第45分钟，斯蒂夫被罗歆从背后踢倒，队医上场为斯蒂夫进行简单治疗
47'被对方球员先破坏掉                   45'第45分钟，斯蒂夫被罗歆从背后踢倒，队医上场为斯蒂夫进行简单治疗
46'下半场比赛开始                   45'第45分钟，斯蒂夫被罗歆从背后踢倒，队医上场为斯蒂夫进行简单治疗
46'贵州恒丰开出皮球                   45'第45分钟，斯蒂夫被罗歆从背后踢倒，队医上场为斯蒂夫进行简单治疗
46'博利后场大脚开出去                   45'第45分钟，斯蒂夫被罗歆从背后踢倒，队医上场为斯蒂夫进行简单治疗
46'前场左侧被刘博洋解围出界外                   45'第45分钟，斯蒂夫被罗歆从背后踢倒，队医上场为斯蒂夫进行简单治疗
46'赵和靖发出边线球                   45'第45分钟，斯蒂夫被罗歆从背后踢倒，队医上场为斯蒂夫进行简单治疗
46'先被奥古斯托顶出去                   45'第45分钟，斯蒂夫被罗歆从背后踢倒，队医上场为斯蒂夫进行简单治疗
47'赵和靖左路得球脚腕一抖                   45'第45分钟，斯蒂夫被罗歆从背后踢倒，队医上场为斯蒂夫进行简单治疗
47'分球到弧顶前，给的有点偏啊                   45'第45分钟，斯蒂夫被罗歆从背后踢倒，队医上场为斯蒂夫进行简单治疗
47'博利后场护球，迪奥普不依不饶                   45'第45分钟，斯蒂夫被罗歆从背后踢倒，队医上场为斯蒂夫进行简单治疗
48'边裁举旗了，迪奥普已经越位                   45'第45分钟，斯蒂夫被罗歆从背后踢倒，队医上场为斯蒂夫进行简单治疗
48'饶伟辉低平球直传左路                   45'第45分钟，斯蒂夫被罗歆从背后踢倒，队医上场为斯蒂夫进行简单治疗
48'马西卡让球转身，加速到了禁区内                   45'第45分钟，斯蒂夫被罗歆从背后踢倒，队医上场为斯蒂夫进行简单治疗
48'一脚低射偏出                   45'第45分钟，斯蒂夫被罗歆从背后踢倒，队医上场为斯蒂夫进行简单治疗
60'万厚良任意球开出来                   60'经过15分钟的中场休息，两队开始了下半场的较量
60'王刚右路拿球，给到刘博洋                   60'经过15分钟的中场休息，两队开始了下半场的较量
60'刘博洋禁区前沿横敲到左侧，饶伟辉接球尝试远射，稍稍偏出                   60'经过15分钟的中场休息，两队开始了下半场的较量
61'人和换人，曹永竞替下刘博洋                   60'经过15分钟的中场休息，两队开始了下半场的较量
62'贵州中圈断球给到左路                   60'经过15分钟的中场休息，两队开始了下半场的较量
62'斯蒂夫禁区左侧踩单车，踩球上了                   60'经过15分钟的中场休息，两队开始了下半场的较量
62'人和右路反击，王刚突破被拉住了                   60'经过15分钟的中场休息，两队开始了下半场的较量
62'闵俊麟的回防犯规                   60'经过15分钟的中场休息，两队开始了下半场的较量
62'人和获得右路任意球                   60'经过15分钟的中场休息，两队开始了下半场的较量
63'朱宝杰任意球开到禁区，耶拉维奇先顶一头，出了底线                   60'经过15分钟的中场休息，两队开始了下半场的较量
63'朱宝杰开出角球到禁区，被蹭出到外围                   60'经过15分钟的中场休息，两队开始了下半场的较量
46'马西卡左路拿球被断                   46'1分钟后，伊力哈木江禁区内回传范云龙，后者的远射再次高出门楣
46'唐鑫将球解围出去                   46'1分钟后，伊力哈木江禁区内回传范云龙，后者的远射再次高出门楣
46'上半场补时1分钟                   46'1分钟后，伊力哈木江禁区内回传范云龙，后者的远射再次高出门楣
46'斯蒂夫右路出球后倒地                   46'1分钟后，伊力哈木江禁区内回传范云龙，后者的远射再次高出门楣
46'裁判吹停了比赛                   46'1分钟后，伊力哈木江禁区内回传范云龙，后者的远射再次高出门楣
47'队医进场治疗一下                   46'1分钟后，伊力哈木江禁区内回传范云龙，后者的远射再次高出门楣
47'贵州恒丰中场的任意球开出来                   46'1分钟后，伊力哈木江禁区内回传范云龙，后者的远射再次高出门楣
47'被对方球员先破坏掉                   46'1分钟后，伊力哈木江禁区内回传范云龙，后者的远射再次高出门楣
46'下半场比赛开始                   46'1分钟后，伊力哈木江禁区内回传范云龙，后者的远射再次高出门楣
46'贵州恒丰开出皮球                   46'1分钟后，伊力哈木江禁区内回传范云龙，后者的远射再次高出门楣
46'博利后场大脚开出去                   46'1分钟后，伊力哈木江禁区内回传范云龙，后者的远射再次高出门楣
46'前场左侧被刘博洋解围出界外                   46'1分钟后，伊力哈木江禁区内回传范云龙，后者的远射再次高出门楣
46'赵和靖发出边线球                   46'1分钟后，伊力哈木江禁区内回传范云龙，后者的远射再次高出门楣
46'先被奥古斯托顶出去                   46'1分钟后，伊力哈木江禁区内回传范云龙，后者的远射再次高出门楣
47'赵和靖左路得球脚腕一抖                   46'1分钟后，伊力哈木江禁区内回传范云龙，后者的远射再次高出门楣
47'分球到弧顶前，给的有点偏啊                   46'1分钟后，伊力哈木江禁区内回传范云龙，后者的远射再次高出门楣
47'博利后场护球，迪奥普不依不饶                   46'1分钟后，伊力哈木江禁区内回传范云龙，后者的远射再次高出门楣
48'边裁举旗了，迪奥普已经越位                   46'1分钟后，伊力哈木江禁区内回传范云龙，后者的远射再次高出门楣
48'饶伟辉低平球直传左路                   46'1分钟后，伊力哈木江禁区内回传范云龙，后者的远射再次高出门楣
48'马西卡让球转身，加速到了禁区内                   46'1分钟后，伊力哈木江禁区内回传范云龙，后者的远射再次高出门楣
48'一脚低射偏出                   46'1分钟后，伊力哈木江禁区内回传范云龙，后者的远射再次高出门楣
49'依力哈木江右路起高球了                   46'1分钟后，伊力哈木江禁区内回传范云龙，后者的远射再次高出门楣
49'球被禁区内的张烈没收                   46'1分钟后，伊力哈木江禁区内回传范云龙，后者的远射再次高出门楣
54'贵州任意球开到禁区，被顶出边线                   54'第54分钟，耶拉维奇前场与斯蒂夫形成配合，但耶拉维奇最后一传传到了斯蒂夫身后，贵州恒丰错过一次进球良机
54'马西卡左路加速突破                   54'第54分钟，耶拉维奇前场与斯蒂夫形成配合，但耶拉维奇最后一传传到了斯蒂夫身后，贵州恒丰错过一次进球良机
54'身后唐鑫拉拽犯规                   54'第54分钟，耶拉维奇前场与斯蒂夫形成配合，但耶拉维奇最后一传传到了斯蒂夫身后，贵州恒丰错过一次进球良机
55'人和获得前场左路定位球                   54'第54分钟，耶拉维奇前场与斯蒂夫形成配合，但耶拉维奇最后一传传到了斯蒂夫身后，贵州恒丰错过一次进球良机
55'战术任意球开出，挑传到左路被破坏                   54'第54分钟，耶拉维奇前场与斯蒂夫形成配合，但耶拉维奇最后一传传到了斯蒂夫身后，贵州恒丰错过一次进球良机
55'斯蒂夫前场接球给到右侧                   54'第54分钟，耶拉维奇前场与斯蒂夫形成配合，但耶拉维奇最后一传传到了斯蒂夫身后，贵州恒丰错过一次进球良机
56'耶拉维奇禁区右侧低平球给到门前，斯蒂夫停到了身后啊                   54'第54分钟，耶拉维奇前场与斯蒂夫形成配合，但耶拉维奇最后一传传到了斯蒂夫身后，贵州恒丰错过一次进球良机
57'斯蒂夫前场争抢，万厚良被吹了手球                   54'第54分钟，耶拉维奇前场与斯蒂夫形成配合，但耶拉维奇最后一传传到了斯蒂夫身后，贵州恒丰错过一次进球良机
57'任意球打到禁区内，直接出了底线                   54'第54分钟，耶拉维奇前场与斯蒂夫形成配合，但耶拉维奇最后一传传到了斯蒂夫身后，贵州恒丰错过一次进球良机
63'朱宝杰任意球开到禁区，耶拉维奇先顶一头，出了底线                   63'第63分钟，场上局面出现转折，范云龙在防守刚刚替补登场的曹永竞时领到了第二张黄牌，被主裁判红牌罚下
63'朱宝杰开出角球到禁区，被蹭出到外围                   63'第63分钟，场上局面出现转折，范云龙在防守刚刚替补登场的曹永竞时领到了第二张黄牌，被主裁判红牌罚下
64'中场人和继续控制球                   63'第63分钟，场上局面出现转折，范云龙在防守刚刚替补登场的曹永竞时领到了第二张黄牌，被主裁判红牌罚下
64'王刚左路的突破下底                   63'第63分钟，场上局面出现转折，范云龙在防守刚刚替补登场的曹永竞时领到了第二张黄牌，被主裁判红牌罚下
64'一脚传中给了门将苏渤洋                   63'第63分钟，场上局面出现转折，范云龙在防守刚刚替补登场的曹永竞时领到了第二张黄牌，被主裁判红牌罚下
64'马西卡左路突破传中                   63'第63分钟，场上局面出现转折，范云龙在防守刚刚替补登场的曹永竞时领到了第二张黄牌，被主裁判红牌罚下
65'直接出了禁区                   63'第63分钟，场上局面出现转折，范云龙在防守刚刚替补登场的曹永竞时领到了第二张黄牌，被主裁判红牌罚下
65'镜头回来，裁判掏出了红牌啊                   63'第63分钟，场上局面出现转折，范云龙在防守刚刚替补登场的曹永竞时领到了第二张黄牌，被主裁判红牌罚下
66'曹永竞前场出球后被范云龙侧后方铲倒，裁判掏出第二张黄牌将范云龙罚下                   63'第63分钟，场上局面出现转折，范云龙在防守刚刚替补登场的曹永竞时领到了第二张黄牌，被主裁判红牌罚下
66'陈杰中场拿球直传                   63'第63分钟，场上局面出现转折，范云龙在防守刚刚替补登场的曹永竞时领到了第二张黄牌，被主裁判红牌罚下
46'马西卡左路拿球被断                   46'1分钟后，饶伟辉禁区线附近远射被恒丰门将苏渤洋倒地扑住
46'唐鑫将球解围出去                   46'1分钟后，饶伟辉禁区线附近远射被恒丰门将苏渤洋倒地扑住
46'上半场补时1分钟                   46'1分钟后，饶伟辉禁区线附近远射被恒丰门将苏渤洋倒地扑住
46'斯蒂夫右路出球后倒地                   46'1分钟后，饶伟辉禁区线附近远射被恒丰门将苏渤洋倒地扑住
46'裁判吹停了比赛                   46'1分钟后，饶伟辉禁区线附近远射被恒丰门将苏渤洋倒地扑住
47'队医进场治疗一下                   46'1分钟后，饶伟辉禁区线附近远射被恒丰门将苏渤洋倒地扑住
47'贵州恒丰中场的任意球开出来                   46'1分钟后，饶伟辉禁区线附近远射被恒丰门将苏渤洋倒地扑住
47'被对方球员先破坏掉                   46'1分钟后，饶伟辉禁区线附近远射被恒丰门将苏渤洋倒地扑住
46'下半场比赛开始                   46'1分钟后，饶伟辉禁区线附近远射被恒丰门将苏渤洋倒地扑住
46'贵州恒丰开出皮球                   46'1分钟后，饶伟辉禁区线附近远射被恒丰门将苏渤洋倒地扑住
46'博利后场大脚开出去                   46'1分钟后，饶伟辉禁区线附近远射被恒丰门将苏渤洋倒地扑住
46'前场左侧被刘博洋解围出界外                   46'1分钟后，饶伟辉禁区线附近远射被恒丰门将苏渤洋倒地扑住
46'赵和靖发出边线球                   46'1分钟后，饶伟辉禁区线附近远射被恒丰门将苏渤洋倒地扑住
46'先被奥古斯托顶出去                   46'1分钟后，饶伟辉禁区线附近远射被恒丰门将苏渤洋倒地扑住
47'赵和靖左路得球脚腕一抖                   46'1分钟后，饶伟辉禁区线附近远射被恒丰门将苏渤洋倒地扑住
47'分球到弧顶前，给的有点偏啊                   46'1分钟后，饶伟辉禁区线附近远射被恒丰门将苏渤洋倒地扑住
47'博利后场护球，迪奥普不依不饶                   46'1分钟后，饶伟辉禁区线附近远射被恒丰门将苏渤洋倒地扑住
48'边裁举旗了，迪奥普已经越位                   46'1分钟后，饶伟辉禁区线附近远射被恒丰门将苏渤洋倒地扑住
48'饶伟辉低平球直传左路                   46'1分钟后，饶伟辉禁区线附近远射被恒丰门将苏渤洋倒地扑住
48'马西卡让球转身，加速到了禁区内                   46'1分钟后，饶伟辉禁区线附近远射被恒丰门将苏渤洋倒地扑住
48'一脚低射偏出                   46'1分钟后，饶伟辉禁区线附近远射被恒丰门将苏渤洋倒地扑住
49'依力哈木江右路起高球了                   46'1分钟后，饶伟辉禁区线附近远射被恒丰门将苏渤洋倒地扑住
49'球被禁区内的张烈没收                   46'1分钟后，饶伟辉禁区线附近远射被恒丰门将苏渤洋倒地扑住
75'迪奥普前场接球回做，马西卡得球尝试远射，被苏渤洋拿到                   75'第75分钟，王刚禁区内小角度的射门被赵和靖倒地滑铲封堵出底线
75'马西卡在射门后也是看了看草皮                   75'第75分钟，王刚禁区内小角度的射门被赵和靖倒地滑铲封堵出底线
76'王刚突入禁区右侧小角度打门                   75'第75分钟，王刚禁区内小角度的射门被赵和靖倒地滑铲封堵出底线
76'赵和靖及时倒地挡出底线                   75'第75分钟，王刚禁区内小角度的射门被赵和靖倒地滑铲封堵出底线
76'朱宝杰角球开到禁区                   75'第75分钟，王刚禁区内小角度的射门被赵和靖倒地滑铲封堵出底线
77'乱战中，贵州一个大脚开出                   75'第75分钟，王刚禁区内小角度的射门被赵和靖倒地滑铲封堵出底线
77'镜头回来，禁区内人仰马翻啊                   75'第75分钟，王刚禁区内小角度的射门被赵和靖倒地滑铲封堵出底线
78'斯蒂夫和万厚良倒在地上，张烈倒地没收皮球                   75'第75分钟，王刚禁区内小角度的射门被赵和靖倒地滑铲封堵出底线
78'贵州恒丰后场长传，斯蒂夫停球稍大                   75'第75分钟，王刚禁区内小角度的射门被赵和靖倒地滑铲封堵出底线
78'万厚良先捅一下，斯蒂夫射门踢到了万厚良腿上                   75'第75分钟，王刚禁区内小角度的射门被赵和靖倒地滑铲封堵出底线
86'场边贵州换人                   86'第86分钟，饶伟辉在伊力哈木江已经突破成功的情况下背后犯规，裁判出示黄牌
86'王帆替下斯蒂夫                   86'第86分钟，饶伟辉在伊力哈木江已经突破成功的情况下背后犯规，裁判出示黄牌
87'赵和靖后场上抢，顺势直传球                   86'第86分钟，饶伟辉在伊力哈木江已经突破成功的情况下背后犯规，裁判出示黄牌
87'王帆没有接到，给出了边线                   86'第86分钟，饶伟辉在伊力哈木江已经突破成功的情况下背后犯规，裁判出示黄牌
88'依力哈木江右路反击，内切后被饶伟辉放倒                   86'第86分钟，饶伟辉在伊力哈木江已经突破成功的情况下背后犯规，裁判出示黄牌
88'饶伟辉吃到一张黄牌                   86'第86分钟，饶伟辉在伊力哈木江已经突破成功的情况下背后犯规，裁判出示黄牌
88'人和换人，向汉天替下朱宝杰                   86'第86分钟，饶伟辉在伊力哈木江已经突破成功的情况下背后犯规，裁判出示黄牌
49'依力哈木江右路起高球了                   49'经过4分钟的伤停补时，两队结束了全场比赛的对决，贵州恒丰在先进一球的优势局面下，最终1-1与北京人和握手言和
49'球被禁区内的张烈没收                   49'经过4分钟的伤停补时，两队结束了全场比赛的对决，贵州恒丰在先进一球的优势局面下，最终1-1与北京人和握手言和
50'范云龙中圈给到禁区前，斯蒂夫分左路                   49'经过4分钟的伤停补时，两队结束了全场比赛的对决，贵州恒丰在先进一球的优势局面下，最终1-1与北京人和握手言和
50'陈吉左路下底横传，禁区内解围不远                   49'经过4分钟的伤停补时，两队结束了全场比赛的对决，贵州恒丰在先进一球的优势局面下，最终1-1与北京人和握手言和
50'依力哈木江禁区左侧回做，范云龙跟进抽射打飞                   49'经过4分钟的伤停补时，两队结束了全场比赛的对决，贵州恒丰在先进一球的优势局面下，最终1-1与北京人和握手言和
51'依力哈木江推进分球到右路                   49'经过4分钟的伤停补时，两队结束了全场比赛的对决，贵州恒丰在先进一球的优势局面下，最终1-1与北京人和握手言和
51'斯蒂夫插上，还是先出了界外                   49'经过4分钟的伤停补时，两队结束了全场比赛的对决，贵州恒丰在先进一球的优势局面下，最终1-1与北京人和握手言和
51'罗歆后场防守，踹倒了耶拉维奇                   49'经过4分钟的伤停补时，两队结束了全场比赛的对决，贵州恒丰在先进一球的优势局面下，最终1-1与北京人和握手言和
51'罗歆吃到黄牌                   49'经过4分钟的伤停补时，两队结束了全场比赛的对决，贵州恒丰在先进一球的优势局面下，最终1-1与北京人和握手言和
51'队医进场治疗一下                   49'经过4分钟的伤停补时，两队结束了全场比赛的对决，贵州恒丰在先进一球的优势局面下，最终1-1与北京人和握手言和
52'裁判要去看VAR了                   49'经过4分钟的伤停补时，两队结束了全场比赛的对决，贵州恒丰在先进一球的优势局面下，最终1-1与北京人和握手言和
52'罗歆是不是得慌了                   49'经过4分钟的伤停补时，两队结束了全场比赛的对决，贵州恒丰在先进一球的优势局面下，最终1-1与北京人和握手言和
