5'上个赛季申花客场遭遇人和的高空轰炸，客场2-4告负                   5'开赛第5分钟柏佳骏左路突破后回传，但宋博轩领球不顺失去射门机会
11'宋博轩左路拿球，面对陈昌源的防守下底传中                   10'第10分钟申花险些再下一城，宋博轩左路摆脱陈昌源后下底传中，埋伏在中路的达迪“狮子摇头”攻门，球被张烈扑出底线
11'达迪中路包抄头球冲顶，张烈奋力将球扑出底线                   10'第10分钟申花险些再下一城，宋博轩左路摆脱陈昌源后下底传中，埋伏在中路的达迪“狮子摇头”攻门，球被张烈扑出底线
12'申花获得角球机会，姜坤主罚                   10'第10分钟申花险些再下一城，宋博轩左路摆脱陈昌源后下底传中，埋伏在中路的达迪“狮子摇头”攻门，球被张烈扑出底线
12'角球开出，张烈出击没能拿到                   10'第10分钟申花险些再下一城，宋博轩左路摆脱陈昌源后下底传中，埋伏在中路的达迪“狮子摇头”攻门，球被张烈扑出底线
12'禁区内混战，申花球员打门被后卫挡出                   10'第10分钟申花险些再下一城，宋博轩左路摆脱陈昌源后下底传中，埋伏在中路的达迪“狮子摇头”攻门，球被张烈扑出底线
12'达迪跟上的补射，边裁举旗，越位在先                   10'第10分钟申花险些再下一城，宋博轩左路摆脱陈昌源后下底传中，埋伏在中路的达迪“狮子摇头”攻门，球被张烈扑出底线
13'孙继海后场的过顶长传找前插的拉法                   10'第10分钟申花险些再下一城，宋博轩左路摆脱陈昌源后下底传中，埋伏在中路的达迪“狮子摇头”攻门，球被张烈扑出底线
13'拉法在对方球员的干扰下，停球没停好，出了底线                   10'第10分钟申花险些再下一城，宋博轩左路摆脱陈昌源后下底传中，埋伏在中路的达迪“狮子摇头”攻门，球被张烈扑出底线
13'孙继海后场的过顶长传找前插的拉法                   13'第13分钟，第1分钟非常被动的贵州队终于发起一次象样的反击，张成林左路长传，曲波右路高速插上，但射门太轻被王大雷稳稳接住来球
13'拉法在对方球员的干扰下，停球没停好，出了底线                   13'第13分钟，第1分钟非常被动的贵州队终于发起一次象样的反击，张成林左路长传，曲波右路高速插上，但射门太轻被王大雷稳稳接住来球
14'申花左路的进攻，萨利补防将球解围出边线                   13'第13分钟，第1分钟非常被动的贵州队终于发起一次象样的反击，张成林左路长传，曲波右路高速插上，但射门太轻被王大雷稳稳接住来球
14'纳诺后场抢断，横拨给到张成林                   13'第13分钟，第1分钟非常被动的贵州队终于发起一次象样的反击，张成林左路长传，曲波右路高速插上，但射门太轻被王大雷稳稳接住来球
14'张成林拿球过了中线，直接长传球到对方禁区                   13'第13分钟，第1分钟非常被动的贵州队终于发起一次象样的反击，张成林左路长传，曲波右路高速插上，但射门太轻被王大雷稳稳接住来球
15'曲波插上的打门，自己脚下打滑，摔倒在地                   13'第13分钟，第1分钟非常被动的贵州队终于发起一次象样的反击，张成林左路长传，曲波右路高速插上，但射门太轻被王大雷稳稳接住来球
15'球被王大雷出击直接揽入怀中                   13'第13分钟，第1分钟非常被动的贵州队终于发起一次象样的反击，张成林左路长传，曲波右路高速插上，但射门太轻被王大雷稳稳接住来球
15'陈昌源右路拿球面对宋博轩的防守强突                   13'第13分钟，第1分钟非常被动的贵州队终于发起一次象样的反击，张成林左路长传，曲波右路高速插上，但射门太轻被王大雷稳稳接住来球
15'结果自己趟球趟的太大，直接趟出了底线                   13'第13分钟，第1分钟非常被动的贵州队终于发起一次象样的反击，张成林左路长传，曲波右路高速插上，但射门太轻被王大雷稳稳接住来球
16'莫雷诺中路的过顶球找达迪，球直接传出了边线                   13'第13分钟，第1分钟非常被动的贵州队终于发起一次象样的反击，张成林左路长传，曲波右路高速插上，但射门太轻被王大雷稳稳接住来球
16'萨利后场拿球，横拨给到孙继海                   13'第13分钟，第1分钟非常被动的贵州队终于发起一次象样的反击，张成林左路长传，曲波右路高速插上，但射门太轻被王大雷稳稳接住来球
17'孙继海短传过度交给曲波                   17'第17分钟哈蒂布右路得球冲击，孙继海上来拦截，哈蒂布和孙继海开始拼速度，明显哈蒂布脚下带球的速度还要快一点，杀入禁区后孙继海无奈放铲将其放倒，点球
17'曲波和于海的踢墙配合，于海拿球转身传球到禁区                   17'第17分钟哈蒂布右路得球冲击，孙继海上来拦截，哈蒂布和孙继海开始拼速度，明显哈蒂布脚下带球的速度还要快一点，杀入禁区后孙继海无奈放铲将其放倒，点球
17'穆斯利力压王长庆的头球攻门，太正也没力量，被王大雷轻松拿到                   17'第17分钟哈蒂布右路得球冲击，孙继海上来拦截，哈蒂布和孙继海开始拼速度，明显哈蒂布脚下带球的速度还要快一点，杀入禁区后孙继海无奈放铲将其放倒，点球
18'哈蒂布前场拿球，面对孙继海强突进入禁区                   17'第17分钟哈蒂布右路得球冲击，孙继海上来拦截，哈蒂布和孙继海开始拼速度，明显哈蒂布脚下带球的速度还要快一点，杀入禁区后孙继海无奈放铲将其放倒，点球
18'孙继海放铲，哈蒂布倒地，点球！！！                   17'第17分钟哈蒂布右路得球冲击，孙继海上来拦截，哈蒂布和孙继海开始拼速度，明显哈蒂布脚下带球的速度还要快一点，杀入禁区后孙继海无奈放铲将其放倒，点球
18'王津给了申花一个点球，申花有机会扩大比分哦                   17'第17分钟哈蒂布右路得球冲击，孙继海上来拦截，哈蒂布和孙继海开始拼速度，明显哈蒂布脚下带球的速度还要快一点，杀入禁区后孙继海无奈放铲将其放倒，点球
19'莫雷诺点球命中！！！                   17'第17分钟哈蒂布右路得球冲击，孙继海上来拦截，哈蒂布和孙继海开始拼速度，明显哈蒂布脚下带球的速度还要快一点，杀入禁区后孙继海无奈放铲将其放倒，点球
20'莫雷诺助跑，假动作，张烈判断正确，可惜莫雷诺的打门势大力沉，且角度刁钻，直接打进球门左侧底角死角，脚法非常不错                   17'第17分钟哈蒂布右路得球冲击，孙继海上来拦截，哈蒂布和孙继海开始拼速度，明显哈蒂布脚下带球的速度还要快一点，杀入禁区后孙继海无奈放铲将其放倒，点球
20'纳诺前场拿球，内切中自己将球丢啦                   17'第17分钟哈蒂布右路得球冲击，孙继海上来拦截，哈蒂布和孙继海开始拼速度，明显哈蒂布脚下带球的速度还要快一点，杀入禁区后孙继海无奈放铲将其放倒，点球
20'莫雷诺拿球过了中线，没机会回敲给到王寿挺                   17'第17分钟哈蒂布右路得球冲击，孙继海上来拦截，哈蒂布和孙继海开始拼速度，明显哈蒂布脚下带球的速度还要快一点，杀入禁区后孙继海无奈放铲将其放倒，点球
23'纳诺得到球权，左路拿球继续过度                   23'第23分钟，贵州队换人，范云龙换下纳诺
23'王津吹停比赛，第四官员召唤中                   23'第23分钟，贵州队换人，范云龙换下纳诺
24'原来是申花替补席站起来指挥比赛的人太多了，被第四官员投诉，王津过来进行口头警告                   23'第23分钟，贵州队换人，范云龙换下纳诺
24'人和左侧的角球机会，没什么威胁                   23'第23分钟，贵州队换人，范云龙换下纳诺
25'人和率先换人啦：6号范云龙换下7号纳诺                   23'第23分钟，贵州队换人，范云龙换下纳诺
25'这个换人是对位的换人，这让纳诺很没面子啊                   23'第23分钟，贵州队换人，范云龙换下纳诺
26'上半场25分钟，申花客场2-0领先                   23'第23分钟，贵州队换人，范云龙换下纳诺
26'射门方面，申花目前6次射门打进2球，人和3次射门，犯规人和5-1申花                   23'第23分钟，贵州队换人，范云龙换下纳诺
28'人和现在踢的有点着急，场上队员的心态有点问题啦                   28'第28分钟于海直接30米外远射打高
28'申花的反击，差之毫厘，立柱救命啊                   28'第28分钟于海直接30米外远射打高
28'申花中场的过顶球，哈蒂布拿球，禁区线上面对两名后卫的起脚打门，球击中右侧立柱出底线                   28'第28分钟于海直接30米外远射打高
28'申花获得角球机会，姜坤主罚                   28'第28分钟于海直接30米外远射打高
29'角球开出，第一点被人和球员解围                   28'第28分钟于海直接30米外远射打高
29'哈蒂布禁区外得到第二落点，面对陈昌源的防守，连续的晃动                   28'第28分钟于海直接30米外远射打高
29'结果在转身一刹那，球被陈昌源上抢碰出了边线                   28'第28分钟于海直接30米外远射打高
30'人和的后场抢断，于海拿球过了中线，直接的一脚远射，球飞向了看台                   28'第28分钟于海直接30米外远射打高
30'萨利中场抢断，自己拿球组织，可惜直传球被断                   28'第28分钟于海直接30米外远射打高
31'姜坤拿球，过度给到莫雷诺                   28'第28分钟于海直接30米外远射打高
31'莫雷诺的传球交给达迪，达迪右路拿球被张成林抢断                   28'第28分钟于海直接30米外远射打高
31'人和的进攻，中场的过顶球到禁区弧位置                   28'第28分钟于海直接30米外远射打高
31'戴琳身后争抢中，撞倒了曲波                   28'第28分钟于海直接30米外远射打高
42'人和左路的大范围转移球到右路找曲波                   42'第42分钟陈昌源传到禁区，张成林顶到中路，斯基亚维抢在穆斯利之前大脚解围
42'曲波自己停球停大，直接出了底线                   42'第42分钟陈昌源传到禁区，张成林顶到中路，斯基亚维抢在穆斯利之前大脚解围
42'上半场比赛已经接近尾声，比分2-0，申花领先                   42'第42分钟陈昌源传到禁区，张成林顶到中路，斯基亚维抢在穆斯利之前大脚解围
43'人和在换上范云龙后发动了几波攻势，但真正的威胁机会并不多                   42'第42分钟陈昌源传到禁区，张成林顶到中路，斯基亚维抢在穆斯利之前大脚解围
43'陈昌源右路拿球传中到后点，于海头球摆渡到中路                   42'第42分钟陈昌源传到禁区，张成林顶到中路，斯基亚维抢在穆斯利之前大脚解围
44'斯基亚维在穆斯利之前将球解围出边线                   42'第42分钟陈昌源传到禁区，张成林顶到中路，斯基亚维抢在穆斯利之前大脚解围
44'这个补防相当关键，不然穆斯利几乎空门啦                   42'第42分钟陈昌源传到禁区，张成林顶到中路，斯基亚维抢在穆斯利之前大脚解围
45'人和的前场的倒三角传接，范云龙禁区线上左脚吊门，王大雷将球拿到                   42'第42分钟陈昌源传到禁区，张成林顶到中路，斯基亚维抢在穆斯利之前大脚解围
45'人和的进攻再来，穆斯利左路拿球进入禁区，连续的晃动摆脱防守                   42'第42分钟陈昌源传到禁区，张成林顶到中路，斯基亚维抢在穆斯利之前大脚解围
45'人和的前场的倒三角传接，范云龙禁区线上左脚吊门，王大雷将球拿到                   45'第45分钟孙继海左路断球后45度传中，着急的张成林禁区里手球攻门，王津对其亮出黄牌
45'人和的进攻再来，穆斯利左路拿球进入禁区，连续的晃动摆脱防守                   45'第45分钟孙继海左路断球后45度传中，着急的张成林禁区里手球攻门，王津对其亮出黄牌
46'穆斯利的一脚近距离铲射，王大雷奋力将球扑出底线，角球                   45'第45分钟孙继海左路断球后45度传中，着急的张成林禁区里手球攻门，王津对其亮出黄牌
46'上半场补时1分钟                   45'第45分钟孙继海左路断球后45度传中，着急的张成林禁区里手球攻门，王津对其亮出黄牌
46'角球开出，拉法拿球，禁区右侧转身再射，又被后卫挡出底线                   45'第45分钟孙继海左路断球后45度传中，着急的张成林禁区里手球攻门，王津对其亮出黄牌
46'人和继续角球，不过这次没什么威胁                   45'第45分钟孙继海左路断球后45度传中，着急的张成林禁区里手球攻门，王津对其亮出黄牌
47'孙继海中场断球，左路拿球直接斜传球到禁区                   45'第45分钟孙继海左路断球后45度传中，着急的张成林禁区里手球攻门，王津对其亮出黄牌
47'张成林包抄中故意伸手将球打向球门                   45'第45分钟孙继海左路断球后45度传中，着急的张成林禁区里手球攻门，王津对其亮出黄牌
47'王津鸣哨，吹罚张成林故意手球，黄牌送上                   45'第45分钟孙继海左路断球后45度传中，着急的张成林禁区里手球攻门，王津对其亮出黄牌
46'下半场比赛开始，申花开球                   45'第45分钟孙继海左路断球后45度传中，着急的张成林禁区里手球攻门，王津对其亮出黄牌
46'人和的中场抢断，前场进攻赢得任意球机会                   45'第45分钟孙继海左路断球后45度传中，着急的张成林禁区里手球攻门，王津对其亮出黄牌
46'范云龙任意球斜传禁区，戴琳头球解围                   45'第45分钟孙继海左路断球后45度传中，着急的张成林禁区里手球攻门，王津对其亮出黄牌
47'于海得到第二落点，禁区左上角的挑传球到门前                   45'第45分钟孙继海左路断球后45度传中，着急的张成林禁区里手球攻门，王津对其亮出黄牌
47'张成林跟上的头球攻门，太正，被王大雷没收                   45'第45分钟孙继海左路断球后45度传中，着急的张成林禁区里手球攻门，王津对其亮出黄牌
47'哈蒂布前场和张成林的争抢中，哈蒂布受伤倒地                   45'第45分钟孙继海左路断球后45度传中，着急的张成林禁区里手球攻门，王津对其亮出黄牌
48'慢镜回放显示，张成林在争抢中手掌直接打在了哈蒂布的脸上                   45'第45分钟孙继海左路断球后45度传中，着急的张成林禁区里手球攻门，王津对其亮出黄牌
48'萨利后场拿球，过了中线直接长传到左路找范云龙                   45'第45分钟孙继海左路断球后45度传中，着急的张成林禁区里手球攻门，王津对其亮出黄牌
49'范云龙在王长庆的干扰下，没能拿到，球出了边线                   49'第49分钟斯基亚维头球解围时被戴琳误伤鼻子，王津要求斯基亚维离场治疗，幸亏贵州连续角球都未形成威胁
49'张成林左路拿球，横传交给范云龙                   49'第49分钟斯基亚维头球解围时被戴琳误伤鼻子，王津要求斯基亚维离场治疗，幸亏贵州连续角球都未形成威胁
49'范云龙继续横传，可惜失误了，被莫雷诺抢断                   49'第49分钟斯基亚维头球解围时被戴琳误伤鼻子，王津要求斯基亚维离场治疗，幸亏贵州连续角球都未形成威胁
49'莫雷诺拿球横带，分边右路时直接出了边线                   49'第49分钟斯基亚维头球解围时被戴琳误伤鼻子，王津要求斯基亚维离场治疗，幸亏贵州连续角球都未形成威胁
50'穆斯利前场背身拿球，哈蒂布回防神后上抢，踢倒了穆斯利，犯规                   49'第49分钟斯基亚维头球解围时被戴琳误伤鼻子，王津要求斯基亚维离场治疗，幸亏贵州连续角球都未形成威胁
50'人和获得前场左侧任意球机会，曲波主罚                   49'第49分钟斯基亚维头球解围时被戴琳误伤鼻子，王津要求斯基亚维离场治疗，幸亏贵州连续角球都未形成威胁
51'曲波任意球斜传禁区，戴琳和斯基亚维争抢撞在一起，球出底线                   49'第49分钟斯基亚维头球解围时被戴琳误伤鼻子，王津要求斯基亚维离场治疗，幸亏贵州连续角球都未形成威胁
52'斯基亚维被戴琳一头顶的挂彩了，嘴角有血，出场处理                   49'第49分钟斯基亚维头球解围时被戴琳误伤鼻子，王津要求斯基亚维离场治疗，幸亏贵州连续角球都未形成威胁
52'人和右侧角球机会，开到禁区，第一点被申花球员解围出底线                   49'第49分钟斯基亚维头球解围时被戴琳误伤鼻子，王津要求斯基亚维离场治疗，幸亏贵州连续角球都未形成威胁
52'继续角球，莫雷诺将球解围                   49'第49分钟斯基亚维头球解围时被戴琳误伤鼻子，王津要求斯基亚维离场治疗，幸亏贵州连续角球都未形成威胁
52'陈昌源得到第二落点，禁区外直接拔脚怒射，打飞                   49'第49分钟斯基亚维头球解围时被戴琳误伤鼻子，王津要求斯基亚维离场治疗，幸亏贵州连续角球都未形成威胁
58'哈蒂布和莫雷诺都在球前                   58'第58分钟陈昌源突破禁区摔倒，裁判表示比赛继续进行，陈十分恼火，申花快速反击到贵州禁区附近，孙继海在达迪射门之前成功解围
58'莫雷诺的任意球搓传禁区，达迪胸部停球                   58'第58分钟陈昌源突破禁区摔倒，裁判表示比赛继续进行，陈十分恼火，申花快速反击到贵州禁区附近，孙继海在达迪射门之前成功解围
58'主裁鸣哨，边裁举旗了，原来是达迪前插时越位啦                   58'第58分钟陈昌源突破禁区摔倒，裁判表示比赛继续进行，陈十分恼火，申花快速反击到贵州禁区附近，孙继海在达迪射门之前成功解围
59'拉法前场中路拿球，直塞给到插入禁区的张成林                   58'第58分钟陈昌源突破禁区摔倒，裁判表示比赛继续进行，陈十分恼火，申花快速反击到贵州禁区附近，孙继海在达迪射门之前成功解围
59'张成林禁区左侧拿球，低平球到中间                   58'第58分钟陈昌源突破禁区摔倒，裁判表示比赛继续进行，陈十分恼火，申花快速反击到贵州禁区附近，孙继海在达迪射门之前成功解围
60'第一点被申花球员解围，陈昌源拿球                   58'第58分钟陈昌源突破禁区摔倒，裁判表示比赛继续进行，陈十分恼火，申花快速反击到贵州禁区附近，孙继海在达迪射门之前成功解围
60'陈昌源拿球内切，宋博轩放铲，将球铲出，陈昌源也是倒在禁区                   58'第58分钟陈昌源突破禁区摔倒，裁判表示比赛继续进行，陈十分恼火，申花快速反击到贵州禁区附近，孙继海在达迪射门之前成功解围
60'王津示意比赛继续，申花的反击                   58'第58分钟陈昌源突破禁区摔倒，裁判表示比赛继续进行，陈十分恼火，申花快速反击到贵州禁区附近，孙继海在达迪射门之前成功解围
60'达迪前场拿球，反击下底中被孙继海将球解围出底线                   58'第58分钟陈昌源突破禁区摔倒，裁判表示比赛继续进行，陈十分恼火，申花快速反击到贵州禁区附近，孙继海在达迪射门之前成功解围
61'申花获得角球机会，姜坤主罚                   58'第58分钟陈昌源突破禁区摔倒，裁判表示比赛继续进行，陈十分恼火，申花快速反击到贵州禁区附近，孙继海在达迪射门之前成功解围
61'角球开出到前点，第一点被人和球员解围                   58'第58分钟陈昌源突破禁区摔倒，裁判表示比赛继续进行，陈十分恼火，申花快速反击到贵州禁区附近，孙继海在达迪射门之前成功解围
62'曲波前插时自己歪了一下脚，摔倒在地                   62'第62分钟贵州队终于得分，孙继海后场长传到禁区，拉法头球摆渡到中路，穆斯利再摆回给拉法，后者直接起右脚凌空怒射，王大雷虽然手碰到一下也无济于事，2比1，贵州人和扳回一球
62'陈昌源右路拿球，莫雷诺回防将球拦截                   62'第62分钟贵州队终于得分，孙继海后场长传到禁区，拉法头球摆渡到中路，穆斯利再摆回给拉法，后者直接起右脚凌空怒射，王大雷虽然手碰到一下也无济于事，2比1，贵州人和扳回一球
63'莫雷诺在对方两人包夹下将球解围出边线                   62'第62分钟贵州队终于得分，孙继海后场长传到禁区，拉法头球摆渡到中路，穆斯利再摆回给拉法，后者直接起右脚凌空怒射，王大雷虽然手碰到一下也无济于事，2比1，贵州人和扳回一球
63'人和再次换人：陈杰换下曲波                   62'第62分钟贵州队终于得分，孙继海后场长传到禁区，拉法头球摆渡到中路，穆斯利再摆回给拉法，后者直接起右脚凌空怒射，王大雷虽然手碰到一下也无济于事，2比1，贵州人和扳回一球
64'人和扳回一球！！！                   62'第62分钟贵州队终于得分，孙继海后场长传到禁区，拉法头球摆渡到中路，穆斯利再摆回给拉法，后者直接起右脚凌空怒射，王大雷虽然手碰到一下也无济于事，2比1，贵州人和扳回一球
64'拉法凌空破门！！！                   62'第62分钟贵州队终于得分，孙继海后场长传到禁区，拉法头球摆渡到中路，穆斯利再摆回给拉法，后者直接起右脚凌空怒射，王大雷虽然手碰到一下也无济于事，2比1，贵州人和扳回一球
65'孙继海后场长传，拉法摆渡中间，穆斯利头球接力回顶给到拉法，拉法凌空抽射得分                   62'第62分钟贵州队终于得分，孙继海后场长传到禁区，拉法头球摆渡到中路，穆斯利再摆回给拉法，后者直接起右脚凌空怒射，王大雷虽然手碰到一下也无济于事，2比1，贵州人和扳回一球
65'不过从慢镜头显示来看，拉法这次打门处于越位位置，错判哦                   62'第62分钟贵州队终于得分，孙继海后场长传到禁区，拉法头球摆渡到中路，穆斯利再摆回给拉法，后者直接起右脚凌空怒射，王大雷虽然手碰到一下也无济于事，2比1，贵州人和扳回一球
65'孙继海后场长传，拉法摆渡中间，穆斯利头球接力回顶给到拉法，拉法凌空抽射得分                   65'第65分钟贵州队继续猛攻，前场连串配合后，陈昌源怒射被王大雷扑住
65'不过从慢镜头显示来看，拉法这次打门处于越位位置，错判哦                   65'第65分钟贵州队继续猛攻，前场连串配合后，陈昌源怒射被王大雷扑住
66'申花换人：27号托兰佐换下9号达迪                   65'第65分钟贵州队继续猛攻，前场连串配合后，陈昌源怒射被王大雷扑住
66'人和的进攻再来，陈昌源右路拿球内切                   65'第65分钟贵州队继续猛攻，前场连串配合后，陈昌源怒射被王大雷扑住
66'禁区外的一脚怒射，王大雷将球没收                   65'第65分钟贵州队继续猛攻，前场连串配合后，陈昌源怒射被王大雷扑住
67'人和开始了猛攻啦，又是于海的打门，被王大雷扑出                   65'第65分钟贵州队继续猛攻，前场连串配合后，陈昌源怒射被王大雷扑住
67'申花再次换人：姜坤被曹赟定换下                   65'第65分钟贵州队继续猛攻，前场连串配合后，陈昌源怒射被王大雷扑住
67'人和获得右侧角球机会，范云龙主罚                   65'第65分钟贵州队继续猛攻，前场连串配合后，陈昌源怒射被王大雷扑住
68'角球开出到后点，第一点被申花球员解围                   65'第65分钟贵州队继续猛攻，前场连串配合后，陈昌源怒射被王大雷扑住
68'人和继续控球组织进攻，孙继海的长传找拉法                   65'第65分钟贵州队继续猛攻，前场连串配合后，陈昌源怒射被王大雷扑住
68'可惜球先出了边线，拉法也是望球心叹                   65'第65分钟贵州队继续猛攻，前场连串配合后，陈昌源怒射被王大雷扑住
66'申花换人：27号托兰佐换下9号达迪                   66'申花有些乱了手脚，必须通过换人来调整阵容，第66分钟曹S定换下姜坤
66'人和的进攻再来，陈昌源右路拿球内切                   66'申花有些乱了手脚，必须通过换人来调整阵容，第66分钟曹S定换下姜坤
66'禁区外的一脚怒射，王大雷将球没收                   66'申花有些乱了手脚，必须通过换人来调整阵容，第66分钟曹S定换下姜坤
67'人和开始了猛攻啦，又是于海的打门，被王大雷扑出                   66'申花有些乱了手脚，必须通过换人来调整阵容，第66分钟曹S定换下姜坤
67'申花再次换人：姜坤被曹赟定换下                   66'申花有些乱了手脚，必须通过换人来调整阵容，第66分钟曹S定换下姜坤
67'人和获得右侧角球机会，范云龙主罚                   66'申花有些乱了手脚，必须通过换人来调整阵容，第66分钟曹S定换下姜坤
68'角球开出到后点，第一点被申花球员解围                   66'申花有些乱了手脚，必须通过换人来调整阵容，第66分钟曹S定换下姜坤
68'人和继续控球组织进攻，孙继海的长传找拉法                   66'申花有些乱了手脚，必须通过换人来调整阵容，第66分钟曹S定换下姜坤
68'可惜球先出了边线，拉法也是望球心叹                   66'申花有些乱了手脚，必须通过换人来调整阵容，第66分钟曹S定换下姜坤
69'人和右路进攻，大范围转移球到左路找拉法                   66'申花有些乱了手脚，必须通过换人来调整阵容，第66分钟曹S定换下姜坤
69'拉法在球出界之前将球勾回，可惜被王长庆抢断                   66'申花有些乱了手脚，必须通过换人来调整阵容，第66分钟曹S定换下姜坤
72'陈杰大力将球传至禁区，斯基亚维得球回敲给到王大雷                   72'第72分钟申花好不容易推进到对方前场，但托兰佐草率远射打高
72'人和反击再来，穆斯利背身回做给到于海                   72'第72分钟申花好不容易推进到对方前场，但托兰佐草率远射打高
72'于海禁区线上的迎球怒射，打偏啦                   72'第72分钟申花好不容易推进到对方前场，但托兰佐草率远射打高
73'拉法中场无人干扰下的传球，被柏佳俊直接抢断                   72'第72分钟申花好不容易推进到对方前场，但托兰佐草率远射打高
73'申花的反击，托兰佐禁区外的远射打偏                   72'第72分钟申花好不容易推进到对方前场，但托兰佐草率远射打高
74'孙继海后场拿球，中线位置直塞给到穆斯利                   72'第72分钟申花好不容易推进到对方前场，但托兰佐草率远射打高
74'穆斯利停球不好，弹起后打在了自己手上，手球。。。                   72'第72分钟申花好不容易推进到对方前场，但托兰佐草率远射打高
75'游客5912:深圳3比2逆转了（强势复苏啊）                   72'第72分钟申花好不容易推进到对方前场，但托兰佐草率远射打高
75'拉法右路拿球，面对戴琳的防守，一个穿裆                   72'第72分钟申花好不容易推进到对方前场，但托兰佐草率远射打高
78'申花的进攻，莫雷诺前场左路拿球反击                   78'第78分钟拉法回到禁区外突然挑射远角被王大雷接个正着
78'莫雷诺左边路下底传中到后点，没有人能顶到啊                   78'第78分钟拉法回到禁区外突然挑射远角被王大雷接个正着
78'人和的左路斜传球到禁区右上角，拉法头球摆渡到中路                   78'第78分钟拉法回到禁区外突然挑射远角被王大雷接个正着
79'穆斯利包抄打门，在斯基亚维的干扰下没能踢上，王大雷出击将球拿到                   78'第78分钟拉法回到禁区外突然挑射远角被王大雷接个正着
79'拉法前场拿球，趟出两步，接着的一脚远射，没威胁，继续被王大雷没收                   78'第78分钟拉法回到禁区外突然挑射远角被王大雷接个正着
80'申花后场失误，人和反击，陈杰的斜传                   78'第78分钟拉法回到禁区外突然挑射远角被王大雷接个正着
80'穆斯利前点一漏，于海接应，可惜是个越位回接。。。                   78'第78分钟拉法回到禁区外突然挑射远角被王大雷接个正着
81'陈昌源右路拿球，曹赟定上抢带倒了陈昌源，犯规                   78'第78分钟拉法回到禁区外突然挑射远角被王大雷接个正着
81'人和获得前场右路的任意球机会                   78'第78分钟拉法回到禁区外突然挑射远角被王大雷接个正着
82'孙继海任意球斜传后点，斯基亚维头球解围出底线                   82'第82分钟莫雷诺和于海拼抢中发生争执，双方队员纠缠在一起，所幸没闹出大乱
82'人和左侧角球机会，开出到禁区，第一点被申花球员解围                   82'第82分钟莫雷诺和于海拼抢中发生争执，双方队员纠缠在一起，所幸没闹出大乱
82'人和禁区外得球，再次组织进攻                   82'第82分钟莫雷诺和于海拼抢中发生争执，双方队员纠缠在一起，所幸没闹出大乱
83'陈杰拿球面对逼抢回传张烈，力量轻了                   82'第82分钟莫雷诺和于海拼抢中发生争执，双方队员纠缠在一起，所幸没闹出大乱
83'曹赟定插上差点抢断，好在张烈及时出击，在禁区一个滑铲，将球解围                   82'第82分钟莫雷诺和于海拼抢中发生争执，双方队员纠缠在一起，所幸没闹出大乱
83'于海和莫雷诺发生了点小摩擦                   82'第82分钟莫雷诺和于海拼抢中发生争执，双方队员纠缠在一起，所幸没闹出大乱
84'萨利上来要位队友出头，戴琳出来也发飙了                   82'第82分钟莫雷诺和于海拼抢中发生争执，双方队员纠缠在一起，所幸没闹出大乱
