2'上海上港队的进攻赢得一个角球机会，开到禁区内，第一点被对方抢到顶出来                   2'第2分钟傅欢右路斜传打到国安队员身后，但埃弗拉跑动中没截住球
34'拉尔夫断球反击                   31'第31分钟张稀哲挑高球入禁区，李磊切入禁区后头球摆渡，伊尔马兹跟进大力怒射，好在金周荣奋力倒地把球挡出
34'张稀哲拿球被蔡慧康给放倒了                   31'第31分钟张稀哲挑高球入禁区，李磊切入禁区后头球摆渡，伊尔马兹跟进大力怒射，好在金周荣奋力倒地把球挡出
36'埃弗拉拿球上塞球给胡尔克，再转移球被挡出来                   35'第35分钟张呈栋大动作飞铲孙祥，但只吃到普通犯规，孙祥强烈不满
36'上海上港队左路再起球传中，雷腾龙解围了～                   35'第35分钟张呈栋大动作飞铲孙祥，但只吃到普通犯规，孙祥强烈不满
37'张呈栋倒地铲球出边线！动作有点大呀！                   35'第35分钟张呈栋大动作飞铲孙祥，但只吃到普通犯规，孙祥强烈不满
37'北京国安队左路的直传球，傅欢抢先卡位成功，把球护住                   35'第35分钟张呈栋大动作飞铲孙祥，但只吃到普通犯规，孙祥强烈不满
37'于大宝犯规～                   35'第35分钟张呈栋大动作飞铲孙祥，但只吃到普通犯规，孙祥强烈不满
44'颜骏凌斜长传球转移到左侧，孙祥控球，转移到石柯的脚下                   44'第44分钟孙祥左路长传，武磊右路禁区拿球后返身送到中路，埃弗拉头球射门偏出
44'王燊超中场拿球被断了                   44'第44分钟孙祥左路长传，武磊右路禁区拿球后返身送到中路，埃弗拉头球射门偏出
44'谢尔盖耶夫得球快速的推进，不过于大宝跑不起来了！估计坚持到中场就得换下了                   44'第44分钟孙祥左路长传，武磊右路禁区拿球后返身送到中路，埃弗拉头球射门偏出
44'埃弗拉分球转移到胡尔克的脚下，45度起球传中被挡了一下                   44'第44分钟孙祥左路长传，武磊右路禁区拿球后返身送到中路，埃弗拉头球射门偏出
45'上半场比赛补时1分钟                   44'第44分钟孙祥左路长传，武磊右路禁区拿球后返身送到中路，埃弗拉头球射门偏出
45'武磊右路一对一传中，门将周挺解围                   44'第44分钟孙祥左路长传，武磊右路禁区拿球后返身送到中路，埃弗拉头球射门偏出
46'主裁判一声哨响，双方上半场的比赛结束                   44'第44分钟孙祥左路长传，武磊右路禁区拿球后返身送到中路，埃弗拉头球射门偏出
46'双方在上半场均无建树，以0－0进入中场休息                   44'第44分钟孙祥左路长传，武磊右路禁区拿球后返身送到中路，埃弗拉头球射门偏出
46'主裁判一声哨响，下半场比赛开始                   44'第44分钟孙祥左路长传，武磊右路禁区拿球后返身送到中路，埃弗拉头球射门偏出
46'克里梅茨迭球，斜长传转移到左侧张池明没有能够拿到球，出了边线                   44'第44分钟孙祥左路长传，武磊右路禁区拿球后返身送到中路，埃弗拉头球射门偏出
47'谢尔盖耶夫禁区前沿打门，打在防守队员身上出了底线                   44'第44分钟孙祥左路长传，武磊右路禁区拿球后返身送到中路，埃弗拉头球射门偏出
47'北京国安队获得角球机会，张稀哲来主罚                   44'第44分钟孙祥左路长传，武磊右路禁区拿球后返身送到中路，埃弗拉头球射门偏出
47'发战术角球，张稀哲转移球给周挺，再吊向禁区内球被顶出来                   44'第44分钟孙祥左路长传，武磊右路禁区拿球后返身送到中路，埃弗拉头球射门偏出
50'张池明斜传球被颜骏凌没收了                   50'第50分钟，被动中的上港取得进球，胡尔克前场拿球，从克里梅茨和拉尔夫夹击中脱身而出，接着他起左脚果断怒射，皮球朝着大门急速飞来，到了门前还有个小下坠，杨智来不及反应，看着皮球飞入大门，1比0，上港领先
50'王燊超带球摔倒推进，直传球过中线，双方拼抢中胡尔克犯规了                   50'第50分钟，被动中的上港取得进球，胡尔克前场拿球，从克里梅茨和拉尔夫夹击中脱身而出，接着他起左脚果断怒射，皮球朝着大门急速飞来，到了门前还有个小下坠，杨智来不及反应，看着皮球飞入大门，1比0，上港领先
50'比赛进行50分钟了！                   50'第50分钟，被动中的上港取得进球，胡尔克前场拿球，从克里梅茨和拉尔夫夹击中脱身而出，接着他起左脚果断怒射，皮球朝着大门急速飞来，到了门前还有个小下坠，杨智来不及反应，看着皮球飞入大门，1比0，上港领先
51'上海上港队进球！胡尔克！！！                   50'第50分钟，被动中的上港取得进球，胡尔克前场拿球，从克里梅茨和拉尔夫夹击中脱身而出，接着他起左脚果断怒射，皮球朝着大门急速飞来，到了门前还有个小下坠，杨智来不及反应，看着皮球飞入大门，1比0，上港领先
52'胡尔克禁区前沿拿球横带，突然的一脚冷射，球直入网内，杨智一点反映都没有呀！                   50'第50分钟，被动中的上港取得进球，胡尔克前场拿球，从克里梅茨和拉尔夫夹击中脱身而出，接着他起左脚果断怒射，皮球朝着大门急速飞来，到了门前还有个小下坠，杨智来不及反应，看着皮球飞入大门，1比0，上港领先
52'比赛进行51分钟！上海上港队率先打破场上的僵局！                   50'第50分钟，被动中的上港取得进球，胡尔克前场拿球，从克里梅茨和拉尔夫夹击中脱身而出，接着他起左脚果断怒射，皮球朝着大门急速飞来，到了门前还有个小下坠，杨智来不及反应，看着皮球飞入大门，1比0，上港领先
52'张呈栋右路下底传中球被破坏出边线                   50'第50分钟，被动中的上港取得进球，胡尔克前场拿球，从克里梅茨和拉尔夫夹击中脱身而出，接着他起左脚果断怒射，皮球朝着大门急速飞来，到了门前还有个小下坠，杨智来不及反应，看着皮球飞入大门，1比0，上港领先
53'北京国安队控球，克里梅茨斜长传转移到左侧，傅欢头球顶给了颜骏凌                   50'第50分钟，被动中的上港取得进球，胡尔克前场拿球，从克里梅茨和拉尔夫夹击中脱身而出，接着他起左脚果断怒射，皮球朝着大门急速飞来，到了门前还有个小下坠，杨智来不及反应，看着皮球飞入大门，1比0，上港领先
53'上海上港队再次推进，武磊趟球趟大了，出了底线！                   50'第50分钟，被动中的上港取得进球，胡尔克前场拿球，从克里梅茨和拉尔夫夹击中脱身而出，接着他起左脚果断怒射，皮球朝着大门急速飞来，到了门前还有个小下坠，杨智来不及反应，看着皮球飞入大门，1比0，上港领先
56'张呈栋分球，转移到周挺的脚下，再直传球给张稀哲                   56'第56分钟上港前场突击，胡尔克又从乱军中脱身而出，接着传到左路，不擅左脚的埃弗拉接球快速内切后，起右脚射门，杨智后仰把球打出
56'张稀哲拿球被挡回来，拉尔夫远射，球高过门梁出了底线                   56'第56分钟上港前场突击，胡尔克又从乱军中脱身而出，接着传到左路，不擅左脚的埃弗拉接球快速内切后，起右脚射门，杨智后仰把球打出
57'张稀哲传球失误，上海上港队断球反击                   56'第56分钟上港前场突击，胡尔克又从乱军中脱身而出，接着传到左路，不擅左脚的埃弗拉接球快速内切后，起右脚射门，杨智后仰把球打出
57'胡尔克接球，埃弗拉打门被杨智给托出了底线                   56'第56分钟上港前场突击，胡尔克又从乱军中脱身而出，接着传到左路，不擅左脚的埃弗拉接球快速内切后，起右脚射门，杨智后仰把球打出
58'上海上港队获得角球机会                   56'第56分钟上港前场突击，胡尔克又从乱军中脱身而出，接着传到左路，不擅左脚的埃弗拉接球快速内切后，起右脚射门，杨智后仰把球打出
58'胡尔克来主罚角球                   56'第56分钟上港前场突击，胡尔克又从乱军中脱身而出，接着传到左路，不擅左脚的埃弗拉接球快速内切后，起右脚射门，杨智后仰把球打出
58'角球开到前点，周挺把球破坏出来                   56'第56分钟上港前场突击，胡尔克又从乱军中脱身而出，接着传到左路，不擅左脚的埃弗拉接球快速内切后，起右脚射门，杨智后仰把球打出
58'石柯远射打在防守队员身上出界                   56'第56分钟上港前场突击，胡尔克又从乱军中脱身而出，接着传到左路，不擅左脚的埃弗拉接球快速内切后，起右脚射门，杨智后仰把球打出
58'上海上港队左路控球，石柯传球，埃弗拉越位了～                   56'第56分钟上港前场突击，胡尔克又从乱军中脱身而出，接着传到左路，不擅左脚的埃弗拉接球快速内切后，起右脚射门，杨智后仰把球打出
61'张池明推人犯规～                   61'第61分钟张呈栋右路传中，张池明飞身冲顶可惜没碰到球
61'胡尔克超远距离打门偏出底线                   61'第61分钟张呈栋右路传中，张池明飞身冲顶可惜没碰到球
62'周挺控球，转移到张呈栋的脚下，45度斜传后点！张池明前冲没有顶到！                   61'第61分钟张呈栋右路传中，张池明飞身冲顶可惜没碰到球
62'差了一点点！                   61'第61分钟张呈栋右路传中，张池明飞身冲顶可惜没碰到球
63'周挺控球，转移给张稀哲，再分球到张池明的脚下，转身拎球，45度起球传中，进攻队员犯规了                   61'第61分钟张呈栋右路传中，张池明飞身冲顶可惜没碰到球
63'拉尔夫犯规～                   61'第61分钟张呈栋右路传中，张池明飞身冲顶可惜没碰到球
64'上海上港队左路的传中球被克里梅茨给顶出来                   61'第61分钟张呈栋右路传中，张池明飞身冲顶可惜没碰到球
66'北京国安队后场得球，转移到左侧发动进攻                   66'第66分钟张稀哲外围送出好球，伊尔马兹单刀杀入禁区，颜骏凌出击把土耳其人扑到，点球加黄牌
67'克里梅茨带球推进，直传球给谢尔盖耶夫，再分球到左侧                   66'第66分钟张稀哲外围送出好球，伊尔马兹单刀杀入禁区，颜骏凌出击把土耳其人扑到，点球加黄牌
67'张池明杀到禁区内，陷入包夹之中，被破坏出来                   66'第66分钟张稀哲外围送出好球，伊尔马兹单刀杀入禁区，颜骏凌出击把土耳其人扑到，点球加黄牌
67'张呈栋得球杀到禁区内，颜骏凌出击把他放倒了                   66'第66分钟张稀哲外围送出好球，伊尔马兹单刀杀入禁区，颜骏凌出击把土耳其人扑到，点球加黄牌
67'点球！！！                   66'第66分钟张稀哲外围送出好球，伊尔马兹单刀杀入禁区，颜骏凌出击把土耳其人扑到，点球加黄牌
68'颜骏凌吃到黄牌！                   66'第66分钟张稀哲外围送出好球，伊尔马兹单刀杀入禁区，颜骏凌出击把土耳其人扑到，点球加黄牌
68'伊尔马兹来主罚点球，直入死角！                   66'第66分钟张稀哲外围送出好球，伊尔马兹单刀杀入禁区，颜骏凌出击把土耳其人扑到，点球加黄牌
68'双方回到同一起跑线上！                   66'第66分钟张稀哲外围送出好球，伊尔马兹单刀杀入禁区，颜骏凌出击把土耳其人扑到，点球加黄牌
69'克里梅茨犯规～被主裁判黄牌警告！                   66'第66分钟张稀哲外围送出好球，伊尔马兹单刀杀入禁区，颜骏凌出击把土耳其人扑到，点球加黄牌
69'这段时间双方的动作有点大呀！                   66'第66分钟张稀哲外围送出好球，伊尔马兹单刀杀入禁区，颜骏凌出击把土耳其人扑到，点球加黄牌
69'埃尔克森拿球推进被克里梅茨放倒                   66'第66分钟张稀哲外围送出好球，伊尔马兹单刀杀入禁区，颜骏凌出击把土耳其人扑到，点球加黄牌
68'颜骏凌吃到黄牌！                   68'第68分钟克里梅茨拦截埃尔克森犯规吃到黄牌，胡尔克左脚怒射任意球高出
68'伊尔马兹来主罚点球，直入死角！                   68'第68分钟克里梅茨拦截埃尔克森犯规吃到黄牌，胡尔克左脚怒射任意球高出
68'双方回到同一起跑线上！                   68'第68分钟克里梅茨拦截埃尔克森犯规吃到黄牌，胡尔克左脚怒射任意球高出
69'克里梅茨犯规～被主裁判黄牌警告！                   68'第68分钟克里梅茨拦截埃尔克森犯规吃到黄牌，胡尔克左脚怒射任意球高出
69'这段时间双方的动作有点大呀！                   68'第68分钟克里梅茨拦截埃尔克森犯规吃到黄牌，胡尔克左脚怒射任意球高出
69'埃尔克森拿球推进被克里梅茨放倒                   68'第68分钟克里梅茨拦截埃尔克森犯规吃到黄牌，胡尔克左脚怒射任意球高出
70'上海上港队获得任意球机会                   68'第68分钟克里梅茨拦截埃尔克森犯规吃到黄牌，胡尔克左脚怒射任意球高出
70'任意球由胡尔克来主罚，直接打门球高过门梁出了底线                   68'第68分钟克里梅茨拦截埃尔克森犯规吃到黄牌，胡尔克左脚怒射任意球高出
71'比赛进行70分钟了！                   68'第68分钟克里梅茨拦截埃尔克森犯规吃到黄牌，胡尔克左脚怒射任意球高出
71'张呈栋拿球，左路的直传球被傅欢给拦截下来                   68'第68分钟克里梅茨拦截埃尔克森犯规吃到黄牌，胡尔克左脚怒射任意球高出
71'张池明冲抢犯规～                   68'第68分钟克里梅茨拦截埃尔克森犯规吃到黄牌，胡尔克左脚怒射任意球高出
75'张呈栋犯规，放倒了埃弗拉！                   75'第75分钟张呈栋钩翻埃弗拉吃到黄牌
76'张呈栋被主裁判黄牌警告！                   75'第75分钟张呈栋钩翻埃弗拉吃到黄牌
76'比赛进行75分钟了                   75'第75分钟张呈栋钩翻埃弗拉吃到黄牌
77'北京国安队左侧迭球，直传球被断了                   75'第75分钟张呈栋钩翻埃弗拉吃到黄牌
77'蔡慧康的传球也没有过顶                   75'第75分钟张呈栋钩翻埃弗拉吃到黄牌
77'埃弗拉底线控球，倒三角的传球被挡出来                   75'第75分钟张呈栋钩翻埃弗拉吃到黄牌
78'周挺分球给张呈栋，再转移到伊尔马兹的脚下，回传球到中路                   75'第75分钟张呈栋钩翻埃弗拉吃到黄牌
78'伊尔马兹坐在地上！受伤了吗？                   75'第75分钟张呈栋钩翻埃弗拉吃到黄牌
77'北京国安队左侧迭球，直传球被断了                   77'第77分钟奥古斯托换下谢尔盖耶夫，奥古斯托进场后先和胡尔克热烈拥抱
77'蔡慧康的传球也没有过顶                   77'第77分钟奥古斯托换下谢尔盖耶夫，奥古斯托进场后先和胡尔克热烈拥抱
77'埃弗拉底线控球，倒三角的传球被挡出来                   77'第77分钟奥古斯托换下谢尔盖耶夫，奥古斯托进场后先和胡尔克热烈拥抱
78'周挺分球给张呈栋，再转移到伊尔马兹的脚下，回传球到中路                   77'第77分钟奥古斯托换下谢尔盖耶夫，奥古斯托进场后先和胡尔克热烈拥抱
78'伊尔马兹坐在地上！受伤了吗？                   77'第77分钟奥古斯托换下谢尔盖耶夫，奥古斯托进场后先和胡尔克热烈拥抱
79'北京国安队换人：奥古斯托上场换下谢尔盖耶夫                   77'第77分钟奥古斯托换下谢尔盖耶夫，奥古斯托进场后先和胡尔克热烈拥抱
79'奥古斯托与胡尔克拥抱！                   77'第77分钟奥古斯托换下谢尔盖耶夫，奥古斯托进场后先和胡尔克热烈拥抱
80'孙祥控球，在对方的逼抢下回传                   77'第77分钟奥古斯托换下谢尔盖耶夫，奥古斯托进场后先和胡尔克热烈拥抱
80'石柯长传球，埃弗拉越位了                   77'第77分钟奥古斯托换下谢尔盖耶夫，奥古斯托进场后先和胡尔克热烈拥抱
80'奥古斯托挑传球没有过顶                   77'第77分钟奥古斯托换下谢尔盖耶夫，奥古斯托进场后先和胡尔克热烈拥抱
83'张池明左路传中，雷腾龙抢点攻门，再下一城！                   83'第83分钟吕文君出场换下蔡慧康
83'埃弗拉冲抢时犯规～                   83'第83分钟吕文君出场换下蔡慧康
84'吕文君上场换下埃弗拉                   83'第83分钟吕文君出场换下蔡慧康
84'胡尔克控球，斜传球到右侧，再起球吊向禁区内，杨智出击把球得到                   83'第83分钟吕文君出场换下蔡慧康
86'吕文君上场换下的是蔡慧康呀！                   83'第83分钟吕文君出场换下蔡慧康
86'奥古斯托打门被挡出了底线                   83'第83分钟吕文君出场换下蔡慧康
86'张稀哲主罚角球开到禁区内，冲抢中颜骏凌把球摘下来                   83'第83分钟吕文君出场换下蔡慧康
87'王燊超低平球到右侧，胡尔克迭球推进没有成功                   87'第87分钟武磊右路杀入后回传，胡尔克侧身低射被杨智倒地没收
87'比赛接近尾声了                   87'第87分钟武磊右路杀入后回传，胡尔克侧身低射被杨智倒地没收
87'王燊超拿球被侵犯了                   87'第87分钟武磊右路杀入后回传，胡尔克侧身低射被杨智倒地没收
88'孙祥左路传中球被门将没收                   87'第87分钟武磊右路杀入后回传，胡尔克侧身低射被杨智倒地没收
88'武磊禁传球，胡尔克禁区线上的打门被杨智没收                   87'第87分钟武磊右路杀入后回传，胡尔克侧身低射被杨智倒地没收
89'北京国安队中场迭球，大范围转移球到右侧给张呈栋，再回敲球到中路                   87'第87分钟武磊右路杀入后回传，胡尔克侧身低射被杨智倒地没收
89'北京国安队控制着节奏！                   87'第87分钟武磊右路杀入后回传，胡尔克侧身低射被杨智倒地没收
90'胡尔克拿球，转移到右侧                   87'第87分钟武磊右路杀入后回传，胡尔克侧身低射被杨智倒地没收
90'胡尔克禁区内被侵犯！！李磊犯规！！！                   87'第87分钟武磊右路杀入后回传，胡尔克侧身低射被杨智倒地没收
90'点球！！                   87'第87分钟武磊右路杀入后回传，胡尔克侧身低射被杨智倒地没收
90'胡尔克来主罚点球！                   87'第87分钟武磊右路杀入后回传，胡尔克侧身低射被杨智倒地没收
49'张稀哲右路斜开前点，头球一蹭，后点克里梅茨捅射破门！不过越位在先，进球无效！                   49'比赛补时4分钟，第93分钟李磊撞倒胡尔克吃到黄牌，随后双方再无实质机会，最终两队2比2战平
50'张池明斜传球被颜骏凌没收了                   49'比赛补时4分钟，第93分钟李磊撞倒胡尔克吃到黄牌，随后双方再无实质机会，最终两队2比2战平
50'王燊超带球摔倒推进，直传球过中线，双方拼抢中胡尔克犯规了                   49'比赛补时4分钟，第93分钟李磊撞倒胡尔克吃到黄牌，随后双方再无实质机会，最终两队2比2战平
50'比赛进行50分钟了！                   49'比赛补时4分钟，第93分钟李磊撞倒胡尔克吃到黄牌，随后双方再无实质机会，最终两队2比2战平
51'上海上港队进球！胡尔克！！！                   49'比赛补时4分钟，第93分钟李磊撞倒胡尔克吃到黄牌，随后双方再无实质机会，最终两队2比2战平
52'胡尔克禁区前沿拿球横带，突然的一脚冷射，球直入网内，杨智一点反映都没有呀！                   49'比赛补时4分钟，第93分钟李磊撞倒胡尔克吃到黄牌，随后双方再无实质机会，最终两队2比2战平
52'比赛进行51分钟！上海上港队率先打破场上的僵局！                   49'比赛补时4分钟，第93分钟李磊撞倒胡尔克吃到黄牌，随后双方再无实质机会，最终两队2比2战平
52'张呈栋右路下底传中球被破坏出边线                   49'比赛补时4分钟，第93分钟李磊撞倒胡尔克吃到黄牌，随后双方再无实质机会，最终两队2比2战平
