3'卡瓦尼没有拿到球                   3'拉比奥特开场仅3分钟对内马尔犯规被罚黄牌
9'大巴黎中场拿球往边路走                   6'第6分钟，迪马利亚斜传，卡瓦尼小禁区左上角的射门被塞尔吉-罗伯托做出关键封堵，德拉克斯勒禁区左侧补射高出
9'巴萨这边断抢下来                   6'第6分钟，迪马利亚斜传，卡瓦尼小禁区左上角的射门被塞尔吉-罗伯托做出关键封堵，德拉克斯勒禁区左侧补射高出
9'马图伊迪上抢扫到了布斯克茨                   6'第6分钟，迪马利亚斜传，卡瓦尼小禁区左上角的射门被塞尔吉-罗伯托做出关键封堵，德拉克斯勒禁区左侧补射高出
9'裁判也是口头警告一下                   6'第6分钟，迪马利亚斜传，卡瓦尼小禁区左上角的射门被塞尔吉-罗伯托做出关键封堵，德拉克斯勒禁区左侧补射高出
18'德拉克斯勒禁区弧顶停球转身被乌姆蒂蒂放倒                   18'巴黎第18分钟取得领先，乌姆蒂蒂禁区边缘外对德拉克斯勒犯规，迪马利亚23码处任意球直接射门，皮球刚刚擦过人墙直接入网
18'巴黎圣日耳曼获得一个位置不错的任意球                   18'巴黎第18分钟取得领先，乌姆蒂蒂禁区边缘外对德拉克斯勒犯规，迪马利亚23码处任意球直接射门，皮球刚刚擦过人墙直接入网
18'而巴萨这边内马尔似乎出现了一些问题                   18'巴黎第18分钟取得领先，乌姆蒂蒂禁区边缘外对德拉克斯勒犯规，迪马利亚23码处任意球直接射门，皮球刚刚擦过人墙直接入网
18'他自己也是在调整                   18'巴黎第18分钟取得领先，乌姆蒂蒂禁区边缘外对德拉克斯勒犯规，迪马利亚23码处任意球直接射门，皮球刚刚擦过人墙直接入网
18'先看看巴黎圣日耳曼的任意球                   18'巴黎第18分钟取得领先，乌姆蒂蒂禁区边缘外对德拉克斯勒犯规，迪马利亚23码处任意球直接射门，皮球刚刚擦过人墙直接入网
18'距离球门21米                   18'巴黎第18分钟取得领先，乌姆蒂蒂禁区边缘外对德拉克斯勒犯规，迪马利亚23码处任意球直接射门，皮球刚刚擦过人墙直接入网
18'1-0！！！！！                   18'巴黎第18分钟取得领先，乌姆蒂蒂禁区边缘外对德拉克斯勒犯规，迪马利亚23码处任意球直接射门，皮球刚刚擦过人墙直接入网
19'迪马利亚！！！                   18'巴黎第18分钟取得领先，乌姆蒂蒂禁区边缘外对德拉克斯勒犯规，迪马利亚23码处任意球直接射门，皮球刚刚擦过人墙直接入网
20'迪马利亚任意球直接打门，直接打穿了人墙，特尔施特根有所反应，但是还是没能阻止皮球入网！！                   18'巴黎第18分钟取得领先，乌姆蒂蒂禁区边缘外对德拉克斯勒犯规，迪马利亚23码处任意球直接射门，皮球刚刚擦过人墙直接入网
20'这球也是从苏亚雷斯头顶滑过                   18'巴黎第18分钟取得领先，乌姆蒂蒂禁区边缘外对德拉克斯勒犯规，迪马利亚23码处任意球直接射门，皮球刚刚擦过人墙直接入网
28'巴萨前场带球给到禁区                   27'巴萨第27分钟险些破门，内马尔反击中直传，戈麦斯禁区右侧的单刀射门被出击的特拉普用腿挡出近角
28'苏亚雷斯这边面对门将                   27'巴萨第27分钟险些破门，内马尔反击中直传，戈麦斯禁区右侧的单刀射门被出击的特拉普用腿挡出近角
28'挑射被特拉普碰了出去                   27'巴萨第27分钟险些破门，内马尔反击中直传，戈麦斯禁区右侧的单刀射门被出击的特拉普用腿挡出近角
28'巴萨的角球机会                   27'巴萨第27分钟险些破门，内马尔反击中直传，戈麦斯禁区右侧的单刀射门被出击的特拉普用腿挡出近角
28'战术角球开出                   27'巴萨第27分钟险些破门，内马尔反击中直传，戈麦斯禁区右侧的单刀射门被出击的特拉普用腿挡出近角
28'边路起球送禁区                   27'巴萨第27分钟险些破门，内马尔反击中直传，戈麦斯禁区右侧的单刀射门被出击的特拉普用腿挡出近角
29'特拉普将球摘到                   27'巴萨第27分钟险些破门，内马尔反击中直传，戈麦斯禁区右侧的单刀射门被出击的特拉普用腿挡出近角
40'但是卡瓦尼早启动了半步                   40'巴黎第40分钟扩大比分，梅西中场被抢断，维拉蒂直传，德拉克斯勒禁区右肋12码处劲射远角入网，2-0
40'梅西这边中场丢球                   40'巴黎第40分钟扩大比分，梅西中场被抢断，维拉蒂直传，德拉克斯勒禁区右肋12码处劲射远角入网，2-0
40'2-0！！！                   40'巴黎第40分钟扩大比分，梅西中场被抢断，维拉蒂直传，德拉克斯勒禁区右肋12码处劲射远角入网，2-0
40'德拉克斯勒！！！                   40'巴黎第40分钟扩大比分，梅西中场被抢断，维拉蒂直传，德拉克斯勒禁区右肋12码处劲射远角入网，2-0
41'德拉克斯勒中场从梅西脚下断球给到维拉蒂，维拉蒂带球到禁区弧顶后再分右路，德拉克斯勒跟进后直接推射远角破门！！                   40'巴黎第40分钟扩大比分，梅西中场被抢断，维拉蒂直传，德拉克斯勒禁区右肋12码处劲射远角入网，2-0
41'巴萨这边也是急需要调整                   40'巴黎第40分钟扩大比分，梅西中场被抢断，维拉蒂直传，德拉克斯勒禁区右肋12码处劲射远角入网，2-0
42'内马尔左路突破没有过去                   40'巴黎第40分钟扩大比分，梅西中场被抢断，维拉蒂直传，德拉克斯勒禁区右肋12码处劲射远角入网，2-0
42'巴萨大范围转移出界                   40'巴黎第40分钟扩大比分，梅西中场被抢断，维拉蒂直传，德拉克斯勒禁区右肋12码处劲射远角入网，2-0
43'巴萨这边打得有些急                   40'巴黎第40分钟扩大比分，梅西中场被抢断，维拉蒂直传，德拉克斯勒禁区右肋12码处劲射远角入网，2-0
55'3-0！！！！                   55'巴黎第55分钟锁定胜局，库尔扎瓦传球，迪马利亚禁区弧顶射入左上角，3-0
55'迪马利亚！！！                   55'巴黎第55分钟锁定胜局，库尔扎瓦传球，迪马利亚禁区弧顶射入左上角，3-0
56'巴黎圣日耳曼后场拿球一路往前走，连续的传递巴萨都没有抢断下来，迪马利亚禁区弧顶接球，调整后一脚世界波直挂球门死角！！                   55'巴黎第55分钟锁定胜局，库尔扎瓦传球，迪马利亚禁区弧顶射入左上角，3-0
57'巴萨现在也是急需一粒客场进球                   55'巴黎第55分钟锁定胜局，库尔扎瓦传球，迪马利亚禁区弧顶射入左上角，3-0
71'4-0！！！！                   71'第71分钟，穆尼耶直传，今日正逢30岁生日的卡瓦尼禁区右侧12码处第一时间顺势低射近角入网，皮克封铲不及，4-0
71'卡瓦尼！！！                   71'第71分钟，穆尼耶直传，今日正逢30岁生日的卡瓦尼禁区右侧12码处第一时间顺势低射近角入网，皮克封铲不及，4-0
73'穆尼埃拿球过掉内马尔后送直塞给到禁区，卡瓦尼跟进后直接推射近角破门！！                   71'第71分钟，穆尼耶直传，今日正逢30岁生日的卡瓦尼禁区右侧12码处第一时间顺势低射近角入网，皮克封铲不及，4-0
73'这对巴萨来说已经变得很困难了                   71'第71分钟，穆尼耶直传，今日正逢30岁生日的卡瓦尼禁区右侧12码处第一时间顺势低射近角入网，皮克封铲不及，4-0
73'巴萨前场边路获得任意球                   71'第71分钟，穆尼耶直传，今日正逢30岁生日的卡瓦尼禁区右侧12码处第一时间顺势低射近角入网，皮克封铲不及，4-0
73'任意球给到禁区                   71'第71分钟，穆尼耶直传，今日正逢30岁生日的卡瓦尼禁区右侧12码处第一时间顺势低射近角入网，皮克封铲不及，4-0
73'头球点出来                   71'第71分钟，穆尼耶直传，今日正逢30岁生日的卡瓦尼禁区右侧12码处第一时间顺势低射近角入网，皮克封铲不及，4-0
74'禁区弧顶跟进再打没有压住                   71'第71分钟，穆尼耶直传，今日正逢30岁生日的卡瓦尼禁区右侧12码处第一时间顺势低射近角入网，皮克封铲不及，4-0
74'恩昆库后场拿球被拉菲尼亚踢倒                   71'第71分钟，穆尼耶直传，今日正逢30岁生日的卡瓦尼禁区右侧12码处第一时间顺势低射近角入网，皮克封铲不及，4-0
74'拉菲尼亚得到一张黄牌！                   71'第71分钟，穆尼耶直传，今日正逢30岁生日的卡瓦尼禁区右侧12码处第一时间顺势低射近角入网，皮克封铲不及，4-0
84'巴萨的头球顶在了立柱上！！                   84'第84分钟，皮克远点接角球头球摆渡，乌姆蒂蒂近距离头球攻门打中近角立柱弹回
84'巴萨左路进攻上来                   84'第84分钟，皮克远点接角球头球摆渡，乌姆蒂蒂近距离头球攻门打中近角立柱弹回
85'低平球给到禁区                   84'第84分钟，皮克远点接角球头球摆渡，乌姆蒂蒂近距离头球攻门打中近角立柱弹回
85'落点并不好                   84'第84分钟，皮克远点接角球头球摆渡，乌姆蒂蒂近距离头球攻门打中近角立柱弹回
85'巴萨之前头球攻门击中立柱的是乌姆蒂蒂                   84'第84分钟，皮克远点接角球头球摆渡，乌姆蒂蒂近距离头球攻门打中近角立柱弹回
85'有些可惜啊                   84'第84分钟，皮克远点接角球头球摆渡，乌姆蒂蒂近距离头球攻门打中近角立柱弹回
86'巴黎圣日耳曼这边继续调整                   84'第84分钟，皮克远点接角球头球摆渡，乌姆蒂蒂近距离头球攻门打中近角立柱弹回
86'德拉克斯勒下，帕斯托雷上！                   84'第84分钟，皮克远点接角球头球摆渡，乌姆蒂蒂近距离头球攻门打中近角立柱弹回
