1'上半场比赛开始了！                   1'皇马第1分钟试图控制比赛
75'皇家社会虽然没有丢第三球但少打一人                   74'皇家社会第74分钟遭遇打击，伊尼戈-马丁内斯边路对卡塞米罗犯规累计两张黄牌被罚下
75'祖鲁图萨控球，交给贝拉                   74'皇家社会第74分钟遭遇打击，伊尼戈-马丁内斯边路对卡塞米罗犯规累计两张黄牌被罚下
75'分左路的罗德里格斯                   74'皇家社会第74分钟遭遇打击，伊尼戈-马丁内斯边路对卡塞米罗犯规累计两张黄牌被罚下
76'罗德里格斯劲射被卡塞米罗挡到半空，纳瓦斯将球拿住                   74'皇家社会第74分钟遭遇打击，伊尼戈-马丁内斯边路对卡塞米罗犯规累计两张黄牌被罚下
76'达尼洛右路交给巴斯克斯，往底线趟，球趟出底线                   74'皇家社会第74分钟遭遇打击，伊尼戈-马丁内斯边路对卡塞米罗犯规累计两张黄牌被罚下
77'克罗斯中场断球交给科瓦契奇                   74'皇家社会第74分钟遭遇打击，伊尼戈-马丁内斯边路对卡塞米罗犯规累计两张黄牌被罚下
77'科瓦契奇禁区内脚后跟传球，克罗斯没有跟上来                   74'皇家社会第74分钟遭遇打击，伊尼戈-马丁内斯边路对卡塞米罗犯规累计两张黄牌被罚下
77'卡纳莱斯带球推进与队友做二过一，被巴斯克斯拉倒                   74'皇家社会第74分钟遭遇打击，伊尼戈-马丁内斯边路对卡塞米罗犯规累计两张黄牌被罚下
89'劳尔纳瓦斯长传前场左路，瓦拉内将位置卡得很好                   89'第89分钟，阿森西奥摆脱防守传球，伊斯科右路斜传，C罗10码处推射破门因越位在先被判无效
89'纳乔左路得球，往右侧转移                   89'第89分钟，阿森西奥摆脱防守传球，伊斯科右路斜传，C罗10码处推射破门因越位在先被判无效
89'伊斯科停球出底线                   89'第89分钟，阿森西奥摆脱防守传球，伊斯科右路斜传，C罗10码处推射破门因越位在先被判无效
90'阿森西奥中场漂亮的马赛回旋过人                   89'第89分钟，阿森西奥摆脱防守传球，伊斯科右路斜传，C罗10码处推射破门因越位在先被判无效
90'分右路的达尼洛，传中                   89'第89分钟，阿森西奥摆脱防守传球，伊斯科右路斜传，C罗10码处推射破门因越位在先被判无效
90'C罗将球打进但越位在先                   89'第89分钟，阿森西奥摆脱防守传球，伊斯科右路斜传，C罗10码处推射破门因越位在先被判无效
91'下半场补时2分钟                   89'第89分钟，阿森西奥摆脱防守传球，伊斯科右路斜传，C罗10码处推射破门因越位在先被判无效
91'祖鲁图萨交给贝拉，传大了                   89'第89分钟，阿森西奥摆脱防守传球，伊斯科右路斜传，C罗10码处推射破门因越位在先被判无效
92'普列托分给贝拉，带多了                   89'第89分钟，阿森西奥摆脱防守传球，伊斯科右路斜传，C罗10码处推射破门因越位在先被判无效
92'C罗左路来了，横传禁区                   89'第89分钟，阿森西奥摆脱防守传球，伊斯科右路斜传，C罗10码处推射破门因越位在先被判无效
92'伊斯科停球后陷入包围                   89'第89分钟，阿森西奥摆脱防守传球，伊斯科右路斜传，C罗10码处推射破门因越位在先被判无效
