3'常飞亚右路强突                   3'开赛之后第3分钟，朱宝杰禁区前沿放倒安德烈奇尼奥被判罚任意球
15'常飞亚起球被后卫挡出底线                   13'第13分钟，泰达队右路小配合，姜至鹏 抢球时将球捅给了插上的白岳峰，后者顺势下底倒三角传中，周海滨禁区线上扫射，皮球偏出远端门柱
16'富力角球送后点                   13'第13分钟，泰达队右路小配合，姜至鹏 抢球时将球捅给了插上的白岳峰，后者顺势下底倒三角传中，周海滨禁区线上扫射，皮球偏出远端门柱
16'队友头球摆渡下来被解围                   13'第13分钟，泰达队右路小配合，姜至鹏 抢球时将球捅给了插上的白岳峰，后者顺势下底倒三角传中，周海滨禁区线上扫射，皮球偏出远端门柱
16'姜至鹏禁区左路横扫门前                   13'第13分钟，泰达队右路小配合，姜至鹏 抢球时将球捅给了插上的白岳峰，后者顺势下底倒三角传中，周海滨禁区线上扫射，皮球偏出远端门柱
16'这球后点没有人啊                   13'第13分钟，泰达队右路小配合，姜至鹏 抢球时将球捅给了插上的白岳峰，后者顺势下底倒三角传中，周海滨禁区线上扫射，皮球偏出远端门柱
15'常飞亚起球被后卫挡出底线                   15'第15分钟，达维左路妙传穿裆球，姜至鹏拿球下底低平球传中，皮球掠 过门前但没有队友跟进
16'富力角球送后点                   15'第15分钟，达维左路妙传穿裆球，姜至鹏拿球下底低平球传中，皮球掠 过门前但没有队友跟进
16'队友头球摆渡下来被解围                   15'第15分钟，达维左路妙传穿裆球，姜至鹏拿球下底低平球传中，皮球掠 过门前但没有队友跟进
16'姜至鹏禁区左路横扫门前                   15'第15分钟，达维左路妙传穿裆球，姜至鹏拿球下底低平球传中，皮球掠 过门前但没有队友跟进
16'这球后点没有人啊                   15'第15分钟，达维左路妙传穿裆球，姜至鹏拿球下底低平球传中，皮球掠 过门前但没有队友跟进
17'富力右路起球送禁区                   15'第15分钟，达维左路妙传穿裆球，姜至鹏拿球下底低平球传中，皮球掠 过门前但没有队友跟进
17'阿隆头球攻门顶偏了                   15'第15分钟，达维左路妙传穿裆球，姜至鹏拿球下底低平球传中，皮球掠 过门前但没有队友跟进
17'这球阿隆头球的地点距离球门也是稍微有点远                   15'第15分钟，达维左路妙传穿裆球，姜至鹏拿球下底低平球传中，皮球掠 过门前但没有队友跟进
18'常飞亚前场拿球的时候手球了                   15'第15分钟，达维左路妙传穿裆球，姜至鹏拿球下底低平球传中，皮球掠 过门前但没有队友跟进
20'姜至鹏前场拦截的时候铲人犯规                   20'第20分钟，姜至鹏直 传，苑维玮补位解围，正好闷在李玮峰肚子上，后者应声倒地不起
20'姜宁前场送直塞，这球被泰达先解围了                   20'第20分钟，姜至鹏直 传，苑维玮补位解围，正好闷在李玮峰肚子上，后者应声倒地不起
21'李玮锋受伤倒地了                   20'第20分钟，姜至鹏直 传，苑维玮补位解围，正好闷在李玮峰肚子上，后者应声倒地不起
21'应该是防守阿隆的时候                   20'第20分钟，姜至鹏直 传，苑维玮补位解围，正好闷在李玮峰肚子上，后者应声倒地不起
21'从回放来看，是队友解围的时候打在了手部                   20'第20分钟，姜至鹏直 传，苑维玮补位解围，正好闷在李玮峰肚子上，后者应声倒地不起
21'跟阿隆没关                   20'第20分钟，姜至鹏直 传，苑维玮补位解围，正好闷在李玮峰肚子上，后者应声倒地不起
22'李玮锋受伤的位置是手腕                   20'第20分钟，姜至鹏直 传，苑维玮补位解围，正好闷在李玮峰肚子上，后者应声倒地不起
22'泰达的反击机会                   20'第20分钟，姜至鹏直 传，苑维玮补位解围，正好闷在李玮峰肚子上，后者应声倒地不起
22'又是周海滨拿球                   20'第20分钟，姜至鹏直 传，苑维玮补位解围，正好闷在李玮峰肚子上，后者应声倒地不起
23'周海滨禁区角右侧直接选择了打门                   20'第20分钟，姜至鹏直 传，苑维玮补位解围，正好闷在李玮峰肚子上，后者应声倒地不起
23'这球打近角，球是打在了边网上                   20'第20分钟，姜至鹏直 传，苑维玮补位解围，正好闷在李玮峰肚子上，后者应声倒地不起
23'这脚射门还是非常有质量的                   20'第20分钟，姜至鹏直 传，苑维玮补位解围，正好闷在李玮峰肚子上，后者应声倒地不起
23'姜至鹏左路起球送禁区中路                   20'第20分钟，姜至鹏直 传，苑维玮补位解围，正好闷在李玮峰肚子上，后者应声倒地不起
23'宗垒出击将球得到                   20'第20分钟，姜至鹏直 传，苑维玮补位解围，正好闷在李玮峰肚子上，后者应声倒地不起
27'富力这边反击中出现了失误                   27'第27分钟，瓦伦西亚接到挑传杀入禁区，他将球挑到后点，周海滨插上得球，小角度 射门被张世昌扑住
27'现在换到泰达这边了                   27'第27分钟，瓦伦西亚接到挑传杀入禁区，他将球挑到后点，周海滨插上得球，小角度 射门被张世昌扑住
27'瓦伦西亚左路拿球挑传送到了后点                   27'第27分钟，瓦伦西亚接到挑传杀入禁区，他将球挑到后点，周海滨插上得球，小角度 射门被张世昌扑住
27'周海滨拿球送前点                   27'第27分钟，瓦伦西亚接到挑传杀入禁区，他将球挑到后点，周海滨插上得球，小角度 射门被张世昌扑住
28'可惜没有队友去插前点                   27'第27分钟，瓦伦西亚接到挑传杀入禁区，他将球挑到后点，周海滨插上得球，小角度 射门被张世昌扑住
29'宗垒开球过慢得到一张黄牌！                   27'第27分钟，瓦伦西亚接到挑传杀入禁区，他将球挑到后点，周海滨插上得球，小角度 射门被张世昌扑住
30'阿隆禁区内拿球，摆脱防守后打门被后卫还是碰了一下                   27'第27分钟，瓦伦西亚接到挑传杀入禁区，他将球挑到后点，周海滨插上得球，小角度 射门被张世昌扑住
30'富力再次获得角球机会                   27'第27分钟，瓦伦西亚接到挑传杀入禁区，他将球挑到后点，周海滨插上得球，小角度 射门被张世昌扑住
30'角球送前点，宗垒出击没有完全碰到球                   27'第27分钟，瓦伦西亚接到挑传杀入禁区，他将球挑到后点，周海滨插上得球，小角度 射门被张世昌扑住
30'但这球还是往禁区外面解围                   27'第27分钟，瓦伦西亚接到挑传杀入禁区，他将球挑到后点，周海滨插上得球，小角度 射门被张世昌扑住
35'达维禁区外围低射打偏了                   35'第35分钟，常飞亚右路突破苑维玮，回敲中路，达维禁区线上左脚抽射，皮球稍稍偏出
35'这球达维没有吃准部位                   35'第35分钟，常飞亚右路突破苑维玮，回敲中路，达维禁区线上左脚抽射，皮球稍稍偏出
36'上半场比赛已经来到了35分钟，场上的比分是泰达1-0领先广州富力                   35'第35分钟，常飞亚右路突破苑维玮，回敲中路，达维禁区线上左脚抽射，皮球稍稍偏出
36'周海滨边路拿球将球横敲                   35'第35分钟，常飞亚右路突破苑维玮，回敲中路，达维禁区线上左脚抽射，皮球稍稍偏出
37'泰达长传，苑维伟边路接球越位了                   35'第35分钟，常飞亚右路突破苑维玮，回敲中路，达维禁区线上左脚抽射，皮球稍稍偏出
37'瓦伦西亚前场边路拿球，回敲被破坏                   35'第35分钟，常飞亚右路突破苑维玮，回敲中路，达维禁区线上左脚抽射，皮球稍稍偏出
38'胡人天右路底线拿球往中路给                   35'第35分钟，常飞亚右路突破苑维玮，回敲中路，达维禁区线上左脚抽射，皮球稍稍偏出
38'这球被后卫防了下来                   35'第35分钟，常飞亚右路突破苑维玮，回敲中路，达维禁区线上左脚抽射，皮球稍稍偏出
40'安德烈奇尼奥进球后直拍自己的脑门啊                   40'第40分钟，白岳峰得球右路杀入禁区回敲， 周海滨左脚传中，插上的安德烈奇尼奥头球一点，皮球弹地后直窜后角
40'泰达右路起球送禁区中路，安德烈奇尼奥甩头攻门将球顶进！                   40'第40分钟，白岳峰得球右路杀入禁区回敲， 周海滨左脚传中，插上的安德烈奇尼奥头球一点，皮球弹地后直窜后角
40'安德烈奇尼奥进球后，阿里汉也是笑的非常开心                   40'第40分钟，白岳峰得球右路杀入禁区回敲， 周海滨左脚传中，插上的安德烈奇尼奥头球一点，皮球弹地后直窜后角
42'泰达禁区前沿弧顶任意球机会                   40'第40分钟，白岳峰得球右路杀入禁区回敲， 周海滨左脚传中，插上的安德烈奇尼奥头球一点，皮球弹地后直窜后角
42'泰达又进球了！！                   40'第40分钟，白岳峰得球右路杀入禁区回敲， 周海滨左脚传中，插上的安德烈奇尼奥头球一点，皮球弹地后直窜后角
42'胡人天！！                   40'第40分钟，白岳峰得球右路杀入禁区回敲， 周海滨左脚传中，插上的安德烈奇尼奥头球一点，皮球弹地后直窜后角
43'安德烈奇尼奥直接任意球打门，球是击中了门柱，胡人天补射推射将球打进！！                   40'第40分钟，白岳峰得球右路杀入禁区回敲， 周海滨左脚传中，插上的安德烈奇尼奥头球一点，皮球弹地后直窜后角
43'这球张世昌应该是扑了一下后打在了立柱上                   40'第40分钟，白岳峰得球右路杀入禁区回敲， 周海滨左脚传中，插上的安德烈奇尼奥头球一点，皮球弹地后直窜后角
42'泰达禁区前沿弧顶任意球机会                   42'第42分钟，还没有缓过神的富力后卫放倒瓦伦西亚
42'泰达又进球了！！                   42'第42分钟，还没有缓过神的富力后卫放倒瓦伦西亚
42'胡人天！！                   42'第42分钟，还没有缓过神的富力后卫放倒瓦伦西亚
43'安德烈奇尼奥直接任意球打门，球是击中了门柱，胡人天补射推射将球打进！！                   42'第42分钟，还没有缓过神的富力后卫放倒瓦伦西亚
43'这球张世昌应该是扑了一下后打在了立柱上                   42'第42分钟，还没有缓过神的富力后卫放倒瓦伦西亚
45'上半场补时3分钟！                   42'第42分钟，还没有缓过神的富力后卫放倒瓦伦西亚
45'泰达这边获得角球机会                   42'第42分钟，还没有缓过神的富力后卫放倒瓦伦西亚
45'上半场补时3分钟！                   45'第45分钟，烈鸟角球开到后点， 胡人天飞身铲射出了底线
45'泰达这边获得角球机会                   45'第45分钟，烈鸟角球开到后点， 胡人天飞身铲射出了底线
46'角球送后点，胡人天滑铲没有打向球门                   45'第45分钟，烈鸟角球开到后点， 胡人天飞身铲射出了底线
47'胡人天右路拿球，自己没有控好                   45'第45分钟，烈鸟角球开到后点， 胡人天飞身铲射出了底线
47'唐淼右路拿球给到常飞亚                   45'第45分钟，烈鸟角球开到后点， 胡人天飞身铲射出了底线
48'常飞亚右路起球碰到了防守球员的手上                   45'第45分钟，烈鸟角球开到后点， 胡人天飞身铲射出了底线
48'但裁判给了一个角球                   45'第45分钟，烈鸟角球开到后点， 胡人天飞身铲射出了底线
48'富力角球开出来                   45'第45分钟，烈鸟角球开到后点， 胡人天飞身铲射出了底线
48'禁区弧顶，外围的抽射打高了                   45'第45分钟，烈鸟角球开到后点， 胡人天飞身铲射出了底线
46'下半场比赛开始！                   45'第45分钟，烈鸟角球开到后点， 胡人天飞身铲射出了底线
47'富力右路低平球送禁区里                   45'第45分钟，烈鸟角球开到后点， 胡人天飞身铲射出了底线
47'泰达的解围没有踢远                   45'第45分钟，烈鸟角球开到后点， 胡人天飞身铲射出了底线
47'李玮锋禁区内放铲放倒了哈默德                   45'第45分钟，烈鸟角球开到后点， 胡人天飞身铲射出了底线
47'富力获得点球机会！                   45'第45分钟，烈鸟角球开到后点， 胡人天飞身铲射出了底线
47'哈默德自己来主罚                   45'第45分钟，烈鸟角球开到后点， 胡人天飞身铲射出了底线
48'哈默德点球打左上角，球进，宗垒判断对了方向，但角度太刁！                   45'第45分钟，烈鸟角球开到后点， 胡人天飞身铲射出了底线
48'富力这边扳回一分                   45'第45分钟，烈鸟角球开到后点， 胡人天飞身铲射出了底线
47'胡人天右路拿球，自己没有控好                   47'第47分钟，姜宁右路低平球传中，白岳峰停球失误，阿隆拿球时被李玮峰放倒，点球
47'唐淼右路拿球给到常飞亚                   47'第47分钟，姜宁右路低平球传中，白岳峰停球失误，阿隆拿球时被李玮峰放倒，点球
48'常飞亚右路起球碰到了防守球员的手上                   47'第47分钟，姜宁右路低平球传中，白岳峰停球失误，阿隆拿球时被李玮峰放倒，点球
48'但裁判给了一个角球                   47'第47分钟，姜宁右路低平球传中，白岳峰停球失误，阿隆拿球时被李玮峰放倒，点球
48'富力角球开出来                   47'第47分钟，姜宁右路低平球传中，白岳峰停球失误，阿隆拿球时被李玮峰放倒，点球
48'禁区弧顶，外围的抽射打高了                   47'第47分钟，姜宁右路低平球传中，白岳峰停球失误，阿隆拿球时被李玮峰放倒，点球
47'富力右路低平球送禁区里                   47'第47分钟，姜宁右路低平球传中，白岳峰停球失误，阿隆拿球时被李玮峰放倒，点球
47'泰达的解围没有踢远                   47'第47分钟，姜宁右路低平球传中，白岳峰停球失误，阿隆拿球时被李玮峰放倒，点球
47'李玮锋禁区内放铲放倒了哈默德                   47'第47分钟，姜宁右路低平球传中，白岳峰停球失误，阿隆拿球时被李玮峰放倒，点球
47'富力获得点球机会！                   47'第47分钟，姜宁右路低平球传中，白岳峰停球失误，阿隆拿球时被李玮峰放倒，点球
47'哈默德自己来主罚                   47'第47分钟，姜宁右路低平球传中，白岳峰停球失误，阿隆拿球时被李玮峰放倒，点球
48'哈默德点球打左上角，球进，宗垒判断对了方向，但角度太刁！                   47'第47分钟，姜宁右路低平球传中，白岳峰停球失误，阿隆拿球时被李玮峰放倒，点球
48'富力这边扳回一分                   47'第47分钟，姜宁右路低平球传中，白岳峰停球失误，阿隆拿球时被李玮峰放倒，点球
49'富力这边上抢的非常积极                   47'第47分钟，姜宁右路低平球传中，白岳峰停球失误，阿隆拿球时被李玮峰放倒，点球
50'富力禁区前沿往里送，这球力量小了                   47'第47分钟，姜宁右路低平球传中，白岳峰停球失误，阿隆拿球时被李玮峰放倒，点球
50'王晓龙左路突破到底线                   47'第47分钟，姜宁右路低平球传中，白岳峰停球失误，阿隆拿球时被李玮峰放倒，点球
50'富力禁区前沿往里送，这球力量小了                   50'第50分钟，王晓龙左路突破白岳峰杀入禁区，横传中路哈默德推射踢呲了，阿隆近距离的补射竟然将球打飞
50'王晓龙左路突破到底线                   50'第50分钟，王晓龙左路突破白岳峰杀入禁区，横传中路哈默德推射踢呲了，阿隆近距离的补射竟然将球打飞
51'传球送中路，乱战中，阿隆近距离打门打高了                   50'第50分钟，王晓龙左路突破白岳峰杀入禁区，横传中路哈默德推射踢呲了，阿隆近距离的补射竟然将球打飞
51'场下的埃里克森也觉得不可思议                   50'第50分钟，王晓龙左路突破白岳峰杀入禁区，横传中路哈默德推射踢呲了，阿隆近距离的补射竟然将球打飞
51'富力下半场能把比分扳回来吗？[qiangda]                   50'第50分钟，王晓龙左路突破白岳峰杀入禁区，横传中路哈默德推射踢呲了，阿隆近距离的补射竟然将球打飞
51'富力又进球了！！                   50'第50分钟，王晓龙左路突破白岳峰杀入禁区，横传中路哈默德推射踢呲了，阿隆近距离的补射竟然将球打飞
51'哈默德！！！                   50'第50分钟，王晓龙左路突破白岳峰杀入禁区，横传中路哈默德推射踢呲了，阿隆近距离的补射竟然将球打飞
52'富力角球送中路，哈默德头球攻门将球顶进！                   50'第50分钟，王晓龙左路突破白岳峰杀入禁区，横传中路哈默德推射踢呲了，阿隆近距离的补射竟然将球打飞
52'泰达的防守出现了问题                   50'第50分钟，王晓龙左路突破白岳峰杀入禁区，横传中路哈默德推射踢呲了，阿隆近距离的补射竟然将球打飞
52'下半场还不到10分钟，富力扳回来两球                   50'第50分钟，王晓龙左路突破白岳峰杀入禁区，横传中路哈默德推射踢呲了，阿隆近距离的补射竟然将球打飞
52'泰达换人，郭皓下，阿里汗上！                   50'第50分钟，王晓龙左路突破白岳峰杀入禁区，横传中路哈默德推射踢呲了，阿隆近距离的补射竟然将球打飞
53'泰达这边获得任意球机会                   50'第50分钟，王晓龙左路突破白岳峰杀入禁区，横传中路哈默德推射踢呲了，阿隆近距离的补射竟然将球打飞
53'任意球送禁区里，安德烈奇尼奥头球后蹭顶得太高                   50'第50分钟，王晓龙左路突破白岳峰杀入禁区，横传中路哈默德推射踢呲了，阿隆近距离的补射竟然将球打飞
53'张世昌很轻松的将球拿到                   50'第50分钟，王晓龙左路突破白岳峰杀入禁区，横传中路哈默德推射踢呲了，阿隆近距离的补射竟然将球打飞
54'富力这边右路进攻又来了                   54'第54分钟，富力长传禁区，姜宁面对门将将球卸下，幸亏后卫回防及时抢先将球捅出
54'险些3-3啊                   54'第54分钟，富力长传禁区，姜宁面对门将将球卸下，幸亏后卫回防及时抢先将球捅出
54'富力长传送禁区后点                   54'第54分钟，富力长传禁区，姜宁面对门将将球卸下，幸亏后卫回防及时抢先将球捅出
55'姜宁停球后再做调整没有了射门机会，如果这球姜宁直接打，那概率还是比较大的                   54'第54分钟，富力长传禁区，姜宁面对门将将球卸下，幸亏后卫回防及时抢先将球捅出
56'阿隆前场拿球往前走                   54'第54分钟，富力长传禁区，姜宁面对门将将球卸下，幸亏后卫回防及时抢先将球捅出
56'边裁示意阿隆接球的时候先手球了                   54'第54分钟，富力长传禁区，姜宁面对门将将球卸下，幸亏后卫回防及时抢先将球捅出
60'全场比赛60分钟了，场上的比分是富力2-3落后泰达                   60'第60分钟，哈默德禁区外突施冷箭，宗垒奋力将球封出
60'哈默德禁区外围世界波被宗垒扑出                   60'第60分钟，哈默德禁区外突施冷箭，宗垒奋力将球封出
61'下半场难道是哈默德的表演吗？                   60'第60分钟，哈默德禁区外突施冷箭，宗垒奋力将球封出
61'下半场比赛，泰达还没有什么进攻                   60'第60分钟，哈默德禁区外突施冷箭，宗垒奋力将球封出
62'胡人天左路拿球横切                   60'第60分钟，哈默德禁区外突施冷箭，宗垒奋力将球封出
63'泰达这段时间攻势渐渐有了起色                   60'第60分钟，哈默德禁区外突施冷箭，宗垒奋力将球封出
63'泰达前场人球分过，张世昌出击将球解围                   60'第60分钟，哈默德禁区外突施冷箭，宗垒奋力将球封出
66'富力前场拿球到了禁区里面                   66'第66分钟，阿隆头球摆脱苑维玮杀入禁区，大力射门又被补位的后卫挡出
66'阿隆横向突破后打门被后卫挡出                   66'第66分钟，阿隆头球摆脱苑维玮杀入禁区，大力射门又被补位的后卫挡出
67'泰达换人，胡人天下，杜震宇上！                   66'第66分钟，阿隆头球摆脱苑维玮杀入禁区，大力射门又被补位的后卫挡出
67'泰达现在想控球了                   66'第66分钟，阿隆头球摆脱苑维玮杀入禁区，大力射门又被补位的后卫挡出
68'富力这边前场获得定位球机会                   66'第66分钟，阿隆头球摆脱苑维玮杀入禁区，大力射门又被补位的后卫挡出
68'这个任意球的位置跟泰达队安德烈奇尼奥任意球击中门柱的位置如出一辙                   66'第66分钟，阿隆头球摆脱苑维玮杀入禁区，大力射门又被补位的后卫挡出
68'富力4名球员站在球前                   66'第66分钟，阿隆头球摆脱苑维玮杀入禁区，大力射门又被补位的后卫挡出
69'哈默德打门！！！                   66'第66分钟，阿隆头球摆脱苑维玮杀入禁区，大力射门又被补位的后卫挡出
69'这球打在了人墙上！                   66'第66分钟，阿隆头球摆脱苑维玮杀入禁区，大力射门又被补位的后卫挡出
68'富力这边前场获得定位球机会                   68'第68分钟，王晓龙横向带球造成泰达队犯规，哈默德直接任意球打在人墙上
68'这个任意球的位置跟泰达队安德烈奇尼奥任意球击中门柱的位置如出一辙                   68'第68分钟，王晓龙横向带球造成泰达队犯规，哈默德直接任意球打在人墙上
68'富力4名球员站在球前                   68'第68分钟，王晓龙横向带球造成泰达队犯规，哈默德直接任意球打在人墙上
69'哈默德打门！！！                   68'第68分钟，王晓龙横向带球造成泰达队犯规，哈默德直接任意球打在人墙上
69'这球打在了人墙上！                   68'第68分钟，王晓龙横向带球造成泰达队犯规，哈默德直接任意球打在人墙上
70'哈默德左路带球突破，裁判吹了攻方犯规                   68'第68分钟，王晓龙横向带球造成泰达队犯规，哈默德直接任意球打在人墙上
70'泰达这边，王新欣要准备上了                   68'第68分钟，王晓龙横向带球造成泰达队犯规，哈默德直接任意球打在人墙上
71'富力拿球传身后                   68'第68分钟，王晓龙横向带球造成泰达队犯规，哈默德直接任意球打在人墙上
71'王晓龙停球下来在传，没有过去                   68'第68分钟，王晓龙横向带球造成泰达队犯规，哈默德直接任意球打在人墙上
71'富力长传还是打身后                   68'第68分钟，王晓龙横向带球造成泰达队犯规，哈默德直接任意球打在人墙上
71'边裁举旗了，哈默德越位                   68'第68分钟，王晓龙横向带球造成泰达队犯规，哈默德直接任意球打在人墙上
75'富力左路传球送禁区后点                   75'第75分钟，王晓龙左路传中，哈默德后点跃起头球顶高
75'哈默德起跳的时候有点早                   75'第75分钟，王晓龙左路传中，哈默德后点跃起头球顶高
75'这球哈默德没有顶好                   75'第75分钟，王晓龙左路传中，哈默德后点跃起头球顶高
76'泰达前场拿球给到禁区里，瓦伦西亚拿球自己做了一个球车                   75'第75分钟，王晓龙左路传中，哈默德后点跃起头球顶高
76'好在球好在瓦伦西亚脚下                   75'第75分钟，王晓龙左路传中，哈默德后点跃起头球顶高
76'瓦伦西亚回敲给到杜震宇                   75'第75分钟，王晓龙左路传中，哈默德后点跃起头球顶高
76'杜震宇迎球直接打门将球打高了                   75'第75分钟，王晓龙左路传中，哈默德后点跃起头球顶高
77'泰达左路拿球给到禁区弧顶                   75'第75分钟，王晓龙左路传中，哈默德后点跃起头球顶高
77'王新欣远射打近角被张世昌扑了出去                   75'第75分钟，王晓龙左路传中，哈默德后点跃起头球顶高
77'张世昌这次扑救很关键                   75'第75分钟，王晓龙左路传中，哈默德后点跃起头球顶高
77'泰达角球机会                   75'第75分钟，王晓龙左路传中，哈默德后点跃起头球顶高
78'角球送禁区里，威胁不大                   75'第75分钟，王晓龙左路传中，哈默德后点跃起头球顶高
78'富力这边反击，又是处在了越位的位置上                   75'第75分钟，王晓龙左路传中，哈默德后点跃起头球顶高
77'泰达左路拿球给到禁区弧顶                   77'第77分钟，烈鸟在对方底线拿住皮球后传中，王新欣直接射近角被张世昌奋力扑出
77'王新欣远射打近角被张世昌扑了出去                   77'第77分钟，烈鸟在对方底线拿住皮球后传中，王新欣直接射近角被张世昌奋力扑出
77'张世昌这次扑救很关键                   77'第77分钟，烈鸟在对方底线拿住皮球后传中，王新欣直接射近角被张世昌奋力扑出
77'泰达角球机会                   77'第77分钟，烈鸟在对方底线拿住皮球后传中，王新欣直接射近角被张世昌奋力扑出
78'角球送禁区里，威胁不大                   77'第77分钟，烈鸟在对方底线拿住皮球后传中，王新欣直接射近角被张世昌奋力扑出
78'富力这边反击，又是处在了越位的位置上                   77'第77分钟，烈鸟在对方底线拿住皮球后传中，王新欣直接射近角被张世昌奋力扑出
79'哈默德左路拿球被铲倒                   77'第77分钟，烈鸟在对方底线拿住皮球后传中，王新欣直接射近角被张世昌奋力扑出
79'姜至鹏左路拿球远射打偏                   77'第77分钟，烈鸟在对方底线拿住皮球后传中，王新欣直接射近角被张世昌奋力扑出
81'泰达将球转移到了边路                   81'第81分钟，哈默德禁区前沿连续过人被利马阻截，后者杀得兴起，带球突破大半个场地，最后被张耀坤将球铲出边线
81'杜震宇拿球的时候越位了                   81'第81分钟，哈默德禁区前沿连续过人被利马阻截，后者杀得兴起，带球突破大半个场地，最后被张耀坤将球铲出边线
81'王晓龙左路拿球回敲                   81'第81分钟，哈默德禁区前沿连续过人被利马阻截，后者杀得兴起，带球突破大半个场地，最后被张耀坤将球铲出边线
82'禁区弧顶，泰达多人包夹将球抢断                   81'第81分钟，哈默德禁区前沿连续过人被利马阻截，后者杀得兴起，带球突破大半个场地，最后被张耀坤将球铲出边线
82'泰达中场送直塞                   81'第81分钟，哈默德禁区前沿连续过人被利马阻截，后者杀得兴起，带球突破大半个场地，最后被张耀坤将球铲出边线
