1'上半场比赛开始！                   1'尤文第1分钟稳扎稳打，双方几脚射门没有太大威胁
61'毛里进球！                   60'下半时开始15分钟，帕尔马反击分球，基耶利尼没能破坏，贝尔福迪禁区右侧低传，何塞-毛里禁区边缘左脚推射挂左上角，尤文0比1落后
61'帕尔马反击，贝尔福迪禁区右侧倒三角传回，毛里跟上推射破门！                   60'下半时开始15分钟，帕尔马反击分球，基耶利尼没能破坏，贝尔福迪禁区右侧低传，何塞-毛里禁区边缘左脚推射挂左上角，尤文0比1落后
62'帕尔马1-0领先尤文！                   60'下半时开始15分钟，帕尔马反击分球，基耶利尼没能破坏，贝尔福迪禁区右侧低传，何塞-毛里禁区边缘左脚推射挂左上角，尤文0比1落后
62'略伦特禁区右侧拿球，被包夹关门                   60'下半时开始15分钟，帕尔马反击分球，基耶利尼没能破坏，贝尔福迪禁区右侧低传，何塞-毛里禁区边缘左脚推射挂左上角，尤文0比1落后
62'奥邦纳前场的顶防放倒了杰扎尔                   60'下半时开始15分钟，帕尔马反击分球，基耶利尼没能破坏，贝尔福迪禁区右侧低传，何塞-毛里禁区边缘左脚推射挂左上角，尤文0比1落后
62'尤文换人，莫拉塔换下佩雷拉                   60'下半时开始15分钟，帕尔马反击分球，基耶利尼没能破坏，贝尔福迪禁区右侧低传，何塞-毛里禁区边缘左脚推射挂左上角，尤文0比1落后
63'利希施泰纳右路助攻，刚停球就被破坏出界                   60'下半时开始15分钟，帕尔马反击分球，基耶利尼没能破坏，贝尔福迪禁区右侧低传，何塞-毛里禁区边缘左脚推射挂左上角，尤文0比1落后
80'帕尔马换人，桑塔科罗切被卡萨尼换下                   80'第80分钟，维塔莱换下科曼，上演意甲首秀
80'尤文换人，科曼被维塔尔换下                   80'第80分钟，维塔莱换下科曼，上演意甲首秀
81'帕多因左路传中，费达尔胸部停球，转身解围                   80'第80分钟，维塔莱换下科曼，上演意甲首秀
81'维塔尔左路拿球下底，趟大了出底线                   80'第80分钟，维塔莱换下科曼，上演意甲首秀
81'Destiny7598：帕尔马就1次射正球门范围内就得分了                   80'第80分钟，维塔莱换下科曼，上演意甲首秀
82'帕尔马继续换人，毛里被利拉换下                   80'第80分钟，维塔莱换下科曼，上演意甲首秀
83'贝尔福迪前场右路拼抢，抽筋了                   80'第80分钟，维塔莱换下科曼，上演意甲首秀
