17'裁判给了巴萨后场定位球                   17'第17分钟，桑切斯传球，特略禁区前射门高出
22'对于蒂亚戈来说是个久违的进球了                   20'巴萨第20分钟取得领先，蒂亚戈突破传球，桑切斯禁区右侧横传，蒂亚戈12码处面对2人包夹防守果断起脚低射，皮球入左下死角
22'蒂亚戈策动的反击，把球交给桑切斯~后者直接横敲，蒂亚戈插上面对门将一脚推射！                   20'巴萨第20分钟取得领先，蒂亚戈突破传球，桑切斯禁区右侧横传，蒂亚戈12码处面对2人包夹防守果断起脚低射，皮球入左下死角
23'桑切斯又为巴萨赢得了一个前场定位球                   20'巴萨第20分钟取得领先，蒂亚戈突破传球，桑切斯禁区右侧横传，蒂亚戈12码处面对2人包夹防守果断起脚低射，皮球入左下死角
23'落霞孤鹜兮秋水长天:今天梅西都没来？---嗯，留在巴塞罗那                   20'巴萨第20分钟取得领先，蒂亚戈突破传球，桑切斯禁区右侧横传，蒂亚戈12码处面对2人包夹防守果断起脚低射，皮球入左下死角
23'哈维来主罚                   20'巴萨第20分钟取得领先，蒂亚戈突破传球，桑切斯禁区右侧横传，蒂亚戈12码处面对2人包夹防守果断起脚低射，皮球入左下死角
23'大佬今天没有梳大背头                   20'巴萨第20分钟取得领先，蒂亚戈突破传球，桑切斯禁区右侧横传，蒂亚戈12码处面对2人包夹防守果断起脚低射，皮球入左下死角
25'莫维拉~中场反抢                   25'第25分钟，萨普纳努长传球，波斯蒂加禁区右侧的射门被封堵
25'铲球动作很大                   25'第25分钟，萨普纳努长传球，波斯蒂加禁区右侧的射门被封堵
25'从身后铲倒了桑切斯，裁判给了莫维拉一张黄牌                   25'第25分钟，萨普纳努长传球，波斯蒂加禁区右侧的射门被封堵
25'莫维拉这名老将是75年出生的                   25'第25分钟，萨普纳努长传球，波斯蒂加禁区右侧的射门被封堵
25'都快40了                   25'第25分钟，萨普纳努长传球，波斯蒂加禁区右侧的射门被封堵
25'这个赛季之后他也将宣布退役                   25'第25分钟，萨普纳努长传球，波斯蒂加禁区右侧的射门被封堵
26'萨拉戈萨门将出击失误~                   25'第25分钟，萨普纳努长传球，波斯蒂加禁区右侧的射门被封堵
26'球落到了特略脚下，虚晃~没能突破对方后卫                   25'第25分钟，萨普纳努长传球，波斯蒂加禁区右侧的射门被封堵
26'萨拉戈萨还是长传反击                   25'第25分钟，萨普纳努长传球，波斯蒂加禁区右侧的射门被封堵
26'波斯蒂加在两名巴萨后卫的围抢下打门~~~                   25'第25分钟，萨普纳努长传球，波斯蒂加禁区右侧的射门被封堵
26'被挡了一下之后，弹向了底线                   25'第25分钟，萨普纳努长传球，波斯蒂加禁区右侧的射门被封堵
26'巴尔德斯出击将球没收                   25'第25分钟，萨普纳努长传球，波斯蒂加禁区右侧的射门被封堵
28'小法回撤到了后场                   25'第25分钟，萨普纳努长传球，波斯蒂加禁区右侧的射门被封堵
28'长传球想找桑切斯~对方的中卫头球破坏                   25'第25分钟，萨普纳努长传球，波斯蒂加禁区右侧的射门被封堵
39'阿尔维斯在后场玩起来了                   39'巴萨第39分钟扩大比分，特略同蒂亚戈踢墙配合后反越位成功，他在禁区左侧12码处冷静射入近角，2-0
39'还玩对方扑过来抢球的前锋，很危险的                   39'巴萨第39分钟扩大比分，特略同蒂亚戈踢墙配合后反越位成功，他在禁区左侧12码处冷静射入近角，2-0
39'特球王~~~                   39'巴萨第39分钟扩大比分，特略同蒂亚戈踢墙配合后反越位成功，他在禁区左侧12码处冷静射入近角，2-0
39'Gooooooooooooooooal~~~                   39'巴萨第39分钟扩大比分，特略同蒂亚戈踢墙配合后反越位成功，他在禁区左侧12码处冷静射入近角，2-0
39'又是反击~巴萨2比0                   39'巴萨第39分钟扩大比分，特略同蒂亚戈踢墙配合后反越位成功，他在禁区左侧12码处冷静射入近角，2-0
40'特略这一次是接到了蒂亚戈的直传~反越位单刀面对出击的门将                   39'巴萨第39分钟扩大比分，特略同蒂亚戈踢墙配合后反越位成功，他在禁区左侧12码处冷静射入近角，2-0
40'特略~有一脚漂亮的搓射！这绝对是跟亨利学的                   39'巴萨第39分钟扩大比分，特略同蒂亚戈踢墙配合后反越位成功，他在禁区左侧12码处冷静射入近角，2-0
40'直接打了球门的近角，对方门将完全没想到                   39'巴萨第39分钟扩大比分，特略同蒂亚戈踢墙配合后反越位成功，他在禁区左侧12码处冷静射入近角，2-0
41'特略你平时看他比赛的话就知道他的外脚背抽射很少使用，大多都是搓射球门找角度                   39'巴萨第39分钟扩大比分，特略同蒂亚戈踢墙配合后反越位成功，他在禁区左侧12码处冷静射入近角，2-0
41'游客3645: 特球王视野不开阔--这个赛季进步多了                   39'巴萨第39分钟扩大比分，特略同蒂亚戈踢墙配合后反越位成功，他在禁区左侧12码处冷静射入近角，2-0
41'巴萨获得了一个角球机会                   39'巴萨第39分钟扩大比分，特略同蒂亚戈踢墙配合后反越位成功，他在禁区左侧12码处冷静射入近角，2-0
41'今天蒂亚戈是状态极佳啊，一个进球一个助攻了                   39'巴萨第39分钟扩大比分，特略同蒂亚戈踢墙配合后反越位成功，他在禁区左侧12码处冷静射入近角，2-0
41'哈维角球开了一个后点，特略~                   39'巴萨第39分钟扩大比分，特略同蒂亚戈踢墙配合后反越位成功，他在禁区左侧12码处冷静射入近角，2-0
42'利用速度，突破底线传中                   39'巴萨第39分钟扩大比分，特略同蒂亚戈踢墙配合后反越位成功，他在禁区左侧12码处冷静射入近角，2-0
42'禁区中路的打门~~~被后卫挡了一下                   39'巴萨第39分钟扩大比分，特略同蒂亚戈踢墙配合后反越位成功，他在禁区左侧12码处冷静射入近角，2-0
42'巴萨刚才乱中差点取胜                   39'巴萨第39分钟扩大比分，特略同蒂亚戈踢墙配合后反越位成功，他在禁区左侧12码处冷静射入近角，2-0
42'狐狸: 特略的搓射力量都很大啊---嗯，他经常在禁区边缘搓射                   39'巴萨第39分钟扩大比分，特略同蒂亚戈踢墙配合后反越位成功，他在禁区左侧12码处冷静射入近角，2-0
53'特略！！！                   53'巴萨第53分钟锁定胜局，蒂亚戈传球，特略面对洛文斯突破至小禁区左侧边缘低射远角入网，3-0
53'Goooooooooooooooal~~~                   53'巴萨第53分钟锁定胜局，蒂亚戈传球，特略面对洛文斯突破至小禁区左侧边缘低射远角入网，3-0
53'特球王梅开二度！                   53'巴萨第53分钟锁定胜局，蒂亚戈传球，特略面对洛文斯突破至小禁区左侧边缘低射远角入网，3-0
54'对面阿波尼奥还因为抗议裁判领到了黄牌                   53'巴萨第53分钟锁定胜局，蒂亚戈传球，特略面对洛文斯突破至小禁区左侧边缘低射远角入网，3-0
54'特略完全展现了自己的个人能力~一个单车绕跨动作完全甩开了后卫，面对门将小角度推射！                   53'巴萨第53分钟锁定胜局，蒂亚戈传球，特略面对洛文斯突破至小禁区左侧边缘低射远角入网，3-0
54'别忘了特略的突破也是很牛叉的                   53'巴萨第53分钟锁定胜局，蒂亚戈传球，特略面对洛文斯突破至小禁区左侧边缘低射远角入网，3-0
54'还记得前两个赛季国王杯他的成名之作                   53'巴萨第53分钟锁定胜局，蒂亚戈传球，特略面对洛文斯突破至小禁区左侧边缘低射远角入网，3-0
55'后场带球狂奔~单刀破门                   53'巴萨第53分钟锁定胜局，蒂亚戈传球，特略面对洛文斯突破至小禁区左侧边缘低射远角入网，3-0
55'波斯蒂加挑球过了阿德~宋在身后拉人了                   53'巴萨第53分钟锁定胜局，蒂亚戈传球，特略面对洛文斯突破至小禁区左侧边缘低射远角入网，3-0
55'萨拉戈萨获得了一个位置不错的定位球                   53'巴萨第53分钟锁定胜局，蒂亚戈传球，特略面对洛文斯突破至小禁区左侧边缘低射远角入网，3-0
56'今天的队长是巴尔德斯                   53'巴萨第53分钟锁定胜局，蒂亚戈传球，特略面对洛文斯突破至小禁区左侧边缘低射远角入网，3-0
56'错了，是哈维                   53'巴萨第53分钟锁定胜局，蒂亚戈传球，特略面对洛文斯突破至小禁区左侧边缘低射远角入网，3-0
56'怎么能忘了大佬                   53'巴萨第53分钟锁定胜局，蒂亚戈传球，特略面对洛文斯突破至小禁区左侧边缘低射远角入网，3-0
56'蒂亚戈断球~反击交给特略                   53'巴萨第53分钟锁定胜局，蒂亚戈传球，特略面对洛文斯突破至小禁区左侧边缘低射远角入网，3-0
56'意图太明显了                   53'巴萨第53分钟锁定胜局，蒂亚戈传球，特略面对洛文斯突破至小禁区左侧边缘低射远角入网，3-0
63'萨拉戈萨继续换人                   61'第61分钟，罗德里右路传中，阿尔维斯解围不及时，蒙塔内斯禁区边缘内抢断后劲射被巴尔德斯没收
63'换下了波斯蒂加，换上的是罗西纳                   61'第61分钟，罗德里右路传中，阿尔维斯解围不及时，蒙塔内斯禁区边缘内抢断后劲射被巴尔德斯没收
64'dwb696969:柠檬：弱弱的问一句比利亚会上场么？期待葫芦娃有所表现！---相信他会上来找找感觉的                   61'第61分钟，罗德里右路传中，阿尔维斯解围不及时，蒙塔内斯禁区边缘内抢断后劲射被巴尔德斯没收
64'萨拉戈萨禁区外打远射~裁判吹哨了                   61'第61分钟，罗德里右路传中，阿尔维斯解围不及时，蒙塔内斯禁区边缘内抢断后劲射被巴尔德斯没收
64'萨拉戈萨的球员有犯规                   61'第61分钟，罗德里右路传中，阿尔维斯解围不及时，蒙塔内斯禁区边缘内抢断后劲射被巴尔德斯没收
73'夜深人静时的寂寞:柠檬问你个事儿，文慧呢？好多天没看到她了！---她一直都在，下一场热火她应该会回来                   72'第72分钟，桑切斯铲倒蒙塔内斯被罚黄牌，阿波尼奥任意球远射偏出
73'蒙托亚从对方球员脚下把球抢走                   72'第72分钟，桑切斯铲倒蒙塔内斯被罚黄牌，阿波尼奥任意球远射偏出
74'阿尔维斯边路传中，打得太过简单了                   72'第72分钟，桑切斯铲倒蒙塔内斯被罚黄牌，阿波尼奥任意球远射偏出
74'这种传中球对方后卫并不怕                   72'第72分钟，桑切斯铲倒蒙塔内斯被罚黄牌，阿波尼奥任意球远射偏出
74'特略~带球摆脱，横传给了哈维                   72'第72分钟，桑切斯铲倒蒙塔内斯被罚黄牌，阿波尼奥任意球远射偏出
74'桑切斯~陷入了对方多名后卫的围抢                   72'第72分钟，桑切斯铲倒蒙塔内斯被罚黄牌，阿波尼奥任意球远射偏出
75'罗西纳~大禁区外左脚远射！！！球打高了一些                   72'第72分钟，桑切斯铲倒蒙塔内斯被罚黄牌，阿波尼奥任意球远射偏出
75'比赛时间不多，巴萨这边还没有换人                   72'第72分钟，桑切斯铲倒蒙塔内斯被罚黄牌，阿波尼奥任意球远射偏出
75'特略太积极了，积极得有点让人难以相信                   72'第72分钟，桑切斯铲倒蒙塔内斯被罚黄牌，阿波尼奥任意球远射偏出
75'多次回到后场参与防守，还在前场多次有反抢                   72'第72分钟，桑切斯铲倒蒙塔内斯被罚黄牌，阿波尼奥任意球远射偏出
78'阿比达尔换下了阿德里亚诺                   78'第78分钟，阿比达尔替换阿德里亚诺出场，全场球迷均给予掌声
78'这也是为了保护阿德                   78'第78分钟，阿比达尔替换阿德里亚诺出场，全场球迷均给予掌声
78'他太容易拉伤大腿肌肉了                   78'第78分钟，阿比达尔替换阿德里亚诺出场，全场球迷均给予掌声
78'虽然大病没有，但是阿德总是经常因为肌肉问题缺席必死啊                   78'第78分钟，阿比达尔替换阿德里亚诺出场，全场球迷均给予掌声
78'缺席比赛，又打错了                   78'第78分钟，阿比达尔替换阿德里亚诺出场，全场球迷均给予掌声
80'场边28号小将罗伯托准备出场了                   78'第78分钟，阿比达尔替换阿德里亚诺出场，全场球迷均给予掌声
81'他是一名可以打中前场的球员                   78'第78分钟，阿比达尔替换阿德里亚诺出场，全场球迷均给予掌声
81'换下的是哈维                   78'第78分钟，阿比达尔替换阿德里亚诺出场，全场球迷均给予掌声
81'大佬可以下去休息了                   78'第78分钟，阿比达尔替换阿德里亚诺出场，全场球迷均给予掌声
81'浪射不等于进球:阿德还真是万金油！---阿德除了门将不打...                   78'第78分钟，阿比达尔替换阿德里亚诺出场，全场球迷均给予掌声
85'宋漂亮的带球摆脱~但是给桑切斯的传球给大了一些                   85'第85分钟，罗德里传球，蒙塔内斯禁区左侧斜射偏出
85'桑切斯还在跟阿尔瓦罗说什么                   85'第85分钟，罗德里传球，蒙塔内斯禁区左侧斜射偏出
85'拼速度~巴尔特拉被爆了                   85'第85分钟，罗德里传球，蒙塔内斯禁区左侧斜射偏出
86'蒙塔内斯~~强行超车过了巴尔特拉                   85'第85分钟，罗德里传球，蒙塔内斯禁区左侧斜射偏出
86'但是他的射门打了远角~偏出了立柱                   85'第85分钟，罗德里传球，蒙塔内斯禁区左侧斜射偏出
86'巴萨进攻获得了一个角球                   85'第85分钟，罗德里传球，蒙塔内斯禁区左侧斜射偏出
86'没有传好，阿尔维斯传出了底线                   85'第85分钟，罗德里传球，蒙塔内斯禁区左侧斜射偏出
