6'米兰中场拿球，卡卡给到中路                   3'开场3分钟，德希利奥右路传中，罗比尼奥后点距门7米处半凌空推射偏出近门柱
31'诺切里诺小禁区前沿头球攻门顶得太正了！！！                   30'第30分钟，禁区内头球摆渡，在门前7米处头球接力被孔西利没收
32'罗比尼奥左路传球送禁区内                   30'第30分钟，禁区内头球摆渡，在门前7米处头球接力被孔西利没收
32'第一点被顶了出来                   30'第30分钟，禁区内头球摆渡，在门前7米处头球接力被孔西利没收
32'德容拿球还是送中路                   30'第30分钟，禁区内头球摆渡，在门前7米处头球接力被孔西利没收
33'罗比尼奥边路传球被后卫挡了一下                   30'第30分钟，禁区内头球摆渡，在门前7米处头球接力被孔西利没收
33'孔西利再出底线前将球救了回来                   30'第30分钟，禁区内头球摆渡，在门前7米处头球接力被孔西利没收
35'博纳文图拉左路拿球到禁区内                   35'AC米兰第35分钟取得领先，埃马纽尔森后场长途奔袭到禁区前沿，及时塞到贝纳卢阿内身后，卡卡反越位成功，禁区左侧距门6米处小角度推进远角，1比0
35'最后的一传被后卫挡出底线                   35'AC米兰第35分钟取得领先，埃马纽尔森后场长途奔袭到禁区前沿，及时塞到贝纳卢阿内身后，卡卡反越位成功，禁区左侧距门6米处小角度推进远角，1比0
35'转眼间亚特兰大也获得角球机会                   35'AC米兰第35分钟取得领先，埃马纽尔森后场长途奔袭到禁区前沿，及时塞到贝纳卢阿内身后，卡卡反越位成功，禁区左侧距门6米处小角度推进远角，1比0
35'角球也送前点，第一点被米兰顶出                   35'AC米兰第35分钟取得领先，埃马纽尔森后场长途奔袭到禁区前沿，及时塞到贝纳卢阿内身后，卡卡反越位成功，禁区左侧距门6米处小角度推进远角，1比0
35'米兰的反击                   35'AC米兰第35分钟取得领先，埃马纽尔森后场长途奔袭到禁区前沿，及时塞到贝纳卢阿内身后，卡卡反越位成功，禁区左侧距门6米处小角度推进远角，1比0
35'卡卡进球了！！                   35'AC米兰第35分钟取得领先，埃马纽尔森后场长途奔袭到禁区前沿，及时塞到贝纳卢阿内身后，卡卡反越位成功，禁区左侧距门6米处小角度推进远角，1比0
36'1-0！！                   35'AC米兰第35分钟取得领先，埃马纽尔森后场长途奔袭到禁区前沿，及时塞到贝纳卢阿内身后，卡卡反越位成功，禁区左侧距门6米处小角度推进远角，1比0
36'第100球啊                   35'AC米兰第35分钟取得领先，埃马纽尔森后场长途奔袭到禁区前沿，及时塞到贝纳卢阿内身后，卡卡反越位成功，禁区左侧距门6米处小角度推进远角，1比0
36'卡卡进球有也是高举一个印有100的球衣                   35'AC米兰第35分钟取得领先，埃马纽尔森后场长途奔袭到禁区前沿，及时塞到贝纳卢阿内身后，卡卡反越位成功，禁区左侧距门6米处小角度推进远角，1比0
37'米兰的这次反击速度非常快，卡卡小禁区附近得球后很冷静的小角度推射远角得分                   35'AC米兰第35分钟取得领先，埃马纽尔森后场长途奔袭到禁区前沿，及时塞到贝纳卢阿内身后，卡卡反越位成功，禁区左侧距门6米处小角度推进远角，1比0
38'【互动话题】卡卡的第100球，来得是不是晚点？有没有你想象中的那样完美？                   35'AC米兰第35分钟取得领先，埃马纽尔森后场长途奔袭到禁区前沿，及时塞到贝纳卢阿内身后，卡卡反越位成功，禁区左侧距门6米处小角度推进远角，1比0
38'为了奥布莱恩杯：卡卡加油，太给力了，刚说完就进球了，哈哈！【100球很给力】                   35'AC米兰第35分钟取得领先，埃马纽尔森后场长途奔袭到禁区前沿，及时塞到贝纳卢阿内身后，卡卡反越位成功，禁区左侧距门6米处小角度推进远角，1比0
44'诺切里诺中场防守丹尼斯的时候犯规                   44'第44分钟，莫拉莱斯右路下底传中碰诺切里诺变线，拉伊蒙蒂在门前10米处大力抽射击中近门柱
45'莫拉莱斯右路传球送禁区内                   44'第44分钟，莫拉莱斯右路下底传中碰诺切里诺变线，拉伊蒙蒂在门前10米处大力抽射击中近门柱
45'诺切里诺挡了一下后来到了拉伊蒙蒂脚下                   44'第44分钟，莫拉莱斯右路下底传中碰诺切里诺变线，拉伊蒙蒂在门前10米处大力抽射击中近门柱
45'拉伊蒙蒂大力远射被后卫碰了一下出了底线                   44'第44分钟，莫拉莱斯右路下底传中碰诺切里诺变线，拉伊蒙蒂在门前10米处大力抽射击中近门柱
46'亚特兰大角球开出，威胁并不大                   44'第44分钟，莫拉莱斯右路下底传中碰诺切里诺变线，拉伊蒙蒂在门前10米处大力抽射击中近门柱
46'上半场补时2分钟！                   44'第44分钟，莫拉莱斯右路下底传中碰诺切里诺变线，拉伊蒙蒂在门前10米处大力抽射击中近门柱
46'萨帕塔中场附近的防守犯规                   44'第44分钟，莫拉莱斯右路下底传中碰诺切里诺变线，拉伊蒙蒂在门前10米处大力抽射击中近门柱
47'亚特兰大想快发任意球，但没有收到效果                   44'第44分钟，莫拉莱斯右路下底传中碰诺切里诺变线，拉伊蒙蒂在门前10米处大力抽射击中近门柱
46'下半场比赛开始！                   44'第44分钟，莫拉莱斯右路下底传中碰诺切里诺变线，拉伊蒙蒂在门前10米处大力抽射击中近门柱
46'下半场比赛由米兰开球                   44'第44分钟，莫拉莱斯右路下底传中碰诺切里诺变线，拉伊蒙蒂在门前10米处大力抽射击中近门柱
46'德希利奥拿球给到中路                   44'第44分钟，莫拉莱斯右路下底传中碰诺切里诺变线，拉伊蒙蒂在门前10米处大力抽射击中近门柱
46'队友第一下没有领好，再追的时候没有拿到                   44'第44分钟，莫拉莱斯右路下底传中碰诺切里诺变线，拉伊蒙蒂在门前10米处大力抽射击中近门柱
47'莫拉莱斯右路带球突破被德容放倒                   44'第44分钟，莫拉莱斯右路下底传中碰诺切里诺变线，拉伊蒙蒂在门前10米处大力抽射击中近门柱
47'璐璐vivi的微博：N长时间不看米兰比赛，一看就有惊喜！加油米兰！【欢迎回归~~】                   44'第44分钟，莫拉莱斯右路下底传中碰诺切里诺变线，拉伊蒙蒂在门前10米处大力抽射击中近门柱
51'巴塞利中场从梅克斯脚下断球                   51'第51分钟，亚特兰大任意球长传禁区，贝纳卢阿内在门前12米处左脚推射入网，但他推搡梅克斯在先，进球被判无效
51'梅克斯反抢的时候犯规                   51'第51分钟，亚特兰大任意球长传禁区，贝纳卢阿内在门前12米处左脚推射入网，但他推搡梅克斯在先，进球被判无效
52'亚特兰大进球了！！但这球被吹了                   51'第51分钟，亚特兰大任意球长传禁区，贝纳卢阿内在门前12米处左脚推射入网，但他推搡梅克斯在先，进球被判无效
52'纳卢阿内禁区内胸部停球后直接打门将球打进                   51'第51分钟，亚特兰大任意球长传禁区，贝纳卢阿内在门前12米处左脚推射入网，但他推搡梅克斯在先，进球被判无效
53'这球传的一霎那并不越位                   51'第51分钟，亚特兰大任意球长传禁区，贝纳卢阿内在门前12米处左脚推射入网，但他推搡梅克斯在先，进球被判无效
54'蛋蛋的疑惑：激动了一下，在一看无效！哈哈【惊吓了一下吧？】                   51'第51分钟，亚特兰大任意球长传禁区，贝纳卢阿内在门前12米处左脚推射入网，但他推搡梅克斯在先，进球被判无效
61'亚特兰大的直塞给的太深                   61'第61分钟，梅雷莱斯传过顶球，丹尼斯禁区右侧反越位推射被萨帕塔挡出近门柱
61'亚特兰大中场断球                   61'第61分钟，梅雷莱斯传过顶球，丹尼斯禁区右侧反越位推射被萨帕塔挡出近门柱
61'直接直塞送到前场                   61'第61分钟，梅雷莱斯传过顶球，丹尼斯禁区右侧反越位推射被萨帕塔挡出近门柱
62'丹尼斯几乎单刀的打门被后卫碰了一下出了底线                   61'第61分钟，梅雷莱斯传过顶球，丹尼斯禁区右侧反越位推射被萨帕塔挡出近门柱
62'【互动话题】米兰这防守在剩下的30分钟的时间会不会丢球？                   61'第61分钟，梅雷莱斯传过顶球，丹尼斯禁区右侧反越位推射被萨帕塔挡出近门柱
62'亚特兰大角球送前点，威胁不大                   61'第61分钟，梅雷莱斯传过顶球，丹尼斯禁区右侧反越位推射被萨帕塔挡出近门柱
63'为了奥布莱恩杯：早就该换下马特里了【应该让谁上？】                   61'第61分钟，梅雷莱斯传过顶球，丹尼斯禁区右侧反越位推射被萨帕塔挡出近门柱
64'用户hy8mpuxxw5：比赛结束时间说一下【这就想着结束了？】                   61'第61分钟，梅雷莱斯传过顶球，丹尼斯禁区右侧反越位推射被萨帕塔挡出近门柱
65'卡卡又进球了！！                   65'卡卡第65分钟梅开二度
66'2-0了！！                   65'卡卡第65分钟梅开二度
67'3-0！！！                   65'卡卡第65分钟梅开二度
67'克里斯坦特！！！                   65'卡卡第65分钟梅开二度
68'克里斯坦特禁区右路拿球，直接爆射打远角得分！！                   65'卡卡第65分钟梅开二度
68'亚特兰大这边，博纳文图拉被换下                   65'卡卡第65分钟梅开二度
47'亚特兰大想快发任意球，但没有收到效果                   47'仅过2分钟，克里斯坦特接到卡卡传球，在门前25米处大力低射钻进左下角，3比0
48'亚特兰大中场送直塞                   47'仅过2分钟，克里斯坦特接到卡卡传球，在门前25米处大力低射钻进左下角，3比0
48'锋线接应的队友拿球先越位了                   47'仅过2分钟，克里斯坦特接到卡卡传球，在门前25米处大力低射钻进左下角，3比0
47'莫拉莱斯右路带球突破被德容放倒                   47'仅过2分钟，克里斯坦特接到卡卡传球，在门前25米处大力低射钻进左下角，3比0
47'璐璐vivi的微博：N长时间不看米兰比赛，一看就有惊喜！加油米兰！【欢迎回归~~】                   47'仅过2分钟，克里斯坦特接到卡卡传球，在门前25米处大力低射钻进左下角，3比0
48'马特里防守的时候撞倒了博纳文图拉                   47'仅过2分钟，克里斯坦特接到卡卡传球，在门前25米处大力低射钻进左下角，3比0
48'马特里得到一张黄牌                   47'仅过2分钟，克里斯坦特接到卡卡传球，在门前25米处大力低射钻进左下角，3比0
49'下半场比赛，亚特兰大明显加强了攻势                   47'仅过2分钟，克里斯坦特接到卡卡传球，在门前25米处大力低射钻进左下角，3比0
49'卡卡中场争抢头球的时候被撞了一下                   47'仅过2分钟，克里斯坦特接到卡卡传球，在门前25米处大力低射钻进左下角，3比0
71'巴洛特利禁区内接球，推射被孔西利扑出                   71'第71分钟，罗比尼奥传球，巴洛特利强突禁区距门13米处左脚低射被孔西利用脚挡出
71'现在是米兰的表演时间了                   71'第71分钟，罗比尼奥传球，巴洛特利强突禁区距门13米处左脚低射被孔西利用脚挡出
72'莫拉莱斯左路拿球被侵犯                   71'第71分钟，罗比尼奥传球，巴洛特利强突禁区距门13米处左脚低射被孔西利用脚挡出
72'亚特兰大任意球快速发出                   71'第71分钟，罗比尼奥传球，巴洛特利强突禁区距门13米处左脚低射被孔西利用脚挡出
72'转移给到了右路                   71'第71分钟，罗比尼奥传球，巴洛特利强突禁区距门13米处左脚低射被孔西利用脚挡出
72'贝纳卢阿内边路传球送禁区内                   71'第71分钟，罗比尼奥传球，巴洛特利强突禁区距门13米处左脚低射被孔西利用脚挡出
72'拉伊蒙蒂的射门没有踢正部位                   71'第71分钟，罗比尼奥传球，巴洛特利强突禁区距门13米处左脚低射被孔西利用脚挡出
72'亚特兰大这边又要准备换人                   71'第71分钟，罗比尼奥传球，巴洛特利强突禁区距门13米处左脚低射被孔西利用脚挡出
73'米兰这边也要换人                   71'第71分钟，罗比尼奥传球，巴洛特利强突禁区距门13米处左脚低射被孔西利用脚挡出
73'罗比尼奥下，波利上！                   71'第71分钟，罗比尼奥传球，巴洛特利强突禁区距门13米处左脚低射被孔西利用脚挡出
74'亚特兰大这边，贝纳卢阿内下，布里恩扎上！                   71'第71分钟，罗比尼奥传球，巴洛特利强突禁区距门13米处左脚低射被孔西利用脚挡出
78'小角度直接选择了射门，孔西利侧扑将球压在身下                   78'第78分钟，卡卡带球距门20米处冷射被孔西利封出
79'全场比赛进行到了80分钟，场上的比分是AC米兰3-0领先亚特兰大                   78'第78分钟，卡卡带球距门20米处冷射被孔西利封出
80'米兰前场右路获得定位球机会                   78'第78分钟，卡卡带球距门20米处冷射被孔西利封出
80'卡卡任意球开出，孔西利出击将球击出                   78'第78分钟，卡卡带球距门20米处冷射被孔西利封出
80'同时孔西利也是重重的将萨帕塔撞倒                   78'第78分钟，卡卡带球距门20米处冷射被孔西利封出
80'两人也是都倒地                   78'第78分钟，卡卡带球距门20米处冷射被孔西利封出
80'经过短暂的休整，两人的问题都不大                   78'第78分钟，卡卡带球距门20米处冷射被孔西利封出
80'奇加里尼前场拿球分到边路                   78'第78分钟，卡卡带球距门20米处冷射被孔西利封出
81'米兰这边准备将拉米换上场                   78'第78分钟，卡卡带球距门20米处冷射被孔西利封出
81'萨帕塔被换了下去                   78'第78分钟，卡卡带球距门20米处冷射被孔西利封出
82'亚特兰大前场左路获得定位球机会                   82'第82分钟，萨帕塔冲撞门将孔西利，自己受伤倒地，拉米替补出场上演首秀
82'奇加里尼任意球打到禁区内                   82'第82分钟，萨帕塔冲撞门将孔西利，自己受伤倒地，拉米替补出场上演首秀
82'阿比亚蒂出击将球得到                   82'第82分钟，萨帕塔冲撞门将孔西利，自己受伤倒地，拉米替补出场上演首秀
83'灵枢素问726：拉米上了!!!【大家都很期待】                   82'第82分钟，萨帕塔冲撞门将孔西利，自己受伤倒地，拉米替补出场上演首秀
84'巴洛特利前场边路拿球                    82'第82分钟，萨帕塔冲撞门将孔西利，自己受伤倒地，拉米替补出场上演首秀
84'禁区外围的远射打偏了                   82'第82分钟，萨帕塔冲撞门将孔西利，自己受伤倒地，拉米替补出场上演首秀
84'布里恩扎前场带球到禁区弧顶                   82'第82分钟，萨帕塔冲撞门将孔西利，自己受伤倒地，拉米替补出场上演首秀
84'低射，打偏了。。。                   82'第82分钟，萨帕塔冲撞门将孔西利，自己受伤倒地，拉米替补出场上演首秀
85'CP3无解的球星：卡卡！！终于又看见了当年的卡卡了！！【这是多怀念以前】                   82'第82分钟，萨帕塔冲撞门将孔西利，自己受伤倒地，拉米替补出场上演首秀
85'米兰前场拿球到了禁区内                   82'第82分钟，萨帕塔冲撞门将孔西利，自己受伤倒地，拉米替补出场上演首秀
85'小角度的打门没有打好                   82'第82分钟，萨帕塔冲撞门将孔西利，自己受伤倒地，拉米替补出场上演首秀
