3'卡萨诺直接射门，打近角滑出了底线。                   3'开场3分钟，卡萨诺左侧主罚任意球，直接小角度低射打中边网
18'可惜啊，差点就进球了，巴神很郁闷！                   17'第17分钟，巴洛特利右路与波利打出踢墙配合，在门前6米处小角度推射被A-卢卡雷利挡出底线，AC米兰右侧开出角球，卡卡前点头球摆渡，巴洛特利在门前4米处推射击中右门柱外侧弹出
19'卡卡在中场被卢卡雷利犯规了，米兰定位球。                   17'第17分钟，巴洛特利右路与波利打出踢墙配合，在门前6米处小角度推射被A-卢卡雷利挡出底线，AC米兰右侧开出角球，卡卡前点头球摆渡，巴洛特利在门前4米处推射击中右门柱外侧弹出
20'米兰把球分回中场，挑传找单箭头巴神，没接好球。                   17'第17分钟，巴洛特利右路与波利打出踢墙配合，在门前6米处小角度推射被A-卢卡雷利挡出底线，AC米兰右侧开出角球，卡卡前点头球摆渡，巴洛特利在门前4米处推射击中右门柱外侧弹出
20'米兰右边进攻，波利分给卡卡，卡卡慢了！！                   17'第17分钟，巴洛特利右路与波利打出踢墙配合，在门前6米处小角度推射被A-卢卡雷利挡出底线，AC米兰右侧开出角球，卡卡前点头球摆渡，巴洛特利在门前4米处推射击中右门柱外侧弹出
20'卡卡在禁区里有很好的机会啊！                   17'第17分钟，巴洛特利右路与波利打出踢墙配合，在门前6米处小角度推射被A-卢卡雷利挡出底线，AC米兰右侧开出角球，卡卡前点头球摆渡，巴洛特利在门前4米处推射击中右门柱外侧弹出
20'阿巴特传中，后点无人接应。                   17'第17分钟，巴洛特利右路与波利打出踢墙配合，在门前6米处小角度推射被A-卢卡雷利挡出底线，AC米兰右侧开出角球，卡卡前点头球摆渡，巴洛特利在门前4米处推射击中右门柱外侧弹出
25'帕尔马左路进攻，卡萨诺传中找到了阿夸，没转身好！要不然又是一次威胁球！                   25'第25分钟，莫利纳罗左路低传，阿夸在门前14米处转身扫射偏出右门角
25'米兰后防线堪忧啊！                   25'第25分钟，莫利纳罗左路低传，阿夸在门前14米处转身扫射偏出右门角
25'德容长传找卡卡，给大了。                   25'第25分钟，莫利纳罗左路低传，阿夸在门前14米处转身扫射偏出右门角
25'第一个抢答来啦！！大家快快抢答！！                   25'第25分钟，莫利纳罗左路低传，阿夸在门前14米处转身扫射偏出右门角
25'[qiangda]AC米兰阵中的日本球员是？A.香川真司B.本田圭佑C.长友佑都D.中村俊辅                   25'第25分钟，莫利纳罗左路低传，阿夸在门前14米处转身扫射偏出右门角
26'卡萨尼右路传中，解围了。、                   25'第25分钟，莫利纳罗左路低传，阿夸在门前14米处转身扫射偏出右门角
26'帕尔马不停在进攻啊！米兰防守比较顽强！                   25'第25分钟，莫利纳罗左路低传，阿夸在门前14米处转身扫射偏出右门角
27'米兰中场配合失误了，阿巴特直接传出了边线。                   25'第25分钟，莫利纳罗左路低传，阿夸在门前14米处转身扫射偏出右门角
27'蒙托利沃反抢成功，给了右边的巴神。                   25'第25分钟，莫利纳罗左路低传，阿夸在门前14米处转身扫射偏出右门角
28'巴神传中被挡出边线。                   25'第25分钟，莫利纳罗左路低传，阿夸在门前14米处转身扫射偏出右门角
28'大家快快抢答！                   25'第25分钟，莫利纳罗左路低传，阿夸在门前14米处转身扫射偏出右门角
28'卡卡在禁区射门，又被后卫挡出来了！                   25'第25分钟，莫利纳罗左路低传，阿夸在门前14米处转身扫射偏出右门角
28'这边帕尔马有球员倒在地上。                   25'第25分钟，莫利纳罗左路低传，阿夸在门前14米处转身扫射偏出右门角
28'巴神传中被挡出边线。                   28'第28分钟，巴洛特利做球，波利突入禁区右侧推射被阿夸铲出
28'大家快快抢答！                   28'第28分钟，巴洛特利做球，波利突入禁区右侧推射被阿夸铲出
28'卡卡在禁区射门，又被后卫挡出来了！                   28'第28分钟，巴洛特利做球，波利突入禁区右侧推射被阿夸铲出
28'这边帕尔马有球员倒在地上。                   28'第28分钟，巴洛特利做球，波利突入禁区右侧推射被阿夸铲出
29'慕容小星 :乐乐是雷霆粉，伊巴查、求上墙(22:32)----又黑乐乐，乐乐不跟你玩了~~哼！                   28'第28分钟，巴洛特利做球，波利突入禁区右侧推射被阿夸铲出
29'大家快抢答，一会乐乐抽会员！                   28'第28分钟，巴洛特利做球，波利突入禁区右侧推射被阿夸铲出
29'这边西多夫也是把巴神叫到了场边，指点迷津！                   28'第28分钟，巴洛特利做球，波利突入禁区右侧推射被阿夸铲出
29'Forever听听 :A在曼联，C不清楚，D在横滨，所以是B(22:32----排除法~~~哟哟~~                   28'第28分钟，巴洛特利做球，波利突入禁区右侧推射被阿夸铲出
30'博内拉防守谢洛托犯规了！任意球！                   28'第28分钟，巴洛特利做球，波利突入禁区右侧推射被阿夸铲出
30'博内拉吃到了黄牌。                   28'第28分钟，巴洛特利做球，波利突入禁区右侧推射被阿夸铲出
30'很危险啊！                   28'第28分钟，巴洛特利做球，波利突入禁区右侧推射被阿夸铲出
31'卡萨诺禁区里形成打门！直接闷倒了博内拉！闷在了脸上，真疼！                   28'第28分钟，巴洛特利做球，波利突入禁区右侧推射被阿夸铲出
31'那曾经冷人回味 :米兰的门将现在是谁(22:33)---替补门将阿梅利亚                   28'第28分钟，巴洛特利做球，波利突入禁区右侧推射被阿夸铲出
38'巴神底线传中，蒙托利沃慢了！                   38'第38分钟，巴洛特利右路强突传中，蒙托利沃前点脚后跟一蹭被米兰特没收
38'这个传球难度很大，质量也很高啊！                   38'第38分钟，巴洛特利右路强突传中，蒙托利沃前点脚后跟一蹭被米兰特没收
38'卡卡直塞找巴神，越位了。                   38'第38分钟，巴洛特利右路强突传中，蒙托利沃前点脚后跟一蹭被米兰特没收
39'米兰前场右路边线球，卡卡被撞到了，球权倒了帕尔马这边。                   38'第38分钟，巴洛特利右路强突传中，蒙托利沃前点脚后跟一蹭被米兰特没收
39'中场梅克斯直接铲倒了卡萨诺，吃到黄牌！                   38'第38分钟，巴洛特利右路强突传中，蒙托利沃前点脚后跟一蹭被米兰特没收
40'卡萨诺传中，找到了比亚比亚尼，还好阿梅利亚及时扑救!                   38'第38分钟，巴洛特利右路强突传中，蒙托利沃前点脚后跟一蹭被米兰特没收
40'米兰还是没打上反击！                   38'第38分钟，巴洛特利右路强突传中，蒙托利沃前点脚后跟一蹭被米兰特没收
41'这边卡萨尼禁区前远射，打在阿巴特脚上出了底线，角球机会！                   38'第38分钟，巴洛特利右路强突传中，蒙托利沃前点脚后跟一蹭被米兰特没收
41'今天艾玛努尔森被卡萨尼打爆了把...                   38'第38分钟，巴洛特利右路强突传中，蒙托利沃前点脚后跟一蹭被米兰特没收
40'卡萨诺传中，找到了比亚比亚尼，还好阿梅利亚及时扑救!                   40'第40分钟，卡萨诺左路送出地滚球，比亚比亚尼似传似射被博内拉铲出底线
40'米兰还是没打上反击！                   40'第40分钟，卡萨诺左路送出地滚球，比亚比亚尼似传似射被博内拉铲出底线
41'这边卡萨尼禁区前远射，打在阿巴特脚上出了底线，角球机会！                   40'第40分钟，卡萨诺左路送出地滚球，比亚比亚尼似传似射被博内拉铲出底线
41'今天艾玛努尔森被卡萨尼打爆了把...                   40'第40分钟，卡萨诺左路送出地滚球，比亚比亚尼似传似射被博内拉铲出底线
42'第二个抢答！！[qiangda]AC米兰开场就被替补门将换下的球员是？A.巴神B.本田圭佑C.埃辛D.卡卡                   40'第40分钟，卡萨诺左路送出地滚球，比亚比亚尼似传似射被博内拉铲出底线
42'大家快快抢答！！走过路过不要错过！！                   40'第40分钟，卡萨诺左路送出地滚球，比亚比亚尼似传似射被博内拉铲出底线
43'帕尔马还在控球，卡萨尼传中一片混乱啊！阿梅利亚反应很快！                   40'第40分钟，卡萨诺左路送出地滚球，比亚比亚尼似传似射被博内拉铲出底线
43'梅克斯差点乌龙！                   40'第40分钟，卡萨诺左路送出地滚球，比亚比亚尼似传似射被博内拉铲出底线
43'帕尔马还在控球，卡萨尼传中一片混乱啊！阿梅利亚反应很快！                   43'第43分钟，卡萨尼右路传中，队友前点踢空，梅克斯中路险些撞进自家大门，阿梅利亚反应神速封出
43'梅克斯差点乌龙！                   43'第43分钟，卡萨尼右路传中，队友前点踢空，梅克斯中路险些撞进自家大门，阿梅利亚反应神速封出
44'梅克斯在场上动作很大，已经背了一张黄牌了！很危险啊！                   43'第43分钟，卡萨尼右路传中，队友前点踢空，梅克斯中路险些撞进自家大门，阿梅利亚反应神速封出
44'卡萨诺在左路不断传中，禁区里无人包抄！米兰防线漏洞白出啊！                   43'第43分钟，卡萨尼右路传中，队友前点踢空，梅克斯中路险些撞进自家大门，阿梅利亚反应神速封出
45'上半时比赛马上就要结束了！                   43'第43分钟，卡萨尼右路传中，队友前点踢空，梅克斯中路险些撞进自家大门，阿梅利亚反应神速封出
45'这边阿巴特下底传中，巴神包抄倒了，可惜被门将米兰特摘下。                   43'第43分钟，卡萨尼右路传中，队友前点踢空，梅克斯中路险些撞进自家大门，阿梅利亚反应神速封出
45'上半时要补时4分钟！                   43'第43分钟，卡萨尼右路传中，队友前点踢空，梅克斯中路险些撞进自家大门，阿梅利亚反应神速封出
46'帕尔马在前场拿到一个定位球！可以直接打门！位置不错！                   43'第43分钟，卡萨尼右路传中，队友前点踢空，梅克斯中路险些撞进自家大门，阿梅利亚反应神速封出
49'梅克斯都上来了。                   49'下半时开始4分钟，莫利纳罗禁区左侧低传，比亚比亚尼前点推射被梅克斯挡出底线
49'梅克斯在禁区里犯规了，已经背了黄牌了！                   49'下半时开始4分钟，莫利纳罗禁区左侧低传，比亚比亚尼前点推射被梅克斯挡出底线
49'好的上半时比赛结束了！                   49'下半时开始4分钟，莫利纳罗禁区左侧低传，比亚比亚尼前点推射被梅克斯挡出底线
49'稍微休息一下，继续收看下班时，很感谢大家上半时的陪伴~                   49'下半时开始4分钟，莫利纳罗禁区左侧低传，比亚比亚尼前点推射被梅克斯挡出底线
49'好的下半时开始了！                   49'下半时开始4分钟，莫利纳罗禁区左侧低传，比亚比亚尼前点推射被梅克斯挡出底线
50'帕尔马进攻！谢洛托传中没梅克斯解围出边线。                   49'下半时开始4分钟，莫利纳罗禁区左侧低传，比亚比亚尼前点推射被梅克斯挡出底线
51'米兰的球门球，下半场开场米兰没有做出人员调整。                   49'下半时开始4分钟，莫利纳罗禁区左侧低传，比亚比亚尼前点推射被梅克斯挡出底线
51'厄齐强 :下半场，卡卡，巴神进球，逆转(23:07)---看看你的预测怎么样！                   49'下半时开始4分钟，莫利纳罗禁区左侧低传，比亚比亚尼前点推射被梅克斯挡出底线
51'帕尔马后场控球。                   49'下半时开始4分钟，莫利纳罗禁区左侧低传，比亚比亚尼前点推射被梅克斯挡出底线
52'阿巴特中场断球了，梅克斯长传找卡卡，卡卡没停好。                   49'下半时开始4分钟，莫利纳罗禁区左侧低传，比亚比亚尼前点推射被梅克斯挡出底线
52'谢洛托底线传中，卡萨诺街球作给阿夸，阿夸的射门打飞了。                   49'下半时开始4分钟，莫利纳罗禁区左侧低传，比亚比亚尼前点推射被梅克斯挡出底线
57'米兰只剩下一个换人名额了！                   57'第57分钟，卡卡左侧角球开到后点，拉米在莫利纳罗和马尔基奥尼夹防下，距门5米处起跳头球破门，1比2，他在近6轮意甲攻入3球，相当于此前117场联赛(意甲、西甲、法甲)进球总数
57'阿巴特拼出一个机会，分给了波利，波利的射门很仓促，被米兰特轻松扑下！                   57'第57分钟，卡卡左侧角球开到后点，拉米在莫利纳罗和马尔基奥尼夹防下，距门5米处起跳头球破门，1比2，他在近6轮意甲攻入3球，相当于此前117场联赛(意甲、西甲、法甲)进球总数
58'杰森哥哥耸耸肩 :帕尔马米兰谁的排名高呢？(23:16----帕尔马联赛第6，米兰第10                   57'第57分钟，卡卡左侧角球开到后点，拉米在莫利纳罗和马尔基奥尼夹防下，距门5米处起跳头球破门，1比2，他在近6轮意甲攻入3球，相当于此前117场联赛(意甲、西甲、法甲)进球总数
58'米兰继续在中场控球，寻找机会。                   57'第57分钟，卡卡左侧角球开到后点，拉米在莫利纳罗和马尔基奥尼夹防下，距门5米处起跳头球破门，1比2，他在近6轮意甲攻入3球，相当于此前117场联赛(意甲、西甲、法甲)进球总数
59'米兰分给了蒙托利沃，巴神没有抢到，后点波利也没抢到，被解围出底线。                   57'第57分钟，卡卡左侧角球开到后点，拉米在莫利纳罗和马尔基奥尼夹防下，距门5米处起跳头球破门，1比2，他在近6轮意甲攻入3球，相当于此前117场联赛(意甲、西甲、法甲)进球总数
60'角球被米兰特击出。                   57'第57分钟，卡卡左侧角球开到后点，拉米在莫利纳罗和马尔基奥尼夹防下，距门5米处起跳头球破门，1比2，他在近6轮意甲攻入3球，相当于此前117场联赛(意甲、西甲、法甲)进球总数
60'米兰又获得了一个角球，看看有没有机会。                   57'第57分钟，卡卡左侧角球开到后点，拉米在莫利纳罗和马尔基奥尼夹防下，距门5米处起跳头球破门，1比2，他在近6轮意甲攻入3球，相当于此前117场联赛(意甲、西甲、法甲)进球总数
60'球进了！！                   57'第57分钟，卡卡左侧角球开到后点，拉米在莫利纳罗和马尔基奥尼夹防下，距门5米处起跳头球破门，1比2，他在近6轮意甲攻入3球，相当于此前117场联赛(意甲、西甲、法甲)进球总数
60'米兰利用角球打进一球！                   57'第57分钟，卡卡左侧角球开到后点，拉米在莫利纳罗和马尔基奥尼夹防下，距门5米处起跳头球破门，1比2，他在近6轮意甲攻入3球，相当于此前117场联赛(意甲、西甲、法甲)进球总数
50'帕尔马进攻！谢洛托传中没梅克斯解围出边线。                   50'补时第5分钟，谢洛托左路切入禁区小角度推射被阿梅利亚封出底线，帕尔马开出角球，比亚比亚尼禁区左侧传中，波利头球解围，比亚比亚尼左侧冲顶入网，4比2
51'米兰的球门球，下半场开场米兰没有做出人员调整。                   50'补时第5分钟，谢洛托左路切入禁区小角度推射被阿梅利亚封出底线，帕尔马开出角球，比亚比亚尼禁区左侧传中，波利头球解围，比亚比亚尼左侧冲顶入网，4比2
51'厄齐强 :下半场，卡卡，巴神进球，逆转(23:07)---看看你的预测怎么样！                   50'补时第5分钟，谢洛托左路切入禁区小角度推射被阿梅利亚封出底线，帕尔马开出角球，比亚比亚尼禁区左侧传中，波利头球解围，比亚比亚尼左侧冲顶入网，4比2
51'帕尔马后场控球。                   50'补时第5分钟，谢洛托左路切入禁区小角度推射被阿梅利亚封出底线，帕尔马开出角球，比亚比亚尼禁区左侧传中，波利头球解围，比亚比亚尼左侧冲顶入网，4比2
52'阿巴特中场断球了，梅克斯长传找卡卡，卡卡没停好。                   50'补时第5分钟，谢洛托左路切入禁区小角度推射被阿梅利亚封出底线，帕尔马开出角球，比亚比亚尼禁区左侧传中，波利头球解围，比亚比亚尼左侧冲顶入网，4比2
52'谢洛托底线传中，卡萨诺街球作给阿夸，阿夸的射门打飞了。                   50'补时第5分钟，谢洛托左路切入禁区小角度推射被阿梅利亚封出底线，帕尔马开出角球，比亚比亚尼禁区左侧传中，波利头球解围，比亚比亚尼左侧冲顶入网，4比2
53'帕尔马继续控球。                   50'补时第5分钟，谢洛托左路切入禁区小角度推射被阿梅利亚封出底线，帕尔马开出角球，比亚比亚尼禁区左侧传中，波利头球解围，比亚比亚尼左侧冲顶入网，4比2
53'后场很耐心的倒脚，长传又找谢洛托。                   50'补时第5分钟，谢洛托左路切入禁区小角度推射被阿梅利亚封出底线，帕尔马开出角球，比亚比亚尼禁区左侧传中，波利头球解围，比亚比亚尼左侧冲顶入网，4比2
53'很危险啊！！莫利纳罗的传中被梅克斯解围！                   50'补时第5分钟，谢洛托左路切入禁区小角度推射被阿梅利亚封出底线，帕尔马开出角球，比亚比亚尼禁区左侧传中，波利头球解围，比亚比亚尼左侧冲顶入网，4比2
