9'拉莫斯的大范围转移球给到右前场的本泽马                   9'第9分钟，前巴萨边锋昆卡禁区左侧的射门偏出近角
57'法里尼亚禁区弧顶得球，直接起脚打门，卡西利亚斯跪在地上将球揽入怀中                   57'第57分钟，瓦拉内头球解围，法里纳禁区弧边缘劲射被卡西利亚斯没收
58'这段时间拉科的进攻气势很旺，皇马防线压力很大啊                   57'第57分钟，瓦拉内头球解围，法里纳禁区弧边缘劲射被卡西利亚斯没收
58'皇马的进攻赢得左侧角球机会                   57'第57分钟，瓦拉内头球解围，法里纳禁区弧边缘劲射被卡西利亚斯没收
58'角球开出到前点，贝尔头球后蹭，被后卫挡了出来                   57'第57分钟，瓦拉内头球解围，法里纳禁区弧边缘劲射被卡西利亚斯没收
59'拉科的反击，卡瓦莱罗禁区左上角的打门，直接放了高射炮                   57'第57分钟，瓦拉内头球解围，法里纳禁区弧边缘劲射被卡西利亚斯没收
59'皇马换人：24号伊利亚拉门迪被换上，换下9号本泽马                   57'第57分钟，瓦拉内头球解围，法里纳禁区弧边缘劲射被卡西利亚斯没收
60'C罗前场拿球，横传给到贝尔                   57'第57分钟，瓦拉内头球解围，法里纳禁区弧边缘劲射被卡西利亚斯没收
60'贝尔挑传再给C罗，C罗拿球强入禁区                   57'第57分钟，瓦拉内头球解围，法里纳禁区弧边缘劲射被卡西利亚斯没收
60'C罗禁区内面对三人围抢，强突，摔倒啦                   57'第57分钟，瓦拉内头球解围，法里纳禁区弧边缘劲射被卡西利亚斯没收
60'主裁判并未表示，球权被拉科球员控制                   57'第57分钟，瓦拉内头球解围，法里纳禁区弧边缘劲射被卡西利亚斯没收
63'莫德里奇前场拿球，面对逼抢，回传给到克罗斯                   63'第63分钟，伊利亚拉门迪传球，贝尔远射被卢克斯救下
63'克罗斯斜塞分给左侧的贝尔，贝尔拿球转身                   63'第63分钟，伊利亚拉门迪传球，贝尔远射被卢克斯救下
64'贝尔禁区外，左脚直接发力抽射近角，被卢克斯没收                   63'第63分钟，伊利亚拉门迪传球，贝尔远射被卢克斯救下
64'伊利亚拉门迪上来后，莫德里奇的位置稍微前压了一点                   63'第63分钟，伊利亚拉门迪传球，贝尔远射被卢克斯救下
64'阿韦洛亚右路拿球，内切后横传给到克罗斯                   63'第63分钟，伊利亚拉门迪传球，贝尔远射被卢克斯救下
65'克罗斯直塞找C罗，C罗背身拿球，西德内身后上抢犯规                   63'第63分钟，伊利亚拉门迪传球，贝尔远射被卢克斯救下
65'皇马获得前场的任意球机会                   63'第63分钟，伊利亚拉门迪传球，贝尔远射被卢克斯救下
65'位置相当不错，球门正前方，可以直接打门了                   63'第63分钟，伊利亚拉门迪传球，贝尔远射被卢克斯救下
65'C罗的任意球攻门，直接打在了人墙上弹回                   63'第63分钟，伊利亚拉门迪传球，贝尔远射被卢克斯救下
66'4-1！！！                   63'第63分钟，伊利亚拉门迪传球，贝尔远射被卢克斯救下
66'贝尔！！！                   63'第63分钟，伊利亚拉门迪传球，贝尔远射被卢克斯救下
71'转身回来，梅顿亚宁的远射，卡西将球一打，在收入怀中                   71'第71分钟，贝尔甘蒂尼奥斯传球，梅顿贾宁远射被卡西利亚斯没收
71'皇马继续换人：19号莫德里奇被换下，换上23号伊斯科                   71'第71分钟，贝尔甘蒂尼奥斯传球，梅顿贾宁远射被卡西利亚斯没收
72'伊利亚拉门迪后场拿球，面对逼抢，直接回传卡西利亚斯                   71'第71分钟，贝尔甘蒂尼奥斯传球，梅顿贾宁远射被卡西利亚斯没收
73'法里尼亚左路拿球，斜塞给到卡瓦莱罗                   71'第71分钟，贝尔甘蒂尼奥斯传球，梅顿贾宁远射被卡西利亚斯没收
73'卡瓦莱罗左路拿球，下底传中到门前                   71'第71分钟，贝尔甘蒂尼奥斯传球，梅顿贾宁远射被卡西利亚斯没收
73'多明戈斯插上，头球冲顶，被卡西利亚斯拿到                   71'第71分钟，贝尔甘蒂尼奥斯传球，梅顿贾宁远射被卡西利亚斯没收
74'拉科第三次换人：24号法里尼亚被换下，换上18号托切                   71'第71分钟，贝尔甘蒂尼奥斯传球，梅顿贾宁远射被卡西利亚斯没收
74'5-1！！！                   71'第71分钟，贝尔甘蒂尼奥斯传球，梅顿贾宁远射被卡西利亚斯没收
74'贝尔梅开二度！！！                   71'第71分钟，贝尔甘蒂尼奥斯传球，梅顿贾宁远射被卡西利亚斯没收
74'拉科第三次换人：24号法里尼亚被换下，换上18号托切                   74'第74分钟，伊斯科直传，贝尔禁区左肋10码处单刀推射破门，5-1
74'5-1！！！                   74'第74分钟，伊斯科直传，贝尔禁区左肋10码处单刀推射破门，5-1
74'贝尔梅开二度！！！                   74'第74分钟，伊斯科直传，贝尔禁区左肋10码处单刀推射破门，5-1
75'这球是拉科后卫出脚太慢，被断直接反击啦                   74'第74分钟，伊斯科直传，贝尔禁区左肋10码处单刀推射破门，5-1
75'拉科后场传球失误，伊斯科拿球组织，禁区左上角直塞禁区，贝尔插上，面对出击的卢克斯，挑射打进空门！！                   74'第74分钟，伊斯科直传，贝尔禁区左肋10码处单刀推射破门，5-1
76'看来周内欧冠面对巴塞尔，皇马众将都找到了射门靴啊                   74'第74分钟，伊斯科直传，贝尔禁区左肋10码处单刀推射破门，5-1
76'皇马换人：11号贝尔被换下，换上14号埃尔南德斯                   74'第74分钟，伊斯科直传，贝尔禁区左肋10码处单刀推射破门，5-1
78'迪亚基特后场又失误啦                   78'第78分钟，哈梅斯-罗德里格斯禁区前抢断后传球，C-罗纳尔多禁区左侧12码处劲射远角入网，6-1
78'6-1！！！                   78'第78分钟，哈梅斯-罗德里格斯禁区前抢断后传球，C-罗纳尔多禁区左侧12码处劲射远角入网，6-1
78'C罗完成了个人本赛季的第一个帽子戏法                   78'第78分钟，哈梅斯-罗德里格斯禁区前抢断后传球，C-罗纳尔多禁区左侧12码处劲射远角入网，6-1
79'迪亚基特后场失误，伊斯科抢断，禁区弧顶斜塞左侧给C罗，C罗停球一扣，左脚抽射，干净利索，打进网窝！！！                   78'第78分钟，哈梅斯-罗德里格斯禁区前抢断后传球，C-罗纳尔多禁区左侧12码处劲射远角入网，6-1
80'全场比赛80分钟，比分6-1，皇马领先                   78'第78分钟，哈梅斯-罗德里格斯禁区前抢断后传球，C-罗纳尔多禁区左侧12码处劲射远角入网，6-1
81'昆卡右路拿球，面对回防的阿韦洛亚，虚晃两下，阿韦洛亚就滑倒在地                   78'第78分钟，哈梅斯-罗德里格斯禁区前抢断后传球，C-罗纳尔多禁区左侧12码处劲射远角入网，6-1
81'拉科前场进攻，昆卡禁区弧顶失误，皇马的反击                   78'第78分钟，哈梅斯-罗德里格斯禁区前抢断后传球，C-罗纳尔多禁区左侧12码处劲射远角入网，6-1
79'迪亚基特后场失误，伊斯科抢断，禁区弧顶斜塞左侧给C罗，C罗停球一扣，左脚抽射，干净利索，打进网窝！！！                   79'第79分钟，劳雷右路传中，替补出场的托彻鱼跃冲顶稍稍偏出左侧立柱
80'全场比赛80分钟，比分6-1，皇马领先                   79'第79分钟，劳雷右路传中，替补出场的托彻鱼跃冲顶稍稍偏出左侧立柱
81'昆卡右路拿球，面对回防的阿韦洛亚，虚晃两下，阿韦洛亚就滑倒在地                   79'第79分钟，劳雷右路传中，替补出场的托彻鱼跃冲顶稍稍偏出左侧立柱
81'拉科前场进攻，昆卡禁区弧顶失误，皇马的反击                   79'第79分钟，劳雷右路传中，替补出场的托彻鱼跃冲顶稍稍偏出左侧立柱
82'伊斯科前场中路拿球，横传给到伊利亚拉门迪                   79'第79分钟，劳雷右路传中，替补出场的托彻鱼跃冲顶稍稍偏出左侧立柱
82'伊利亚拉门迪再给C罗，C罗斜传找小豌豆，力量轻了，被断                   79'第79分钟，劳雷右路传中，替补出场的托彻鱼跃冲顶稍稍偏出左侧立柱
82'拉科抢断反击，可惜没传两脚又被皇马反断                   79'第79分钟，劳雷右路传中，替补出场的托彻鱼跃冲顶稍稍偏出左侧立柱
82'伊斯科斜塞找C罗，边裁举旗，C罗的越位在先                   79'第79分钟，劳雷右路传中，替补出场的托彻鱼跃冲顶稍稍偏出左侧立柱
88'伊斯科后场抢断，带球到了中圈，过顶斜传找小豌豆                   88'第88分钟，伊斯科传球，埃尔南德斯左路禁区边缘左脚凌空抽射入上角，7-2
88'2-7！！！                   88'第88分钟，伊斯科传球，埃尔南德斯左路禁区边缘左脚凌空抽射入上角，7-2
88'小豌豆打进了加盟皇马的第一球！！！世界波啊                   88'第88分钟，伊斯科传球，埃尔南德斯左路禁区边缘左脚凌空抽射入上角，7-2
89'伊斯科过顶斜传，小豌豆右脚一停，接着一趟，禁区线上左脚一脚抽射，越过卢克斯，飞入网窝！！！                   88'第88分钟，伊斯科传球，埃尔南德斯左路禁区边缘左脚凌空抽射入上角，7-2
89'比赛已经进入尾声，拉科的球迷也开始退场啦                   88'第88分钟，伊斯科传球，埃尔南德斯左路禁区边缘左脚凌空抽射入上角，7-2
90'拉科前场传球再次失误，昆卡和队友默契不足啊                   88'第88分钟，伊斯科传球，埃尔南德斯左路禁区边缘左脚凌空抽射入上角，7-2
91'下半场比赛补时2分钟                   88'第88分钟，伊斯科传球，埃尔南德斯左路禁区边缘左脚凌空抽射入上角，7-2
91'小豌豆禁区左上角拿球，分边左侧给上去的马塞洛                   88'第88分钟，伊斯科传球，埃尔南德斯左路禁区边缘左脚凌空抽射入上角，7-2
92'马塞洛边路传中到后点，C罗抢点打门，主裁鸣哨，C罗推人犯规在先                   92'第92分钟，马塞洛传球，埃尔南德斯25码处劲射偏转吊过卢克斯入网，8-2
92'2-8！！！                   92'第92分钟，马塞洛传球，埃尔南德斯25码处劲射偏转吊过卢克斯入网，8-2
92'小豌豆也梅开二度啦！！！                   92'第92分钟，马塞洛传球，埃尔南德斯25码处劲射偏转吊过卢克斯入网，8-2
94'马塞洛前场中路拿球，横拨给到小豌豆，小豌豆停球一趟，直接起右脚打门，球打在西德内身上折射，越过卢克斯，飞进球门！！！                   92'第92分钟，马塞洛传球，埃尔南德斯25码处劲射偏转吊过卢克斯入网，8-2
