1'黄烨军哨响，比赛开始了                   1'第1分钟拉维奇被柏佳骏在禁区附近拉倒，裁判没有表示
14'登巴巴回撤没有拿住球                   14'第14分钟河北险些进球，河北左路长传到右路，热尔维尼奥跑动中凌空传球到左路，中间李帅扑空，拉维奇面临打空门的大好机会，但李建滨快速回追，在阿根廷人射门前一瞬把球铲出界外
14'华夏后场横敲，右路罗森文给到热鸟，在回敲                   14'第14分钟河北险些进球，河北左路长传到右路，热尔维尼奥跑动中凌空传球到左路，中间李帅扑空，拉维奇面临打空门的大好机会，但李建滨快速回追，在阿根廷人射门前一瞬把球铲出界外
14'金洋洋后场起球，直接飞出边线                   14'第14分钟河北险些进球，河北左路长传到右路，热尔维尼奥跑动中凌空传球到左路，中间李帅扑空，拉维奇面临打空门的大好机会，但李建滨快速回追，在阿根廷人射门前一瞬把球铲出界外
14'莫雷诺前场护球，横拨给吕征，传球失误                   14'第14分钟河北险些进球，河北左路长传到右路，热尔维尼奥跑动中凌空传球到左路，中间李帅扑空，拉维奇面临打空门的大好机会，但李建滨快速回追，在阿根廷人射门前一瞬把球铲出界外
15'申花后场倒球，控制节奏                   14'第14分钟河北险些进球，河北左路长传到右路，热尔维尼奥跑动中凌空传球到左路，中间李帅扑空，拉维奇面临打空门的大好机会，但李建滨快速回追，在阿根廷人射门前一瞬把球铲出界外
15'柏佳骏横拨李建滨，在给右路                   14'第14分钟河北险些进球，河北左路长传到右路，热尔维尼奥跑动中凌空传球到左路，中间李帅扑空，拉维奇面临打空门的大好机会，但李建滨快速回追，在阿根廷人射门前一瞬把球铲出界外
15'申花往前推进，中场附近被断                   14'第14分钟河北险些进球，河北左路长传到右路，热尔维尼奥跑动中凌空传球到左路，中间李帅扑空，拉维奇面临打空门的大好机会，但李建滨快速回追，在阿根廷人射门前一瞬把球铲出界外
15'华夏提高了节奏，进攻非常迅猛                   14'第14分钟河北险些进球，河北左路长传到右路，热尔维尼奥跑动中凌空传球到左路，中间李帅扑空，拉维奇面临打空门的大好机会，但李建滨快速回追，在阿根廷人射门前一瞬把球铲出界外
16'姆比亚一个快速的长传直接给到禁区内插上的热鸟                   14'第14分钟河北险些进球，河北左路长传到右路，热尔维尼奥跑动中凌空传球到左路，中间李帅扑空，拉维奇面临打空门的大好机会，但李建滨快速回追，在阿根廷人射门前一瞬把球铲出界外
16'热鸟顺势一捅，球奔向后点，拉维奇迅速跟上，但李建滨抢先滑铲挡出底线                   14'第14分钟河北险些进球，河北左路长传到右路，热尔维尼奥跑动中凌空传球到左路，中间李帅扑空，拉维奇面临打空门的大好机会，但李建滨快速回追，在阿根廷人射门前一瞬把球铲出界外
16'拉维奇这个球飞出去之后收不住，自己也是重重撞在门柱上                   14'第14分钟河北险些进球，河北左路长传到右路，热尔维尼奥跑动中凌空传球到左路，中间李帅扑空，拉维奇面临打空门的大好机会，但李建滨快速回追，在阿根廷人射门前一瞬把球铲出界外
16'两队真是拼啊，场面非常好看                   14'第14分钟河北险些进球，河北左路长传到右路，热尔维尼奥跑动中凌空传球到左路，中间李帅扑空，拉维奇面临打空门的大好机会，但李建滨快速回追，在阿根廷人射门前一瞬把球铲出界外
17'刚刚这个球李建滨如果慢半步，拉维奇就是必进的球了                   14'第14分钟河北险些进球，河北左路长传到右路，热尔维尼奥跑动中凌空传球到左路，中间李帅扑空，拉维奇面临打空门的大好机会，但李建滨快速回追，在阿根廷人射门前一瞬把球铲出界外
17'华夏继续猛攻，右路罗森文禁区内射门                   14'第14分钟河北险些进球，河北左路长传到右路，热尔维尼奥跑动中凌空传球到左路，中间李帅扑空，拉维奇面临打空门的大好机会，但李建滨快速回追，在阿根廷人射门前一瞬把球铲出界外
17'打在后卫身上，弹下来被李帅没收                   14'第14分钟河北险些进球，河北左路长传到右路，热尔维尼奥跑动中凌空传球到左路，中间李帅扑空，拉维奇面临打空门的大好机会，但李建滨快速回追，在阿根廷人射门前一瞬把球铲出界外
17'拉维奇前场推进，一记直塞，有点着急了                   14'第14分钟河北险些进球，河北左路长传到右路，热尔维尼奥跑动中凌空传球到左路，中间李帅扑空，拉维奇面临打空门的大好机会，但李建滨快速回追，在阿根廷人射门前一瞬把球铲出界外
17'刚刚这个球李建滨如果慢半步，拉维奇就是必进的球了                   17'第17分钟莫雷诺和姆比亚碰撞后倒地，姆比亚看上去比较痛苦，但好在治疗后起身再战
17'华夏继续猛攻，右路罗森文禁区内射门                   17'第17分钟莫雷诺和姆比亚碰撞后倒地，姆比亚看上去比较痛苦，但好在治疗后起身再战
17'打在后卫身上，弹下来被李帅没收                   17'第17分钟莫雷诺和姆比亚碰撞后倒地，姆比亚看上去比较痛苦，但好在治疗后起身再战
17'拉维奇前场推进，一记直塞，有点着急了                   17'第17分钟莫雷诺和姆比亚碰撞后倒地，姆比亚看上去比较痛苦，但好在治疗后起身再战
18'申花后场抢断，迅速反击，给到前面登巴巴                   17'第17分钟莫雷诺和姆比亚碰撞后倒地，姆比亚看上去比较痛苦，但好在治疗后起身再战
18'登巴巴自己拿球向前，没有什么传球的机会，自己射一脚                   17'第17分钟莫雷诺和姆比亚碰撞后倒地，姆比亚看上去比较痛苦，但好在治疗后起身再战
18'打在居吕姆身上弹出                   17'第17分钟莫雷诺和姆比亚碰撞后倒地，姆比亚看上去比较痛苦，但好在治疗后起身再战
19'中圈附近莫雷诺组织进攻，往前一趟，姆比亚侧翼飞铲把莫雷诺连人带球掀翻                   17'第17分钟莫雷诺和姆比亚碰撞后倒地，姆比亚看上去比较痛苦，但好在治疗后起身再战
19'姆比亚吃到黄牌                   17'第17分钟莫雷诺和姆比亚碰撞后倒地，姆比亚看上去比较痛苦，但好在治疗后起身再战
20'两名防守外援都领到黄牌，华夏今天不好踢啊                   17'第17分钟莫雷诺和姆比亚碰撞后倒地，姆比亚看上去比较痛苦，但好在治疗后起身再战
20'杨程给到金洋洋，在给到居吕姆，左侧李行拿球                   17'第17分钟莫雷诺和姆比亚碰撞后倒地，姆比亚看上去比较痛苦，但好在治疗后起身再战
20'往前交给姆比亚，在给到左路拉维奇                   17'第17分钟莫雷诺和姆比亚碰撞后倒地，姆比亚看上去比较痛苦，但好在治疗后起身再战
20'拉维奇突破，下底传中，前点被挡出                   17'第17分钟莫雷诺和姆比亚碰撞后倒地，姆比亚看上去比较痛苦，但好在治疗后起身再战
25'居吕姆右路分给廖均健，往前推送                   25'  第25分钟河北右路开出地面配合的角球，热尔维尼奥背身把球传到左路，居吕姆跟进射门被李帅倒地扑住
25'热鸟底线面对李建滨造成角球                   25'  第25分钟河北右路开出地面配合的角球，热尔维尼奥背身把球传到左路，居吕姆跟进射门被李帅倒地扑住
25'丁海峰主罚                   25'  第25分钟河北右路开出地面配合的角球，热尔维尼奥背身把球传到左路，居吕姆跟进射门被李帅倒地扑住
25'低球送到门前，很明显是有意识的配合                   25'  第25分钟河北右路开出地面配合的角球，热尔维尼奥背身把球传到左路，居吕姆跟进射门被李帅倒地扑住
26'门前制造混乱，热鸟在做球给禁区内的同伴                   25'  第25分钟河北右路开出地面配合的角球，热尔维尼奥背身把球传到左路，居吕姆跟进射门被李帅倒地扑住
26'李行低射被李帅没收                   25'  第25分钟河北右路开出地面配合的角球，热尔维尼奥背身把球传到左路，居吕姆跟进射门被李帅倒地扑住
26'吕征右路再次开启暴走模式，太快了啊                   25'  第25分钟河北右路开出地面配合的角球，热尔维尼奥背身把球传到左路，居吕姆跟进射门被李帅倒地扑住
27'姆比亚一路追回来，挡住了吕征前进的脚步                   25'  第25分钟河北右路开出地面配合的角球，热尔维尼奥背身把球传到左路，居吕姆跟进射门被李帅倒地扑住
27'华夏中场附近的传递，罗森文给到拉维奇                   25'  第25分钟河北右路开出地面配合的角球，热尔维尼奥背身把球传到左路，居吕姆跟进射门被李帅倒地扑住
27'两个人在撞墙配合，罗森文把球带丢了                   25'  第25分钟河北右路开出地面配合的角球，热尔维尼奥背身把球传到左路，居吕姆跟进射门被李帅倒地扑住
27'申花今天整体逼抢非常奏效，多次造成华夏后场失误                   25'  第25分钟河北右路开出地面配合的角球，热尔维尼奥背身把球传到左路，居吕姆跟进射门被李帅倒地扑住
28'廖均健给到金洋洋，在给姆比亚                   25'  第25分钟河北右路开出地面配合的角球，热尔维尼奥背身把球传到左路，居吕姆跟进射门被李帅倒地扑住
28'送长传给到禁区内，找姜宁                   25'  第25分钟河北右路开出地面配合的角球，热尔维尼奥背身把球传到左路，居吕姆跟进射门被李帅倒地扑住
28'金基熙争抢中倒地，裁判吹了姜宁的推人犯规                   25'  第25分钟河北右路开出地面配合的角球，热尔维尼奥背身把球传到左路，居吕姆跟进射门被李帅倒地扑住
33'莫雷诺中路拿球，给到曹赟定，挑传搓入禁区                   33'第33分钟莫雷诺穿档过了居吕姆之后，传出身后球，不过登巴巴在廖均健和金洋洋干扰下没有打上力量
33'登巴巴插上，够不到了，直接飞出底线                   33'第33分钟莫雷诺穿档过了居吕姆之后，传出身后球，不过登巴巴在廖均健和金洋洋干扰下没有打上力量
34'今天法国有一家体育媒体，本轮将直播申花这场比赛，巴西也有一家媒体在直播中超                   33'第33分钟莫雷诺穿档过了居吕姆之后，传出身后球，不过登巴巴在廖均健和金洋洋干扰下没有打上力量
34'中超现在的影响力可见一斑啊，啥时候我们国足也能影响力大大滴呢                   33'第33分钟莫雷诺穿档过了居吕姆之后，传出身后球，不过登巴巴在廖均健和金洋洋干扰下没有打上力量
35'李运秋后场交给瓜林，再送直传给莫雷诺                   33'第33分钟莫雷诺穿档过了居吕姆之后，传出身后球，不过登巴巴在廖均健和金洋洋干扰下没有打上力量
35'莫雷诺穿裆过掉居吕姆，在直塞给禁区内的登巴巴                   33'第33分钟莫雷诺穿档过了居吕姆之后，传出身后球，不过登巴巴在廖均健和金洋洋干扰下没有打上力量
35'登巴巴被两个后卫关门，倒地                   33'第33分钟莫雷诺穿档过了居吕姆之后，传出身后球，不过登巴巴在廖均健和金洋洋干扰下没有打上力量
36'莫雷诺右路送直塞，给吕征。吕征右路快马扬鞭，杀到底线                   33'第33分钟莫雷诺穿档过了居吕姆之后，传出身后球，不过登巴巴在廖均健和金洋洋干扰下没有打上力量
36'吕征冷静一扣，晃开丁海峰。带到禁区内，在给到门前                   33'第33分钟莫雷诺穿档过了居吕姆之后，传出身后球，不过登巴巴在廖均健和金洋洋干扰下没有打上力量
36'申花门前连续的射门被后卫封堵                   33'第33分钟莫雷诺穿档过了居吕姆之后，传出身后球，不过登巴巴在廖均健和金洋洋干扰下没有打上力量
36'角球机会                   33'第33分钟莫雷诺穿档过了居吕姆之后，传出身后球，不过登巴巴在廖均健和金洋洋干扰下没有打上力量
36'申花上半场进攻打的是淋漓尽致啊                   33'第33分钟莫雷诺穿档过了居吕姆之后，传出身后球，不过登巴巴在廖均健和金洋洋干扰下没有打上力量
39'外围华夏的进攻还是找拉维奇来组织                   39'第39分钟拉维奇被金基熙放倒，他的左侧任意球高门而出
39'拉维奇背身面对李运秋，不停球直接往禁区内做                   39'第39分钟拉维奇被金基熙放倒，他的左侧任意球高门而出
39'裁判哨响，李运秋身后对拉维奇犯规了                   39'第39分钟拉维奇被金基熙放倒，他的左侧任意球高门而出
40'拉维奇和丁海峰站在球前，左侧位置不错，20米                   39'第39分钟拉维奇被金基熙放倒，他的左侧任意球高门而出
40'估计20米都不到，18米的样子                   39'第39分钟拉维奇被金基熙放倒，他的左侧任意球高门而出
40'拉维奇内脚背弧线球兜射近角                   39'第39分钟拉维奇被金基熙放倒，他的左侧任意球高门而出
40'绕过人墙，稍稍高出20公分啊，这个球没有打出下坠来                   39'第39分钟拉维奇被金基熙放倒，他的左侧任意球高门而出
41'右路吕征速度很快，带到禁区前，直塞给曹赟定                   39'第39分钟拉维奇被金基熙放倒，他的左侧任意球高门而出
41'曹赟定转身内切，一脚爆射，被杨程奋力扑出                   39'第39分钟拉维奇被金基熙放倒，他的左侧任意球高门而出
41'瓜林跟上，再补射，打偏了                   39'第39分钟拉维奇被金基熙放倒，他的左侧任意球高门而出
41'申花前场又是一次抢断，反击的机会                   39'第39分钟拉维奇被金基熙放倒，他的左侧任意球高门而出
42'登巴巴快速推进，左侧曹赟定和莫雷诺在跑位                   39'第39分钟拉维奇被金基熙放倒，他的左侧任意球高门而出
42'登巴巴分球稍晚，莫雷诺越位了                   39'第39分钟拉维奇被金基熙放倒，他的左侧任意球高门而出
42'华夏进攻，姆比亚外围给到罗森文                   39'第39分钟拉维奇被金基熙放倒，他的左侧任意球高门而出
42'罗森文渗透到禁区内，热鸟顺势做球，但罗森文没有跑位啊                   39'第39分钟拉维奇被金基熙放倒，他的左侧任意球高门而出
44'拉维奇一个斜线塞入禁区，热鸟领悟了他的意图                   44'第44分钟登巴巴左路接球，禁区内直接射门被杨程得到
44'可惜啊，可惜，热鸟自己脚下一滑，丧失了良机啊                   44'第44分钟登巴巴左路接球，禁区内直接射门被杨程得到
44'莫雷诺后场交给金基熙，在给李建滨                   44'第44分钟登巴巴左路接球，禁区内直接射门被杨程得到
45'后场连续的倒球，长传到前面，莫雷诺胸部停给同伴                   44'第44分钟登巴巴左路接球，禁区内直接射门被杨程得到
45'左侧柏佳骏上来，在给曹赟定                   44'第44分钟登巴巴左路接球，禁区内直接射门被杨程得到
45'曹赟定左侧低球给入禁区内，登巴巴顺势直接推射                   44'第44分钟登巴巴左路接球，禁区内直接射门被杨程得到
45'杨程门线上把球没收                   44'第44分钟登巴巴左路接球，禁区内直接射门被杨程得到
45'姆比亚中场带过来，李行交给拉维奇                   44'第44分钟登巴巴左路接球，禁区内直接射门被杨程得到
46'华夏连续的传递，罗森文拿球没发现身后的登巴巴                   44'第44分钟登巴巴左路接球，禁区内直接射门被杨程得到
46'登巴巴把球断下，但姆比亚经验很足，立刻反抢回来                   44'第44分钟登巴巴左路接球，禁区内直接射门被杨程得到
46'上半场补时1分钟                   44'第44分钟登巴巴左路接球，禁区内直接射门被杨程得到
47'左路丁海峰插上，空了，禁区左侧传中，被后卫挡出来                   44'第44分钟登巴巴左路接球，禁区内直接射门被杨程得到
47'哎呀，丁海峰这个球可惜啊，，可以尝试射一脚啊                   44'第44分钟登巴巴左路接球，禁区内直接射门被杨程得到
47'华夏外围传递，右路给到姜宁这边                   44'第44分钟登巴巴左路接球，禁区内直接射门被杨程得到
47'在交给热鸟，热鸟自己突破被柏佳骏捅出来                   44'第44分钟登巴巴左路接球，禁区内直接射门被杨程得到
46'下半场开始了，申花开球                   44'第44分钟登巴巴左路接球，禁区内直接射门被杨程得到
46'李铁连换两人啊，要孤注一掷了                   44'第44分钟登巴巴左路接球，禁区内直接射门被杨程得到
46'柏佳骏左侧界外球扔给李建滨，回敲李帅                   44'第44分钟登巴巴左路接球，禁区内直接射门被杨程得到
46'长传出来，中场被姆比亚拦截一下                   44'第44分钟登巴巴左路接球，禁区内直接射门被杨程得到
47'后场金洋洋给到姜宁，在和拉维奇做配合                   44'第44分钟登巴巴左路接球，禁区内直接射门被杨程得到
47'申花把球断下来，长传送到前场登巴巴                   44'第44分钟登巴巴左路接球，禁区内直接射门被杨程得到
47'登巴巴世界级的停球，连贯动作很好                   44'第44分钟登巴巴左路接球，禁区内直接射门被杨程得到
47'但廖均健和金洋洋一个关门，把登巴巴夹倒在地                   44'第44分钟登巴巴左路接球，禁区内直接射门被杨程得到
47'这个球廖均健手上其实有动作                   44'第44分钟登巴巴左路接球，禁区内直接射门被杨程得到
46'华夏连续的传递，罗森文拿球没发现身后的登巴巴                   46'第46分钟拉维奇禁区外看准机会射门，李帅飞身扑了一下后球打在横梁下弹下，无人看守的董学升去顶空门，但却鬼使神差又顶在横梁上弹出
46'登巴巴把球断下，但姆比亚经验很足，立刻反抢回来                   46'第46分钟拉维奇禁区外看准机会射门，李帅飞身扑了一下后球打在横梁下弹下，无人看守的董学升去顶空门，但却鬼使神差又顶在横梁上弹出
46'上半场补时1分钟                   46'第46分钟拉维奇禁区外看准机会射门，李帅飞身扑了一下后球打在横梁下弹下，无人看守的董学升去顶空门，但却鬼使神差又顶在横梁上弹出
47'左路丁海峰插上，空了，禁区左侧传中，被后卫挡出来                   46'第46分钟拉维奇禁区外看准机会射门，李帅飞身扑了一下后球打在横梁下弹下，无人看守的董学升去顶空门，但却鬼使神差又顶在横梁上弹出
47'哎呀，丁海峰这个球可惜啊，，可以尝试射一脚啊                   46'第46分钟拉维奇禁区外看准机会射门，李帅飞身扑了一下后球打在横梁下弹下，无人看守的董学升去顶空门，但却鬼使神差又顶在横梁上弹出
47'华夏外围传递，右路给到姜宁这边                   46'第46分钟拉维奇禁区外看准机会射门，李帅飞身扑了一下后球打在横梁下弹下，无人看守的董学升去顶空门，但却鬼使神差又顶在横梁上弹出
47'在交给热鸟，热鸟自己突破被柏佳骏捅出来                   46'第46分钟拉维奇禁区外看准机会射门，李帅飞身扑了一下后球打在横梁下弹下，无人看守的董学升去顶空门，但却鬼使神差又顶在横梁上弹出
46'下半场开始了，申花开球                   46'第46分钟拉维奇禁区外看准机会射门，李帅飞身扑了一下后球打在横梁下弹下，无人看守的董学升去顶空门，但却鬼使神差又顶在横梁上弹出
46'李铁连换两人啊，要孤注一掷了                   46'第46分钟拉维奇禁区外看准机会射门，李帅飞身扑了一下后球打在横梁下弹下，无人看守的董学升去顶空门，但却鬼使神差又顶在横梁上弹出
46'柏佳骏左侧界外球扔给李建滨，回敲李帅                   46'第46分钟拉维奇禁区外看准机会射门，李帅飞身扑了一下后球打在横梁下弹下，无人看守的董学升去顶空门，但却鬼使神差又顶在横梁上弹出
46'长传出来，中场被姆比亚拦截一下                   46'第46分钟拉维奇禁区外看准机会射门，李帅飞身扑了一下后球打在横梁下弹下，无人看守的董学升去顶空门，但却鬼使神差又顶在横梁上弹出
47'后场金洋洋给到姜宁，在和拉维奇做配合                   46'第46分钟拉维奇禁区外看准机会射门，李帅飞身扑了一下后球打在横梁下弹下，无人看守的董学升去顶空门，但却鬼使神差又顶在横梁上弹出
47'申花把球断下来，长传送到前场登巴巴                   46'第46分钟拉维奇禁区外看准机会射门，李帅飞身扑了一下后球打在横梁下弹下，无人看守的董学升去顶空门，但却鬼使神差又顶在横梁上弹出
47'登巴巴世界级的停球，连贯动作很好                   46'第46分钟拉维奇禁区外看准机会射门，李帅飞身扑了一下后球打在横梁下弹下，无人看守的董学升去顶空门，但却鬼使神差又顶在横梁上弹出
47'但廖均健和金洋洋一个关门，把登巴巴夹倒在地                   46'第46分钟拉维奇禁区外看准机会射门，李帅飞身扑了一下后球打在横梁下弹下，无人看守的董学升去顶空门，但却鬼使神差又顶在横梁上弹出
47'这个球廖均健手上其实有动作                   46'第46分钟拉维奇禁区外看准机会射门，李帅飞身扑了一下后球打在横梁下弹下，无人看守的董学升去顶空门，但却鬼使神差又顶在横梁上弹出
48'卡库塔左侧下底，底线附近杀到小禁区边缘                   46'第46分钟拉维奇禁区外看准机会射门，李帅飞身扑了一下后球打在横梁下弹下，无人看守的董学升去顶空门，但却鬼使神差又顶在横梁上弹出
48'sorry，是董学升的突破                   46'第46分钟拉维奇禁区外看准机会射门，李帅飞身扑了一下后球打在横梁下弹下，无人看守的董学升去顶空门，但却鬼使神差又顶在横梁上弹出
48'董学升在传到门前，找卡库塔，但被后卫挡下                   46'第46分钟拉维奇禁区外看准机会射门，李帅飞身扑了一下后球打在横梁下弹下，无人看守的董学升去顶空门，但却鬼使神差又顶在横梁上弹出
49'姜宁把球重新拿到，在给卡库塔，传球被金基熙挡出底线                   46'第46分钟拉维奇禁区外看准机会射门，李帅飞身扑了一下后球打在横梁下弹下，无人看守的董学升去顶空门，但却鬼使神差又顶在横梁上弹出
49'角球开出，中路解围出边线                   46'第46分钟拉维奇禁区外看准机会射门，李帅飞身扑了一下后球打在横梁下弹下，无人看守的董学升去顶空门，但却鬼使神差又顶在横梁上弹出
49'华夏幸福和进球擦肩而过啊，董学升空门居然打高了                   46'第46分钟拉维奇禁区外看准机会射门，李帅飞身扑了一下后球打在横梁下弹下，无人看守的董学升去顶空门，但却鬼使神差又顶在横梁上弹出
52'华夏下半场形成围攻势头                   52'第52分钟卡库塔和姆比亚配合之后，禁区外左脚怒射被李帅接住
52'丁海峰界外球给出来，左侧斜传禁区中央                   52'第52分钟卡库塔和姆比亚配合之后，禁区外左脚怒射被李帅接住
52'门前拉维奇和董学升没有碰到                   52'第52分钟卡库塔和姆比亚配合之后，禁区外左脚怒射被李帅接住
52'后点卡库塔角度太小了，一垫，出了底线                   52'第52分钟卡库塔和姆比亚配合之后，禁区外左脚怒射被李帅接住
53'华夏反攻的决心很大啊                   52'第52分钟卡库塔和姆比亚配合之后，禁区外左脚怒射被李帅接住
53'卡库塔中路狂奔，杀到前场，在传右路                   52'第52分钟卡库塔和姆比亚配合之后，禁区外左脚怒射被李帅接住
53'李行传中被挡出来                   52'第52分钟卡库塔和姆比亚配合之后，禁区外左脚怒射被李帅接住
53'外围卡库塔得球，远距离爆杆，被李帅没收                   52'第52分钟卡库塔和姆比亚配合之后，禁区外左脚怒射被李帅接住
54'申花中场抢断                   52'第52分钟卡库塔和姆比亚配合之后，禁区外左脚怒射被李帅接住
54'申花快速反击，莫雷诺杀到禁区前沿                   52'第52分钟卡库塔和姆比亚配合之后，禁区外左脚怒射被李帅接住
54'一扣，晃开防守，一脚射门，还是打在后卫身上                   52'第52分钟卡库塔和姆比亚配合之后，禁区外左脚怒射被李帅接住
55'右路吕征得球，内切之后晃开李行，内脚背射门，弹地之后被杨程扑出底线                   52'第52分钟卡库塔和姆比亚配合之后，禁区外左脚怒射被李帅接住
55'角球开出，顶出来，外围瓜林再射                   52'第52分钟卡库塔和姆比亚配合之后，禁区外左脚怒射被李帅接住
55'球打在防守队员身上，李建滨禁区内倒钩                   52'第52分钟卡库塔和姆比亚配合之后，禁区外左脚怒射被李帅接住
55'球奔向球门，被杨程没收                   52'第52分钟卡库塔和姆比亚配合之后，禁区外左脚怒射被李帅接住
56'申花右路进攻再来，李运秋插上，无人盯防                   56'第56分钟吕征手球被吹，吕对黄烨军似乎出言不逊结果吃到黄牌
56'下底传中，后点居吕姆挡出来                   56'第56分钟吕征手球被吹，吕对黄烨军似乎出言不逊结果吃到黄牌
56'双方火药味渐浓啊                   56'第56分钟吕征手球被吹，吕对黄烨军似乎出言不逊结果吃到黄牌
56'瓜林横拨给柏佳骏，在给李建滨                   56'第56分钟吕征手球被吹，吕对黄烨军似乎出言不逊结果吃到黄牌
57'后场倒脚，莫雷诺过来接应，顺势给到吕征                   56'第56分钟吕征手球被吹，吕对黄烨军似乎出言不逊结果吃到黄牌
58'吕征强行突破，被金洋洋卡住位置                   56'第56分钟吕征手球被吹，吕对黄烨军似乎出言不逊结果吃到黄牌
58'吕征抢位被吹犯规                   56'第56分钟吕征手球被吹，吕对黄烨军似乎出言不逊结果吃到黄牌
59'吕征不满判罚向边裁吐槽，黄烨军过来发一张黄宝石卡片，警告吕征                   56'第56分钟吕征手球被吹，吕对黄烨军似乎出言不逊结果吃到黄牌
59'卡库塔前场持球，右路斜吊禁区                   56'第56分钟吕征手球被吹，吕对黄烨军似乎出言不逊结果吃到黄牌
58'吕征强行突破，被金洋洋卡住位置                   58'第58分钟卡库塔右路似传似射又被李帅扑出
58'吕征抢位被吹犯规                   58'第58分钟卡库塔右路似传似射又被李帅扑出
59'吕征不满判罚向边裁吐槽，黄烨军过来发一张黄宝石卡片，警告吕征                   58'第58分钟卡库塔右路似传似射又被李帅扑出
59'卡库塔前场持球，右路斜吊禁区                   58'第58分钟卡库塔右路似传似射又被李帅扑出
60'李建滨高高跳起，解围出来                   58'第58分钟卡库塔右路似传似射又被李帅扑出
60'李运秋把球护住，慢慢来，稳一下                   58'第58分钟卡库塔右路似传似射又被李帅扑出
60'长传到前面，廖均健把球破坏下来                   58'第58分钟卡库塔右路似传似射又被李帅扑出
61'申花换人了，莫雷诺下，马丁斯上来                   58'第58分钟卡库塔右路似传似射又被李帅扑出
