45'特谢拉前场摆脱，分右路                   45'第45分钟埃德尔右路下底传中，特谢拉中路跟进飞身头球攻门得分
51'申花1-1追平苏宁                   49'下半场第49分钟柏佳骏左路直塞球进禁区，瓜林跟进到位横传球到禁区中路，登巴巴倒地推射破门得分
51'高天意直塞禁区，被李帅没收                   49'下半场第49分钟柏佳骏左路直塞球进禁区，瓜林跟进到位横传球到禁区中路，登巴巴倒地推射破门得分
52'刘若钒右路延边线突破，被杨笑天拉倒                   49'下半场第49分钟柏佳骏左路直塞球进禁区，瓜林跟进到位横传球到禁区中路，登巴巴倒地推射破门得分
52'裁判没有吹罚                   49'下半场第49分钟柏佳骏左路直塞球进禁区，瓜林跟进到位横传球到禁区中路，登巴巴倒地推射破门得分
52'罗梅罗拿球横走，分左路                   49'下半场第49分钟柏佳骏左路直塞球进禁区，瓜林跟进到位横传球到禁区中路，登巴巴倒地推射破门得分
50'左路曹赟定拿球，传中                   50'第5分钟申花从右路起球，刘若钒头球稍稍顶高
50'两点包抄都没跟上                   50'第5分钟申花从右路起球，刘若钒头球稍稍顶高
50'申花进球了！！                   50'第5分钟申花从右路起球，刘若钒头球稍稍顶高
50'登巴巴！！！                   50'第5分钟申花从右路起球，刘若钒头球稍稍顶高
50'球打回到左路，瓜林进禁区下底横扫门前，登巴巴铲射破门                   50'第5分钟申花从右路起球，刘若钒头球稍稍顶高
51'申花1-1追平苏宁                   50'第5分钟申花从右路起球，刘若钒头球稍稍顶高
51'高天意直塞禁区，被李帅没收                   50'第5分钟申花从右路起球，刘若钒头球稍稍顶高
52'刘若钒右路延边线突破，被杨笑天拉倒                   50'第5分钟申花从右路起球，刘若钒头球稍稍顶高
52'裁判没有吹罚                   50'第5分钟申花从右路起球，刘若钒头球稍稍顶高
52'罗梅罗拿球横走，分左路                   50'第5分钟申花从右路起球，刘若钒头球稍稍顶高
53'有角球机会                   50'第5分钟申花从右路起球，刘若钒头球稍稍顶高
53'曹赟定角球开门前，直接被顾超摘下                   50'第5分钟申花从右路起球，刘若钒头球稍稍顶高
53'曹赟定左路接应，进禁区传中                   50'第5分钟申花从右路起球，刘若钒头球稍稍顶高
53'球被顾超扑住了                   50'第5分钟申花从右路起球，刘若钒头球稍稍顶高
53'有角球机会                   53'第8分钟柏佳骏放倒江苏队9号埃德尔吃到黄牌
53'曹赟定角球开门前，直接被顾超摘下                   53'第8分钟柏佳骏放倒江苏队9号埃德尔吃到黄牌
53'曹赟定左路接应，进禁区传中                   53'第8分钟柏佳骏放倒江苏队9号埃德尔吃到黄牌
53'球被顾超扑住了                   53'第8分钟柏佳骏放倒江苏队9号埃德尔吃到黄牌
54'吴曦中场带球被刘若钒绊倒                   53'第8分钟柏佳骏放倒江苏队9号埃德尔吃到黄牌
54'裁判黄牌警告刘若钒                   53'第8分钟柏佳骏放倒江苏队9号埃德尔吃到黄牌
54'高天意中场和孙世林争顶，撞在一起                   53'第8分钟柏佳骏放倒江苏队9号埃德尔吃到黄牌
54'队医进场治疗                   53'第8分钟柏佳骏放倒江苏队9号埃德尔吃到黄牌
56'埃德尔右路摆脱传中被顶出                   53'第8分钟柏佳骏放倒江苏队9号埃德尔吃到黄牌
56'刘若钒右路突破，分禁区前被帕莱塔拦截                   53'第8分钟柏佳骏放倒江苏队9号埃德尔吃到黄牌
62'角球开朱建荣头上，没顶正                   62'第17分钟江苏队左路角球开出，中路帕莱塔和埃德尔都先抢到了球权，但由于身体重心都没调整好，没有形成威胁射门
63'杨博宇长传被栗鹏顶出                   62'第17分钟江苏队左路角球开出，中路帕莱塔和埃德尔都先抢到了球权，但由于身体重心都没调整好，没有形成威胁射门
63'曹赟定左路斜传禁区，被顾超没收                   62'第17分钟江苏队左路角球开出，中路帕莱塔和埃德尔都先抢到了球权，但由于身体重心都没调整好，没有形成威胁射门
64'顾超大脚开出，朱辰杰解围                   62'第17分钟江苏队左路角球开出，中路帕莱塔和埃德尔都先抢到了球权，但由于身体重心都没调整好，没有形成威胁射门
65'特谢拉右路过柏佳骏，被补防的朱辰杰破坏                   62'第17分钟江苏队左路角球开出，中路帕莱塔和埃德尔都先抢到了球权，但由于身体重心都没调整好，没有形成威胁射门
65'苏宁换人，汪嵩换下高天意                   62'第17分钟江苏队左路角球开出，中路帕莱塔和埃德尔都先抢到了球权，但由于身体重心都没调整好，没有形成威胁射门
65'特谢拉右路过柏佳骏，被补防的朱辰杰破坏                   65'第20分钟申花从右路进攻，刘若钒下底传中，登巴巴头球顶在周云背上
65'苏宁换人，汪嵩换下高天意                   65'第20分钟申花从右路进攻，刘若钒下底传中，登巴巴头球顶在周云背上
66'登巴巴中场回敲，孙世林出球被绊倒                   65'第20分钟申花从右路进攻，刘若钒下底传中，登巴巴头球顶在周云背上
66'有利球                   65'第20分钟申花从右路进攻，刘若钒下底传中，登巴巴头球顶在周云背上
66'柏佳骏左路的传中被门将没收                   65'第20分钟申花从右路进攻，刘若钒下底传中，登巴巴头球顶在周云背上
66'苏宁控制球，转移右路                   65'第20分钟申花从右路进攻，刘若钒下底传中，登巴巴头球顶在周云背上
67'谢鹏飞右路起球被栗鹏顶出                   65'第20分钟申花从右路进攻，刘若钒下底传中，登巴巴头球顶在周云背上
67'汪嵩中场拿球转身，分左路                   65'第20分钟申花从右路进攻，刘若钒下底传中，登巴巴头球顶在周云背上
68'埃德尔左路下底，越位在先                   65'第20分钟申花从右路进攻，刘若钒下底传中，登巴巴头球顶在周云背上
68'朱建荣中场争头球，越位位置回接                   65'第20分钟申花从右路进攻，刘若钒下底传中，登巴巴头球顶在周云背上
73'汪嵩角球开出被顶出                   73'第28分钟换成吴曦在禁区外打出威胁远射，但可惜略微偏出左门柱
73'外围再吊传，被李帅摘下                   73'第28分钟换成吴曦在禁区外打出威胁远射，但可惜略微偏出左门柱
73'李帅大脚开出，登巴巴倚住人拿好                   73'第28分钟换成吴曦在禁区外打出威胁远射，但可惜略微偏出左门柱
73'转身突破禁区前被杨笑天拉倒                   73'第28分钟换成吴曦在禁区外打出威胁远射，但可惜略微偏出左门柱
73'裁判黄牌警告杨笑天                   73'第28分钟换成吴曦在禁区外打出威胁远射，但可惜略微偏出左门柱
74'任意球，瓜林主罚                   73'第28分钟换成吴曦在禁区外打出威胁远射，但可惜略微偏出左门柱
75'射在人墙上弹出，角球                   73'第28分钟换成吴曦在禁区外打出威胁远射，但可惜略微偏出左门柱
75'角球前点朱辰杰后蹭，被解围还是角球                   73'第28分钟换成吴曦在禁区外打出威胁远射，但可惜略微偏出左门柱
76'角球这次到中路，朱建荣顶高                   73'第28分钟换成吴曦在禁区外打出威胁远射，但可惜略微偏出左门柱
87'登巴巴中场拿球，分右路                   87'第42分钟孙世林送球被谢鹏飞截下，但球却打在谢鹏飞手上，申花获得离门33米任意球的机会
87'曹赟定直塞禁区前，登巴巴背身被破坏                   87'第42分钟孙世林送球被谢鹏飞截下，但球却打在谢鹏飞手上，申花获得离门33米任意球的机会
88'瓜林防守犯规，苏宁任意球                   87'第42分钟孙世林送球被谢鹏飞截下，但球却打在谢鹏飞手上，申花获得离门33米任意球的机会
88'汪嵩任意球开入禁区，被解围                   87'第42分钟孙世林送球被谢鹏飞截下，但球却打在谢鹏飞手上，申花获得离门33米任意球的机会
90'周云右路起球，被朱辰杰顶出                   87'第42分钟孙世林送球被谢鹏飞截下，但球却打在谢鹏飞手上，申花获得离门33米任意球的机会
90'吴曦转身分左路                   87'第42分钟孙世林送球被谢鹏飞截下，但球却打在谢鹏飞手上，申花获得离门33米任意球的机会
90'特谢拉被栗鹏放倒，任意球                   87'第42分钟孙世林送球被谢鹏飞截下，但球却打在谢鹏飞手上，申花获得离门33米任意球的机会
90'下半场补时4分钟                   87'第42分钟孙世林送球被谢鹏飞截下，但球却打在谢鹏飞手上，申花获得离门33米任意球的机会
90'周云右路起球，被朱辰杰顶出                   90'第45分钟进球来到，特谢拉右路送球，申花防线猝不及防，埃德尔高速冲抢得手后，右路下底传中，特谢拉中路跟进飞身头球攻门得分，1比0，江苏苏宁领先
90'吴曦转身分左路                   90'第45分钟进球来到，特谢拉右路送球，申花防线猝不及防，埃德尔高速冲抢得手后，右路下底传中，特谢拉中路跟进飞身头球攻门得分，1比0，江苏苏宁领先
90'特谢拉被栗鹏放倒，任意球                   90'第45分钟进球来到，特谢拉右路送球，申花防线猝不及防，埃德尔高速冲抢得手后，右路下底传中，特谢拉中路跟进飞身头球攻门得分，1比0，江苏苏宁领先
90'下半场补时4分钟                   90'第45分钟进球来到，特谢拉右路送球，申花防线猝不及防，埃德尔高速冲抢得手后，右路下底传中，特谢拉中路跟进飞身头球攻门得分，1比0，江苏苏宁领先
91'汪嵩任意球开门前，被李帅没收                   90'第45分钟进球来到，特谢拉右路送球，申花防线猝不及防，埃德尔高速冲抢得手后，右路下底传中，特谢拉中路跟进飞身头球攻门得分，1比0，江苏苏宁领先
92'苏宁换人，田依浓被张凌峰换下                   90'第45分钟进球来到，特谢拉右路送球，申花防线猝不及防，埃德尔高速冲抢得手后，右路下底传中，特谢拉中路跟进飞身头球攻门得分，1比0，江苏苏宁领先
92'杨博宇后场头球回点门将，小了                   90'第45分钟进球来到，特谢拉右路送球，申花防线猝不及防，埃德尔高速冲抢得手后，右路下底传中，特谢拉中路跟进飞身头球攻门得分，1比0，江苏苏宁领先
92'登巴巴逼抢，顾超解围出边线                   90'第45分钟进球来到，特谢拉右路送球，申花防线猝不及防，埃德尔高速冲抢得手后，右路下底传中，特谢拉中路跟进飞身头球攻门得分，1比0，江苏苏宁领先
93'曹赟定左路转身起右脚传中，被顶出                   90'第45分钟进球来到，特谢拉右路送球，申花防线猝不及防，埃德尔高速冲抢得手后，右路下底传中，特谢拉中路跟进飞身头球攻门得分，1比0，江苏苏宁领先
52'刘若钒右路延边线突破，被杨笑天拉倒                   52'第52分钟曹赟定左路漂亮卸球后传中，顾超抢在登巴巴之前飞身把球扑住
52'裁判没有吹罚                   52'第52分钟曹赟定左路漂亮卸球后传中，顾超抢在登巴巴之前飞身把球扑住
52'罗梅罗拿球横走，分左路                   52'第52分钟曹赟定左路漂亮卸球后传中，顾超抢在登巴巴之前飞身把球扑住
53'有角球机会                   52'第52分钟曹赟定左路漂亮卸球后传中，顾超抢在登巴巴之前飞身把球扑住
53'曹赟定角球开门前，直接被顾超摘下                   52'第52分钟曹赟定左路漂亮卸球后传中，顾超抢在登巴巴之前飞身把球扑住
53'曹赟定左路接应，进禁区传中                   52'第52分钟曹赟定左路漂亮卸球后传中，顾超抢在登巴巴之前飞身把球扑住
53'球被顾超扑住了                   52'第52分钟曹赟定左路漂亮卸球后传中，顾超抢在登巴巴之前飞身把球扑住
54'吴曦中场带球被刘若钒绊倒                   52'第52分钟曹赟定左路漂亮卸球后传中，顾超抢在登巴巴之前飞身把球扑住
54'裁判黄牌警告刘若钒                   52'第52分钟曹赟定左路漂亮卸球后传中，顾超抢在登巴巴之前飞身把球扑住
54'高天意中场和孙世林争顶，撞在一起                   52'第52分钟曹赟定左路漂亮卸球后传中，顾超抢在登巴巴之前飞身把球扑住
54'队医进场治疗                   52'第52分钟曹赟定左路漂亮卸球后传中，顾超抢在登巴巴之前飞身把球扑住
58'柏佳骏左路断球，分瓜林转移                   57'第57分钟申花前场连续配合，最后是徐友刚右路下底传中，刘若钒头球攻门被顾超飞身扑住
58'刘若钒右路拿球，横敲禁区前                   57'第57分钟申花前场连续配合，最后是徐友刚右路下底传中，刘若钒头球攻门被顾超飞身扑住
58'登巴巴再分右路，徐友刚下底                   57'第57分钟申花前场连续配合，最后是徐友刚右路下底传中，刘若钒头球攻门被顾超飞身扑住
58'传中前点，刘若钒头球被顾超扑住                   57'第57分钟申花前场连续配合，最后是徐友刚右路下底传中，刘若钒头球攻门被顾超飞身扑住
59'周云右路横敲，高天意内切                   57'第57分钟申花前场连续配合，最后是徐友刚右路下底传中，刘若钒头球攻门被顾超飞身扑住
59'禁区前田依浓过顶球搓传，被李帅没收                   57'第57分钟申花前场连续配合，最后是徐友刚右路下底传中，刘若钒头球攻门被顾超飞身扑住
60'帕莱塔直接给禁区前，吴曦分左路                   57'第57分钟申花前场连续配合，最后是徐友刚右路下底传中，刘若钒头球攻门被顾超飞身扑住
64'顾超大脚开出，朱辰杰解围                   64'第64分钟江苏队用汪嵩换下高天意
65'特谢拉右路过柏佳骏，被补防的朱辰杰破坏                   64'第64分钟江苏队用汪嵩换下高天意
65'苏宁换人，汪嵩换下高天意                   64'第64分钟江苏队用汪嵩换下高天意
66'登巴巴中场回敲，孙世林出球被绊倒                   64'第64分钟江苏队用汪嵩换下高天意
66'有利球                   64'第64分钟江苏队用汪嵩换下高天意
66'柏佳骏左路的传中被门将没收                   64'第64分钟江苏队用汪嵩换下高天意
66'苏宁控制球，转移右路                   64'第64分钟江苏队用汪嵩换下高天意
67'谢鹏飞右路起球被栗鹏顶出                   64'第64分钟江苏队用汪嵩换下高天意
67'汪嵩中场拿球转身，分左路                   64'第64分钟江苏队用汪嵩换下高天意
71'朱建荣禁区内接应右路传球，扛住帕莱塔                   71'第71分钟特谢拉和汪嵩在左路配合，汪嵩挑球入禁区，虽然谢鹏飞在申花后卫干扰下没顶到球，但后点埃德尔得球就打，李帅飞身把球扑出
71'回敲禁区前，瓜林远射打高                   71'第71分钟特谢拉和汪嵩在左路配合，汪嵩挑球入禁区，虽然谢鹏飞在申花后卫干扰下没顶到球，但后点埃德尔得球就打，李帅飞身把球扑出
71'瓜林中场铲截，手球了                   71'第71分钟特谢拉和汪嵩在左路配合，汪嵩挑球入禁区，虽然谢鹏飞在申花后卫干扰下没顶到球，但后点埃德尔得球就打，李帅飞身把球扑出
72'柏佳骏后场解围不远                   71'第71分钟特谢拉和汪嵩在左路配合，汪嵩挑球入禁区，虽然谢鹏飞在申花后卫干扰下没顶到球，但后点埃德尔得球就打，李帅飞身把球扑出
72'汪嵩挑球过人，分后点                   71'第71分钟特谢拉和汪嵩在左路配合，汪嵩挑球入禁区，虽然谢鹏飞在申花后卫干扰下没顶到球，但后点埃德尔得球就打，李帅飞身把球扑出
72'埃德尔抽射被李帅扑出，角球                   71'第71分钟特谢拉和汪嵩在左路配合，汪嵩挑球入禁区，虽然谢鹏飞在申花后卫干扰下没顶到球，但后点埃德尔得球就打，李帅飞身把球扑出
73'汪嵩角球开出被顶出                   71'第71分钟特谢拉和汪嵩在左路配合，汪嵩挑球入禁区，虽然谢鹏飞在申花后卫干扰下没顶到球，但后点埃德尔得球就打，李帅飞身把球扑出
73'外围再吊传，被李帅摘下                   71'第71分钟特谢拉和汪嵩在左路配合，汪嵩挑球入禁区，虽然谢鹏飞在申花后卫干扰下没顶到球，但后点埃德尔得球就打，李帅飞身把球扑出
73'李帅大脚开出，登巴巴倚住人拿好                   71'第71分钟特谢拉和汪嵩在左路配合，汪嵩挑球入禁区，虽然谢鹏飞在申花后卫干扰下没顶到球，但后点埃德尔得球就打，李帅飞身把球扑出
73'转身突破禁区前被杨笑天拉倒                   71'第71分钟特谢拉和汪嵩在左路配合，汪嵩挑球入禁区，虽然谢鹏飞在申花后卫干扰下没顶到球，但后点埃德尔得球就打，李帅飞身把球扑出
73'裁判黄牌警告杨笑天                   71'第71分钟特谢拉和汪嵩在左路配合，汪嵩挑球入禁区，虽然谢鹏飞在申花后卫干扰下没顶到球，但后点埃德尔得球就打，李帅飞身把球扑出
74'任意球，瓜林主罚                   71'第71分钟特谢拉和汪嵩在左路配合，汪嵩挑球入禁区，虽然谢鹏飞在申花后卫干扰下没顶到球，但后点埃德尔得球就打，李帅飞身把球扑出
77'瓜林分左路，曹赟定摆脱分底线                   77'第77分钟谢鹏飞从背后拉拽瓜林衣服吃到黄牌
77'柏佳骏没拿好，被解围                   77'第77分钟谢鹏飞从背后拉拽瓜林衣服吃到黄牌
77'埃德尔右路推进，朱辰杰阻挡了                   77'第77分钟谢鹏飞从背后拉拽瓜林衣服吃到黄牌
78'瓜林中场摆脱，直接被拉倒                   77'第77分钟谢鹏飞从背后拉拽瓜林衣服吃到黄牌
78'裁判黄牌警告谢鹏飞                   77'第77分钟谢鹏飞从背后拉拽瓜林衣服吃到黄牌
80'登巴巴禁区前被破坏                   77'第77分钟谢鹏飞从背后拉拽瓜林衣服吃到黄牌
80'瓜林后排拿好，打门踢疵了                   77'第77分钟谢鹏飞从背后拉拽瓜林衣服吃到黄牌
81'特谢拉禁区右侧摆脱柏佳骏，传后点                   81'第81分钟曹赟定左路送球，朱建荣把球做下，登巴巴禁区外弧线球射门被顾超扑住
82'埃德尔后点的头球没顶正球门                   81'第81分钟曹赟定左路送球，朱建荣把球做下，登巴巴禁区外弧线球射门被顾超扑住
82'曹赟定左路给禁区，朱建荣背身回敲                   81'第81分钟曹赟定左路送球，朱建荣把球做下，登巴巴禁区外弧线球射门被顾超扑住
82'登巴巴跟上低射被顾超扑住                   81'第81分钟曹赟定左路送球，朱建荣把球做下，登巴巴禁区外弧线球射门被顾超扑住
82'苏宁换人，黄紫昌换下谢鹏飞                   81'第81分钟曹赟定左路送球，朱建荣把球做下，登巴巴禁区外弧线球射门被顾超扑住
84'登巴巴前场拼抢，拉人了                   81'第81分钟曹赟定左路送球，朱建荣把球做下，登巴巴禁区外弧线球射门被顾超扑住
84'申花换人，荣昊换下刘若钒                   81'第81分钟曹赟定左路送球，朱建荣把球做下，登巴巴禁区外弧线球射门被顾超扑住
84'登巴巴前场拼抢，拉人了                   83'第83分钟申花用荣昊换下刘若钒
84'申花换人，荣昊换下刘若钒                   83'第83分钟申花用荣昊换下刘若钒
85'黄紫昌禁区前突破被绊倒，任意球                   83'第83分钟申花用荣昊换下刘若钒
86'汪嵩任意球打门，高了                   83'第83分钟申花用荣昊换下刘若钒
49'特谢拉左路做球，徐友刚解围出边线                   49'本场补时4分钟，第91分钟张凌峰换下田依浓
49'连续的边路拼抢                   49'本场补时4分钟，第91分钟张凌峰换下田依浓
49'瓜林中场拦截，脚下打滑                   49'本场补时4分钟，第91分钟张凌峰换下田依浓
50'左路曹赟定拿球，传中                   49'本场补时4分钟，第91分钟张凌峰换下田依浓
50'两点包抄都没跟上                   49'本场补时4分钟，第91分钟张凌峰换下田依浓
50'申花进球了！！                   49'本场补时4分钟，第91分钟张凌峰换下田依浓
50'登巴巴！！！                   49'本场补时4分钟，第91分钟张凌峰换下田依浓
50'球打回到左路，瓜林进禁区下底横扫门前，登巴巴铲射破门                   49'本场补时4分钟，第91分钟张凌峰换下田依浓
51'申花1-1追平苏宁                   49'本场补时4分钟，第91分钟张凌峰换下田依浓
51'高天意直塞禁区，被李帅没收                   49'本场补时4分钟，第91分钟张凌峰换下田依浓
52'刘若钒右路延边线突破，被杨笑天拉倒                   49'本场补时4分钟，第91分钟张凌峰换下田依浓
52'裁判没有吹罚                   49'本场补时4分钟，第91分钟张凌峰换下田依浓
52'罗梅罗拿球横走，分左路                   49'本场补时4分钟，第91分钟张凌峰换下田依浓
