1'上半场比赛开始了，纽卡首先开球                   1'开场不到1分钟，威尔谢尔反击中传球，张伯伦禁区边缘外的劲射偏出
37'桑顿当初在国米出道时也是很令人惊艳的，不过却没有踢出来                   37'阿森纳第37分钟险些扩大比分，波多尔斯基再传好球，但沃尔科特摆脱珀奇后在禁区左肋10码处的低射被克鲁尔出击封堵后没收
38'波多尔斯基禁区外直传，沃尔科特禁区里拿球面对门将的打门没踢上力量啊，克鲁尔挡了一下后把球拿到                   37'阿森纳第37分钟险些扩大比分，波多尔斯基再传好球，但沃尔科特摆脱珀奇后在禁区左肋10码处的低射被克鲁尔出击封堵后没收
38'波多尔斯基现在和沃尔科特的小配合打的很有想法                   37'阿森纳第37分钟险些扩大比分，波多尔斯基再传好球，但沃尔科特摆脱珀奇后在禁区左肋10码处的低射被克鲁尔出击封堵后没收
39'比吉里马纳中场大脚转移到右路辛普森                   37'阿森纳第37分钟险些扩大比分，波多尔斯基再传好球，但沃尔科特摆脱珀奇后在禁区左肋10码处的低射被克鲁尔出击封堵后没收
39'传中还是找不到自己的队友                   37'阿森纳第37分钟险些扩大比分，波多尔斯基再传好球，但沃尔科特摆脱珀奇后在禁区左肋10码处的低射被克鲁尔出击封堵后没收
40'蒂奥特30米开外的中路爆射被斯泽斯尼托出横梁                   37'阿森纳第37分钟险些扩大比分，波多尔斯基再传好球，但沃尔科特摆脱珀奇后在禁区左肋10码处的低射被克鲁尔出击封堵后没收
40'角球开出被后卫解围出来                   37'阿森纳第37分钟险些扩大比分，波多尔斯基再传好球，但沃尔科特摆脱珀奇后在禁区左肋10码处的低射被克鲁尔出击封堵后没收
43'奥贝坦左路带球内切后被萨尼亚铲倒                   43'纽卡斯尔第43分钟扳平比分，登巴-巴左路任意球射门打在威尔谢尔肩上偏转入网
43'纽卡获得一个大禁区前靠左的任意球，很适合右脚球员直接打门                   43'纽卡斯尔第43分钟扳平比分，登巴-巴左路任意球射门打在威尔谢尔肩上偏转入网
43'登巴巴站在球前                   43'纽卡斯尔第43分钟扳平比分，登巴-巴左路任意球射门打在威尔谢尔肩上偏转入网
44'登登登登登登登登登巴巴！！！！！！！！！                   43'纽卡斯尔第43分钟扳平比分，登巴-巴左路任意球射门打在威尔谢尔肩上偏转入网
44'任意球直接打门击中威尔谢尔头部后改变方向窜入球网！！！                   43'纽卡斯尔第43分钟扳平比分，登巴-巴左路任意球射门打在威尔谢尔肩上偏转入网
44'纽卡斯尔在半场结束前把比分扳成1比1平                   43'纽卡斯尔第43分钟扳平比分，登巴-巴左路任意球射门打在威尔谢尔肩上偏转入网
45'张伯伦右路强突奥贝坦没有成功                   43'纽卡斯尔第43分钟扳平比分，登巴-巴左路任意球射门打在威尔谢尔肩上偏转入网
46'纽卡斯尔快速反击，马尔维奥中路带球疾进，左脚突然打门被门将扑出底线                   43'纽卡斯尔第43分钟扳平比分，登巴-巴左路任意球射门打在威尔谢尔肩上偏转入网
46'纽卡连续获得角球                   43'纽卡斯尔第43分钟扳平比分，登巴-巴左路任意球射门打在威尔谢尔肩上偏转入网
46'下半场比赛易边再战！！                   43'纽卡斯尔第43分钟扳平比分，登巴-巴左路任意球射门打在威尔谢尔肩上偏转入网
46'欢迎球迷们继续收看球球带来的直播                   43'纽卡斯尔第43分钟扳平比分，登巴-巴左路任意球射门打在威尔谢尔肩上偏转入网
46'经过中场休息两支球队都还没有换人调整                   43'纽卡斯尔第43分钟扳平比分，登巴-巴左路任意球射门打在威尔谢尔肩上偏转入网
47'还是马尔维奥处理，登巴巴头球再次顶高                   47'第47分钟，波多尔斯基传球，吉布斯禁区左侧小角度射门被克鲁尔扑出
47'张伯伦右路的传中被门将克鲁尔飞身击出啊                   47'第47分钟，波多尔斯基传球，吉布斯禁区左侧小角度射门被克鲁尔扑出
48'波多尔斯基禁区前送出直传，后插上的吉布斯小角度打门被克鲁尔封出                   47'第47分钟，波多尔斯基传球，吉布斯禁区左侧小角度射门被克鲁尔扑出
48'阿森呢下半场开场后攻势比较猛啊                   47'第47分钟，波多尔斯基传球，吉布斯禁区左侧小角度射门被克鲁尔扑出
48'枪手对这场争取4连胜的比赛也是势在必得啊                   47'第47分钟，波多尔斯基传球，吉布斯禁区左侧小角度射门被克鲁尔扑出
49'辛普森右路传中被科斯切尔尼头球解围                   47'第47分钟，波多尔斯基传球，吉布斯禁区左侧小角度射门被克鲁尔扑出
49'比吉里马纳今天在中场的几次转移还是很不错的                   47'第47分钟，波多尔斯基传球，吉布斯禁区左侧小角度射门被克鲁尔扑出
50'波多尔斯基和辛普森在边路争夺                   47'第47分钟，波多尔斯基传球，吉布斯禁区左侧小角度射门被克鲁尔扑出
50'张伯伦！！！！！！！！！2比1！！！！！！！！！！！！                   47'第47分钟，波多尔斯基传球，吉布斯禁区左侧小角度射门被克鲁尔扑出
57'桑顿左路45度斜传禁区，维尔马伦抢在登巴巴之前头球解围                   57'第57分钟，沃尔科特25码处抽射偏出
57'沃尔科特中场断下蒂奥特的球后带球反击，在吸引了两名球员的防守后选择了自己打门，偏出球门                   57'第57分钟，沃尔科特25码处抽射偏出
58'实际上另一侧的波多尔斯基那里已经无人盯防了，要是小老虎选择传球，波多尔斯基就直接面对门将了                   57'第57分钟，沃尔科特25码处抽射偏出
59'奥贝坦左路突破到禁区里                   57'第57分钟，沃尔科特25码处抽射偏出
59'马尔维奥！！！！2比2！！！！！！！！！！！                   57'第57分钟，沃尔科特25码处抽射偏出
60'奥贝坦左路连续突破到底线，把球横传到后门柱无人盯防的马尔维奥，法国人轻松把球推入空门                   57'第57分钟，沃尔科特25码处抽射偏出
60'纽卡斯尔两度落后两度扳平比分了                   57'第57分钟，沃尔科特25码处抽射偏出
61'卡索拉弧顶前左脚打门被克鲁尔扑出底线                   61'第61分钟，威尔谢尔传球，卡索拉禁区前劲射被克鲁尔扑出
61'沃尔科特角球给到前点被防守队员解围出来                   61'第61分钟，威尔谢尔传球，卡索拉禁区前劲射被克鲁尔扑出
62'纽卡的两个进球都和左路的奥贝坦有关，一次是他突破造成的任意球，一次是他的直接助攻                   61'第61分钟，威尔谢尔传球，卡索拉禁区前劲射被克鲁尔扑出
63'看似球队把重兵放在右路进攻，不过最大的威胁还是左路的奥贝坦                   61'第61分钟，威尔谢尔传球，卡索拉禁区前劲射被克鲁尔扑出
63'波多尔斯基和卡索拉的配合，门将克鲁尔把球出击没收                   61'第61分钟，威尔谢尔传球，卡索拉禁区前劲射被克鲁尔扑出
64'波多尔斯基！！！！3比2！！！                   61'第61分钟，威尔谢尔传球，卡索拉禁区前劲射被克鲁尔扑出
64'波多尔斯基！！！！3比2！！！                   64'阿森纳第64分钟三度超出，威尔谢尔强突禁区左侧传中，科洛奇尼远点头球解围打中横梁，波多尔斯基近距离抢在蒂奥特之前头球破门，3-2
65'威尔谢尔左路下底送出挑传，科洛奇尼头球解围送出乌龙助攻，波多尔斯基门将捡漏把球顶进球门！！！                   64'阿森纳第64分钟三度超出，威尔谢尔强突禁区左侧传中，科洛奇尼远点头球解围打中横梁，波多尔斯基近距离抢在蒂奥特之前头球破门，3-2
65'枪手中的战斗机啊                   64'阿森纳第64分钟三度超出，威尔谢尔强突禁区左侧传中，科洛奇尼远点头球解围打中横梁，波多尔斯基近距离抢在蒂奥特之前头球破门，3-2
66'威尔谢尔角球给到门前，双方球员都没有碰到球                   64'阿森纳第64分钟三度超出，威尔谢尔强突禁区左侧传中，科洛奇尼远点头球解围打中横梁，波多尔斯基近距离抢在蒂奥特之前头球破门，3-2
66'看看阿森纳本场第三次领先都不能坚持到最后时刻                   64'阿森纳第64分钟三度超出，威尔谢尔强突禁区左侧传中，科洛奇尼远点头球解围打中横梁，波多尔斯基近距离抢在蒂奥特之前头球破门，3-2
66'辛普森右路突破造成边线球                   64'阿森纳第64分钟三度超出，威尔谢尔强突禁区左侧传中，科洛奇尼远点头球解围打中横梁，波多尔斯基近距离抢在蒂奥特之前头球破门，3-2
67'桑顿左路把球传入禁区，科斯切尔尼鱼跃头球解围                   64'阿森纳第64分钟三度超出，威尔谢尔强突禁区左侧传中，科洛奇尼远点头球解围打中横梁，波多尔斯基近距离抢在蒂奥特之前头球破门，3-2
69'马尔维奥禁区前外脚背送出传球，登巴巴在吉布斯之前不停球的推射打进近角！！                   69'纽卡斯尔第69分钟三度追平，马尔沃克斯外脚背传中，登巴-巴抢在吉布斯之前小禁区右侧破门，3-3
70'纽卡斯尔今天太顽强了啊                   69'纽卡斯尔第69分钟三度追平，马尔沃克斯外脚背传中，登巴-巴抢在吉布斯之前小禁区右侧破门，3-3
70'上一轮三次领先曼联都被扳平，今天是三次落后阿森纳都扳平了                   69'纽卡斯尔第69分钟三度追平，马尔沃克斯外脚背传中，登巴-巴抢在吉布斯之前小禁区右侧破门，3-3
71'比赛还有20分钟，绝杀属于谁？                   69'纽卡斯尔第69分钟三度追平，马尔沃克斯外脚背传中，登巴-巴抢在吉布斯之前小禁区右侧破门，3-3
71'阿森纳中场断球，威尔谢尔带球太粘了                   69'纽卡斯尔第69分钟三度追平，马尔沃克斯外脚背传中，登巴-巴抢在吉布斯之前小禁区右侧破门，3-3
72'小老虎再次下山了！！！4比3！！沃尔科特！！！！！                   69'纽卡斯尔第69分钟三度追平，马尔沃克斯外脚背传中，登巴-巴抢在吉布斯之前小禁区右侧破门，3-3
73'吉布斯左路接到波多尔斯基的传球后下底回传，点球点的沃尔科特停球后转身抽射建功！！                   73'第73分钟，吉布斯禁区左侧传中，波多尔斯基小禁区边缘漏过，沃尔科特10码处停球后转身抽射入网，4-3
73'阿森纳第四次领先了                   73'第73分钟，吉布斯禁区左侧传中，波多尔斯基小禁区边缘漏过，沃尔科特10码处停球后转身抽射入网，4-3
73'再次取得领先后，阿森纳换人了                   73'第73分钟，吉布斯禁区左侧传中，波多尔斯基小禁区边缘漏过，沃尔科特10码处停球后转身抽射入网，4-3
73'吉鲁换下了张伯伦                   73'第73分钟，吉布斯禁区左侧传中，波多尔斯基小禁区边缘漏过，沃尔科特10码处停球后转身抽射入网，4-3
74'7个球的进球大战还没有结束                   73'第73分钟，吉布斯禁区左侧传中，波多尔斯基小禁区边缘漏过，沃尔科特10码处停球后转身抽射入网，4-3
74'纽卡斯尔肯定不想再次吞下3比4惜败的苦果的                   73'第73分钟，吉布斯禁区左侧传中，波多尔斯基小禁区边缘漏过，沃尔科特10码处停球后转身抽射入网，4-3
75'比吉里马纳远射被门将稳稳抱住                   73'第73分钟，吉布斯禁区左侧传中，波多尔斯基小禁区边缘漏过，沃尔科特10码处停球后转身抽射入网，4-3
75'奥贝坦左路突破造成角球                   73'第73分钟，吉布斯禁区左侧传中，波多尔斯基小禁区边缘漏过，沃尔科特10码处停球后转身抽射入网，4-3
75'马尔维奥处理                   73'第73分钟，吉布斯禁区左侧传中，波多尔斯基小禁区边缘漏过，沃尔科特10码处停球后转身抽射入网，4-3
75'开到中路，第一点阿森纳球员解围出来                   73'第73分钟，吉布斯禁区左侧传中，波多尔斯基小禁区边缘漏过，沃尔科特10码处停球后转身抽射入网，4-3
75'外围还是纽卡斯尔控制                   73'第73分钟，吉布斯禁区左侧传中，波多尔斯基小禁区边缘漏过，沃尔科特10码处停球后转身抽射入网，4-3
76'辛普森右路传中，禁区里的登巴巴先犯规了                   73'第73分钟，吉布斯禁区左侧传中，波多尔斯基小禁区边缘漏过，沃尔科特10码处停球后转身抽射入网，4-3
74'7个球的进球大战还没有结束                   74'第74分钟，吉鲁替换张伯伦出场
74'纽卡斯尔肯定不想再次吞下3比4惜败的苦果的                   74'第74分钟，吉鲁替换张伯伦出场
75'比吉里马纳远射被门将稳稳抱住                   74'第74分钟，吉鲁替换张伯伦出场
75'奥贝坦左路突破造成角球                   74'第74分钟，吉鲁替换张伯伦出场
75'马尔维奥处理                   74'第74分钟，吉鲁替换张伯伦出场
75'开到中路，第一点阿森纳球员解围出来                   74'第74分钟，吉鲁替换张伯伦出场
75'外围还是纽卡斯尔控制                   74'第74分钟，吉鲁替换张伯伦出场
76'辛普森右路传中，禁区里的登巴巴先犯规了                   74'第74分钟，吉鲁替换张伯伦出场
77'今天沃尔科特梅开二度，温格还不赶紧续约吗？                   74'第74分钟，吉鲁替换张伯伦出场
77'阿森纳前场右路的任意球                   74'第74分钟，吉鲁替换张伯伦出场
77'威尔谢尔直接开到门前，克鲁尔出击把球摘到                   74'第74分钟，吉鲁替换张伯伦出场
83'纽卡还换了一个人，辛普森下场了                   83'第83分钟，刚刚替换波多尔斯基出场的拉姆塞传球，沃尔科特突入禁区内的射门被珀奇挡出
83'吉鲁头球！！！！5比3！！！！                   83'第83分钟，刚刚替换波多尔斯基出场的拉姆塞传球，沃尔科特突入禁区内的射门被珀奇挡出
84'沃尔科特右路传中，吉鲁头球俯冲把球砸进                   83'第83分钟，刚刚替换波多尔斯基出场的拉姆塞传球，沃尔科特突入禁区内的射门被珀奇挡出
84'刚刚纽卡上场的是莎朗弗格森                   83'第83分钟，刚刚替换波多尔斯基出场的拉姆塞传球，沃尔科特突入禁区内的射门被珀奇挡出
85'阿森纳最后一个换人，科奎琳换下卡索拉                   83'第83分钟，刚刚替换波多尔斯基出场的拉姆塞传球，沃尔科特突入禁区内的射门被珀奇挡出
85'今天阿森纳整个攻击群是集体发威了啊                   83'第83分钟，刚刚替换波多尔斯基出场的拉姆塞传球，沃尔科特突入禁区内的射门被珀奇挡出
85'又是吉鲁！！！梅开二度！！                   83'第83分钟，刚刚替换波多尔斯基出场的拉姆塞传球，沃尔科特突入禁区内的射门被珀奇挡出
86'刚刚当爹的吉鲁今天状态大红啊                   83'第83分钟，刚刚替换波多尔斯基出场的拉姆塞传球，沃尔科特突入禁区内的射门被珀奇挡出
87'沃尔科特右路带球连续突破到禁区前受阻，吉鲁拿球强行突入禁区后右脚爆射近角！！                   87'第87分钟，沃尔科特右路突破受阻，但皮球正好落下吉鲁脚下，前蒙彼利埃射手禁区右侧12码处劲射破门，6-3
88'三度落后三度扳平的纽卡斯尔在最后时刻连吞三弹啊                   87'第87分钟，沃尔科特右路突破受阻，但皮球正好落下吉鲁脚下，前蒙彼利埃射手禁区右侧12码处劲射破门，6-3
88'可以说阿森纳已经锁定了胜局                   87'第87分钟，沃尔科特右路突破受阻，但皮球正好落下吉鲁脚下，前蒙彼利埃射手禁区右侧12码处劲射破门，6-3
88'90分钟9个进球，平均10分钟1个，今天的球迷有福了啊                   87'第87分钟，沃尔科特右路突破受阻，但皮球正好落下吉鲁脚下，前蒙彼利埃射手禁区右侧12码处劲射破门，6-3
89'恼羞成怒的桑顿背身凶狠的铲倒了吉鲁！！                   87'第87分钟，沃尔科特右路突破受阻，但皮球正好落下吉鲁脚下，前蒙彼利埃射手禁区右侧12码处劲射破门，6-3
89'不过主裁判只出示了黄牌                   87'第87分钟，沃尔科特右路突破受阻，但皮球正好落下吉鲁脚下，前蒙彼利埃射手禁区右侧12码处劲射破门，6-3
89'吉鲁看上去也没什么大碍                   87'第87分钟，沃尔科特右路突破受阻，但皮球正好落下吉鲁脚下，前蒙彼利埃射手禁区右侧12码处劲射破门，6-3
89'阿森纳的任意球                   87'第87分钟，沃尔科特右路突破受阻，但皮球正好落下吉鲁脚下，前蒙彼利埃射手禁区右侧12码处劲射破门，6-3
90'老虎继续发威了啊！！！帽子戏法！！！沃尔科特！！！！                   87'第87分钟，沃尔科特右路突破受阻，但皮球正好落下吉鲁脚下，前蒙彼利埃射手禁区右侧12码处劲射破门，6-3
92'比分扩大为了7比3了！！！                   92'第92分钟，威尔谢尔传球，沃尔科特突入禁区左侧被绊倒，但裁判掌握有利原则，沃尔科特小禁区边缘轻巧挑射入网，7-3
92'桑顿右路传中被后卫挡了一下后，斯泽斯尼把球拿到                   92'第92分钟，威尔谢尔传球，沃尔科特突入禁区左侧被绊倒，但裁判掌握有利原则，沃尔科特小禁区边缘轻巧挑射入网，7-3
93'温格在场边也是喜笑颜开啊                   92'第92分钟，威尔谢尔传球，沃尔科特突入禁区左侧被绊倒，但裁判掌握有利原则，沃尔科特小禁区边缘轻巧挑射入网，7-3
93'拉姆塞左路低平球传中，吉鲁插上近距离的打门击中横梁弹出！！！                   92'第92分钟，威尔谢尔传球，沃尔科特突入禁区左侧被绊倒，但裁判掌握有利原则，沃尔科特小禁区边缘轻巧挑射入网，7-3
93'吉鲁错失了替补上场的帽子戏法啊                   92'第92分钟，威尔谢尔传球，沃尔科特突入禁区左侧被绊倒，但裁判掌握有利原则，沃尔科特小禁区边缘轻巧挑射入网，7-3
