1'上半场比赛开始                   1'看英超买彩票:切尔西第1分钟就凡客为主施压
5'可惜包抄的托雷斯慢了半拍，球被回防的巴德兹利解围                   2'2分钟后，马塔同阿扎尔踢墙配合后禁区右侧传中，托雷斯包抄铲射稍慢半拍
5'摩西后场拿球，过了中线斜传给到左路的阿扎尔                   2'2分钟后，马塔同阿扎尔踢墙配合后禁区右侧传中，托雷斯包抄铲射稍慢半拍
5'阿扎尔拿球进入禁区，强行下底传中，被巴德兹利将球挡出底线                   2'2分钟后，马塔同阿扎尔踢墙配合后禁区右侧传中，托雷斯包抄铲射稍慢半拍
11'桑德兰右边路的进攻，科尔解围球找阿扎尔                   11'切尔西第11分钟取得领先，摩西反击中分球，阿扎尔左路传中，托雷斯前点小禁区边缘凌空捅射破门
11'可惜头球力量过大，阿扎尔停球也不好，直接出了边线                   11'切尔西第11分钟取得领先，摩西反击中分球，阿扎尔左路传中，托雷斯前点小禁区边缘凌空捅射破门
11'切尔西后场抢断，罗梅乌直传球给到摩西                   11'切尔西第11分钟取得领先，摩西反击中分球，阿扎尔左路传中，托雷斯前点小禁区边缘凌空捅射破门
11'进球啦                   11'切尔西第11分钟取得领先，摩西反击中分球，阿扎尔左路传中，托雷斯前点小禁区边缘凌空捅射破门
12'托雷斯~~~~~~~~·                   11'切尔西第11分钟取得领先，摩西反击中分球，阿扎尔左路传中，托雷斯前点小禁区边缘凌空捅射破门
12'摩西中场拿球斜传给到左路的阿扎尔，阿扎尔禁区左侧横传球到中路，托雷斯包抄扫射得手                   11'切尔西第11分钟取得领先，摩西反击中分球，阿扎尔左路传中，托雷斯前点小禁区边缘凌空捅射破门
13'开场十一分钟，切尔西就依靠托雷斯的进球取得领先，完美开局哦                   11'切尔西第11分钟取得领先，摩西反击中分球，阿扎尔左路传中，托雷斯前点小禁区边缘凌空捅射破门
13'托雷斯2个月的联赛进球荒也宣告结束啦                   11'切尔西第11分钟取得领先，摩西反击中分球，阿扎尔左路传中，托雷斯前点小禁区边缘凌空捅射破门
14'拉尔森中场拿球直传找麦克林，结果后者拿球时脚下打滑，摔倒了                   11'切尔西第11分钟取得领先，摩西反击中分球，阿扎尔左路传中，托雷斯前点小禁区边缘凌空捅射破门
14'球也是被卡希尔上来直接控制住                   11'切尔西第11分钟取得领先，摩西反击中分球，阿扎尔左路传中，托雷斯前点小禁区边缘凌空捅射破门
14'伊万诺维奇右边路没机会，横传给到路易斯                   11'切尔西第11分钟取得领先，摩西反击中分球，阿扎尔左路传中，托雷斯前点小禁区边缘凌空捅射破门
27'桑德兰的进攻，右边路传中被卡希尔头球解围                   27'第27分钟，前曼联边卫巴德斯利远射偏出
28'可惜直接顶到了斯瑟格农的脚下，后者斜传球到禁区                   27'第27分钟，前曼联边卫巴德斯利远射偏出
28'切赫及时出击，在插上的麦克林之前将球揽入怀中                   27'第27分钟，前曼联边卫巴德斯利远射偏出
28'桑德兰后场长传到前场，麦克林头球点给斯瑟格农                   27'第27分钟，前曼联边卫巴德斯利远射偏出
29'斯瑟格农禁区外拔脚怒射，切赫将球扑出底线                   27'第27分钟，前曼联边卫巴德斯利远射偏出
29'桑德兰右侧角球机会                   27'第27分钟，前曼联边卫巴德斯利远射偏出
29'这段时间桑德兰的进攻火力明显加强了啊                   27'第27分钟，前曼联边卫巴德斯利远射偏出
29'拉尔森角球开到前点，被切尔西球员解围出禁区                   27'第27分钟，前曼联边卫巴德斯利远射偏出
30'切尔西的反击，马塔右路拿球横传找阿扎尔                   27'第27分钟，前曼联边卫巴德斯利远射偏出
30'阿扎尔停球，想直接过度给到奥斯卡，结果失误啦                   27'第27分钟，前曼联边卫巴德斯利远射偏出
30'桑德兰的反击，拉米雷斯放铲犯规，被裁判口头警告                   27'第27分钟，前曼联边卫巴德斯利远射偏出
34'卡希尔的直传球又被桑德兰球员拦截                   34'第34分钟，加德纳禁区前射门被封堵，丹尼-罗斯的远射离谱高出
34'桑德兰的反击，左路传中，切赫出击将球解围                   34'第34分钟，加德纳禁区前射门被封堵，丹尼-罗斯的远射离谱高出
34'禁区外巴德兹利拿到落点，禁区外直接抽射，放了飞机                   34'第34分钟，加德纳禁区前射门被封堵，丹尼-罗斯的远射离谱高出
35'科尔左路拿球过度给到阿扎尔，阿扎尔没机会再回敲给到科尔                   34'第34分钟，加德纳禁区前射门被封堵，丹尼-罗斯的远射离谱高出
35'科尔横传转移球给到路易斯                   34'第34分钟，加德纳禁区前射门被封堵，丹尼-罗斯的远射离谱高出
36'路易斯后场过顶球给到前场的马塔                   34'第34分钟，加德纳禁区前射门被封堵，丹尼-罗斯的远射离谱高出
36'马塔拿球，向前趟了两步直传后卫身后                   34'第34分钟，加德纳禁区前射门被封堵，丹尼-罗斯的远射离谱高出
36'托雷斯包抄，可惜还是慢了，被米尼奥莱出击将球解围                   34'第34分钟，加德纳禁区前射门被封堵，丹尼-罗斯的远射离谱高出
37'斯瑟格农前场拿球横带，奥斯卡放铲，将球拦截                   34'第34分钟，加德纳禁区前射门被封堵，丹尼-罗斯的远射离谱高出
37'切尔西的反击，阿扎尔前场拿球过度给到马塔                   34'第34分钟，加德纳禁区前射门被封堵，丹尼-罗斯的远射离谱高出
37'马塔背身拿球，巴德兹利身后上抢，直接踢倒了马塔                   34'第34分钟，加德纳禁区前射门被封堵，丹尼-罗斯的远射离谱高出
42'桑德兰的反击，加德纳禁区外的一脚远射，偏的离谱啊                   42'第42分钟，维克汉姆传球，加德纳远射偏出
42'加德纳回来，中场防守奥斯卡，直接一脚踢在了奥斯卡的大腿上                   42'第42分钟，维克汉姆传球，加德纳远射偏出
43'加德纳也是被裁判出示黄牌警告                   42'第42分钟，维克汉姆传球，加德纳远射偏出
43'托雷斯前场右路拿球，面对威克姆的防守，准备单挑，结果失败了，球被后者解围出边线                   42'第42分钟，维克汉姆传球，加德纳远射偏出
44'马塔右侧角旗附近的上抢，踢倒了罗斯，犯规                   42'第42分钟，维克汉姆传球，加德纳远射偏出
45'伊万诺维奇右路直传球找托雷斯                   42'第42分钟，维克汉姆传球，加德纳远射偏出
45'托雷斯和罗斯的争抢，托雷斯被吹罚了犯规                   42'第42分钟，维克汉姆传球，加德纳远射偏出
45'上半场比赛进入尾声，比分0-1，切尔西领先                   42'第42分钟，维克汉姆传球，加德纳远射偏出
45'桑德兰的进攻，路易斯将球解围出底线                   42'第42分钟，维克汉姆传球，加德纳远射偏出
45'桑德兰获得左侧角球机会，拉尔森主罚                   42'第42分钟，维克汉姆传球，加德纳远射偏出
49'切赫出击在大禁区线上将球揽入怀中                   49'切尔西第49分钟锁定胜局，摩西右路传中，巴德斯利停球稍大，托雷斯15码处左脚劲射打中门框左上角弹回，马塔禁区左肋10码处补射入网，3-0
49'切尔西的反击再进一球                   49'切尔西第49分钟锁定胜局，摩西右路传中，巴德斯利停球稍大，托雷斯15码处左脚劲射打中门框左上角弹回，马塔禁区左肋10码处补射入网，3-0
49'托雷斯的左脚打门，击中球门右上角弹回，马塔补射得手                   49'切尔西第49分钟锁定胜局，摩西右路传中，巴德斯利停球稍大，托雷斯15码处左脚劲射打中门框左上角弹回，马塔禁区左肋10码处补射入网，3-0
51'这球一大半功劳在托雷斯身上，他的左脚弧线球很不错哦                   49'切尔西第49分钟锁定胜局，摩西右路传中，巴德斯利停球稍大，托雷斯15码处左脚劲射打中门框左上角弹回，马塔禁区左肋10码处补射入网，3-0
51'下半场开场仅仅4分钟，切尔西就将比分扩大了，桑德兰会被打成筛子嘛                   49'切尔西第49分钟锁定胜局，摩西右路传中，巴德斯利停球稍大，托雷斯15码处左脚劲射打中门框左上角弹回，马塔禁区左肋10码处补射入网，3-0
52'拉米雷斯前场拿球横传给到阿扎尔                   49'切尔西第49分钟锁定胜局，摩西右路传中，巴德斯利停球稍大，托雷斯15码处左脚劲射打中门框左上角弹回，马塔禁区左肋10码处补射入网，3-0
52'阿扎尔斜传给到摩西，摩西背身拿球没机会起脚，只能回敲给到奥斯卡                   49'切尔西第49分钟锁定胜局，摩西右路传中，巴德斯利停球稍大，托雷斯15码处左脚劲射打中门框左上角弹回，马塔禁区左肋10码处补射入网，3-0
52'奥斯卡禁区线上的打门，被后卫挡出                   49'切尔西第49分钟锁定胜局，摩西右路传中，巴德斯利停球稍大，托雷斯15码处左脚劲射打中门框左上角弹回，马塔禁区左肋10码处补射入网，3-0
52'不过球还在切尔西球员脚下                   49'切尔西第49分钟锁定胜局，摩西右路传中，巴德斯利停球稍大，托雷斯15码处左脚劲射打中门框左上角弹回，马塔禁区左肋10码处补射入网，3-0
60'奥斯卡和马塔前场2过1配合                   60'第60分钟，马塔传球，奥斯卡远射偏出
60'奥斯卡拿球，进入弧顶拔脚怒射，放了飞机                   60'第60分钟，马塔传球，奥斯卡远射偏出
60'加德纳中场拿球过度给到斯瑟格农                   60'第60分钟，马塔传球，奥斯卡远射偏出
61'斯瑟格农拿球没机会，回敲给到奎利亚尔                   60'第60分钟，马塔传球，奥斯卡远射偏出
61'奎利亚尔后场长传球找麦克林，可惜后者停球不好，被卡希尔抢断                   60'第60分钟，马塔传球，奥斯卡远射偏出
61'马塔前场反抢拉尔森，被吹犯规                   60'第60分钟，马塔传球，奥斯卡远射偏出
62'切尔西换人：伯特兰德换下摩西                   60'第60分钟，马塔传球，奥斯卡远射偏出
62'马塔后场拿球，一路狂奔到了前场，挑传过顶找托雷斯                   60'第60分钟，马塔传球，奥斯卡远射偏出
63'奥谢将球解围，桑德兰反击                   60'第60分钟，马塔传球，奥斯卡远射偏出
63'拉尔森左路拿球过了中线，伊万诺维奇上来将球解围出边线                   60'第60分钟，马塔传球，奥斯卡远射偏出
66'桑德兰进球啦                   66'桑德兰第66分钟扳回一城，麦克利恩传球，前曼城边锋亚当-约翰逊禁区左侧15码处小角度左脚外脚背抽射远角入网
66'约翰逊~~                   66'桑德兰第66分钟扳回一城，麦克利恩传球，前曼城边锋亚当-约翰逊禁区左侧15码处小角度左脚外脚背抽射远角入网
67'桑德兰右路转移球到禁区弧顶，加德纳停球斜塞给到左侧的约翰逊，约翰逊一脚似传似射的打门，竟然直接穿过切赫十指关打进远角，世界波哦                   66'桑德兰第66分钟扳回一城，麦克利恩传球，前曼城边锋亚当-约翰逊禁区左侧15码处小角度左脚外脚背抽射远角入网
68'阿扎尔左边路拿球，摆脱防守横带至禁区外拨给奥斯卡，结果失误啦                   66'桑德兰第66分钟扳回一城，麦克利恩传球，前曼城边锋亚当-约翰逊禁区左侧15码处小角度左脚外脚背抽射远角入网
69'小魔鲁尼:阿森纳2：0了（谢谢你的即时比分信息啊）                   66'桑德兰第66分钟扳回一城，麦克利恩传球，前曼城边锋亚当-约翰逊禁区左侧15码处小角度左脚外脚背抽射远角入网
76'约翰逊的左脚任意球攻门，切赫侧扑将球扑出了底线                   76'第76分钟，阿什利-科尔禁区前对维克汉姆犯规，亚当-约翰逊25码处任意球直接射门被切赫扑出右上角
76'消息更正：之前科尔巴克换下的是2号巴德兹利，加德纳还在场上的                   76'第76分钟，阿什利-科尔禁区前对维克汉姆犯规，亚当-约翰逊25码处任意球直接射门被切赫扑出右上角
77'桑德兰的进攻，又赢得了左侧角球机会                   76'第76分钟，阿什利-科尔禁区前对维克汉姆犯规，亚当-约翰逊25码处任意球直接射门被切赫扑出右上角
77'拉尔森角球开到禁区，奥斯卡头球解围                   76'第76分钟，阿什利-科尔禁区前对维克汉姆犯规，亚当-约翰逊25码处任意球直接射门被切赫扑出右上角
77'伯特兰德左路拿球，切尔西反击                   76'第76分钟，阿什利-科尔禁区前对维克汉姆犯规，亚当-约翰逊25码处任意球直接射门被切赫扑出右上角
77'马塔禁区外的直传球找托雷斯，米尼奥莱出击将球没收                   76'第76分钟，阿什利-科尔禁区前对维克汉姆犯规，亚当-约翰逊25码处任意球直接射门被切赫扑出右上角
78'切尔西的进攻在对方禁区形成混战，可惜最后还是被桑德兰球员将球解围                   76'第76分钟，阿什利-科尔禁区前对维克汉姆犯规，亚当-约翰逊25码处任意球直接射门被切赫扑出右上角
79'切尔西换人：兰帕德换下阿扎尔                   76'第76分钟，阿什利-科尔禁区前对维克汉姆犯规，亚当-约翰逊25码处任意球直接射门被切赫扑出右上角
79'兰帕德的登场，也是引来现场的蓝军球迷起立送掌声欢迎                   76'第76分钟，阿什利-科尔禁区前对维克汉姆犯规，亚当-约翰逊25码处任意球直接射门被切赫扑出右上角
91'可惜没有队友接应，球滑门而过，直接出了另一侧的边线                   91'第91分钟，维克汉姆禁区前劲射被切赫扑出
91'下半场比赛补时4分钟                   91'第91分钟，维克汉姆禁区前劲射被切赫扑出
91'桑德兰后场长传球，萨哈头球点给威克姆                   91'第91分钟，维克汉姆禁区前劲射被切赫扑出
92'威克姆拿球，禁区外的远射，切赫将球扑出底线                   91'第91分钟，维克汉姆禁区前劲射被切赫扑出
92'桑德兰左侧角球机会，不过没什么威胁                   91'第91分钟，维克汉姆禁区前劲射被切赫扑出
92'桑德兰这段时间形成而来围攻之势                   91'第91分钟，维克汉姆禁区前劲射被切赫扑出
92'加德纳前场拿球，科尔上抢被吹阻挡犯规                   91'第91分钟，维克汉姆禁区前劲射被切赫扑出
93'桑德兰获得禁区右上角的任意球机会                   91'第91分钟，维克汉姆禁区前劲射被切赫扑出
93'约翰逊和加德纳都站在了球前                   91'第91分钟，维克汉姆禁区前劲射被切赫扑出
93'加德纳的任意球，绕过人墙打在横梁上弹回场地                   91'第91分钟，维克汉姆禁区前劲射被切赫扑出
94'禁区外的科尔巴克得球，直接的凌空抽射，可惜踢高了                   91'第91分钟，维克汉姆禁区前劲射被切赫扑出
94'切尔西7轮不胜后的首胜倒计时啦                   91'第91分钟，维克汉姆禁区前劲射被切赫扑出
94'麦克林左路拿球，斜传禁区                   91'第91分钟，维克汉姆禁区前劲射被切赫扑出
