3'诺维奇后场逼抢，斯诺德格拉斯的上抢差点成功                   3'开场仅3分钟，许尔勒的外围射门并未对鲁迪构成威胁
35'球被协防的惠塔克抢先解围出边线                   32'切尔西第32分钟险些破门，马蒂奇抢断传球，许尔勒切入禁区左侧12码处的射门打中远角立柱弹回
35'上半场比赛35分钟，比分还是0-0，但是场面上切尔西占据绝对优势                   32'切尔西第32分钟险些破门，马蒂奇抢断传球，许尔勒切入禁区左侧12码处的射门打中远角立柱弹回
37'阿扎尔已经起身做准备，看来穆里尼奥对场上表现不是很满意哦                   37'第37分钟，兰帕德传球，阿什利-科尔远射高出
38'科尔前场拿球，自己趟了两步后直接起脚，放了高射炮                   37'第37分钟，兰帕德传球，阿什利-科尔远射高出
38'这球科尔很着急啊，距离球门至少30米的起脚打门                   37'第37分钟，兰帕德传球，阿什利-科尔远射高出
38'马蒂奇的直塞找许尔勒，可惜没能过掉特纳的防守                   37'第37分钟，兰帕德传球，阿什利-科尔远射高出
39'诺维奇前场进攻，豪森拿球往边路走                   37'第37分钟，兰帕德传球，阿什利-科尔远射高出
40'豪森带球强吃伊万，伊万后退中突然伸腿，将球破坏                   37'第37分钟，兰帕德传球，阿什利-科尔远射高出
48'伊万                   48'第48分钟，伊万诺维奇回传，路易斯右路禁区边缘外的射门打中横梁弹回
48'可惜这传球太快，伊万上来想拿，可惜已经出了边线                   48'第48分钟，伊万诺维奇回传，路易斯右路禁区边缘外的射门打中横梁弹回
48'阿扎尔中前场拿球，连续的横带，接着分边伊万                   48'第48分钟，伊万诺维奇回传，路易斯右路禁区边缘外的射门打中横梁弹回
48'伊万再回传给到阿扎尔                   48'第48分钟，伊万诺维奇回传，路易斯右路禁区边缘外的射门打中横梁弹回
48'切尔西进攻再中横梁！！！                   48'第48分钟，伊万诺维奇回传，路易斯右路禁区边缘外的射门打中横梁弹回
50'精彩回放：阿扎尔右路拿球，转身横扫禁区，伊万插入，得球转身一脚撩射，打在横梁上弹回场内                   48'第48分钟，伊万诺维奇回传，路易斯右路禁区边缘外的射门打中横梁弹回
50'威廉前场拿球，回传马蒂奇                   48'第48分钟，伊万诺维奇回传，路易斯右路禁区边缘外的射门打中横梁弹回
51'马蒂奇再横拨给路易斯，路易斯回传特里                   48'第48分钟，伊万诺维奇回传，路易斯右路禁区边缘外的射门打中横梁弹回
51'特里分球左侧给科尔                   48'第48分钟，伊万诺维奇回传，路易斯右路禁区边缘外的射门打中横梁弹回
51'科尔的大范围转移球到右侧给阿扎尔                   48'第48分钟，伊万诺维奇回传，路易斯右路禁区边缘外的射门打中横梁弹回
51'阿扎尔面对奥尔森的防守，强突下底                   48'第48分钟，伊万诺维奇回传，路易斯右路禁区边缘外的射门打中横梁弹回
71'横切强突，豪森逼抢剪刀腿，放倒了马蒂奇                   71'诺维奇第71分钟的反击险些破门，雷蒙德直传，斯诺德格拉斯禁区右侧的射门被卡希尔飞铲出底线
71'托雷斯站在了场边，准备登场了                   71'诺维奇第71分钟的反击险些破门，雷蒙德直传，斯诺德格拉斯禁区右侧的射门被卡希尔飞铲出底线
72'诺维奇的机会啊，斯诺德格拉斯                   71'诺维奇第71分钟的反击险些破门，雷蒙德直传，斯诺德格拉斯禁区右侧的射门被卡希尔飞铲出底线
73'诺维奇后场抢断，奥尔森直塞打后卫身后，斯诺德格拉斯利用速度，前插拿到皮球，面对回防的卡希尔，小禁区还上角起脚打门，被卡希尔挡出底线                   71'诺维奇第71分钟的反击险些破门，雷蒙德直传，斯诺德格拉斯禁区右侧的射门被卡希尔飞铲出底线
73'诺维奇获得右侧角球机会                   71'诺维奇第71分钟的反击险些破门，雷蒙德直传，斯诺德格拉斯禁区右侧的射门被卡希尔飞铲出底线
73'奥尔森角球开出，没什么威胁                   71'诺维奇第71分钟的反击险些破门，雷蒙德直传，斯诺德格拉斯禁区右侧的射门被卡希尔飞铲出底线
73'切尔西换人：托雷斯上，换下马蒂奇                   71'诺维奇第71分钟的反击险些破门，雷蒙德直传，斯诺德格拉斯禁区右侧的射门被卡希尔飞铲出底线
74'阿扎尔左路拿球，内切后直塞找托雷斯                   71'诺维奇第71分钟的反击险些破门，雷蒙德直传，斯诺德格拉斯禁区右侧的射门被卡希尔飞铲出底线
74'可惜没能过去，球被惠塔克抢先拦截                   71'诺维奇第71分钟的反击险些破门，雷蒙德直传，斯诺德格拉斯禁区右侧的射门被卡希尔飞铲出底线
79'切尔西现在换人名额已经用完，看看接下来这十几分钟，能否改写比分吧                   79'第79分钟，托雷斯传球，阿扎尔禁区内的射门被鲁迪扑出，托雷斯禁区左侧补射高出
79'阿扎尔左路拿球，横切到禁区弧顶起脚打门                   79'第79分钟，托雷斯传球，阿扎尔禁区内的射门被鲁迪扑出，托雷斯禁区左侧补射高出
79'拉迪奋力将球扑出，托雷斯补射，放了高射炮                   79'第79分钟，托雷斯传球，阿扎尔禁区内的射门被鲁迪扑出，托雷斯禁区左侧补射高出
80'这脚射门，托雷斯自己也是很失望                   79'第79分钟，托雷斯传球，阿扎尔禁区内的射门被鲁迪扑出，托雷斯禁区左侧补射高出
81'许尔勒左路的进攻再次赢得角球机会                   79'第79分钟，托雷斯传球，阿扎尔禁区内的射门被鲁迪扑出，托雷斯禁区左侧补射高出
81'威廉主罚，开出到前点，卡希尔附身冲顶，顶偏                   79'第79分钟，托雷斯传球，阿扎尔禁区内的射门被鲁迪扑出，托雷斯禁区左侧补射高出
82'阿扎尔左路拿球，面对追防的斯诺德格拉斯，强突                   79'第79分钟，托雷斯传球，阿扎尔禁区内的射门被鲁迪扑出，托雷斯禁区左侧补射高出
82'结果趟球过大，鲁塞尔-马丁轻松一个协防，就将球断下啦                   79'第79分钟，托雷斯传球，阿扎尔禁区内的射门被鲁迪扑出，托雷斯禁区左侧补射高出
86'阿扎尔准备跟进补射，裁判鸣哨，越位在先                   86'第86分钟，特纳对托雷斯犯规被罚黄牌，威廉任意球传中，登巴-巴头球攻门偏出
86'特里后场防守犯规，送给诺维奇任意球机会                   86'第86分钟，特纳对托雷斯犯规被罚黄牌，威廉任意球传中，登巴-巴头球攻门偏出
86'诺维奇任意球斜传禁区，可惜没啥威胁啊                   86'第86分钟，特纳对托雷斯犯规被罚黄牌，威廉任意球传中，登巴-巴头球攻门偏出
87'托雷斯前场拿球，特纳的上抢放倒了托雷斯，犯规                   86'第86分钟，特纳对托雷斯犯规被罚黄牌，威廉任意球传中，登巴-巴头球攻门偏出
87'切尔西获得前场中路的任意球机会                   86'第86分钟，特纳对托雷斯犯规被罚黄牌，威廉任意球传中，登巴-巴头球攻门偏出
87'威廉任意球传至禁区，登巴巴的头球直接出了底线                   86'第86分钟，特纳对托雷斯犯规被罚黄牌，威廉任意球传中，登巴-巴头球攻门偏出
88'路易斯前场中路拿球，斜传分边右侧给许尔勒                   86'第86分钟，特纳对托雷斯犯规被罚黄牌，威廉任意球传中，登巴-巴头球攻门偏出
88'许尔勒的边路传中，直接被后卫解围出禁区                   86'第86分钟，特纳对托雷斯犯规被罚黄牌，威廉任意球传中，登巴-巴头球攻门偏出
89'全场比赛马上要进入补时了，可比分还是0-0                   86'第86分钟，特纳对托雷斯犯规被罚黄牌，威廉任意球传中，登巴-巴头球攻门偏出
89'诺维奇中场抢断，特泰分球到右边路                   86'第86分钟，特纳对托雷斯犯规被罚黄牌，威廉任意球传中，登巴-巴头球攻门偏出
