8'罗马前场的撞墙式配合没有打起来                   8'第8分钟，马基尼奥斯直传，德罗西在门前20米处左脚铲射被阿梅利亚得到
49'下半场开始后，米兰在前场的逼抢多了起来                   47'2分钟后，罗比尼奥禁区左侧回传，沙拉维在门前11米处射门又被布尔迪索挡出
49'罗马中场拿球给到了左路                   47'2分钟后，罗比尼奥禁区左侧回传，沙拉维在门前11米处射门又被布尔迪索挡出
49'3球领先的罗马队打得很有信心                   47'2分钟后，罗比尼奥禁区左侧回传，沙拉维在门前11米处射门又被布尔迪索挡出
49'罗马队前场挑传                   47'2分钟后，罗比尼奥禁区左侧回传，沙拉维在门前11米处射门又被布尔迪索挡出
49'这球送的有点深，队友没有接到                   47'2分钟后，罗比尼奥禁区左侧回传，沙拉维在门前11米处射门又被布尔迪索挡出
50'托蒂禁区内低射远角，球是蹭着立柱出去了！                   47'2分钟后，罗比尼奥禁区左侧回传，沙拉维在门前11米处射门又被布尔迪索挡出
49'下半场开始后，米兰在前场的逼抢多了起来                   49'下半时开始4分钟，奥斯瓦尔多塞球，托蒂禁区左侧距门10米处左脚推射偏出远门柱
49'罗马中场拿球给到了左路                   49'下半时开始4分钟，奥斯瓦尔多塞球，托蒂禁区左侧距门10米处左脚推射偏出远门柱
49'3球领先的罗马队打得很有信心                   49'下半时开始4分钟，奥斯瓦尔多塞球，托蒂禁区左侧距门10米处左脚推射偏出远门柱
49'罗马队前场挑传                   49'下半时开始4分钟，奥斯瓦尔多塞球，托蒂禁区左侧距门10米处左脚推射偏出远门柱
49'这球送的有点深，队友没有接到                   49'下半时开始4分钟，奥斯瓦尔多塞球，托蒂禁区左侧距门10米处左脚推射偏出远门柱
50'托蒂禁区内低射远角，球是蹭着立柱出去了！                   49'下半时开始4分钟，奥斯瓦尔多塞球，托蒂禁区左侧距门10米处左脚推射偏出远门柱
51'奥斯瓦尔多禁区前沿接球后给到禁区内，托蒂无人看防一脚推射稍稍打偏！                   49'下半时开始4分钟，奥斯瓦尔多塞球，托蒂禁区左侧距门10米处左脚推射偏出远门柱
51'米兰球迷看到这估计又是心一揪啊                   49'下半时开始4分钟，奥斯瓦尔多塞球，托蒂禁区左侧距门10米处左脚推射偏出远门柱
54'米兰想在罗马队想舒舒服服的打个门现在都难啊                   54'第54分钟，布尔迪索放倒沙拉维，被黄牌警告
55'布尔迪索后场防守沙拉维的时候犯规了                   54'第54分钟，布尔迪索放倒沙拉维，被黄牌警告
55'布尔迪索得到一张黄牌！                   54'第54分钟，布尔迪索放倒沙拉维，被黄牌警告
55'罗比尼奥任意球直接转向后点                   54'第54分钟，布尔迪索放倒沙拉维，被黄牌警告
55'球有些高，直接出了底线                   54'第54分钟，布尔迪索放倒沙拉维，被黄牌警告
56'米兰换人，诺切里诺下，帕齐尼上！                   54'第54分钟，布尔迪索放倒沙拉维，被黄牌警告
57'沙拉维前场拿球横向传球给到了博阿滕                   54'第54分钟，布尔迪索放倒沙拉维，被黄牌警告
57'博阿滕得球后到了禁区内                   54'第54分钟，布尔迪索放倒沙拉维，被黄牌警告
57'射门再次被封堵                   54'第54分钟，布尔迪索放倒沙拉维，被黄牌警告
57'沙拉维前场拿球横向传球给到了博阿滕                   57'第57分钟，沙拉维传球，博阿滕禁区右侧射门被封堵
57'博阿滕得球后到了禁区内                   57'第57分钟，沙拉维传球，博阿滕禁区右侧射门被封堵
57'射门再次被封堵                   57'第57分钟，沙拉维传球，博阿滕禁区右侧射门被封堵
58'托蒂中场拿球被米兰球员碰出边线                   57'第57分钟，沙拉维传球，博阿滕禁区右侧射门被封堵
58'沙拉维中场险些抢球抢断下来                   57'第57分钟，沙拉维传球，博阿滕禁区右侧射门被封堵
59'安布罗西尼中场拼抢的时候犯规了                   57'第57分钟，沙拉维传球，博阿滕禁区右侧射门被封堵
59'安布罗西尼得到一张黄牌！                   57'第57分钟，沙拉维传球，博阿滕禁区右侧射门被封堵
59'罗马中场的挑传失误了                   57'第57分钟，沙拉维传球，博阿滕禁区右侧射门被封堵
59'沙拉维回撤到中场来接球                   57'第57分钟，沙拉维传球，博阿滕禁区右侧射门被封堵
59'米兰中场送直塞打到罗马禁区内                   57'第57分钟，沙拉维传球，博阿滕禁区右侧射门被封堵
60'帕齐尼禁区内强行起脚打门为米兰赢的一个角球机会                   57'第57分钟，沙拉维传球，博阿滕禁区右侧射门被封堵
60'米兰角球给到禁区内，双方球员都没有争到                   57'第57分钟，沙拉维传球，博阿滕禁区右侧射门被封堵
60'沙拉维得球后想禁区外围打一脚                   57'第57分钟，沙拉维传球，博阿滕禁区右侧射门被封堵
59'安布罗西尼中场拼抢的时候犯规了                   59'第59分钟，博阿滕直传禁区右侧，帕齐尼推射被布尔迪索挡出底线
59'安布罗西尼得到一张黄牌！                   59'第59分钟，博阿滕直传禁区右侧，帕齐尼推射被布尔迪索挡出底线
59'罗马中场的挑传失误了                   59'第59分钟，博阿滕直传禁区右侧，帕齐尼推射被布尔迪索挡出底线
59'沙拉维回撤到中场来接球                   59'第59分钟，博阿滕直传禁区右侧，帕齐尼推射被布尔迪索挡出底线
59'米兰中场送直塞打到罗马禁区内                   59'第59分钟，博阿滕直传禁区右侧，帕齐尼推射被布尔迪索挡出底线
60'帕齐尼禁区内强行起脚打门为米兰赢的一个角球机会                   59'第59分钟，博阿滕直传禁区右侧，帕齐尼推射被布尔迪索挡出底线
60'米兰角球给到禁区内，双方球员都没有争到                   59'第59分钟，博阿滕直传禁区右侧，帕齐尼推射被布尔迪索挡出底线
60'沙拉维得球后想禁区外围打一脚                   59'第59分钟，博阿滕直传禁区右侧，帕齐尼推射被布尔迪索挡出底线
61'可惜他的这脚射门也是没有打上                   59'第59分钟，博阿滕直传禁区右侧，帕齐尼推射被布尔迪索挡出底线
61'罗马又进球了！！                   59'第59分钟，博阿滕直传禁区右侧，帕齐尼推射被布尔迪索挡出底线
61'拉梅拉！！                   59'第59分钟，博阿滕直传禁区右侧，帕齐尼推射被布尔迪索挡出底线
61'4-0！！                   59'第59分钟，博阿滕直传禁区右侧，帕齐尼推射被布尔迪索挡出底线
62'托蒂前场拿球分边给到巴尔扎雷蒂，巴尔扎雷蒂起球送到禁区内，拉梅拉头球轻松将球顶进！                   59'第59分钟，博阿滕直传禁区右侧，帕齐尼推射被布尔迪索挡出底线
62'这个球，耶佩斯冒顶了                   59'第59分钟，博阿滕直传禁区右侧，帕齐尼推射被布尔迪索挡出底线
62'今晚对于耶佩斯来说是个噩梦                   59'第59分钟，博阿滕直传禁区右侧，帕齐尼推射被布尔迪索挡出底线
64'米兰后场挑传打到中场，队友没有跑                   64'第64分钟，罗比尼奥在门前25米处大力抽射被戈伊科切亚封出，博阿滕右侧补射又被戈伊科切亚化解
64'米兰中场断球敲回到了后场                   64'第64分钟，罗比尼奥在门前25米处大力抽射被戈伊科切亚封出，博阿滕右侧补射又被戈伊科切亚化解
64'罗比尼奥前场左路得球后横向摆脱                   64'第64分钟，罗比尼奥在门前25米处大力抽射被戈伊科切亚封出，博阿滕右侧补射又被戈伊科切亚化解
65'禁区外围罗比尼奥的远射被戈伊科切亚扑出                   64'第64分钟，罗比尼奥在门前25米处大力抽射被戈伊科切亚封出，博阿滕右侧补射又被戈伊科切亚化解
65'博阿滕跟进的补时又是被戈伊科切亚扑住                   64'第64分钟，罗比尼奥在门前25米处大力抽射被戈伊科切亚封出，博阿滕右侧补射又被戈伊科切亚化解
65'阿梅利亚后场的拿球险些将球趟给了对方                   64'第64分钟，罗比尼奥在门前25米处大力抽射被戈伊科切亚封出，博阿滕右侧补射又被戈伊科切亚化解
66'禁区边缘博阿滕的传球太过草率                   64'第64分钟，罗比尼奥在门前25米处大力抽射被戈伊科切亚封出，博阿滕右侧补射又被戈伊科切亚化解
67'托蒂外脚背传给了皮亚尼奇                   64'第64分钟，罗比尼奥在门前25米处大力抽射被戈伊科切亚封出，博阿滕右侧补射又被戈伊科切亚化解
67'皮亚尼奇禁区内直接也是外脚背打了一脚                   64'第64分钟，罗比尼奥在门前25米处大力抽射被戈伊科切亚封出，博阿滕右侧补射又被戈伊科切亚化解
67'射门的时候没有打正部位，可惜了                   64'第64分钟，罗比尼奥在门前25米处大力抽射被戈伊科切亚封出，博阿滕右侧补射又被戈伊科切亚化解
67'罗马队这边要准备进行人员调整了                   64'第64分钟，罗比尼奥在门前25米处大力抽射被戈伊科切亚封出，博阿滕右侧补射又被戈伊科切亚化解
71'罗马这边被换上的是弗洛伦齐和德斯特罗被换上场                   71'第71分钟，博扬禁区左侧底线传中，博阿滕后点头球被戈伊科切亚封出，再次补射又击中门柱弹回，蒙托利沃在门前13米处左脚推射被戈伊科切亚抱住
71'博阿滕禁区内的补射打在了立柱上                   71'第71分钟，博扬禁区左侧底线传中，博阿滕后点头球被戈伊科切亚封出，再次补射又击中门柱弹回，蒙托利沃在门前13米处左脚推射被戈伊科切亚抱住
72'精彩回放：米兰左路拿球到了禁区内后挑传，博阿滕第一下射门被门将挡出，第二下再补被立柱挡出                   71'第71分钟，博扬禁区左侧底线传中，博阿滕后点头球被戈伊科切亚封出，再次补射又击中门柱弹回，蒙托利沃在门前13米处左脚推射被戈伊科切亚抱住
73'博扬禁区内打门被戈伊科切亚扑出！                   71'第71分钟，博扬禁区左侧底线传中，博阿滕后点头球被戈伊科切亚封出，再次补射又击中门柱弹回，蒙托利沃在门前13米处左脚推射被戈伊科切亚抱住
73'沙拉维角球给到中路，球被罗马队顶出                   71'第71分钟，博扬禁区左侧底线传中，博阿滕后点头球被戈伊科切亚封出，再次补射又击中门柱弹回，蒙托利沃在门前13米处左脚推射被戈伊科切亚抱住
74'康斯坦特中场防守的时候犯规了                   71'第71分钟，博扬禁区左侧底线传中，博阿滕后点头球被戈伊科切亚封出，再次补射又击中门柱弹回，蒙托利沃在门前13米处左脚推射被戈伊科切亚抱住
78'弗洛伦齐底线拿球造角球机会                   78'第78分钟，沙拉维左路挑球击中马基尼奥斯左臂，马基尼奥斯被红牌罚下
78'罗马队战术角球开出，威胁不大                   78'第78分钟，沙拉维左路挑球击中马基尼奥斯左臂，马基尼奥斯被红牌罚下
78'沙拉维前场突破准备挑传过人的时候被马基尼奥斯用手挡下                   78'第78分钟，沙拉维左路挑球击中马基尼奥斯左臂，马基尼奥斯被红牌罚下
79'马基尼奥斯直接被红牌罚下                   78'第78分钟，沙拉维左路挑球击中马基尼奥斯左臂，马基尼奥斯被红牌罚下
79'而罗马队这边刚要准备进行换人，估计又要重新调整了                   78'第78分钟，沙拉维左路挑球击中马基尼奥斯左臂，马基尼奥斯被红牌罚下
79'米兰任意球送到后点，球先出了底线                   78'第78分钟，沙拉维左路挑球击中马基尼奥斯左臂，马基尼奥斯被红牌罚下
80'罗马队这边，罗马格洛里要准备登场                   78'第78分钟，沙拉维左路挑球击中马基尼奥斯左臂，马基尼奥斯被红牌罚下
80'米兰中场长传，帕齐尼接球的时候处在了越位的位置上                   78'第78分钟，沙拉维左路挑球击中马基尼奥斯左臂，马基尼奥斯被红牌罚下
81'罗马换人，托蒂下，罗马格洛里上！                   78'第78分钟，沙拉维左路挑球击中马基尼奥斯左臂，马基尼奥斯被红牌罚下
81'梅克斯防守的时候动作有些大                   78'第78分钟，沙拉维左路挑球击中马基尼奥斯左臂，马基尼奥斯被红牌罚下
81'梅克斯得到一张黄牌！                   78'第78分钟，沙拉维左路挑球击中马基尼奥斯左臂，马基尼奥斯被红牌罚下
87'米兰角球开出并没有往禁区内走                   87'第87分钟，蒙塔里在门前30米处左脚大力低射造成，帕齐尼跟上补射被戈伊科切亚扑倒，点球
87'禁区外围蒙塔里的远射造成戈伊科切亚脱手                   87'第87分钟，蒙塔里在门前30米处左脚大力低射造成，帕齐尼跟上补射被戈伊科切亚扑倒，点球
87'帕齐尼上前补射被戈伊科切亚扑倒                   87'第87分钟，蒙塔里在门前30米处左脚大力低射造成，帕齐尼跟上补射被戈伊科切亚扑倒，点球
87'米兰获得点球！                   87'第87分钟，蒙塔里在门前30米处左脚大力低射造成，帕齐尼跟上补射被戈伊科切亚扑倒，点球
87'戈伊科切亚得到一张黄牌！                   87'第87分钟，蒙塔里在门前30米处左脚大力低射造成，帕齐尼跟上补射被戈伊科切亚扑倒，点球
87'帕齐尼亲自主罚将球打进！                   87'第87分钟，蒙塔里在门前30米处左脚大力低射造成，帕齐尼跟上补射被戈伊科切亚扑倒，点球
88'帕齐尼低平球打中路，成功骗过了门将                   87'第87分钟，蒙塔里在门前30米处左脚大力低射造成，帕齐尼跟上补射被戈伊科切亚扑倒，点球
88'米兰又进球了！！                   87'第87分钟，蒙塔里在门前30米处左脚大力低射造成，帕齐尼跟上补射被戈伊科切亚扑倒，点球
88'博扬！！                   87'第87分钟，蒙塔里在门前30米处左脚大力低射造成，帕齐尼跟上补射被戈伊科切亚扑倒，点球
89'沙拉维左路起球送到禁区内，帕齐尼头球攻门被戈伊科切亚防了下来，博扬跟进补射将球打进！                   87'第87分钟，蒙塔里在门前30米处左脚大力低射造成，帕齐尼跟上补射被戈伊科切亚扑倒，点球
90'米兰在最后时刻突然爆发                   87'第87分钟，蒙塔里在门前30米处左脚大力低射造成，帕齐尼跟上补射被戈伊科切亚扑倒，点球
90'米兰右路起球送到禁区内，戈伊科切亚将球得到                   87'第87分钟，蒙塔里在门前30米处左脚大力低射造成，帕齐尼跟上补射被戈伊科切亚扑倒，点球
90'沙拉维左路拿球将球回敲                   87'第87分钟，蒙塔里在门前30米处左脚大力低射造成，帕齐尼跟上补射被戈伊科切亚扑倒，点球
