1'上半场比赛开始！！！                   1'皇马第1分钟占据主动
23'皇马前场进攻，右路传中                   22'华沙莱吉亚第22分钟扳回一城，达尼洛禁区内对拉多维奇犯规，后者亲自主罚点球命中，1-2
23'混战中，本泽马的抽射，被马拉兹双拳打出                   22'华沙莱吉亚第22分钟扳回一城，达尼洛禁区内对拉多维奇犯规，后者亲自主罚点球命中，1-2
24'J罗左路拿球，再传禁区，出了底线！！                   22'华沙莱吉亚第22分钟扳回一城，达尼洛禁区内对拉多维奇犯规，后者亲自主罚点球命中，1-2
25'拉多维奇前场拿球，和库查茨克的配合                   22'华沙莱吉亚第22分钟扳回一城，达尼洛禁区内对拉多维奇犯规，后者亲自主罚点球命中，1-2
25'可惜库查茨克分球力量太大，被纳瓦斯轻松控制                   22'华沙莱吉亚第22分钟扳回一城，达尼洛禁区内对拉多维奇犯规，后者亲自主罚点球命中，1-2
25'本泽马前场拿球，分边左侧给跟进的马塞洛                   22'华沙莱吉亚第22分钟扳回一城，达尼洛禁区内对拉多维奇犯规，后者亲自主罚点球命中，1-2
38'阿森西奥前场拿球，分球右侧给达尼洛，达尼洛强突横传禁区给C罗，C罗背身拿球，遭遇三人围抢，外脚背分球给跟进的阿森西奥，阿森西奥不停球直接起脚推射，打进球门右下方！                   37'皇马第37分钟重新拉开差距，达尼洛传中，C罗12码处停球欠佳后及时回敲，阿森西奥禁区边缘低射入网，3-1
38'这球马拉兹判断错了防线，先将身体向球门左侧移到了                   37'皇马第37分钟重新拉开差距，达尼洛传中，C罗12码处停球欠佳后及时回敲，阿森西奥禁区边缘低射入网，3-1
39'吉列尔梅右路拿球，内切往禁区走                   37'皇马第37分钟重新拉开差距，达尼洛传中，C罗12码处停球欠佳后及时回敲，阿森西奥禁区边缘低射入网，3-1
39'禁区线上回传给中间的拉多维奇                   37'皇马第37分钟重新拉开差距，达尼洛传中，C罗12码处停球欠佳后及时回敲，阿森西奥禁区边缘低射入网，3-1
40'拉多维奇再给右侧套边上来的贝雷斯兹尼奇                   37'皇马第37分钟重新拉开差距，达尼洛传中，C罗12码处停球欠佳后及时回敲，阿森西奥禁区边缘低射入网，3-1
40'贝雷斯兹尼奇横传找吉列尔梅，被马塞洛拦截                   37'皇马第37分钟重新拉开差距，达尼洛传中，C罗12码处停球欠佳后及时回敲，阿森西奥禁区边缘低射入网，3-1
40'贝尔前场拿球，斜塞想给C罗                   37'皇马第37分钟重新拉开差距，达尼洛传中，C罗12码处停球欠佳后及时回敲，阿森西奥禁区边缘低射入网，3-1
40'可惜力量有点大，被马拉兹出击拿到！                   37'皇马第37分钟重新拉开差距，达尼洛传中，C罗12码处停球欠佳后及时回敲，阿森西奥禁区边缘低射入网，3-1
68'C罗左路拿球，强突下底                   68'皇马第68分钟锁定胜局，莫拉塔左路突破传中，无人防守的卢卡斯-巴斯克斯10码处第一时间半凌空抽射入网，4-1
68'4-1！！！巴斯克斯！！！！                   68'皇马第68分钟锁定胜局，莫拉塔左路突破传中，无人防守的卢卡斯-巴斯克斯10码处第一时间半凌空抽射入网，4-1
70'莫拉塔左路拿球，强突下底后传中到后点，巴斯克斯无人防守，跟进一脚抽射，打进！                   68'皇马第68分钟锁定胜局，莫拉塔左路突破传中，无人防守的卢卡斯-巴斯克斯10码处第一时间半凌空抽射入网，4-1
70'进球后的巴斯克斯很高兴，莫拉塔也很兴奋，两人拥抱庆祝！                   68'皇马第68分钟锁定胜局，莫拉塔左路突破传中，无人防守的卢卡斯-巴斯克斯10码处第一时间半凌空抽射入网，4-1
70'克罗斯中圈拿球，分球给到阿森西奥                   68'皇马第68分钟锁定胜局，莫拉塔左路突破传中，无人防守的卢卡斯-巴斯克斯10码处第一时间半凌空抽射入网，4-1
70'阿森西奥再给本泽马，被断啦！！                   68'皇马第68分钟锁定胜局，莫拉塔左路突破传中，无人防守的卢卡斯-巴斯克斯10码处第一时间半凌空抽射入网，4-1
71'华沙军团的反击，赫劳塞克左路拿球，内切后起脚打远角，滑门而出，出底线！                   68'皇马第68分钟锁定胜局，莫拉塔左路突破传中，无人防守的卢卡斯-巴斯克斯10码处第一时间半凌空抽射入网，4-1
85'来自C罗的助攻！！                   85'第85分钟，C罗突破吸引防守后直传，莫拉塔禁区左肋8码处射入近角，5-1
86'科瓦契奇中圈断球，直塞给到前场的C罗，C罗背身拿球遭遇多人围抢，转身一推，给到禁区左侧的莫拉塔，莫拉塔得球稍作调整，起脚抽射，打进！                   85'第85分钟，C罗突破吸引防守后直传，莫拉塔禁区左肋8码处射入近角，5-1
87'华沙军团前场进攻，卡扎伊什维利分球到禁区                   85'第85分钟，C罗突破吸引防守后直传，莫拉塔禁区左肋8码处射入近角，5-1
87'瓦拉内回防解围，直接停给了尼克尼奇                   85'第85分钟，C罗突破吸引防守后直传，莫拉塔禁区左肋8码处射入近角，5-1
87'尼克尼奇趟球强突，面对佩佩防守，小角度打门，被挡出底线                   85'第85分钟，C罗突破吸引防守后直传，莫拉塔禁区左肋8码处射入近角，5-1
88'华沙军团的右侧角球机会，没能形成威胁！！                   85'第85分钟，C罗突破吸引防守后直传，莫拉塔禁区左肋8码处射入近角，5-1
88'皇马前场再攻，C罗的转身抽射，被马拉兹封堵出底线！                   85'第85分钟，C罗突破吸引防守后直传，莫拉塔禁区左肋8码处射入近角，5-1
88'皇马左侧角球机会，战术球！！                   85'第85分钟，C罗突破吸引防守后直传，莫拉塔禁区左肋8码处射入近角，5-1
88'马塞洛分球再找克罗斯，没停好，出了边线！                   85'第85分钟，C罗突破吸引防守后直传，莫拉塔禁区左肋8码处射入近角，5-1
