5'因为巴萨高层迟迟不愿意与他续约                   5'第5分钟，阿夸弗雷斯卡传球，鲁文-加西亚禁区前的射门偏出
20'小白现在的传球越来越有大师风范                   18'第18分钟，鲁文-加西亚突入禁区弧内抽射高出
20'巴萨的角球传中...被后卫解围了                   18'第18分钟，鲁文-加西亚突入禁区弧内抽射高出
20'阿比~抢先卡位，挤开阿夸弗雷斯卡！把球抢断了下来                   18'第18分钟，鲁文-加西亚突入禁区弧内抽射高出
21'巴萨的反击~                   18'第18分钟，鲁文-加西亚突入禁区弧内抽射高出
21'小法这个直传球推的太大了，他以为特略是博尔特哪                   18'第18分钟，鲁文-加西亚突入禁区弧内抽射高出
20'特略插上没有越位！传中球可惜被后卫解围了                   20'第20分钟，埃尔萨尔传中，鲁文-加西亚禁区左侧的射门被封堵
20'又是巴萨的角球                   20'第20分钟，埃尔萨尔传中，鲁文-加西亚禁区左侧的射门被封堵
20'小白现在的传球越来越有大师风范                   20'第20分钟，埃尔萨尔传中，鲁文-加西亚禁区左侧的射门被封堵
20'巴萨的角球传中...被后卫解围了                   20'第20分钟，埃尔萨尔传中，鲁文-加西亚禁区左侧的射门被封堵
20'阿比~抢先卡位，挤开阿夸弗雷斯卡！把球抢断了下来                   20'第20分钟，埃尔萨尔传中，鲁文-加西亚禁区左侧的射门被封堵
21'巴萨的反击~                   20'第20分钟，埃尔萨尔传中，鲁文-加西亚禁区左侧的射门被封堵
21'小法这个直传球推的太大了，他以为特略是博尔特哪                   20'第20分钟，埃尔萨尔传中，鲁文-加西亚禁区左侧的射门被封堵
22'今天诺坎普几乎没有发出什么加油声                   20'第20分钟，埃尔萨尔传中，鲁文-加西亚禁区左侧的射门被封堵
23'西班牙球迷在用行动安慰雅安地震中的受灾的人们                   20'第20分钟，埃尔萨尔传中，鲁文-加西亚禁区左侧的射门被封堵
23'而且赛前两队为地震默哀的一幕让人感动                   20'第20分钟，埃尔萨尔传中，鲁文-加西亚禁区左侧的射门被封堵
23'特略~~~                   20'第20分钟，埃尔萨尔传中，鲁文-加西亚禁区左侧的射门被封堵
32'小白丢球之后有个绊人的动作                   32'第32分钟，蒂亚戈直传，特略禁区左侧10码处第一时间扫射打在边网
32'裁判吹了犯规，莱万特的后场定位球                   32'第32分钟，蒂亚戈直传，特略禁区左侧10码处第一时间扫射打在边网
32'点球之后比赛有些闷了                   32'第32分钟，蒂亚戈直传，特略禁区左侧10码处第一时间扫射打在边网
32'今天锋线上的小法经常回撤                   32'第32分钟，蒂亚戈直传，特略禁区左侧10码处第一时间扫射打在边网
33'而阿尔维斯的位置相当靠前，反倒成了边锋                   32'第32分钟，蒂亚戈直传，特略禁区左侧10码处第一时间扫射打在边网
33'特略~~~凌空推射！打在了边网上                   32'第32分钟，蒂亚戈直传，特略禁区左侧10码处第一时间扫射打在边网
33'蒂亚戈给特略的传球恰好越过后卫头顶，可惜啊                   32'第32分钟，蒂亚戈直传，特略禁区左侧10码处第一时间扫射打在边网
34'蒂亚戈被迪奥普从身后铲倒                   32'第32分钟，蒂亚戈直传，特略禁区左侧10码处第一时间扫射打在边网
34'裁判给了一张黄牌                   32'第32分钟，蒂亚戈直传，特略禁区左侧10码处第一时间扫射打在边网
34'巴萨获得了一个远距离定位球                   32'第32分钟，蒂亚戈直传，特略禁区左侧10码处第一时间扫射打在边网
34'阿尔维斯直接打门~~~门将一个侧扑！                   32'第32分钟，蒂亚戈直传，特略禁区左侧10码处第一时间扫射打在边网
34'纳瓦斯太无敌了                   32'第32分钟，蒂亚戈直传，特略禁区左侧10码处第一时间扫射打在边网
34'点球、小法的近距离补射、阿尔维斯的定位球...全都被扑出                   32'第32分钟，蒂亚戈直传，特略禁区左侧10码处第一时间扫射打在边网
35'巴萨战术定位球，小白的突破~~自己倒地了                   32'第32分钟，蒂亚戈直传，特略禁区左侧10码处第一时间扫射打在边网
35'而比利亚~带球并不是他的强项                   32'第32分钟，蒂亚戈直传，特略禁区左侧10码处第一时间扫射打在边网
35'在对方两名后卫的逼抢下，比利亚传中没有踢正部位                   32'第32分钟，蒂亚戈直传，特略禁区左侧10码处第一时间扫射打在边网
34'蒂亚戈被迪奥普从身后铲倒                   34'第34分钟，阿尔维斯35码处任意球远射被纳瓦斯扑出
34'裁判给了一张黄牌                   34'第34分钟，阿尔维斯35码处任意球远射被纳瓦斯扑出
34'巴萨获得了一个远距离定位球                   34'第34分钟，阿尔维斯35码处任意球远射被纳瓦斯扑出
34'阿尔维斯直接打门~~~门将一个侧扑！                   34'第34分钟，阿尔维斯35码处任意球远射被纳瓦斯扑出
34'纳瓦斯太无敌了                   34'第34分钟，阿尔维斯35码处任意球远射被纳瓦斯扑出
34'点球、小法的近距离补射、阿尔维斯的定位球...全都被扑出                   34'第34分钟，阿尔维斯35码处任意球远射被纳瓦斯扑出
35'巴萨战术定位球，小白的突破~~自己倒地了                   34'第34分钟，阿尔维斯35码处任意球远射被纳瓦斯扑出
35'而比利亚~带球并不是他的强项                   34'第34分钟，阿尔维斯35码处任意球远射被纳瓦斯扑出
35'在对方两名后卫的逼抢下，比利亚传中没有踢正部位                   34'第34分钟，阿尔维斯35码处任意球远射被纳瓦斯扑出
36'小白再次杀入禁区~                   34'第34分钟，阿尔维斯35码处任意球远射被纳瓦斯扑出
36'可惜球还是丢了                   34'第34分钟，阿尔维斯35码处任意球远射被纳瓦斯扑出
37'cule-jordi瞳:柠檬你慢了不只一分钟啊。。。--wap本来就有点延迟的                   34'第34分钟，阿尔维斯35码处任意球远射被纳瓦斯扑出
37'蒂亚戈~~~摆脱了巴克罗！                   34'第34分钟，阿尔维斯35码处任意球远射被纳瓦斯扑出
37'禁区外远射~打在了后卫身上                   34'第34分钟，阿尔维斯35码处任意球远射被纳瓦斯扑出
44'阿夸弗雷斯卡~接应队友的直塞！越位了                   44'第44分钟，亚历山大-宋传球，比利亚禁区弧边缘左脚半凌空抽射，皮球偏转后又被纳瓦斯神勇救出
44'又是门将！！！                   44'第44分钟，亚历山大-宋传球，比利亚禁区弧边缘左脚半凌空抽射，皮球偏转后又被纳瓦斯神勇救出
44'比利亚~左脚的远射，角度已经很刁钻了                   44'第44分钟，亚历山大-宋传球，比利亚禁区弧边缘左脚半凌空抽射，皮球偏转后又被纳瓦斯神勇救出
44'但是门将还是能够将球扑出                   44'第44分钟，亚历山大-宋传球，比利亚禁区弧边缘左脚半凌空抽射，皮球偏转后又被纳瓦斯神勇救出
46'莱万特左路传中，阿比轻松的把球敲给了阿德里亚诺                   44'第44分钟，亚历山大-宋传球，比利亚禁区弧边缘左脚半凌空抽射，皮球偏转后又被纳瓦斯神勇救出
46'下半场开始了！                   44'第44分钟，亚历山大-宋传球，比利亚禁区弧边缘左脚半凌空抽射，皮球偏转后又被纳瓦斯神勇救出
46'两队都不换人，比赛继续                   44'第44分钟，亚历山大-宋传球，比利亚禁区弧边缘左脚半凌空抽射，皮球偏转后又被纳瓦斯神勇救出
46'特球王边路带球~                   44'第44分钟，亚历山大-宋传球，比利亚禁区弧边缘左脚半凌空抽射，皮球偏转后又被纳瓦斯神勇救出
46'横传小法的时候失误了                   44'第44分钟，亚历山大-宋传球，比利亚禁区弧边缘左脚半凌空抽射，皮球偏转后又被纳瓦斯神勇救出
46'加西亚扣球摆脱了蒂亚戈~                   44'第44分钟，亚历山大-宋传球，比利亚禁区弧边缘左脚半凌空抽射，皮球偏转后又被纳瓦斯神勇救出
46'蒂亚戈倒地放铲，犯规了                   44'第44分钟，亚历山大-宋传球，比利亚禁区弧边缘左脚半凌空抽射，皮球偏转后又被纳瓦斯神勇救出
47'莱万特右路发动攻势~传中球被阿德解围出了边线                   44'第44分钟，亚历山大-宋传球，比利亚禁区弧边缘左脚半凌空抽射，皮球偏转后又被纳瓦斯神勇救出
47'阿夸弗雷斯卡~~~                   44'第44分钟，亚历山大-宋传球，比利亚禁区弧边缘左脚半凌空抽射，皮球偏转后又被纳瓦斯神勇救出
47'球虽然进了，但是越位了                   44'第44分钟，亚历山大-宋传球，比利亚禁区弧边缘左脚半凌空抽射，皮球偏转后又被纳瓦斯神勇救出
59'特略~球传得有些不靠谱                   59'第59分钟，哈维替换伊涅斯塔出场
59'阿夸弗雷斯卡！越位位置回接                   59'第59分钟，哈维替换伊涅斯塔出场
59'换下了伊涅斯塔，换上哈维                   59'第59分钟，哈维替换伊涅斯塔出场
59'这么早就下去，是该为打拜仁做准备了                   59'第59分钟，哈维替换伊涅斯塔出场
60'哈维被推倒了                   59'第59分钟，哈维替换伊涅斯塔出场
60'裁判没有吹罚，引起了不小的嘘声                   59'第59分钟，哈维替换伊涅斯塔出场
60'裁判上半场那个点球吹罚之后...                   59'第59分钟，哈维替换伊涅斯塔出场
60'很多可以吹罚莱万特犯规的都没吹                   59'第59分钟，哈维替换伊涅斯塔出场
60'裁判这明显是在找补啊                   59'第59分钟，哈维替换伊涅斯塔出场
62'莱万特随时保持禁区前沿有9个防守球员                   59'第59分钟，哈维替换伊涅斯塔出场
62'下半场巴萨没什么好机会啊                   59'第59分钟，哈维替换伊涅斯塔出场
62'阿尔维斯给比利亚的挑传球，出了底线                   59'第59分钟，哈维替换伊涅斯塔出场
67'战术角球！阿尔维斯起脚远射！打得太偏了                   67'第67分钟，哈维传球，阿尔维斯禁区前抽射偏出
67'巴萨换下了蒂亚戈，换上佩德罗                   67'第67分钟，哈维传球，阿尔维斯禁区前抽射偏出
67'蒂亚戈今天表现还可以，几次威胁传球可惜队友没能把握住                   67'第67分钟，哈维传球，阿尔维斯禁区前抽射偏出
69'哈维的长传球准确找到特略~                   67'第67分钟，哈维传球，阿尔维斯禁区前抽射偏出
69'可是这次硬突又是自己把球带出了底线                   67'第67分钟，哈维传球，阿尔维斯禁区前抽射偏出
70'特略的最大的特点是速度，现在这种压迫式打法并不太适合他                   67'第67分钟，哈维传球，阿尔维斯禁区前抽射偏出
70'球就在莱万特的禁区前传来传去                   67'第67分钟，哈维传球，阿尔维斯禁区前抽射偏出
70'可是却很难进入禁区                   67'第67分钟，哈维传球，阿尔维斯禁区前抽射偏出
74'                    74'第74分钟，特略传球，哈维22码处的射门仍然偏出
75'桑切斯也要上场                   74'第74分钟，特略传球，哈维22码处的射门仍然偏出
75'莱万特的大巴车摆得不错                   74'第74分钟，特略传球，哈维22码处的射门仍然偏出
76'巴萨这是要打4前锋？                   74'第74分钟，特略传球，哈维22码处的射门仍然偏出
76'换下了特略，换上桑切斯                   74'第74分钟，特略传球，哈维22码处的射门仍然偏出
76'特球王上一场梅开二度一战成名                   74'第74分钟，特略传球，哈维22码处的射门仍然偏出
77'现在可就被莱万特重视起来，盯得太死                   74'第74分钟，特略传球，哈维22码处的射门仍然偏出
82'上半场他还浪费了一个点球机会                   82'第82分钟，桑切斯禁区右侧底线附近奋力送出传中球，但无人防守的比利亚却在点球点附近将皮球射飞
82'佩德罗为巴萨赢得了一个角球                   82'第82分钟，桑切斯禁区右侧底线附近奋力送出传中球，但无人防守的比利亚却在点球点附近将皮球射飞
82'巴萨的角球配合~横传门前！                   82'第82分钟，桑切斯禁区右侧底线附近奋力送出传中球，但无人防守的比利亚却在点球点附近将皮球射飞
82'没人哪                   82'第82分钟，桑切斯禁区右侧底线附近奋力送出传中球，但无人防守的比利亚却在点球点附近将皮球射飞
83'空门的机会了，可惜包抄不到位                   82'第82分钟，桑切斯禁区右侧底线附近奋力送出传中球，但无人防守的比利亚却在点球点附近将皮球射飞
83'小法！！！                   82'第82分钟，桑切斯禁区右侧底线附近奋力送出传中球，但无人防守的比利亚却在点球点附近将皮球射飞
83'Gooooooooooooal~~~~                   82'第82分钟，桑切斯禁区右侧底线附近奋力送出传中球，但无人防守的比利亚却在点球点附近将皮球射飞
84'桑切斯的助攻~跟小法真是越来越默契                   82'第82分钟，桑切斯禁区右侧底线附近奋力送出传中球，但无人防守的比利亚却在点球点附近将皮球射飞
84'桑切斯禁区角上的横敲~小法点球点！迎球推射！将球送入了球门左下角！                   82'第82分钟，桑切斯禁区右侧底线附近奋力送出传中球，但无人防守的比利亚却在点球点附近将皮球射飞
85'小法闷了大半场了                   82'第82分钟，桑切斯禁区右侧底线附近奋力送出传中球，但无人防守的比利亚却在点球点附近将皮球射飞
85'终于逮着这次机会                   82'第82分钟，桑切斯禁区右侧底线附近奋力送出传中球，但无人防守的比利亚却在点球点附近将皮球射飞
88'佩刀抢到第二点~摆脱了后卫就是一脚抽射，门将单掌把球托出了底线                   88'第88分钟，法布雷加斯25码处劲射被扑出，佩德罗禁区左侧小角度射门也被纳瓦斯托出横梁
88'纳瓦斯连续两次漂亮的扑救                   88'第88分钟，法布雷加斯25码处劲射被扑出，佩德罗禁区左侧小角度射门也被纳瓦斯托出横梁
88'虽然丢了一个球，但是我相信纳瓦斯才是本场最佳                   88'第88分钟，法布雷加斯25码处劲射被扑出，佩德罗禁区左侧小角度射门也被纳瓦斯托出横梁
88'洛佩兹因为不满裁判吹罚，在哨声响起之后还把球踢了一脚                   88'第88分钟，法布雷加斯25码处劲射被扑出，佩德罗禁区左侧小角度射门也被纳瓦斯托出横梁
89'结果被裁判出示了一张黄牌                   88'第88分钟，法布雷加斯25码处劲射被扑出，佩德罗禁区左侧小角度射门也被纳瓦斯托出横梁
89'莱万特换上罗格，换下加西亚                   88'第88分钟，法布雷加斯25码处劲射被扑出，佩德罗禁区左侧小角度射门也被纳瓦斯托出横梁
90'哈维脚后跟妙传~                   88'第88分钟，法布雷加斯25码处劲射被扑出，佩德罗禁区左侧小角度射门也被纳瓦斯托出横梁
90'桑切斯在对方后卫包夹面前，球丢了                   88'第88分钟，法布雷加斯25码处劲射被扑出，佩德罗禁区左侧小角度射门也被纳瓦斯托出横梁
90'下半场补时3分钟                   88'第88分钟，法布雷加斯25码处劲射被扑出，佩德罗禁区左侧小角度射门也被纳瓦斯托出横梁
91'巴萨战术角球                   88'第88分钟，法布雷加斯25码处劲射被扑出，佩德罗禁区左侧小角度射门也被纳瓦斯托出横梁
91'明显是要把时间磨光                   88'第88分钟，法布雷加斯25码处劲射被扑出，佩德罗禁区左侧小角度射门也被纳瓦斯托出横梁
91'蒙托亚在中场抢球犯规                   88'第88分钟，法布雷加斯25码处劲射被扑出，佩德罗禁区左侧小角度射门也被纳瓦斯托出横梁
