22'延边这边获得点球！！！                   22'第22分钟，斯蒂夫制造点球，斯蒂夫亲自操刀主罚命中
50'延边队前场右路的任意球                   47'第47分钟，佩莱头球摆渡，塔尔德利跟进直接凌空抽射偏出
50'距离球门有些远                   47'第47分钟，佩莱头球摆渡，塔尔德利跟进直接凌空抽射偏出
50'任意球也是将球回敲                   47'第47分钟，佩莱头球摆渡，塔尔德利跟进直接凌空抽射偏出
58'延边富德左路低平球给到禁区                   57'第57分钟，尹比加兰斜传发动反击，韩光徽边路突入禁区横传，金波禁区内抢点射门，球被王大雷没收
58'后点无人看防推射被王大雷扑了一下                   57'第57分钟，尹比加兰斜传发动反击，韩光徽边路突入禁区横传，金波禁区内抢点射门，球被王大雷没收
58'球往门里滚                   57'第57分钟，尹比加兰斜传发动反击，韩光徽边路突入禁区横传，金波禁区内抢点射门，球被王大雷没收
58'王大雷第二反应很快将球压在身下                   57'第57分钟，尹比加兰斜传发动反击，韩光徽边路突入禁区横传，金波禁区内抢点射门，球被王大雷没收
58'这球也是比较的危险                   57'第57分钟，尹比加兰斜传发动反击，韩光徽边路突入禁区横传，金波禁区内抢点射门，球被王大雷没收
60'延边富德前场送直塞到禁区                   57'第57分钟，尹比加兰斜传发动反击，韩光徽边路突入禁区横传，金波禁区内抢点射门，球被王大雷没收
60'斯蒂夫接球的时候越位了                   57'第57分钟，尹比加兰斜传发动反击，韩光徽边路突入禁区横传，金波禁区内抢点射门，球被王大雷没收
60'延边富德前场送直塞到禁区                   60'第60分钟，尹比加兰主罚角球准确找到高点，古兹米奇头球攻门被王大雷没收
60'斯蒂夫接球的时候越位了                   60'第60分钟，尹比加兰主罚角球准确找到高点，古兹米奇头球攻门被王大雷没收
63'鲁能中场控球                   60'第60分钟，尹比加兰主罚角球准确找到高点，古兹米奇头球攻门被王大雷没收
63'并不着急进攻                   60'第60分钟，尹比加兰主罚角球准确找到高点，古兹米奇头球攻门被王大雷没收
69'角球送中路                   69'第69分钟，尹比加兰角球传中，古兹米奇力压戴琳头球攻门高出横梁
69'王大雷出击冒了                   69'第69分钟，尹比加兰角球传中，古兹米奇力压戴琳头球攻门高出横梁
69'后点的队友头球顶高了                   69'第69分钟，尹比加兰角球传中，古兹米奇力压戴琳头球攻门高出横梁
69'攻门的是古兹米奇                   69'第69分钟，尹比加兰角球传中，古兹米奇力压戴琳头球攻门高出横梁
46'上半场补时1分钟！！                   46'1分钟后，周海滨禁区外远射又放了高射炮
46'鲁能中场拿球往前走                   46'1分钟后，周海滨禁区外远射又放了高射炮
46'金敬道接球后内切                   46'1分钟后，周海滨禁区外远射又放了高射炮
46'禁区内起球送中路                   46'1分钟后，周海滨禁区外远射又放了高射炮
46'佩莱甩头攻门将球顶偏                   46'1分钟后，周海滨禁区外远射又放了高射炮
46'金敬道右路突破上来                   46'1分钟后，周海滨禁区外远射又放了高射炮
46'内切的时候被断了                   46'1分钟后，周海滨禁区外远射又放了高射炮
46'下半场比赛开始！！                   46'1分钟后，周海滨禁区外远射又放了高射炮
46'下半场比赛由延边富德开球                   46'1分钟后，周海滨禁区外远射又放了高射炮
47'刘洋左路拿球控一下                   46'1分钟后，周海滨禁区外远射又放了高射炮
47'鲁能将球给到禁区前沿                   46'1分钟后，周海滨禁区外远射又放了高射炮
47'队友回做下来                   46'1分钟后，周海滨禁区外远射又放了高射炮
47'塔尔德利跟进抽射将球打偏                   46'1分钟后，周海滨禁区外远射又放了高射炮
47'这球还是非常有威胁的                   46'1分钟后，周海滨禁区外远射又放了高射炮
48'朴世豪中场拿球控一下                   46'1分钟后，周海滨禁区外远射又放了高射炮
49'双方中场休息的时候都进行了人员调整                   46'1分钟后，周海滨禁区外远射又放了高射炮
49'延边队这边                   46'1分钟后，周海滨禁区外远射又放了高射炮
49'李龙下，金波上！                   46'1分钟后，周海滨禁区外远射又放了高射炮
49'山东鲁能这边                   46'1分钟后，周海滨禁区外远射又放了高射炮
49'崔巍下，齐天羽上！                   46'1分钟后，周海滨禁区外远射又放了高射炮
76'双方现在机会都有                   76'第76分钟，周海滨防守犯规吃到黄牌
76'就看谁能把握了                   76'第76分钟，周海滨防守犯规吃到黄牌
76'下半场已经过了30分钟                   76'第76分钟，周海滨防守犯规吃到黄牌
76'还剩下最后的15分钟，比分还是1-1                   76'第76分钟，周海滨防守犯规吃到黄牌
77'周海滨防守的时候犯规                   76'第76分钟，周海滨防守犯规吃到黄牌
77'周海滨得到一张黄牌！                   76'第76分钟，周海滨防守犯规吃到黄牌
78'鲁能右路推进被破坏                   76'第76分钟，周海滨防守犯规吃到黄牌
78'角球机会                   76'第76分钟，周海滨防守犯规吃到黄牌
78'角球送禁区里                   76'第76分钟，周海滨防守犯规吃到黄牌
78'第一点被顶了出来                   76'第76分钟，周海滨防守犯规吃到黄牌
78'外围再打，没有打上力量                   76'第76分钟，周海滨防守犯规吃到黄牌
85'后点金波头球攻门将球顶进！！                   85'第85分钟，佩莱争顶造成解围不远，塔尔德利获得直面球门机会，但是他凌空抽射将球打飞
85'边裁这边举旗示意金波头球的时候先越位                   85'第85分钟，佩莱争顶造成解围不远，塔尔德利获得直面球门机会，但是他凌空抽射将球打飞
85'慢镜头回放也是越位了                   85'第85分钟，佩莱争顶造成解围不远，塔尔德利获得直面球门机会，但是他凌空抽射将球打飞
85'延边富德换人                   85'第85分钟，佩莱争顶造成解围不远，塔尔德利获得直面球门机会，但是他凌空抽射将球打飞
85'韩光徽下，崔仁上！                   85'第85分钟，佩莱争顶造成解围不远，塔尔德利获得直面球门机会，但是他凌空抽射将球打飞
87'富德左路底线传进来                   85'第85分钟，佩莱争顶造成解围不远，塔尔德利获得直面球门机会，但是他凌空抽射将球打飞
88'崔仁小角度打门被王大雷扑出底线                   85'第85分钟，佩莱争顶造成解围不远，塔尔德利获得直面球门机会，但是他凌空抽射将球打飞
88'延边富德的角球机会                   85'第85分钟，佩莱争顶造成解围不远，塔尔德利获得直面球门机会，但是他凌空抽射将球打飞
88'角球送禁区前点                   85'第85分钟，佩莱争顶造成解围不远，塔尔德利获得直面球门机会，但是他凌空抽射将球打飞
88'落点并不好                   85'第85分钟，佩莱争顶造成解围不远，塔尔德利获得直面球门机会，但是他凌空抽射将球打飞
46'上半场补时1分钟！！                   46'补时1分钟，尹比加兰任意球传中，崔仁头球攻门被王大雷没收
46'鲁能中场拿球往前走                   46'补时1分钟，尹比加兰任意球传中，崔仁头球攻门被王大雷没收
46'金敬道接球后内切                   46'补时1分钟，尹比加兰任意球传中，崔仁头球攻门被王大雷没收
46'禁区内起球送中路                   46'补时1分钟，尹比加兰任意球传中，崔仁头球攻门被王大雷没收
46'佩莱甩头攻门将球顶偏                   46'补时1分钟，尹比加兰任意球传中，崔仁头球攻门被王大雷没收
46'金敬道右路突破上来                   46'补时1分钟，尹比加兰任意球传中，崔仁头球攻门被王大雷没收
46'内切的时候被断了                   46'补时1分钟，尹比加兰任意球传中，崔仁头球攻门被王大雷没收
46'下半场比赛开始！！                   46'补时1分钟，尹比加兰任意球传中，崔仁头球攻门被王大雷没收
46'下半场比赛由延边富德开球                   46'补时1分钟，尹比加兰任意球传中，崔仁头球攻门被王大雷没收
47'刘洋左路拿球控一下                   46'补时1分钟，尹比加兰任意球传中，崔仁头球攻门被王大雷没收
47'鲁能将球给到禁区前沿                   46'补时1分钟，尹比加兰任意球传中，崔仁头球攻门被王大雷没收
47'队友回做下来                   46'补时1分钟，尹比加兰任意球传中，崔仁头球攻门被王大雷没收
47'塔尔德利跟进抽射将球打偏                   46'补时1分钟，尹比加兰任意球传中，崔仁头球攻门被王大雷没收
47'这球还是非常有威胁的                   46'补时1分钟，尹比加兰任意球传中，崔仁头球攻门被王大雷没收
48'朴世豪中场拿球控一下                   46'补时1分钟，尹比加兰任意球传中，崔仁头球攻门被王大雷没收
49'双方中场休息的时候都进行了人员调整                   46'补时1分钟，尹比加兰任意球传中，崔仁头球攻门被王大雷没收
49'延边队这边                   46'补时1分钟，尹比加兰任意球传中，崔仁头球攻门被王大雷没收
49'李龙下，金波上！                   46'补时1分钟，尹比加兰任意球传中，崔仁头球攻门被王大雷没收
49'山东鲁能这边                   46'补时1分钟，尹比加兰任意球传中，崔仁头球攻门被王大雷没收
49'崔巍下，齐天羽上！                   46'补时1分钟，尹比加兰任意球传中，崔仁头球攻门被王大雷没收
