5' 中场附近被巴洛特利放倒                   5'第5分钟，梅洛禁区外外脚背远射被阿雷奥拉没收
18' 尼斯中场断球，交给前场马克西曼！ 晃开门将打门！进了                   17'第17分钟，尼斯率先破门，尼斯打出快速反击，普利亚本方半场送出直塞，圣马克西曼高速突破形成单刀，面对阿雷奥拉推射破门，尼斯主场1-0领先巴黎
20' 大巴黎断球，拉比奥特分到左侧                   17'第17分钟，尼斯率先破门，尼斯打出快速反击，普利亚本方半场送出直塞，圣马克西曼高速突破形成单刀，面对阿雷奥拉推射破门，尼斯主场1-0领先巴黎
20' 尤里送出传中！                   17'第17分钟，尼斯率先破门，尼斯打出快速反击，普利亚本方半场送出直塞，圣马克西曼高速突破形成单刀，面对阿雷奥拉推射破门，尼斯主场1-0领先巴黎
46'席尔瓦出球后被巴洛特利踢倒                   46'1分钟后巴黎扳平比分，巴黎后场断球，迪马利亚拿球后穿裆过掉丹特突入禁区右脚推射，贝尼特斯将球扑了一下还是没能阻止球入网，巴黎将比分改写为1-1
46'上半场比赛2分钟                   46'1分钟后巴黎扳平比分，巴黎后场断球，迪马利亚拿球后穿裆过掉丹特突入禁区右脚推射，贝尼特斯将球扑了一下还是没能阻止球入网，巴黎将比分改写为1-1
46' 大巴黎后场控球                   46'1分钟后巴黎扳平比分，巴黎后场断球，迪马利亚拿球后穿裆过掉丹特突入禁区右脚推射，贝尼特斯将球扑了一下还是没能阻止球入网，巴黎将比分改写为1-1
47'席尔瓦把球分到右侧                   46'1分钟后巴黎扳平比分，巴黎后场断球，迪马利亚拿球后穿裆过掉丹特突入禁区右脚推射，贝尼特斯将球扑了一下还是没能阻止球入网，巴黎将比分改写为1-1
47' 阿尔维斯回敲一下                   46'1分钟后巴黎扳平比分，巴黎后场断球，迪马利亚拿球后穿裆过掉丹特突入禁区右脚推射，贝尼特斯将球扑了一下还是没能阻止球入网，巴黎将比分改写为1-1
47' 维拉蒂把球分到左侧                   46'1分钟后巴黎扳平比分，巴黎后场断球，迪马利亚拿球后穿裆过掉丹特突入禁区右脚推射，贝尼特斯将球扑了一下还是没能阻止球入网，巴黎将比分改写为1-1
47' 维拉蒂再送长传，禁区内丹特将球断下                   46'1分钟后巴黎扳平比分，巴黎后场断球，迪马利亚拿球后穿裆过掉丹特突入禁区右脚推射，贝尼特斯将球扑了一下还是没能阻止球入网，巴黎将比分改写为1-1
48'梅洛带球强突                   46'1分钟后巴黎扳平比分，巴黎后场断球，迪马利亚拿球后穿裆过掉丹特突入禁区右脚推射，贝尼特斯将球扑了一下还是没能阻止球入网，巴黎将比分改写为1-1
48'被拉比奥特断下                   46'1分钟后巴黎扳平比分，巴黎后场断球，迪马利亚拿球后穿裆过掉丹特突入禁区右脚推射，贝尼特斯将球扑了一下还是没能阻止球入网，巴黎将比分改写为1-1
46'下半场比赛开始，大巴黎开球                   46'1分钟后巴黎扳平比分，巴黎后场断球，迪马利亚拿球后穿裆过掉丹特突入禁区右脚推射，贝尼特斯将球扑了一下还是没能阻止球入网，巴黎将比分改写为1-1
46' 交给后场阿尔维斯                   46'1分钟后巴黎扳平比分，巴黎后场断球，迪马利亚拿球后穿裆过掉丹特突入禁区右脚推射，贝尼特斯将球扑了一下还是没能阻止球入网，巴黎将比分改写为1-1
46'再回传交给席尔瓦                   46'1分钟后巴黎扳平比分，巴黎后场断球，迪马利亚拿球后穿裆过掉丹特突入禁区右脚推射，贝尼特斯将球扑了一下还是没能阻止球入网，巴黎将比分改写为1-1
47' 马克西曼低平球传中！                   46'1分钟后巴黎扳平比分，巴黎后场断球，迪马利亚拿球后穿裆过掉丹特突入禁区右脚推射，贝尼特斯将球扑了一下还是没能阻止球入网，巴黎将比分改写为1-1
47'金庞贝倒地把球挡出                   46'1分钟后巴黎扳平比分，巴黎后场断球，迪马利亚拿球后穿裆过掉丹特突入禁区右脚推射，贝尼特斯将球扑了一下还是没能阻止球入网，巴黎将比分改写为1-1
48'外围的长传球被维拉蒂顶出去                   46'1分钟后巴黎扳平比分，巴黎后场断球，迪马利亚拿球后穿裆过掉丹特突入禁区右脚推射，贝尼特斯将球扑了一下还是没能阻止球入网，巴黎将比分改写为1-1
48' 萨尔把球断下，先解围出去                   46'1分钟后巴黎扳平比分，巴黎后场断球，迪马利亚拿球后穿裆过掉丹特突入禁区右脚推射，贝尼特斯将球扑了一下还是没能阻止球入网，巴黎将比分改写为1-1
49'金庞贝前场反抢犯规了                   46'1分钟后巴黎扳平比分，巴黎后场断球，迪马利亚拿球后穿裆过掉丹特突入禁区右脚推射，贝尼特斯将球扑了一下还是没能阻止球入网，巴黎将比分改写为1-1
49' 定位球开出来，拉比奥特把球断下                   46'1分钟后巴黎扳平比分，巴黎后场断球，迪马利亚拿球后穿裆过掉丹特突入禁区右脚推射，贝尼特斯将球扑了一下还是没能阻止球入网，巴黎将比分改写为1-1
36' 德拉克斯勒长传球找右路阿尔维斯                   36'第36分钟，巴洛特利左侧持球，内切后尝试远射打远角高出了球门
36' 勒马尔尚将球断下                   36'第36分钟，巴洛特利左侧持球，内切后尝试远射打远角高出了球门
37' 尼斯反击再来！                   36'第36分钟，巴洛特利左侧持球，内切后尝试远射打远角高出了球门
38'禁区左侧巴洛特利得球                   36'第36分钟，巴洛特利左侧持球，内切后尝试远射打远角高出了球门
38' 禁区前直接打门！稍稍高出！                   36'第36分钟，巴洛特利左侧持球，内切后尝试远射打远角高出了球门
38' 大巴黎右路推进                   36'第36分钟，巴洛特利左侧持球，内切后尝试远射打远角高出了球门
38'姆巴佩挑传阿尔维斯                   36'第36分钟，巴洛特利左侧持球，内切后尝试远射打远角高出了球门
38' 拼抢中球出了底线，裁判给了门球                   36'第36分钟，巴洛特利左侧持球，内切后尝试远射打远角高出了球门
39'直传球往前给到梅洛                   36'第36分钟，巴洛特利左侧持球，内切后尝试远射打远角高出了球门
39' 传中球被尤里解围                   36'第36分钟，巴洛特利左侧持球，内切后尝试远射打远角高出了球门
39' 梅洛反抢把球踢出了边线                   36'第36分钟，巴洛特利左侧持球，内切后尝试远射打远角高出了球门
43' 巴洛特利禁区内打滑了！                   43'第43分钟，蒂亚戈-席尔瓦在防守巴洛特利时被后者踩到脚后倒地，比赛一度中断
43'大巴黎后场长传                   43'第43分钟，蒂亚戈-席尔瓦在防守巴洛特利时被后者踩到脚后倒地，比赛一度中断
44'迪马利亚将球停下来， 横传中路维拉蒂                   43'第43分钟，蒂亚戈-席尔瓦在防守巴洛特利时被后者踩到脚后倒地，比赛一度中断
44' 迪马利亚传中！丹特把球顶出去                   43'第43分钟，蒂亚戈-席尔瓦在防守巴洛特利时被后者踩到脚后倒地，比赛一度中断
45' 尼斯断球往前给                   43'第43分钟，蒂亚戈-席尔瓦在防守巴洛特利时被后者踩到脚后倒地，比赛一度中断
45' 普莱亚带球被拉比奥特断下                   43'第43分钟，蒂亚戈-席尔瓦在防守巴洛特利时被后者踩到脚后倒地，比赛一度中断
46'席尔瓦出球后被巴洛特利踢倒                   43'第43分钟，蒂亚戈-席尔瓦在防守巴洛特利时被后者踩到脚后倒地，比赛一度中断
46'上半场比赛2分钟                   43'第43分钟，蒂亚戈-席尔瓦在防守巴洛特利时被后者踩到脚后倒地，比赛一度中断
46' 大巴黎后场控球                   43'第43分钟，蒂亚戈-席尔瓦在防守巴洛特利时被后者踩到脚后倒地，比赛一度中断
46'下半场比赛开始，大巴黎开球                   43'第43分钟，蒂亚戈-席尔瓦在防守巴洛特利时被后者踩到脚后倒地，比赛一度中断
46' 交给后场阿尔维斯                   43'第43分钟，蒂亚戈-席尔瓦在防守巴洛特利时被后者踩到脚后倒地，比赛一度中断
46'再回传交给席尔瓦                   43'第43分钟，蒂亚戈-席尔瓦在防守巴洛特利时被后者踩到脚后倒地，比赛一度中断
51' 巴洛特利中路带球突破被放倒                   50'第50分钟，圣马克西曼高速插上突入禁区，阿雷奥拉及时出击将球扑出底线
51' 定位球开出，巴洛特利打门                   50'第50分钟，圣马克西曼高速插上突入禁区，阿雷奥拉及时出击将球扑出底线
51' 立足脚也是出现了打滑                   50'第50分钟，圣马克西曼高速插上突入禁区，阿雷奥拉及时出击将球扑出底线
52'大巴黎后场长传                   50'第50分钟，圣马克西曼高速插上突入禁区，阿雷奥拉及时出击将球扑出底线
52'找到前场左侧迪马利亚                   50'第50分钟，圣马克西曼高速插上突入禁区，阿雷奥拉及时出击将球扑出底线
52' 传中球给到禁区内                   50'第50分钟，圣马克西曼高速插上突入禁区，阿雷奥拉及时出击将球扑出底线
52' 被丹特解围                   50'第50分钟，圣马克西曼高速插上突入禁区，阿雷奥拉及时出击将球扑出底线
59'席尔瓦 往右侧转移                   59'第59分钟，巴洛特利禁区内连续晃开阿尔维斯和蒂亚戈-席尔瓦，面对阿雷奥拉射门却将球打高
59' 球被普莱亚断下                   59'第59分钟，巴洛特利禁区内连续晃开阿尔维斯和蒂亚戈-席尔瓦，面对阿雷奥拉射门却将球打高
60'维拉蒂长传球找到右侧阿尔维斯                   59'第59分钟，巴洛特利禁区内连续晃开阿尔维斯和蒂亚戈-席尔瓦，面对阿雷奥拉射门却将球打高
60' 拉比奥特横传维拉蒂                   59'第59分钟，巴洛特利禁区内连续晃开阿尔维斯和蒂亚戈-席尔瓦，面对阿雷奥拉射门却将球打高
60'再给身后拉比奥特                   59'第59分钟，巴洛特利禁区内连续晃开阿尔维斯和蒂亚戈-席尔瓦，面对阿雷奥拉射门却将球打高
61'迪马利亚传中！                   59'第59分钟，巴洛特利禁区内连续晃开阿尔维斯和蒂亚戈-席尔瓦，面对阿雷奥拉射门却将球打高
61'后点阿尔维斯凌空扫射没踢到啊！                   59'第59分钟，巴洛特利禁区内连续晃开阿尔维斯和蒂亚戈-席尔瓦，面对阿雷奥拉射门却将球打高
63' 马克西曼带球突破！！                   62'第62分钟，圣马克西曼禁区右路传中，巴洛特利禁区线上劲射被阿雷奥拉扑出
63' 横传中路！巴神打门！                   62'第62分钟，圣马克西曼禁区右路传中，巴洛特利禁区线上劲射被阿雷奥拉扑出
63'被门将挡出！                   62'第62分钟，圣马克西曼禁区右路传中，巴洛特利禁区线上劲射被阿雷奥拉扑出
63' 马克西曼再拿球越位了                   62'第62分钟，圣马克西曼禁区右路传中，巴洛特利禁区线上劲射被阿雷奥拉扑出
63' 这边尼斯后场继续控球                   62'第62分钟，圣马克西曼禁区右路传中，巴洛特利禁区线上劲射被阿雷奥拉扑出
64'塞里得球，分到右侧                   62'第62分钟，圣马克西曼禁区右路传中，巴洛特利禁区线上劲射被阿雷奥拉扑出
64'马克西曼带球突破                   62'第62分钟，圣马克西曼禁区右路传中，巴洛特利禁区线上劲射被阿雷奥拉扑出
64' 禁区右肋连续晃动，自己把球碰出底线                   62'第62分钟，圣马克西曼禁区右路传中，巴洛特利禁区线上劲射被阿雷奥拉扑出
65' 中场附近席尔瓦把球断下                   62'第62分钟，圣马克西曼禁区右路传中，巴洛特利禁区线上劲射被阿雷奥拉扑出
65'交给右侧阿尔维斯                   62'第62分钟，圣马克西曼禁区右路传中，巴洛特利禁区线上劲射被阿雷奥拉扑出
77'马克西曼横传中路                   77'第77分钟，迪马利亚左路传中，姆巴佩近距离头球竟然打高了
77'再往左侧转移                   77'第77分钟，迪马利亚左路传中，姆巴佩近距离头球竟然打高了
78'勒马尔尚直接传中                   77'第77分钟，迪马利亚左路传中，姆巴佩近距离头球竟然打高了
78'被库尔扎瓦解围掉                   77'第77分钟，迪马利亚左路传中，姆巴佩近距离头球竟然打高了
