18'博洛尼亚球员波利大禁区右侧尝试右脚射门,可惜皮球偏出球门.给他传球的是奥索里尼.                   17'开场17分钟，奥索利尼左路下底传中，波利后点距门10米处凌空打飞
40'暂停结束,球员们重新开始比赛.                   38'第38分钟，维尔迪有路传中制造混乱，帕拉西奥禁区中路拼抢，卡拉布里亚连续解围不远，奥索利尼在点球点左脚半凌空抽射入右上角，他疯狂庆祝本赛季首粒进球，但主裁判贾科梅利到场边观看回放后，认定帕拉西奥手球在先，进球无效
47'博洛尼亚球员马西纳拼抢犯规,对手获得控球权.                   46'上半时补时第1分钟，AC米兰扩大比分
47'凯西为AC米兰在对方半场,赢得一个任意球.                   46'上半时补时第1分钟，AC米兰扩大比分
49'威尔第为博洛尼亚赢得一个任意球.                   46'上半时补时第1分钟，AC米兰扩大比分
49'AC米兰球员恰尔汉奥卢拼抢犯规,对手获得控球权.                   46'上半时补时第1分钟，AC米兰扩大比分
51'AC米兰球员库特罗内大禁区外右脚射门,命中门柱左侧立柱.给他传球的是萨帕塔.                   51'第51分钟，萨帕塔后场解围，库特罗内拿球突至禁区边缘低射击中左门柱内侧弹回
51'射门!!!AC米兰球员苏索球门右侧小角度左脚射门,被对方守门员横身扑出.                   51'第51分钟，萨帕塔后场解围，库特罗内拿球突至禁区边缘低射击中左门柱内侧弹回
51'射门!!!博洛尼亚球员Erick Pulgar右脚射门,被对方守门员横身扑出.给他传球的是米兰特.                   51'第51分钟，萨帕塔后场解围，库特罗内拿球突至禁区边缘低射击中左门柱内侧弹回
51'博洛尼亚球员马西纳拼抢犯规,对手获得控球权.                   51'第51分钟，萨帕塔后场解围，库特罗内拿球突至禁区边缘低射击中左门柱内侧弹回
51'卡拉为AC米兰在右路,赢得一个任意球.                   51'第51分钟，萨帕塔后场解围，库特罗内拿球突至禁区边缘低射击中左门柱内侧弹回
52'黄牌！博洛尼亚球员马西纳因为恶意犯规,被主裁判出示黄牌.                   51'第51分钟，萨帕塔后场解围，库特罗内拿球突至禁区边缘低射击中左门柱内侧弹回
52'博洛尼亚换人,Felipe Avenatti换下纳吉                   51'第51分钟，萨帕塔后场解围，库特罗内拿球突至禁区边缘低射击中左门柱内侧弹回
53'AC米兰球员苏索大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是恰尔汉奥卢.                   51'第51分钟，萨帕塔后场解围，库特罗内拿球突至禁区边缘低射击中左门柱内侧弹回
60'射门!!!AC米兰球员库特罗内大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是苏索.                   60'第60分钟，苏索长驱直入突破包夹分球，库特罗内左侧距门8米处推射被米兰特快速倒地没收
61'博洛尼亚球员帕拉西奥大禁区外右脚射门,被防守球员封堵.给他传球的是Felipe Avenatti.                   60'第60分钟，苏索长驱直入突破包夹分球，库特罗内左侧距门8米处推射被米兰特快速倒地没收
61'洛卡特利将球处理出底线,博洛尼亚获得角球.                   60'第60分钟，苏索长驱直入突破包夹分球，库特罗内左侧距门8米处推射被米兰特快速倒地没收
63'博洛尼亚球员帕拉西奥大禁区中央右脚射门,被防守球员封堵.                   60'第60分钟，苏索长驱直入突破包夹分球，库特罗内左侧距门8米处推射被米兰特快速倒地没收
63'博洛尼亚球员迪马伊奥拼抢犯规,对手获得控球权.                   60'第60分钟，苏索长驱直入突破包夹分球，库特罗内左侧距门8米处推射被米兰特快速倒地没收
63'多纳鲁马为AC米兰赢得一个任意球.                   60'第60分钟，苏索长驱直入突破包夹分球，库特罗内左侧距门8米处推射被米兰特快速倒地没收
72'AC米兰球员博纳文图拉大禁区外右脚射门,命中门柱横梁.给他传球的是恰尔汉奥卢.                   72'AC米兰第72分钟再度中框
73'罗德里格斯将球处理出底线,博洛尼亚获得角球.                   72'AC米兰第72分钟再度中框
73'库特罗内将球处理出底线,博洛尼亚获得角球.                   72'AC米兰第72分钟再度中框
74'进球啦！！！博洛尼亚球员迪马伊奥大禁区中央头球,球从左下角飞进球门,球进了!助攻的是威尔第. 博洛尼亚 1-2 AC米兰.                   72'AC米兰第72分钟再度中框
75'射门!!!博洛尼亚球员姆巴耶大禁区右侧右脚射门,被对方守门员横身扑出.                   72'AC米兰第72分钟再度中框
47'博洛尼亚球员马西纳拼抢犯规,对手获得控球权.                   47'连续错过机会的AC米兰2分钟后受到惩罚，奥索利尼左路传中，卡拉布里亚前点头球解围蹭到后点，维尔迪再传中，德马约前点距门5米处顶进远角，1比2
47'凯西为AC米兰在对方半场,赢得一个任意球.                   47'连续错过机会的AC米兰2分钟后受到惩罚，奥索利尼左路传中，卡拉布里亚前点头球解围蹭到后点，维尔迪再传中，德马约前点距门5米处顶进远角，1比2
49'威尔第为博洛尼亚赢得一个任意球.                   47'连续错过机会的AC米兰2分钟后受到惩罚，奥索利尼左路传中，卡拉布里亚前点头球解围蹭到后点，维尔迪再传中，德马约前点距门5米处顶进远角，1比2
49'AC米兰球员恰尔汉奥卢拼抢犯规,对手获得控球权.                   47'连续错过机会的AC米兰2分钟后受到惩罚，奥索利尼左路传中，卡拉布里亚前点头球解围蹭到后点，维尔迪再传中，德马约前点距门5米处顶进远角，1比2
50'迪马伊奥将球处理出底线,AC米兰获得角球.                   47'连续错过机会的AC米兰2分钟后受到惩罚，奥索利尼左路传中，卡拉布里亚前点头球解围蹭到后点，维尔迪再传中，德马约前点距门5米处顶进远角，1比2
