1'上半场由恒大率先开球                   1'第1分钟双方迅速拉开阵型对峙，富力中前场更求快速，恒大更追求控制
4'雷纳尔迪尼奥抢第二点时对邹正犯规                   1'第1分钟双方迅速拉开阵型对峙，富力中前场更求快速，恒大更追求控制
4'保利尼奥交给金英权                   1'第1分钟双方迅速拉开阵型对峙，富力中前场更求快速，恒大更追求控制
18'富力前场右路的任意球机会                   18'第18分钟，恒大化解富力任意球后形成快攻，高拉特被唐淼侵犯，主裁判关星根据有利原则示意比赛继续，于汉超前冲时被黄政宇拦截放翻，裁判没有判罚；恒大球员认为应向唐淼追罚黄牌，关星没有理会，场边的斯科拉里表示了不满
18'雷纳尔迪尼奥的传中，曾诚双拳将球打出                   18'第18分钟，恒大化解富力任意球后形成快攻，高拉特被唐淼侵犯，主裁判关星根据有利原则示意比赛继续，于汉超前冲时被黄政宇拦截放翻，裁判没有判罚；恒大球员认为应向唐淼追罚黄牌，关星没有理会，场边的斯科拉里表示了不满
18'高拉特争抢，球到了廖力生脚上                   18'第18分钟，恒大化解富力任意球后形成快攻，高拉特被唐淼侵犯，主裁判关星根据有利原则示意比赛继续，于汉超前冲时被黄政宇拦截放翻，裁判没有判罚；恒大球员认为应向唐淼追罚黄牌，关星没有理会，场边的斯科拉里表示了不满
18'廖力生直传，给小了                   18'第18分钟，恒大化解富力任意球后形成快攻，高拉特被唐淼侵犯，主裁判关星根据有利原则示意比赛继续，于汉超前冲时被黄政宇拦截放翻，裁判没有判罚；恒大球员认为应向唐淼追罚黄牌，关星没有理会，场边的斯科拉里表示了不满
18'于汉超与弋腾对脚，球被断了                   18'第18分钟，恒大化解富力任意球后形成快攻，高拉特被唐淼侵犯，主裁判关星根据有利原则示意比赛继续，于汉超前冲时被黄政宇拦截放翻，裁判没有判罚；恒大球员认为应向唐淼追罚黄牌，关星没有理会，场边的斯科拉里表示了不满
18'裁判吹停了比赛                   18'第18分钟，恒大化解富力任意球后形成快攻，高拉特被唐淼侵犯，主裁判关星根据有利原则示意比赛继续，于汉超前冲时被黄政宇拦截放翻，裁判没有判罚；恒大球员认为应向唐淼追罚黄牌，关星没有理会，场边的斯科拉里表示了不满
19'这是黄政宇的铲球                   18'第18分钟，恒大化解富力任意球后形成快攻，高拉特被唐淼侵犯，主裁判关星根据有利原则示意比赛继续，于汉超前冲时被黄政宇拦截放翻，裁判没有判罚；恒大球员认为应向唐淼追罚黄牌，关星没有理会，场边的斯科拉里表示了不满
19'铲倒了于汉超                   18'第18分钟，恒大化解富力任意球后形成快攻，高拉特被唐淼侵犯，主裁判关星根据有利原则示意比赛继续，于汉超前冲时被黄政宇拦截放翻，裁判没有判罚；恒大球员认为应向唐淼追罚黄牌，关星没有理会，场边的斯科拉里表示了不满
19'看看裁判如何判罚，没有吹犯规                   18'第18分钟，恒大化解富力任意球后形成快攻，高拉特被唐淼侵犯，主裁判关星根据有利原则示意比赛继续，于汉超前冲时被黄政宇拦截放翻，裁判没有判罚；恒大球员认为应向唐淼追罚黄牌，关星没有理会，场边的斯科拉里表示了不满
19'给了恒大的界外球                   18'第18分钟，恒大化解富力任意球后形成快攻，高拉特被唐淼侵犯，主裁判关星根据有利原则示意比赛继续，于汉超前冲时被黄政宇拦截放翻，裁判没有判罚；恒大球员认为应向唐淼追罚黄牌，关星没有理会，场边的斯科拉里表示了不满
19'保利尼奥接应将球踢出边线，将球权还给富力                   18'第18分钟，恒大化解富力任意球后形成快攻，高拉特被唐淼侵犯，主裁判关星根据有利原则示意比赛继续，于汉超前冲时被黄政宇拦截放翻，裁判没有判罚；恒大球员认为应向唐淼追罚黄牌，关星没有理会，场边的斯科拉里表示了不满
20'唐淼直传，球出边线                   18'第18分钟，恒大化解富力任意球后形成快攻，高拉特被唐淼侵犯，主裁判关星根据有利原则示意比赛继续，于汉超前冲时被黄政宇拦截放翻，裁判没有判罚；恒大球员认为应向唐淼追罚黄牌，关星没有理会，场边的斯科拉里表示了不满
20'邹正掷界外球                   18'第18分钟，恒大化解富力任意球后形成快攻，高拉特被唐淼侵犯，主裁判关星根据有利原则示意比赛继续，于汉超前冲时被黄政宇拦截放翻，裁判没有判罚；恒大球员认为应向唐淼追罚黄牌，关星没有理会，场边的斯科拉里表示了不满
20'弋腾得球交给卢琳，回传给黄政宇                   18'第18分钟，恒大化解富力任意球后形成快攻，高拉特被唐淼侵犯，主裁判关星根据有利原则示意比赛继续，于汉超前冲时被黄政宇拦截放翻，裁判没有判罚；恒大球员认为应向唐淼追罚黄牌，关星没有理会，场边的斯科拉里表示了不满
20'长传被拦截                   18'第18分钟，恒大化解富力任意球后形成快攻，高拉特被唐淼侵犯，主裁判关星根据有利原则示意比赛继续，于汉超前冲时被黄政宇拦截放翻，裁判没有判罚；恒大球员认为应向唐淼追罚黄牌，关星没有理会，场边的斯科拉里表示了不满
20'保利尼奥挑传，被弋顶一下                   18'第18分钟，恒大化解富力任意球后形成快攻，高拉特被唐淼侵犯，主裁判关星根据有利原则示意比赛继续，于汉超前冲时被黄政宇拦截放翻，裁判没有判罚；恒大球员认为应向唐淼追罚黄牌，关星没有理会，场边的斯科拉里表示了不满
20'于汉超得球带球到禁区前沿，直传，廖力生接应时倒地                   18'第18分钟，恒大化解富力任意球后形成快攻，高拉特被唐淼侵犯，主裁判关星根据有利原则示意比赛继续，于汉超前冲时被黄政宇拦截放翻，裁判没有判罚；恒大球员认为应向唐淼追罚黄牌，关星没有理会，场边的斯科拉里表示了不满
20'裁判没有吹罚                   18'第18分钟，恒大化解富力任意球后形成快攻，高拉特被唐淼侵犯，主裁判关星根据有利原则示意比赛继续，于汉超前冲时被黄政宇拦截放翻，裁判没有判罚；恒大球员认为应向唐淼追罚黄牌，关星没有理会，场边的斯科拉里表示了不满
21'黄政宇交给唐淼，回传给弋腾                   18'第18分钟，恒大化解富力任意球后形成快攻，高拉特被唐淼侵犯，主裁判关星根据有利原则示意比赛继续，于汉超前冲时被黄政宇拦截放翻，裁判没有判罚；恒大球员认为应向唐淼追罚黄牌，关星没有理会，场边的斯科拉里表示了不满
21'长传，被黄博文拦截出边线                   18'第18分钟，恒大化解富力任意球后形成快攻，高拉特被唐淼侵犯，主裁判关星根据有利原则示意比赛继续，于汉超前冲时被黄政宇拦截放翻，裁判没有判罚；恒大球员认为应向唐淼追罚黄牌，关星没有理会，场边的斯科拉里表示了不满
21'姜至鹏掷界外球                   18'第18分钟，恒大化解富力任意球后形成快攻，高拉特被唐淼侵犯，主裁判关星根据有利原则示意比赛继续，于汉超前冲时被黄政宇拦截放翻，裁判没有判罚；恒大球员认为应向唐淼追罚黄牌，关星没有理会，场边的斯科拉里表示了不满
38'雷纳尔迪尼奥带球到前场左边                   38'第38分钟，富力取得入球：雷纳尔迪尼奥左路快速内切，在完全吸引恒大防线后分球，扎哈维在禁区线附近攻门将皮球打入球门下角
38'横传，扎哈维禁区前沿贴地斜射，球打进了球门左下角！                   38'第38分钟，富力取得入球：雷纳尔迪尼奥左路快速内切，在完全吸引恒大防线后分球，扎哈维在禁区线附近攻门将皮球打入球门下角
39'雷纳尔迪尼奥左侧突进相当犀利，横传给扎哈维，打进了死角！                   38'第38分钟，富力取得入球：雷纳尔迪尼奥左路快速内切，在完全吸引恒大防线后分球，扎哈维在禁区线附近攻门将皮球打入球门下角
39'广州富力1：0领先广州恒大                   38'第38分钟，富力取得入球：雷纳尔迪尼奥左路快速内切，在完全吸引恒大防线后分球，扎哈维在禁区线附近攻门将皮球打入球门下角
40'保利尼奥分边给了于汉超                   38'第38分钟，富力取得入球：雷纳尔迪尼奥左路快速内切，在完全吸引恒大防线后分球，扎哈维在禁区线附近攻门将皮球打入球门下角
40'梅方交给保利尼奥                   38'第38分钟，富力取得入球：雷纳尔迪尼奥左路快速内切，在完全吸引恒大防线后分球，扎哈维在禁区线附近攻门将皮球打入球门下角
40'回传给刘健                   38'第38分钟，富力取得入球：雷纳尔迪尼奥左路快速内切，在完全吸引恒大防线后分球，扎哈维在禁区线附近攻门将皮球打入球门下角
40'交给梅方，于汉超接应回传                   38'第38分钟，富力取得入球：雷纳尔迪尼奥左路快速内切，在完全吸引恒大防线后分球，扎哈维在禁区线附近攻门将皮球打入球门下角
40'直传，李提香长传上来，刘健推倒了肖智                   38'第38分钟，富力取得入球：雷纳尔迪尼奥左路快速内切，在完全吸引恒大防线后分球，扎哈维在禁区线附近攻门将皮球打入球门下角
41'卢琳带球，分给了姜至鹏                   38'第38分钟，富力取得入球：雷纳尔迪尼奥左路快速内切，在完全吸引恒大防线后分球，扎哈维在禁区线附近攻门将皮球打入球门下角
41'扎哈维接应再交给姜至鹏                   38'第38分钟，富力取得入球：雷纳尔迪尼奥左路快速内切，在完全吸引恒大防线后分球，扎哈维在禁区线附近攻门将皮球打入球门下角
41'扎哈维直传，金英权假动作解围然后将球让出底线                   38'第38分钟，富力取得入球：雷纳尔迪尼奥左路快速内切，在完全吸引恒大防线后分球，扎哈维在禁区线附近攻门将皮球打入球门下角
46'主裁判向于汉超与乌索各发一张黄牌！                   46'1分钟后富力再度将比分超出：扎哈维的禁区前分球本被恒大防线封堵，但皮球弹向禁区内，刘健与邹正处理球时稍显犹豫，速度极快的雷纳尔迪尼奥抢先出脚捅射破门
46'上半场补时2分钟                   46'1分钟后富力再度将比分超出：扎哈维的禁区前分球本被恒大防线封堵，但皮球弹向禁区内，刘健与邹正处理球时稍显犹豫，速度极快的雷纳尔迪尼奥抢先出脚捅射破门
46'程月磊长传上来被金英权顶到中场                   46'1分钟后富力再度将比分超出：扎哈维的禁区前分球本被恒大防线封堵，但皮球弹向禁区内，刘健与邹正处理球时稍显犹豫，速度极快的雷纳尔迪尼奥抢先出脚捅射破门
46'卢琳得到第二点分给姜至鹏                   46'1分钟后富力再度将比分超出：扎哈维的禁区前分球本被恒大防线封堵，但皮球弹向禁区内，刘健与邹正处理球时稍显犹豫，速度极快的雷纳尔迪尼奥抢先出脚捅射破门
46'直传给卢琳，传中，金英权头球后蹭解围                   46'1分钟后富力再度将比分超出：扎哈维的禁区前分球本被恒大防线封堵，但皮球弹向禁区内，刘健与邹正处理球时稍显犹豫，速度极快的雷纳尔迪尼奥抢先出脚捅射破门
47'邹正带球，雷纳尔迪尼奥犯规                   46'1分钟后富力再度将比分超出：扎哈维的禁区前分球本被恒大防线封堵，但皮球弹向禁区内，刘健与邹正处理球时稍显犹豫，速度极快的雷纳尔迪尼奥抢先出脚捅射破门
47'曾诚长传上来                   46'1分钟后富力再度将比分超出：扎哈维的禁区前分球本被恒大防线封堵，但皮球弹向禁区内，刘健与邹正处理球时稍显犹豫，速度极快的雷纳尔迪尼奥抢先出脚捅射破门
47'弋腾解围                   46'1分钟后富力再度将比分超出：扎哈维的禁区前分球本被恒大防线封堵，但皮球弹向禁区内，刘健与邹正处理球时稍显犹豫，速度极快的雷纳尔迪尼奥抢先出脚捅射破门
47'刘健头球回顶给曾诚                   46'1分钟后富力再度将比分超出：扎哈维的禁区前分球本被恒大防线封堵，但皮球弹向禁区内，刘健与邹正处理球时稍显犹豫，速度极快的雷纳尔迪尼奥抢先出脚捅射破门
47'高拉特直传，被拦截                   46'1分钟后富力再度将比分超出：扎哈维的禁区前分球本被恒大防线封堵，但皮球弹向禁区内，刘健与邹正处理球时稍显犹豫，速度极快的雷纳尔迪尼奥抢先出脚捅射破门
47'上半场比赛结束！                   46'1分钟后富力再度将比分超出：扎哈维的禁区前分球本被恒大防线封堵，但皮球弹向禁区内，刘健与邹正处理球时稍显犹豫，速度极快的雷纳尔迪尼奥抢先出脚捅射破门
61'黄政宇将球交给了弋腾                   61'第61分钟，弋腾带球前插策动攻势，雷纳尔迪尼奥突然斜传禁区，扎哈维顺势倒钩攻门没有踢正皮球，富力的这波流畅攻势赢得了球迷喝彩
61'弋腾带球到前场，分给雷纳尔迪尼奥                   61'第61分钟，弋腾带球前插策动攻势，雷纳尔迪尼奥突然斜传禁区，扎哈维顺势倒钩攻门没有踢正皮球，富力的这波流畅攻势赢得了球迷喝彩
61'传中，扎哈维倒钩打门打嗤了，曾诚将球接住                   61'第61分钟，弋腾带球前插策动攻势，雷纳尔迪尼奥突然斜传禁区，扎哈维顺势倒钩攻门没有踢正皮球，富力的这波流畅攻势赢得了球迷喝彩
61'保利尼奥带球交给廖力生                   61'第61分钟，弋腾带球前插策动攻势，雷纳尔迪尼奥突然斜传禁区，扎哈维顺势倒钩攻门没有踢正皮球，富力的这波流畅攻势赢得了球迷喝彩
61'分给张成林                   61'第61分钟，弋腾带球前插策动攻势，雷纳尔迪尼奥突然斜传禁区，扎哈维顺势倒钩攻门没有踢正皮球，富力的这波流畅攻势赢得了球迷喝彩
61'金英权带球                   61'第61分钟，弋腾带球前插策动攻势，雷纳尔迪尼奥突然斜传禁区，扎哈维顺势倒钩攻门没有踢正皮球，富力的这波流畅攻势赢得了球迷喝彩
61'直传，张文钊接应被唐淼绊倒                   61'第61分钟，弋腾带球前插策动攻势，雷纳尔迪尼奥突然斜传禁区，扎哈维顺势倒钩攻门没有踢正皮球，富力的这波流畅攻势赢得了球迷喝彩
62'邹正长传，张成林顶一下，李提香将球踢出边线                   61'第61分钟，弋腾带球前插策动攻势，雷纳尔迪尼奥突然斜传禁区，扎哈维顺势倒钩攻门没有踢正皮球，富力的这波流畅攻势赢得了球迷喝彩
62'张成林掷界外球                   61'第61分钟，弋腾带球前插策动攻势，雷纳尔迪尼奥突然斜传禁区，扎哈维顺势倒钩攻门没有踢正皮球，富力的这波流畅攻势赢得了球迷喝彩
62'黄政宇铲出来                   61'第61分钟，弋腾带球前插策动攻势，雷纳尔迪尼奥突然斜传禁区，扎哈维顺势倒钩攻门没有踢正皮球，富力的这波流畅攻势赢得了球迷喝彩
62'刘健上抢，斜吊禁区，唐淼将球顶出边线                   61'第61分钟，弋腾带球前插策动攻势，雷纳尔迪尼奥突然斜传禁区，扎哈维顺势倒钩攻门没有踢正皮球，富力的这波流畅攻势赢得了球迷喝彩
62'同时也吹了张文钊犯规                   61'第61分钟，弋腾带球前插策动攻势，雷纳尔迪尼奥突然斜传禁区，扎哈维顺势倒钩攻门没有踢正皮球，富力的这波流畅攻势赢得了球迷喝彩
63'程月磊发后场任意球                   61'第61分钟，弋腾带球前插策动攻势，雷纳尔迪尼奥突然斜传禁区，扎哈维顺势倒钩攻门没有踢正皮球，富力的这波流畅攻势赢得了球迷喝彩
63'被金英权顶出边线                   61'第61分钟，弋腾带球前插策动攻势，雷纳尔迪尼奥突然斜传禁区，扎哈维顺势倒钩攻门没有踢正皮球，富力的这波流畅攻势赢得了球迷喝彩
63'唐淼直传                   61'第61分钟，弋腾带球前插策动攻势，雷纳尔迪尼奥突然斜传禁区，扎哈维顺势倒钩攻门没有踢正皮球，富力的这波流畅攻势赢得了球迷喝彩
63'雷纳尔迪尼奥护球，停球出边线                   61'第61分钟，弋腾带球前插策动攻势，雷纳尔迪尼奥突然斜传禁区，扎哈维顺势倒钩攻门没有踢正皮球，富力的这波流畅攻势赢得了球迷喝彩
64'张文钊带球往前冲，出了边线                   61'第61分钟，弋腾带球前插策动攻势，雷纳尔迪尼奥突然斜传禁区，扎哈维顺势倒钩攻门没有踢正皮球，富力的这波流畅攻势赢得了球迷喝彩
64'唐淼掷界外球                   61'第61分钟，弋腾带球前插策动攻势，雷纳尔迪尼奥突然斜传禁区，扎哈维顺势倒钩攻门没有踢正皮球，富力的这波流畅攻势赢得了球迷喝彩
64'乌索停球转身交给李提香                   61'第61分钟，弋腾带球前插策动攻势，雷纳尔迪尼奥突然斜传禁区，扎哈维顺势倒钩攻门没有踢正皮球，富力的这波流畅攻势赢得了球迷喝彩
64'交给姜至鹏                   61'第61分钟，弋腾带球前插策动攻势，雷纳尔迪尼奥突然斜传禁区，扎哈维顺势倒钩攻门没有踢正皮球，富力的这波流畅攻势赢得了球迷喝彩
64'扎哈维接应传球                   61'第61分钟，弋腾带球前插策动攻势，雷纳尔迪尼奥突然斜传禁区，扎哈维顺势倒钩攻门没有踢正皮球，富力的这波流畅攻势赢得了球迷喝彩
64'雷纳尔迪尼奥脚后跟传给扎哈维                   61'第61分钟，弋腾带球前插策动攻势，雷纳尔迪尼奥突然斜传禁区，扎哈维顺势倒钩攻门没有踢正皮球，富力的这波流畅攻势赢得了球迷喝彩
64'分给唐淼，横传被断了                   61'第61分钟，弋腾带球前插策动攻势，雷纳尔迪尼奥突然斜传禁区，扎哈维顺势倒钩攻门没有踢正皮球，富力的这波流畅攻势赢得了球迷喝彩
64'保利尼奥带球反击，往右路带交给高拉特                   61'第61分钟，弋腾带球前插策动攻势，雷纳尔迪尼奥突然斜传禁区，扎哈维顺势倒钩攻门没有踢正皮球，富力的这波流畅攻势赢得了球迷喝彩
64'传到中路的廖力生                   61'第61分钟，弋腾带球前插策动攻势，雷纳尔迪尼奥突然斜传禁区，扎哈维顺势倒钩攻门没有踢正皮球，富力的这波流畅攻势赢得了球迷喝彩
66'传给了卢琳                   66'第66分钟，富力利用快攻再度入球：卢琳将球横敲中路，雷纳尔迪尼奥利用速度在禁区内摆脱前冲，近距离面对门将施射破门
66'禁区内横拔给雷纳尔迪尼奥，雷纳尔迪尼奥面对曾诚大力抽网顶，球进了！                   66'第66分钟，富力利用快攻再度入球：卢琳将球横敲中路，雷纳尔迪尼奥利用速度在禁区内摆脱前冲，近距离面对门将施射破门
66'雷纳尔迪尼奥梅开二度，广州富力3：1领先广州恒大！                   66'第66分钟，富力利用快攻再度入球：卢琳将球横敲中路，雷纳尔迪尼奥利用速度在禁区内摆脱前冲，近距离面对门将施射破门
67'雷纳尔迪尼奥进球后来了个空翻！                   66'第66分钟，富力利用快攻再度入球：卢琳将球横敲中路，雷纳尔迪尼奥利用速度在禁区内摆脱前冲，近距离面对门将施射破门
68'恒大获得一个前场左侧的任意球机会                   66'第66分钟，富力利用快攻再度入球：卢琳将球横敲中路，雷纳尔迪尼奥利用速度在禁区内摆脱前冲，近距离面对门将施射破门
68'高拉特直传，于汉超传中被挡一下                   66'第66分钟，富力利用快攻再度入球：卢琳将球横敲中路，雷纳尔迪尼奥利用速度在禁区内摆脱前冲，近距离面对门将施射破门
68'张文钊打门被后卫挡住                   66'第66分钟，富力利用快攻再度入球：卢琳将球横敲中路，雷纳尔迪尼奥利用速度在禁区内摆脱前冲，近距离面对门将施射破门
68'高拉特带球直传被弋腾拦截                   66'第66分钟，富力利用快攻再度入球：卢琳将球横敲中路，雷纳尔迪尼奥利用速度在禁区内摆脱前冲，近距离面对门将施射破门
68'分左侧的姜至鹏                   66'第66分钟，富力利用快攻再度入球：卢琳将球横敲中路，雷纳尔迪尼奥利用速度在禁区内摆脱前冲，近距离面对门将施射破门
68'姜至鹏带球上来横传                   66'第66分钟，富力利用快攻再度入球：卢琳将球横敲中路，雷纳尔迪尼奥利用速度在禁区内摆脱前冲，近距离面对门将施射破门
69'扎哈维远射，曾诚奋力将球扑出底线                   66'第66分钟，富力利用快攻再度入球：卢琳将球横敲中路，雷纳尔迪尼奥利用速度在禁区内摆脱前冲，近距离面对门将施射破门
69'扎哈维打门的准度真是非常高                   66'第66分钟，富力利用快攻再度入球：卢琳将球横敲中路，雷纳尔迪尼奥利用速度在禁区内摆脱前冲，近距离面对门将施射破门
69'雷纳尔迪尼奥发角球                   66'第66分钟，富力利用快攻再度入球：卢琳将球横敲中路，雷纳尔迪尼奥利用速度在禁区内摆脱前冲，近距离面对门将施射破门
69'梅方头球解围                   66'第66分钟，富力利用快攻再度入球：卢琳将球横敲中路，雷纳尔迪尼奥利用速度在禁区内摆脱前冲，近距离面对门将施射破门
69'高拉特加一脚，张文钊接应被推倒                   66'第66分钟，富力利用快攻再度入球：卢琳将球横敲中路，雷纳尔迪尼奥利用速度在禁区内摆脱前冲，近距离面对门将施射破门
70'姜至鹏带球，长传上来，肖智争顶犯规                   70'比赛70分钟后，恒大利用连续的任意球、角球对富力形成围攻，但面对富力严密防守未能制造实质威胁
70'刘健交给金英权                   70'比赛70分钟后，恒大利用连续的任意球、角球对富力形成围攻，但面对富力严密防守未能制造实质威胁
70'直传，高拉特交给保利尼奥，被乌索抢断                   70'比赛70分钟后，恒大利用连续的任意球、角球对富力形成围攻，但面对富力严密防守未能制造实质威胁
71'带球上来，刘健交给于汉超                   70'比赛70分钟后，恒大利用连续的任意球、角球对富力形成围攻，但面对富力严密防守未能制造实质威胁
71'张文钊左路内切回传给金英权                   70'比赛70分钟后，恒大利用连续的任意球、角球对富力形成围攻，但面对富力严密防守未能制造实质威胁
71'直传，张文钊转身被雷纳尔迪尼奥推倒                   70'比赛70分钟后，恒大利用连续的任意球、角球对富力形成围攻，但面对富力严密防守未能制造实质威胁
72'廖力生主罚                   70'比赛70分钟后，恒大利用连续的任意球、角球对富力形成围攻，但面对富力严密防守未能制造实质威胁
72'廖力生直接打门，程月磊将球托出横梁                   70'比赛70分钟后，恒大利用连续的任意球、角球对富力形成围攻，但面对富力严密防守未能制造实质威胁
73'廖力生发角球，被李提香头球顶出禁区                   70'比赛70分钟后，恒大利用连续的任意球、角球对富力形成围攻，但面对富力严密防守未能制造实质威胁
73'于汉超抢射一脚，被肖智挡出底线                   70'比赛70分钟后，恒大利用连续的任意球、角球对富力形成围攻，但面对富力严密防守未能制造实质威胁
73'雷纳尔迪尼奥抽筋                   70'比赛70分钟后，恒大利用连续的任意球、角球对富力形成围攻，但面对富力严密防守未能制造实质威胁
84'球被刘健背后将球踢出底线                   84'第84分钟，卢琳挑传为富力策动快攻，扎哈维禁区内扣球摆脱金英权，刘健及时回追将球破坏
84'卢琳过来发角球                   84'第84分钟，卢琳挑传为富力策动快攻，扎哈维禁区内扣球摆脱金英权，刘健及时回追将球破坏
84'富力前场右路的角球机会                   84'第84分钟，卢琳挑传为富力策动快攻，扎哈维禁区内扣球摆脱金英权，刘健及时回追将球破坏
84'战术角球                   84'第84分钟，卢琳挑传为富力策动快攻，扎哈维禁区内扣球摆脱金英权，刘健及时回追将球破坏
85'唐淼传中，扎哈维抢头球攻门球进！                   84'第84分钟，卢琳挑传为富力策动快攻，扎哈维禁区内扣球摆脱金英权，刘健及时回追将球破坏
85'广州富力4：1广州恒大                   84'第84分钟，卢琳挑传为富力策动快攻，扎哈维禁区内扣球摆脱金英权，刘健及时回追将球破坏
85'富力锁定这三分                   84'第84分钟，卢琳挑传为富力策动快攻，扎哈维禁区内扣球摆脱金英权，刘健及时回追将球破坏
85'邹正左路停球，唐淼放铲将球铲出边线                   84'第84分钟，卢琳挑传为富力策动快攻，扎哈维禁区内扣球摆脱金英权，刘健及时回追将球破坏
86'邹正左路带球，直传                   84'第84分钟，卢琳挑传为富力策动快攻，扎哈维禁区内扣球摆脱金英权，刘健及时回追将球破坏
86'郜林接应分给张文钊                   84'第84分钟，卢琳挑传为富力策动快攻，扎哈维禁区内扣球摆脱金英权，刘健及时回追将球破坏
86'回传给了金英权                   84'第84分钟，卢琳挑传为富力策动快攻，扎哈维禁区内扣球摆脱金英权，刘健及时回追将球破坏
86'邹正左路得球，交给金英权                   84'第84分钟，卢琳挑传为富力策动快攻，扎哈维禁区内扣球摆脱金英权，刘健及时回追将球破坏
86'张成林斜吊禁区                   84'第84分钟，卢琳挑传为富力策动快攻，扎哈维禁区内扣球摆脱金英权，刘健及时回追将球破坏
87'郜林争下来，张文钊补一头被弋腾解围                   84'第84分钟，卢琳挑传为富力策动快攻，扎哈维禁区内扣球摆脱金英权，刘健及时回追将球破坏
87'广州富力换人，24号麦嘉健换下了29号肖智！                   84'第84分钟，卢琳挑传为富力策动快攻，扎哈维禁区内扣球摆脱金英权，刘健及时回追将球破坏
90'张文钊得球，边路传中，郜林抢前点头球顶入大门！                   90'第90分钟，恒大扳回一球：张文钊右路传中恰到好处，郜林前点头球破门
90'郜林为恒大多少挽回一点颜面                   90'第90分钟，恒大扳回一球：张文钊右路传中恰到好处，郜林前点头球破门
90'姜至鹏长传上来，刘健与麦嘉健争位置，球直接出底线                   90'第90分钟，恒大扳回一球：张文钊右路传中恰到好处，郜林前点头球破门
90'下半场补时5分钟                   90'第90分钟，恒大扳回一球：张文钊右路传中恰到好处，郜林前点头球破门
91'广州富力换人，19号姜积弘换下8号乌索                   90'第90分钟，恒大扳回一球：张文钊右路传中恰到好处，郜林前点头球破门
91'刘健长传，高拉特顶进来，黄政宇将球踢高                   90'第90分钟，恒大扳回一球：张文钊右路传中恰到好处，郜林前点头球破门
91'高拉特左路得球横传                   90'第90分钟，恒大扳回一球：张文钊右路传中恰到好处，郜林前点头球破门
91'郜林停球转身被张功解围                   90'第90分钟，恒大扳回一球：张文钊右路传中恰到好处，郜林前点头球破门
92'金英权长传被肖智顶一下                   90'第90分钟，恒大扳回一球：张文钊右路传中恰到好处，郜林前点头球破门
92'张成林抢第二点对麦嘉健犯规                   90'第90分钟，恒大扳回一球：张文钊右路传中恰到好处，郜林前点头球破门
92'姜积私因为拖延时间吃到黄牌！                   90'第90分钟，恒大扳回一球：张文钊右路传中恰到好处，郜林前点头球破门
