7'伊涅斯塔直塞，力量有些大                   7'第7分钟，梅西传球，伊涅斯塔禁区左侧的射门被胡安-卡洛斯轻松得到
53'终于来了                   53'巴萨第53分钟扩大比分，伊涅斯塔直传，佩德罗禁区左侧传中，苏亚雷斯漂亮拉球后小禁区边缘外脚背弹射破门，2-0
54'苏亚雷斯抱住佩德罗的头，一口...亲了上去                   53'巴萨第53分钟扩大比分，伊涅斯塔直传，佩德罗禁区左侧传中，苏亚雷斯漂亮拉球后小禁区边缘外脚背弹射破门，2-0
54'小白中路直塞，佩刀低平球再传中路，苏牙左脚将球领过来，面对门将推了一个小门                   53'巴萨第53分钟扩大比分，伊涅斯塔直传，佩德罗禁区左侧传中，苏亚雷斯漂亮拉球后小禁区边缘外脚背弹射破门，2-0
55'这下对于巴萨来说，比赛更好打了                   53'巴萨第53分钟扩大比分，伊涅斯塔直传，佩德罗禁区左侧传中，苏亚雷斯漂亮拉球后小禁区边缘外脚背弹射破门，2-0
55'小白分左路，力量稍微大了点                   53'巴萨第53分钟扩大比分，伊涅斯塔直传，佩德罗禁区左侧传中，苏亚雷斯漂亮拉球后小禁区边缘外脚背弹射破门，2-0
56'巴萨逐渐打开了                   53'巴萨第53分钟扩大比分，伊涅斯塔直传，佩德罗禁区左侧传中，苏亚雷斯漂亮拉球后小禁区边缘外脚背弹射破门，2-0
56'立柱~~~                   53'巴萨第53分钟扩大比分，伊涅斯塔直传，佩德罗禁区左侧传中，苏亚雷斯漂亮拉球后小禁区边缘外脚背弹射破门，2-0
56'拉基蒂奇的禁区外重炮轰门                   53'巴萨第53分钟扩大比分，伊涅斯塔直传，佩德罗禁区左侧传中，苏亚雷斯漂亮拉球后小禁区边缘外脚背弹射破门，2-0
56'打在了球门左侧的立柱                   53'巴萨第53分钟扩大比分，伊涅斯塔直传，佩德罗禁区左侧传中，苏亚雷斯漂亮拉球后小禁区边缘外脚背弹射破门，2-0
56'科尔多瓦逃过了一劫                   53'巴萨第53分钟扩大比分，伊涅斯塔直传，佩德罗禁区左侧传中，苏亚雷斯漂亮拉球后小禁区边缘外脚背弹射破门，2-0
56'拉基蒂奇的远射功夫还是不错的                   53'巴萨第53分钟扩大比分，伊涅斯塔直传，佩德罗禁区左侧传中，苏亚雷斯漂亮拉球后小禁区边缘外脚背弹射破门，2-0
56'巴萨逐渐打开了                   56'第56分钟，布斯克茨传球，拉基蒂奇25码处射门打中左侧立柱
56'立柱~~~                   56'第56分钟，布斯克茨传球，拉基蒂奇25码处射门打中左侧立柱
56'拉基蒂奇的禁区外重炮轰门                   56'第56分钟，布斯克茨传球，拉基蒂奇25码处射门打中左侧立柱
56'打在了球门左侧的立柱                   56'第56分钟，布斯克茨传球，拉基蒂奇25码处射门打中左侧立柱
56'科尔多瓦逃过了一劫                   56'第56分钟，布斯克茨传球，拉基蒂奇25码处射门打中左侧立柱
56'拉基蒂奇的远射功夫还是不错的                   56'第56分钟，布斯克茨传球，拉基蒂奇25码处射门打中左侧立柱
58'场上有球员倒地                   56'第56分钟，布斯克茨传球，拉基蒂奇25码处射门打中左侧立柱
58'科尔多瓦的洛佩斯貌似是被佩德罗撞在了大腿上                   56'第56分钟，布斯克茨传球，拉基蒂奇25码处射门打中左侧立柱
80'今天貌似就没有一次射门能威胁到对方门将                   80'巴萨第80分钟锁定胜局，哈维左路任意球传中，皮克小禁区前强力冲顶入网，3-0
80'巴萨制造了一个边路定位球                   80'巴萨第80分钟锁定胜局，哈维左路任意球传中，皮克小禁区前强力冲顶入网，3-0
80'哈维传中~                   80'巴萨第80分钟锁定胜局，哈维左路任意球传中，皮克小禁区前强力冲顶入网，3-0
80'皮克~~~                   80'巴萨第80分钟锁定胜局，哈维左路任意球传中，皮克小禁区前强力冲顶入网，3-0
80'Goooooooooooooooooal~~~                   80'巴萨第80分钟锁定胜局，哈维左路任意球传中，皮克小禁区前强力冲顶入网，3-0
81'皮克本赛季西甲的第二个进球                   80'巴萨第80分钟锁定胜局，哈维左路任意球传中，皮克小禁区前强力冲顶入网，3-0
81'两次都是定位球机会头球破门                   80'巴萨第80分钟锁定胜局，哈维左路任意球传中，皮克小禁区前强力冲顶入网，3-0
81'哈维的传中到前点，居然没人盯防皮克~轻松的门前冲顶将球打入                   80'巴萨第80分钟锁定胜局，哈维左路任意球传中，皮克小禁区前强力冲顶入网，3-0
82'黄平钰 他在想结婚---好吧，你赢了                   80'巴萨第80分钟锁定胜局，哈维左路任意球传中，皮克小禁区前强力冲顶入网，3-0
82'Dream93990 梅西怎么不见了？？？？？？---离球门太远                   80'巴萨第80分钟锁定胜局，哈维左路任意球传中，皮克小禁区前强力冲顶入网，3-0
82'苏牙逼得了一个角球                   80'巴萨第80分钟锁定胜局，哈维左路任意球传中，皮克小禁区前强力冲顶入网，3-0
83'梅西~~~                   80'巴萨第80分钟锁定胜局，哈维左路任意球传中，皮克小禁区前强力冲顶入网，3-0
83'Goooooooooooooooooooal~~~                   80'巴萨第80分钟锁定胜局，哈维左路任意球传中，皮克小禁区前强力冲顶入网，3-0
83'又是右脚将球打进                   80'巴萨第80分钟锁定胜局，哈维左路任意球传中，皮克小禁区前强力冲顶入网，3-0
92'Gooooooooooooooooooal~~~                   92'第92分钟，阿尔巴左路传中被顶出，梅西10码处漂亮停球后直接转身抽射入网，5-0
92'还是右脚~~~                   92'第92分钟，阿尔巴左路传中被顶出，梅西10码处漂亮停球后直接转身抽射入网，5-0
92'阿尔巴的传中，被后卫头球顶向了后点                   92'第92分钟，阿尔巴左路传中被顶出，梅西10码处漂亮停球后直接转身抽射入网，5-0
92'变成了乌龙助攻，梅西左脚将球卸下，转身打门~~~                   92'第92分钟，阿尔巴左路传中被顶出，梅西10码处漂亮停球后直接转身抽射入网，5-0
92'门将触不及防之下，虽然扑到了球但是球还是弹入了网窝                   92'第92分钟，阿尔巴左路传中被顶出，梅西10码处漂亮停球后直接转身抽射入网，5-0
