7'迪马利亚右路拿球，利用自己的速度摆脱                   7'第7分钟，维克托-佩雷斯25码处劲射偏出
26'卡瓦略拿球，在转移给到科恩特朗                   26'皇马第26分钟扳平比分，本泽马分球右路，迪马利亚闪过2人在禁区右侧15码处小角度射门，皮球被瓦里恩特前点伸腿封挡后偏转入近角
27'皇马经过连续的转移球，球到右路迪马利亚脚下                   26'皇马第26分钟扳平比分，本泽马分球右路，迪马利亚闪过2人在禁区右侧15码处小角度射门，皮球被瓦里恩特前点伸腿封挡后偏转入近角
27'进球了，迪马利亚！！！                   26'皇马第26分钟扳平比分，本泽马分球右路，迪马利亚闪过2人在禁区右侧15码处小角度射门，皮球被瓦里恩特前点伸腿封挡后偏转入近角
27'这是迪马利亚联赛打进的个人第六粒进球                   26'皇马第26分钟扳平比分，本泽马分球右路，迪马利亚闪过2人在禁区右侧15码处小角度射门，皮球被瓦里恩特前点伸腿封挡后偏转入近角
29'进球回放：迪马利亚右路拿球，进入禁区，横切中闪开角度，左脚怒射，球打在瓦里恩特伸出来的脚尖上进网！！！                   26'皇马第26分钟扳平比分，本泽马分球右路，迪马利亚闪过2人在禁区右侧15码处小角度射门，皮球被瓦里恩特前点伸腿封挡后偏转入近角
29'C罗禁区外拿球，艾贝尔身后上抢直接铲翻了C罗                   26'皇马第26分钟扳平比分，本泽马分球右路，迪马利亚闪过2人在禁区右侧15码处小角度射门，皮球被瓦里恩特前点伸腿封挡后偏转入近角
29'皇马获得禁区外的任意球机会                   26'皇马第26分钟扳平比分，本泽马分球右路，迪马利亚闪过2人在禁区右侧15码处小角度射门，皮球被瓦里恩特前点伸腿封挡后偏转入近角
29'C罗的任意球攻门，打在人墙上出底线                   26'皇马第26分钟扳平比分，本泽马分球右路，迪马利亚闪过2人在禁区右侧15码处小角度射门，皮球被瓦里恩特前点伸腿封挡后偏转入近角
32'本泽马前场抢断，左路拿球下底，被后卫将球挡出边线                   32'皇马第32分钟反超比分，迪马利亚右路传中，C-罗纳尔多10码处头球破门，2-1
32'C罗前场拿球，面对上抢的球员一扣                   32'皇马第32分钟反超比分，迪马利亚右路传中，C-罗纳尔多10码处头球破门，2-1
32'上抢队员倒地，自己接着的左脚打门，打在后卫身上出底线                   32'皇马第32分钟反超比分，迪马利亚右路传中，C-罗纳尔多10码处头球破门，2-1
33'皇马球员的角球机会，第一点被巴拉多利德球员解围                   32'皇马第32分钟反超比分，迪马利亚右路传中，C-罗纳尔多10码处头球破门，2-1
33'皇马球员右路继续传中，迪马利亚                   32'皇马第32分钟反超比分，迪马利亚右路传中，C-罗纳尔多10码处头球破门，2-1
33'C罗的头球攻门，打进！！！                   32'皇马第32分钟反超比分，迪马利亚右路传中，C-罗纳尔多10码处头球破门，2-1
33'C罗的超强滞空能力，让其轻松一个回头望月，头球打进                   32'皇马第32分钟反超比分，迪马利亚右路传中，C-罗纳尔多10码处头球破门，2-1
34'进球回放：迪马利亚右路拿球，左脚的起球到禁区，C罗高高跃起，回头望月，头球攻门顶进                   32'皇马第32分钟反超比分，迪马利亚右路传中，C-罗纳尔多10码处头球破门，2-1
35'不过有意思的是，C罗进球皇马反超后，全队并没有多少庆祝动作，都是一脸的漠然                   32'皇马第32分钟反超比分，迪马利亚右路传中，C-罗纳尔多10码处头球破门，2-1
35'巴拉多利德再进一个，扳平比分                   32'皇马第32分钟反超比分，迪马利亚右路传中，C-罗纳尔多10码处头球破门，2-1
35'哈维-古埃拉                   32'皇马第32分钟反超比分，迪马利亚右路传中，C-罗纳尔多10码处头球破门，2-1
36'奥马尔-拉莫斯的左路传中，哈维-古埃拉中路插上，一个俯身冲顶，将球顶进                   36'第36分钟，摩德里奇传球，C-罗纳尔多禁区边缘内劲射被吉米扑出
36'皇马左路进攻获得角球机会，左侧角球                   36'第36分钟，摩德里奇传球，C-罗纳尔多禁区边缘内劲射被吉米扑出
37'角球开出到禁区，C罗头球摆渡                   36'第36分钟，摩德里奇传球，C-罗纳尔多禁区边缘内劲射被吉米扑出
37'本泽马后点包抄打进，不过边裁举旗啦，越位在先，进球无效                   36'第36分钟，摩德里奇传球，C-罗纳尔多禁区边缘内劲射被吉米扑出
38'卡卡前场拿球，禁区线上分边给到本泽马                   36'第36分钟，摩德里奇传球，C-罗纳尔多禁区边缘内劲射被吉米扑出
38'本泽马拿球，连续的盘带，禁区弧位置起脚打门，打的太正，被贾梅没收                   36'第36分钟，摩德里奇传球，C-罗纳尔多禁区边缘内劲射被吉米扑出
39'奥马尔-拉莫斯中场逼抢中，一个剪刀腿，将莫德里奇铲翻在地                   36'第36分钟，摩德里奇传球，C-罗纳尔多禁区边缘内劲射被吉米扑出
39'奥马尔-拉莫斯被主裁判出示了黄牌警告                   36'第36分钟，摩德里奇传球，C-罗纳尔多禁区边缘内劲射被吉米扑出
39'这也是本场比赛的第一张黄牌                   36'第36分钟，摩德里奇传球，C-罗纳尔多禁区边缘内劲射被吉米扑出
39'皇马前场传球失误，巴拉多利德的反击                   36'第36分钟，摩德里奇传球，C-罗纳尔多禁区边缘内劲射被吉米扑出
37'角球开出到禁区，C罗头球摆渡                   37'第37分钟，奥马尔-拉莫斯传球，巴伦齐亚加禁区左侧15码处射门高出
37'本泽马后点包抄打进，不过边裁举旗啦，越位在先，进球无效                   37'第37分钟，奥马尔-拉莫斯传球，巴伦齐亚加禁区左侧15码处射门高出
38'卡卡前场拿球，禁区线上分边给到本泽马                   37'第37分钟，奥马尔-拉莫斯传球，巴伦齐亚加禁区左侧15码处射门高出
38'本泽马拿球，连续的盘带，禁区弧位置起脚打门，打的太正，被贾梅没收                   37'第37分钟，奥马尔-拉莫斯传球，巴伦齐亚加禁区左侧15码处射门高出
39'奥马尔-拉莫斯中场逼抢中，一个剪刀腿，将莫德里奇铲翻在地                   37'第37分钟，奥马尔-拉莫斯传球，巴伦齐亚加禁区左侧15码处射门高出
39'奥马尔-拉莫斯被主裁判出示了黄牌警告                   37'第37分钟，奥马尔-拉莫斯传球，巴伦齐亚加禁区左侧15码处射门高出
39'这也是本场比赛的第一张黄牌                   37'第37分钟，奥马尔-拉莫斯传球，巴伦齐亚加禁区左侧15码处射门高出
39'皇马前场传球失误，巴拉多利德的反击                   37'第37分钟，奥马尔-拉莫斯传球，巴伦齐亚加禁区左侧15码处射门高出
40'奥马尔-拉莫斯前场拿球，禁区外直接起脚，迭戈-洛佩斯轻松将球没收                   37'第37分钟，奥马尔-拉莫斯传球，巴伦齐亚加禁区左侧15码处射门高出
38'卡卡前场拿球，禁区线上分边给到本泽马                   38'第38分钟，奥马尔-拉莫斯对摩德里奇犯规被罚黄牌
38'本泽马拿球，连续的盘带，禁区弧位置起脚打门，打的太正，被贾梅没收                   38'第38分钟，奥马尔-拉莫斯对摩德里奇犯规被罚黄牌
39'奥马尔-拉莫斯中场逼抢中，一个剪刀腿，将莫德里奇铲翻在地                   38'第38分钟，奥马尔-拉莫斯对摩德里奇犯规被罚黄牌
39'奥马尔-拉莫斯被主裁判出示了黄牌警告                   38'第38分钟，奥马尔-拉莫斯对摩德里奇犯规被罚黄牌
39'这也是本场比赛的第一张黄牌                   38'第38分钟，奥马尔-拉莫斯对摩德里奇犯规被罚黄牌
39'皇马前场传球失误，巴拉多利德的反击                   38'第38分钟，奥马尔-拉莫斯对摩德里奇犯规被罚黄牌
40'奥马尔-拉莫斯前场拿球，禁区外直接起脚，迭戈-洛佩斯轻松将球没收                   38'第38分钟，奥马尔-拉莫斯对摩德里奇犯规被罚黄牌
41'心属皇家马德里:啥玩意，今晚来个进球大战，7比4可以了（皇马在伯纳乌近6战面对巴拉多利德，保持全胜，场均4.6球）                   38'第38分钟，奥马尔-拉莫斯对摩德里奇犯规被罚黄牌
41'巴拉多利德右路的传中，卡瓦略将球解围出底线                   38'第38分钟，奥马尔-拉莫斯对摩德里奇犯规被罚黄牌
41'巴拉多利德右侧角球机会，开到后点，没有人啊                   38'第38分钟，奥马尔-拉莫斯对摩德里奇犯规被罚黄牌
44'C罗的任意球，击中横梁弹出。。。                   44'第44分钟，赫迪拉对巴伦齐亚加犯规也得到黄牌
44'这个任意球是卡卡的突破赢得                   44'第44分钟，赫迪拉对巴伦齐亚加犯规也得到黄牌
44'慢镜头显示，C罗的任意球击中横梁下来打在左侧立柱外侧弹出来的                   44'第44分钟，赫迪拉对巴伦齐亚加犯规也得到黄牌
45'赫迪拉在中场的一次防守中被吹犯规，并被主裁判出示了黄牌警告                   44'第44分钟，赫迪拉对巴伦齐亚加犯规也得到黄牌
46'奥斯卡左路拿球，斜传禁区，迭戈-洛佩斯出击，单拳将球打出边线                   44'第44分钟，赫迪拉对巴伦齐亚加犯规也得到黄牌
46'上半场补时1分钟                   44'第44分钟，赫迪拉对巴伦齐亚加犯规也得到黄牌
46'巴拉多利德前场再组织进攻，佩雷斯的直塞                   44'第44分钟，赫迪拉对巴伦齐亚加犯规也得到黄牌
46'古埃拉得球转身打门，迭戈-洛佩斯将球拿到                   44'第44分钟，赫迪拉对巴伦齐亚加犯规也得到黄牌
47'皇马的前场进攻，本泽马的打门被贾梅扑出                   44'第44分钟，赫迪拉对巴伦齐亚加犯规也得到黄牌
46'下半场比赛开始                   44'第44分钟，赫迪拉对巴伦齐亚加犯规也得到黄牌
46'巴拉多利德开球，从左向右进攻                   44'第44分钟，赫迪拉对巴伦齐亚加犯规也得到黄牌
46'巴拉多利德左路的进攻，纳乔将球解围出边线                   44'第44分钟，赫迪拉对巴伦齐亚加犯规也得到黄牌
47'本泽马和对方球员中圈争顶，人仰马翻，双双倒地                   44'第44分钟，赫迪拉对巴伦齐亚加犯规也得到黄牌
47'C罗上半场打进的一球，是他本赛季联赛的第32粒进球                   44'第44分钟，赫迪拉对巴伦齐亚加犯规也得到黄牌
49'下半场开始双方并没有人员上的调整                   49'皇马第49分钟再度领先，本泽马传球，卡卡禁区左侧10码处斜射破门，3-2
49'卡卡！！！！进球啦！！！                   49'皇马第49分钟再度领先，本泽马传球，卡卡禁区左侧10码处斜射破门，3-2
50'卡卡小禁区左侧接到队友传球，左脚斜射破网，给力啊！！！                   49'皇马第49分钟再度领先，本泽马传球，卡卡禁区左侧10码处斜射破门，3-2
50'中间突破送妙传的本泽马！！！                   49'皇马第49分钟再度领先，本泽马传球，卡卡禁区左侧10码处斜射破门，3-2
51'巴拉多利德的前场进攻，奥马尔-拉莫斯的传中                   49'皇马第49分钟再度领先，本泽马传球，卡卡禁区左侧10码处斜射破门，3-2
51'佩佩在包抄的球员之前将球碰出了底线                   49'皇马第49分钟再度领先，本泽马传球，卡卡禁区左侧10码处斜射破门，3-2
51'巴拉多利德获得右侧角球机会，并没形成威胁                   49'皇马第49分钟再度领先，本泽马传球，卡卡禁区左侧10码处斜射破门，3-2
54'慢镜头显示，迪马利亚的传中，确实打在了对方后卫鲁埃达的手臂上                   54'第54分钟，卡卡直传，本泽马禁区左侧12码处射门被吉米没收
54'不过地点在大禁区外，没有点球的机会                   54'第54分钟，卡卡直传，本泽马禁区左侧12码处射门被吉米没收
54'巴拉多利德中场过顶球到门前，古埃拉的包抄垫射，打飞                   54'第54分钟，卡卡直传，本泽马禁区左侧12码处射门被吉米没收
55'本泽马的一次进攻中，右脚打门，贾梅将球拿到                   54'第54分钟，卡卡直传，本泽马禁区左侧12码处射门被吉米没收
56'巴拉多利德率先调整：15号布雷诺换下14号奥马尔-拉莫斯                   54'第54分钟，卡卡直传，本泽马禁区左侧12码处射门被吉米没收
56'巴拉多利德中圈位置的过顶球到左路                   54'第54分钟，卡卡直传，本泽马禁区左侧12码处射门被吉米没收
57'左路插上的队友拿球，横带，接着转移球到右路找奥斯卡                   54'第54分钟，卡卡直传，本泽马禁区左侧12码处射门被吉米没收
57'奥斯卡拿球横带，没有起脚机会                   54'第54分钟，卡卡直传，本泽马禁区左侧12码处射门被吉米没收
57'再传时丢球啦，反抢被吹拉人犯规                   54'第54分钟，卡卡直传，本泽马禁区左侧12码处射门被吉米没收
64'C罗前场拿球，维克多-佩雷斯的剪刀腿，将C罗铲翻在地                   64'第64分钟，维克托-佩雷斯铲倒C-罗纳尔多被罚黄牌，摩德里奇左路任意球传中，佩佩小禁区前头球攻门高出
64'维克多-佩雷斯被裁判出示黄牌警告                   64'第64分钟，维克托-佩雷斯铲倒C-罗纳尔多被罚黄牌，摩德里奇左路任意球传中，佩佩小禁区前头球攻门高出
64'皇马再次获得前场任意球机会，偏向左路                   64'第64分钟，维克托-佩雷斯铲倒C-罗纳尔多被罚黄牌，摩德里奇左路任意球传中，佩佩小禁区前头球攻门高出
65'莫德里奇任意球开到禁区，佩佩头球，出了底线                   64'第64分钟，维克托-佩雷斯铲倒C-罗纳尔多被罚黄牌，摩德里奇左路任意球传中，佩佩小禁区前头球攻门高出
66'下半场比赛也已经20分钟了，比分3-2，皇马领先                   64'第64分钟，维克托-佩雷斯铲倒C-罗纳尔多被罚黄牌，摩德里奇左路任意球传中，佩佩小禁区前头球攻门高出
66'巴拉多利德的进攻再次获得左侧角球机会                   64'第64分钟，维克托-佩雷斯铲倒C-罗纳尔多被罚黄牌，摩德里奇左路任意球传中，佩佩小禁区前头球攻门高出
67'角球开出到禁区，古埃拉的前点包抄打门，打在边网上                   64'第64分钟，维克托-佩雷斯铲倒C-罗纳尔多被罚黄牌，摩德里奇左路任意球传中，佩佩小禁区前头球攻门高出
68'皇马做出人员调整：厄齐尔换下表现出色的卡卡                   68'第68分钟，厄齐尔和阿隆索分别换下卡卡和迪马利亚
68'同时迪马利亚被阿隆索换下                   68'第68分钟，厄齐尔和阿隆索分别换下卡卡和迪马利亚
69'莫德里奇禁区右侧背身拿球，底线走，结果自己将球带出了底线                   68'第68分钟，厄齐尔和阿隆索分别换下卡卡和迪马利亚
69'赫迪拉和厄齐尔的撞墙配合，厄齐尔底线内切，横传赢得角球机会                   68'第68分钟，厄齐尔和阿隆索分别换下卡卡和迪马利亚
70'厄齐尔角球开出到中路，没有队员顶到                   68'第68分钟，厄齐尔和阿隆索分别换下卡卡和迪马利亚
70'本泽马后点拿球，右脚打门，打在后卫身上出底线                   68'第68分钟，厄齐尔和阿隆索分别换下卡卡和迪马利亚
70'皇马继续右侧角球机会，厄齐尔主罚                   68'第68分钟，厄齐尔和阿隆索分别换下卡卡和迪马利亚
70'C罗，梅开二度！！！！！                   68'第68分钟，厄齐尔和阿隆索分别换下卡卡和迪马利亚
71'厄齐尔角球开出，C罗头球攻门顶进，和上一个进球如出一辙啊                   68'第68分钟，厄齐尔和阿隆索分别换下卡卡和迪马利亚
71'皇马第三个换人：伊瓜因换下本泽马                   68'第68分钟，厄齐尔和阿隆索分别换下卡卡和迪马利亚
73'科恩特朗左路拿球，横传给到阿隆索                   73'第73分钟，阿隆索传球，摩德里奇远射偏出
73'阿隆索在回做时，被上抢的古埃拉将球碰出边线                   73'第73分钟，阿隆索传球，摩德里奇远射偏出
74'莫德里奇中路接到队友传球，趟出两步，禁区线上左脚打门，踢飞了                   73'第73分钟，阿隆索传球，摩德里奇远射偏出
74'莫德里奇禁区外直塞找插上的赫迪拉                   73'第73分钟，阿隆索传球，摩德里奇远射偏出
75'贾梅出击将球封堵                   73'第73分钟，阿隆索传球，摩德里奇远射偏出
75'接着厄齐尔的跟上打门，又被后卫挡了出来                   73'第73分钟，阿隆索传球，摩德里奇远射偏出
76'全场比赛75分钟了，比分4-2，皇马领先                   73'第73分钟，阿隆索传球，摩德里奇远射偏出
76'莫德里奇中路拿球，直塞给到C罗                   73'第73分钟，阿隆索传球，摩德里奇远射偏出
76'C罗左路拿球，面对两名防守球员，强突                   73'第73分钟，阿隆索传球，摩德里奇远射偏出
81'皇马的前场进攻，伊瓜因中路拿球分边左路科恩特朗                   81'第81分钟，埃伯特传球，布埃诺20码处劲射被迭戈-洛佩斯扑出，皇马门将又神勇扑出了奥斯卡在12码处的补射
81'科恩特朗的下底传中，力量稍大，到了后点没有人拿到                   81'第81分钟，埃伯特传球，布埃诺20码处劲射被迭戈-洛佩斯扑出，皇马门将又神勇扑出了奥斯卡在12码处的补射
82'倒勾凌空射门:刚到，皇马都谁进球了啊？比赛是不是很精彩啊？主播连技术统计都没更新（技术统计卡壳了，正在修复）                   81'第81分钟，埃伯特传球，布埃诺20码处劲射被迭戈-洛佩斯扑出，皇马门将又神勇扑出了奥斯卡在12码处的补射
83'皇马今天后防线的漏洞好多，巴拉多利德也是看到机会，继续攻击中                   81'第81分钟，埃伯特传球，布埃诺20码处劲射被迭戈-洛佩斯扑出，皇马门将又神勇扑出了奥斯卡在12码处的补射
83'阿隆索前场拿球，直塞给到伊瓜因                   81'第81分钟，埃伯特传球，布埃诺20码处劲射被迭戈-洛佩斯扑出，皇马门将又神勇扑出了奥斯卡在12码处的补射
84'伊瓜因拿球趟出两步，闪开角度的一脚低射，贾梅倒地将球没收                   81'第81分钟，埃伯特传球，布埃诺20码处劲射被迭戈-洛佩斯扑出，皇马门将又神勇扑出了奥斯卡在12码处的补射
84'全场比赛84分钟了，比分4-2，皇马领先，还会进球吗                   81'第81分钟，埃伯特传球，布埃诺20码处劲射被迭戈-洛佩斯扑出，皇马门将又神勇扑出了奥斯卡在12码处的补射
85'莫德里奇中圈拿球，斜塞给到厄齐尔                   85'第85分钟，奥斯卡30码外远程吊射又被迭戈-洛佩斯返身扑出
85'厄齐尔的直塞打身后，巴拉多利德抢断                   85'第85分钟，奥斯卡30码外远程吊射又被迭戈-洛佩斯返身扑出
85'巴拉多利德的反击，马努乔看到迭戈-洛佩斯站位靠前                   85'第85分钟，奥斯卡30码外远程吊射又被迭戈-洛佩斯返身扑出
85'直接一脚吊门，迭戈-洛佩斯后退中将球托出底线                   85'第85分钟，奥斯卡30码外远程吊射又被迭戈-洛佩斯返身扑出
85'巴拉多利德角球机会，并没有什么威胁                   85'第85分钟，奥斯卡30码外远程吊射又被迭戈-洛佩斯返身扑出
87'皇马最近4个主场比赛，厄齐尔都有助攻上演，牛人啊                   85'第85分钟，奥斯卡30码外远程吊射又被迭戈-洛佩斯返身扑出
87'巴拉多利德右路的进攻，鲁卡维纳边路传中，球打在了科恩特朗脸上出边线                   85'第85分钟，奥斯卡30码外远程吊射又被迭戈-洛佩斯返身扑出
88'巴拉多利德再进一个！！！                   85'第85分钟，奥斯卡30码外远程吊射又被迭戈-洛佩斯返身扑出
87'皇马最近4个主场比赛，厄齐尔都有助攻上演，牛人啊                   87'巴拉多利德第87分钟拉近差距，皇马解围角球，替补出场的萨斯特雷25码处凌空抽射反弹球入右下角，3-4
87'巴拉多利德右路的进攻，鲁卡维纳边路传中，球打在了科恩特朗脸上出边线                   87'巴拉多利德第87分钟拉近差距，皇马解围角球，替补出场的萨斯特雷25码处凌空抽射反弹球入右下角，3-4
88'巴拉多利德再进一个！！！                   87'巴拉多利德第87分钟拉近差距，皇马解围角球，替补出场的萨斯特雷25码处凌空抽射反弹球入右下角，3-4
89'巴拉多利德右边路传中到禁区，第一点被皇马球员解围，萨斯特雷的迎上一脚世界波，球在门前弹地后进网                   87'巴拉多利德第87分钟拉近差距，皇马解围角球，替补出场的萨斯特雷25码处凌空抽射反弹球入右下角，3-4
89'全场比赛进入尾声了，比分4-3，皇马领先                   87'巴拉多利德第87分钟拉近差距，皇马解围角球，替补出场的萨斯特雷25码处凌空抽射反弹球入右下角，3-4
90'刚刚为巴拉多利德进球的是下半场换上的16号萨斯特雷                   87'巴拉多利德第87分钟拉近差距，皇马解围角球，替补出场的萨斯特雷25码处凌空抽射反弹球入右下角，3-4
