1'好了，主裁判吹响了上半场比赛开始的哨音~                   1'巴萨第1分钟占据主动全力施压
14'李佩苦海无涯01:13  呵呵，柠檬，我记得刚刚你有在播英超啊，好像是曼联还是利物浦？你说你是西甲球迷，喜欢我萨吗？---是滴~                   13'第13分钟，法布雷加斯禁区左侧传回，伊涅斯塔禁区边缘凌空抽射被埃雷拉扑挡后憾中横梁弹回
15'永远不会独行zhan01:12  如果这轮马竞 巴萨都赢，最后一轮巴萨如果战胜马竞那么谁是冠军？？---巴萨冠军~最后同分的情况下巴萨对马竞的战绩会成为夺冠的关键                   13'第13分钟，法布雷加斯禁区左侧传回，伊涅斯塔禁区边缘凌空抽射被埃雷拉扑挡后憾中横梁弹回
15'埃尔切攻到了前场~                   13'第13分钟，法布雷加斯禁区左侧传回，伊涅斯塔禁区边缘凌空抽射被埃雷拉扑挡后憾中横梁弹回
16'鲁本突然起脚远射~球打高了                   13'第13分钟，法布雷加斯禁区左侧传回，伊涅斯塔禁区边缘凌空抽射被埃雷拉扑挡后憾中横梁弹回
16'桑切斯右路传中打在了后卫身上                   13'第13分钟，法布雷加斯禁区左侧传回，伊涅斯塔禁区边缘凌空抽射被埃雷拉扑挡后憾中横梁弹回
16'裁判鸣哨了~                   13'第13分钟，法布雷加斯禁区左侧传回，伊涅斯塔禁区边缘凌空抽射被埃雷拉扑挡后憾中横梁弹回
16'吹了桑切斯抢球犯规                   13'第13分钟，法布雷加斯禁区左侧传回，伊涅斯塔禁区边缘凌空抽射被埃雷拉扑挡后憾中横梁弹回
16'木颜尘: 岁月不饶人啊，小白30---时间过得好快~小白已成一代大师                   13'第13分钟，法布雷加斯禁区左侧传回，伊涅斯塔禁区边缘凌空抽射被埃雷拉扑挡后憾中横梁弹回
16'替补席上看到了哈维跟阿费莱的身影                   13'第13分钟，法布雷加斯禁区左侧传回，伊涅斯塔禁区边缘凌空抽射被埃雷拉扑挡后憾中横梁弹回
25'梅西~右路奔袭！                   25'第25分钟，布斯克茨传球，梅西突破至禁区边缘外劲射被埃雷拉扑出
25'到了弧顶处打门~~门将将球扑出                   25'第25分钟，布斯克茨传球，梅西突破至禁区边缘外劲射被埃雷拉扑出
25'巴萨的角球                   25'第25分钟，布斯克茨传球，梅西突破至禁区边缘外劲射被埃雷拉扑出
25'换到小法来处理~                   25'第25分钟，布斯克茨传球，梅西突破至禁区边缘外劲射被埃雷拉扑出
25'传中落点不错！                   25'第25分钟，布斯克茨传球，梅西突破至禁区边缘外劲射被埃雷拉扑出
25'桑切斯头球攻门~~太正了                   25'第25分钟，布斯克茨传球，梅西突破至禁区边缘外劲射被埃雷拉扑出
26'阿德在中场踢人犯规                   25'第25分钟，布斯克茨传球，梅西突破至禁区边缘外劲射被埃雷拉扑出
26'裁判叫过来口头警告了一下                   25'第25分钟，布斯克茨传球，梅西突破至禁区边缘外劲射被埃雷拉扑出
27'桑切斯~漂亮！                   25'第25分钟，布斯克茨传球，梅西突破至禁区边缘外劲射被埃雷拉扑出
27'轻巧的转身过人~                   25'第25分钟，布斯克茨传球，梅西突破至禁区边缘外劲射被埃雷拉扑出
27'被铲倒了~                   25'第25分钟，布斯克茨传球，梅西突破至禁区边缘外劲射被埃雷拉扑出
27'裁判没有吹罚                   25'第25分钟，布斯克茨传球，梅西突破至禁区边缘外劲射被埃雷拉扑出
27'这个明显的滑铲犯规                   25'第25分钟，布斯克茨传球，梅西突破至禁区边缘外劲射被埃雷拉扑出
27'裁判居然没有任何表示                   25'第25分钟，布斯克茨传球，梅西突破至禁区边缘外劲射被埃雷拉扑出
28'上一次对阵埃尔切~桑切斯可是上演了帽子戏法                   25'第25分钟，布斯克茨传球，梅西突破至禁区边缘外劲射被埃雷拉扑出
28'断球反击~梅西在边路被放倒                   25'第25分钟，布斯克茨传球，梅西突破至禁区边缘外劲射被埃雷拉扑出
28'裁判这下要掏牌了                   25'第25分钟，布斯克茨传球，梅西突破至禁区边缘外劲射被埃雷拉扑出
28'给了18号佩莱格林一张黄牌                   25'第25分钟，布斯克茨传球，梅西突破至禁区边缘外劲射被埃雷拉扑出
34'佩刀~拍马赶到！头球攻门~~~                   34'第34分钟，桑切斯禁区右侧传中，佩德罗15码处头球攻门弹地后擦右侧立柱偏出
34'弹地之后擦着右侧立柱飞出底线                   34'第34分钟，桑切斯禁区右侧传中，佩德罗15码处头球攻门弹地后擦右侧立柱偏出
34'只差了一点啊                   34'第34分钟，桑切斯禁区右侧传中，佩德罗15码处头球攻门弹地后擦右侧立柱偏出
35'桑切斯在防守中也非常积极                   34'第34分钟，桑切斯禁区右侧传中，佩德罗15码处头球攻门弹地后擦右侧立柱偏出
36'跟阿尔维斯合力将球断下                   34'第34分钟，桑切斯禁区右侧传中，佩德罗15码处头球攻门弹地后擦右侧立柱偏出
36'不过裁判又吹哨了                   34'第34分钟，桑切斯禁区右侧传中，佩德罗15码处头球攻门弹地后擦右侧立柱偏出
36'阿尔维斯的犯规~                   34'第34分钟，桑切斯禁区右侧传中，佩德罗15码处头球攻门弹地后擦右侧立柱偏出
36'埃尔切的左路定位球                   34'第34分钟，桑切斯禁区右侧传中，佩德罗15码处头球攻门弹地后擦右侧立柱偏出
36'传中吊向禁区~前点头球后蹭！                   34'第34分钟，桑切斯禁区右侧传中，佩德罗15码处头球攻门弹地后擦右侧立柱偏出
36'平托出击将球没收                   34'第34分钟，桑切斯禁区右侧传中，佩德罗15码处头球攻门弹地后擦右侧立柱偏出
37'阿尔维斯的传中打在了后卫手臂上                   34'第34分钟，桑切斯禁区右侧传中，佩德罗15码处头球攻门弹地后擦右侧立柱偏出
37'巴萨的边路定位球                   34'第34分钟，桑切斯禁区右侧传中，佩德罗15码处头球攻门弹地后擦右侧立柱偏出
45'巴尔特拉一次成功的边路防守                   45'第45分钟，梅西传球，佩德罗禁区前射偏
45'迫使对方球员将球带出了界外                   45'第45分钟，梅西传球，佩德罗禁区前射偏
45'梅西带球反击~                   45'第45分钟，梅西传球，佩德罗禁区前射偏
45'交给了佩德罗~禁区线上想搓个角度~                   45'第45分钟，梅西传球，佩德罗禁区前射偏
45'球打高了很多啊                   45'第45分钟，梅西传球，佩德罗禁区前射偏
46'另外一场比赛，塞尔塔1比0领先皇马                   45'第45分钟，梅西传球，佩德罗禁区前射偏
46'下半场比赛开始了~                   45'第45分钟，梅西传球，佩德罗禁区前射偏
46'两队都没有换人                   45'第45分钟，梅西传球，佩德罗禁区前射偏
47'snobbish02:00  桑切斯状态确实好，，，，---对埃尔切他可是上演过帽子戏法~                   45'第45分钟，梅西传球，佩德罗禁区前射偏
47'小法脚下太慢~                   45'第45分钟，梅西传球，佩德罗禁区前射偏
47'过人之后没能及时调整过来~后卫先出一脚将球捅走                   45'第45分钟，梅西传球，佩德罗禁区前射偏
48'梅西~~~                   45'第45分钟，梅西传球，佩德罗禁区前射偏
48'接到了阿尔维斯的挑传~没有越位！                   45'第45分钟，梅西传球，佩德罗禁区前射偏
48'面对门将了~~打门被扑出                   45'第45分钟，梅西传球，佩德罗禁区前射偏
57'埃尔切反击机会~                   57'第57分钟，科罗传球，吉尔远射偏出
58'吉尔在禁区弧顶外的一脚远射~~~                   57'第57分钟，科罗传球，吉尔远射偏出
58'球打高了                   57'第57分钟，科罗传球，吉尔远射偏出
58'梅西挑给左路的阿德~                   57'第57分钟，科罗传球，吉尔远射偏出
59'再回到中路~梅西头球攻门！！！                   57'第57分钟，科罗传球，吉尔远射偏出
59'顶偏了                   57'第57分钟，科罗传球，吉尔远射偏出
59'埃尔切跟马竞是学了一手啊                   57'第57分钟，科罗传球，吉尔远射偏出
60'几条防线保持的相当严密                   57'第57分钟，科罗传球，吉尔远射偏出
60'而反击也是不轻易丢球                   57'第57分钟，科罗传球，吉尔远射偏出
60'罗德里格斯内切后的远射高出了横梁                   57'第57分钟，科罗传球，吉尔远射偏出
60'几条防线保持的相当严密                   60'第60分钟，西斯马传球，罗德里格斯左路内切后远射高出
60'而反击也是不轻易丢球                   60'第60分钟，西斯马传球，罗德里格斯左路内切后远射高出
60'罗德里格斯内切后的远射高出了横梁                   60'第60分钟，西斯马传球，罗德里格斯左路内切后远射高出
61'佩德罗左边路下底传中~                   60'第60分钟，西斯马传球，罗德里格斯左路内切后远射高出
61'门将抢在桑切斯身前将球没收                   60'第60分钟，西斯马传球，罗德里格斯左路内切后远射高出
62'另外两场关键的比赛，马竞还是0比0                   60'第60分钟，西斯马传球，罗德里格斯左路内切后远射高出
62'皇马依旧落后于塞尔塔                   60'第60分钟，西斯马传球，罗德里格斯左路内切后远射高出
63'佩德罗下底~给回中路                   60'第60分钟，西斯马传球，罗德里格斯左路内切后远射高出
63'梅西的头球攻门顶在了后卫身上                   60'第60分钟，西斯马传球，罗德里格斯左路内切后远射高出
63'巴萨还没有换人的打算么                   60'第60分钟，西斯马传球，罗德里格斯左路内切后远射高出
68'埃尔切在后场倒脚~                   68'第68分钟，佩德罗禁区左侧传中，阿尔维斯4码处错过皮球
68'巴尔特拉被对方前锋甩开~                   68'第68分钟，佩德罗禁区左侧传中，阿尔维斯4码处错过皮球
68'到了禁区~一扣！                   68'第68分钟，佩德罗禁区左侧传中，阿尔维斯4码处错过皮球
68'被回追的阿尔维斯抢断！                   68'第68分钟，佩德罗禁区左侧传中，阿尔维斯4码处错过皮球
68'而佩刀在左路策动反击~                   68'第68分钟，佩德罗禁区左侧传中，阿尔维斯4码处错过皮球
69'低平球交到门前~阿尔维斯想用脚后跟来射门                   68'第68分钟，佩德罗禁区左侧传中，阿尔维斯4码处错过皮球
69'连球都没碰到                   68'第68分钟，佩德罗禁区左侧传中，阿尔维斯4码处错过皮球
69'特略上场                   68'第68分钟，佩德罗禁区左侧传中，阿尔维斯4码处错过皮球
69'换下了表现一般的佩德罗                   68'第68分钟，佩德罗禁区左侧传中，阿尔维斯4码处错过皮球
70'特略一次边路传中，球打在了后卫手上                   68'第68分钟，佩德罗禁区左侧传中，阿尔维斯4码处错过皮球
70'裁判拒绝吹罚点球                   68'第68分钟，佩德罗禁区左侧传中，阿尔维斯4码处错过皮球
70'给了巴萨一个角球~                   68'第68分钟，佩德罗禁区左侧传中，阿尔维斯4码处错过皮球
70'战术角球~巴萨连续的传中都没能创造出射门                   68'第68分钟，佩德罗禁区左侧传中，阿尔维斯4码处错过皮球
71'阿尔维斯想要扣球过人~后卫捅了一下                   68'第68分钟，佩德罗禁区左侧传中，阿尔维斯4码处错过皮球
73'小法好机会~出球慢了！                   73'第73分钟，特略传球，伊涅斯塔禁区边缘内射门又被封堵
73'后卫看准机会上抢将球断走                   73'第73分钟，特略传球，伊涅斯塔禁区边缘内射门又被封堵
73'巴萨前场反抢，伊涅斯塔脚后跟妙传~                   73'第73分钟，特略传球，伊涅斯塔禁区边缘内射门又被封堵
73'这段时间巴萨的攻势很盛                   73'第73分钟，特略传球，伊涅斯塔禁区边缘内射门又被封堵
73'但是就是无法制造出杀机                   73'第73分钟，特略传球，伊涅斯塔禁区边缘内射门又被封堵
74'西斯马停球的时候手球犯规                   73'第73分钟，特略传球，伊涅斯塔禁区边缘内射门又被封堵
74'裁判没有表示~                   73'第73分钟，特略传球，伊涅斯塔禁区边缘内射门又被封堵
74'因为他已经有黄牌在身                   73'第73分钟，特略传球，伊涅斯塔禁区边缘内射门又被封堵
74'很明显这是一个故意手球~                   73'第73分钟，特略传球，伊涅斯塔禁区边缘内射门又被封堵
75'埃尔切换上了一名后卫里维拉                   73'第73分钟，特略传球，伊涅斯塔禁区边缘内射门又被封堵
75'埃尔切左路反击~                   73'第73分钟，特略传球，伊涅斯塔禁区边缘内射门又被封堵
75'阿尔维斯一个滑铲将球拦下                   73'第73分钟，特略传球，伊涅斯塔禁区边缘内射门又被封堵
76'比赛打到这个份上，巴萨的球员体能也有些不足了                   73'第73分钟，特略传球，伊涅斯塔禁区边缘内射门又被封堵
79'好险~~~                   79'第79分钟，刚刚替补出场的博阿基耶传球，罗德里格斯禁区左侧11码处射门稍稍高出
79'布斯克茨在中场滑倒                   79'第79分钟，刚刚替补出场的博阿基耶传球，罗德里格斯禁区左侧11码处射门稍稍高出
79'让对方获得了一次反击机会                   79'第79分钟，刚刚替补出场的博阿基耶传球，罗德里格斯禁区左侧11码处射门稍稍高出
79'博卡耶带球分边~                   79'第79分钟，刚刚替补出场的博阿基耶传球，罗德里格斯禁区左侧11码处射门稍稍高出
79'跟上的队友面对平托一脚将球打飞                   79'第79分钟，刚刚替补出场的博阿基耶传球，罗德里格斯禁区左侧11码处射门稍稍高出
80'巴尔特拉铲球被吹了犯规                   79'第79分钟，刚刚替补出场的博阿基耶传球，罗德里格斯禁区左侧11码处射门稍稍高出
81'巴萨换上了哈维~                   79'第79分钟，刚刚替补出场的博阿基耶传球，罗德里格斯禁区左侧11码处射门稍稍高出
81'换下的是法布雷加斯                   79'第79分钟，刚刚替补出场的博阿基耶传球，罗德里格斯禁区左侧11码处射门稍稍高出
81'比赛最多还有10多分钟就将结束                   79'第79分钟，刚刚替补出场的博阿基耶传球，罗德里格斯禁区左侧11码处射门稍稍高出
84'梅西突破之后想找伊涅斯塔~                   84'第84分钟，特略回传，阿德里亚诺左路25码处弧线球射门擦远角立柱偏出
84'球传大了                   84'第84分钟，特略回传，阿德里亚诺左路25码处弧线球射门擦远角立柱偏出
85'阿德~~~                   84'第84分钟，特略回传，阿德里亚诺左路25码处弧线球射门擦远角立柱偏出
85'禁区外的远射~兜出了一脚弧线！                   84'第84分钟，特略回传，阿德里亚诺左路25码处弧线球射门擦远角立柱偏出
85'球擦着立柱而出                   84'第84分钟，特略回传，阿德里亚诺左路25码处弧线球射门擦远角立柱偏出
85'可惜了                   84'第84分钟，特略回传，阿德里亚诺左路25码处弧线球射门擦远角立柱偏出
86'埃尔切左路下底传中~                   84'第84分钟，特略回传，阿德里亚诺左路25码处弧线球射门擦远角立柱偏出
86'禁区内的头球顶给了平托                   84'第84分钟，特略回传，阿德里亚诺左路25码处弧线球射门擦远角立柱偏出
87'特略过人之后被推倒                   84'第84分钟，特略回传，阿德里亚诺左路25码处弧线球射门擦远角立柱偏出
92'梅西定位球直接打门~门将双拳将球击出                   92'第92分钟，哈维任意球射门被埃雷拉扑出
92'下半场补时3分钟~                   92'第92分钟，哈维任意球射门被埃雷拉扑出
92'已经过去了2分钟                   92'第92分钟，哈维任意球射门被埃雷拉扑出
93'埃尔切的球迷欢呼雀跃~                   92'第92分钟，哈维任意球射门被埃雷拉扑出
