2'曼联后场长传 越位在先                   2'开场仅2分钟，萨拉赫传球，菲尔米诺禁区右侧射门被林德洛夫挡出
34'球进了林加德                   33'曼联第33分钟扳平，卢卡库禁区左侧传中，阿利松扑接脱手，林加德小禁区前补射入网，1-1
34'曼联中路发起进攻 给到左侧的卢卡库                   33'曼联第33分钟扳平，卢卡库禁区左侧传中，阿利松扑接脱手，林加德小禁区前补射入网，1-1
34'卢卡库横传 被阿利松扑出 但是林加德补射得手 将球打进 扳平比分                   33'曼联第33分钟扳平，卢卡库禁区左侧传中，阿利松扑接脱手，林加德小禁区前补射入网，1-1
35'利物浦前场传球失误 马蒂奇将球断下                   33'曼联第33分钟扳平，卢卡库禁区左侧传中，阿利松扑接脱手，林加德小禁区前补射入网，1-1
36'利物浦后场左侧边线球                   33'曼联第33分钟扳平，卢卡库禁区左侧传中，阿利松扑接脱手，林加德小禁区前补射入网，1-1
36'罗伯逊给到菲尔米诺 再横传给克莱因                   33'曼联第33分钟扳平，卢卡库禁区左侧传中，阿利松扑接脱手，林加德小禁区前补射入网，1-1
36'再给中路的法比尼奥                   33'曼联第33分钟扳平，卢卡库禁区左侧传中，阿利松扑接脱手，林加德小禁区前补射入网，1-1
36'直传找萨拉赫 但是被曼联后卫断下                   33'曼联第33分钟扳平，卢卡库禁区左侧传中，阿利松扑接脱手，林加德小禁区前补射入网，1-1
52'罗伯逊主罚任意球 传到后点 被曼联后卫解围                   52'第52分钟，菲尔米诺在数人包夹下12码处捅射被德赫亚扑出，凯塔小禁区右侧补射被阿什利-扬及时封堵
52'利物浦中场再组织进攻                    52'第52分钟，菲尔米诺在数人包夹下12码处捅射被德赫亚扑出，凯塔小禁区右侧补射被阿什利-扬及时封堵
53'给到禁区内的菲尔米诺  菲尔米诺捅射 被德赫亚扑出                   52'第52分钟，菲尔米诺在数人包夹下12码处捅射被德赫亚扑出，凯塔小禁区右侧补射被阿什利-扬及时封堵
54'马内补射打门 被阿什利杨挡出底线 利物浦获得角球                   52'第52分钟，菲尔米诺在数人包夹下12码处捅射被德赫亚扑出，凯塔小禁区右侧补射被阿什利-扬及时封堵
55'被曼联后卫解围出禁区                   52'第52分钟，菲尔米诺在数人包夹下12码处捅射被德赫亚扑出，凯塔小禁区右侧补射被阿什利-扬及时封堵
55'利物浦后场组织进攻                   52'第52分钟，菲尔米诺在数人包夹下12码处捅射被德赫亚扑出，凯塔小禁区右侧补射被阿什利-扬及时封堵
73'马内左侧下底突破 横传被德赫亚挡出 沙奇里补射打门                    73'利物浦第73分钟再次超出，马内晃过埃雷拉切入禁区左侧回传，沙奇里禁区右列12码处射门打中阿什利-扬偏转入近角，2-1
74'将球打进 利物浦再次领先                   73'利物浦第73分钟再次超出，马内晃过埃雷拉切入禁区左侧回传，沙奇里禁区右列12码处射门打中阿什利-扬偏转入近角，2-1
75'利物浦右侧边线打出配合  给到维纳尔杜姆                     73'利物浦第73分钟再次超出，马内晃过埃雷拉切入禁区左侧回传，沙奇里禁区右列12码处射门打中阿什利-扬偏转入近角，2-1
75'维纳尔杜姆大禁区弧顶处打门 球偏出了球门                   73'利物浦第73分钟再次超出，马内晃过埃雷拉切入禁区左侧回传，沙奇里禁区右列12码处射门打中阿什利-扬偏转入近角，2-1
76'曼联中场组织进攻 林加德给到前面的卢卡库                   73'利物浦第73分钟再次超出，马内晃过埃雷拉切入禁区左侧回传，沙奇里禁区右列12码处射门打中阿什利-扬偏转入近角，2-1
76'卢卡库再回传给林加德  林加德远射打高了                   73'利物浦第73分钟再次超出，马内晃过埃雷拉切入禁区左侧回传，沙奇里禁区右列12码处射门打中阿什利-扬偏转入近角，2-1
76'利物浦左侧边路再次组织进攻                   73'利物浦第73分钟再次超出，马内晃过埃雷拉切入禁区左侧回传，沙奇里禁区右列12码处射门打中阿什利-扬偏转入近角，2-1
76'马内带球横传失误                    73'利物浦第73分钟再次超出，马内晃过埃雷拉切入禁区左侧回传，沙奇里禁区右列12码处射门打中阿什利-扬偏转入近角，2-1
80'球又进了沙奇里                   80'利物浦第80分钟扩大优势，萨拉赫传球，沙奇里禁区弧内射门打中拜利偏转入网，3-1
80'利物浦中场组织进攻 马内横传给到沙奇里                   80'利物浦第80分钟扩大优势，萨拉赫传球，沙奇里禁区弧内射门打中拜利偏转入网，3-1
81'沙奇里找到前面的萨拉赫 萨拉赫回做给沙奇里                    80'利物浦第80分钟扩大优势，萨拉赫传球，沙奇里禁区弧内射门打中拜利偏转入网，3-1
82'沙奇里左脚打门 球碰到曼联后卫产生变线进入球网                   80'利物浦第80分钟扩大优势，萨拉赫传球，沙奇里禁区弧内射门打中拜利偏转入网，3-1
83'利物浦中场组织进攻 沙奇里中路突破 横传给到维纳尔杜姆                   80'利物浦第80分钟扩大优势，萨拉赫传球，沙奇里禁区弧内射门打中拜利偏转入网，3-1
83'维纳尔杜姆打门 被德赫亚没收                   80'利物浦第80分钟扩大优势，萨拉赫传球，沙奇里禁区弧内射门打中拜利偏转入网，3-1
83'亨德森换下马内                   80'利物浦第80分钟扩大优势，萨拉赫传球，沙奇里禁区弧内射门打中拜利偏转入网，3-1
